resource,identifier,parent_key
KEGG Compound,C08192,DB00010
PharmGKB,PA164749110,DB00010
Therapeutic Targets Database,DAP001055,DB00010
Wikipedia,Sermorelin,DB00010
RxCUI,56188,DB00010
Drugs Product Database (DPD),7651,DB00011
PubChem Substance,46506227,DB00011
GenBank,J00207,DB00011
PharmGKB,PA164746538,DB00011
UniProtKB,P01563,DB00011
Therapeutic Targets Database,DAP001280,DB00011
ChEMBL,CHEMBL2108509,DB00011
RxCUI,202912,DB00011
Drugs Product Database (DPD),12550,DB00012
PubChem Substance,46504480,DB00012
GenBank,X02158,DB00012
PharmGKB,PA164743138,DB00012
UniProtKB,P01588,DB00012
Therapeutic Targets Database,DAP000800,DB00012
Wikipedia,Darbepoetin_alfa,DB00012
ChEMBL,CHEMBL1201566,DB00012
RxCUI,283838,DB00012
Drugs Product Database (DPD),2012,DB00013
PubChem Substance,46506299,DB00013
GenBank,X02419,DB00013
PharmGKB,PA451836,DB00013
UniProtKB,P00749,DB00013
Therapeutic Targets Database,DAP001194,DB00013
Wikipedia,Urokinase,DB00013
ChEMBL,CHEMBL1201420,DB00013
RxCUI,11055,DB00013
Drugs Product Database (DPD),11167,DB00014
ChEBI,5523,DB00014
PubChem Compound,5311128,DB00014
PubChem Substance,46507336,DB00014
KEGG Drug,D00573,DB00014
ChemSpider,4470656,DB00014
PharmGKB,PA164747674,DB00014
Therapeutic Targets Database,DAP000023,DB00014
Wikipedia,Goserelin,DB00014
ChEMBL,CHEMBL1201247,DB00014
RxCUI,50610,DB00014
Drugs Product Database (DPD),11534,DB00015
PubChem Substance,46506092,DB00015
GenBank,L00153,DB00015
PharmGKB,PA164743728,DB00015
UniProtKB,P00750,DB00015
Therapeutic Targets Database,DAP001195,DB00015
Wikipedia,Reteplase,DB00015
ChEMBL,CHEMBL2107885,DB00015
RxCUI,76895,DB00015
Drugs Product Database (DPD),299,DB00016
PubChem Substance,46508122,DB00016
GenBank,X02158,DB00016
PharmGKB,PA10072,DB00016
UniProtKB,P01588,DB00016
Therapeutic Targets Database,DAP000202,DB00016
Wikipedia,Epoetin_alfa,DB00016
ChEMBL,CHEMBL1201565,DB00016
RxCUI,105694,DB00016
Drugs Product Database (DPD),13186,DB00017
PubChem Substance,46506061,DB00017
KEGG Compound,C06865,DB00017
KEGG Drug,D00249,DB00017
GenBank,Y00765,DB00017
PharmGKB,PA448715,DB00017
UniProtKB,P01263,DB00017
Therapeutic Targets Database,DAP001302,DB00017
Wikipedia,Calcitonin,DB00017
RxCUI,36118,DB00017
PubChem Substance,46508902,DB00018
PharmGKB,PA164746228,DB00018
Therapeutic Targets Database,DAP001281,DB00018
Wikipedia,Interferon_alfa-n3,DB00018
ChEMBL,CHEMBL2109047,DB00018
RxCUI,612937,DB00018
Drugs Product Database (DPD),12313,DB00019
PubChem Substance,46505853,DB00019
KEGG Drug,D06889,DB00019
GenBank,X03438,DB00019
PharmGKB,PA164781387,DB00019
UniProtKB,P09919,DB00019
Therapeutic Targets Database,DAP000395,DB00019
Wikipedia,Pegfilgrastim,DB00019
ChEMBL,CHEMBL1201568,DB00019
RxCUI,338036,DB00019
PubChem Substance,46507000,DB00020
GenBank,M13207,DB00020
PharmGKB,PA164748631,DB00020
UniProtKB,P04141,DB00020
Therapeutic Targets Database,DAP001053,DB00020
Wikipedia,Sargramostim,DB00020
ChEMBL,CHEMBL1201670,DB00020
RxCUI,69634,DB00020
Drugs Product Database (DPD),12036,DB00022
PubChem Substance,46506669,DB00022
PharmGKB,PA164784024,DB00022
UniProtKB,P01563,DB00022
Therapeutic Targets Database,DAP001279,DB00022
Wikipedia,Peginterferon_alfa-2b,DB00022
ChEMBL,CHEMBL1201561,DB00022
RxCUI,253453,DB00022
Drugs Product Database (DPD),2433,DB00023
PubChem Substance,46507633,DB00023
GenBank,U00096,DB00023
PharmGKB,PA448492,DB00023
UniProtKB,P37595,DB00023
Wikipedia,Asparaginase,DB00023
ChEMBL,CHEMBL2108989,DB00023
RxCUI,1156,DB00023
Drugs Product Database (DPD),12790,DB00024
PubChem Substance,46505696,DB00024
GenBank,M16647,DB00024
PharmGKB,PA164746560,DB00024
UniProtKB,P01225,DB00024
Therapeutic Targets Database,DAP001248,DB00024
Wikipedia,Thyrotropin_Alfa,DB00024
ChEMBL,CHEMBL1201533,DB00024
RxCUI,4952,DB00024
Drugs Product Database (DPD),745,DB00025
Drugs Product Database (DPD),9847,DB00025
Drugs Product Database (DPD),12787,DB00025
Drugs Product Database (DPD),22826,DB00025
PubChem Substance,46506209,DB00025
GenBank,M14113,DB00025
PharmGKB,PA164750168,DB00025
UniProtKB,P00451,DB00025
Wikipedia,Antihemophilic_Factor,DB00025
ChEMBL,CHEMBL2108175,DB00025
RxCUI,1300486,DB00025
Drugs Product Database (DPD),12604,DB00026
PubChem Substance,46507944,DB00026
KEGG Drug,D02934,DB00026
GenBank,M55646,DB00026
PharmGKB,PA10799,DB00026
UniProtKB,P18510,DB00026
Therapeutic Targets Database,DAP000095,DB00026
Wikipedia,Anakinra,DB00026
ChEMBL,CHEMBL1201570,DB00026
RxCUI,72435,DB00026
Drugs Product Database (DPD),8523,DB00027
PubChem Compound,45267103,DB00027
PubChem Substance,46507412,DB00027
KEGG Drug,D04369,DB00027
ChemSpider,24623445,DB00027
PharmGKB,PA449808,DB00027
Therapeutic Targets Database,DAP001327,DB00027
Wikipedia,Gramicidin_D,DB00027
ChEMBL,CHEMBL557217,DB00027
RxCUI,5011,DB00027
Drugs Product Database (DPD),7773,DB00028
Drugs Product Database (DPD),15161,DB00028
Drugs Product Database (DPD),22953,DB00028
PubChem Substance,46508774,DB00028
GenBank,J00221,DB00028
PharmGKB,PA164754884,DB00028
UniProtKB,P01877,DB00028
RxCUI,1426680,DB00028
Drugs Product Database (DPD),1199,DB00029
PubChem Substance,46504487,DB00029
GenBank,L00153,DB00029
PharmGKB,PA164769075,DB00029
UniProtKB,P00750,DB00029
Therapeutic Targets Database,DAP001197,DB00029
Wikipedia,Anistreplase,DB00029
ChEMBL,CHEMBL2108250,DB00029
RxCUI,40028,DB00029
Drugs Product Database (DPD),20125,DB00030
Drugs Product Database (DPD),7672,DB00030
Drugs Product Database (DPD),7671,DB00030
ChEBI,5931,DB00030
PubChem Substance,46506231,DB00030
KEGG Compound,C00723,DB00030
KEGG Drug,D03230,DB00030
GenBank,AY137503,DB00030
PharmGKB,PA164744571,DB00030
UniProtKB,Q8HXV2,DB00030
Therapeutic Targets Database,DAP000802,DB00030
Wikipedia,Insulin,DB00030
RxCUI,253182,DB00030
Drugs Product Database (DPD),12468,DB00031
PubChem Substance,46508657,DB00031
KEGG Drug,D06070,DB00031
GenBank,L00153,DB00031
PharmGKB,PA164776757,DB00031
UniProtKB,P00750,DB00031
Therapeutic Targets Database,DAP000204,DB00031
Wikipedia,Tenecteplase,DB00031
ChEMBL,CHEMBL2108791,DB00031
RxCUI,259280,DB00031
Drugs Product Database (DPD),7369,DB00032
PubChem Substance,46504503,DB00032
GenBank,X00264,DB00032
PharmGKB,PA164749406,DB00032
UniProtKB,P01229,DB00032
Therapeutic Targets Database,DAP001027,DB00032
Wikipedia,Menotropins,DB00032
ChEMBL,CHEMBL2108427,DB00032
PubChem Substance,46507194,DB00033
GenBank,X13274,DB00033
PharmGKB,PA164746386,DB00033
UniProtKB,P01579,DB00033
Therapeutic Targets Database,DAP001286,DB00033
Wikipedia,Interferon_gamma-1b,DB00033
ChEMBL,CHEMBL1201564,DB00033
RxCUI,5882,DB00033
Drugs Product Database (DPD),1746,DB00034
PubChem Substance,46506712,DB00034
GenBank,J00207,DB00034
PharmGKB,PA164779048,DB00034
UniProtKB,P01563,DB00034
Therapeutic Targets Database,DAP000801,DB00034
Wikipedia,"Interferon_Alfa-2a,_Recombinant",DB00034
RxCUI,5879,DB00034
Drugs Product Database (DPD),2155,DB00035
Drugs Product Database (DPD),19910,DB00035
Drugs Product Database (DPD),20181,DB00035
ChEBI,4450,DB00035
KEGG Compound,C06944,DB00035
KEGG Drug,D00291,DB00035
ChemSpider,4470602,DB00035
BindingDB,50205308,DB00035
PharmGKB,PA449237,DB00035
Therapeutic Targets Database,DNC000526,DB00035
Wikipedia,Desmopressin,DB00035
ChEMBL,CHEMBL1429,DB00035
RxCUI,3251,DB00035
Drugs Product Database (DPD),13301,DB00036
PubChem Substance,46507544,DB00036
KEGG Compound,C03378,DB00036
KEGG Drug,D00172,DB00036
GenBank,M13232,DB00036
PharmGKB,PA164748389,DB00036
UniProtKB,P08709,DB00036
Wikipedia,Factor_VII,DB00036
RxCUI,253149,DB00036
PubChem Substance,46506470,DB00038
GenBank,M57765,DB00038
PharmGKB,PA164747991,DB00038
UniProtKB,P20809,DB00038
Therapeutic Targets Database,DAP001287,DB00038
Wikipedia,Oprelvekin,DB00038
ChEMBL,CHEMBL1201573,DB00038
RxCUI,1311380,DB00038
Drugs Product Database (DPD),17147,DB00039
PubChem Substance,46506691,DB00039
GenBank,M60828,DB00039
PharmGKB,PA164744014,DB00039
UniProtKB,P21781,DB00039
Therapeutic Targets Database,DAP001026,DB00039
Wikipedia,Palifermin,DB00039
ChEMBL,CHEMBL1201821,DB00039
RxCUI,196319,DB00039
Drugs Product Database (DPD),12072,DB00040
Drugs Product Database (DPD),11363,DB00040
PubChem Substance,46504732,DB00040
KEGG Compound,C01501,DB00040
KEGG Drug,D00116,DB00040
GenBank,AF529185,DB00040
PharmGKB,PA164779052,DB00040
UniProtKB,Q8MJ25,DB00040
Therapeutic Targets Database,DAP001037,DB00040
Wikipedia,Glucagon_recombinant,DB00040
ChEMBL,CHEMBL266481,DB00040
RxCUI,261716,DB00040
Drugs Product Database (DPD),278,DB00041
PubChem Substance,46508054,DB00041
GenBank,M11144,DB00041
PharmGKB,PA448081,DB00041
UniProtKB,P60569,DB00041
Therapeutic Targets Database,DAP001099,DB00041
Wikipedia,Aldesleukin,DB00041
ChEMBL,CHEMBL1201438,DB00041
RxCUI,70223,DB00041
Drugs Product Database (DPD),12854,DB00042
PubChem Substance,46504750,DB00042
KEGG Drug,D02735,DB00042
GenBank,M81186,DB00042
PharmGKB,PA164747061,DB00042
UniProtKB,P10844,DB00042
Therapeutic Targets Database,DAP001272,DB00042
Wikipedia,Botulinum_toxin,DB00042
ChEMBL,CHEMBL1201569,DB00042
RxCUI,860178,DB00042
Drugs Product Database (DPD),13365,DB00043
PubChem Substance,46507002,DB00043
GenBank,J00228,DB00043
PharmGKB,PA164752253,DB00043
UniProtKB,P01857,DB00043
Therapeutic Targets Database,DAP000387,DB00043
Wikipedia,Omalizumab,DB00043
ChEMBL,CHEMBL1201589,DB00043
RxCUI,302379,DB00043
Drugs Product Database (DPD),15875,DB00044
Drugs Product Database (DPD),7347,DB00044
PubChem Substance,46507624,DB00044
GenBank,X00264,DB00044
PharmGKB,PA164750539,DB00044
UniProtKB,P01229,DB00044
Therapeutic Targets Database,DAP001103,DB00044
Wikipedia,Lutropin_alfa,DB00044
ChEMBL,CHEMBL1201419,DB00044
RxCUI,388084,DB00044
PubChem Substance,46504444,DB00045
GenBank,X16467,DB00045
PharmGKB,PA164743058,DB00045
UniProtKB,P14013,DB00045
Therapeutic Targets Database,DAP001334,DB00045
RxCUI,54214,DB00045
Drugs Product Database (DPD),11115,DB00046
Drugs Product Database (DPD),12028,DB00046
PubChem Substance,46507498,DB00046
KEGG Drug,D04477,DB00046
PharmGKB,PA164747059,DB00046
Therapeutic Targets Database,DNC000800,DB00046
Wikipedia,Insulin_lispro,DB00046
ChEMBL,CHEMBL1201538,DB00046
RxCUI,314684,DB00046
Drugs Product Database (DPD),12724,DB00047
PubChem Substance,46507981,DB00047
KEGG Drug,D03250,DB00047
PharmGKB,PA449992,DB00047
Therapeutic Targets Database,DAP001088,DB00047
Wikipedia,Insulin_glargine,DB00047
ChEMBL,CHEMBL1201497,DB00047
RxCUI,274783,DB00047
Drugs Product Database (DPD),21378,DB00048
Drugs Product Database (DPD),2150,DB00048
PubChem Substance,46506485,DB00048
KEGG Compound,C00816,DB00048
PharmGKB,PA449107,DB00048
Therapeutic Targets Database,DAP000965,DB00048
Wikipedia,Collagenase,DB00048
RxCUI,58939,DB00048
Drugs Product Database (DPD),13268,DB00049
PubChem Substance,46504490,DB00049
GenBank,X61766,DB00049
PharmGKB,PA10176,DB00049
UniProtKB,Q00511,DB00049
Wikipedia,Rasburicase,DB00049
ChEMBL,CHEMBL1201594,DB00049
RxCUI,283821,DB00049
Drugs Product Database (DPD),13224,DB00050
ChEBI,59224,DB00050
PubChem Compound,25074887,DB00050
PubChem Substance,46505494,DB00050
KEGG Drug,D07665,DB00050
ChemSpider,10482082,DB00050
BindingDB,50369965,DB00050
PharmGKB,PA164764506,DB00050
Therapeutic Targets Database,DAP000096,DB00050
Wikipedia,Cetrorelix,DB00050
ChEMBL,CHEMBL1200490,DB00050
RxCUI,68147,DB00050
Drugs Product Database (DPD),13356,DB00051
PubChem Substance,46504982,DB00051
KEGG Drug,D02597,DB00051
GenBank,J00228,DB00051
PharmGKB,PA10004,DB00051
UniProtKB,P01857,DB00051
Therapeutic Targets Database,DAP000392,DB00051
Wikipedia,Adalimumab,DB00051
ChEMBL,CHEMBL1201580,DB00051
RxCUI,327361,DB00051
Drugs Product Database (DPD),7364,DB00052
PubChem Substance,46506010,DB00052
GenBank,AF374232,DB00052
PharmGKB,PA451446,DB00052
UniProtKB,P58756,DB00052
Therapeutic Targets Database,DAP001054,DB00052
Wikipedia,Growth_hormone,DB00052
ChEMBL,CHEMBL1201621,DB00052
RxCUI,314845,DB00052
Drugs Product Database (DPD),11365,DB00053
PubChem Substance,46508744,DB00053
KEGG Drug,D02810,DB00053
GenBank,M16328,DB00053
PharmGKB,PA164742934,DB00053
UniProtKB,P04062,DB00053
Wikipedia,Imiglucerase,DB00053
ChEMBL,CHEMBL1201632,DB00053
RxCUI,84959,DB00053
Drugs Product Database (DPD),61,DB00054
PubChem Substance,46505910,DB00054
KEGG Drug,D02778,DB00054
PharmGKB,PA448006,DB00054
Therapeutic Targets Database,DAP000473,DB00054
Wikipedia,Abciximab,DB00054
ChEMBL,CHEMBL1201584,DB00054
RxCUI,83929,DB00054
Drugs Product Database (DPD),12084,DB00055
PubChem Substance,46505655,DB00055
GenBank,M11228,DB00055
PharmGKB,PA131548935,DB00055
UniProtKB,P04070,DB00055
Therapeutic Targets Database,DAP000151,DB00055
Wikipedia,Drotrecogin_alfa,DB00055
RxCUI,352374,DB00055
Drugs Product Database (DPD),23390,DB00056
PubChem Substance,46505767,DB00056
PharmGKB,PA164749431,DB00056
Therapeutic Targets Database,DAP000390,DB00056
Wikipedia,Gemtuzumab_ozogamicin,DB00056
ChEMBL,CHEMBL1201506,DB00056
RxCUI,1294580,DB00056
PubChem Substance,46505873,DB00057
PharmGKB,PA164745371,DB00057
Therapeutic Targets Database,DAP001299,DB00057
ChEMBL,CHEMBL1743091,DB00057
Drugs Product Database (DPD),7762,DB00058
PubChem Substance,46506364,DB00058
GenBank,K01396,DB00058
PharmGKB,PA10308,DB00058
UniProtKB,P01009,DB00058
Therapeutic Targets Database,DAP001102,DB00058
Wikipedia,Alpha_1-antitrypsin,DB00058
RxCUI,535,DB00058
Drugs Product Database (DPD),11706,DB00059
PubChem Substance,46505366,DB00059
GenBank,U00096,DB00059
PharmGKB,PA164760860,DB00059
UniProtKB,P37595,DB00059
Wikipedia,Pegaspargase,DB00059
ChEMBL,CHEMBL2108546,DB00059
RxCUI,34132,DB00059
Drugs Product Database (DPD),11746,DB00060
PubChem Substance,46504899,DB00060
GenBank,V00534,DB00060
PharmGKB,PA450037,DB00060
UniProtKB,P01574,DB00060
Therapeutic Targets Database,DAP001282,DB00060
Wikipedia,Interferon_beta-1a,DB00060
ChEMBL,CHEMBL1201562,DB00060
RxCUI,75917,DB00060
PubChem Substance,46508490,DB00061
GenBank,AF280603,DB00061
PharmGKB,PA450831,DB00061
UniProtKB,P56658,DB00061
Wikipedia,Pegademase_bovine,DB00061
ChEMBL,CHEMBL1201514,DB00061
RxCUI,59768,DB00061
Drugs Product Database (DPD),7867,DB00062
Drugs Product Database (DPD),3275,DB00062
PubChem Substance,46509098,DB00062
GenBank,M12523,DB00062
PharmGKB,PA164743293,DB00062
UniProtKB,P02768,DB00062
Wikipedia,Serum_albumin,DB00062
ChEMBL,CHEMBL1201451,DB00062
RxCUI,828529,DB00062
Drugs Product Database (DPD),11891,DB00063
PubChem Substance,46505459,DB00063
PharmGKB,PA449483,DB00063
Therapeutic Targets Database,DAP000285,DB00063
Wikipedia,Eptifibatide,DB00063
ChEMBL,CHEMBL1174,DB00063
RxCUI,75635,DB00063
Drugs Product Database (DPD),12094,DB00065
PubChem Substance,46505602,DB00065
GenBank,J00228,DB00065
PharmGKB,PA452639,DB00065
UniProtKB,P01857,DB00065
Therapeutic Targets Database,DAP000107,DB00065
Wikipedia,Infliximab,DB00065
ChEMBL,CHEMBL1201581,DB00065
RxCUI,1790539,DB00065
Drugs Product Database (DPD),11463,DB00066
Drugs Product Database (DPD),11457,DB00066
Drugs Product Database (DPD),22944,DB00066
Drugs Product Database (DPD),7649,DB00066
PubChem Substance,46508818,DB00066
GenBank,M16647,DB00066
PharmGKB,PA449693,DB00066
UniProtKB,P01225,DB00066
Therapeutic Targets Database,DAP001028,DB00066
Wikipedia,Follicle-stimulating_hormone,DB00066
ChEMBL,CHEMBL1201692,DB00066
RxCUI,227518,DB00066
Drugs Product Database (DPD),7387,DB00067
PubChem Substance,46505933,DB00067
KEGG Compound,C00840,DB00067
KEGG Drug,D00101,DB00067
ChemSpider,10152658,DB00067
PharmGKB,PA451858,DB00067
Therapeutic Targets Database,DAP000018,DB00067
Wikipedia,Vasopressin,DB00067
ChEMBL,CHEMBL373742,DB00067
RxCUI,11149,DB00067
Drugs Product Database (DPD),172,DB00068
PubChem Substance,46504458,DB00068
KEGG Compound,C07901,DB00068
KEGG Drug,D00746,DB00068
GenBank,V00534,DB00068
PharmGKB,PA450039,DB00068
UniProtKB,P01574,DB00068
Therapeutic Targets Database,DAP001283,DB00068
Wikipedia,Interferon_beta-1b,DB00068
ChEMBL,CHEMBL1201563,DB00068
RxCUI,72258,DB00068
Drugs Product Database (DPD),11856,DB00069
PubChem Substance,46505985,DB00069
GenBank,J00207,DB00069
PharmGKB,PA164749376,DB00069
Therapeutic Targets Database,DAP001284,DB00069
Wikipedia,Interferon_alfacon-1,DB00069
ChEMBL,CHEMBL1201557,DB00069
RxCUI,59744,DB00069
Drugs Product Database (DPD),6039,DB00070
PubChem Substance,46505087,DB00070
GenBank,L13781,DB00070
PharmGKB,PA164745713,DB00070
UniProtKB,P38567,DB00070
Wikipedia,Hyaluronidase,DB00070
ChEMBL,CHEMBL1201636,DB00070
RxCUI,486164,DB00070
Drugs Product Database (DPD),7326,DB00071
PubChem Substance,46508925,DB00071
GenBank,AY137503,DB00071
PharmGKB,PA164781053,DB00071
UniProtKB,Q8HXV2,DB00071
Therapeutic Targets Database,DAP001089,DB00071
Wikipedia,Insulin,DB00071
RxCUI,221109,DB00071
Drugs Product Database (DPD),11905,DB00072
PubChem Substance,46507516,DB00072
KEGG Drug,D03257,DB00072
GenBank,J00228,DB00072
PharmGKB,PA451743,DB00072
UniProtKB,P01857,DB00072
Therapeutic Targets Database,DAP000391,DB00072
Wikipedia,Trastuzumab,DB00072
ChEMBL,CHEMBL1201585,DB00072
RxCUI,224905,DB00072
Drugs Product Database (DPD),11982,DB00073
PubChem Substance,46505820,DB00073
GenBank,J00228,DB00073
PharmGKB,PA451261,DB00073
UniProtKB,P01857,DB00073
Therapeutic Targets Database,DAP000382,DB00073
Wikipedia,Rituximab,DB00073
ChEMBL,CHEMBL1201576,DB00073
RxCUI,121191,DB00073
Drugs Product Database (DPD),12027,DB00074
PubChem Substance,46505169,DB00074
GenBank,J00228,DB00074
PharmGKB,PA164747126,DB00074
UniProtKB,P01857,DB00074
Therapeutic Targets Database,DAP000388,DB00074
Wikipedia,Basiliximab,DB00074
ChEMBL,CHEMBL1201439,DB00074
RxCUI,196102,DB00074
Drugs Product Database (DPD),7680,DB00075
PubChem Substance,46507837,DB00075
KEGG Drug,D05092,DB00075
PharmGKB,PA164743097,DB00075
Therapeutic Targets Database,DAP001301,DB00075
Wikipedia,Muromonab,DB00075
ChEMBL,CHEMBL1201608,DB00075
RxCUI,42405,DB00075
Drugs Product Database (DPD),7676,DB00076
PubChem Substance,46506432,DB00076
PharmGKB,PA164769030,DB00076
Wikipedia,Digoxin_Immune_Fab,DB00076
RxCUI,1745257,DB00076
Drugs Product Database (DPD),12697,DB00078
PubChem Substance,46506112,DB00078
GenBank,J00470,DB00078
PharmGKB,PA164781375,DB00078
UniProtKB,P01865,DB00078
Therapeutic Targets Database,DAP000383,DB00078
Wikipedia,Ibritumomab,DB00078
RxCUI,262323,DB00078
Drugs Product Database (DPD),20161,DB00080
ChEBI,600103,DB00080
PubChem Compound,16134395,DB00080
PubChem Substance,46504551,DB00080
KEGG Compound,C12013,DB00080
KEGG Drug,D01080,DB00080
ChemSpider,10200644,DB00080
PharmGKB,PA164768820,DB00080
Therapeutic Targets Database,DAP001328,DB00080
Wikipedia,Daptomycin,DB00080
ChEMBL,CHEMBL387675,DB00080
RxCUI,22299,DB00080
Drugs Product Database (DPD),16096,DB00081
PubChem Substance,46506662,DB00081
GenBank,J00228,DB00081
PharmGKB,PA164748364,DB00081
UniProtKB,P01857,DB00081
Therapeutic Targets Database,DAP000384,DB00081
Wikipedia,Tositumomab,DB00081
ChEMBL,CHEMBL1201604,DB00081
RxCUI,263010,DB00081
Drugs Product Database (DPD),16581,DB00082
PubChem Substance,46505507,DB00082
GenBank,AF374232,DB00082
PharmGKB,PA164749630,DB00082
UniProtKB,P58756,DB00082
Therapeutic Targets Database,DAP000286,DB00082
Wikipedia,Pegvisomant,DB00082
ChEMBL,CHEMBL1201515,DB00082
RxCUI,278739,DB00082
Drugs Product Database (DPD),17056,DB00083
Drugs Product Database (DPD),21616,DB00083
Drugs Product Database (DPD),21617,DB00083
Drugs Product Database (DPD),22972,DB00083
PubChem Substance,46505347,DB00083
KEGG Compound,C07946,DB00083
KEGG Drug,D00783,DB00083
GenBank,X52066,DB00083
PharmGKB,PA164754825,DB00083
UniProtKB,P10845,DB00083
Therapeutic Targets Database,DAP001298,DB00083
Wikipedia,Botox,DB00083
RxCUI,1000104,DB00083
Drugs Product Database (DPD),3173,DB00085
Drugs Product Database (DPD),9754,DB00085
PubChem Substance,46504728,DB00085
KEGG Drug,D05349,DB00085
GenBank,M18785,DB00085
PharmGKB,PA448428,DB00085
UniProtKB,P04746,DB00085
Wikipedia,Pancrelipase,DB00085
ChEMBL,CHEMBL2108074,DB00085
RxCUI,235379,DB00085
Drugs Product Database (DPD),5991,DB00086
PubChem Substance,46505625,DB00086
GenBank,K02986,DB00086
PharmGKB,PA164754919,DB00086
UniProtKB,P00779,DB00086
Therapeutic Targets Database,DAP001198,DB00086
Wikipedia,Streptokinase,DB00086
ChEMBL,CHEMBL2108147,DB00086
RxCUI,10106,DB00086
Drugs Product Database (DPD),12491,DB00087
PubChem Substance,46507379,DB00087
PharmGKB,PA164783958,DB00087
Therapeutic Targets Database,DAP000385,DB00087
Wikipedia,Alemtuzumab,DB00087
ChEMBL,CHEMBL1201587,DB00087
RxCUI,117055,DB00087
PubChem Substance,46507500,DB00088
GenBank,M16328,DB00088
PharmGKB,PA164748093,DB00088
UniProtKB,P04062,DB00088
Wikipedia,Alglucerase,DB00088
ChEMBL,CHEMBL1201633,DB00088
RxCUI,46049,DB00088
Drugs Product Database (DPD),20500,DB00089
PubChem Substance,46506263,DB00089
PharmGKB,PA164745489,DB00089
Therapeutic Targets Database,DAP001049,DB00089
Wikipedia,Indium_(111In)_capromab_pendetide,DB00089
ChEMBL,CHEMBL2108285,DB00089
RxCUI,136300,DB00089
Drugs Product Database (DPD),13106,DB00090
PubChem Substance,46505612,DB00090
GenBank,M74715,DB00090
PharmGKB,PA164776670,DB00090
UniProtKB,P35475,DB00090
Wikipedia,Laronidase,DB00090
ChEMBL,CHEMBL1201595,DB00090
RxCUI,392509,DB00090
Drugs Product Database (DPD),11396,DB00091
Drugs Product Database (DPD),1915,DB00091
Drugs Product Database (DPD),13144,DB00091
ChEBI,4031,DB00091
PubChem Compound,5284373,DB00091
PubChem Substance,46508198,DB00091
KEGG Compound,C05086,DB00091
KEGG Drug,D00184,DB00091
ChemSpider,4447449,DB00091
BindingDB,50022815,DB00091
