brand,company,drugbank-id
Dédrogyl,DB,DB00146
Didrogyl,Bruno Farm.,DB00146
Hidroferol,Faes,DB00146
Alti-Tryptophan,,DB00150
Nouress,,DB00151
Betalin S,Eli Lilly,DB00152
Biamine,,DB00152
Deltalin,Lilly,DB00153
Star GLA,GNC,DB00154
Tona-lean 1000 CLA,Action Labs,DB00154
Acfol,Cazi,DB00158
Fefol,GlaxoSmithKline,DB00158
Alphalin,,DB00162
Chocola A,,DB00162
Amino-Opti-E,,DB00163
Aquasol E,,DB00163
Becilan,,DB00165
Beesix,,DB00165
Benadon,,DB00165
Bonasanit,,DB00165
Hexa-Betalin,,DB00165
Hexobion,,DB00165
Nestrex,,DB00165
Biletan,,DB00166
Aminosweet,Ajinomoto,DB00168
Canderel,Merisant,DB00168
Equal,Merisant,DB00168
Nutrasweet,NutraSweet,DB00168
Delta-D,,DB00169
Micro-D,,DB00169
Optimal-D,"RV Nutritional, LLC",DB00169
Vigantol,,DB00169
Synkavite,,DB00170
Atriphos,Biochimica,DB00171
Striadyne,Auclair,DB00171
Leuco-4,,DB00173
Elisor,Baowei Technology Group,DB00175
Lipostat,Bristol-Myers Squibb,DB00175
Mevalotin,Daiichi Sankyo,DB00175
Pravaselect,,DB00175
Selipran,Bristol-Myers Squibb,DB00175
Dumirox,Abbott,DB00176
Faverin,Abbott,DB00176
Fevarin,Abbott,DB00176
Floxyfral,Abbott,DB00176
Maveral,Abbott,DB00176
Acovil,Sanofi-Aventis (Spain),DB00178
Carasel,Almirall (Spain),DB00178
Cardace,"Sanofi-Aventis (Finland), Aventis (India), Aventis (Indonesia)",DB00178
Delix,"Aventis (Germany, Turkey), ",DB00178
Hypren,AstraZeneca (Austria),DB00178
Lostapres,Temis (Argentina),DB00178
Pramace,"Astra (Ireland), AstraZeneca (Sweden)",DB00178
Quark,Polifarma (Italy),DB00178
Triatec,"Sanofi-Aventis (Brazil, Chili, Denmark, France, Greece, Indonesia, Italy,Norway, Portugal, Sweden, Switzerland)",DB00178
Tritace,"Sanofi-Aventis (Argentina, Australia, Austria, Belgium, Czech Republic, Hong Kong, Hungary, Ireland, Israel, Malaysia, Mexico, Netherlands, Poland, Singapor, Thailand, United Kingdom), Aventis (New Zealand, Philippines, South Africa)",DB00178
Vesdil,"AstraZeneca (Germany), Promed (Germany)",DB00178
Actinex,,DB00179
Bronalide,Krewel,DB00180
Nasalide,Teva Santé,DB00180
Syntaris,Teva,DB00180
Baclon,Uniao Quimica (Brazil),DB00181
Lioresal Intrathecal,Novartis Pharmaceuticals,DB00181
Nu-Baclofen,Nu-Pharm,DB00181
Peptavlon,,DB00183
Habitrol,,DB00184
Nicoderm,,DB00184
Saligren,,DB00185
Almazine,Psyco Remedies,DB00186
Anxiedin,U-Liang,DB00186
Idalprem,Novartis,DB00186
Lorabenz,,DB00186
Lorsilan,Belupo,DB00186
Somagerol,,DB00186
Temesta,Wyeth,DB00186
Wypax,Wyeth KK,DB00186
Arvynol,Pfizer,DB00189
Nostel,Dainippon,DB00189
Placidyl,Abbott,DB00189
Roeridorm,Pfizer-Roerig,DB00189
Serenesil,Abbott,DB00189
Dapex,Fernidale Labs,DB00191
Duromine,iNova Pharmaceuticals,DB00191
Fastin,Hi-Tech Pharmaceuticals,DB00191
Obenix,Jones Pharma,DB00191
Obestin-30,Fernidale Labs,DB00191
Oby-trim,Rexar,DB00191
Phentercot,Truven Health Analytics Inc,DB00191
Phentride,Truven Health Analytics Inc,DB00191
Umi-Pex,Fernidale Labs,DB00191
Decabid,Eli Lilly,DB00192
Rybix,Shionogi Inc.,DB00193
Tramal,Grünenthal GmbH,DB00193
Arasena-A,,DB00194
Betaxon,,DB00195
Elazor,,DB00196
Flucazol,,DB00196
Flucostat,,DB00196
Flunizol,,DB00196
Pritenzol,,DB00196
Trican,,DB00196
Triflucan,,DB00196
Noscal,,DB00197
Resulin,,DB00197
Rezulin,,DB00197
Romozin,,DB00197
Tamiflu,,DB00198
Ilosone,Cipa,DB00199
Alpha-Redisol,Merck,DB00200
Hydrocobamine,Nycomed,DB00200
Caffedrine,,DB00201
Dexitac,,DB00201
Durvitan,,DB00201
Enerjets,,DB00201
No-Doz,,DB00201
Pep-Back,,DB00201
Quick Pep,,DB00201
Wake-Up,,DB00201
Scoline,,DB00202
Sucostrin,,DB00202
Apoplon,,DB00206
Hiserpia,,DB00206
Novoreserpine,,DB00206
Reserfia,,DB00206
Serpalan,,DB00206
Serpanray,,DB00206
Serpasil,,DB00206
Azenil,,DB00207
Azibiot,,DB00207
Azifast,,DB00207
Azigram,,DB00207
Azimakrol,,DB00207
Azin,,DB00207
Azithrocin,,DB00207
Azitromax,,DB00207
Azitromin,,DB00207
Aztrin,,DB00207
Hemomycin,,DB00207
Misultina,,DB00207
Penalox,,DB00207
Sumamed,,DB00207
Vinzam,,DB00207
Zifin,,DB00207
Zitrocin,,DB00207
Zitrotek,,DB00207
Flotros,,DB00209
Regurin,,DB00209
Spasmex,,DB00209
Spasmolyt,,DB00209
Spasmoplex,,DB00209
Tropez OD,,DB00209
Adaferin,,DB00210
Differine,,DB00210
Pantozol,,DB00213
Britomar,Ferrer,DB00214
Diuver,Pliva,DB00214
Examide,Apex,DB00214
Luprac,Tanabe Mitshubishi Pharma,DB00214
Torem,Berlin-Chemie,DB00214
Trifas,Meranini,DB00214
Akarin,,DB00215
Celapram,,DB00215
Ciazil,,DB00215
Cilift,,DB00215
Cipram,,DB00215
Cipramil,,DB00215
Ciprapine,,DB00215
Citabax,,DB00215
Citadur,,DB00215
Citalec,,DB00215
Citol,,DB00215
Citopam,,DB00215
Citox,,DB00215
Citrol,,DB00215
Dalsan,,DB00215
Elopram,,DB00215
Humorup,,DB00215
Oropram,,DB00215
Pramcit,,DB00215
Recital,,DB00215
Seropram,,DB00215
Talam,,DB00215
Talohexal,,DB00215
Temperax,,DB00215
Vodelax,,DB00215
Zentius,,DB00215
Zetalo,,DB00215
Esbatal,,DB00217
A-Spasm,,DB00219
Antispasmin,,DB00219
Antrenex,,DB00219
Antrenyl,,DB00219
Atrenex,,DB00219
Spasmophen,,DB00219
Bronkometer,,DB00221
Bronkosol,,DB00221
GLIMPID,Ranbaxy Laboratories,DB00222
GLIMY,Dr.Reddy's Labs,DB00222
Florone E,,DB00223
Maxiflor,,DB00223
Anarel,Cutter,DB00226
Hylorel,Pennwalt,DB00226
Altocor,Andrx,DB00227
Alyrane,Baxter,DB00228
Compound 347,Dexa Medica,DB00228
Endurane,Singapore Pharmawealth Lifesciences,DB00228
Enfluran,Cristália,DB00228
Ceradon,,DB00229
Pansporin,Takeda Pharmaceutical,DB00229
Euhypnos,,DB00231
Norkotral,,DB00231
Normison,,DB00231
Nortem,,DB00231
Remestan,,DB00231
Temaze,,DB00231
Temtabs,,DB00231
Aquatensen,,DB00232
Duretic,,DB00232
Enduron,,DB00232
Pamisyl,Parke-Davis,DB00233
Rexipas,Bristol-Myers Squibb,DB00233
Rezipas,Bristol-Myers Squibb,DB00233
Davedax,,DB00234
Edronax,,DB00234
Norebox,,DB00234
Prolift,,DB00234
Solvex,,DB00234
Vestra,,DB00234
Corotrop,,DB00235
Corotrope,,DB00235
Milrila,,DB00235
Vercite,Abbott Laboratories,DB00236
Vercyte,Abbott Laboratories,DB00236
Butalan,,DB00237
Butisol,,DB00237
Sarisol No. 2,,DB00237
Sandoptal,Sandoz Pharmaceuticals Corporations,DB00241
Litak,,DB00242
Movectro,,DB00242
Mylinax,,DB00242
Asacolitin,,DB00244
Claversal,,DB00244
Fisalamine,,DB00244
Iialda,,DB00244
Lixacol,,DB00244
Apo-Benztropine,Apotex,DB00245
Cogentinol,"Astra (Germany, discontinued)",DB00245
PMS Benztropine,Pharmascience,DB00245
Deseril,,DB00247
Desernil,,DB00247
Cabaser,Pfizer,DB00248
Herpid,Astellas,DB00249
Herpidu,Ciba Vision,DB00249
Idulea,Elea,DB00249
Idustatin,Sanofi,DB00249
Keresid,GlaxoSmithKline,DB00249
Oftan IDU,Santen,DB00249
Virexen,Viñas,DB00249
Terazol,,DB00251
Epanutin, Pfizer,DB00252
Eptoin,,DB00252
Doxy,Galpharma,DB00254
Doxycin,Laboratoire Riva,DB00254
Doxylin,Actavis,DB00254
Jenacyclin,,DB00254
Microdox,Micro Labs,DB00254
NicAzelDoxyKit,,DB00254
Nu-Doxycycline,Nu-Pharm,DB00254
Supracyclin,Grünenthal,DB00254
Vibramycin,Pfizer,DB00254
Distilbene,Gerda,DB00255
Stilbestrol,Nysco,DB00255
Stilbetin,Bristol Myers-Squibb,DB00255
Eficiclina,,DB00256
Tetralisal,,DB00256
Tetralysal,,DB00256
Canesten,Bayer,DB00257
Canifug,Dr. August Wolff,DB00257
Clotrimaderm,Taro,DB00257
Empecid,Bayer,DB00257
FemCare,,DB00257
Fungicip,Cipla,DB00257
Gyne-Lotrimin,Schering-Plough,DB00257
Myclo-Derm,,DB00257
Myclo-Gyne,,DB00257
Phoslo,,DB00258
Teltozan,,DB00258
Streptocid,,DB00259
Oxamycin,Merck,DB00260
Tisomycin,Lilly,DB00260
Becenun,,DB00262
Carmubris,,DB00262
Carustine,Curacell Biotech,DB00262
Nitrumon,,DB00262
Gantrisin,Roche,DB00263
Neoxazol,,DB00263
Corvitol,Berlin-Chemie AG / Menarini Group,DB00264
Minax,Alphapharm Pty Limited,DB00264
Selokeen,AstraZeneca,DB00264
TOPROL-XL,"Lanett Company, Inc",DB00264
Crotamitex,Gepepharm,DB00265
Euracin,Green Cross (South Korea),DB00265
Bestcall,Takeda,DB00267
Cefmax,,DB00267
Tacef,Takeda,DB00267
Adartrel,,DB00268
ReQuip CR,GlaxoSmithKline,DB00268
Ronirol,,DB00268
Merbentul,Merrell,DB00269
Tace,Merrell,DB00269
Tace FN,Merrell,DB00269
Triagen,Gentili,DB00269
Clivoten,Italfarmaco (Italy),DB00270
Esradin,Sigma-Tau (Italy),DB00270
Lomir,"Novartis (Austria, Brazil, Czech Republic, Denmark, Finland, Germany, Greece, Hungary, Netherlands, Norway, Poland, Russia, Sweden), Sankyo (Belgium, Italy), Daiichi Sankyo (Portugal, Switzerland), Mizar (Spain)",DB00270
Prescal,Novartis (United Kingdom),DB00270
Cardiografin,,DB00271
Odiston,,DB00271
Urovison,Zydus,DB00271
Urovist,Bayer,DB00271
Gastramine,,DB00272
Histalog,Lilly,DB00272
Zefazone,,DB00274
Erastapex,Apex Pharma,DB00275
Golme,Golgi USA Research Laboratories Ltd,DB00275
Olmy,Zydus Cadila,DB00275
Olsar,Unichem Laboratories,DB00275
Olvance,Ranbaxy Laboratories Ltd,DB00275
WinBP,Abbott Healthcare Pvt Ltd,DB00275
Amekrin,,DB00276
AMSA P-D,,DB00276
Amsidine,,DB00276
Amsidyl,,DB00276
Respbid,,DB00277
Slo-Bid,,DB00277
Theo 24,,DB00277
Theo-Dur,,DB00277
Theodur G,,DB00277
Tertroxin,Aspen Pharmacare,DB00279
Dicorantil,Sanofi,DB00280
Isorythm,SERP,DB00280
Lispine,Sawai Seiyaku,DB00280
Ritmodan,Sanofi,DB00280
After Burn Double Strength Gel,,DB00281
After Burn Double Strength Spray,,DB00281
After Burn Gel,,DB00281
After Burn Spray,,DB00281
Alphacaine,,DB00281
Anestacon Jelly,,DB00281
DermaFlex,,DB00281
Dilocaine,,DB00281
Esracaine,,DB00281
L-Caine,,DB00281
Lidoject-1,,DB00281
Lidoject-2,,DB00281
LidoPain SP,,DB00281
Norwood Sunburn Spray,,DB00281
Xilocaina,,DB00281
Xylocaine,,DB00281
Aminomux,,DB00282
Pamimed,,DB00282
Ribodroat,,DB00282
Agasten,Novartis (Brazil),DB00283
Allerhist-1,,DB00283
Tavegil,Novartis,DB00283
Tavegyl,Novartis,DB00283
Tavist,Novartis,DB00283
Tavist-1,Novartis,DB00283
Glucobay,,DB00284
Prandase,Bayer AG,DB00284
Precose,,DB00284
Elafax,,DB00285
Travo-Z,,DB00287
Mycoderm,,DB00288
Penticort,,DB00288
Visderm,,DB00288
Tomoxetin,Torrent Pharmaceuticals Ltd,DB00289
Celkeran,Celon,DB00291
Chloraminophène,Techni-Pharma,DB00291
Hypnomidate,Janssen,DB00292
Kapanol,Mayne Pharma/Glaxo,DB00295
MSIR,Purdue Pharma,DB00295
Oramorph,Boeringher Ingelheim,DB00295
Bupivan,Sun,DB00297
Carbostesin,AstraZeneca,DB00297
Marcain,AstraZeneca,DB00297
Marcaina,AstraZeneca,DB00297
Sensorcaine-MPF,Astra Zeneca,DB00297
Rev-Eyes,,DB00298
Flopen,Aspen,DB00301
Floxapen,GSK,DB00301
Fluclox,ACI,DB00301
Softapen,,DB00301
Staphylex,Actavis,DB00301
Cyclo-F,,DB00302
Espercil,,DB00302
Femstrual,,DB00302
Rikavarin,,DB00302
Transamin,,DB00302
Transcam,,DB00302
Traxyl,,DB00302
Cerazette,Organon,DB00304
Marvelon,Adcock Ingram Pharmaceuticals,DB00304
Mitozytrex,,DB00305
Lotusate,Sanofi Aventis,DB00306
Eldesine,,DB00309
Eldisine,,DB00309
Hygroton,Novartis,DB00310
Saluretin,Balkanpharma,DB00310
Cardrase,PHARMACIA AND UPJOHN,DB00311
Ethamide,ALLERGAN,DB00311
Nembutal,Lundbeck,DB00312
Convulex,,DB00313
Depakine,,DB00313
Deprakine,,DB00313
Encorate,,DB00313
Epilim,,DB00313
Valcote,,DB00313
Valparin,,DB00313
Capastat,Akorn Incorporated,DB00314
Capreomycin,Bristol-Myers Squibb,DB00314
Helpomycin,Unifarm,DB00314
Kapocin,Macleods,DB00314
Lykocin,Lyka Labs Ltd.,DB00314
AscoTop,AstraZeneca,DB00315
Nomi,Square,DB00315
Zipton,,DB00315
Zolmiles,Actavis,DB00315
Zolmit,Beximco,DB00315
Zomigon,AstraZeneca,DB00315
Zomigoro,AstraZeneca,DB00315
Zomitan,Incepta,DB00315
Acamol,Teva,DB00316
Aceta Elixir,,DB00316
Aceta Tablets,,DB00316
Acetalgin,,DB00316
Actamin,,DB00316
Actimol,,DB00316
Algotropyl,,DB00316
Alvedon,,DB00316
Aminofen,,DB00316
Anacin-3,,DB00316
Anhiba,,DB00316
Apacet,,DB00316
Banesin,,DB00316
Calpol,,DB00316
Conacetol,,DB00316
Dafalgan,,DB00316
Dapa X-S,,DB00316
Disprol,,DB00316
Dolprone,,DB00316
Dymadon,,DB00316
Dypap,,DB00316
Enelfa,,DB00316
Febridol,,DB00316
Febrilix,,DB00316
Finimal,,DB00316
Gelocatil,,DB00316
Genapap,,DB00316
Genebs,,DB00316
Injectapap,,DB00316
Liquiprin,,DB00316
Napafen,,DB00316
Oraphen-PD,,DB00316
Paldesic,,DB00316
Panofen,,DB00316
Paraspen,,DB00316
Parmol,,DB00316
Redutemp,,DB00316
Rounox,,DB00316
Salzone,,DB00316
Snaplets-FR,,DB00316
St. Joseph Fever Reducer,,DB00316
Suppap,,DB00316
Tapanol,,DB00316
Valorin,,DB00316
Actacode,Sigma,DB00318
Bisoltus,Boehringer Ingelheim,DB00318
Bromophar,Qualiphar,DB00318
Bronchicum,Sanofi-Aventis,DB00318
Bronchodine,Pharmacobel,DB00318
Codant,Antigen,DB00318
Codedrill,Pierre Fabre,DB00318
Codein,Cristália,DB00318
Codeisan,Belmac,DB00318
Coderpina,Frycia Centro América,DB00318
Codicalm,Welti,DB00318
Codicept,,DB00318
Codinex,Pinewood,DB00318
Coducept,,DB00318
Cougel,Hwang's,DB00318
Coutan,Mey See,DB00318
Dinco,Center,DB00318
Farmacod,Farmacom,DB00318
Galcodine,Thornton & Ross,DB00318
Pectoral,Siphat,DB00318
Tussoret,MaxMedic,DB00318
Ecosette,Farmaceutici T.S.,DB00319
Farecillin,SF Group,DB00319
Penmalin,Sawai Seiyaku,DB00319
Pentcillin,Toyama Kagaku,DB00319
Peracin,Pharmadica,DB00319
Piciliant,Shiono Kemikaru,DB00319
Picillin,CT,DB00319
Picillina,CCPC,DB00319
Piperac,Klonal,DB00319
Stepten,Aversi,DB00319
Tronazam,Richmond,DB00319
Dihydergot,Sandoz,DB00320
Ergont,Sigmapharm,DB00320
Ergotonin,,DB00320
Ikaran,Pierre Fabre,DB00320
Orstanorm,Amdipharm,DB00320
Verladyn,Verla,DB00320
Adepril,Teofarma,DB00321
Amitryp,Raza,DB00321
Conmitrip,Condrugs,DB00321
Endep,Alphapharm,DB00321
Fiorda,Driburg,DB00321
Kamitrin,Saga,DB00321
Laroxyl,Deva,DB00321
Latilin,La Pharmaceuticals,DB00321
Maxitrip,Invision,DB00321
Redomex,Lundbeck,DB00321
Saroten,Lundbeck,DB00321
Sarotex,Lundbeck,DB00321
Sarotex Retard,Lundbeck,DB00321
Syneudon,Krewel Meuselbach,DB00321
Tryptanol,Merck Sharp & Dohme,DB00321
Tryptizol,Algorithm,DB00321
Uxen Retard,Sanofi-Aventis,DB00321
FUDR,Mayne,DB00322
Sen De Ning,Dexin Runsheng Pharmaceutical,DB00323
Efflumidex,Allergan,DB00324
Fluaton,Allergan,DB00324
Flumetholon,Ferron,DB00324
Flurolon,Allergan,DB00324
FML Liquifilm,Allergan,DB00324
Foxone,Winston,DB00324
Fucin,Mey See,DB00324
Fuluson,Dae Wo,DB00324
Fumelon,Han Lim,DB00324
Humetoron,Kuk Je,DB00324
Oxylone,,DB00324
Aconip,"Teika Pharmaceutical Co.,Ltd.",DB00328
Arthrexin,Alphapharm,DB00328
Elmetacin,Sankyo,DB00328
Indaflex,Andromaco,DB00328
Indocid,Lundbeck,DB00328
Indolar SR,Sandoz,DB00328
Indomed,Greater Pharma,DB00328
Indoxen,Quality Pharmaceutical,DB00328
Metindol,GlaxoSmithKline,DB00328
Mikametan,Mikasa Seiyaku,DB00328
Nu-Indo,Nu-Pharm,DB00328
Reumacide,Vitória,DB00328
Etibi,Valeant Canada Limited,DB00330
Tibutol,Refasa,DB00330
Apo-Metformin,Apotex,DB00331
Gen-Metformin,Genpharm ULC,DB00331
Novo-Metformin,Novopharm,DB00331
Nu-Metformin,Nu-Pharm,DB00331
Sandoz Metformin,Sandox,DB00331
Aerovent,Teva,DB00332
Apovent,Apotex Inc.,DB00332
Atronase,Boehringer Ingelheim,DB00332
Ipraxa,Ivax,DB00332
Ipvent,Cipla Medpro,DB00332
Rhinovent,Boehringer Ingelheim,DB00332
Rinatec,Boehringer Ingelheim,DB00332
Rinovagos,Valeas,DB00332
Adolan,,DB00333
Depridol,,DB00333
Heptadon,,DB00333
Heptanon,,DB00333
Ketalgin,,DB00333
Mephenon,,DB00333
Physeptone,,DB00333
Aedon,G.L. Pharma,DB00334
Amulsin,Sanitas,DB00334
Apisco,LKM,DB00334
Apsico,LKM,DB00334
Arkolamyl,Mylan,DB00334
Caprilon,Lavipharm,DB00334
CO Olanzapine,Cobalt,DB00334
Deprex,Square,DB00334
Dominazol,Stein,DB00334
Dopin,Daksh,DB00334
Egolanza,EGIS,DB00334
Elynza,Elynza,DB00334
Frenial,Biogen,DB00334
Jolyon-MD,Lupin,DB00334
Kozylex,Quisisana,DB00334
Lanopin,Molekule,DB00334
Lanzapin,Biogened,DB00334
Lanzep,Renata,DB00334
Lapenza,Smart Intermed,DB00334
Lapozan,Medochemie,DB00334
Lazapix,Portfarma,DB00334
Myocord,Ivax,DB00335
Normiten,Teva,DB00335
Furacin,,DB00336
Furaderm,,DB00336
Nitrofurazone,,DB00336
Aregen,Meda Pharm,DB00337
Rizan,Esteve,DB00337
Antra,,DB00338
Audazol,,DB00338
Belmazol,,DB00338
Ceprandal,,DB00338
Danlox,,DB00338
Desec,,DB00338
Elgam,,DB00338
Emeproton,,DB00338
Gasec,,DB00338
Gastrimut,,DB00338
Gastroloc,,DB00338
Indurgan,,DB00338
Inhibitron,,DB00338
Logastric,,DB00338
Losec,,DB00338
Mepral,,DB00338
Mopral,,DB00338
Olexin,,DB00338
Omapren,,DB00338
Omepral,,DB00338
Omeprazon,,DB00338
Omeprol,,DB00338
Omezol,,DB00338
Omisec,,DB00338
Omizac,,DB00338
Ortanol,,DB00338
Parizac,,DB00338
Prazidec,,DB00338
Prazolit,,DB00338
Procelac,,DB00338
Ramezol,,DB00338
Regulacid,,DB00338
Sanamidol,,DB00338
Ulceral,,DB00338
Ulcesep,,DB00338
Ultop,,DB00338
Zepral,,DB00338
Piraldina,Bracco,DB00339
Prazina,Armoxindo,DB00339
Pyrafat,Riemser,DB00339
Pyrazide,Sanofi-Aventis,DB00339
Tebrazid,Valeant,DB00339
Tisamid,Orion,DB00339
Cholinfall,,DB00340
Methixart,,DB00340
Tremaril,,DB00340
Tremarit,,DB00340
Alerlisin,,DB00341
Cetryn,,DB00341
Formistin,,DB00341
Hitrizin,,DB00341
Virlix,,DB00341
Zirtek,,DB00341
Zyrlex,,DB00341
Bronal,Galenika,DB00342
Daylert,Micro Labs,DB00342
Seldane,,DB00342
Servinin,Novartis ,DB00342
Teldane,,DB00342
Terfed,Cipla,DB00342
Terfenadin AL,Aliud,DB00342
Terfenadine FLX,Accord Healthcare,DB00342
Terfin,Interbat,DB00342
Ternadin,Dunar,DB00342
Trexyl,Ranbaxy,DB00342
Triludan,,DB00342
Acalix,Roemmers,DB00343
Adizem,Mundipharma,DB00343
Altiazem,Lusofarmaco,DB00343
Anoheal,,DB00343
Calcicard,,DB00343
Cartia,,DB00343
Dilacor,,DB00343
Dilacor-XR,Watson,DB00343
Dilcontin,Modi-Mundipharma,DB00343
Dilrene,Sanofi,DB00343
Dilticard,Intra,DB00343
Dilzem,Pfizer,DB00343
Herbesser,Mitsubishi Tanabe,DB00343
Incoril AP,Bago,DB00343
Masdil,Esteve,DB00343
Surazem,,DB00343
TAZTIA,,DB00343
Tildem,,DB00343
Viazem,Biovail,DB00343
Triptil,,DB00344
Alcinin,Pharmathen,DB00346
Alfasin XR,Incepta,DB00346
Alfetim,Sanofi-Aventis,DB00346
Alfoo,Dr. Reddy's,DB00346
Alfu,Rowex,DB00346
Alfuran,Terapia,DB00346
Alfusozina,Grey Inversiones,DB00346
Flotral,Ranbaxy,DB00346
Fual,Alkem,DB00346
Profuzo,Neiss,DB00346
Rantral,Ranbaxy,DB00346
Uriten,Square,DB00346
Xantral,Sanofi-Aventis,DB00346
Xelflo,Sun,DB00346
Zatral,Eskayef,DB00346
Minoale,Dainippon Sumitomo,DB00347
Aedon,Sanofi-Aventis,DB00349
Castilium,Sanofi-Aventis,DB00349
Clobam,Square,DB00349
Clobamax,Sherfarma,DB00349
