food_interaction,drugbank_id
Take with food. Food reduces irritation.,DB00247
"Take with food. Although absorption is not affected by food, food reduces irritation.",DB00248
Take with or without food. The absorption is unaffected by food.,DB00250
Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.,DB00252
Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.,DB00252
Take with food. Food reduces irritation and increases bioavailability.,DB00252
Avoid alcohol.,DB00254
"Avoid multivalent ions. Calcium, iron, and aluminum containing products taken up to 2 hours before and 6 hours after administration can decrease drug concentrations.",DB00254
Take with a full glass of water.,DB00254
Take with or without food.,DB00256
"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations.",DB00258
"Do not take with or immediately after a high-fat meal. High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown.",DB00260
"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",DB00261
Avoid echinacea.,DB00262
Avoid alcohol.,DB00264
Avoid natural licorice.,DB00264
Take with food.,DB00264
Take with or without food. May take with food to reduce nausea.,DB00268
Take with or without food.,DB00270
Avoid a ketogenic diet. This type of diet increases the risk of kidney stones.,DB00273
Take with or without food. Food slightly alters absorption but not to any clinically significant extent.,DB00273
Take with or without food. Food does not affect absorption.,DB00275
"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline.",DB00277
Avoid St. John's Wort.,DB00277
Take with or without food. Take consistently with regard to food.,DB00277
"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic.",DB00278
"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting.",DB00278
Exercise caution with St. John's Wort.,DB00278
Take with or without food.,DB00279
Avoid alcohol.,DB00280
Take with or without food. The absorption is unaffected by food.,DB00280
Avoid alcohol.,DB00283
Take with food.,DB00283
Take with food. Take at the beginning of a meal.,DB00284
Avoid alcohol. Prescribing information recommends the avoidance of alcohol during therapy.,DB00285
Avoid St. John's Wort. Co-administration of St. John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome.,DB00285
Take with food. Co-administration with food helps to alleviate/mitigate GI upset.,DB00285
Take with or without food. Consult individual product monograph for specific instructions.,DB00286
Take with or without food.,DB00289
"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.",DB00291
Drink plenty of fluids.,DB00291
Take on an empty stomach. Co-administration with food decreases bioavailability.,DB00291
Administer vitamin supplements.,DB00294
Avoid alcohol.,DB00294
Limit caffeine intake.,DB00294
Take at the same time every day.,DB00294
Take with food.,DB00294
"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death.",DB00295
Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food.,DB00295
Take with or without food.,DB00300
Take on an empty stomach.,DB00301
Take with or without food.,DB00302
Take with food.,DB00307
Take with food. Food may increase bioavailability.,DB00310
Avoid alcohol.,DB00313
Avoid milk and dairy products.,DB00313
Take with food.,DB00313
Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan.,DB00315
Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.,DB00316
Take with or without food. The absorption is unaffected by food.,DB00316
Avoid grapefruit products.,DB00317
Take with or without food. The absorption is unaffected by food.,DB00317
Avoid alcohol.,DB00318
Take with food. Food reduces irritation.,DB00318
"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine. Use caution if co-administering.",DB00320
Avoid alcohol.,DB00321
Avoid St. John's Wort.,DB00321
Limit caffeine intake.,DB00321
Take with food. Food reduces irritation.,DB00321
Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.,DB00323
Avoid alcohol.,DB00327
Take with or without food. Food does not significantly affect absorption.,DB00327
Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.,DB00328
"Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin.",DB00328
Take with food. Food reduces irritation.,DB00330
Avoid alcohol.,DB00331
Take with food. Food reduces irritation.,DB00331
Avoid alcohol.,DB00333
Take with or without food. Food does not significantly affect absorption.,DB00333
Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.,DB00334
Take with or without food. The absorption of olanzapine is unaffected by food.,DB00334
Take before a meal. Allow 30-60 minutes before a meal.,DB00338
Take with or without food. The absorption is unaffected by food.,DB00339
Avoid alcohol.,DB00341
Take with or without food. The absorption is unaffected by food.,DB00341
"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4. Co-administration may increase terfenadine concentrations and the risk of QT prolongation.",DB00342
Exercise caution with St. John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4.,DB00342
Avoid natural licorice. The risk of cardiovascular adverse effects may be increased.,DB00343
Take after a meal.,DB00346
Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.,DB00347
Limit the intake of phenylalanine and tyrosine.,DB00348
Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.,DB00348
Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.,DB00348
Avoid alcohol. Alcohol increases clobazam absorption by 50%.,DB00349
Take with or without food. The absorption is unaffected by food.,DB00349
Take with or without food. The absorption is unaffected by food.,DB00350
Take with food.,DB00351
"Take with or without food. However, food intake may lower tioguanine serum levels.",DB00352
"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine. Use caution if co-administering.",DB00353
Avoid alcohol.,DB00356
Take with or without food. The absorption is unaffected by food.,DB00356
Take with or without food. The absorption is unaffected by food.,DB00357
Avoid alcohol.,DB00358
Take with a full glass of water.,DB00358
Take with food.,DB00358
Take at the same time every day.,DB00360
"Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce.",DB00360
Avoid alcohol.,DB00363
Exercise caution with St. John's Wort. This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels.,DB00363
Limit caffeine intake. Caffeine may reduce clozapine metabolism.,DB00363
Take with or without food. The absorption is unaffected by food.,DB00363
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00364
Take separate from antacids. Take at least 30 minutes before or after antacids.,DB00364
Avoid caffeine.,DB00365
Drink plenty of fluids.,DB00365
Take with or without food. The absorption is unaffected by food.,DB00365
Avoid alcohol. Co-administration may increase drowsiness and fall risk.,DB00366
Take at the same time every day.,DB00367
Take with or without food. The effect of food on absorption has not been evaluated.,DB00367
Avoid alcohol.,DB00370
Take with or without food. Food does not significantly affect absorption.,DB00370
Avoid alcohol.,DB00371
Take with or without food. Food does not significantly affect absorption.,DB00371
Take with food. Taking treprostinil with food increases oral absorption.,DB00374
Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.,DB00375
Take with food.,DB00375
Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.,DB00376
Take with or without food.,DB00377
Take with food. Food reduces irritation.,DB00379
Avoid grapefruit products.,DB00381
Avoid natural licorice.,DB00381
Take with or without food. The absorption is unaffected by food.,DB00381
Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.,DB00384
Take with or without food. Taking with food may reduce the adverse effects of procyclidine.,DB00387
Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.,DB00390
Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.,DB00390
Avoid St. John's Wort. This drug can decrease digoxin levels.,DB00390
Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.,DB00390
Avoid grapefruit products.,DB00393
Take with or without food. Take consistently at the same time in regard to meals.,DB00393
Avoid alcohol.,DB00395
Take with or without food. The absorption is unaffected by food.,DB00395
Administer vitamin supplements.,DB00396
Avoid alcohol.,DB00396
Limit caffeine intake.,DB00396
Take at the same time every day.,DB00396
Take with food.,DB00396
Limit caffeine intake.,DB00397
Take with or without food. The absorption is unaffected by food.,DB00397
Take on an empty stomach. Take sorafenib with at least one-hour separation before meals and two hours after meals.,DB00398
Avoid alcohol.,DB00400
Take with a high fat meal.,DB00400
Avoid grapefruit products.,DB00401
Avoid alcohol.,DB00402
Do not take with or immediately after a high-fat meal. This decreases the absorption of eszopiclone.,DB00402
Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.,DB00404
Avoid grapefruit products.,DB00404
Limit caffeine intake.,DB00404
"Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected.",DB00404
Avoid alcohol. Taking with alcohol may increase drowsiness.,DB00405
Avoid alcohol.,DB00408
Take with food. Food reduces irritation.,DB00408
Take with or without food. The absorption is unaffected by food.,DB00409
Take with or without food.,DB00412
Take with or without food. Food decreases the risk of GI side effects.,DB00413
Avoid alcohol.,DB00414
Take with or without food. The absorption is unaffected by food.,DB00414
Take on an empty stomach.,DB00415
Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food.,DB00417
Avoid alcohol. Taking with alcohol may cause additive CNS depression.,DB00418
Take on an empty stomach. This may increase the rate of absorption.,DB00418
Take at the same time every day.,DB00419
Take with or without food.,DB00419
Avoid alcohol.,DB00421
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00421
Take with or without food. Food increases the bioavailability of spironolactone by nearly 100%. It should be taken at a consistent time in regards to food.,DB00421
"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate.",DB00422
Take with or without food. Patients may take methylphenidate with food to alleviate GI upset.,DB00422
Avoid alcohol.,DB00423
Take with or without food. The absorption is unaffected by food.,DB00423
Take before a meal. Take 30-60 minutes before a meal.,DB00424
Avoid alcohol.,DB00425
Take separate from meals. This drug should not be administered with or immediately after a meal.,DB00425
Take with or without food. The absorption is unaffected by food.,DB00426
Avoid alcohol. Taking with alcohol may increase drowsiness.,DB00427
Avoid excessive or chronic alcohol consumption.,DB00431
Take with food.,DB00432
Avoid alcohol. The drug may intensify or prolong the action of central nervous system depressants.,DB00433
Avoid alcohol.,DB00434
Take with food.,DB00434
Take with food. Food increases bioavailability.,DB00436
Avoid alcohol.,DB00437
Take with a full glass of water.,DB00437
Take with food.,DB00437
Avoid grapefruit products.,DB00439
Take with or without food. The absorption is unaffected by food.,DB00439
Take on an empty stomach. Take 2 hours before or 2 hours after a meal.,DB00442
Drink plenty of fluids. Increased fluid intake increases urine output and the excretion of uric acid.,DB00445
Take on an empty stomach.,DB00446
Take on an empty stomach. Food decreases absorption.,DB00447
Take before a meal. Take 30-60 minutes before meals.,DB00448
Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.,DB00451
Avoid grapefruit products. Grapefruit may delay the absorption of this medication.,DB00451
Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.,DB00451
"Avoid multivalent ions. Examples include iron, magnesium, and calcium. These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours.",DB00451
"Do not take with bran and high fiber foods. Dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine.",DB00451
Take on an empty stomach. Levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day.,DB00451
Avoid alcohol.,DB00454
Take with or without food. Food does not significantly affect absorption.,DB00454
Avoid alcohol.,DB00457
Avoid natural licorice.,DB00457
Take with or without food. The absorption is unaffected by food.,DB00457
Avoid alcohol.,DB00458
Avoid St. John's Wort.,DB00458
Do not take with bran and high fiber foods.,DB00458
Limit caffeine intake.,DB00458
Take with food.,DB00458
Avoid alcohol. Women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. Alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.,DB00459
Take with food. Taking acitretin with the main meal of the day improves oral absorption.,DB00459
Avoid alcohol. Alcohol use may aggravate the gastrointestinal irritation caused by this drug.,DB00461
Take with food. Food increases the rate of absorption.,DB00461
Take before a meal. Take methscopolamine bromide 30 minutes before meals and at bedtime for optimal therapeutic effect.,DB00462
Take with food. Food reduces GI irritation.,DB00465
Take with food. Food reduces irritation.,DB00468
Take with food. Food may minimize stomach upset caused by tenoxicam.,DB00469
Avoid alcohol.,DB00470
Take with or without food. The absorption is unaffected by food.,DB00470
Take with or without food. The absorption is unaffected by food.,DB00471
Avoid alcohol.,DB00472
Take with or without food.,DB00472
Avoid alcohol. Alcohol intake may cause additive CNS depressant effects.,DB00474
Avoid alcohol.,DB00475
Take with or without food. The absorption is unaffected by food.,DB00475
Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.,DB00476
Take with or without food. Do not sprinkle the contents of the capsules on food/liquids.,DB00476
Avoid alcohol.,DB00477
Take with food. Food reduces irritation.,DB00477
"Take with or without food. High-fat meals decrease absorption, but not to a clinically significant extent.",DB00480
Avoid excessive or chronic alcohol consumption. Excessive and chronic alcohol consumption may be associated with vitamin D deficiency.,DB00481
Take with or without food. The absorption is unaffected by food.,DB00481
Avoid alcohol. Alcohol increases the risk of gastrointestinal irritation.,DB00482
Avoid multivalent ions. Separate the administration of aluminum and magnesium containing drugs by several hours.,DB00482
"Take with or without food. Doses up to 200 mg can be taken without regard to food, but doses of 400mg or higher should be taken with food.",DB00482
Avoid alcohol. Alcohol intake may potentially lead to additive CNS depressant effects.,DB00484
Take on an empty stomach. Food decreases bioavailability.,DB00485
Avoid alcohol.,DB00486
Take with or without food. Food does not significantly affect absorption.,DB00486
Take after a meal. Take altretamine after meals and at bedtime.,DB00488
Take with or without food. Oral sotalol with a meal reduces absorption by 20%.,DB00489
Avoid alcohol. Alcohol may cause additive CNS depressant effects.,DB00490
Avoid grapefruit products. Grapefruit increases the plasma concentrations of the drug.,DB00490
Take at the same time every day. Take consistently at the same time in regard to meals.,DB00490
Take with or without food. Take drug always with or always without food in a consistent manner.,DB00490
Take with food. Take at the beginning of a meal.,DB00491
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",DB00492
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00492
Limit salt intake. Salt may attenuate the antihypertensive effect.,DB00492
Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.,DB00492
Take with or without food. The absorption is unaffected by food.,DB00492
Take with or without food. The absorption is unaffected by food.,DB00494
Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.,DB00495
Take with or without food. The absorption is unaffected by food.,DB00496
Avoid alcohol.,DB00497
Take with or without food. Food does not significantly affect absorption.,DB00497
Take with or without food. The absorption is unaffected by food.,DB00499
"Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.",DB00500
"Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.",DB00500
Avoid alcohol.,DB00501
Limit caffeine intake.,DB00501
Take with food.,DB00501
Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.,DB00502
Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.,DB00503
Take with food. Food improves oral bioavailability.,DB00507
Take with or without food. The absorption is unaffected by food.,DB00509
Take with or without food.,DB00512
Take with or without food. The absorption is unaffected by food.,DB00513
Take with or without food. The absorption is unaffected by food.,DB00514
"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.",DB00515
Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.,DB00518
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",DB00519
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00519
Limit salt intake. Salt may attenuate the antihypertensive effect.,DB00519
Take with or without food. The absorption is unaffected by food.,DB00519
Take at the same time every day.,DB00523
Take with food. Food increases the bioavailability of alitretinoin capsules.,DB00523
Take with food. Food reduces irritation.,DB00524
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00530
Take with a full glass of water.,DB00530
Drink plenty of fluids. Drink 2 to 3 liters of fluids a day.,DB00531
Take with food. Food reduces irritation.,DB00531
"Avoid multivalent ions. Do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication.",DB00535
Take with or without food. The absorption is unaffected by food.,DB00535
Avoid milk and dairy products. Dairy products and calcium fortified juices decrease the absorption of ciprofloxacin.,DB00537
Limit caffeine intake.,DB00537
Take with or without food. The absorption is not significantly affected by food.,DB00537
"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and therefore, may elevate toremifene serum levels.",DB00539
Take with or without food.,DB00539
Avoid alcohol.,DB00540
Take with or without food. Food decreases gastrointestinal irritation.,DB00540
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00542
Take with or without food. Food slows the rate of absorption but not the extent.,DB00542
Avoid alcohol.,DB00543
Take with food. Food reduces irritation.,DB00543
Take with food. Food decreases irritation.,DB00545
"Avoid alcohol. Alcohol may cause flushing; therefore, it may worsen rosacea.",DB00548
"Take with or without food. Food and drink, which have a high temperature or are spicy, may exacerbate flushing and rosacea, avoid if possible.",DB00548
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00549
Take at the same time every day.,DB00550
Avoid alcohol. Concomitant use of acetohydroxamic acid with alcohol may cause a rash.,DB00551
"Avoid iron supplements. Acetohydroxamic acid chelates iron, therefore oral supplementation of iron will reduce levels of both iron and acetohydroxamic acid.",DB00551
Take on an empty stomach.,DB00551
Take with food. Take this medication with food or milk.,DB00553
Avoid alcohol.,DB00554
Take with food.,DB00554
Take with or without food. The absorption is unaffected by food.,DB00555
Avoid alcohol. Co-administration with alcohol may potentiate the CNS adverse effects of hydroxyzine.,DB00557
Avoid grapefruit products. Co-administration with grapefruit inhibits hydroxyzine metabolism and can result in elevated serum concentrations.,DB00557
Take with or without food. The absorption is unaffected by food.,DB00559
Avoid alcohol.,DB00563
Avoid milk and dairy products. Milk and dairy products reduce absorption.,DB00563
Exercise caution with St. John's Wort.,DB00563
Limit caffeine intake. Caffeine may reduce the effectiveness of methotrexate.,DB00563
Take with or without food.,DB00563
Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,DB00564
Avoid grapefruit products.,DB00564
Exercise caution with St. John's Wort. This herb induces the CYP3A metabolism of carbamazepine and may reduce its serum concentration.,DB00564
Take with or without food.,DB00564
"Take with or without food. Capsules may be opened, and contents sprinkled on soft food for individuals with difficulty swallowing.",DB00566
Take with or without food.,DB00567
Avoid alcohol. Alcohol increases propranolol plasma concentrations.,DB00571
"Avoid natural licorice. Natural licorice inhibits the metabolism of propranolol, increasing drug exposure.",DB00571
Take with food.,DB00571
Avoid alcohol.,DB00572
Take with food.,DB00572
Avoid alcohol.,DB00573
Take with food. Food reduces irritation.,DB00573
Take with or without food. The absorption is unaffected by food.,DB00574
Avoid alcohol.,DB00575
Take with or without food. The absorption is unaffected by food.,DB00575
Take separate from meals. Take Urobiotic at least 1 hour before or 2 hours after eating.,DB00576
Take with or without food.,DB00577
Take on an empty stomach.,DB00578
Take with or without food. Preferably take 1 hour before a meal. Taking with food may reduce GI disturbance.,DB00579
Avoid alcohol. Ingesting alcohol may increase the risk of gastrointestinal bleeding.,DB00580
Take with or without food.,DB00580
Drink plenty of fluids. This drug may cause fluid loss.,DB00581
Take with or without food.,DB00581
Take separate from meals. Take voriconazole at least one hour before or after eating for optimal absorption.,DB00582
"Take with food. Taking levocarnitine oral solution with meals may reduce gastrointestinal upset such as nausea, vomiting, and cramping.",DB00583
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Additive hypertensive effects may occur.",DB00584
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00584
Take with or without food. The absorption is unaffected by food.,DB00584
Avoid alcohol.,DB00585
Limit caffeine intake.,DB00585
Take with or without food. The absorption is unaffected by food.,DB00585
"Avoid excessive or chronic alcohol consumption. Co-administration with alcohol may increase the risk of gastrointestinal side effects, such as ulceration.",DB00586
Take with food. Food reduces gastric irritation.,DB00586
Avoid alcohol.,DB00590
Take with or without food.,DB00590
Take with or without food. The absorption is unaffected by food.,DB00592
Avoid alcohol.,DB00593
Take with food.,DB00593
Avoid drastic dietary changes.,DB00594
Avoid natural licorice.,DB00594
Avoid potassium-containing products.,DB00594
Take with food. Food reduces irritation.,DB00594
Avoid milk and dairy products. Take at least 1 hour before or two hours after consuming dairy products.,DB00595
Take separate from meals. Take at least one hour before or two hours after a meal.,DB00595
Take with or without food. The absorption is unaffected by food.,DB00598
Take with or without food. The absorption is unaffected by food.,DB00601
Take on an empty stomach.,DB00602
Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of medroxyprogesterone acetate.,DB00603
Take with food. Food increases the bioavailability of medroxyprogesterone acetate.,DB00603
Avoid grapefruit products.,DB00604
Exercise caution with St. John's Wort.,DB00604
