identifier,name,parent_key
PF02690,Na_Pi_cotrans,BE0008681
PF02690,Na_Pi_cotrans,BE0008682
PF02690,Na_Pi_cotrans,BE0008683
PF00230,MIP,BE0010003
PF00230,MIP,BE0010004
PF00230,MIP,BE0002037
PF00520,Ion_trans,BE0005126
PF16519,TRPM_tetra,BE0005126
PF02816,Alpha_kinase,BE0005126
PF01769,MgtE,BE0008673
PF00571,CBS,BE0008674
PF01595,DUF21,BE0008674
PF00520,Ion_trans,BE0004624
PF16519,TRPM_tetra,BE0004624
PF02816,Alpha_kinase,BE0004624
PF03160,Calx-beta,BE0000986
PF01699,Na_Ca_ex,BE0000986
PF16494,Na_Ca_ex_C,BE0000986
PF00520,Ion_trans,BE0000012
PF01390,SEA,BE0003501
PF00520,Ion_trans,BE0005102
PF12796,Ank_2,BE0005102
PF00520,Ion_trans,BE0005112
PF12796,Ank_2,BE0005112
PF00520,Ion_trans,BE0000739
PF02815,MIR,BE0000739
PF08454,RIH_assoc,BE0000739
PF06459,RR_TM4-6,BE0000739
PF01365,RYDR_ITPR,BE0000739
PF02026,RyR,BE0000739
PF00622,SPRY,BE0000739
PF13833,EF-hand_8,BE0000739
PF08709,Ins145_P3_rec,BE0000739
PF00520,Ion_trans,BE0005295
PF02815,MIR,BE0005295
PF08454,RIH_assoc,BE0005295
PF06459,RR_TM4-6,BE0005295
PF01365,RYDR_ITPR,BE0005295
PF02026,RyR,BE0005295
PF00622,SPRY,BE0005295
PF13833,EF-hand_8,BE0005295
PF08709,Ins145_P3_rec,BE0005295
PF08016,PKD_channel,BE0008712
PF00520,Ion_trans,BE0005296
PF02815,MIR,BE0005296
PF08454,RIH_assoc,BE0005296
PF06459,RR_TM4-6,BE0005296
PF01365,RYDR_ITPR,BE0005296
PF02026,RyR,BE0005296
PF00622,SPRY,BE0005296
PF08709,Ins145_P3_rec,BE0005296
PF01477,PLAT,BE0008713
PF00059,Lectin_C,BE0008713
PF01825,GPS,BE0008713
PF08016,PKD_channel,BE0008713
PF00520,Ion_trans,BE0008714
PF00520,Ion_trans,BE0008715
PF08763,Ca_chan_IQ,BE0008715
PF16905,GPHH,BE0008715
PF16885,CAC1F_C,BE0008715
PF00520,Ion_trans,BE0008717
PF08763,Ca_chan_IQ,BE0008717
PF16905,GPHH,BE0008717
PF00520,Ion_trans,BE0008716
PF00520,Ion_trans,BE0008718
PF08763,Ca_chan_IQ,BE0008718
PF16905,GPHH,BE0008718
PF04593,SelP_C,BE0005533
PF04592,SelP_N,BE0005533
PF00650,CRAL_TRIO,BE0000643
PF03765,CRAL_TRIO_N,BE0000643
PF00650,CRAL_TRIO,BE0000076
PF03765,CRAL_TRIO_N,BE0000076
PF00650,CRAL_TRIO,BE0000256
PF03765,CRAL_TRIO_N,BE0000256
PF00650,CRAL_TRIO,BE0000339
PF00520,Ion_trans,BE0004522
PF02815,MIR,BE0004522
PF08454,RIH_assoc,BE0004522
PF01365,RYDR_ITPR,BE0004522
PF08709,Ins145_P3_rec,BE0004522
PF00005,ABC_tran,BE0004750
PF01061,ABC2_membrane,BE0004750
PF00005,ABC_tran,BE0004751
PF01061,ABC2_membrane,BE0004751
PF07686,V-set,BE0009680
PF00520,Ion_trans,BE0000090
PF00027,cNMP_binding,BE0000090
PF13426,PAS_9,BE0000090
PF01593,Amino_oxidase,BE0002196
PF00267,Porin_1,BE0003941
PF00474,SSF,BE0009368
PF06963,FPN1,BE0009856
PF00689,Cation_ATPase_C,BE0000732
PF00690,Cation_ATPase_N,BE0000732
PF00122,E1-E2_ATPase,BE0000732
PF00689,Cation_ATPase_C,BE0009378
PF00690,Cation_ATPase_N,BE0009378
PF00122,E1-E2_ATPase,BE0009378
PF09040,H-K_ATPase_N,BE0009378
PF00858,ASC,BE0000190
PF00858,ASC,BE0000024
PF00858,ASC,BE0000497
PF00822,PMP22_Claudin,BE0009861
PF01769,MgtE,BE0009863
PF01545,Cation_efflux,BE0009891
PF01545,Cation_efflux,BE0009892
PF01545,Cation_efflux,BE0009895
PF01545,Cation_efflux,BE0009886
PF01545,Cation_efflux,BE0009907
PF01545,Cation_efflux,BE0009898
PF01545,Cation_efflux,BE0009885
PF01545,Cation_efflux,BE0009896
PF01545,Cation_efflux,BE0009890
PF01545,Cation_efflux,BE0009899
PF02535,Zip,BE0009902
PF02535,Zip,BE0009889
PF02535,Zip,BE0009904
PF02535,Zip,BE0009894
PF18292,ZIP4_domain,BE0009894
PF02535,Zip,BE0009888
PF02535,Zip,BE0009887
PF02535,Zip,BE0009893
PF02535,Zip,BE0009901
PF02535,Zip,BE0009905
PF02535,Zip,BE0009884
PF02535,Zip,BE0009906
PF02535,Zip,BE0009897
PF18292,ZIP4_domain,BE0009897
PF02535,Zip,BE0009900
PF02535,Zip,BE0009903
PF00529,HlyD,BE0009805
PF16576,HlyD_D23,BE0009805
PF07715,Plug,BE0009806
PF00593,TonB_dep_Rec,BE0009806
PF07715,Plug,BE0004172
PF00593,TonB_dep_Rec,BE0004172
PF07715,Plug,BE0009807
PF00593,TonB_dep_Rec,BE0009807
PF07974,EGF_2,BE0001155
PF00362,Integrin_beta,BE0001155
PF08725,Integrin_b_cyt,BE0001155
PF07965,Integrin_B_tail,BE0001155
