number,country,approved,expires,pediatric-extension,parent_key
8551528,United States,2013-10-08,2030-06-11,false,DB00030
7464706,United States,2008-12-16,2023-03-02,false,DB00030
8729019,United States,2014-05-20,2028-12-26,false,DB00030
7305986,United States,2007-12-11,2023-01-16,false,DB00030
8499757,United States,2013-08-06,2032-02-19,false,DB00030
8156936,United States,2012-04-17,2023-01-16,false,DB00030
8734845,United States,2014-05-27,2030-06-11,false,DB00030
8227409,United States,2012-07-24,2031-03-08,false,DB00030
9393372,United States,2016-07-19,2029-07-04,false,DB00030
9339615,United States,2016-05-17,2029-10-20,false,DB00030
9511198,United States,2016-12-06,2030-02-16,false,DB00030
9597374,United States,2017-03-21,2031-10-08,false,DB00030
9358352,United States,2016-06-07,2031-02-15,false,DB00030
9446133,United States,2016-09-20,2029-06-12,false,DB00030
9662461,United States,2017-05-30,2029-06-12,false,DB00030
9717689,United States,2017-08-01,2026-09-14,false,DB00030
9943571,United States,2018-04-17,2029-08-11,false,DB00030
10046031,United States,2018-08-14,2029-08-11,false,DB00030
10201672,United States,2019-02-12,2030-08-02,false,DB00030
10342938,United States,2019-07-09,2029-06-12,false,DB00030
10500159,United States,2019-12-10,2030-11-02,false,DB00030
2129660,Canada,2005-06-28,2013-05-28,false,DB00031
1341432,Canada,2003-06-17,2020-06-17,false,DB00031
6936695,United States,2005-08-30,2022-08-30,false,DB00033
6936694,United States,2005-08-30,2022-08-30,false,DB00033
2172664,Canada,2000-10-03,2016-03-26,false,DB00034
7022340,United States,2006-04-04,2023-04-30,false,DB00035
5500413,United States,1996-03-19,2013-06-29,false,DB00035
2484724,Canada,2007-01-16,2023-05-07,false,DB00035
2486833,Canada,2005-08-02,2024-04-30,false,DB00035
9539302,United States,2017-01-10,2030-06-15,false,DB00035
7799761,United States,2010-09-21,2024-09-26,false,DB00035
7405203,United States,2008-07-29,2023-05-06,false,DB00035
7579321,United States,2009-08-25,2023-05-06,false,DB00035
9919025,United States,2018-03-20,2023-05-07,false,DB00035
9220747,United States,2015-12-29,2023-05-07,false,DB00035
9504647,United States,2016-11-29,2023-05-07,false,DB00035
9974826,United States,2018-05-22,2030-04-13,false,DB00035
8802624,United States,2014-08-12,2023-12-29,false,DB00035
7560429,United States,2009-07-14,2024-02-02,false,DB00035
7947654,United States,2011-05-24,2023-12-29,false,DB00035
10137167,United States,2018-11-27,2029-05-21,false,DB00035
10307459,United States,2019-06-04,2023-05-07,false,DB00035
10213487,United States,2019-02-26,2036-02-16,false,DB00040
6938798,United States,2005-09-06,2022-01-03,false,DB00040
9649364,United States,2017-05-16,2036-04-22,false,DB00040
2113813,Canada,2005-04-12,2012-08-14,false,DB00043
1340233,Canada,1998-12-15,2015-12-15,false,DB00043
5767251,United States,1998-06-16,2015-06-16,false,DB00044
5474978,United States,1995-12-12,2014-06-16,false,DB00046
5514646,United States,1996-05-07,2013-05-07,false,DB00046
2151564,Canada,2003-02-11,2015-06-12,false,DB00046
2151560,Canada,2000-05-09,2015-06-12,false,DB00046
7291132,United States,2007-11-06,2024-08-09,false,DB00046
6551992,United States,2003-04-22,2018-06-11,false,DB00046
6034054,United States,2000-03-07,2018-06-11,false,DB00046
9011391,United States,2015-04-21,2024-03-26,false,DB00046
9233211,United States,2016-01-12,2024-03-02,false,DB00046
8603044,United States,2013-12-10,2024-03-02,false,DB00046
8512297,United States,2013-08-20,2024-09-15,false,DB00046
8679069,United States,2014-03-25,2025-04-12,false,DB00046
8992486,United States,2015-03-31,2024-06-05,false,DB00046
8556864,United States,2013-10-15,2024-03-03,false,DB00046
7918833,United States,2011-04-05,2028-03-23,true,DB00046
9561331,United States,2017-02-07,2024-08-28,false,DB00046
9623189,United States,2017-04-18,2024-08-19,false,DB00046
9610409,United States,2017-04-04,2024-03-02,false,DB00046
9526844,United States,2016-12-27,2024-03-02,false,DB00046
9604008,United States,2017-03-28,2024-03-02,false,DB00046
9533105,United States,2017-01-03,2024-08-17,false,DB00046
9408979,United States,2016-08-09,2024-03-02,false,DB00046
9604009,United States,2017-03-28,2024-08-16,false,DB00046
9775954,United States,2017-10-03,2024-03-02,false,DB00046
9827379,United States,2017-11-28,2024-03-02,false,DB00046
9717852,United States,2017-08-01,2033-04-08,false,DB00046
6100376,United States,2000-08-08,2009-11-06,false,DB00047
1339044,Canada,1997-04-01,2014-04-01,false,DB00047
9011391,United States,2015-04-21,2024-03-26,false,DB00047
9233211,United States,2016-01-12,2024-03-02,false,DB00047
8603044,United States,2013-12-10,2024-03-02,false,DB00047
8512297,United States,2013-08-20,2024-09-15,false,DB00047
8679069,United States,2014-03-25,2025-04-12,false,DB00047
8992486,United States,2015-03-31,2024-06-05,false,DB00047
8556864,United States,2013-10-15,2024-03-03,false,DB00047
7918833,United States,2011-04-05,2028-03-23,true,DB00047
7713930,United States,2010-05-11,2023-12-13,true,DB00047
7476652,United States,2009-01-13,2024-01-23,true,DB00047
9561331,United States,2017-02-07,2024-08-28,false,DB00047
9623189,United States,2017-04-18,2024-08-19,false,DB00047
9610409,United States,2017-04-04,2024-03-02,false,DB00047
9526844,United States,2016-12-27,2024-03-02,false,DB00047
9604008,United States,2017-03-28,2024-03-02,false,DB00047
9533105,United States,2017-01-03,2024-08-17,false,DB00047
9408979,United States,2016-08-09,2024-03-02,false,DB00047
9604009,United States,2017-03-28,2024-08-16,false,DB00047
RE45313,United States,2014-12-30,2020-07-12,false,DB00047
9526764,United States,2016-12-27,2029-10-09,false,DB00047
9345750,United States,2016-05-24,2031-05-18,false,DB00047
9707176,United States,2017-07-18,2030-11-11,false,DB00047
9775954,United States,2017-10-03,2024-03-02,false,DB00047
9827379,United States,2017-11-28,2024-03-02,false,DB00047
9821032,United States,2017-11-21,2032-05-09,false,DB00047
9950039,United States,2018-04-24,2035-12-10,false,DB00047
9717852,United States,2017-08-01,2033-04-08,false,DB00047
10029011,United States,2018-07-24,2032-08-02,false,DB00047
10117909,United States,2018-11-06,2029-10-09,false,DB00047
10369291,United States,2019-08-06,2035-09-16,false,DB00047
2175971,Canada,2003-12-30,2016-05-07,false,DB00049
2148537,Canada,2002-07-16,2015-05-03,false,DB00049
5198533,United States,1993-03-30,2010-10-24,false,DB00050
2115943,Canada,2003-08-05,2014-02-18,false,DB00050
6319192,United States,2001-11-20,2019-04-23,false,DB00050
2243459,Canada,2002-09-17,2017-02-10,false,DB00051
5288703,United States,1994-02-22,2011-10-07,false,DB00052
2252535,Canada,2009-06-23,2017-04-24,false,DB00052
1326439,Canada,1994-01-25,2011-01-25,false,DB00052
6152897,United States,2000-11-28,2018-11-20,false,DB00052
5898030,United States,1999-04-27,2016-04-27,false,DB00052
8672898,United States,2014-03-18,2022-07-02,true,DB00052
8684969,United States,2014-04-01,2026-04-20,true,DB00052
9132239,United States,2015-09-15,2032-08-01,true,DB00052
8920383,United States,2014-12-30,2027-01-17,true,DB00052
7686786,United States,2010-03-30,2026-08-03,false,DB00052
6899699,United States,2005-05-31,2022-07-01,true,DB00052
9108002,United States,2015-08-18,2026-07-26,true,DB00052
RE41956,United States,2010-11-23,2021-07-21,true,DB00052
6004297,United States,1999-12-21,2019-07-28,true,DB00052
RE43834,United States,2012-11-27,2019-01-28,false,DB00052
5849700,United States,1998-12-15,2015-12-15,false,DB00052
5849704,United States,1998-12-15,2015-12-15,false,DB00052
8841252,United States,2014-09-23,2017-12-26,false,DB00052
6235004,United States,2001-05-22,2019-01-28,false,DB00052
9486588,United States,2016-11-08,2022-07-02,true,DB00052
9457154,United States,2016-10-04,2028-03-27,true,DB00052
RE46363,United States,2017-04-11,2027-02-03,true,DB00052
9687611,United States,2017-06-27,2027-08-27,true,DB00052
9775953,United States,2017-10-03,2027-01-17,true,DB00052
9861757,United States,2018-01-09,2026-07-20,true,DB00052
9616180,United States,2017-04-11,2026-07-20,true,DB00052
7762994,United States,2010-07-27,2024-11-23,true,DB00052
8579869,United States,2013-11-12,2023-12-30,true,DB00052
10220155,United States,2019-03-05,2027-01-17,true,DB00052
10357616,United States,2019-07-23,2026-01-20,false,DB00052
10376652,United States,2019-08-13,2026-01-20,false,DB00052
5549892,United States,1996-08-27,2013-08-27,false,DB00053
1341357,Canada,2002-05-07,2019-05-07,false,DB00054
2139468,Canada,2007-08-21,2015-01-03,false,DB00055
2036894,Canada,2002-01-15,2011-02-22,false,DB00055
5773001,United States,1998-06-30,2015-06-30,false,DB00056
5585089,United States,1996-12-17,2013-12-17,false,DB00056
1341604,Canada,2010-05-04,2027-05-04,false,DB00060
5558094,United States,1996-09-24,2012-02-28,false,DB00062
6723303,United States,2004-04-20,2021-04-20,false,DB00062
5686570,United States,1997-11-11,2014-11-11,false,DB00063
2133205,Canada,2007-04-17,2013-04-27,false,DB00063
5807825,United States,1998-09-15,2015-09-15,false,DB00063
2106299,Canada,2001-02-06,2012-03-18,false,DB00065
5270057,United States,1993-12-14,2011-03-20,false,DB00066
2037884,Canada,2003-10-21,2011-03-08,false,DB00066
7563763,United States,2009-07-21,2019-08-23,false,DB00066
5929028,United States,1999-07-27,2018-01-14,false,DB00066
7446090,United States,2008-11-04,2019-08-23,false,DB00066
7741268,United States,2010-06-22,2024-04-02,false,DB00066
9687526,United States,2017-06-27,2035-01-30,false,DB00067
9375478,United States,2016-06-28,2035-01-30,false,DB00067
9744209,United States,2017-08-29,2035-01-30,false,DB00067
9744239,United States,2017-08-29,2035-01-30,false,DB00067
9750785,United States,2017-09-05,2035-01-30,false,DB00067
9937223,United States,2018-04-10,2035-01-30,false,DB00067
10010575,United States,2015-01-30,2035-01-30,false,DB00067
9925233,United States,2015-01-30,2035-01-30,false,DB00067
9974827,United States,2015-01-30,2035-01-30,false,DB00067
9968649,United States,2015-01-30,2035-01-30,false,DB00067
9962422,United States,2015-01-30,2035-01-30,false,DB00067
9925234,United States,2015-01-30,2035-01-30,false,DB00067
9981006,United States,2015-01-30,2035-01-30,false,DB00067
9919026,United States,2015-01-30,2035-01-30,false,DB00067
1340861,Canada,1999-12-28,2016-12-28,false,DB00068
1339707,Canada,1998-03-10,2015-03-10,false,DB00068
2103059,Canada,2005-03-22,2012-06-15,false,DB00072
2149329,Canada,2008-07-15,2013-11-12,false,DB00073
1336826,Canada,1995-08-29,2012-08-29,false,DB00073
5736137,United States,1998-04-07,2015-04-07,false,DB00073
2038279,Canada,1999-03-09,2011-03-11,false,DB00074
2149329,Canada,2008-07-15,2013-11-12,false,DB00078
2344318,Canada,2006-07-04,2019-09-24,false,DB00080
6468967,United States,2002-10-22,2019-09-24,false,DB00080
6852689,United States,2005-02-08,2019-09-24,false,DB00080
8003673,United States,2011-08-23,2028-09-04,false,DB00080
RE39071,United States,2006-04-18,2016-06-15,false,DB00080
8058238,United States,2011-11-15,2020-11-28,false,DB00080
8129342,United States,2012-03-06,2020-11-28,false,DB00080
9138456,United States,2015-09-22,2030-11-23,false,DB00080
5350836,United States,1994-09-27,2011-09-27,false,DB00082
2230492,Canada,2009-05-26,2016-09-20,false,DB00082
2102129,Canada,2003-04-01,2012-05-01,false,DB00082
6057292,United States,2000-05-02,2015-09-21,false,DB00082
5849535,United States,1998-12-15,2017-03-25,false,DB00082
2280565,Canada,2005-11-15,2019-08-20,false,DB00083
2310845,Canada,2001-05-15,2014-06-07,false,DB00083
9198871,United States,2015-12-01,2030-02-07,false,DB00085
8562979,United States,2013-10-22,2028-02-20,false,DB00085
8562980,United States,2013-10-22,2028-02-20,false,DB00085
8562981,United States,2013-10-22,2028-02-20,false,DB00085
8221747,United States,2012-07-17,2028-02-20,false,DB00085
8562978,United States,2013-10-22,2028-02-20,false,DB00085
8246950,United States,2012-08-21,2028-02-20,false,DB00085
7658918,United States,2010-02-09,2028-02-20,false,DB00085
1339198,Canada,1997-08-05,2014-08-05,false,DB00087
5985321,United States,1999-11-16,2014-09-26,false,DB00091
4839342,United States,1989-06-13,2009-08-02,false,DB00091
2108018,Canada,2003-04-15,2012-04-16,false,DB00091
1332150,Canada,1994-09-27,2011-09-27,false,DB00091
8633162,United States,2014-01-21,2024-08-27,false,DB00091
8648048,United States,2014-02-11,2024-08-27,false,DB00091
9248191,United States,2016-02-02,2024-08-27,false,DB00091
8629111,United States,2014-01-14,2024-08-27,false,DB00091
8642556,United States,2014-02-04,2024-08-27,false,DB00091
8685930,United States,2014-04-01,2024-08-27,false,DB00091
8561859,United States,2013-10-22,2032-04-16,false,DB00091
9676525,United States,2017-06-13,2034-02-07,false,DB00091
8292129,United States,2012-10-23,2031-02-25,false,DB00091
9669974,United States,2017-06-06,2034-05-11,false,DB00091
9937225,United States,2018-04-10,2033-08-23,false,DB00091
8980839,United States,2015-03-17,2033-08-23,false,DB00091
10441630,United States,2019-10-15,2033-08-23,false,DB00091
5767067,United States,1998-06-16,2015-06-16,false,DB00094
5767251,United States,1998-06-16,2015-06-16,false,DB00097
6706681,United States,2004-03-16,2021-03-16,false,DB00097
1341537,Canada,2007-07-31,2024-07-31,false,DB00099
1339071,Canada,1997-07-29,2014-07-29,false,DB00099
1340846,Canada,1999-12-07,2015-12-15,false,DB00102
2265464,Canada,2007-06-26,2017-09-12,false,DB00103
5538739,United States,1996-07-23,2013-07-23,false,DB00104
1328402,Canada,1994-04-12,2011-04-12,false,DB00104
5922338,United States,1999-07-13,2017-01-13,true,DB00104
5922682,United States,1999-07-13,2017-01-13,true,DB00104
5753618,United States,1998-05-19,2015-11-19,true,DB00104
5728396,United States,1998-03-17,2017-01-30,false,DB00104
6156331,United States,2000-12-05,2017-01-30,false,DB00104
6375978,United States,2002-04-23,2018-12-17,false,DB00104
6235712,United States,2001-05-22,2017-06-13,false,DB00104
6113938,United States,2000-09-05,2018-07-24,false,DB00104
6124261,United States,2000-09-26,2017-06-13,false,DB00104
6395292,United States,2002-05-28,2017-01-30,false,DB00104
6132420,United States,2000-10-17,2017-01-30,false,DB00104
5985305,United States,1999-11-16,2017-01-30,false,DB00104
5932547,United States,1999-08-03,2017-06-13,false,DB00104
10342850,United States,2019-07-09,2038-05-15,false,DB00104
1341567,Canada,2008-02-19,2025-02-19,false,DB00105
2201749,Canada,1999-06-15,2015-10-10,false,DB00105
6423686,United States,2002-07-23,2015-06-07,false,DB00106
6180608,United States,2001-01-30,2016-12-11,false,DB00106
5968895,United States,1999-10-19,2016-12-11,false,DB00106
5843901,United States,1998-12-01,2015-12-01,false,DB00106
6699833,United States,2004-03-02,2016-12-11,false,DB00106
6475491,United States,2002-11-05,2015-06-07,false,DB00109
5464933,United States,1995-11-07,2013-06-07,false,DB00109
2224008,Canada,2009-08-18,2016-06-06,false,DB00109
2197684,Canada,2000-10-31,2015-08-09,false,DB00110
2286330,Canada,2008-06-10,2018-04-03,false,DB00112
2145985,Canada,2003-09-16,2012-10-28,false,DB00112
7229636,United States,2007-06-12,2024-08-01,false,DB00115
7879349,United States,2011-02-01,2024-08-01,false,DB00115
8003353,United States,2011-08-23,2024-08-01,false,DB00115
8940714,United States,2015-01-27,2024-02-26,false,DB00115
7404489,United States,2008-07-29,2024-03-12,false,DB00115
9415007,United States,2016-08-16,2024-07-28,false,DB00115
7169381,United States,2007-01-30,2024-09-01,false,DB00126
7658914,United States,2010-02-09,2024-09-01,false,DB00126
9326969,United States,2016-05-03,2033-09-10,false,DB00126
9592252,United States,2017-03-14,2032-08-11,false,DB00126
9707297,United States,2017-07-18,2033-09-10,false,DB00126
8999313,United States,2015-04-07,2033-09-10,false,DB00126
10016504,United States,2018-07-10,2033-09-10,false,DB00126
5288703,United States,1994-02-22,2011-10-07,false,DB00130
6265392,United States,2001-07-24,2020-02-02,true,DB00136
6051567,United States,2000-04-18,2020-02-02,true,DB00136
6274169,United States,2001-08-14,2020-02-02,true,DB00136
8906410,United States,2014-12-09,2027-02-02,false,DB00146
6582727,United States,2003-06-24,2020-08-22,false,DB00146
8361488,United States,2013-01-29,2028-07-19,false,DB00146
9408858,United States,2016-08-09,2028-04-25,false,DB00146
9498486,United States,2016-11-22,2028-04-25,false,DB00146
8778373,United States,2014-07-15,2028-04-25,false,DB00146
8426391,United States,2013-04-23,2028-08-27,false,DB00146
8207149,United States,2012-06-26,2028-04-25,false,DB00146
9861644,United States,2018-01-09,2034-03-14,false,DB00146
9943530,United States,2018-04-17,2027-02-02,false,DB00146
9925147,United States,2018-03-27,2028-04-25,false,DB00146
10213442,United States,2019-02-26,2027-02-02,false,DB00146
10300078,United States,2019-05-28,2034-03-14,false,DB00146
10357502,United States,2019-07-23,2034-03-14,false,DB00146
10478453,United States,2019-11-19,2039-01-15,false,DB00151
10493051,United States,2019-12-03,2039-03-15,false,DB00151
10543186,United States,2019-03-15,2039-03-15,false,DB00151
10583155,United States,2019-01-15,2039-01-15,false,DB00151
6340695,United States,2002-01-22,2021-06-21,false,DB00165
7560122,United States,2009-07-14,2019-01-25,false,DB00165
9526703,United States,2016-12-27,2033-02-18,false,DB00165
9375404,United States,2016-06-28,2033-02-18,false,DB00165
9089489,United States,2015-07-28,2033-02-18,false,DB00165
9937132,United States,2018-04-10,2033-02-18,false,DB00165
5994329,United States,1999-11-30,2019-01-17,true,DB00169
5622985,United States,1997-04-22,2014-10-22,false,DB00175
1323836,Canada,1993-11-02,2010-11-02,false,DB00175
7465462,United States,2008-12-16,2020-05-10,false,DB00176
5399578,United States,1995-03-21,2012-03-21,false,DB00177
2259148,Canada,2009-09-29,2017-06-18,false,DB00177
2036427,Canada,1998-12-29,2011-02-15,false,DB00177
6294197,United States,2001-09-25,2017-12-18,true,DB00177
5559111,United States,1996-09-24,2019-01-21,true,DB00177
6395728,United States,2002-05-28,2019-07-08,false,DB00177
5972990,United States,1999-10-26,2017-04-26,true,DB00177
8168616,United States,2012-05-01,2026-07-03,false,DB00177
8101599,United States,2012-01-24,2023-05-16,false,DB00177
8475839,United States,2013-07-02,2023-11-16,true,DB00177
8796331,United States,2014-08-05,2023-07-14,true,DB00177
8101659,United States,2012-01-24,2023-07-14,true,DB00177
7468390,United States,2008-12-23,2024-05-27,true,DB00177
8404744,United States,2013-03-26,2023-07-14,true,DB00177
8877938,United States,2014-11-04,2027-11-27,true,DB00177
7803838,United States,2010-09-28,2026-08-29,false,DB00177
7838552,United States,2010-11-23,2027-10-04,false,DB00177
9388134,United States,2016-07-12,2027-05-08,true,DB00177
5403856,United States,1995-04-04,2012-04-04,false,DB00178
2382387,Canada,2005-06-21,2020-08-25,false,DB00178
1338344,Canada,1996-05-21,2013-05-21,false,DB00178
7368469,United States,2008-05-06,2020-08-30,false,DB00178
5776433,United States,1998-07-07,2015-07-07,false,DB00180
6221392,United States,2001-04-24,2018-04-09,false,DB00181
6024981,United States,2000-02-15,2018-04-09,false,DB00181
10610502,United States,2019-08-30,2039-08-30,false,DB00181
6384020,United States,2002-05-07,2021-01-06,true,DB00182
RE42096,United States,2011-02-01,2019-04-21,true,DB00182
6605300,United States,2003-08-12,2019-04-21,true,DB00182
6322819,United States,2001-11-27,2019-04-21,true,DB00182
RE41148,United States,2010-02-23,2019-04-21,true,DB00182
8062667,United States,2011-11-22,2029-03-29,false,DB00182
8840924,United States,2014-09-23,2026-06-05,false,DB00182
9017731,United States,2015-04-28,2032-06-28,false,DB00182
8709491,United States,2014-04-29,2032-06-28,false,DB00182
9265737,United States,2016-02-23,2032-06-28,false,DB00182
8747902,United States,2014-06-10,2027-03-15,false,DB00182
8597684,United States,2013-12-03,2027-03-15,false,DB00182
8883217,United States,2014-11-11,2027-03-15,false,DB00182
9675703,United States,2017-06-13,2027-03-15,false,DB00182
9173857,United States,2015-11-03,2026-05-12,false,DB00182
6913768,United States,2005-07-05,2023-05-24,false,DB00182
8846100,United States,2014-09-30,2029-08-24,false,DB00182
10086087,United States,2018-10-02,2027-03-15,false,DB00182
10130580,United States,2018-11-20,2024-04-19,false,DB00182
10441554,United States,2019-10-15,2037-03-10,false,DB00182
5656255,United States,1997-08-12,2014-08-12,false,DB00184
5501236,United States,1996-03-26,2010-06-08,false,DB00184
1333051,Canada,1994-11-15,2011-11-15,false,DB00184
8323683,United States,2012-12-04,2028-04-30,false,DB00184
8999379,United States,2015-04-07,2020-02-13,false,DB00184
9205059,United States,2015-12-08,2019-12-15,false,DB00184
8075911,United States,2011-12-13,2021-05-22,false,DB00184
8663680,United States,2014-03-04,2020-02-13,false,DB00184
8501164,United States,2013-08-06,2029-06-14,false,DB00184
8940772,United States,2015-01-27,2029-04-30,false,DB00184
5340821,United States,1994-08-23,2013-07-07,false,DB00185
4855290,United States,1989-08-08,2009-08-30,false,DB00185
2410446,Canada,2008-08-26,2022-01-02,false,DB00187
6528540,United States,2003-03-04,2021-07-12,true,DB00187
6310094,United States,2001-10-30,2021-07-12,true,DB00187
8835505,United States,2014-09-16,2033-03-15,false,DB00187
8829054,United States,2014-09-09,2033-03-15,false,DB00187
6083903,United States,2000-07-04,2014-10-28,false,DB00188
2203936,Canada,2005-04-12,2015-10-27,false,DB00188
5780454,United States,1998-07-14,2017-11-03,true,DB00188
6958319,United States,2005-10-25,2022-07-25,true,DB00188
6713446,United States,2004-03-30,2022-07-25,true,DB00188
8962572,United States,2015-02-24,2032-11-03,false,DB00188
6500867,United States,2002-12-31,2020-06-29,false,DB00190
6797732,United States,2004-09-28,2020-06-29,false,DB00190
9089607,United States,2015-07-28,2028-12-26,false,DB00190
8377474,United States,2013-02-19,2028-12-26,false,DB00190
8454998,United States,2013-06-04,2028-12-26,false,DB00190
7094427,United States,2006-08-22,2022-05-29,false,DB00190
8557283,United States,2013-10-15,2028-12-26,false,DB00190
9089608,United States,2015-07-28,2028-12-26,false,DB00190
9463246,United States,2016-10-11,2028-12-26,false,DB00190
9533046,United States,2017-01-03,2028-12-26,false,DB00190
9901640,United States,2018-02-27,2028-12-26,false,DB00190
6071537,United States,2000-06-06,2017-06-23,false,DB00191
8895057,United States,2014-11-25,2028-06-09,false,DB00191
7056890,United States,2006-06-06,2020-06-14,false,DB00191
7553818,United States,2009-06-30,2020-06-14,false,DB00191
7659256,United States,2010-02-09,2020-06-14,false,DB00191
7674776,United States,2010-03-09,2020-06-14,false,DB00191
8580299,United States,2013-11-12,2029-06-14,false,DB00191
9011906,United States,2015-04-21,2028-06-09,false,DB00191
9011905,United States,2015-04-21,2028-06-09,false,DB00191
8895058,United States,2014-11-25,2028-06-09,false,DB00191
8580298,United States,2013-11-12,2029-05-15,false,DB00191
6149938,United States,2000-11-21,2018-07-23,false,DB00191
8440170,United States,2013-05-14,2029-03-14,false,DB00191
5464632,United States,1995-11-07,2013-03-22,false,DB00193
2476201,Canada,2009-09-01,2023-02-21,false,DB00193
2123160,Canada,2003-04-29,2014-05-09,false,DB00193
6339105,United States,2002-01-15,2020-04-12,true,DB00193
6106861,United States,2000-08-22,2017-12-05,false,DB00193
6607748,United States,2003-08-19,2020-06-29,false,DB00193
7988998,United States,2011-08-02,2023-10-27,false,DB00193
7858118,United States,2010-12-28,2022-04-11,false,DB00193
5540918,United States,1996-07-30,2014-01-30,false,DB00195
