kind,value,source,parent_key
Molecular Weight,14434.5,,DB00020
Molecular Formula,C639H1006N168O196S8,,DB00020
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00022
Isoelectric Point,5.99,,DB00022
Molecular Weight,31000.0,,DB00022
Hydrophobicity,0.059,,DB00023
Isoelectric Point,4.67,,DB00023
Molecular Weight,31731.9,,DB00023
Molecular Formula,C1377H2208N382O442S17,,DB00023
Melting Point,55 °C,,DB00024
Hydrophobicity,-0.330,,DB00024
Isoelectric Point,7.50,,DB00024
Molecular Weight,22672.9,,DB00024
Molecular Formula,C975H1513N267O304S26,,DB00024
Hydrophobicity,-0.533,,DB00025
Isoelectric Point,6.97,,DB00025
Molecular Weight,264725.5,,DB00025
Molecular Formula,C11794H18314N3220O3553S83,,DB00025
Hydrophobicity,-0.412,,DB00026
Isoelectric Point,5.46,,DB00026
Molecular Weight,17257.6,,DB00026
Molecular Formula,C759H1186N208O232S10,,DB00026
Melting Point,229 °C,,DB00027
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00028
Hydrophobicity,-0.331,,DB00028
Isoelectric Point,8.13,,DB00028
Molecular Weight,142682.3,,DB00028
Molecular Formula,C6332H9826N1692O1980S42,,DB00028
Melting Point,60 °C,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",DB00029
Hydrophobicity,-0.516,,DB00029
Isoelectric Point,7.61,,DB00029
Molecular Weight,59042.3,,DB00029
Molecular Formula,C2569H3928N746O781S40,,DB00029
Melting Point,81 °C,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",DB00030
Molecular Weight,5808.0,,DB00030
Molecular Formula,C257H383N65O77S6,,DB00030
Melting Point,60 °C,"Novokhatny, V.V. et al., J. Biol. Chem. 266:12994-123002 (1991)",DB00031
Hydrophobicity,-0.528,,DB00031
Isoelectric Point,7.61,,DB00031
Molecular Weight,58951.2,,DB00031
Molecular Formula,C2561H3919N747O781S40,,DB00031
Melting Point,55 °C,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",DB00032
Hydrophobicity,-0.063,,DB00032
Isoelectric Point,8.44,,DB00032
Molecular Weight,23390.3,,DB00032
Molecular Formula,C1014H1609N287O294S27,,DB00032
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00033
Hydrophobicity,-0.823,,DB00033
Isoelectric Point,9.54,,DB00033
Molecular Weight,17145.6,,DB00033
Molecular Formula,C761H1206N214O225S6,,DB00033
Water Solubility,100 mg/ml,,DB00034
Hydrophobicity,-0.336,,DB00034
Isoelectric Point,5.99,,DB00034
Molecular Weight,19241.1,,DB00034
Molecular Formula,C860H1353N227O255S9,,DB00034
Melting Point,58 °C,"Petersen, L.C. et al., Eur. J. Biochem 261: 124-129 (1999)",DB00036
Hydrophobicity,-0.311,,DB00036
Isoelectric Point,6.09,,DB00036
Molecular Weight,45079.1,,DB00036
Molecular Formula,C1972H3076N560O597S28,,DB00036
Hydrophobicity,-0.070,,DB00038
Isoelectric Point,11.16,,DB00038
Molecular Weight,19047.2,,DB00038
Molecular Formula,C854H1411N253O235S2,,DB00038
Hydrophobicity,-0.650,,DB00039
Isoelectric Point,9.47,,DB00039
Molecular Weight,16192.7,,DB00039
Molecular Formula,C721H1142N202O204S9,,DB00039
Isoelectric Point,7.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005042/,DB00040
Molecular Weight,3767.1,,DB00040
Molecular Formula,C165H249N49O51S1,,DB00040
Hydrophobicity,-0.192,,DB00041
Isoelectric Point,7.31,,DB00041
Molecular Weight,15314.8,,DB00041
Molecular Formula,C690H1115N177O202S6,,DB00041
Molecular Weight,150804.0,,DB00042
Melting Point,61 °C (FAB fragment),http://crdd.osdd.net/raghava/thpdb/display_thppid_sub.php?details=Th1038,DB00043
Boiling Point,Fab and Fc domains denaturates at 60 and 70 ºC respectively,Arnoldus W. et al. (2000). Biophysical Journal. Vol 78. 394-404,DB00043
Hydrophobicity,-0.432,,DB00043
Isoelectric Point,6.6 - 7.2,"Jin, et al. Electrophoresis. Sep;23(19):3385-91. (2002).",DB00043
Molecular Weight,149000.0,,DB00043
Molecular Formula,C6450H9916N1714O2023S38,,DB00043
Melting Point,55 °C,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",DB00044
Hydrophobicity,-0.063,,DB00044
Isoelectric Point,8.44,,DB00044
Molecular Weight,30000.0,,DB00044
Molecular Formula,C1014H1609N287O294S27,,DB00044
Hydrophobicity,-0.652,,DB00045
Isoelectric Point,6.72,,DB00045
Molecular Weight,27743.1,,DB00045
Molecular Formula,C1198H2012N322O422S2,,DB00045
Melting Point,81 °C,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",DB00046
Hydrophobicity,0.218,,DB00046
Isoelectric Point,5.39,,DB00046
Molecular Weight,5808.0,,DB00046
Molecular Formula,C257H387N65O76S6,,DB00046
Melting Point,81 °C,"Khachidze, D.G. et al., J. Biol. Phys. Chem. 1:64-67 (2001)",DB00047
Hydrophobicity,0.098,,DB00047
Isoelectric Point,6.88,,DB00047
Molecular Weight,6063.0,,DB00047
Molecular Formula,C267H404N72O78S6 ,,DB00047
Hydrophobicity,-0.714,,DB00048
Isoelectric Point,5.58,,DB00048
Molecular Weight,112023.2,,DB00048
Molecular Formula,C5028H7666N1300O1564S21,,DB00048
Hydrophobicity,-0.465,,DB00049
Isoelectric Point,7.16,,DB00049
Molecular Weight,34109.5,,DB00049
Molecular Formula,C1521H2381N417O461S7,,DB00049
Isoelectric Point,8.25,http://www.druglib.com/activeingredient/adalimumab/chembio/,DB00051
Molecular Weight,144190.3,,DB00051
Molecular Formula,C6428H9912N1694O1987S46,,DB00051
Melting Point,76 °C at pH 3.5,"Gomez-Orellana, I. et al., Protein Sci. 7:1352-1358 (1998)",DB00052
Hydrophobicity,-0.411,,DB00052
Isoelectric Point,5.27,,DB00052
Molecular Weight,22129.0,,DB00052
Molecular Formula,C990H1532N262O300S7,,DB00052
Hydrophobicity,-0.168,,DB00053
Isoelectric Point,7.41,,DB00053
Molecular Weight,55597.4,,DB00053
Molecular Formula,C2532H3854N672O711S16,,DB00053
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00054
Hydrophobicity,-0.424,,DB00054
Isoelectric Point,6.16,,DB00054
Molecular Weight,145651.1,,DB00054
Molecular Formula,C6462H9964N1690O2049S48,,DB00054
Hydrophobicity,-0.291,,DB00055
Isoelectric Point,6.78,,DB00055
Molecular Weight,55000.0,,DB00055
Molecular Formula,C1786H2779N509O519S29,,DB00055
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00056
Molecular Weight,151500.0,,DB00056
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00057
Hydrophobicity,-0.427,,DB00057
Isoelectric Point,7.02,,DB00057
Molecular Weight,141478.9,,DB00057
Molecular Formula,C6268H9708N1666O1971S48,,DB00057
Melting Point,59 °C at pH 7.8,"Tew D.J., Bottomley, S.P. J. Mol. Biol. 313:1161-1169 (2001)",DB00058
Hydrophobicity,-0.302,,DB00058
Isoelectric Point,5.37,,DB00058
Molecular Weight,44324.5,,DB00058
Molecular Formula,C2001H3130N514O601S10,,DB00058
Hydrophobicity,0.059,,DB00059
Isoelectric Point,4.67,,DB00059
Molecular Weight,31731.9,,DB00059
Molecular Formula,C1377H2208N382O442S17,,DB00059
Hydrophobicity,-0.427,,DB00060
Isoelectric Point,8.93,,DB00060
Molecular Weight,20027.0,,DB00060
Molecular Formula,C908H1408N246O252S7,,DB00060
Hydrophobicity,-0.428,,DB00061
Isoelectric Point,5.33,,DB00061
Molecular Weight,40788.2,,DB00061
Molecular Formula,C1821H2834N484O552S14,,DB00061
Molecular Weight,66472.2,,DB00062
Molecular Formula,C2936H4624N786O889S41,,DB00062
Hydrophobicity,-2.3,,DB00063
Molecular Weight,831.962,,DB00063
Molecular Formula,C35H49N11O9S2,,DB00063
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00065
Hydrophobicity,-0.441,,DB00065
Isoelectric Point,8.25,,DB00065
Molecular Weight,144190.3,,DB00065
Molecular Formula,C6428H9912N1694O1987S46,,DB00065
Melting Point,55 °C,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",DB00066
Hydrophobicity,-0.330,,DB00066
Isoelectric Point,7.50,,DB00066
Molecular Weight,22672.9,,DB00066
Molecular Formula,C975H1513N267O304S26,,DB00066
Water Solubility,Soluble,,DB00067
Hydrophobicity,-0.447,,DB00068
Isoelectric Point,9.02,,DB00068
Molecular Weight,20011.0,,DB00068
Molecular Formula,C908H1408N246O253S6,,DB00068
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00069
Hydrophobicity,-0.336,,DB00069
Isoelectric Point,5.99,,DB00069
Molecular Weight,19343.0,,DB00069
Molecular Formula,C860H1353N227O255S9,,DB00069
Hydrophobicity,-0.117,,DB00070
Isoelectric Point,5.73,,DB00070
Molecular Weight,53870.9,,DB00070
Molecular Formula,C2455H3775N617O704S21,,DB00070
Water Solubility,Slightly soluble,,DB00071
Hydrophobicity,0.218,,DB00071
Isoelectric Point,5.39,,DB00071
Molecular Weight,5795.6,,DB00071
Molecular Formula,C257H387N65O76S6,,DB00071
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00072
Molecular Weight,145531.5,,DB00072
Molecular Formula,C6470H10012N1726O2013S42,,DB00072
Melting Point,61 °C (FAB fragment),http://crdd.osdd.net/raghava/thpdb/display_thppid_sub.php?details=Th1062,DB00073
Hydrophobicity,-0.414,http://crdd.osdd.net/raghava/thpdb/display_thppid_sub.php?details=Th1062,DB00073
Isoelectric Point,8.68,http://crdd.osdd.net/raghava/thpdb/display_thppid_sub.php?details=Th1062,DB00073
Molecular Weight,143859.7,,DB00073
Molecular Formula,C6416H9874N1688O1987S44,,DB00073
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00074
Hydrophobicity,-0.473,,DB00074
Isoelectric Point,8.68,,DB00074
Molecular Weight,143801.3,,DB00074
Molecular Formula,C6378H9844N1698O1997S48,,DB00074
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00075
Hydrophobicity,-0.513,,DB00075
Isoelectric Point,8.31,,DB00075
Molecular Weight,146189.7,,DB00075
Molecular Formula,C6460H9946N1720O2043S56,,DB00075
Melting Point,61 °C (FAB fragment),"Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00076
Hydrophobicity,-0.343,,DB00076
Isoelectric Point,8.01,,DB00076
Molecular Weight,47301.7,,DB00076
Molecular Formula,C2085H3223N553O672S16,,DB00076
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00078
Hydrophobicity,-0.359,,DB00078
Isoelectric Point,7.91,,DB00078
Molecular Weight,143375.5,,DB00078
Molecular Formula,C6382H9830N1672O1979S54,,DB00078
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00081
Hydrophobicity,-0.414,,DB00081
Isoelectric Point,8.68,,DB00081
Molecular Weight,143859.7,,DB00081
Molecular Formula,C6416H9874N1688O1987S44,,DB00081
Melting Point,76 °C at pH 3.5,"Gomez-Orellana, I. et al., Protein Sci. 7:1352-1358 (1998)",DB00082
Hydrophobicity,-0.411,,DB00082
Isoelectric Point,5.27,,DB00082
Molecular Weight,22129.0,,DB00082
Molecular Formula,C990H1532N262O300S7,,DB00082
Water Solubility,Soluble,,DB00083
Hydrophobicity,-0.368,,DB00083
Isoelectric Point,6.06,,DB00083
Molecular Weight,149322.7,,DB00083
Molecular Formula,C6760H10447N1743O2010S32,,DB00083
Water Solubility,1 mg/ml,Monograph,DB00085
Melting Point,48-50 °C,"Vinogradov, A.A. et al., Protein Eng. 14:683-689 (2001)",DB00085
Molecular Weight,131000.0,,DB00085
Hydrophobicity,-0.728,,DB00086
Isoelectric Point,5.12,,DB00086
Molecular Weight,47286.7,,DB00086
Molecular Formula,C2100H3278N566O669S4,,DB00086
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00087
Hydrophobicity,-0.431,,DB00087
Isoelectric Point,8.76,,DB00087
Molecular Weight,145453.8,,DB00087
Molecular Formula,C6468H10066N1732O2005S40,,DB00087
Hydrophobicity,-0.168,,DB00088
Isoelectric Point,7.41,,DB00088
Molecular Weight,55597.4,,DB00088
Molecular Formula,C2532H3854N672O711S16,,DB00088
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00089
Hydrophobicity,-0.300,,DB00090
Isoelectric Point,9.09,,DB00090
Molecular Weight,69899.4,,DB00090
Molecular Formula,C3160H4848N898O881S12,,DB00090
Water Solubility,insoluble ,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5163816.htm,DB00091
Melting Point,148-151 °C,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5163816.htm,DB00091
Boiling Point,838.63,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5163816.htm,DB00091
logP,1.4 ,https://www.sciencedirect.com/science/article/pii/S0939641116309080,DB00091
caco2 Permeability,-6.05,"ADME Research, USCD",DB00091
pKa,13.32±0.70,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5163816.htm,DB00091
Hydrophobicity,-0.432,,DB00092
Isoelectric Point,7.86,,DB00092
Molecular Weight,51801.1,,DB00092
Molecular Formula,C2306H3594N610O694S26,,DB00092
Melting Point,222,"Boissonnas, R.and Guttmann, S.; U.S. Patent 3,232,923; February 1, 1966: assigned to Sandoz AG, Switzerland.",DB00093
Melting Point,55 °C,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",DB00094
Hydrophobicity,-0.330,,DB00094
Isoelectric Point,7.50,,DB00094
Molecular Weight,980.162,,DB00094
Molecular Formula,C42H65N11O12S2,,DB00094
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00095
Melting Point,55 °C,"Forastieri, H., Ingham, K.C. J. Biol. Chem. 257:7976-7981 (1982)",DB00097
Hydrophobicity,-0.258,,DB00097
Isoelectric Point,8.61,,DB00097
Molecular Weight,25719.7,,DB00097
Molecular Formula,C1105H1770N318O336S26,,DB00097
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00098
Melting Point,4,MSDS,DB00099
Boiling Point,100,MSDS,DB00099
Hydrophobicity,0.209,,DB00099
Isoelectric Point,5.65,,DB00099
Molecular Weight,18800.0,,DB00099
Molecular Formula,C845H1343N223O243S9,,DB00099
Melting Point,54 °C,"Link, R.P., Castellino, F.J. Arch. Biochem. Biophsy. 227:259-265 (1983)",DB00100
Hydrophobicity,-0.431,,DB00100
Isoelectric Point,5.20,,DB00100
Molecular Weight,46548.2,,DB00100
Molecular Formula,C2041H3136N558O641S25,,DB00100
Hydrophobicity,-0.160,,DB00102
Isoelectric Point,9.38,,DB00102
Molecular Weight,12294.4,,DB00102
Molecular Formula,C532H892N162O153S9,,DB00102
Hydrophobicity,-0.307,,DB00103
Isoelectric Point,5.17,,DB00103
Molecular Weight,45351.6,,DB00103
Molecular Formula,C2029H3080N544O587S27,,DB00103
logP,1,,DB00104
Melting Point,61 °C,"Beldarrain, A. et al., Biochemistry 38:7865-7873 (1999)",DB00105
Hydrophobicity,-0.339,,DB00105
Isoelectric Point,5.99,,DB00105
Molecular Weight,19271.0,,DB00105
Molecular Formula,C860H1353N229O255S9,,DB00105
Hydrophobicity,-2.7,,DB00107
Isoelectric Point,5.51,,DB00107
Molecular Weight,1007.187,,DB00107
Molecular Formula,C43H66N12O12S2,,DB00107
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00108
Hydrophobicity,-0.875,,DB00109
Isoelectric Point,4.30,,DB00109
Molecular Weight,4491.876,,DB00109
Molecular Formula,C204H301N51O64,,DB00109
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00110
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00111
Hydrophobicity,-0.437,,DB00111
Isoelectric Point,8.46,,DB00111
Molecular Weight,142612.1,,DB00111
Molecular Formula,C6332H9808N1678O1989S42,,DB00111
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00112
Molecular Weight,149000.0,,DB00112
Molecular Formula,C6538H10034N1716O2033S44,,DB00112
Melting Point,"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)",DB00113
Hydrophobicity,-0.423,,DB00113
Isoelectric Point,8.26,,DB00113
Molecular Weight,144482.5,,DB00113
Molecular Formula,C6398H9900N1714O1995S54,,DB00113
Water Solubility,Appreciable,,DB00114
Melting Point,255 °C,PhysProp,DB00114
logP,-1.2,,DB00114
Water Solubility,12.5 mg/mL,http://www.hmdb.ca/metabolites/HMDB00607,DB00115
Melting Point,> 300 ,https://www.lookchem.com/Cyanocobalamin/,DB00115
Boiling Point,> 300,http://dept.harpercollege.edu/chemistry/msds/Cyanocobalamin%20Vit%20B12.pdf,DB00115
logP,1.897,http://www.hmdb.ca/metabolites/HMDB00607,DB00115
logS,-4.5,http://www.hmdb.ca/metabolites/HMDB00607,DB00115
pKa,"1.84, 8.77",http://foodb.ca/compounds/FDB013264,DB00115
logP,-2.7,,DB00116
Water Solubility,4.56E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00117
Melting Point,287 dec °C,PhysProp,DB00117
logP,-3.32,"CHMELIK,J ET AL. (1991)",DB00117
logS,-0.53,"ADME Research, USCD",DB00117
pKa,2.76 (at 0 °C),"KORTUM,G ET AL (1961)",DB00117
Boiling Point,78 °C,,DB00118
Water Solubility,1E+006 mg/L (at 20 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00119
Melting Point,13.8 °C,PhysProp,DB00119
Boiling Point,54 °C at 1.00E+01 mm Hg,PhysProp,DB00119
logP,-0.5,,DB00119
pKa,2.45 (at 25 °C),"KORTUM,G ET AL (1961)",DB00119
Water Solubility,2.69E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00120
Melting Point,283 dec °C,PhysProp,DB00120
logP,-1.38,"AVDEEF,A (1997)",DB00120
pKa,1.24 (at 25 °C),"KORTUM,G ET AL (1961)",DB00120
Water Solubility,220 mg/L (at 25 °C),MERCK INDEX (1996),DB00121
Melting Point,232 dec °C,PhysProp,DB00121
logP,0.5,,DB00121
Water Solubility,Soluble,,DB00122
Melting Point,244-247 °C (as chloride salt),,DB00122
Boiling Point,113 °C,,DB00122
Water Solubility,1E+006 mg/L (at 20 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00123
Melting Point,224.5 dec °C,PhysProp,DB00123
logP,-3.05,"HANSCH,C ET AL. (1995)",DB00123
pKa,3.12 (at 0 °C),"KORTUM,G ET AL (1961)",DB00123
Water Solubility,1.82E+005 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00125
Melting Point,244 dec °C,PhysProp,DB00125
logP,-4.20,"HANSCH,C ET AL. (1995)",DB00125
pKa,2.24 (at 0 °C),"KORTUM,G ET AL (1961)",DB00125
Water Solubility,4E+005 mg/L (at 40 °C),MERCK INDEX (1996),DB00126
Melting Point,191 dec °C,PhysProp,DB00126
logP,-1.85,"AVDEEF,A (1997)",DB00126
pKa,4.7 (at 10 °C),"KORTUM,G ET AL (1961)",DB00126
Water Solubility,> 100 mg/mL,,DB00127
Melting Point,29 °C,PhysProp,DB00127
Boiling Point,150-150 °C,,DB00127
logP,-0.7,,DB00127
Water Solubility,5390 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00128
Melting Point,270 °C,PhysProp,DB00128
logP,-3.89,"CHMELIK,J ET AL. (1991)",DB00128
pKa,2.01 (at 0 °C),"KORTUM,G ET AL (1961)",DB00128
Water Solubility,Appreciable,,DB00129
Melting Point,140 °C,PhysProp,DB00129
logP,-4.22,SANGSTER (1994),DB00129
pKa,1.94 (at 25 °C),"KORTUM,G ET AL (1961)",DB00129
Water Solubility,4.13E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00130
Melting Point,185.5 dec °C,PhysProp,DB00130
logP,-3.64,"CHMELIK,J ET AL. (1991)",DB00130
logS,-0.55,"ADME Research, USCD",DB00130
pKa,2.17,MERCK INDEX (1996),DB00130
Water Solubility,1E+004 mg/L (at 20 °C),BEILSTEIN,DB00131
Melting Point,195 dec °C,PhysProp,DB00131
logP,-3.1,,DB00131
Water Solubility,0.000124 mg/mL at 25 °C,"MEYLAN,WM et al. (1996)",DB00132
Melting Point,-16.5 °C,PhysProp,DB00132
Boiling Point,231 °C at 1.70E+01 mm Hg,PhysProp,DB00132
logP,6.46,SANGSTER (1993),DB00132
Water Solubility,4.25E+005 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00133
Melting Point,228 dec °C,PhysProp,DB00133
logP,-3.07,"HANSCH,C ET AL. (1995)",DB00133
pKa,2.21 (at 25 °C),"KORTUM,G ET AL (1961)",DB00133
Water Solubility,5.66E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00134
Melting Point,283 dec °C,PhysProp,DB00134
logP,-1.87,"HANSCH,C ET AL. (1995)",DB00134
logS,-0.42,"ADME Research, USCD",DB00134
pKa,2.28 (at 25 °C),ULLMANN VA2:63 (1985),DB00134
Water Solubility,479 mg/L (at 25 °C),"SEIDELL,A (1941)",DB00135
Melting Point,343 dec °C,PhysProp,DB00135
logP,-2.26,"HANSCH,C ET AL. (1995)",DB00135
logS,-2.57,"ADME Research, USCD",DB00135
pKa,2.2 (at 25 °C),"LEHNINGER,A (1975)",DB00135
Water Solubility,Insoluble,,DB00136
Melting Point,113-114,"Uskokovic, M.R., Narwid, T.A., lacobelli, J.A. and Baggiolini, E.; U.S. Patent 3,993,675;
November 23, 1976; assigned to Hoffmann-La Roche, Inc.",DB00136
logP,5,,DB00136
Water Solubility,Insoluble,,DB00137
Melting Point,196 °C,PhysProp,DB00137
logP,7.9,,DB00137
