affected_organism,drugbank_id
Humans and other mammals,DB00065
Humans and other mammals,DB00066
Humans and other mammals,DB00067
Humans and other mammals,DB00068
Humans and other mammals,DB00069
Humans and other mammals,DB00070
Humans and other mammals,DB00071
Humans and other mammals,DB00072
Humans and other mammals,DB00073
Humans and other mammals,DB00074
Humans and other mammals,DB00075
Humans and other mammals,DB00076
Humans and other mammals,DB00078
Enteric bacteria and other eubacteria,DB00080
Humans and other mammals,DB00081
Humans and other mammals,DB00082
Humans and other mammals,DB00083
Humans and other mammals,DB00085
Humans and other mammals,DB00086
Humans and other mammals,DB00088
Humans and other mammals,DB00089
Humans and other mammals,DB00090
Humans and other mammals,DB00091
Humans and other mammals,DB00092
Humans and other mammals,DB00093
Humans and other mammals,DB00094
Humans and other mammals,DB00095
Humans and other mammals,DB00097
Humans and other mammals,DB00098
Humans and other mammals,DB00099
Humans and other mammals,DB00100
Humans and other mammals,DB00102
Humans and other mammals,DB00103
Humans and other mammals,DB00104
Humans and other mammals,DB00105
Humans and other mammals,DB00106
Humans and other mammals,DB00107
Humans and other mammals,DB00108
Human Immunodeficiency Virus,DB00109
Humans and other mammals,DB00111
Humans and other mammals,DB00112
Humans and other mammals,DB00113
Humans and other mammals,DB00114
Humans and other mammals,DB00115
Humans and other mammals,DB00116
Humans and other mammals,DB00117
Humans and other mammals,DB00118
Humans and other mammals,DB00119
Humans and other mammals,DB00120
Humans and other mammals,DB00121
Humans and other mammals,DB00122
Humans and other mammals,DB00123
Humans and other mammals,DB00125
Humans and other mammals,DB00126
Humans and other mammals,DB00127
Humans and other mammals,DB00128
Humans and other mammals,DB00129
Humans and other mammals,DB00130
Humans and other mammals,DB00131
Humans and other mammals,DB00132
Humans and other mammals,DB00133
Humans and other mammals,DB00134
Humans and other mammals,DB00135
Humans and other mammals,DB00136
Humans and other mammals,DB00137
Humans and other mammals,DB00138
Humans and other mammals,DB00139
Humans and other mammals,DB00140
Humans and other mammals,DB00141
Humans and other mammals,DB00142
Humans and other mammals,DB00143
Humans and other mammals,DB00144
Humans and other mammals,DB00145
Humans and other mammals,DB00146
Humans and other mammals,DB00147
Humans and other mammals,DB00148
Humans and other mammals,DB00149
Humans and other mammals,DB00150
Humans and other mammals,DB00151
Humans and other mammals,DB00152
Humans and other mammals,DB00153
Humans and other mammals,DB00154
Humans and other mammals,DB00155
Humans and other mammals,DB00156
Humans and other mammals,DB00157
Humans and other mammals,DB00158
Humans and other mammals,DB00159
Humans and other mammals,DB00160
Humans and other mammals,DB00161
Humans and other mammals,DB00162
Humans and other mammals,DB00163
Humans and other mammals,DB00165
Humans and other mammals,DB00166
Humans and other mammals,DB00167
Humans and other mammals,DB00168
Humans and other mammals,DB00169
Humans and other mammals,DB00170
Humans and other mammals,DB00171
Humans and other mammals,DB00172
Humans and other mammals,DB00173
Humans and other mammals,DB00174
Humans and other mammals,DB00175
Humans and other mammals,DB00176
Humans and other mammals,DB00177
Humans and other mammals,DB00178
Humans and other mammals,DB00179
Humans and other mammals,DB00180
Humans and other mammals,DB00181
Humans and other mammals,DB00182
Humans and other mammals,DB00183
Humans and other mammals,DB00184
Humans and other mammals,DB00185
Humans and other mammals,DB00186
Humans and other mammals,DB00187
Humans and other mammals,DB00188
Humans and other mammals,DB00189
Humans and other mammals,DB00190
Humans and other mammals,DB00191
Humans and other mammals,DB00192
Humans and other mammals,DB00193
Human Herpes Virus,DB00194
Humans and other mammals,DB00195
Fungi,DB00196
Humans and other mammals,DB00197
Influenza A virus,DB00198
Influenza B virus,DB00198
Enteric bacteria and other eubacteria,DB00199
Haemophilus influenzae,DB00199
Staphylococcus aureus,DB00199
Streptococcus pyogenes,DB00199
Humans and other mammals,DB00200
Humans and other mammals,DB00201
Humans and other mammals,DB00202
Humans and other mammals,DB00203
Humans and other mammals,DB00204
Plasmodium,DB00205
Humans and other mammals,DB00206
Humans and other mammals,DB00207
Humans and other mammals,DB00208
Humans and other mammals,DB00209
Humans and other mammals,DB00210
Humans and other mammals,DB00211
Humans and other mammals,DB00212
Humans and other mammals,DB00213
Humans and other mammals,DB00214
Humans and other mammals,DB00215
Humans and other mammals,DB00216
Humans and other mammals,DB00217
Enteric bacteria and other eubacteria,DB00218
Humans and other mammals,DB00219
Human Immunodeficiency Virus,DB00220
Humans and other mammals,DB00221
Humans and other mammals,DB00222
Humans and other mammals,DB00223
Human Immunodeficiency Virus,DB00224
Humans and other mammals,DB00225
Humans and other mammals,DB00226
Humans and other mammals,DB00227
Humans and other mammals,DB00228
Enteric bacteria and other eubacteria,DB00229
Humans and other mammals,DB00230
Humans and other mammals,DB00231
Humans and other mammals,DB00232
Mycobacteria,DB00233
Humans and other mammals,DB00234
Humans and other mammals,DB00235
Humans and other mammals,DB00236
Humans and other mammals,DB00237
Human Immunodeficiency Virus,DB00238
Fungi,DB00239
Humans and other mammals,DB00240
Humans and other mammals,DB00241
Humans and other mammals,DB00242
Humans and other mammals,DB00243
Humans and other mammals,DB00244
Humans and other mammals,DB00245
Humans and other mammals,DB00246
Humans and other mammals,DB00247
Humans and other mammals,DB00248
Herpes simplex virus,DB00249
Mycobacteria,DB00250
Mycobacterium leprae,DB00250
Fungi,DB00251
Humans and other mammals,DB00252
Humans and other mammals,DB00253
Humans and other mammals,DB00254
Humans and other mammals,DB00255
Enteric bacteria and other eubacteria,DB00256
Yeast and other fungi,DB00257
Humans and other mammals,DB00258
Candida albicans and other yeasts,DB00259
Enteric bacteria and other eubacteria,DB00260
Mycobacterium tuberculosis,DB00260
Humans and other mammals,DB00261
Humans and other mammals,DB00262
Enteric bacteria and other eubacteria,DB00263
Humans and other mammals,DB00264
Humans and other mammals,DB00265
Humans and other mammals,DB00266
Enteric bacteria and other eubacteria,DB00267
Humans and other mammals,DB00268
Humans and other mammals,DB00269
Humans and other mammals,DB00270
Humans and other mammals,DB00271
Humans and other mammals,DB00272
Humans and other mammals,DB00273
Enteric bacteria and other eubacteria,DB00274
Humans and other mammals,DB00275
Humans and other mammals,DB00276
Humans and other mammals,DB00277
Humans and other mammals,DB00278
Humans and other mammals,DB00279
Humans and other mammals,DB00280
Humans and other mammals,DB00281
Humans and other mammals,DB00282
Humans and other mammals,DB00283
Humans and other mammals,DB00284
Humans and other mammals,DB00285
Humans and other mammals,DB00286
Humans and other mammals,DB00287
Humans and other mammals,DB00288
Humans and other mammals,DB00289
Humans and other mammals,DB00290
Humans and other mammals,DB00291
Humans and other mammals,DB00292
Humans and other mammals,DB00293
Humans and other mammals,DB00294
Humans and other mammals,DB00295
Humans and other mammals,DB00296
Humans and other mammals,DB00297
Humans and other mammals,DB00298
Herpes simplex virus,DB00299
Human Immunodeficiency Virus,DB00300
Enteric bacteria and other eubacteria,DB00301
Humans and other mammals,DB00302
Enteric bacteria and other eubacteria,DB00303
Humans and other mammals,DB00304
Humans and other mammals,DB00305
Humans and other mammals,DB00306
Humans and other mammals,DB00307
Humans and other mammals,DB00308
Humans and other mammals,DB00309
Humans and other mammals,DB00310
Humans and other mammals,DB00311
Humans and other mammals,DB00312
Humans and other mammals,DB00313
Enteric bacteria and other eubacteria,DB00314
Humans and other mammals,DB00315
Humans and other mammals,DB00316
Humans and other mammals,DB00317
Humans and other mammals,DB00318
Enteric bacteria and other eubacteria,DB00319
Humans and other mammals,DB00320
Humans and other mammals,DB00321
Humans and other mammals,DB00322
Humans and other mammals,DB00323
Humans and other mammals,DB00324
Humans and other mammals,DB00325
Humans and other mammals,DB00326
Humans and other mammals,DB00327
Humans and other mammals,DB00328
Humans and other mammals,DB00330
Mycobacterium tuberculosis,DB00330
Humans and other mammals,DB00331
Humans and other mammals,DB00332
Humans and other mammals,DB00333
Humans and other mammals,DB00334
Humans and other mammals,DB00335
Gram negative and gram positive bacteria,DB00336
Humans and other mammals,DB00337
Humans and other mammals,DB00338
Mycobacterium tuberculosis,DB00339
Humans and other mammals,DB00340
Humans and other mammals,DB00341
Humans and other mammals,DB00342
Humans and other mammals,DB00343
Humans and other mammals,DB00344
Humans and other mammals,DB00345
Humans and other mammals,DB00346
Humans and other mammals,DB00347
Humans and other mammals,DB00348
Humans and other mammals,DB00349
Humans and other mammals,DB00350
Humans and other mammals,DB00351
Humans and other mammals,DB00352
Humans and other mammals,DB00353
Humans and other mammals,DB00354
Enteric bacteria and other eubacteria,DB00355
Humans and other mammals,DB00356
Humans and other mammals,DB00357
Plasmodium,DB00358
Enteric bacteria and other eubacteria,DB00359
Humans and other mammals,DB00360
Humans and other mammals,DB00361
"Aspergillis, Candida and other fungi",DB00362
Candida albicans and other yeasts,DB00362
Coolia tropicalis,DB00362
Candida parapsilosis,DB00362
Humans and other mammals,DB00363
Humans and other mammals,DB00364
Enteric bacteria and other eubacteria,DB00365
Streptococcus pneumoniae,DB00365
Humans and other mammals,DB00366
Humans and other mammals,DB00367
Humans and other mammals,DB00368
Human Immunodeficiency Virus,DB00369
Humans and other mammals,DB00370
Humans and other mammals,DB00371
Humans and other mammals,DB00372
Humans and other mammals,DB00373
Humans and other mammals,DB00374
Humans and other mammals,DB00375
Humans and other mammals,DB00376
Humans and other mammals,DB00377
Humans and other mammals,DB00378
Humans and other mammals,DB00379
Humans and other mammals,DB00380
Humans and other mammals,DB00381
Humans and other mammals,DB00382
Humans and other mammals,DB00383
Humans and other mammals,DB00384
Humans and other mammals,DB00385
Humans and other mammals,DB00387
Humans and other mammals,DB00388
Humans and other mammals,DB00389
Humans and other mammals,DB00390
Humans and other mammals,DB00391
Humans and other mammals,DB00392
Humans and other mammals,DB00393
Humans and other mammals,DB00394
Humans and other mammals,DB00395
Humans and other mammals,DB00396
Humans and other mammals,DB00397
Humans and other mammals,DB00398
Humans and other mammals,DB00399
Yeast and other Trichophyton or Microsporum fungi,DB00400
"Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton",DB00400
Humans and other mammals,DB00401
Humans and other mammals,DB00402
Humans and other mammals,DB00403
Humans and other mammals,DB00404
Humans and other mammals,DB00405
Yeast and other fungi,DB00406
Bacteria and protozoa,DB00406
Humans and other mammals,DB00407
Humans and other mammals,DB00408
Humans and other mammals,DB00409
Enteric bacteria and other eubacteria,DB00410
Staphylococcus aureus,DB00410
Streptococcus pyogenes,DB00410
Humans and other mammals,DB00411
Humans and other mammals,DB00412
Humans and other mammals,DB00413
Humans and other mammals,DB00414
Enteric bacteria and other eubacteria,DB00415
Listeria monocytogenes,DB00415
Haemophilus influenzae,DB00415
Gram-positive Bacteria,DB00415
Streptococcus pneumoniae,DB00415
Streptococcus pyogenes,DB00415
Gram-negative Bacteria,DB00415
Neisseria meningitidis,DB00415
Humans and other mammals,DB00416
Bacteria,DB00417
Gram-negative Bacteria,DB00417
Streptococcus pyogenes,DB00417
Bacillus anthracis,DB00417
Borrelia burgdorferi,DB00417
Corynebacterium diphtheriae,DB00417
Clostridium,DB00417
Listeria monocytogenes,DB00417
Leptospira interrogans,DB00417
Neisseria gonorrhoeae,DB00417
Humans and other mammals,DB00418
Humans and other mammals,DB00419
Humans and other mammals,DB00420
Humans and other mammals,DB00421
Humans and other mammals,DB00422
Humans and other mammals,DB00423
Humans and other mammals,DB00424
Humans and other mammals,DB00425
Human Herpes Virus,DB00426
Humans and other mammals,DB00427
Humans and other mammals,DB00428
Humans and other mammals,DB00429
Enteric bacteria and other eubacteria,DB00430
Scabies (Sarcoptes scabei) and other insects,DB00431
Human Herpes Virus,DB00432
Humans and other mammals,DB00433
Humans and other mammals,DB00434
Humans and other mammals,DB00435
Humans and other mammals,DB00436
Humans and other mammals,DB00437
Enteric bacteria and other eubacteria,DB00438
Humans and other mammals,DB00439
Staphylococcus saprophyticus,DB00440
Enterobacter spp.,DB00440
Escherichia coli,DB00440
Klebsiella pneumoniae,DB00440
Proteus mirabilis,DB00440
Humans and other mammals,DB00441
Hepatitis B virus,DB00442
Humans and other mammals,DB00443
Humans and other mammals,DB00444
Humans and other mammals,DB00445
Enteric bacteria and other eubacteria,DB00446
Gram negative and gram positive bacteria,DB00446
Neisseria meningitidis,DB00446
Streptococcus pneumoniae,DB00446
Haemophilus influenzae,DB00446
Enterococcus faecium,DB00446
Various gram-negative and gram-positive eubacteria,DB00447
Staphylococcus aureus,DB00447
Streptococcus pneumoniae,DB00447
Streptococcus pyogenes,DB00447
Haemophilus influenzae,DB00447
Escherichia coli,DB00447
Humans and other mammals,DB00448
Humans and other mammals,DB00449
Humans and other mammals,DB00450
Humans and other mammals,DB00451
Enteric bacteria and other eubacteria,DB00452
Enteric bacteria and other eubacteria,DB00453
Humans and other mammals,DB00454
Humans and other mammals,DB00455
Enteric bacteria and other eubacteria,DB00456
Humans and other mammals,DB00457
Humans and other mammals,DB00458
Humans and other mammals,DB00459
Humans and other mammals,DB00460
Humans and other mammals,DB00461
Humans and other mammals,DB00462
Humans and other mammals,DB00463
Humans and other mammals,DB00464
Humans and other mammals,DB00465
Humans and other mammals,DB00466
Enteric bacteria and other eubacteria,DB00467
Humans and other mammals,DB00468
Humans and other mammals,DB00469
Humans and other mammals,DB00470
Humans and other mammals,DB00471
Humans and other mammals,DB00472
Humans and other mammals,DB00473
Humans and other mammals,DB00474
Humans and other mammals,DB00475
Humans and other mammals,DB00476
Humans and other mammals,DB00477
Human Influenza A Virus,DB00478
Enteric bacteria and other eubacteria,DB00479
Humans and other mammals,DB00479
Humans and other mammals,DB00480
Humans and other mammals,DB00481
Humans and other mammals,DB00482
Humans and other mammals,DB00483
Humans and other mammals,DB00484
Enteric bacteria and other eubacteria,DB00485
Humans and other mammals,DB00486
Enteric bacteria and other eubacteria,DB00487
Humans and other mammals,DB00488
Humans and other mammals,DB00489
Humans and other mammals,DB00490
Humans and other mammals,DB00491
Humans and other mammals,DB00492
Enteric bacteria and other eubacteria,DB00493
Salmonella typhi,DB00493
Neisseria meningitidis,DB00493
Neisseria gonorrhoeae,DB00493
Haemophilus influenzae,DB00493
Escherichia coli,DB00493
Humans and other mammals,DB00494
Human Immunodeficiency Virus,DB00495
Humans and other mammals,DB00496
Humans and other mammals,DB00497
Humans and other mammals,DB00498
Humans and other mammals,DB00499
Humans and other mammals,DB00500
Humans and other mammals,DB00501
Humans and other mammals,DB00502
Human Immunodeficiency Virus,DB00503
SARS-CoV-2,DB00503
Humans and other mammals,DB00504
Humans and other mammals,DB00505
Helminthic Microorganisms,DB00507
Escherichia coli,DB00507
Bacteria and protozoa,DB00507
Mycobacterium tuberculosis,DB00507
Humans and other mammals,DB00508
Humans and other mammals,DB00509
Humans and other mammals,DB00511
Enteric bacteria and other eubacteria,DB00512
Treponema pallidum,DB00512
Streptococcus pyogenes,DB00512
Neisseria gonorrhoeae,DB00512
Mycoplasma pneumoniae,DB00512
Legionella pneumophila,DB00512
Corynebacterium diphtheriae,DB00512
Chlamydia psittaci,DB00512
Chlamydia trachomatis,DB00512
Chlamydia pneumoniae,DB00512
Bordetella pertussis,DB00512
Humans and other mammals,DB00513
Humans and other mammals,DB00514
Humans and other mammals,DB00515
Humans and other mammals,DB00516
Humans and other mammals,DB00517
Helminthic Microorganisms,DB00518
Humans and other mammals,DB00519
"Aspergillis, Candida and other fungi",DB00520
Humans and other mammals,DB00521
Humans and other mammals,DB00522
Humans and other mammals,DB00523
Humans and other mammals,DB00524
Yeast and other fungi,DB00525
Humans and other mammals,DB00526
Humans and other mammals,DB00527
Humans and other mammals,DB00528
Human Herpes Virus,DB00529
Humans and other mammals,DB00530
Humans and other mammals,DB00531
Humans and other mammals,DB00532
Humans and other mammals,DB00533
Humans and other mammals,DB00534
Humans and other mammals,DB00535
Humans and other mammals,DB00536
Enteric bacteria and other eubacteria,DB00537
Humans and other mammals,DB00538
Humans and other mammals,DB00539
Humans and other mammals,DB00540
Humans and other mammals,DB00541
Humans and other mammals,DB00542
Humans and other mammals,DB00543
Humans and other mammals,DB00544
Humans and other mammals,DB00545
Humans and other mammals,DB00546
Humans and other mammals,DB00547
Various aerobic and anaerobic microorganisms,DB00548
Humans and other mammals,DB00549
Humans and other mammals,DB00550
Enteric bacteria and other eubacteria,DB00551
Humans and other mammals,DB00552
Staphylococcus aureus,DB00552
Escherichia coli,DB00552
Klebsiella,DB00552
Salmonella typhi,DB00552
Shigella,DB00552
Proteus vulgaris,DB00552
Serratia marcescens,DB00552
Vibrio cholerae,DB00552
Borrelia burgdorferi,DB00552
Leptospira interrogans,DB00552
Mycobacterium tuberculosis,DB00552
Pseudomonas aeruginosa,DB00552
Humans and other mammals,DB00553
Humans and other mammals,DB00554
Humans and other mammals,DB00555
Humans and other mammals,DB00556
Humans and other mammals,DB00557
Influenza A virus,DB00558
Influenza B virus,DB00558
Humans and other mammals,DB00559
Enteric bacteria and other eubacteria,DB00560
Humans and other mammals,DB00561
Humans and other mammals,DB00562
Humans and other mammals,DB00563
Humans and other mammals,DB00564
Humans and other mammals,DB00565
Humans and other mammals,DB00566
Enteric bacteria and other eubacteria,DB00567
Humans and other mammals,DB00568
Humans and other mammals,DB00569
Humans and other mammals,DB00570
Humans and other mammals,DB00571
Humans and other mammals,DB00572
Humans and other mammals,DB00573
Humans and other mammals,DB00574
Humans and other mammals,DB00575
Enteric bacteria and other eubacteria,DB00576
Herpes simplex virus,DB00577
Humans and other mammals,DB00577
Enteric bacteria and other eubacteria,DB00578
Gram-negative Bacteria,DB00578
Pseudomonas aeruginosa,DB00578
Escherichia coli,DB00578
Proteus mirabilis,DB00578
Humans and other mammals,DB00579
Humans and other mammals,DB00580
Humans and other mammals,DB00581
Yeast and other fungi,DB00582
Humans and other mammals,DB00583
Humans and other mammals,DB00584
Humans and other mammals,DB00585
Humans and other mammals,DB00586
Humans and other mammals,DB00587
Humans and other mammals,DB00588
Humans and other mammals,DB00589
Humans and other mammals,DB00590
Humans and other mammals,DB00591
Parasitic nematodes and other roundworms,DB00592
Humans and other mammals,DB00593
Humans and other mammals,DB00594
Enteric bacteria and other eubacteria,DB00595
Humans and other mammals,DB00596
Humans and other mammals,DB00597
Humans and other mammals,DB00598
Humans and other mammals,DB00599
Humans and other mammals,DB00600
Gram negative and gram positive bacteria,DB00601
Parasitic nematodes and other roundworms,DB00602
Head lice,DB00602
Humans and other mammals,DB00603
Humans and other mammals,DB00604
Humans and other mammals,DB00605
Humans and other mammals,DB00606
Enteric bacteria and other eubacteria,DB00607
Staphylococcus aureus,DB00607
Plasmodium,DB00608
SARS-CoV-2,DB00608
Mycobacteria,DB00609
Humans and other mammals,DB00610
Humans and other mammals,DB00611
Humans and other mammals,DB00612
Plasmodium,DB00613
"Microbes (bacteria, parasites)",DB00614
Enteric bacteria and other eubacteria,DB00615
Mycobacterium tuberculosis,DB00615
Mycobacterium leprae,DB00615
Mycobacterium avium,DB00615
Humans and other mammals,DB00616
Humans and other mammals,DB00617
Enteric bacteria and other eubacteria,DB00618
Humans and other mammals,DB00619
Humans and other mammals,DB00620
Humans and other mammals,DB00621
Humans and other mammals,DB00622
Humans and other mammals,DB00623
Humans and other mammals,DB00624
Human Immunodeficiency Virus,DB00625
Enteric bacteria and other eubacteria,DB00626
Humans and other mammals,DB00627
Humans and other mammals,DB00628
Humans and other mammals,DB00629
Humans and other mammals,DB00630
Humans and other mammals,DB00631
Herpes simplex virus,DB00632
Humans and other mammals,DB00633
Enteric bacteria and other eubacteria,DB00634
Humans and other mammals,DB00635
Humans and other mammals,DB00636
Humans and other mammals,DB00637
Humans and other mammals,DB00638
"Fungi, yeast and protozoans",DB00639
Humans and other mammals,DB00640
Humans and other mammals,DB00641
Humans and other mammals,DB00642
Helminthic Microorganisms,DB00643
Humans and other mammals,DB00644
Humans and other mammals,DB00645
Fungi,DB00646
Humans and other mammals,DB00647
Humans and other mammals,DB00648
Human Immunodeficiency Virus,DB00649
Humans and other mammals,DB00650
Humans and other mammals,DB00651
Humans and other mammals,DB00652
Humans and other mammals,DB00653
Humans and other mammals,DB00654
Humans and other mammals,DB00655
Humans and other mammals,DB00656
Humans and other mammals,DB00657
Humans and other mammals,DB00658
Humans and other mammals,DB00659
Humans and other mammals,DB00660
Humans and other mammals,DB00661
Humans and other mammals,DB00662
Humans and other mammals,DB00663
"Gram negative, positive bacteria and plasmodium",DB00664
Humans and other mammals,DB00665
Humans and other mammals,DB00666
Humans and other mammals,DB00668
Humans and other mammals,DB00669
Humans and other mammals,DB00670
Enteric bacteria and other eubacteria,DB00671
Humans and other mammals,DB00672
Humans and other mammals,DB00673
Humans and other mammals,DB00674
Humans and other mammals,DB00675
Sarcoptes scabiei,DB00676
Humans and other mammals,DB00677
Humans and other mammals,DB00678
Humans and other mammals,DB00679
Humans and other mammals,DB00680
Various Fungus Species,DB00681
Humans and other mammals,DB00682
Humans and other mammals,DB00683
Enteric bacteria and other eubacteria,DB00684
Enteric bacteria and other eubacteria,DB00685
Humans and other mammals,DB00686
Humans and other mammals,DB00687
Humans and other mammals,DB00688
Enteric bacteria and other eubacteria,DB00689
Humans and other mammals,DB00690
Humans and other mammals,DB00691
Humans and other mammals,DB00692
Humans and other mammals,DB00693
Humans and other mammals,DB00694
Humans and other mammals,DB00695
Humans and other mammals,DB00696
Humans and other mammals,DB00697
Gram negative and gram positive bacteria,DB00698
Humans and other mammals,DB00699
Humans and other mammals,DB00700
Human Immunodeficiency Virus,DB00701
Humans and other mammals,DB00702
Humans and other mammals,DB00703
Humans and other mammals,DB00704
Human Immunodeficiency Virus,DB00705
Humans and other mammals,DB00706
Humans and other mammals,DB00707
Humans and other mammals,DB00708
Human Immunodeficiency Virus,DB00709
Hepatitis B virus,DB00709
Humans and other mammals,DB00710
Humans and other mammals,DB00711
Parasitic nematodes and other roundworms,DB00711
Humans and other mammals,DB00712
Enteric bacteria and other eubacteria,DB00713
Staphylococcus aureus,DB00713
Humans and other mammals,DB00714
Humans and other mammals,DB00715
Humans and other mammals,DB00716
Humans and other mammals,DB00717
Hepatitis B virus,DB00718
Humans and other mammals,DB00719
Humans and other mammals,DB00720
Humans and other mammals,DB00721
Humans and other mammals,DB00722
Humans and other mammals,DB00723
Humans and other mammals,DB00724
Humans and other mammals,DB00725
Humans and other mammals,DB00726
Humans and other mammals,DB00727
Humans and other mammals,DB00728
"Roundworms, hookworms, and other helminth species",DB00730
Humans and other mammals,DB00731
Humans and other mammals,DB00732
Humans and other mammals,DB00733
Humans and other mammals,DB00734
Yeast and other fungi,DB00735
Humans and other mammals,DB00736
Humans and other mammals,DB00737
Pneumocystis carinii,DB00738
Enteric bacteria and other eubacteria,DB00739
Humans and other mammals,DB00740
Humans and other mammals,DB00741
Humans and other mammals,DB00742
Humans and other mammals,DB00743
Humans and other mammals,DB00744
Humans and other mammals,DB00745
Humans and other mammals,DB00746
Humans and other mammals,DB00747
Humans and other mammals,DB00748
Humans and other mammals,DB00749
Humans and other mammals,DB00750
Humans and other mammals,DB00751
Humans and other mammals,DB00752
Humans and other mammals,DB00753
Humans and other mammals,DB00754
Humans and other mammals,DB00755
Enteric bacteria and other eubacteria,DB00756
Humans and other mammals,DB00757
Humans and other mammals,DB00758
Enteric bacteria and other eubacteria,DB00759
Vibrio cholerae,DB00759
Escherichia coli,DB00759
Shigella,DB00759
Rickettsia rickettsii,DB00759
Borrelia burgdorferi,DB00759
Mycoplasma pneumoniae,DB00759
Coxiella,DB00759
Chlamydia trachomatis,DB00759
Enteric bacteria and other eubacteria,DB00760
Humans and other mammals,DB00761
Humans and other mammals,DB00762
Humans and other mammals,DB00763
Humans and other mammals,DB00764
Humans and other mammals,DB00765
Enteric bacteria and other eubacteria,DB00766
Humans and other mammals,DB00767
Humans and other mammals,DB00768
Humans and other mammals,DB00769
Humans and other mammals,DB00770
Humans and other mammals,DB00771
Head lice,DB00772
Humans and other mammals,DB00773
Humans and other mammals,DB00774
Humans and other mammals,DB00775
Humans and other mammals,DB00776
Humans and other mammals,DB00777
Enteric bacteria and other eubacteria,DB00778
Enteric bacteria and other eubacteria,DB00779
Humans and other mammals,DB00780
Humans and other mammals,DB00782
Humans and other mammals,DB00783
Humans and other mammals,DB00784
Humans and other mammals,DB00785
Humans and other mammals,DB00786
Human Herpes Virus,DB00787
Humans and other mammals,DB00788
Humans and other mammals,DB00789
Humans and other mammals,DB00790
Humans and other mammals,DB00791
Humans and other mammals,DB00792
"Dermatophytic fungi including Trichophyton, Microsporum and Epidermophyton",DB00793
Humans and other mammals,DB00794
Humans and other mammals,DB00795
Humans and other mammals,DB00796
Humans and other mammals,DB00797
Enteric bacteria and other eubacteria,DB00798
Pseudomonas aeruginosa,DB00798
Yersinia pestis,DB00798
Francisella tularensis,DB00798
Proteus vulgaris,DB00798
Serratia marcescens,DB00798
Humans and other mammals,DB00799
Humans and other mammals,DB00800
Humans and other mammals,DB00801
Humans and other mammals,DB00802
Gram-negative bacilli,DB00803
Humans and other mammals,DB00804
Humans and other mammals,DB00805
Humans and other mammals,DB00806
Humans and other mammals,DB00807
Humans and other mammals,DB00808
Humans and other mammals,DB00809
Humans and other mammals,DB00810
Hepatitis B virus,DB00811
"Hepatitis C virus, RSV and other RNA/DNA viruses",DB00811
Humans and other mammals,DB00812
Humans and other mammals,DB00813
Humans and other mammals,DB00814
Humans and other mammals,DB00815
Humans and other mammals,DB00816
Enteric bacteria and other eubacteria,DB00817
Humans and other mammals,DB00818
Humans and other mammals,DB00819
Humans and other mammals,DB00820
Humans and other mammals,DB00821
Humans and other mammals,DB00822
Humans and other mammals,DB00823
Humans and other mammals,DB00824
Humans and other mammals,DB00825
Various Fungus Species,DB00826
Enteric bacteria and other eubacteria,DB00827
Enteric bacteria and other eubacteria,DB00828
Humans and other mammals,DB00829
Humans and other mammals,DB00830
Humans and other mammals,DB00831
Humans and other mammals,DB00832
Enteric bacteria and other eubacteria,DB00833
Humans and other mammals,DB00834
Humans and other mammals,DB00835
Humans and other mammals,DB00836
Humans and other mammals,DB00837
Humans and other mammals,DB00838
