manufacturer,generic,url,drugbank-id
Del ray laboratories inc,false,,DB00162
Bayer pharmaceuticals corp,false,,DB00162
Bristol myers squibb co,false,,DB00162
Elkins sinn div ah robins co inc,false,,DB00162
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,false,,DB00162
Mk laboratories inc,false,,DB00162
Wharton laboratories inc div us ethicals,false,,DB00162
Arcum pharmaceutical corp,true,,DB00162
Teva pharmaceuticals usa inc,false,,DB00162
Hospira inc,false,,DB00162
Bel mar laboratories inc,true,,DB00162
Eli lilly and co,false,,DB00165
Akorn inc,true,,DB00165
App pharmaceuticals llc,true,,DB00165
Bel mar laboratories inc,true,,DB00165
Dell laboratories inc,true,,DB00165
Elkins sinn div ah robins co inc,true,,DB00165
Luitpold pharmaceuticals inc,true,,DB00165
Watson laboratories inc,true,,DB00165
Eli lilly and co,true,,DB00170
Bristol myers squibb,false,,DB00175
Apotex corp,true,,DB00175
Dr reddys laboratories inc,true,,DB00175
Glenmark generics ltd,true,,DB00175
Lek pharmaceuticals dd,true,,DB00175
Lupin pharmaceuticals inc,true,,DB00175
Matrix laboratories ltd,true,,DB00175
Mylan pharmaceuticals inc,true,,DB00175
Pliva hrvatska doo,true,,DB00175
Ranbaxy laboratories ltd,true,,DB00175
Teva pharmaceuticals usa inc,true,,DB00175
Teva pharmaceuticals usa,true,,DB00175
Watson laboratories inc,true,,DB00175
Zydus pharmaceuticals usa inc,true,,DB00175
Jazz pharmaceuticals,false,,DB00176
Actavis elizabeth llc,true,,DB00176
Apotex inc,true,,DB00176
Barr laboratories inc,true,,DB00176
Caraco pharmaceutical laboratories ltd,true,,DB00176
Genpharm inc,true,,DB00176
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00176
Mutual pharmaceutical co inc,true,,DB00176
Mylan pharmaceuticals inc,true,,DB00176
Sandoz inc,true,,DB00176
Synthon pharmaceuticals ltd,true,,DB00176
Teva pharmaceuticals usa inc,true,,DB00176
Watson laboratories inc,true,,DB00176
Ani pharmaceuticals inc,false,,DB00176
Solvay pharmaceuticals,false,,DB00176
Novartis pharmaceuticals corp,false,,DB00177
Novartis Corporation,false,,DB00177
King pharmaceuticals inc,false,,DB00178
Actavis elizabeth llc,true,,DB00178
Apotex inc,true,,DB00178
Cipla ltd,true,,DB00178
Dr reddys laboratories ltd,true,,DB00178
Invagen pharmaceuticals inc,true,,DB00178
Lupin ltd,true,,DB00178
Ranbaxy laboratories ltd,true,,DB00178
Roxane laboratories inc,true,,DB00178
Sandoz inc,true,,DB00178
Teva pharmaceuticals usa,true,,DB00178
Watson laboratories inc,true,,DB00178
Zydus pharmaceuticals usa inc,true,,DB00178
"King Pharmaceuticals, Inc.",false,,DB00178
Univ arizona cancer center,false,,DB00179
Roche palo alto llc,false,,DB00180
Acton pharmaceuticals inc,false,,DB00180
Apotex inc richmond hill,true,,DB00180
Bausch and lomb pharmaceuticals inc,true,,DB00180
Qpharma llc,true,,DB00180
Ivax research inc,false,,DB00180
Teva branded pharmaceutical products r and d inc,false,,DB00180
Medtronic inc,false,,DB00181
Schwarz pharma inc,false,,DB00181
Actavis totowa llc,true,,DB00181
Caraco pharmaceutical laboratories ltd,true,,DB00181
Impax laboratories inc,true,,DB00181
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00181
Lannett holdings inc,true,,DB00181
Matrix laboratories ltd,true,,DB00181
Mylan pharmaceuticals inc,true,,DB00181
Northstar healthcare holdings ltd,true,,DB00181
Teva pharmaceuticals usa inc,true,,DB00181
Usl pharma inc,true,,DB00181
Vintage pharmaceuticals inc,true,,DB00181
Watson laboratories inc,true,,DB00181
Novartis pharmaceuticals corp,false,,DB00181
Lannett co inc,true,,DB00182
Akorn inc,false,,DB00182
Teva pharmaceuticals usa inc,false,,DB00182
Wyeth ayerst laboratories,false,,DB00183
Novartis consumer health inc,false,,DB00184
Sanofi aventis us llc,false,,DB00184
Aveva drug delivery systems inc,true,,DB00184
Mcneil consumer healthcare,false,,DB00184
Pharmacia and upjohn co,false,,DB00184
Pfizer inc,false,http://www.pfizer.com/,DB00184
Glaxosmithkline,false,,DB00184
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00184
Perrigo co,true,,DB00184
Perrigo r and d co,true,,DB00184
Watson laboratories inc,true,,DB00184
Glaxosmithkline consumer healthcare,false,,DB00184
Daiichi sankyo co ltd,false,,DB00185
Amneal pharmaceuticals,true,,DB00186
Paddock laboratories inc,true,,DB00186
Pharmaceutical assoc inc,true,,DB00186
Roxane laboratories inc,false,,DB00186
Baxter healthcare corp anesthesia critical care,false,,DB00186
Akorn inc,true,,DB00186
Baxter healthcare corp anesthesia and critical care,true,,DB00186
Bedford laboratories div ben venue laboratories inc,true,,DB00186
Dava pharmaceuticals inc,true,,DB00186
Hospira inc,true,,DB00186
International medication systems ltd,true,,DB00186
Marsam pharmaceuticals llc,true,,DB00186
Taylor pharmaceuticals,true,,DB00186
Watson laboratories inc,true,,DB00186
Bedford laboratories,false,,DB00186
Biovail laboratories inc,false,,DB00186
Quantum pharmics ltd,false,,DB00186
Actavis elizabeth llc,true,,DB00186
American therapeutics inc,true,,DB00186
Excellium pharmaceutical inc,true,,DB00186
Halsey drug co inc,true,,DB00186
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00186
Mutual pharmaceutical co inc,true,,DB00186
Mylan pharmaceuticals inc,true,,DB00186
Par pharmaceutical inc,true,,DB00186
Ranbaxy laboratories ltd,true,,DB00186
Sandoz inc,true,,DB00186
Superpharm corp,true,,DB00186
Usl pharma inc,true,,DB00186
Vintage pharmaceuticals inc,true,,DB00186
Warner chilcott div warner lambert co,true,,DB00186
Baxter healthcare corp anesthesia critical care,false,,DB00187
App pharmaceuticals llc,true,,DB00187
Bedford laboratories,true,,DB00187
Bioniche pharma usa llc,true,,DB00187
Millennium pharmaceuticals inc,false,,DB00188
Banner pharmacaps inc,true,,DB00189
Abbott laboratories pharmaceutical products div,false,,DB00189
Aton pharma inc,false,,DB00190
Baxter healthcare corp anesthesia critical care,false,,DB00191
Teva pharmaceuticals usa inc,false,,DB00191
Glaxosmithkline,false,,DB00191
Ferndale laboratories inc,false,,DB00191
Shire richwood inc,false,,DB00191
Mm mast and co,false,,DB00191
Abc holding corp,true,,DB00191
Able laboratories inc,true,,DB00191
Actavis totowa llc,true,,DB00191
Barr laboratories inc,true,,DB00191
Camall co inc,true,,DB00191
Duramed pharmaceuticals inc sub barr laboratories inc,true,,DB00191
Ivax pharmaceuticals inc,true,,DB00191
Kvk tech inc,true,,DB00191
Lannett co inc,true,,DB00191
Lannett holdings inc,true,,DB00191
Mutual pharmaceutical co inc,true,,DB00191
Sandoz inc,true,,DB00191
Tg united inc,true,,DB00191
Tg united labs llc,true,,DB00191
Usl pharma inc,true,,DB00191
Vitarine pharmaceuticals inc,true,,DB00191
Watson laboratories inc,true,,DB00191
Actavis elizabeth llc,true,,DB00191
Caraco pharmaceutical laboratories ltd,true,,DB00191
Vintage pharmaceuticals inc,true,,DB00191
Solvay pharmaceuticals,false,,DB00191
Ucb inc,false,,DB00191
Quantum pharmics ltd,false,,DB00191
Eli lilly and co,false,,DB00192
Cipher pharmaceuticals inc,true,,DB00193
Purdue pharma products lp,false,,DB00193
Par pharmaceutical,true,,DB00193
Biovail laboratories international srl,false,,DB00193
Victory pharma inc,true,,DB00193
Actavis elizabeth llc,true,,DB00193
Alphapharm party ltd,true,,DB00193
Amneal pharmaceuticals llc,true,,DB00193
Apotex inc,true,,DB00193
Asta medica inc,true,,DB00193
Caraco pharmaceutical laboratories ltd,true,,DB00193
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00193
Mallinckrodt inc,true,,DB00193
Mutual pharmaceutical co inc,true,,DB00193
Mylan pharmaceuticals inc,true,,DB00193
Northstar healthcare holdings ltd,true,,DB00193
Pliva inc,true,,DB00193
Sandoz inc,true,,DB00193
Teva pharmaceuticals usa inc,true,,DB00193
Watson laboratories,true,,DB00193
Ortho mcneil janssen pharmaceuticals inc,false,,DB00193
Parkedale pharmaceuticals inc,false,,DB00194
Akorn inc,true,,DB00195
Bausch and lomb pharmaceuticals inc,true,,DB00195
Novex pharma,true,,DB00195
Wockhardt ltd,true,,DB00195
Alcon laboratories inc,false,,DB00195
Epic pharma llc,true,,DB00195
Kvk tech inc,true,,DB00195
Sanofi aventis us llc,false,,DB00195
Alcon inc,false,,DB00195
Pfizer chemicals div pfizer inc,false,,DB00196
Aurobindo pharma usa inc,true,,DB00196
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00196
Ranbaxy laboratories ltd,true,,DB00196
Roxane laboratories inc,true,,DB00196
Taro pharmaceutical industries ltd,true,,DB00196
Pfizer inc,false,http://www.pfizer.com/,DB00196
Acs dobfar info sa,false,,DB00196
Apotex inc richmond hill,false,,DB00196
Hospira inc,false,,DB00196
App pharmaceuticals llc,false,,DB00196
Bedford laboratories div ben venue laboratories inc,false,,DB00196
Claris lifesciences ltd,false,,DB00196
Hikma farmaceutica portugal lda,false,,DB00196
Teva parenteral medicines inc,false,,DB00196
Baxter healthcare corp,false,,DB00196
Bedford laboratories,false,,DB00196
Pfizer central research,false,,DB00196
Apotex inc,true,,DB00196
Aurobindo pharma ltd,true,,DB00196
Dr reddys laboratories inc,true,,DB00196
Gedeon richter usa inc,true,,DB00196
Genpharm inc,true,,DB00196
Glenmark generics ltd,true,,DB00196
Mylan pharmaceuticals inc,true,,DB00196
Pliva inc,true,,DB00196
Sandoz inc,true,,DB00196
Teva pharmaceuticals usa inc,true,,DB00196
Unique pharmaceutical laboratories,true,,DB00196
Sankyo usa corp,false,,DB00197
Pfizer pharmaceuticals ltd,false,,DB00197
Hoffmann la roche inc,false,,DB00198
Hospira inc,false,,DB00199
Parke davis div warner lambert co,false,,DB00199
Warner chilcott inc,false,,DB00199
Abbott laboratories pharmaceutical products div,true,,DB00199
Barr laboratories inc,true,,DB00199
Stiefel laboratories inc,false,,DB00199
Altana inc,false,,DB00199
Merz pharmaceuticals llc,false,,DB00199
Perrigo co,true,,DB00199
Syosset laboratories inc,false,,DB00199
Akorn inc,true,,DB00199
Bausch and lomb pharmaceuticals inc,true,,DB00199
E fougera div altana inc,true,,DB00199
Pharmaderm div altana inc,true,,DB00199
Pharmafair inc,true,,DB00199
Dista products co div eli lilly and co,false,,DB00199
Dow pharmaceutical sciences inc,false,,DB00199
Paddock laboratories inc,true,,DB00199
Taro pharmaceuticals north america inc,false,,DB00199
Bioglan pharma inc,false,,DB00199
Alpharma us pharmaceuticals division,true,,DB00199
Eli lilly and co,true,,DB00199
Perrigo new york inc,true,,DB00199
Wockhardt eu operations (swiss) ag,true,,DB00199
Hi tech pharmacal co inc,false,,DB00199
Westwood squibb pharmaceuticals inc,false,,DB00199
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,false,,DB00199
Orthoneutrogena,false,,DB00199
Versapharm inc,true,,DB00199
Ah robins co,false,,DB00199
Solvay pharmaceuticals,false,,DB00199
Watson laboratories inc,true,,DB00199
Life laboratories inc,true,,DB00199
Lilly research laboratories div eli lilly and co,false,,DB00199
Ross laboratories div abbott laboratories inc,false,,DB00199
Pharmacia and upjohn co,false,,DB00199
Naska pharmacal co inc div rugby darby group cosmetics,true,,DB00199
Wyeth ayerst laboratories,false,,DB00199
Abbott laboratories chemical and agricultural products div,true,,DB00199
Mylan pharmaceuticals inc,true,,DB00199
Elkins sinn div ah robins co inc,false,,DB00199
Abraxis pharmaceutical products,true,,DB00199
Baxter healthcare corp anesthesia and critical care,true,,DB00199
Teva parenteral medicines inc,true,,DB00199
Bristol laboratories inc div bristol myers co,false,,DB00199
Warner chilcott div warner lambert co,false,,DB00199
Lederle laboratories div american cyanamid co,true,,DB00199
Purepac pharmaceutical co,true,,DB00199
Bristol myers squibb co,false,,DB00199
Pfizer laboratories div pfizer inc,false,,DB00199
Merck and co inc,false,,DB00200
Merck sante sas,false,,DB00200
Abraxis pharmaceutical products,true,,DB00200
Watson laboratories inc,true,,DB00200
Bel mar laboratories inc,false,,DB00200
Mead johnson and co,false,,DB00201
App pharmaceuticals llc,true,,DB00201
Luitpold pharmaceuticals inc,true,,DB00201
Paddock laboratories inc,true,,DB00201
Sun pharmaceutical industries ltd,true,,DB00201
Sandoz canada inc,false,,DB00202
Hospira inc,false,,DB00202
International medication systems ltd,true,,DB00202
Organon usa inc,true,,DB00202
Apothecon inc div bristol myers squibb,false,,DB00202
Pfizer inc,false,http://www.pfizer.com/,DB00203
Pfizer ireland pharmaceuticals,false,,DB00203
Pfizer pharmaceuticals production corp ltd,false,,DB00204
Glaxosmithkline llc,false,,DB00205
Novartis pharmaceuticals corp,false,,DB00206
Eli lilly and co,false,,DB00206
Bowman pharmaceuticals inc,false,,DB00206
Bristol myers squibb co,false,,DB00206
Barr laboratories inc,true,,DB00206
Bell pharmacal corp,true,,DB00206
Cm bundy co,true,,DB00206
Elkins sinn div ah robins co inc,true,,DB00206
Everylife,true,,DB00206
Halsey drug co inc,true,,DB00206
Impax laboratories inc,true,,DB00206
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00206
Marshall pharmacal corp,true,,DB00206
Mk laboratories inc,true,,DB00206
Mylan pharmaceuticals inc,true,,DB00206
Pharmavite pharmaceuticals,true,,DB00206
Purepac pharmaceutical co,true,,DB00206
Private formulations inc,true,,DB00206
Rexall drug co,true,,DB00206
Roxane laboratories inc,true,,DB00206
Sandoz inc,true,,DB00206
Solvay pharmaceuticals,true,,DB00206
Tablicaps inc,true,,DB00206
Teva pharmaceuticals usa inc,true,,DB00206
Valeant pharmaceuticals international,true,,DB00206
Watson laboratories inc,true,,DB00206
West ward pharmaceutical corp,true,,DB00206
Whiteworth towne paulsen inc,true,,DB00206
Lannett co inc,false,,DB00206
Panray corp sub ormont drug and chemical co inc,false,,DB00206
Vale chemical co inc,false,,DB00206
Vitarine pharmaceuticals inc,false,,DB00206
Pfizer chemicals div pfizer inc,false,,DB00207
Pfizer global research development,false,,DB00207
Pliva inc,true,,DB00207
Sandoz inc,true,,DB00207
Teva pharmaceuticals usa,true,,DB00207
Pfizer central research,false,,DB00207
App pharmaceuticals llc,true,,DB00207
Gland pharma ltd,true,,DB00207
Hospira inc,true,,DB00207
Pliva hrvatska doo,true,,DB00207
Sagent strides llc,true,,DB00207
Teva parenteral medicines inc,true,,DB00207
Pfizer inc,false,http://www.pfizer.com/,DB00207
Inspire pharmaceuticals inc,false,,DB00207
Mylan pharmaceuticals inc,true,,DB00207
Teva pharmaceuticals usa inc,true,,DB00207
Wockhardt ltd,true,,DB00207
Roche palo alto llc,false,,DB00208
Actavis elizabeth llc,true,,DB00208
Apotex inc,true,,DB00208
Caraco pharmaceutical laboratories ltd,true,,DB00208
Genpharm inc,true,,DB00208
Mylan pharmaceuticals inc,true,,DB00208
Sandoz inc,true,,DB00208
Teva pharmaceuticals usa inc,true,,DB00208
Watson laboratories inc,true,,DB00208
Allergan inc,false,,DB00209
Nycomed us inc,true,,DB00210
Galderma laboratories lp,false,,DB00210
Glenmark generics inc usa,true,,DB00210
Pliva hrvatska doo,true,,DB00210
Galderma research and development inc,false,,DB00210
Galderma Laboratories,false,,DB00210
Apotex inc etobicoke site,true,,DB00211
Impax pharmaceuticals,true,,DB00211
Mylan pharmaceuticals inc,true,,DB00211
Sandoz inc,true,,DB00211
Upsher smith laboratories inc,false,,DB00211
Shire development inc,false,,DB00211
Wyeth pharmaceuticals inc,false,,DB00213
Kudco ireland ltd,true,,DB00213
Sun pharma global inc,true,,DB00213
Teva pharmaceuticals usa inc,true,,DB00213
Hoffmann la roche inc,false,,DB00214
Bedford laboratories,true,,DB00214
Luitpold pharmaceuticals inc,true,,DB00214
Meda pharmaceuticals inc,false,,DB00214
Apotex inc etobicoke site,true,,DB00214
Aurobindo pharma ltd,true,,DB00214
Hetero drugs ltd,true,,DB00214
Par pharmaceutical inc,true,,DB00214
Pliva pharmaceutical industry inc,true,,DB00214
Roxane laboratories inc,true,,DB00214
Sun pharmaceutical industries ltd,true,,DB00214
Teva pharmaceuticals usa inc,true,,DB00214
Alphapharm party ltd,true,,DB00215
Forest laboratories inc,false,,DB00215
Apotex inc richmond hill,true,,DB00215
Aurobindo pharma ltd inc,true,,DB00215
Roxane laboratories inc,true,,DB00215
Silarx pharmaceuticals inc,true,,DB00215
Biovail laboratories international srl,true,,DB00215
Actavis elizabeth llc,true,,DB00215
Amneal pharmaceuticals ny llc,true,,DB00215
Apotex inc etobicoke site,true,,DB00215
Aurobindo pharma ltd,true,,DB00215
Caraco pharmaceutical laboratories ltd,true,,DB00215
Corepharma llc,true,,DB00215
Dr reddys laboratories ltd,true,,DB00215
Epic pharma llc,true,,DB00215
Glenmark generics ltd,true,,DB00215
Invagen pharmaceuticals inc,true,,DB00215
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,true,,DB00215
Matrix laboratories inc,true,,DB00215
Mutual pharmaceutical co inc,true,,DB00215
Mylan pharmaceuticals inc,true,,DB00215
Natco pharma ltd,true,,DB00215
Pliva inc,true,,DB00215
Sandoz inc,true,,DB00215
Taro pharmaceuticals usa inc,true,,DB00215
Teva pharmaceuticals usa,true,,DB00215
Torrent pharmaceuticals ltd,true,,DB00215
Watson laboratories inc,true,,DB00215
Pfizer ireland pharmaceuticals,false,,DB00216
Ah robins co,false,,DB00217
Bayer healthcare pharmaceuticals inc,false,,DB00218
Alcon inc,false,,DB00218
Bayer Healthcare Pharmaceuticals,false,,DB00218
Novartis pharmaceuticals corp,false,,DB00219
Agouron pharmaceuticals inc,false,,DB00220
Nephron corp,false,,DB00221
Sanofi aventis us llc,false,,DB00221
Alpharma us pharmaceuticals division,true,,DB00221
Astrazeneca lp,true,,DB00221
Baxter healthcare corp,true,,DB00221
Dey lp,true,,DB00221
International medication systems ltd,true,,DB00221
Parke davis pharmaceutical research div warner lambert co,true,,DB00221
Roxane laboratories inc,true,,DB00221
Sanofi aventis us llc,false,,DB00222
Accord healthcare inc,true,,DB00222
Carlsbad technology inc,true,,DB00222
Corepharma llc,true,,DB00222
Dr reddys laboratories ltd,true,,DB00222
Genpharm inc,true,,DB00222
Invagen pharmaceuticals inc,true,,DB00222
Mylan pharmaceuticals inc,true,,DB00222
Ranbaxy laboratories ltd,true,,DB00222
Teva pharmaceuticals usa inc,true,,DB00222
Vintage pharmaceuticals llc,true,,DB00222
Watson laboratories inc,true,,DB00222
Watson laboratories inc florida,true,,DB00222
Altana inc,true,,DB00223
Taro pharmaceuticals usa inc,true,,DB00223
Pharmacia and upjohn co,false,,DB00223
Sanofi aventis us llc,false,,DB00223
Taro pharmaceuticals inc,true,,DB00223
Merck sharp and dohme corp,false,,DB00224
Ge healthcare,false,,DB00225
Pharmacia and upjohn co,false,,DB00226
Andrx labs llc,false,,DB00227
Actavis elizabeth llc,true,,DB00227
Apotex inc,true,,DB00227
Carlsbad technology inc,true,,DB00227
Lupin ltd,true,,DB00227
Mutual pharmaceutical co inc,true,,DB00227
Mylan pharmaceuticals inc,true,,DB00227
Sandoz inc,true,,DB00227
Teva pharmaceuticals usa inc,true,,DB00227
Merck research laboratories div merck co inc,false,,DB00227
Abbott laboratories hosp products div,true,,DB00228
Piramal critical care inc,true,,DB00228
Baxter healthcare corp anesthesia critical care,false,,DB00228
Takeda chemical industries ltd,false,,DB00229
Cp pharmaceuticals cv,false,,DB00230
Pfizer inc,false,http://www.pfizer.com/,DB00230
Tyco healthcare group lp,false,,DB00231
Quantum pharmics ltd,false,,DB00231
