ref-id,isbn,citation,parent_key
T445,978-0-8261-2858-4,Hale T. and Rowe H. (2017). MEdications & mothers' milk (17th ed.). Springer publishing company.,DB00332
T548,0-7817-5950-1,Green W. (2001). Child & adolescent clinical psychopharmacology (3rd ed.). Lippincott Williams & Wilkins.,DB00334
T551,978-0-521-87363-5,"Ng C., Lin K., Singh B. and Chiu E. (2008). Ethno-psychopharmacology. Cambridge University Press.",DB00334
T554,978-161-5371-228,Schatzberg A. and Nemeroff C. (2017). The american psychiatric association publishing textbook of psychopharmacology (5th ed.). American Psychiatric Association Publishing.,DB00334
T116,978-1-25-958473-2,Thomas C. Westfall; Heather Macarthur; David P. Westfall (2018). 12. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.,DB00335
T28,978-0-7020-3471-8,"4, 22. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 50, 272). Edinburgh: Elsevier/Churchill Livingstone.",DB00343
T659,,Christina Vrettakos; Tushar Bajaj (2019). Levonorgestrel. Stat Pearls NIH.,DB00367
T595,,Talha N. Jilani; Abdolreza Saadabadi (2019). Mirtazapine. StatPearls Publishing.,DB00370
T28,978-0-7020-3471-8,"28. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 352-353, 356). Edinburgh: Elsevier/Churchill Livingstone.",DB00384
T607,,Rameez Rehman; Ofek Hai. (2018). Digitalis Toxicity. StatPearls Publishing.,DB00390
T610,,IARC Working Group on the Evaluation of Carcinogenic Risk to Humans. Lyon (FR) (2016). Some Drugs and Herbal Products. International Agency for Research on Cancer.,DB00390
T613,,A Kosaraju (2019). Left Ventricular Ejection Fraction. StatPearls.,DB00390
T481,,Danielle B. Cooper; Rotimi Adigun (2018). Oral contraceptives. StatPearls Publishing.,DB00396
T490,,"Dhanalakshmi K. Thiyagarajan; Rebecca Jeanmonod (2019). Physiology, Menstrual Cycle. StatPearls publishing.",DB00396
T508,,Ahmad Qurie; Rina Musa (2018). StatPearls: Allopurinol. StatPearls Publishing.,DB00437
T707,9780702080609,Antibacterial Agents That Interfere With Folate Synthesis. (2020). In Rang and Dale's Pharmacology (9th ed.). Edinburgh: Elsevier.,DB00440
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB00458
T116,978-1-25-958473-2,Emer M. Smyth; Tilo Grosser; Garret A. FitzGerald (2018). 37 & 38. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.,DB00461
T116,978-1-25-958473-2,David R. Sibley; Lisa A. Hazelwood; Susan G. Amara (2018). 13. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.,DB00476
T28,978-0-7020-3471-8,"35. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 438-439). Edinburgh: Elsevier/Churchill Livingstone.",DB00481
T647,,"Brandon Cohen; Charles V. Preuss (2019). Celecoxib, NIH StatPearls. StatPearls.",DB00482
T28,978-0-7020-3471-8,"43. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 538-539). Edinburgh: Elsevier/Churchill Livingstone.",DB00490
T28,978-0-7020-3471-8,"46. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 574-575). Edinburgh: Elsevier/Churchill Livingstone.",DB00540
T28,978-0-7020-3471-8,"44. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 544, 549). Edinburgh: Elsevier/Churchill Livingstone.",DB00555
T707,9780702080609,How drugs act: General principles. (2020). In Rang and Dale's Pharmacology (9th ed.). Edinburgh: Elsevier.,DB00557
T634,,Jasdave S. Maan; Abdolreza Saadabadi (2019). Carbamazepine. Stat Pearls Publishing.,DB00564
T442,,Canadian Pharmacists Association (2019). Compendium of Pharmaceuticals and Specialties. Canadian Pharmacists Association.,DB00581
T28,978-0-7020-3471-8,"22. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 270-271). Edinburgh: Elsevier/Churchill Livingstone.",DB00584
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB00586
T357,978-0-7817-6879-5,"Lemke T., Williams D., Roche V. and Zito W. (2008). Foye's Principles of Medicinal Chemistry (6th) (6th ed.). Lippincott Williams & Wilkins.",DB00591
T358,978-3-540-33861-1,"Becker M., Davis J. (2008). Surgical Management of Inflammatory Eye Disease. Springer.",DB00591
T359,,Narayanan R. and Kuppermann B. (2010). Retinal pharmacotherapy. Elsevier.,DB00591
T28,978-0-7020-3471-8,"49. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 612). Edinburgh: Elsevier/Churchill Livingstone.",DB00607
T640,,William D. Tucker; Pramod Theetha Kariyanna (2019). Selective B1 blockers. Stat Pearls Publishing.,DB00612
T643,,National Collaborating Centre for Women's and Children's Health (UK) (2010). NICE Guidelines for hypertension in pregnancy. RCOG Press.,DB00612
T662,978-0-07-183979-2,2. (2018). In Poisoning & Drug Overdose (7th ed.). McGraw-Hill Education.,DB00626
T646,,"Justin J. Shin; Abdolreza Saadabadi. (2019). Trazodone, StatPearls. Stat Pearls.",DB00656
T622,,"Aster JC, Bunn HF (2017). Pathophysiology of Blood Disorders (2nd ed.). McGraw-Hill.",DB00682
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB00682
T379,,"Siegel GJ, Agranoff BW, Albers RW et al. (1999). Basic Neurochemistry: Molecular, Cellular and Medical Aspects (6th ed.). Lippincott Williams.",DB00683
T28,978-0-7020-3471-8,32. (2012). In Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.,DB00687
T28,978-0-7020-3471-8,"28. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 352-354). Edinburgh: Elsevier/Churchill Livingstone.",DB00695
T574,,Shirin Ghanavatian; Armen Derian (2019). Tizanidine. StatPearls.,DB00697
T653,,Prabina Shrestha; Sara Abdijadid (2018). Paroxetine. NIH StatPearls.,DB00715
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,DB00715
T628,,Kyle H. Kim; Derek J. Schaller (2019). Nitroglycerin. Stat Pearls publishing.,DB00727
T28,978-0-7020-3471-8,"29. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 365-367). Edinburgh: Elsevier/Churchill Livingstone.",DB00737
T23,978-0-85369-840-1," Sweetman, Sean C. (2009). Contrast Media. In Martindale : The Complete Drug Reference, 36th Edition 2 Volume Set (36th ed., pp. 1478). Pharmaceutical Press.",DB00743
T665,,Justin Evans; Micah Wittler (2019). Amoxicillin Clavulanate. Stat Pearls.,DB00766
T113,,"Preskon S., Feighner J., Stanga C. and Ross R. (2004). Antidepressants: Past, Present and Future. Springer-Verlag.",DB00780
T114,,Owens D. (2010). Companion to psychiatric studies (8th ed.). Elsevier.,DB00780
T84,978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB00783
T11,978-0321556660,"Stanfield, Cindy L.;Germann, William J. (2009). Principles of Human Physiology (3rd ed.). Benjamin-Cummings Publishing Company.",DB00796
T5,9783540298328,"Bader, M. (2004). Renin-angiotensin-aldosterone system. In Encyclopedic reference of molecular pharmacology (pp. 810-814). Berlin: Springer.",DB00796
T228,,"Lukasz Komsta, Monika Waksmundzka-Hajnos, Joseph Sherma (2014). Thin Layer Chromatography in Drug Analysis. Taylor & Francis.",DB00808
T757,,"Carl P. Weiner MD, MBA, FACOG, Clifford Mason PhD (2019). Drugs for Pregnant and Lactating Women (3rd ed.). Elsevier.",DB00814
T668,,Anil Kumar; Sandeep Sharma (2019). Donepezil. Stat Pearls.,DB00843
T533,,Caitlin C. Nugent; Jamie M. Terrell (2018). H2 Blockers- StatPearls. StatPearls Publishing.,DB00863
T536,1563634635,"Thompson Micromedex (2004). Usp Vol I Drug Info Health Vol: Volume I (USP DI: v.1 Drug Information for the Health Care Professional) (24th ed., pp. 2475). Thompson PDR.",DB00884
T28,978-0-7020-3471-8,"29. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 360-363). Edinburgh: Elsevier/Churchill Livingstone.",DB00927
T562,,Hasan Arif; Sandeep Aggarwal (2018). Salicylic Acid (Aspirin): StatPearls. StatPearls Publishing.,DB00945
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB00956
T28,978-0-7020-3471-8,"49,50. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 63-). Edinburgh: Elsevier/Churchill Livingstone.",DB00994
T28,978-0-7020-3471-8,"21. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 260-261). Edinburgh: Elsevier/Churchill Livingstone.",DB01020
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB01026
T556,,Brianne Kuns; Dona Varghese (2019). StatPearls: Memantine. StatPearls Publishing.,DB01043
T53,,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB01049
T90,,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,DB01049
T192,978-0-470-33447-4,Barceloux D. (2008). Medical toxicology of natural substances. Wiley.,DB01049
T689,,Jennifer Dwyer; Chad A. LaGrange (2019). Oxybutinin. StatPearls Publishing.,DB01062
T28,978-0-7020-3471-8,"30. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 380-381, 383). Edinburgh: Elsevier/Churchill Livingstone.",DB01067
T469,9783527607495,"Fischer, Jnos; Ganellin, C. Robin (2006). Analogue-based Drug Discovery. John Wiley & Sons.",DB01068
T472,9780190292010,"Shorter, Edward (2005). A Historical Dictionary of Psychiatry. Oxford University Press.",DB01068
T568,978-0-470-26096-8,"Corey E., Czako B. and Kurti L. (2007). Molecules and medicine. John Wiley & Sons, Inc.",DB01076
T571,978-1-78262-050-1,Kumar R. and Bandichhor R. (2018). Hazardous reagent substitution. A pharmaceutical perspective. The Royal Society of Chemistry.,DB01076
T28,978-0-7020-3471-8,"46. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 573-574). Edinburgh: Elsevier/Churchill Livingstone.",DB01104
T238,,Scholar E. (2007). XPharm: The comprehensive Pharmacology Reference. Elsevier.,DB01120
T360,,Ghosh S. and Collier A. (2012). Churchill's pocketbook of diabetes (2nd ed.). Elsevier.,DB01120
T28,978-0-7020-3471-8,"34. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 424). Edinburgh: Elsevier/Churchill Livingstone.",DB01126
T388,,Pagliaro L. and Pagliaro A. (1999). Psychologists' psychotropic drug reference. Taylor and Francis.,DB01142
T249,9780521683500,Stephen M. Stahl (2006). Essential Psychopharmacology: The Prescriber's Guide: Revised and Updated Edition. Cambridge University Press.,DB01142
T83,,Elks J. and Ganellin C.R. (1990). The dictionary of drugs. Springer Science.,DB01142
T559,978-146-7263-085,"Bishop M. (2015). Clinical chemistry: techniques, principles and correlations (6th ed.). Content Technologies Inc.",DB01142
T28,978-0-7020-3471-8,"34. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 424). Edinburgh: Elsevier/Churchill Livingstone.",DB01216
T685,,Jasdave S. Maan; Abdolreza Saadabadi (2019). Quetiapine. Stat Pearls Publishing.,DB01224
T683,,"Sasank Isola; Ninos Adams (2019). Metoclopramide, NIH StatPearls. Stat Pearls Publishing.",DB01233
T115,,Institute of Medicine (US) Council on Health Care Technology (1994). Medical Technology Assessment Directory (2nd ed.). American Medical Association Drug Evaluation.,DB01247
T114,,Owens D. (2010). Companion to psychiatric studies (8th ed.). Elsevier.,DB01247
T117,,Schatzberg A. and Nemeroff C. (2009). The american psychiatric publishing textbook of psychopharmacology (4th ed.). American Psychiatric Publishing Inc..,DB01247
T762,,"Christine J Kubin, Scott M Hammer (2010). Infectious diseases (3rd ed.). Mosby.",DB01264
T691,978-0-323-03961-1,McInnes G (2007). 84. In Comprehensive Hypertension (pp. 1037-1048). Elsevier.,DB01275
T83,,Elks J. and Ganellin C.R. (1990). The dictionary of drugs. Springer Science.,DB01420
T85,,Woo T.M. and Robinson M. (2016). Pharmacotherapeutics for advanced practice nurse prescribers (4th ed.). Davis Company.,DB01420
T680,,"Lacy CF, Armstrong LL, Goldman MP, Lance LL eds (2007). Lexicomp drug information handbook (15th ed.). Lexicomp.",DB01558
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB01598
T671,9781493905973,"Browning, David J. (2014). Hydroxychloroquine and chloroquine retinopathy. Springer.",DB01611
T116,978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB01620
T2,0-7817-4133-5,"Trumbo, P. R. (2005). Pantothenic Acid. In Modern Nutrition in Health and Disease (10th ed., pp. 462–467). Lippincott Williams & Wilkins.",DB01783
T28,978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB01914
T35,0-7167-3136-3,"Lodish H, Berk A, Zipursky SL, Matsudaira P, Baltimore D, and Darnell J. (2000). Molecular Cell Biology (4th ed.). New York: W. H. Freeman.",DB01914
T193,978-0071429450,"Leonard G. Gomella, Steven A. Haist, Steven Haist (2003). Clinician's Pocket Drug Reference 2004 (3rd ed.). McGraw-Hill/Appleton & Lange.",DB03766
T28,978-0-7020-3471-8,"21. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 257). Edinburgh: Elsevier/Churchill Livingstone.",DB04855
T209,978-0-7817-7477-2,Ries R. and Miller S. (2009). Principles of Addiction Medicine (4th ed.). Lippincott Williams & Wilkins.,DB04948
T210,0-8018-8303-2,Strain E. and Stitzer M. (2006). The treatment of Opiod Dependence. The Johns Hopkins University Press.,DB04948
T55,,Zaragoza Dorwald F. (2012). Lead optimization for medicinal chemists. Wiley-VCH.,DB04948
T16,0-632-06046-8,"59. (2004). In The Treatment of Epilepsy (2nd ed., pp. 736). John Wiley & Sons.",DB05885
T304,,"Grayson L., Cosgrove S., Crowe S., Hope W., McCarthy J., Mills J., Mouton J., Paterson D. (2017). Kucer's the use of antibiotics (7th ed.). CRC Press LLc.",DB06608
T530,978-0-12-420227-6,"Dalefield, Rosalind (2015). 12. In Veterinary Toxicology for Australia and New Zealand (pp. 170-171). Elsevier.",DB06711
T28,978-0-7020-3471-8,"24. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 299-300). Edinburgh: Elsevier/Churchill Livingstone.",DB06754
T158,,Pattani K. (2010). Early diagnosis and treatment of cancer series: Head and Neck Cancer. Elsevier.,DB06755
T159,,"Lustgarten M., Muller F. and Van Remmen H. (2011). Handbook of the Biology of Aging (7th ed.). Academic press.",DB06755
T160,,"Dasgupta A. and Klein K. (2014). Antioxidants in food, vitamins and supplements. Elsevier.",DB06755
T161,,"Ramachandrayya A., Venkatesh S., Bhat H., Palatty P. and Shrinath M. (2015). Foods and dietary supplements in the prevention and treatment of disease in older adults. Academic press.",DB06755
T162,,"Flora G., Mittal M. and Flora S. (2015). Handbook of arsenic toxicology. Academic press.",DB06755
T163,,"Abrahao E., Ambrosano L., Lage R., Zugaib B. and Costa A. (2017). Nutrition and functional foods for healthy aging. Academic press.",DB06755
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,DB06755
T28,978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB06787
T133,,Tyrell J. (2014). Fundamentals of Industrial Chemistry. Wiley.,DB06793
T12,1-56363-575-5,"Thomson Micromedex (2007). Advice for the Patient Volume II (27th ed.). PDR Network, LLC.",DB06803
T39,978-3-0348-7090-0,Sheth UK (1975). Mechanisms of Anthelmintic Action. In Progress in Drug Research / Fortschritte der Arzneimittelforschung / Progrès des recherches pharmaceutiques. Volume 19 (pp. 152). Birkhäuser Basel.,DB06816
T93,,Bogousslavsky J. (2001). Drug Therapy for Stroke Prevention. Taylor and Francis.,DB08814
T13,978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08837
T14,978-0857110626,"Allen, Loyd V., Jr. (2012). Remington : The Science and Practice of Pharmacy (22nd ed.). Pharmaceutical Press.",DB08837
T13,978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08838
T15,978-0857111395,"Brayfield, Alison (2014). Martindale : The Complete Drug Reference (38th ed.). Pharmaceutical Press.",DB08842
T13,978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08842
T14,978-0857110626,"Allen, Loyd V., Jr. (2012). Remington : The Science and Practice of Pharmacy (22nd ed.). Pharmaceutical Press.",DB08845
T13,978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08846
T13,978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08848
T545,,"Steven L. Cowart and Max E. Stachura (1990). Clinical Methods: The History, Physical, and Laboratory Examinations. 3rd edition. (3rd ed.). Butterworths.",DB08907
T28,978-0-7020-3471-8,"45. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 553-563). Edinburgh: Elsevier/Churchill Livingstone.",DB08922
T28,978-0-7020-3471-8,"23. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 291). Edinburgh: Elsevier/Churchill Livingstone.",DB08949
T16,0-632-06046-8,"Shorvon, Simon D.;Dodson, W. E.;Fish, David;Perucca, Emilio;Aminoff, Michael J. (2004). The Treatment of Epilepsy (2nd ed.). John Wiley & Sons.",DB09001
T40,9781634638289 ,"Ghareeb H, Karaman R.  (2015). 6. In Commonly Used Drugs: Uses, Side Effects, Bioavailability and Approaches to Improve It (1st ed., pp. 210). Nova Science Pub Inc; UK ed. edition.",DB09012
T148,,"Bronson J., Black A., Dhar M., Ellsworth B. and Merritt R. (2014). Annual reports in medicinal chemistry. Elsevier.",DB09053
T60,,Burdock G.  (1997). Encyclopedia of food and color additives. CRC Press.,DB09087
T61,,Burke I. (2000). The nature of beauty . Ebury Press.,DB09087
T62,,"McEvoy G., Miller J. and Litvak K. (1990). AHFS Drug information 90.. Bethesda.",DB09087
T63,,National research council (1981). Drinking water and health (4th ed.). National academy press.,DB09087
T64,,Ellenhorn M.J. and Barceloux D.G. (1988). Medical toxicology: diagnosis and treatment of human poisoning. Elsevier.,DB09087
