category,mesh-id,parent_key
Antirheumatic Agents,D018501,DB00005
Biological Products,D001688,DB00005
Biologics for Rheumatoid Arthritis Treatment,,DB00005
Complex Mixtures,D045424,DB00005
Dermatologicals,D003879,DB00005
Disease-modifying Antirheumatic Agents,,DB00005
Immunoglobulin Constant Regions,D007127,DB00005
Immunoglobulin Fc Fragments,D007141,DB00005
Immunoglobulin Fragments,D007128,DB00005
Immunoglobulin Isotypes,D007132,DB00005
Immunologic Factors,D007155,DB00005
Immunoproteins,D007162,DB00005
Immunosuppressive Agents,D007166,DB00005
Membrane Proteins,D008565,DB00005
Peptide Fragments,D010446,DB00005
Peptides,D010455,DB00005
Proteins,D011506,DB00005
"Receptors, Cell Surface",D011956,DB00005
"Receptors, Cytokine",D018121,DB00005
"Receptors, Immunologic",D011971,DB00005
"Receptors, Tumor Necrosis Factor",D018124,DB00005
Serum Globulins,D012712,DB00005
Tumor Necrosis Factor Alpha (TNF-α) Inhibitors,,DB00005
Tumor Necrosis Factor Blocker,,DB00005
Tumor Necrosis Factor Receptor Blocking Activity,,DB00005
"Amino Acids, Peptides, and Proteins",D000602,DB00006
Anticoagulants,D000925,DB00006
Antithrombin Proteins,D058833,DB00006
Antithrombins,D000991,DB00006
Blood and Blood Forming Organs,,DB00006
Enzyme Inhibitors,D004791,DB00006
Hematologic Agents,D006401,DB00006
Peptides,D010455,DB00006
Protease Inhibitors,D011480,DB00006
Proteins,D011506,DB00006
Serine Protease Inhibitors,D015842,DB00006
Serpins,D015843,DB00006
Thrombin Inhibitors,,DB00006
Adrenal Cortex Hormones,D000305,DB00007
Agents Causing Muscle Toxicity,,DB00007
"Amino Acids, Peptides, and Proteins",D000602,DB00007
Antineoplastic Agents,D000970,DB00007
"Antineoplastic Agents, Hormonal",D018931,DB00007
Antineoplastic and Immunomodulating Agents,,DB00007
Drugs causing inadvertant photosensitivity,,DB00007
Drugs that are Mainly Renally Excreted,,DB00007
Endocrine Therapy,,DB00007
Fertility Agents,D005299,DB00007
"Fertility Agents, Female",D005300,DB00007
Gonadotropin Releasing Hormone Receptor Agonist,,DB00007
Gonadotropin Releasing Hormone Receptor Agonists,,DB00007
Gonadotropin-releasing hormone agonist,D007987,DB00007
Gonadotropins,D006062,DB00007
Hormones,D006728,DB00007
Hormones and Related Agents,,DB00007
Hyperglycemia-Associated Agents,,DB00007
Hypothalamic Hormones,D007028,DB00007
Moderate Risk QTc-Prolonging Agents,,DB00007
Nerve Tissue Proteins,D009419,DB00007
Neuropeptides,D009479,DB00007
Oligopeptides,D009842,DB00007
Peptide Hormones,D036361,DB00007
Peptides,D010455,DB00007
Photosensitizing Agents,D017319,DB00007
Pituitary Hormone-Releasing Hormones,D010906,DB00007
Proteins,D011506,DB00007
QTc Prolonging Agents,,DB00007
Reproductive Control Agents,D012102,DB00007
"Adjuvants, Immunologic",D000276,DB00008
Alcohols,D000438,DB00008
Alfa Interferons,,DB00008
"Amino Acids, Peptides, and Proteins",D000602,DB00008
Anti-Infective Agents,D000890,DB00008
Antineoplastic Agents,D000970,DB00008
Antineoplastic and Immunomodulating Agents,,DB00008
Antiviral Agents,D000998,DB00008
Biological Factors,D001685,DB00008
Cardiotoxic antineoplastic agents,,DB00008
"Compounds used in a research, industrial, or household setting",D020313,DB00008
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00008
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00008
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00008
Cytokines,D016207,DB00008
Drug Carriers,D004337,DB00008
Ethylene Glycols,D005026,DB00008
Glycols,D006018,DB00008
Hepatotoxic Agents,,DB00008
Immunosuppressive Agents,D007166,DB00008
Intercellular Signaling Peptides and Proteins,D036341,DB00008
Interferon alpha,D016898,DB00008
Interferon Type I,D007370,DB00008
Interferons,D007372,DB00008
Macromolecular Substances,D046911,DB00008
Myelosuppressive Agents,,DB00008
Narrow Therapeutic Index Drugs,,DB00008
Pegylated agents,,DB00008
Peptides,D010455,DB00008
Polymers,D011108,DB00008
Proteins,D011506,DB00008
Agents causing angioedema,,DB00009
"Amino Acids, Peptides, and Proteins",D000602,DB00009
Anticoagulants,D000925,DB00009
Biological Factors,D001685,DB00009
Blood and Blood Forming Organs,,DB00009
Blood Proteins,D001798,DB00009
Cardiovascular Agents,D002317,DB00009
Endopeptidases,D010450,DB00009
Enzymes,D004798,DB00009
Enzymes and Coenzymes,D045762,DB00009
Fibrin Modulating Agents,D050299,DB00009
Fibrinolytic Agents,D005343,DB00009
Hematologic Agents,D006401,DB00009
Hydrolases,D006867,DB00009
Ophthalmologicals,,DB00009
Peptide Hydrolases,D010447,DB00009
Plasminogen Activators,D010960,DB00009
Proteins,D011506,DB00009
Sensory Organs,,DB00009
Serine Endopeptidases,D012697,DB00009
Serine Proteases,D057057,DB00009
Tissue Plasminogen Activator,D010959,DB00009
"Tissue Plasminogen Activator, antagonists & inhibitors",,DB00009
"Amino Acids, Peptides, and Proteins",D000602,DB00010
Anterior Pituitary Lobe Hormones and Analogues,,DB00010
Diagnostic Agents,,DB00010
Growth Hormone-Releasing Hormone,D013007,DB00010
Hormones,D006728,DB00010
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00010
Hypothalamic Hormones,D007028,DB00010
Nerve Tissue Proteins,D009419,DB00010
Neuropeptides,D009479,DB00010
Peptide Hormones,D036361,DB00010
Peptides,D010455,DB00010
Pituitary and Hypothalamic Hormones and Analogues,,DB00010
Pituitary Hormone-Releasing Hormones,D010906,DB00010
Proteins,D011506,DB00010
Somatropin and Somatropin Agonists,,DB00010
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DB00010
Tests for Pituitary Function,,DB00010
"Adjuvants, Immunologic",D000276,DB00011
"Amino Acids, Peptides, and Proteins",D000602,DB00011
Antineoplastic and Immunomodulating Agents,,DB00011
Antiviral Agents,D000998,DB00011
Biological Factors,D001685,DB00011
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00011
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00011
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00011
Cytokines,D016207,DB00011
Immunosuppressive Agents,D007166,DB00011
Intercellular Signaling Peptides and Proteins,D036341,DB00011
Interferon Type I,D007370,DB00011
Interferons,D007372,DB00011
Myelosuppressive Agents,,DB00011
Peptides,D010455,DB00011
Proteins,D011506,DB00011
"Amino Acids, Peptides, and Proteins",D000602,DB00012
Antianemic Preparations,,DB00012
Biological Factors,D001685,DB00012
Blood and Blood Forming Organs,,DB00012
Carbohydrates,D002241,DB00012
Colony-Stimulating Factors,D003115,DB00012
Cytokines,D016207,DB00012
Erythropoiesis-Stimulating Agents,,DB00012
Glycoconjugates,D006001,DB00012
Glycoproteins,D006023,DB00012
Hematinics,D006397,DB00012
Hematologic Agents,D006401,DB00012
Hematopoietic Cell Growth Factors,D016298,DB00012
Increased Erythroid Cell Production,,DB00012
Intercellular Signaling Peptides and Proteins,D036341,DB00012
Peptides,D010455,DB00012
Proteins,D011506,DB00012
Agents causing angioedema,,DB00013
"Amino Acids, Peptides, and Proteins",D000602,DB00013
Anticoagulants,D000925,DB00013
Biological Factors,D001685,DB00013
Blood and Blood Forming Organs,,DB00013
Blood Proteins,D001798,DB00013
Endopeptidases,D010450,DB00013
Enzymes,D004798,DB00013
Enzymes and Coenzymes,D045762,DB00013
Fibrinolytic Agents,D005343,DB00013
Hydrolases,D006867,DB00013
Increased Thrombolysis,,DB00013
Peptide Hydrolases,D010447,DB00013
Plasminogen Activators,D010960,DB00013
Proteins,D011506,DB00013
Serine Endopeptidases,D012697,DB00013
Serine Proteases,D057057,DB00013
"Urokinase-Type Plasminogen Activator, antagonists & inhibitors",,DB00013
Adrenal Cortex Hormones,D000305,DB00014
"Amino Acids, Peptides, and Proteins",D000602,DB00014
Antineoplastic Agents,D000970,DB00014
"Antineoplastic Agents, Hormonal",D018931,DB00014
Antineoplastic and Immunomodulating Agents,,DB00014
Drugs that are Mainly Renally Excreted,,DB00014
Endocrine Therapy,,DB00014
Gonadotropin Releasing Hormone Receptor Agonist,,DB00014
Gonadotropin Releasing Hormone Receptor Agonists,,DB00014
Gonadotropin-releasing hormone agonist,D007987,DB00014
Gonadotropins and Antigonadotropins,,DB00014
Hormones,D006728,DB00014
Hormones and Related Agents,,DB00014
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00014
Hyperglycemia-Associated Agents,,DB00014
Hypothalamic Hormones,D007028,DB00014
Miscellaneous Therapeutic Agents,,DB00014
Moderate Risk QTc-Prolonging Agents,,DB00014
Nerve Tissue Proteins,D009419,DB00014
Neuropeptides,D009479,DB00014
Oligopeptides,D009842,DB00014
Peptide Hormones,D036361,DB00014
Peptides,D010455,DB00014
Pituitary Hormone-Releasing Hormones,D010906,DB00014
Proteins,D011506,DB00014
QTc Prolonging Agents,,DB00014
Agents causing angioedema,,DB00015
"Amino Acids, Peptides, and Proteins",D000602,DB00015
Anticoagulants,D000925,DB00015
Biological Factors,D001685,DB00015
Blood and Blood Forming Organs,,DB00015
Blood Proteins,D001798,DB00015
Cardiovascular Agents,D002317,DB00015
Endopeptidases,D010450,DB00015
Enzymes,D004798,DB00015
Enzymes and Coenzymes,D045762,DB00015
Fibrin Modulating Agents,D050299,DB00015
Fibrinolytic Agents,D005343,DB00015
Hematologic Agents,D006401,DB00015
Hydrolases,D006867,DB00015
Peptide Hydrolases,D010447,DB00015
Plasminogen Activators,D010960,DB00015
Proteins,D011506,DB00015
Serine Endopeptidases,D012697,DB00015
Serine Proteases,D057057,DB00015
"Amino Acids, Peptides, and Proteins",D000602,DB00016
Antianemic Preparations,,DB00016
Biological Factors,D001685,DB00016
Blood and Blood Forming Organs,,DB00016
Carbohydrates,D002241,DB00016
Colony-Stimulating Factors,D003115,DB00016
Cytokines,D016207,DB00016
Erythropoiesis-Stimulating Agents,,DB00016
"Erythropoietin, genetics",,DB00016
Glycoconjugates,D006001,DB00016
Glycoproteins,D006023,DB00016
Hematinics,D006397,DB00016
Hematologic Agents,D006401,DB00016
Hematopoietic Cell Growth Factors,D016298,DB00016
Increased Erythroid Cell Production,,DB00016
Intercellular Signaling Peptides and Proteins,D036341,DB00016
Peptides,D010455,DB00016
Proteins,D011506,DB00016
"Amino Acids, Peptides, and Proteins",D000602,DB00017
Bone Density Conservation Agents,D050071,DB00017
"Bone Density, drug effects",,DB00017
Calcitonin Preparations,D002116,DB00017
Calcium Homeostasis,,DB00017
Calcium-Regulating Hormones and Agents,D000077264,DB00017
Drugs that are Mainly Renally Excreted,,DB00017
Hormones,D006728,DB00017
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00017
Nerve Tissue Proteins,D009419,DB00017
Neuropeptides,D009479,DB00017
Parathyroid and Antiparathyroid Agents,,DB00017
Parathyroid Hormones and Analogues,,DB00017
Peptide Hormones,D036361,DB00017
Peptides,D010455,DB00017
Proteins,D011506,DB00017
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DB00017
Thyroid Products,D013972,DB00017
Alfa Interferons,,DB00018
"Amino Acids, Peptides, and Proteins",D000602,DB00018
Biological Factors,D001685,DB00018
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00018
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00018
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00018
Cytokines,D016207,DB00018
Immunosuppressive Agents,D007166,DB00018
Intercellular Signaling Peptides and Proteins,D036341,DB00018
Interferon alpha,D016898,DB00018
Interferon Type I,D007370,DB00018
Interferon-alpha,D016898,DB00018
Interferons,D007372,DB00018
Myelosuppressive Agents,,DB00018
Peptides,D010455,DB00018
Proteins,D011506,DB00018
"Adjuvants, Immunologic",D000276,DB00019
Alcohols,D000438,DB00019
"Amino Acids, Peptides, and Proteins",D000602,DB00019
Antineoplastic and Immunomodulating Agents,,DB00019
Biological Factors,D001685,DB00019
Carbohydrates,D002241,DB00019
Colony-Stimulating Factors,D003115,DB00019
"Compounds used in a research, industrial, or household setting",D020313,DB00019
Cytokines,D016207,DB00019
Ethylene Glycols,D005026,DB00019
Glycoconjugates,D006001,DB00019
Glycols,D006018,DB00019
Glycoproteins,D006023,DB00019
Granulocyte Colony-Stimulating Factors,D016179,DB00019
Hematinics,D006397,DB00019
Hematopoietic Cell Growth Factors,D016298,DB00019
Increased Myeloid Cell Production,,DB00019
Intercellular Signaling Peptides and Proteins,D036341,DB00019
Leukocyte Growth Factor,,DB00019
Macromolecular Substances,D046911,DB00019
Pegylated agents,,DB00019
Peptides,D010455,DB00019
Polymers,D011108,DB00019
Proteins,D011506,DB00019
"Adjuvants, Immunologic",D000276,DB00020
"Amino Acids, Peptides, and Proteins",D000602,DB00020
Antineoplastic and Immunomodulating Agents,,DB00020
Biological Factors,D001685,DB00020
Carbohydrates,D002241,DB00020
Colony-Stimulating Factors,D003115,DB00020
Cytokines,D016207,DB00020
Glycoconjugates,D006001,DB00020
Glycoproteins,D006023,DB00020
Hematopoietic Cell Growth Factors,D016298,DB00020
Immunologic Factors,D007155,DB00020
Increased Myeloid Cell Production,,DB00020
Intercellular Signaling Peptides and Proteins,D036341,DB00020
Leukocyte Growth Factor,,DB00020
Peptides,D010455,DB00020
Proteins,D011506,DB00020
"Adjuvants, Immunologic",D000276,DB00022
Alcohols,D000438,DB00022
Alfa Interferons,,DB00022
"Amino Acids, Peptides, and Proteins",D000602,DB00022
Anti-Infective Agents,D000890,DB00022
Antineoplastic and Immunomodulating Agents,,DB00022
Antiviral Agents,D000998,DB00022
Biological Factors,D001685,DB00022
"Compounds used in a research, industrial, or household setting",D020313,DB00022
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00022
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00022
Cytochrome P-450 CYP2C9 Inducers,D065698,DB00022
Cytochrome P-450 CYP2C9 Inducers (weak),,DB00022
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB00022
Cytochrome P-450 CYP2D6 Inhibitors (weak),,DB00022
Cytochrome P-450 Enzyme Inducers,D065693,DB00022
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00022
Cytokines,D016207,DB00022
Drug Carriers,D004337,DB00022
Ethylene Glycols,D005026,DB00022
Glycols,D006018,DB00022
Hepatitis C,D006526,DB00022
Immunosuppressive Agents,D007166,DB00022
Intercellular Signaling Peptides and Proteins,D036341,DB00022
Interferon alpha,D016898,DB00022
Interferon Type I,D007370,DB00022
Interferon-alpha,D016898,DB00022
Interferons,D007372,DB00022
Macromolecular Substances,D046911,DB00022
Myelosuppressive Agents,,DB00022
Pegylated agents,,DB00022
Peptides,D010455,DB00022
Polymers,D011108,DB00022
Proteins,D011506,DB00022
Amidohydrolases,D000581,DB00023
Antineoplastic Agents,D000970,DB00023
Antineoplastic and Immunomodulating Agents,,DB00023
Asparaginase,D001215,DB00023
Asparagine-specific Enzyme,,DB00023
Enzymes,D004798,DB00023
Enzymes and Coenzymes,D045762,DB00023
Hydrolases,D006867,DB00023
Narrow Therapeutic Index Drugs,,DB00023
Thyroxine-binding globulin inhibitors,,DB00023
Agents used to treat hypothyroidism,,DB00024
"Amino Acids, Peptides, and Proteins",D000602,DB00024
Anterior Pituitary Lobe Hormones and Analogues,,DB00024
Hormones,D006728,DB00024
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00024
Peptide Hormones,D036361,DB00024
Peptides,D010455,DB00024
Pituitary and Hypothalamic Hormones and Analogues,,DB00024
Pituitary Hormones,D010907,DB00024
"Pituitary Hormones, Anterior",D010908,DB00024
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DB00024
Thyroid Products,D013972,DB00024
"Amino Acids, Peptides, and Proteins",D000602,DB00025
Biological Factors,D001685,DB00025
Blood and Blood Forming Organs,,DB00025
Blood Coagulation Factors,D001779,DB00025
Blood Proteins,D001798,DB00025
Carbohydrates,D002241,DB00025
Disaccharides,D004187,DB00025
Hemophilia A,D006467,DB00025
Hemostatics,D006490,DB00025
Human Antihemophilic Factor,,DB00025
Increased Coagulation Activity,,DB00025
Oligosaccharides,D009844,DB00025
Polysaccharides,D011134,DB00025
Proteins,D011506,DB00025
Agents reducing cytokine levels,,DB00026
"Amino Acids, Peptides, and Proteins",D000602,DB00026
Antineoplastic and Immunomodulating Agents,,DB00026
Antirheumatic Agents,D018501,DB00026
Biological Factors,D001685,DB00026
Biologics for Rheumatoid Arthritis Treatment,,DB00026
Cytokines,D016207,DB00026
Disease-modifying Antirheumatic Agents,,DB00026
Immunosuppressive Agents,D007166,DB00026
Intercellular Signaling Peptides and Proteins,D036341,DB00026
Interleukin Inhibitors,,DB00026
Interleukin-1 Receptor Antagonist,,DB00026
Peptides,D010455,DB00026
Proteins,D011506,DB00026
"Amino Acids, Peptides, and Proteins",D000602,DB00027
Anti-Bacterial Agents,D000900,DB00027
Anti-Infective Agents,D000890,DB00027
"Anti-Infective Agents, Local",D000891,DB00027
Membrane Proteins,D008565,DB00027
P-glycoprotein inhibitors,,DB00027
P-glycoprotein substrates,,DB00027
Peptides,D010455,DB00027
"Peptides, Cyclic",D010456,DB00027
Pore Forming Cytotoxic Proteins,D052899,DB00027
Proteins,D011506,DB00027
Throat Preparations,,DB00027
"Amino Acids, Peptides, and Proteins",D000602,DB00028
Antibodies,D000906,DB00028
Antigen Neutralization,,DB00028
Blood Proteins,D001798,DB00028
Globulins,D005916,DB00028
Human Immunoglobulin G,,DB00028
Immunoglobulin G,D007074,DB00028
Immunoglobulin Isotypes,D007132,DB00028
Immunoglobulins,D007136,DB00028
"Immunoglobulins, Intravenous",D016756,DB00028
Immunologic Factors,D007155,DB00028
Immunoproteins,D007162,DB00028
Passively Acquired Immunity,,DB00028
Proteins,D011506,DB00028
Serum,D044967,DB00028
Serum Globulins,D012712,DB00028
Agents causing angioedema,,DB00029
"Amino Acids, Peptides, and Proteins",D000602,DB00029
Anticoagulants,D000925,DB00029
Biological Factors,D001685,DB00029
Blood and Blood Forming Organs,,DB00029
Blood Proteins,D001798,DB00029
Cardiovascular Agents,D002317,DB00029
Endopeptidases,D010450,DB00029
Enzymes,D004798,DB00029
Enzymes and Coenzymes,D045762,DB00029
Fibrin Modulating Agents,D050299,DB00029
Fibrinolytic Agents,D005343,DB00029
Hematologic Agents,D006401,DB00029
Hydrolases,D006867,DB00029
Peptide Hydrolases,D010447,DB00029
Plasminogen Activators,D010960,DB00029
Proteins,D011506,DB00029
Serine Endopeptidases,D012697,DB00029
Serine Proteases,D057057,DB00029
Alimentary Tract and Metabolism,,DB00030
"Amino Acids, Peptides, and Proteins",D000602,DB00030
Blood Glucose Lowering Agents,D007004,DB00030
Cytochrome P-450 CYP1A2 Inducers,D065694,DB00030
Cytochrome P-450 CYP1A2 Inducers (strength unknown),,DB00030
Cytochrome P-450 Enzyme Inducers,D065693,DB00030
Drugs Used in Diabetes,,DB00030
Hormones,D006728,DB00030
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00030
Hypoglycemia-Associated Agents,,DB00030
Insulin,D007328,DB00030
"Insulin, Short-Acting",D061266,DB00030
"Insulins and Analogues for Injection, Fast-Acting",,DB00030
Pancreatic Hormones,D010187,DB00030
Peptide Hormones,D036361,DB00030
Peptides,D010455,DB00030
Agents causing angioedema,,DB00031
"Amino Acids, Peptides, and Proteins",D000602,DB00031
Anticoagulants,D000925,DB00031
Biological Factors,D001685,DB00031
Blood and Blood Forming Organs,,DB00031
Blood Proteins,D001798,DB00031
Cardiovascular Agents,D002317,DB00031
Endopeptidases,D010450,DB00031
Enzymes,D004798,DB00031
Enzymes and Coenzymes,D045762,DB00031
Fibrin Modulating Agents,D050299,DB00031
Fibrinolytic Agents,D005343,DB00031
Hematologic Agents,D006401,DB00031
Hydrolases,D006867,DB00031
Peptide Hydrolases,D010447,DB00031
Plasminogen Activators,D010960,DB00031
Proteins,D011506,DB00031
Serine Endopeptidases,D012697,DB00031
Serine Proteases,D057057,DB00031
Tissue Plasminogen Activator,D010959,DB00031
"Amino Acids, Peptides, and Proteins",D000602,DB00032
Biological Products,D001688,DB00032
Complex Mixtures,D045424,DB00032
Fertility Agents,D005299,DB00032
"Fertility Agents, Female",D005300,DB00032
Genito Urinary System and Sex Hormones,,DB00032
Gonadotropins,D006062,DB00032
Gonadotropins and Antigonadotropins,,DB00032
"Gonadotropins, Pituitary",D006065,DB00032
Hormones,D006728,DB00032
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00032
Peptide Hormones,D036361,DB00032
Peptides,D010455,DB00032
Pituitary Hormones,D010907,DB00032
"Pituitary Hormones, Anterior",D010908,DB00032
Reproductive Control Agents,D012102,DB00032
Sex Hormones and Modulators of the Genital System,,DB00032
"Amino Acids, Peptides, and Proteins",D000602,DB00033
Biological Factors,D001685,DB00033
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00033
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00033
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00033
Cytokines,D016207,DB00033
Immunosuppressive Agents,D007166,DB00033
Intercellular Signaling Peptides and Proteins,D036341,DB00033
Interferon gamma,,DB00033
Interferons,D007372,DB00033
Lymphokines,D008222,DB00033
Macrophage-Activating Factors,D016215,DB00033
Myelosuppressive Agents,,DB00033
Peptides,D010455,DB00033
Proteins,D011506,DB00033
"Adjuvants, Immunologic",D000276,DB00034
Alfa Interferons,,DB00034
Antineoplastic and Immunomodulating Agents,,DB00034
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB00034
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB00034
Cytochrome P-450 Enzyme Inhibitors,D065607,DB00034
Immunosuppressive Agents,D007166,DB00034
Interferon alpha,D016898,DB00034
Interferons,D007372,DB00034
Myelosuppressive Agents,,DB00034
Agents that produce hypertension,,DB00035
"Amino Acids, Peptides, and Proteins",D000602,DB00035
Antidiuretic Agents,D050034,DB00035
Arginine Vasopressin,D001127,DB00035
Cardiovascular Agents,D002317,DB00035
Coagulants,D003029,DB00035
Drugs that are Mainly Renally Excreted,,DB00035
Factor VIII Activator,,DB00035
Hematologic Agents,D006401,DB00035
Hemostatics,D006490,DB00035
Hormones,D006728,DB00035
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB00035
Increased Coagulation Factor VIII Activity,,DB00035
Increased Coagulation Factor VIII Concentration,,DB00035
Natriuretic Agents,D045283,DB00035
Nerve Tissue Proteins,D009419,DB00035
Neuropeptides,D009479,DB00035
Oligopeptides,D009842,DB00035
Peptide Hormones,D036361,DB00035
Peptides,D010455,DB00035
Pituitary,,DB00035
Pituitary and Hypothalamic Hormones and Analogues,,DB00035
Pituitary Hormones,D010907,DB00035
"Pituitary Hormones, Posterior",D010909,DB00035
Posterior Pituitary Lobe Hormones,,DB00035
Proteins,D011506,DB00035
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",,DB00035
Vasopressin Analog,,DB00035
Vasopressin and Analogues,,DB00035
Vasopressins,D014667,DB00035
"Amino Acids, Peptides, and Proteins",D000602,DB00036
Biological Factors,D001685,DB00036
Blood and Blood Forming Organs,,DB00036
Blood Coagulation Factors,D001779,DB00036
Blood Proteins,D001798,DB00036
Endopeptidases,D010450,DB00036
Enzyme Precursors,D004792,DB00036
Enzymes,D004798,DB00036
Enzymes and Coenzymes,D045762,DB00036
Factor VII,D005167,DB00036
Hemostatics,D006490,DB00036
Hydrolases,D006867,DB00036
Increased Coagulation Factor IX Activity,,DB00036
Increased Coagulation Factor X Activity,,DB00036
Peptide Hydrolases,D010447,DB00036
Proteins,D011506,DB00036
Serine Endopeptidases,D012697,DB00036
Serine Proteases,D057057,DB00036
"Adjuvants, Immunologic",D000276,DB00038
"Amino Acids, Peptides, and Proteins",D000602,DB00038
Antineoplastic and Immunomodulating Agents,,DB00038
Biological Factors,D001685,DB00038
Cytokines,D016207,DB00038
Intercellular Signaling Peptides and Proteins,D036341,DB00038
Interleukins,D007378,DB00038
Megakaryocyte Growth Factor,,DB00038
Peptides,D010455,DB00038
Proteins,D011506,DB00038
"Amino Acids, Peptides, and Proteins",D000602,DB00039
Biological Factors,D001685,DB00039
Detoxifying Agents for Antineoplastic Treatment,,DB00039
Fibroblast Growth Factors,D005346,DB00039
Increased Epithelial Proliferation,,DB00039
Intercellular Signaling Peptides and Proteins,D036341,DB00039
Mucocutaneous Epithelial Cell Growth Factor,,DB00039
Peptides,D010455,DB00039
Proteins,D011506,DB00039
"Amino Acids, Peptides, and Proteins",D000602,DB00040
Antihypoglycemic Agent,,DB00040
Decreased GI Motility,,DB00040
Decreased GI Smooth Muscle Tone,,DB00040
Decreased Glycolysis,,DB00040
Gastrointestinal Agents,D005765,DB00040
Gastrointestinal Hormones,D005768,DB00040
Gastrointestinal Motility Inhibitor,,DB00040
"Glucagon, antagonists & inhibitors",,DB00040
Glycogenolytic Agents,,DB00040
Glycogenolytic Hormones,,DB00040
Hormones,D006728,DB00040
