name,url,parent_key
DSM Corp.,http://www.dsm.com,DB00055
Eli Lilly & Co.,http://www.lilly.com,DB00055
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00056
Wyeth Pharmaceuticals,http://www.wyeth.com,DB00056
EUSA Pharma Inc.,http://www.eusapharma.com,DB00057
Baxter International Inc.,http://www.baxter.com,DB00058
CSL Behring LLC,http://www.cslbehring.com,DB00058
Talecris Biotherapeutics,http://www.talecris.com,DB00058
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00059
Enzon Inc.,http://www.enzon.com,DB00059
Biogen Idec Inc.,http://www.biogenidec.com,DB00060
EMD Canada Inc.,http://www.emdcanada.com,DB00060
Merck KGaA,http://www.merck.de,DB00060
Merck Serono SPA,http://www.merckserono.net,DB00060
Pierre Fabre,http://www.pierre-fabre.com,DB00060
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00060
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00061
Enzon Inc.,http://www.enzon.com,DB00061
ALK-Abello Inc.,http://www.alk-abello.com,DB00062
Alpha Therapeutic Corp.,,DB00062
Alpine Biologics Inc.,,DB00062
American Red Cross,http://www.redcross.org,DB00062
Baxter International Inc.,http://www.baxter.com,DB00062
CSL Behring LLC,http://www.cslbehring.com,DB00062
Grifols SA,http://www.grifols.com,DB00062
Massbiologics,http://www.massbio.org,DB00062
Octapharma USA,http://www.octapharma.com,DB00062
Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,DB00062
Talecris Biotherapeutics,http://www.talecris.com,DB00062
Assia Chemical Industries Ltd.,,DB00063
Patheon Inc.,http://www.patheon.com,DB00063
Schering Corp.,http://www.schering.de,DB00063
Schering-Plough Inc.,http://www.schering-plough.ca,DB00063
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00063
Centocor Ortho Biotech Inc.,http://www.centocororthobiotech.com,DB00065
Hospira Inc.,http://www.hospira.com,DB00065
EMD Canada Inc.,http://www.emdcanada.com,DB00066
Organon Pharmaceuticals,http://www.organonshop.com,DB00066
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00066
American Regent,http://www.americanregent.com,DB00067
APP Pharmaceuticals,http://www.apppharma.com,DB00067
APPD,,DB00067
A-S Medication Solutions LLC,http://orders.a-smeds.com,DB00067
Cardinal Health,http://www.cardinal.com,DB00067
JHP Pharmaceuticals LLC,http://www.jhppharma.com,DB00067
Luitpold Pharmaceuticals Inc.,http://www.luitpold.com,DB00067
Monarch Pharmacy,http://www.monarch-pharmacy.co.uk,DB00067
PD-Rx Pharmaceuticals Inc.,http://www.pdrx.com,DB00067
Bayer Healthcare,http://www.bayerhealthcare.com,DB00068
Berlex Labs,http://www.berlex.com,DB00068
Chiron Corp.,http://www.chiron.com,DB00068
InterMune Inc.,http://www.intermune.com,DB00068
Novartis AG,http://www.novartis.com,DB00068
Amgen Inc.,http://www.amgen.com,DB00069
InterMune Inc.,http://www.intermune.com,DB00069
Three Rivers Pharmaceuticals LLC,http://www.3riverspharma.com,DB00069
Valeant Ltd.,http://www.valeant.com,DB00069
Akorn Inc.,http://www.akorn.com,DB00070
Amphastar Pharmaceuticals,http://www.amphastar.com,DB00070
Bausch & Lomb Inc.,http://www.bausch.com,DB00070
Baxter International Inc.,http://www.baxter.com,DB00070
Cardinal Health,http://www.cardinal.com,DB00070
Halozyme Therapeutics Inc.,http://www.halozyme.com,DB00070
ISTA Pharmaceuticals,http://www.istavision.com,DB00070
Oso Biopharmaceuticals Manufacturing LLC,,DB00070
Primapharm Inc.,http://www.primapharm.net,DB00070
Professional Co.,,DB00070
DSM Corp.,http://www.dsm.com,DB00072
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00072
Genentech Inc.,http://www.gene.com,DB00072
Biogen Idec Inc.,http://www.biogenidec.com,DB00073
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00073
Genentech Inc.,http://www.gene.com,DB00073
Novartis AG,http://www.novartis.com,DB00074
Centocor Ortho Biotech Inc.,http://www.centocororthobiotech.com,DB00075
GlaxoSmithKline Inc.,http://www.gsk.com,DB00076
Savage Labs,http://www.savagelabs.com,DB00076
Spectrum Pharmaceuticals,http://www.spectrumpharm.com,DB00078
Cardinal Health,http://www.cardinal.com,DB00080
Catalent Pharma Solutions,http://www.catalent.com,DB00080
Cubist Pharmaceuticals Inc.,http://www.cubist.com,DB00080
Hospira Inc.,http://www.hospira.com,DB00080
Oso Biopharmaceuticals Manufacturing LLC,,DB00080
Sepracor Pharmaceuticals Inc.,http://www.sepracor.com,DB00080
GlaxoSmithKline Inc.,http://www.gsk.com,DB00081
MDS Nordion,http://www.mds.nordion.com,DB00081
Hospira Inc.,http://www.hospira.com,DB00082
Pfizer Inc.,http://www.pfizer.com,DB00082
Pharmacia Inc.,http://www.pharmaciaupjohn.com,DB00082
Allergan Inc.,http://www.allergan.com,DB00083
Tercica Inc.,http://www.tercica.com,DB00083
Axcan Pharma Inc.,http://www.axcan.com,DB00085
Confab Laboratories Inc.,http://www.confab.ca,DB00085
Eurand Pharmaceuticals Inc.,http://www.eurand.com,DB00085
Global Pharmaceuticals,http://www.globalphar.com,DB00085
Kaiser Foundation Hospital,,DB00085
Ortho Mcneil Janssen Pharmaceutical Inc.,http://www.ortho-mcneil.com,DB00085
Ortho-McNeil-Janssen Pharmaceuticals Inc.,http://www.ortho-mcneil.com,DB00085
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00085
Schwarz Pharma Inc.,,DB00085
Solvay Pharmaceuticals,http://global.abbottgrowth.com,DB00085
X-Gen Pharmaceuticals,http://www.x-gen.us,DB00085
Yung Shin Pharmaceutical Industry Ltd.,http://www.ysp.com.cn,DB00085
Pfizer Inc.,http://www.pfizer.com,DB00086
Bayer Healthcare,http://www.bayerhealthcare.com,DB00087
Boehringer Ingelheim Ltd.,http://www.boehringer-ingelheim.com,DB00087
Genzyme Inc.,http://www.genzyme.ca,DB00087
ILEX Pharmaceuticals LP,,DB00087
Cardinal Health,http://www.cardinal.com,DB00088
Genzyme Inc.,http://www.genzyme.ca,DB00088
Oso Biopharmaceuticals Manufacturing LLC,,DB00088
EUSA Pharma Inc.,http://www.eusapharma.com,DB00089
BioMarin Pharmaceuticals Inc.,http://www.bmrn.com,DB00090
Genzyme Inc.,http://www.genzyme.ca,DB00090
Hollister-Stier Laboratories LLC,http://www.hollisterstier.com,DB00090
Abbott Laboratories Ltd.,http://www.abbott.com,DB00091
Allergan Inc.,http://www.allergan.com,DB00091
Amerisource Health Services Corp.,http://www.amerisourcebergen.com,DB00091
Apotex Inc.,http://www.apotex.com,DB00091
Banner Pharmacaps Inc.,http://www.banpharm.com,DB00091
Bedford Labs,http://www.bedfordlabs.com,DB00091
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00091
Cardinal Health,http://www.cardinal.com,DB00091
Catalent Pharma Solutions,http://www.catalent.com,DB00091
Draxis Specialty Pharmaceuticals Inc.,http://www.draxispharma.com,DB00091
Eon Labs,,DB00091
Ivax Pharmaceuticals,,DB00091
Lake Erie Medical and Surgical Supply,,DB00091
Medisca Inc.,http://www.medisca.com,DB00091
Murfreesboro Pharmaceutical Nursing Supply,http://www.unitdosesupply.com,DB00091
Novartis AG,http://www.novartis.com,DB00091
Paddock Labs,http://www.paddocklabs.com,DB00091
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00091
Pliva Inc.,http://www.pliva.com,DB00091
R.P. Scherer GmbH and Co. KG,http://www.rpscherer.de,DB00091
Sandhills Packaging Inc.,http://www.sandhillspackaging.com,DB00091
Sangstat Medical Corp.,,DB00091
Santec Chemicals Corp.,http://www.santecchemcorp.com,DB00091
Swiss Caps Ag,http://www.swisscaps.com,DB00091
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00091
Torpharm Inc.,,DB00091
Watson Pharmaceuticals,http://www.watson.com,DB00091
Wockhardt Ltd.,http://www.wockhardtin.com,DB00091
Astellas Pharma Inc.,http://www.astellas.com,DB00092
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00092
Pierre Fabre,http://www.pierre-fabre.com,DB00092
Cardinal Health,http://www.cardinal.com,DB00094
Draxis Specialty Pharmaceuticals Inc.,http://www.draxispharma.com,DB00094
Ferring Pharmaceuticals Inc.,http://www.ferring.com,DB00094
Instituto Massone SA,http://www.massone.com,DB00094
Merck Serono SPA,http://www.merckserono.net,DB00094
North America Genescience LLC,,DB00094
Organon Pharmaceuticals,http://www.organonshop.com,DB00094
Serono SA,http://www.merckserono.net,DB00094
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00094
Genentech Inc.,http://www.gene.com,DB00095
EMD Canada Inc.,http://www.emdcanada.com,DB00097
Ferring Pharmaceuticals Inc.,http://www.ferring.com,DB00097
Merck KGaA,http://www.merck.de,DB00097
Organon Pharmaceuticals,http://www.organonshop.com,DB00097
Genzyme Inc.,http://www.genzyme.ca,DB00098
Amgen Inc.,http://www.amgen.com,DB00099
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00099
CSL Behring LLC,http://www.cslbehring.com,DB00100
Grifols SA,http://www.grifols.com,DB00100
Hospira Inc.,http://www.hospira.com,DB00100
Wyeth Pharmaceuticals,http://www.wyeth.com,DB00100
Janssen-Ortho Inc.,http://www.janssen-ortho.com,DB00102
McNeil Laboratories,,DB00102
OMJ Pharmaceuticals,,DB00102
Ortho Mcneil Janssen Pharmaceutical Inc.,http://www.ortho-mcneil.com,DB00102
Ortho-McNeil-Janssen Pharmaceuticals Inc.,http://www.ortho-mcneil.com,DB00102
Genzyme Inc.,http://www.genzyme.ca,DB00103
Shire Inc.,http://www.shire.com,DB00103
APP Pharmaceuticals,http://www.apppharma.com,DB00104
Bachem Inc.,http://www.bachem.com,DB00104
Bedford Labs,http://www.bedfordlabs.com,DB00104
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00104
Novartis AG,http://www.novartis.com,DB00104
Polfa,http://www.polfa.pl,DB00104
Sandoz,http://www.sandoz.ca,DB00104
Sicor Pharmaceuticals,,DB00104
Solvay Pharmaceuticals,http://global.abbottgrowth.com,DB00104
Sun Pharmaceutical Industries Ltd.,http://www.sunpharma.com,DB00104
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00104
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00105
Schering Corp.,http://www.schering.de,DB00105
Schering-Plough Inc.,http://www.schering-plough.ca,DB00105
Baxter International Inc.,http://www.baxter.com,DB00106
Fisher Clinical Services Inc.,http://www.fisherclinicalservices.com,DB00106
APP Pharmaceuticals,http://www.apppharma.com,DB00107
BAM Biotech,http://www.bambio.com,DB00107
Baxter International Inc.,http://www.baxter.com,DB00107
Bimeda Inc.,http://www.bimeda.com,DB00107
Cardinal Health,http://www.cardinal.com,DB00107
Central Admixture Pharmacy Services,http://www.capspharmacy.com,DB00107
Gallipot,http://www.gallipot.com,DB00107
Gland Pharma Ltd.,http://www.glandpharma.com,DB00107
Hikma Pharmaceuticals,http://www.hikma.com,DB00107
JHP Pharmaceuticals LLC,http://www.jhppharma.com,DB00107
Monarch Pharmacy,http://www.monarch-pharmacy.co.uk,DB00107
MWI Veterinary Supply Co.,http://www.mwivet.com,DB00107
Osburn Drug Co.,,DB00107
PD-Rx Pharmaceuticals Inc.,http://www.pdrx.com,DB00107
Pharmakon,,DB00107
Pharmedium,http://www.pharmedium.com,DB00107
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00107
Vedco Inc.,http://www.vedco.com,DB00107
Watson Pharmaceuticals,http://www.watson.com,DB00107
Biogen Idec Inc.,http://www.biogenidec.com,DB00108
Elan Pharmaceuticals Inc.,http://www.elan.com,DB00108
Hospira Inc.,http://www.hospira.com,DB00108
F Hoffmann La Roche Ltd.,http://www.roche.com,DB00109
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00109
Gilead Sciences Inc.,http://www.gilead.com,DB00109
Pharmacia Inc.,http://www.pharmaciaupjohn.com,DB00109
Abbott Laboratories Ltd.,http://www.abbott.com,DB00110
Medimmune Inc.,http://www.medimmune.com,DB00110
F Hoffmann La Roche Ltd.,http://www.roche.com,DB00111
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00111
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00112
Genentech Inc.,http://www.gene.com,DB00112
Immunomedics Inc.,http://www.immunomedics.com,DB00113
Pamlab LLC,http://www.pamlab.com,DB00114
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00114
Red River Pharma Manufacturing,,DB00114
American Regent,http://www.americanregent.com,DB00115
APP Pharmaceuticals,http://www.apppharma.com,DB00115
Baxter International Inc.,http://www.baxter.com,DB00115
Bayer Healthcare,http://www.bayerhealthcare.com,DB00115
C.O. Truxton Inc.,,DB00115
Cardinal Health,http://www.cardinal.com,DB00115
Carlisle Laboratories Inc.,,DB00115
Central Pharmaceuticals,http://www.central-pharma.com,DB00115
Chain Drug,http://www.chaindrug.com,DB00115
Choice Rx Ltd.,http://www.choicerx.us,DB00115
Clint Pharmaceutical Inc.,http://www.clintpharmaceuticals.com,DB00115
CVS Pharmacy,http://www.cvs.com,DB00115
Darby Dental Supply Co. Inc.,http://www.darbydental.com,DB00115
General Injectables and Vaccines Inc.,http://www.giv.com,DB00115
Gonberetica,,DB00115
Gyn Nutriment Pharmacology,,DB00115
H and H Laboratories,http://www.hhlabs.com,DB00115
International Ethical Labs Inc.,http://www.intetlab.com,DB00115
Ivax Pharmaceuticals,,DB00115
Keene Pharmaceuticals Inc.,,DB00115
Luitpold Pharmaceuticals Inc.,http://www.luitpold.com,DB00115
Major Pharmaceuticals,http://www.majorpharmaceuticals.com,DB00115
Martica Enterprises Inc.,,DB00115
Martin Surgical Supply,,DB00115
Mason Distributors,,DB00115
Mckesson Corp.,http://www.mckesson.com,DB00115
MDRNA Inc.,http://www.marinabio.com,DB00115
Merck & Co.,http://www.merck.com,DB00115
Merit Pharmaceuticals,http://www.meritpharm.com,DB00115
National Pharmaceuticals,,DB00115
National Vitamin Company,http://www.nationalvitamin.com,DB00115
Neuman Distributors Inc.,,DB00115
Par Pharmaceuticals,http://www.parpharm.com,DB00115
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00115
Preferred Pharmaceuticals Inc.,http://www.preferredpharmaceuticals.com,DB00115
Primedics Laboratories,,DB00115
Rite Aid Corp.,http://www.riteaid.com,DB00115
Rugby Laboratories,http://www.rugbylaboratories.com,DB00115
Spectrum Pharmaceuticals,http://www.spectrumpharm.com,DB00115
Sunmark,http://www.sunmarkbrand.com,DB00115
Torrance Co.,http://www.torranceco.com,DB00115
Vitaline Corp.,,DB00115
Walgreen Co.,http://www.walgreens.com,DB00115
Amend,,DB00117
Novo Nordisk Inc.,http://www.novonordisk.com,DB00117
CVS Pharmacy,http://www.cvs.com,DB00118
Pharmavite,http://www.pharmavite.com,DB00118
Magno-Humphries Laboratories,http://www.magno-humphries.com,DB00120
21st Century Healthcare Inc.,http://www.21stcenturyvitamins.com,DB00121
Amend,,DB00121
Ivax Pharmaceuticals,,DB00121
Magno-Humphries Laboratories,http://www.magno-humphries.com,DB00121
Mason Distributors,,DB00121
Mckesson Corp.,http://www.mckesson.com,DB00121
Medisca Inc.,http://www.medisca.com,DB00121
Merz Pharmaceuticals LLC,http://www.merz.com,DB00121
Nutrition 21 Inc.,http://www.nutrition21.com,DB00121
Abbott Laboratories Ltd.,http://www.abbott.com,DB00122
Amend,,DB00122
Caraco Pharmaceutical Labs,http://www.caraco.com,DB00122
Cypress Pharmaceutical Inc.,http://www.cypressrx.com,DB00122
Dispensing Solutions,http://www.drxdispensing.com,DB00122
Diversified Healthcare Services Inc.,http://www.dhscorp.com,DB00122
Fournier Pharma Inc.,,DB00122
Heartland Repack Services LLC,,DB00122
Kaiser Foundation Hospital,,DB00122
Key Co.,,DB00122
Major Pharmaceuticals,http://www.majorpharmaceuticals.com,DB00122
