Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 09/07/2015,�43.12,PCO0263099,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�0.67,PCO0263616,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�0.99,PCO0263613,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�3.00,PCO0263616,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 09/07/2015,�3.99,PCO0263100,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 09/07/2015,�3.99,PCO0263100,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�4.07,PCO0263616,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�8.61,PCO0263616,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�18.01,PCO0263616,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 30/07/2015,�25.46,PCO0263615,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,BARNFIELD CONSTRUCTION,A0000203, 02/07/2015,�92.44,EST0263017,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,BARNFIELD CONSTRUCTION,A0000203, 02/07/2015,�162.40,EST0263015,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,BARNFIELD CONSTRUCTION,A0000203, 02/07/2015,�424.00,EST0263014,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BEARING FACTORS,A0000205, 16/07/2015,�71.88,PCO0263278,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 02/07/2015,�215.80,COR0263008,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 02/07/2015,�259.27,COR0263007,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 02/07/2015,�363.32,COR0263010,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 23/07/2015,�703.86,COR0263527,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 23/07/2015,"�30,255.00",REG0263513,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/07/2015,�5.84,PCO0263110,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/07/2015,�83.35,PCO0263110,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/07/2015,�5.84,PCO0263110,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 30/07/2015,�35.00,EST0263669,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 16/07/2015,�44.75,PCO0263347,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/07/2015,�43.20,PCO0263110,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,G A CLARK (HARDWARE) LTD,A0000565, 02/07/2015,�8.60,OPS0262918,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,G A CLARK (HARDWARE) LTD,A0000565, 02/07/2015,�9.50,OPS0262918,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Reference Books Acts,WOLTERS KLUWER (UK) LTD,A0000595, 23/07/2015,�44.11,AAS0263536,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Reference Books Acts,WOLTERS KLUWER (UK) LTD,A0000595, 23/07/2015,�107.00,AAS0263535,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,MARTIN COLLINS JOINERY & GLAZING,A0000623, 02/07/2015,�35.00,HMR0262994,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,MARTIN COLLINS JOINERY & GLAZING,A0000623, 02/07/2015,�115.00,HMR0262996,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 23/07/2015,�25.58,REG0263318,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 23/07/2015,�40.43,REG0263321,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 23/07/2015,�153.21,REG0263320,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 23/07/2015,�159.60,REG0263319,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,J DRIVER LTD,A0000884, 23/07/2015,�241.38,EST0263553,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,J DRIVER LTD,A0000884, 23/07/2015,�36.00,EST0263553,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,J DRIVER LTD,A0000884, 23/07/2015,�44.00,EST0263553,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,J DRIVER LTD,A0000884, 23/07/2015,�194.03,EST0263553,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,J DRIVER LTD,A0000884, 23/07/2015,�720.00,EST0263553,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,THE INFORMATION COMMISSIONER,A0000894, 23/07/2015,�35.00,DAL0263563,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,B DEVLIN LTD,A0000909, 16/07/2015,�157.09,HED0263270,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,B DEVLIN LTD,A0000909, 16/07/2015,�360.00,HED0263271,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,B DEVLIN LTD,A0000909, 16/07/2015,�360.00,HED0263272,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�39.20,OPS0263134,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�12.08,PCO0263051,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.32,REG0263046,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 23/07/2015,�42.70,REG0263325,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�59.24,REG0263144,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 23/07/2015,�80.40,REG0263493,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,"-�1,170.00",OPS4004670,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�5.90,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�11.49,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�12.90,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�17.79,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�24.00,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�24.00,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�24.60,OPS0263177,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�25.25,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�25.25,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�25.25,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�34.35,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�36.57,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�36.57,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�36.57,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�36.57,OPS0263177,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�37.28,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�38.00,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�38.00,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�38.00,OPS0263177,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�38.00,OPS0263177,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�38.70,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�45.60,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�48.03,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�50.50,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�50.50,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�50.50,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�51.60,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�51.60,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�64.04,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�64.04,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�64.04,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 16/07/2015,�76.00,OPS0263309,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�80.05,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�80.05,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 30/07/2015,�80.05,OPS0263610,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�98.80,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�101.00,OPS0263134,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�106.50,OPS0263064,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�127.80,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�127.80,OPS0263091,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 09/07/2015,�600.00,OPS0263134,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,FREIGHT TRANSPORT ASSOCIATION,A0001124, 09/07/2015,�67.20,OPS0263065,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,FREIGHT TRANSPORT ASSOCIATION,A0001124, 16/07/2015,�700.00,OPS0263356,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 02/07/2015,�21.87,PCO0262941,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 02/07/2015,�25.25,PCO0262940,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 23/07/2015,�32.47,PCO0263475,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 23/07/2015,�48.48,PCO0263474,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 02/07/2015,�139.50,PCO0262934,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 02/07/2015,�110.42,PCO0262935,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�168.84,PCO0263112,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�168.84,PCO0263112,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�15.00,PCO0263102,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�28.40,PCO0263102,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�155.60,PCO0263102,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�219.00,PCO0263102,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�0.94,PCO0263113,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 09/07/2015,�10.06,PCO0263113,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 02/07/2015,�139.49,PCO0262934,No,N/A,N,n/A,
