OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN214829,Appointment of Financial Advisors in respect of the Leeds Street Lighting PFI,"Projects, Programmes & Procurement Unit",Appointment of Financial Advisors in respect of the Leeds Street Lighting PFI,21/10/2016,31/12/2017,30/06/2017,,31/01/2018,12,0,"�31,831.00",�0.00,Please view tab 2 on excel sheet,Mr Kieron Dennett,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196104 (CONTRACT-A3HL-JFJYCQ),Approved Provider List for Therapeutic Services (Yorkshire & Humber Adoption Consortium),Procurement and Contract Management,"North Yorkshire County Council (the Council) is acting on behalf of the Yorkshire and Humber Adoption Consortium (the Consortium) to implement an Approved Provider List (APL) for the provision of Therapeutic Support Services. 
The Approved List will run in 2 phases: 
Phase 1 - establishment of the approved list, this phase will have a deadline for return of submissions. Service providers have the option to return within this deadline or wait until phase 2. 
Phase 2 - Live approved list, once the list is established and those successful service providers have been notified, the application process will re-open and service providers will have the opportunity to submit an application at any time. Please see further details within Section 3. 


North Yorkshire County Council (the Council) is acting on behalf of the Yorkshire and Humber Adoption Consortium (the Consortium) to implement an Approved Provider List (APL) for the provision of Therapeutic Support Services. 
The Approved List will run in 2 phases: 
Phase 1 - establishment of the approved list, this is completed. 
Phase 2 - Live approved list, once the list is established and those successful service providers have been notified, the application process will re-open and service providers will have the opportunity to submit an application at any time. Please see further details within Section 3. 

til/ap",01/04/2016,31/03/2021,01/06/2020,,31/03/2021,0,0,"�6,000,000.00",�0.00,Please view tab 2 on excel sheet,Mr David Ingham,RFQ,Yes,N/A,"Therapy, Service"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201173 (CONTRACT-ACFC-JZOS57),Approved Provider List for Therapeutic Services for Leeds City Council (Quasi),N/A,"This quasi contract records providers of therapeutic social work services for 
Leeds City Council.",01/08/2016,31/08/2017,01/06/2017,,30/09/2017,0,0,"�20,000.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"Psychotherapy, Therapy, Children"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN248734,Archway Resource Centre,Public Health,Support for Young People,01/04/2017,30/06/2018,01/03/2018,,31/07/2018,0,0,"�189,895.85",�0.00,Please view tab 2 on excel sheet,Mr Ian Street,RFQ,No,N/A,"young, people"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198655 (CONTRACT-A8CG-JNSNB3),Art Auctioneers (Quasi),N/A,"Quasi contract for the purchase of artworks from auctioneering houses for Leeds 
Museums and Galleries.",01/04/2015,31/03/2018,28/02/2018,,30/04/2018,0,0,"�159,000.00",�0.00,Please view tab 2 on excel sheet,Edwige Moutault,Not provided,No,N/A,"Painting, Watercolour, Museum, Gallery, Auctions"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191385 (CONTRACT-9SLV-FHFNPI),Artifax Support: Booking System (Quasi),N/A,"Licence, support and maintenance for booking system.",01/09/2014,31/08/2017,31/08/2017,,30/09/2017,0,0,"�27,000.00",�0.00,Please view tab 2 on excel sheet,Edwige Moutault,Not provided,No,N/A,"Booking, System, Artifax"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199705 (CONTRACT-AAAM-BK3XUA),Asbestos Removal & Air Monitoring 2017 - Lot 1 & Lot 2,"Projects, Programmes & Procurement Unit","Asbestos Removals & Air Monitoring
Lot 1 � Asbestos Removals � Subcontracted by Leeds Building Services Lot 2 � Asbestos Removals managed by Housing Leeds",01/04/2017,31/03/2020,29/02/2020,,30/04/2020,12,0,"�7,800,000.00",�0.00,Please view tab 2 on excel sheet,Miss Samantha Dean,RFQ,No,N/A,"Asbestos, Removals, Housing, Non-Housing, Works"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199706 (CONTRACT-AAAM-Q7GSSJ),Asbestos Removals & Air Monitoring: Lot 3 � Air Monitoring,"Projects, Programmes & Procurement Unit",Asbestos Removals & Air Monitoring: Lot 3 � Air Monitoring,01/04/2017,31/03/2020,31/03/2019,,31/03/2020,12,0,"�300,000.00",�0.00,Please view tab 2 on excel sheet,Miss Samantha Dean,RFQ,No,N/A,"Asbestos, Analytical, Monitoring"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190489 (CONTRACT-9QRG-ABK55W),Asbestos surveys,Environment & Housing,"To carry out a range of surveys in accordance with HSG264 and other similar 
works as required.",01/08/2015,31/07/2018,01/06/2017,,31/08/2018,12,0,"�1,800,000.00",�0.00,Please view tab 2 on excel sheet,Richard Padget,Not provided,No,N/A,"asbestos, surveys"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197626 (CONTRACT-A6LD-RM6VG8),Asbestos Treatment Contract,Environment and Neighbourhoods,Asbestos Treatment Contract,08/02/2016,31/03/2019,30/11/2018,,30/04/2019,0,0,"�67,000.00",�0.00,Please view tab 2 on excel sheet,Stephen Holmes,Not provided,No,N/A,"Asbestos, Waste, Disposal, Landfill"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN219942,Assessing Road Transport Emissions in the Leeds Clean Air Zone using high resolution telematics data,City Development,Waiver Report for ITS to undertake the above contract for air quality assessment.,11/01/2017,01/06/2017,31/05/2017,,31/07/2017,0,0,"�21,000.00",�0.00,Please view tab 2 on excel sheet,Miss Nicola Martin,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192232 (CONTRACT-9U3H-YHAXA5),Autism Assessment Process for Social Workers Training,N/A,"The aim of this specification is to establish a contract to �introduce and 
provide an overview of the issues encountered by people with Autism Spectrum 
Condition (ASC) when engaging with adult social care services for undergoing 
assessment of needs to social workers in Adult Social Care",01/06/2015,31/03/2018,30/11/2017,,30/04/2018,0,0,"�17,910.00",�0.00,Please view tab 2 on excel sheet,Keri Wilkins,Not provided,No,N/A,"Autism Awareness, Social workers, Training, Adult Social Care"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192233 (CONTRACT-9U3J-5GWLAK),Autism Awareness Training,N/A,"The aim of this specification is to establish a contract to deliver Autism 
Awareness to staff working in Health and Social Care in both internal and 
external organisations",01/06/2015,31/03/2018,30/11/2017,,30/04/2018,0,0,"�11,850.00",�0.00,Please view tab 2 on excel sheet,Keri Wilkins,Not provided,No,N/A,"Autism Awareness, Social Work, Training"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195374 (CONTRACT-A25J-AUVHMC),Automatic Sprinkler Systems to domestic properties � Sheltered � Multi Storey Blocks,City Development,Installation of sprinkler systems to 5 blocks of high rise flats within Leeds,05/09/2016,28/02/2019,28/02/2019,,31/03/2019,0,0,"�374,000.00",�0.00,Please view tab 2 on excel sheet,Patrick Gibbons,Not provided,No,N/A,sprinklers
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250833,BASIS New Futures contract,Public Health,Short term contract providing visiting support for women involved in sex work who wish to exit prostitution and maintain independence.,01/04/2017,31/03/2018,03/01/2018,,31/05/2018,N/A,0,"�16,717.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,"Women, Support, Sex work"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201393 (CONTRACT-ACX9-T87QAL),Best Start Peer Support Service Leeds South and East,"Projects, Programmes & Procurement Unit","This specification sets out the City Council�s requirements in respect of the Best Start Peer Support Service (BSPSS).
 
The BSPSS shall support parents, parents-to-be and other carers of 0-2 year olds in the Leeds South and East Clinical Commissioning Group (LSE CCG) area to be empowered, and confident to make both informed and healthy choices contributing  towards the Leeds Best Start Plan (2015�19).  
 
To achieve this, the Contractor shall develop and deliver a bespoke course and resources (to be approved by Public Health (PH)) designed to empower and equip attendees who will become Best Start Peer Supporters to share messages and support their peers.The Contractor shall engage and recruit parents, parents-to-be and other carers of 0-2 year olds in the LSE CCG area to attend the course to become Best Start Peer Supporters.",01/01/2017,31/12/2019,01/12/2019,,31/01/2020,24,0,"�239,181.00",�0.00,Please view tab 2 on excel sheet,Mrs Catherine Farrell,RFQ,No,N/A,"child, Healthy lifestyles, Perinatal mental health, Infant nutrition"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN218805,"Bid Writing, Funding Exploration and Associated Support Services",Strategy and Resources,"Bid Writing, Funding Exploration and Associated Support Services",21/11/2016,22/05/2017,22/03/2017,,22/06/2017,0,0,"�25,000.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192754 (CONTRACT-9UXF-2U29TQ),Bikeability Cycle Training 2015-2017,City Development,Provision of Bikeability cycle training to school pupils in Leeds.,01/09/2015,31/08/2017,28/02/2017,,30/09/2017,12,0,"�600,000.00",�0.00,Please view tab 2 on excel sheet,Anne Sweeting,Not provided,No,N/A,"training, cycle, Bikeability"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201716 (CONTRACT-ADQD-LD3GWB),Bill Payment Services,"Projects, Programmes & Procurement Unit","The City Council requires Bill Payment services for payment of customer bills via barcode and plastic magnetic stripe card utilising Post Office, PayPoint and Payzone agents.",01/04/2017,31/03/2020,30/11/2019,,30/04/2020,12,0,"�1,110,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,"bill, payment, post office, PayPoint, PayZone"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190123 (CONTRACT-9PXE-UPD0A1),Binding of Library Materials,City Development,A contract for the binding of library books and associated materials,25/05/2015,24/05/2018,24/11/2017,,24/06/2018,12,0,"�30,000.00",�0.00,Please view tab 2 on excel sheet,Maxine Sutcliffe,Not provided,No,N/A,"binding, library, materials"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192155 (CONTRACT-9TWG-Y667MJ),Biomass Pellets,N/A,"Leeds City Council requires one supplier to provide and deliver biomass pellets 
for three of its sites.�These are located at Tropical World, Lotherton 
Hall & Herd Farm Activity Centre.",03/08/2015,02/08/2018,28/02/2018,,02/08/2018,24,0,"�343,250.00",�0.00,Please view tab 2 on excel sheet,Peter Leighton-Jones,Not provided,No,N/A,"Biomass, Pellets, Energy, Sustainable"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187670 (CONTRACT-9K3C-XWDXC9),"BITMO Gas servicing, maintenance, installation and repairs",ALMO's,"BITMO (Belle Isle Tenant Management Organisation) require the re-procurement 
of Gas Servicing, repairs and maintenance works plus new installations to 1,940 
Council housing stock within the BITMO responsibility. The current contract is 
due to expire at end September 2014 and includes for Gas Servicing, repairs and 
maintenance work.� It is also to include for responsive maintenance, gas 
service and safety checks to all mechanical activities to include natural gas, 
renewable energy appliances, replacement and installation of central heating 
systems. 
The new provision has an estimated annual value of �550,000, with an 
anticipated term of 5 years with the option to extend for a further 2 x 12 
months.  
The above values may vary and BITMO does not bind itself to procure these 
volumes.",01/04/2015,31/03/2020,31/03/2019,,30/04/2020,12,0,"�3,850,000.00",�0.00,Please view tab 2 on excel sheet,Ian Parker,Not provided,No,N/A,"Gas, Domestic, Heating, Servicing, Maintenance, Safety"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201835 (CONTRACT-ADYG-ARCLMZ),Bottled gas framework,"Projects, Programmes & Procurement Unit",Supply of bottled gas through YPO 706 framework,03/01/2017,02/01/2021,02/10/2020,,02/02/2021,0,0,"�120,000.00",�0.00,Please view tab 2 on excel sheet,Mr Daniel Smith,RFQ,No,N/A,Bottled gas
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN253863,Box Office Management System,"Projects, Programmes & Procurement Unit","Provision of Box Office Management Solution, including ticketing, seating, marketing and CRM",01/04/2017,31/03/2019,31/07/2017,,30/04/2019,0,0,"�70,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230416,Breastfeeding Peer Support Service,Public Health,"To provide a breastfeeding peer support coordinator who will provide coordination, training, support and supervision of breastfeeding peer supporters, as well as supporting the wider breastfeeding agenda in Leeds.",01/04/2017,31/03/2019,01/04/2018,,30/04/2019,24,0,"�50,540.00",�0.00,Please view tab 2 on excel sheet,Ms Sally Goodwin-Mills,RFQ,No,N/A,"Breastfeeding, Peer, Support"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194654 (CONTRACT-9YNE-E3S8VJ),Bridge Maintenance and Masonry Repairs 2015-2017,City Development,"The Bridge Maintenance & Masonry Contract is used to carry out general 
repairs and refurbishment including painting to existing bridges, bridge 
parapets, retaining walls, traffic signal mast arms, gantries and other highway 
structures on a labour, plant and materials basis.� The work will take 
place at various locations within the Leeds Metropolitan District and may 
extend across the Yorkshire Districts of Bradford, Calderdale, Kirklees, 
Wakefield and York.� The contract may be extended to 2019.�  
� 
A 24 hour rapid response is a requirement in the contract.�  
� 
There is no assurety of any work. Last year spend was approximately 
�150,000 made up of a number of work packages with an average price of 
�2,500.",14/09/2015,13/09/2017,01/01/2017,,13/10/2017,12,0,"�400,000.00",�0.00,Please view tab 2 on excel sheet,Nicola Martin,Not provided,No,N/A,"bridge, repairs"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197287 (CONTRACT-A63R-E7MQIG),Brokerage Payments (Quasi),N/A,Brokerage Payments,01/04/2015,31/03/2018,28/02/2018,,30/04/2018,0,0,"�300,000.00",�0.00,Please view tab 2 on excel sheet,Philippa Elliott,Not provided,No,N/A,"Brokerage, Finance, Business, Professional"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198570 (CONTRACT-A86J-BMHLCD),Brownfield Land Programme - Package no 2,City Development,"Leeds City Council (LCC) is seeking to contract with a partner who will take full responsibility for all aspects of planning (to obtain planning permission) and delivery (including sales) for housing schemes on a number of sites in Seacroft, Halton Moor and Osmondthorpe. This procurement is a site disposal mechanism that aims to contribute to delivery of the Leeds housing targets set within the Core Strategy of 66,000 net new dwellings to meet housing needs in the city by 2028. 

 

 Two packages of sites are available for development. This brief is for Package 2. This package consists of 7 sites in Seacroft, Halton Moor and Osmondthorpe. The sites in this package are: 

 

 � Brooklands Drive 

 � Parkway Close 

 � Brooklands Avenue (incorporating South Parkway) 

 � Bishops Way 

 � Old York Road Depot 

 � Wykebeck Mount 

 � Cartmell Drive (North) 

 

 The Council is looking for a very capable Delivery Partner to deliver housing on this package of sites, and to enter into a Development Agreement to do so with the Council in 2016. The Council will also consider offers where a lead Delivery Partner is representing a consortium. Over the years, the Council has undertaken desktop studies on the sites, as well as detailed ground investigations on some sites. While sites do not have the benefit of planning permission, some planning framework/ strategy documents are available for the neighbourhoods. Information is provided throughout this document and in the developer pack. All of this information is available to assist in the design, planning and delivery of the scheme. 

 

 Whilst the successful Delivery Partner will need to meet the relevant design requirements, maximise value and contribute positively to the local community, they will still have significant flexibility to create a scheme that reflects their particular vision for the sites. The development of sites should contribute to the local and regional economies to maximise the social benefit from this significant investment.",01/12/2016,31/12/2025,31/12/2024,,31/12/2025,0,0,�0.00,�0.00,Please view tab 2 on excel sheet,Ms Christa Smith,RFQ,No,N/A,"house, housing, construction"
