Organisation Name,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,11/03/2016,NEIGHBOURHOODS AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,11/03/2016,"£8,950.02",CONTRACTED SERVICES,V000979200
ROCHDALE BOROUGH COUNCIL,03/03/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,03/03/2016,"£165,101.14",ELECTRICITY,V000979246
ROCHDALE BOROUGH COUNCIL,07/03/2016,PROPERTY AND HIGHWAYS,BOLTON MBC,07/03/2016,"£2,107.07",FEES / COMMISSION,V000979261
ROCHDALE BOROUGH COUNCIL,04/03/2016,FINANCE SERVICES,ROSSENDALES,04/03/2016,£635.19,INPUT VAT -  ADJUSTMENTS,V000979581
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£700.72,NURSING LONG TERM,V000980247
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£736.52,RESIDENTIAL LONG TERM,V000980382
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,017.60",RESIDENTIAL LONG TERM,V000980397
ROCHDALE BOROUGH COUNCIL,07/03/2016,CHILDREN’S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,07/03/2016,"-£1,321.14",FOSTER PARENTS BASIC ALLOWANCE,V000980442
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,109.16",RESIDENTIAL LONG TERM,V000980493
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980518
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,072.56",RESIDENTIAL LONG TERM,V000980527
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980529
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£876.72,RESIDENTIAL LONG TERM,V000980535
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980543
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,£703.93,RESIDENTIAL LONG TERM,V000980565
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,£730.00,RESIDENTIAL LONG TERM,V000980566
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,£730.00,RESIDENTIAL LONG TERM,V000980567
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,£730.00,RESIDENTIAL LONG TERM,V000980568
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980585
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,108.80",NURSING LONG TERM,V000980587
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,108.80",NURSING LONG TERM,V000980588
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,108.80",NURSING LONG TERM,V000980589
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980624
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980646
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,077.72",RESIDENTIAL LONG TERM,V000980654
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,041.24",RESIDENTIAL LONG TERM,V000980720
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,087.72",RESIDENTIAL LONG TERM,V000980722
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000980788
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,£991.96,RESIDENTIAL LONG TERM,V000980831
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,119.76",RESIDENTIAL LONG TERM,V000980836
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£528.76,RESIDENTIAL LONG TERM,V000980985
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,£777.92,RESIDENTIAL LONG TERM,V000980988
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,094.32",RESIDENTIAL LONG TERM,V000981000
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000981032
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,£993.92,RESIDENTIAL LONG TERM,V000981037
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000981040
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,049.72",RESIDENTIAL LONG TERM,V000981069
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,049.72",RESIDENTIAL LONG TERM,V000981070
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,049.72",RESIDENTIAL LONG TERM,V000981071
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,062.74",RESIDENTIAL LONG TERM,V000981072
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981073
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981074
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981075
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981076
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981077
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981078
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981079
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981080
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981081
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"-£1,067.08",RESIDENTIAL LONG TERM,V000981082
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,167.72",NURSING LONG TERM,V000981087
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£799.44,RESIDENTIAL LONG TERM,V000981099
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£763.24,RESIDENTIAL LONG TERM,V000981111
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,204.28",NURSING LONG TERM,V000981148
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,027.60",RESIDENTIAL LONG TERM,V000981167
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000981182
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,077.80",RESIDENTIAL LONG TERM,V000981228
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,087.52",RESIDENTIAL LONG TERM,V000981276
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000981293
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,£954.36,RESIDENTIAL LONG TERM,V000981309
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£736.56,SELF - FUNDING DEFERRED PAYMENTS,V000981310
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,091.40",RESIDENTIAL LONG TERM,V000981333
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£657.76,RESIDENTIAL LONG TERM,V000981345
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"-£1,604.96",RESIDENTIAL LONG TERM,V000981356
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",NURSING LONG TERM,V000981399
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",RESIDENTIAL LONG TERM,V000981447
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,11/03/2016,"£1,060.48",RESIDENTIAL LONG TERM,V000981471
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,-£901.80,RESIDENTIAL LONG TERM,V000981499
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981500
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981501
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981502
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981503
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981504
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981505
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981506
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981507
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,11/03/2016,"-£1,099.76",RESIDENTIAL LONG TERM,V000981508
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,099.76",NURSING LONG TERM,V000981511
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,"£1,090.52",NURSING LONG TERM,V000981523
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,11/03/2016,"£1,002.56",RESIDENTIAL LONG TERM,V000981597
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£814.86,RESIDENTIAL LONG TERM,V000981617
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,11/03/2016,£845.04,RESIDENTIAL LONG TERM,V000981618
