OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,MA200742452LCC560,Alcohol in Pregnancy Social Marketing Campaign,PUBLIC HEALTH,,,23/03/2016,,,,,9090,,"MAGPIE CREATIVE COMMUNICATIONS LTD, 1-5 Springfield Mount, NULL, LEEDS, LS2 9NG",,b) Micro,,Phil Slavin,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,MI190142453M19083,Subscription to Mintel Reports,CITY DEVELOPMENT,,,24/03/2016,,,,,12605,,"MINTEL INTERNATIONAL GROUP LTD, 11 Pilgrim Street, NULL, LONDON, EC4V 6RN",,e) Large,,Linda Sanderson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,NH0350424597014700742,Vaccines for Hepatitis A Outbreak,PUBLIC HEALTH,,,30/03/2016,,,,,15000,,"NHS LEEDS NORTH CCG, 02v Receivables L509 Shared Business Ser, Phoenix House Topcliffe Lan, WAKEFIELD, WF3 1WE",,e) Large,,Phil Slavin,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,OX600042440XI09735953,Oxford University Press Online Subscription,CITY DEVELOPMENT,,,11/03/2016,,,,,15207.62,,"OXFORD UNIVERSITY PRESS, Cashiers Office  Great Clarendon Street, NULL, OXFORD, OX2 6DP",,e) Large,,Linda Sanderson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,PA234042440570,Care Opinion - Online Subscription,ADULT SOCIAL CARE,,,11/03/2016,,,,,5950,,PATIENT OPINION LIMITED,,Other/Not known,,Salma Begum,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,PL006342430093300,Print Services,MARKETING,,,01/03/2016,,,,,19941,,"PLATINUM PRINT LTD, Park House Hookstone Park, NULL, HARROGATE N YORKSHIRE, HG2 7DB",,b) Micro,,Rachel Poole,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,PR1978424604786,Relocation of Modular Building,ENVIRONMENT & HOUSING,,,31/03/2016,,,,,30573.5,,"C 3 S PROJECTS, Canal Mills, Elland Bridge, ELLAND, HX5 0SQ",,d) Medium,,Jonathan Gold,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,RE064X42445RNW959,Community Regeneration,CITY DEVELOPMENT,,,16/03/2016,,,,,18750,,"RENEWAL LEEDS LTD, 34 Regent Street, NULL, LEEDS, LS2 7QN",,d) Medium,,Thomas Stenger,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,RE20124244025314,Supply of the Summer Reading Challenge,CITY DEVELOPMENT,,,11/03/2016,,,,,6122.19,,"THE READING AGENCY LTD, Free Word Centre, 60 Farrington Road, LONDON, EC1R 3GA",,c) Small,,Linda Sanderson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,RO9716424510000021245,Leeds Sports Awards - Venue Hire,CITY DEVELOPMENT,,,22/03/2016,,,,,9440.26,,"ROYAL ARMOURIES (INTERNATIONAL) PLC, Armouries Drive, NULL, LEEDS, LS10 1LT",,d) Medium,,June Treciokas,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SA020242440262345,Legal Fees,CHILDRENS SERVICES,,,11/03/2016,,,,,5130,,"SARA ANNING, Park Lane Plowden, 19 Westgate, LEEDS, LS1 2RD",,a) Individual,,Philippa Elliott / Sarah Temple,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SA23574244551,Leaving Care Support,CHILDRENS SERVICES,,,16/03/2016,,,,,5385.59,,SAFE HAVEN,,Other/Not known,,Iain Dunn,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SH120442450186877,Resettlement Consortium Project Manager Secondment,CHILDRENS SERVICES,,,21/03/2016,,,,,15621.31,,"SHEFFIELD CITY COUNCIL (RESOURCES), Resources, Town Hall, SHEFFIELD, S1 2HH",,Other/Not known,,Claire Duguid,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SM0469424405301,Spring 2016 Recycling Awareness Campaign,ENVIRONMENT & HOUSING,,,11/03/2016,,,,,8000,,"SMITH CREATIVE, 65 Westgate Road, NULL, NEWCASTLE UPON TYNE, NE1 1SG",,b) Micro,,Nicholas Lawrence,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SN185242431SEP1028,Shawshank Event Production: Leeds Film Festival,CITY DEVELOPMENT,,,02/03/2016,,,,,9500,,"SNEAKY EXPERIENCE LIMITED, Thornlea House  Nanscar, Ickornshaw, COWLING, BD22 0DL",,Other/Not known,,Deborah Maturi,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SO226442440S0011843,British Art Show Venue Hire,CITY DEVELOPMENT,,,11/03/2016,,,,,25000,,"SOUTHBANK CENTRE, Belvedere Road, NULL, LONDON, SE1 8XX",,e) Large,,Sheel Douglas,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SP0309424382503,Excellence in Diversity Sponsorship Package,CENTRAL & CORPORATE,,,09/03/2016,,,,,8995,,"I SPOIL U MEDIA, 29-31 Seymour Terrace, NULL, LIVERPOOL, L3 5PE",,b) Micro,,Jess Dolphin,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SP046742460SINV-1046,Clinical Lead for Alcohol,PUBLIC HEALTH,,,31/03/2016,,,,,5000,,SPECTRUM COMMUNITY HEALTH CIC,,Other/Not known,,Phil Slavin,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,ST267942431003072,Recycling Services,ENVIRONMENT & HOUSING,,,02/03/2016,,,,,5859.2,,"SJB RECYCLING LIMITED, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,Deborah Dobson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,ST29864244654566,Supply and Installation of Heating System,ADULT SOCIAL CARE,,,17/03/2016,,,,,14407.75,,"STRATEGIC TEAM MAINTENANCE CO LTD, Strategic Business Centre, Blue Ridge Park Thunderhead Ridge, CASTLEFORD, WF10 4UA",,d) Medium,,Gillian Eastwood,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,SU109042445SI-1114,Safeguarding and Supervision Training,CHILDRENS SERVICES,,,16/03/2016,,,,,6000,,"SUE OVERTON ASSOCIATES, 1 School Cottages  Main Street, Tollerton, YORK, YO61 1QQ",,b) Micro,,Lisa Banton / Andy Lloyd,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,TH0094424330433,William Grundy dinner set for the Temple Newsam House,CITY DEVELOPMENT,,,04/03/2016,,,,,15383.58,,"THOMAS COULBORN & SONS, Vesey Manor, NULL, SUTTON COLDFIELD, B72 1QP",,Other/Not known,,Jacqueline Howson,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,TI0135424322101/16,Materials and Work Undertaken at Civic Hall,CENTRAL & CORPORATE,,,03/03/2016,,,,,6952.9,,"TITAN NORTHERN LIMITED, Mill 7  Mabgate Mills, Macaulay Street, LEEDS, LS9 7SW",,c) Small,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,WE8929424582039,Professional Fees for Works at Rosemont Bramhope,ENVIRONMENT & HOUSING,,,29/03/2016,,,,,7152,,"WEST & MACHELL LTD, 1 Northwest Business Park, Servia Hill, LEEDS, LS6 2QH",,Other/Not known,,James Kilroy,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,12/05/2016,WO012442460625,Falls Media Campaign,PUBLIC HEALTH,,,31/03/2016,,,,,13335.78,,"WORDS & PICTURES EDUCATION LIMITED, The Editorial Design Centre, Wharfebank House  Ilkley Road, LEEDS, LS21 3JP",,b) Micro,,Phil Slavin,Waiver/DDN
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
