Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",11500,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",6500,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4650,Offices and Premises,Empty Relief - Post 01/04/2008
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",6800,Shop and Premises,Empty Relief - Post 01/04/2008
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,2375,Shop and Premises,Listed Building
,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,,1600,Factory and Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2350,Office,Listed Building
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",5200,Workshop And Premises,Empty Relief - Post 01/04/2008
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1525,Shop and Premises,Rateable Value below threshold
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,610,Store And Premises,Rateable Value below threshold
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,"Bull Green House, Bull Green, Halifax, HX1 2EB",7000,Garage And Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",3900,Offices and Premises,Listed Building
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132764,"G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",3150,Workshop And Premises,Empty Relief - Post 01/04/2008
Dr. Kuldip S Hunjan & Associates,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",68652704,"Ground 1st & 2nd Floors, 3 Westgate, Halifax, HX1 1DJ",2950,Offices and Premises,Empty Relief - Post 01/04/2008
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",77476007,,5900,Offices and Premises,Empty Relief - Post 01/04/2008
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
Dews Motor Group Ltd,"North Bridge, Northgate, Halifax, HX1 1XJ",68096702,"Northgate, Halifax, HX1 1XJ",1575,Garage And Premises,Rateable Value below threshold
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,Shop and Premises,Listed Building
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",1300,Land Used For Storage and Premises,Rateable Value below threshold
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,260,Office,Rateable Value below threshold
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",5300,Shop and Premises,Listed Building
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1975,Workshop,Empty Property - RV < 15000
,"Milk Distribution Depot, Queens Road, Halifax, HX1 3NT",68308710,,13750,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
,"Shelf Library, 11 Wade House Road, Shelf, Halifax             HX3 7PB",69216708,,1,Library And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",12000,Offices And Premises,Listed Building
Commercial Development Projects Ltd,"3 Bridge Road, Brighouse, HD6 1EP",29096003,"Huddersfield Road, Elland, HX5 9BW",6700,Workshop And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5000,Shop and Premises,Listed Building
Burnley Road Academy,"Burnley Road J & I School, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DE",76088713,,29500,School and Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,"Northgate House, Northgate, Halifax, HX1 1UN",10250,Shop and Premises,Listed Building
Setbray Properties Ltd,"Suite 2 Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",76244726,"Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",6100,Offices and Premises,Empty Relief - Post 01/04/2008
Capita S I P Services S W I 0126,"1st, 2nd & 3rd Floors, 14/16 Old Market, Halifax, HX1 1TN",68140703,"The Property Administrator, Post Completion Team, 141 Castle Street, Salsbury, Wiltshire, SP1 3TB",8200,Shop and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Royds Properties Ltd,"Telecommunication Mast H3G, Wellington Mills, Quebec Street, Elland               HX5 9AS",56196730,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",8400,Communication Station and Premises,Unoccupied Land
Friarshill Ltd,"Unit 21/21A, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296734,"C/O Jilco Ltd, 1 Spruce House, Washer Lane, Halifax, HX2 7DR",1975,Warehouse And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",15000,Offices And Premises,Listed Building
,"2 Bridge End, Brighouse, HD6 3DH",29092002,,1825,Office and Premises,Rateable Value below threshold
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3300,Shop and Premises,Listed Building
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2500,Shop and Premises,Listed Building
,"33 Northgate, Halifax, HX1 1UR",68096033,,8100,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",370,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",8700,Communication Station and Premises,Unoccupied Land
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,1875,Shop and Premises,Empty Property - RV < 15000
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,,980,Workshop And Premises,Empty Property - RV < 15000
Director Of Safer & Stronger Communities,"62/63 Rustic, Piece Hall, Halifax, HX1 1RE",68252792,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4250,Shop And Premises,Listed Building
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1500,Cricket Club And Premises,Empty Property - RV < 15000
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc Children & Young People's Services,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT",29116700,"Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",5500,Community Centre And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 3A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1400,Store And Premises,Empty Property - RV < 15000
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,12500,Shop and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628837,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1675,Office,Rateable Value below threshold
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2075,Shop and Premises,Rateable Value below threshold
Due West Ltd,"16 Horton Street, Halifax, HX1 1PU",65388702,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",2800,Dance Studio And Premises,Listed Building
,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,,8400,Communication Station and Premises,Unoccupied Land
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,Store And Premises,Empty Property - RV < 15000
,"16 Square, Halifax, HX1 1RJ",68700016,,10250,Shop and Premises,Empty Relief - Post 01/04/2008
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",10000,Offices And Premises,Listed Building
Alco Valves Group Ltd,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",29272711,"Mission Works, Birds Royd Lane, Brighouse, HD6 1LQ",104000,Workshop And Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",7600,Warehouse And Premises,Empty Relief - Post 01/04/2008
Halifax Society For The Blind,"36 Clare Road, Halifax, HX1 2HX",64584036,"Ground Floor, 34 Clare Road, Halifax, HX1 2HX",12000,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Markets Manager,"21/22 Borough Market, Halifax, HX1 1DY",64288704,"19 Albion Street, Halifax, HX1 1DU",7600,Market Hall,Listed Building
Millcraft Associates,"Unit 21a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256724,"Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",1525,Workshop And Premises,Qualifying industrial hereditament
Hebden Bridge Community Association,"Unit 6 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500710,"Hebden Bridge Town Hall, St George's Street, Hebden Bridge, HX7 7BY",1525,Offices And Premises,Empty Property - RV < 15000
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,,1700,Store &  Premises,Empty Property - RV < 15000
Tosca North East Ltd,"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",29624701,"Management Ltd, 8 Elmbank Gardens, Charing Cross, Glasgow, G2 4NQ",26000,Shop and Premises,Empty Relief - Post 01/04/2008
Westfield Properties Ltd,"24 Rochdale Road, Todmorden, OL14 7LD",78400024,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",5600,Offices and Premises,Empty Relief - Post 01/04/2008
Brogan Business Parks Ltd,"Unit W1, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448774,"C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",4650,Warehouse And Premises,Qualifying industrial hereditament
,"5-7 Central Street, Halifax, HX1 1HU",64524708,,21250,Restaurant and Premises,Empty Relief - Post 01/04/2008
Brighouse Nurseries Ltd,"Unit 7 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296738,"The Nurseries, Halifax Road, Brighouse, HD6 2QD",4050,Shop and Premises,Empty Relief - Post 01/04/2008
Master Matting Co Ltd,"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",68132764,"Units 2 & 6 , Emstead Works, Old Lane, Halifax, HX3 5QN",3850,Offices and Premises,Qualifying industrial hereditament
Brogan Business Parks Ltd,"Unit W3, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",64448811,"C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",3500,Workshop And Premises,Qualifying industrial hereditament
Kino & Co,"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344829,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",830,Store And Premises,Empty Property - RV < 15000
,"264 Gibbet Street, Halifax, HX1 4LT",65164264,,2200,Hairdressing Salon And Premises,Rateable Value below threshold
Pennine Housing 2000,"120 Oak Avenue, Todmorden, OL14 5PD",78340120,"Bull Green House, Bull Green, Halifax, HX1 2EB",2075,Shop and Premises,Empty Property - RV < 15000
Kino & Co,"Office Hm 3.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344988,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2275,Offices And Premises,Empty Property - RV < 15000
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",1750,Shop and Premises,Rateable Value below threshold
Calderdale Mbc Markets Manager,"Stalls 41/42 Market Hall, Brook Street, Todmorden, OL14 5AJ",78068728,"19 Albion Street, Halifax, HX1 1DU",1750,Market Stall And Premises,Rateable Value below threshold
Edgar Dickinson Properties Ltd,"Unit 74 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344737,"Walker Singleton, Property House, Lister Lane, Halifax, HX1 5DR",3500,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11A River Street B Pk, River Street, Brighouse            HD6 1NL",29492742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2650,Warehouse And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D 132, Dean Clough Mills, Halifax, HX3 5AX",64885701,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2950,Office,Listed Building
Halifax Opportunities Trust,"Office 16 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242714,"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",1400,Offices and Premises,Rateable Value below threshold
Halifax Opportunities Trust,"Off 3, Pt 2ND Flr Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242820,"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",4700,Offices And Premises,Awaiting occupation
Bizspace Ltd,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628865,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4600,Offices And Premises,Empty Relief - Post 01/04/2008
,"Unit 3 Sdh Ind Estate, West Street, Sowerby Bridge, HX6 3BS",76648759,,4650,Warehouse And Premises,Qualifying industrial hereditament
Warmco Space Heating Ltd,"Unofficial Address, Unit 202 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",610,Offices And Premises,Rateable Value below threshold
,"10 Commercial Street, Halifax, HX1 1TA",64660010,,6800,Offices and Premises,Empty Relief - Post 01/04/2008
E.P.I.C Plc,"9 Market Street, Brighouse, HD6 1AP",29404009,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",3500,Shop and Premises,Empty Relief - Post 01/04/2008
Circuit Electrical Testing Ltd,"Office 6 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",69360766,"Croft Myl, West Parade, Halifax, HX1 2EQ",850,Offices And Premises,Rateable Value below threshold
,"Unit 3, 2 Silver Street, Halifax, HX1 1HS",68580729,,5200,Shop and Premises,Listed Building
Brogan Business Parks Ltd,"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448828,"C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",6300,Offices And Premises,Empty Relief - Post 01/04/2008
,"208 King Cross Road, Halifax, HX1 3JP",65516208,,8000,Shop and Premises,Empty Relief - Post 01/04/2008
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",32000,Public House and Premises,Empty Relief - Post 01/04/2008
,"Office 2, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",77196726,,1975,Offices And Premises,Rateable Value below threshold
,"Unit B2, 49 Pear Street, Halifax, HX1 3UA",68232711,,2950,Workshop And Premises,Qualifying industrial hereditament
Bizspace Ltd,"Unit 16C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628836,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1525,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2400,Store And Premises,Empty Property - RV < 15000
Mytholmroyd Optical Ltd,"1 Bridge Gate, Hebden Bridge, HX7 8EX",76060001,"1 Bridge Gate, Hebden Bridge, HX7 8AH",32000,Shop and Premises,Flood Relief Application 2015/16
Millcraft Associates,"Unit 16, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",76256719,"Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",1500,Millshop And Premises,Qualifying industrial hereditament
Maramar Holdings Ltd,"Units G/H, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242840,"Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR",39500,Workshop And Premises,Qualifying industrial hereditament
Shaw Lodge Mills Ltd,"LEVEL-1 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526705,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",4850,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 3 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526710,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",5300,Warehouse And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",600,Store And Premises,Listed Building
,"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",68388700,,7100,Public House and Premises,Empty Relief - Post 01/04/2008
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276709,,4550,Lecture Hall,Listed Building
Finn Gledhill & Co,"2 Harrison Road, Halifax, HX1 2AG",65276724,"1/3 Harrison Road, Halifax, HX1 2AG",23500,Offices And Premises,Listed Building
,"4 Huddersfield Road, Brighouse, HD6 1JZ",29344004,,10500,Shop and Premises,Empty Relief - Post 01/04/2008
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,,2075,Offices and Premises,Empty Property - RV < 15000
Units To Let [Northern] Ltd,"Unit 5 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340742,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",950,Store And Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056754,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1600,Offices And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",260,Store And Premises,Rateable Value below threshold
Woodfield Enterprises Ltd,"Office 2, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404709,"Woodfield House, Halifax Road, Hipperholme, Halifax, HX3 8HD",2250,Offices And Premises,Listed Building
Kino & Co,"Unit 1.02/1.03, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344982,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1600,Warehouse And Premises,Empty Property - RV < 15000
Setbray Properties Ltd,"Suite 4 2ND Flr Unauth Add, Unit 8 Pennine Ind Park, Valley Road, Hebden Bridge        HX7 7BZ",76552757,"Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",5800,Offices And Premises,Empty Relief - Post 01/04/2008
El Greco Of Yorkshire Ltd,"91 Northgate, Halifax, HX1 1XF",68096091,"Registered Office, 171 Ballard Lane, London, N3 1LP",12000,Restaurant and Premises,Empty Relief - Post 01/04/2008
Sharlketh Ltd,"Unit 8 Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",76508723,"Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",530,Workshop And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2500,Warehouse And Premises,Rateable Value below threshold
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,,860,Workshop And Premises,Listed Building
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",2075,Warehouse And Premises,Rateable Value below threshold
