Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,4705,AVIVA INSURANCE  LIMITED,A0058665, 14/12/2017,DAL0284909,203.39,N,N,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD14,B & E BOYS LIMITED,A0090790, 20/12/2017,AAS0285132,15863.99,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,2.98,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,5.02,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,7.56,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,9.45,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,20.78,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285011,56.25,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285009,194.91,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 20/12/2017,PCO0285010,187.51,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 20/12/2017,PCO0285023,2.48,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 20/12/2017,PCO0285023,2.75,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 07/12/2017,PCO0284739,3,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 20/12/2017,PCO0285023,8.86,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARNES JB LIMITED,A0000202, 07/12/2017,PCO0284739,40,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARNES JB LIMITED,A0000202, 20/12/2017,PCO0285027,38.95,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Hire of Plant,3502,BARNES JB LIMITED,A0000202, 20/12/2017,PCO0285024,16,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 14/12/2017,OPS0284904,150.91,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 14/12/2017,OPS0284903,35.6,N,N,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,BARNES JB LIMITED,A0000202, 14/12/2017,OPS0284902,5.78,N,N,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,BARNES JB LIMITED,A0000202, 14/12/2017,OPS0284902,6,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,PCO0285004,8.76,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,PCO0285004,9.75,N,N,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,OPS0285062,2.92,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,PCO0285004,6.71,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,PCO0285004,29.2,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/12/2017,PCO0285004,8.76,N,N,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 07/12/2017,EST0284758,66.6,N,N,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 20/12/2017,EST0285059,70,N,N,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,4705,BARROWFORD SAFE & LOCK SERV LT,A0000458, 07/12/2017,EST0284753,137.92,N,N,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,BARROWFORD SAFE & LOCK SERV LT,A0000458, 20/12/2017,EST0285059,126.24,N,N,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Emp : Training : General,1217,BEN SHAW TRAINING LIMITED,A0055722, 20/12/2017,OPS0285002,75,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 20/12/2017,PCO0285039,11.15,N,N,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BRADLEY BIG LOCAL COMMUNITY LAND TRUST,A0091381, 20/12/2017,COR0285015,46012.5,Y,7552,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,BRC CONSULTING SERVICES LIMITED,A0091138, 20/12/2017,AAS0285105,1521.55,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BRIGGS & DUXBURY LTD,A0000459, 20/12/2017,PCO0285028,214,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 20/12/2017,PCO0285022,52,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284669,36,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284668,50.89,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005748,-63.04,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284697,2.03,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284696,8.37,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/12/2017,AAS0285202,9.51,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284698,13.81,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284680,7.92,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284662,562.32,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284682,25.5,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284676,8.19,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284700,195.7,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284699,16.89,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/12/2017,AAS0285203,92.5,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284664,34.11,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284665,34.25,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284679,8.91,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284695,255.01,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005746,-135.62,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005744,-108.44,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005745,-106.82,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005743,-106.67,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005742,-98.4,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005739,-76.93,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005741,-73.4,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005740,-69.08,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS4005738,-53.3,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284690,75.64,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 01/12/2017,AAS0284918,65.6,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284688,7.92,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284660,89.62,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284672,167.14,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284671,20.01,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284659,17.7,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284667,101.14,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284658,12.81,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284681,24.74,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284692,64.97,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284685,12.91,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284684,73.06,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284661,168.52,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284687,6.05,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284670,48.05,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284673,12.51,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284675,195.56,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284674,46.7,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284677,10.82,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284663,47.48,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284691,7.76,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284686,17.01,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284683,30.07,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284694,482.25,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284693,302.73,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284678,8.62,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,BRITISH GAS BUSINESS,A0069538, 07/12/2017,AAS0284666,36.91,N,N,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Gas,2202,BRITISH GAS TRADING LIMITED,A0053746, 20/12/2017,EST0285071,193.78,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BRITISH TELECOMMUNICATIONS PLC,A0040001, 07/12/2017,PCO0284747,35,N,N,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,4502,BRITISH TELECOMMUNICATIONS PLC,A0040001, 07/12/2017,EST0284771,53.97,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 07/12/2017,PCO0284743,182,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 20/12/2017,PCO0285038,96,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BROWNS LADDERS & CEILINGS LTD,A0000474, 20/12/2017,PCO0285025,262.5,N,N,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,BUCKET AND SPADE,A0091371, 07/12/2017,EST0284783,100,N,N,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,BUCKET AND SPADE,A0091371, 07/12/2017,EST0284783,100,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Subscriptions & Donations,4706,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 20/12/2017,HED0285049,641.66,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,C & R WALNE ENGRAVERS,A0042734, 14/12/2017,PCO0284849,65,N,N,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,CALICO HOMES,A0091059, 14/12/2017,HMR0284921,1948.14,N,N,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,CALICO HOMES,A0091059, 14/12/2017,HMR0284928,5213.84,N,N,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Miscellaneous : Other,4707,CALICO HOMES,A0091059, 14/12/2017,HMR0284921,387.2,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,4301,CANFORD AUDIO PLC,A0000606, 07/12/2017,OPS0284722,120,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 20/12/2017,OPS0284969,730.95,N,N,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 20/12/2017,OPS0284970,257.02,N,N,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Other Equipment,4003,CANON (UK) LIMITED,A0040400, 07/12/2017,PBC0284785,63.08,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CMS TREE SERVICES,A0091372, 07/12/2017,PCO0284813,650,N,N,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,CONTENT DESIGN LONDON,A0091364, 07/12/2017,DAL0284723,495,N,N,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 18/12/2017,AAS0285204,189.53,N,N,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,D Y BUILDING SERVICES,A0091159, 20/12/2017,HMR0285091,4850,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0074199, 07/12/2017,HED0284717,1.75,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0074199, 07/12/2017,HED0284717,7.2,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0074199, 07/12/2017,HED0284717,10,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0074199, 07/12/2017,HED0284717,89.42,N,N,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0074199, 07/12/2017,HED0284717,187.5,N,N,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,1221,DBS,A0072958, 19/12/2017,AAS0285120,616,N,N,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,DBS,A0072958, 19/12/2017,AAS0285120,1496,N,N,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,DEBORAH SHARPE - FOOD 2 GO,A0091370, 07/12/2017,HMR0284731,2075,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DEWHURST DECORATING SUPPLIES,A0000879, 14/12/2017,PCO0284843,19,N,N,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Maintenance contracts,4006,DEWHURST DECORATING SUPPLIES,A0000879, 20/12/2017,REG0284799,24.24,N,N,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Maintenance contracts,4006,DEWHURST DECORATING SUPPLIES,A0000879, 20/12/2017,REG0284797,111.82,N,N,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Other Equipment,4003,DIAMOND PEOPLE LIMITED,A0077714, 20/12/2017,PBC0285079,300,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,2.4,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284870,5,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,7.87,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284866,19.13,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,19.2,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,38,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,52,N,N,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 14/12/2017,PCO0284852,57.2,N,N,N,N/A
