RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Marrtree Investments Limited,"Unit 15, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084847,7900,Warehouse And Premises,12
,"111 Bramston Street, Brighouse, HD6 3AQ",29088111,2325,Shop and Premises,18
Fit-Lock Systems Ltd,"Bath Place, R/O11-19 Bramston Street, Brighouse, HD6 3AA",29088707,2475,Warehouse And Premises,13
,"2 Bridge End, Brighouse, HD6 3DH",29092002,1825,Office and Premises,13
,"4/8 Bridge End, Brighouse, HD6 3DH",29092004,990,Store And Premises,13
,"12 Bridge End, Brighouse, HD6 3DH",29092012,2375,Shop and Premises,13
Network Rail Ltd,"Railway Arch No 2, Bridge End, Brighouse, HD6 3DH",29092701,850,Store And Premises,13
,"42/44 Bridge End, Brighouse, HD6 3DS",29092708,6000,Workshop And Premises,21
,"Opp 4/8 Bridge End, Brighouse, HD6 3DH",29092711,670,Car Park,13
Calderdale Mbc Children & Young People's Services,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT",29116700,5500,Community Centre And Premises,21
Warmco Space Heating Ltd,"Victoria Works, Calder Street, Brighouse, HD6 1LZ",29124704,67500,Factory And Premises,21
,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",29124707,4850,Car Park,17
,"2 Chapel Court, Park Street, Brighouse, HD6 1JH",29148002,2550,Offices and Premises,13
G Property,"1 Church Lane, Brighouse, HD6 1AT",29156001,3450,Surgery And Premises,21
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Site Ref H D 0010, Church Lane, Brighouse            HD6 1DL",29156712,8400,Communication Station and Premises,17
,"28 Churchfields Road, Brighouse, HD6 1DH",29164028,2450,Shop and Premises,13
Hutchinson 3G Uk Ltd,"Telecommunication Mast, Site Ref H D 0017, Clough Lane, Rastrick             HD6 3QL",29184706,5100,Communication Station and Premises,17
Johnson Cleaners Uk Ltd,"13 Commercial Street, Brighouse, HD6 1AF",29196013,15250,Shop and Premises,21
,"32/34 Commercial Street, Brighouse, HD6 1AQ",29196032,24750,Shop and Premises,21
London & Scottish Property,"67 Commercial Street, Brighouse, HD6 1AF",29196067,14750,Shop and Premises,21
E.P.I.C Plc,"9 Commercial Street, Brighouse, HD6 1AF",29196702,9100,Shop and Premises,21
Beer And Wine Direct Ltd,"7a Commercial Street, Brighouse, HD6 1AF",29196705,4750,Hairdressing Salon and Premises,21
Santander,"First Floor, 24/26 Commercial Street, Brighouse, HD6 1AQ",29196726,8100,Gym And Premises,21
G Property,"1ST Floor, 96 Commercial Street, Brighouse, HD6 1AQ",29196730,1250,Offices And Premises,13
,"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF",29196732,4450,Offices And Premises,21
Enterprise Inns Plc,"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",29200704,9000,Public House and Premises,3
Thornhill Estates,"Dewsbury Road, Brighouse, HD6 3QB",29228700,880,Cricket Club And Premises,18
Storeplan Ltd,"Unit 3 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",29228702,24250,Warehouse And Premises,12
Brackenridge Hanson Tate Ltd,"Unit 2, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",29232723,12000,Workshop And Premises,12
Younger Homes (Northern) Ltd,"Unit 1, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236759,66000,Warehouse And Premises,21
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,141,Store And Premises,13
York Mill Ltd,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",29272711,110000,Workshop And Premises,12
Birds Royd Property Co Ltd,"Unit 1C Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274705,5700,Offices And Premises,21
Everything Everywhere Ltd,"Telecommunication Mast, Site Ref W Y K 7033, Granny Hall Lane, Brighouse            HD6 2JJ",29276701,2800,Communication Station and Premises,17
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,570,Store,18
Warmco Space Heating Ltd,"Unit 14A, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284722,680,Store,18
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,680,Store,18
Warmco Space Heating Ltd,"Unit 14C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284724,680,Store,18
Warmco Space Heating Ltd,"Unit 15A, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284725,1275,Store,13
Warmco Space Heating Ltd,"Unit 15B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284726,1500,Store,13
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,1500,Store,13
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,1500,Store,13
Warmco Space Heating Ltd,"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284732,1725,Store And Premises,18
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,2400,Store And Premises,18
Warmco Space Heating Ltd,"Unit 11, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284739,385,Store And Premises,13
Warmco Space Heating Ltd,"Unit 13, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284740,990,Store And Premises,13
,"260 Halifax Road, Brighouse, HD6 2QG",29296260,3700,Shop and Premises,21
Trustees Of Blakeboroughs Social And Sports Club (In Liq),"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED",29296714,2025,Bowling Club And Premises,13
,"260A Halifax Road, Brighouse, HD6 2QG",29296723,2950,Shop and Premises,21
Bayford & Co Ltd,"1 Hall Street, Brighouse, HD6 1JY",29302701,12750,Offices and Premises,6
,"85A Highfield Road, Rastrick, Brighouse, HD6 3JA",29328702,2750,Shop And Premises,21
,"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328703,5000,Shop And Premises,21
Binks Vertical Ltd,"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE",29344735,4200,Shop and Premises,21
Bikers Legal Defence Ltd,"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",29344836,51500,Warehouse And Premises,21
Co-Operative Group Ltd,"King Street, Brighouse, HD6 1NX",29372707,2400,Meeting Rooms And Premises,18
The Administrators Of Peacocks Stores Ltd,"23-27 King Street, Brighouse, HD6 1NX",29372710,56500,Shop and Premises,15
The Original Wholesale Liquor Store Ltd,"9-11 King Street, Brighouse, HD6 1NX",29372713,28500,Shop And Premises,21
Keystone Health Care Ltd,"Cooper Bridge Warehouse, Leeds Road, Huddersfield, HD5 0RL",29382700,21250,Offices and Premises,6
E.P.I.C Plc,"9 Market Street, Brighouse, HD6 1AP",29404009,3500,Shop and Premises,21
Woodfield Enterprises Ltd,"Office 3, Part 2ND Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404708,1550,Offices And Premises,6
Woodfield Enterprises Ltd,"Office 2, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404709,2250,Offices And Premises,6
,"2 Martin House, Martin Street, Brighouse, HD6 1DA",29408700,1550,Offices and Premises,18
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,2075,Offices and Premises,18
,"9 Martin House, Martin Street, Brighouse, HD6 1DA",29408707,1825,Offices and Premises,18
,"10 Martin House, 2 Martin Street, Brighouse, HD6 1DA",29408713,1750,Offices And Premises,13
Whittingtons & Sylvester (Pension Fund),"Music 2, 7 Martin Street, Brighouse, HD6 1DA",29408717,2025,Offices And Premises,13
Whittingtons & Sylvester (Pension Fund),"Music 3, 7 Martin Street, Brighouse, HD6 1DA",29408718,2025,Offices And Premises,13
Hutchison 3G Uk Limited,"Spectrasite Transco, Mill Lane, Brighouse, HD6 1PA",29420719,6900,Communication Station and Premises,17
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,450,Store And Premises,18
Warmco Space Heating Ltd,"Unit 203D Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420723,450,Store And Premises,18
Warmco Space Heating Ltd,"Unit 203B Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420724,135,Store And Premises,18
Warmco Space Heating Ltd,"Unit 202 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420725,680,Store And Premises,18
Warmco Space Heating Ltd,"Unit 302 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420726,1600,Warehouse And Premises,18
Warmco Space Heating Ltd,"Unit 301 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420727,1175,Warehouse And Premises,18
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,1025,Office,13
Warmco Space Heating Ltd,"Unit 203A Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420729,930,Store And Premises,18
Warmco Space Heating Ltd,"Unit 101/101A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420731,1775,Offices And Premises,13
Warmco Space Heating Ltd,"Unit 105, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420732,1225,Offices And Premises,13
Warmco Space Heating Ltd,"Unit 3A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420738,1400,Store And Premises,18
Warmco Space Heating Ltd,"77 Mill Lane, Brighouse, HD6 1PN",29420742,1350,Offices And Premises,18
Warmco Space Heating Ltd,"77A Mill Lane, Brighouse, HD6 1PN",29420743,1075,Offices And Premises,18
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,2500,Warehouse And Premises,13
Warmco Space Heating Ltd,"Unit 102, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420750,2550,Offices And Premises,18
Rokt Ltd,"Sugdens Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",29424729,2800,Warehouse And Premises,21
Riding Floors Ltd,"Unit 1, Owler Ings Road, Brighouse, HD6 1EJ",29452711,15500,Warehouse And Premises,21
,"Office 7, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452724,860,Store,18
,"Office 17 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452732,1100,Offices and Premises,18
John Henderson (Uk) Ltd,"Office 16, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452736,1050,Offices and Premises,18
,"Office 20, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452747,1900,Offices and Premises,13
John Henderson (Uk) Ltd,"Office 9, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452762,2125,Offices And Premises,18
The Apple Property Company (Ssas) Ltd,"3 Park Row, Brighouse, HD6 1AB",29456703,7900,Offices And Premises,3
Mela The Venue Ltd,"10 Park Street, Brighouse, HD6 1AD",29460010,23250,Restaurant and Premises,21
Iredale Investments Ltd,"Brighouse Post Office, Park Street, Brighouse, HD6 1AA",29460702,20250,Post Office And Premises,21
,"Unit 2, 27 Rastrick Common, Brighouse, HD6 3DW",29480711,6100,Warehouse And Premises,21
Firth Steels Ltd,"River Street, Brighouse, HD6 1NH",29492710,9800,Land Used For Storage and Premises,21
,"Units 3-5, Caldervale Business Park, River Street, Brighouse            HD6 1LU",29492721,48250,Warehouse And Premises,12
Warmco Space Heating Ltd,"Unit 5, River Street Business Park, River Street, Brighouse            HD6 1LU",29492733,1200,Store &  Premises,18
Warmco Space Heating Ltd,"Unit 8, River Street Business Park, River Street, Brighouse            HD6 1LU",29492735,1550,Store &  Premises,18
Warmco Space Heating Ltd,"Unit 7C, River Street Business Park, River Street, Brighouse            HD6 1LU",29492736,1625,Store &  Premises,18
Warmco Space Heating Ltd,"Unit 6, River Street Business Park, River Street, Brighouse            HD6 1LU",29492737,2500,Store &  Premises,18
Younger Homes (Northern) Ltd,"Stand Lane, Brookfoot, Brighouse, HD6 2RG",29552700,2350,Store And Premises,18
Decopac Ltd [In Liquidation],"Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse, HD6 4AW",29572701,107000,Workshop And Premises,8
Town Hall Dental Ltd,"Room 2, Town Hall, Thornton Square, Brighouse           HD6 1ED",29576705,1925,Offices And Premises,13
,"First Floor Room 2, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",29576710,2475,Offices And Premises,6
,"First Floor Room 1, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",29576711,1925,Offices And Premises,6
Owram Estates Ltd,"Unit 2, Upper Bonegate, Brighouse, HD6 1RT",29592700,8000,Warehouse And Premises,21
Admiral Taverns Ltd,"Robin Hood Inn, 16 Wakefield Road, Brighouse, HD6 1PE",29608716,4400,Public House and Premises,21
Hurst Group Northern Ltd,"Capital Works, 12-14 Wakefield Road, Brighouse, HD6 1PE",29608755,38000,Factory and Premises,21
R A Technology Ltd,"Ground Floor Wing, Wakefield House, 84 Wakefield Road, Brighouse            HD6 1QL",29608761,5900,Offices and Premises,21
Tosca North East Ltd,"3/5/7 Wellington Arcade, Briggate, Brighouse, HD6 1DN",29624701,26000,Shop and Premises,21
Nos 4 Limited,"20 West Park Street, Brighouse, HD6 1DU",29628700,3300,Shop and Premises,21
Nos 4 Limited,"West Park Street, Brighouse, HD6 1DU",29628701,6400,Shop and Premises,21
E.P.I.C Plc,"(Former Ling Leisure), West Park Street, Brighouse, HD6 1DU",29628702,11750,Shop and Premises,21
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,2275,Store And Premises,18
Binks Executive Homes Ltd,"First Floor, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636703,2650,Factory And Premises,21
Binks Executive Homes Ltd,"First Floor, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636708,1300,Factory And Premises,13
Binks Executive Homes Ltd,"First Floor, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636709,1725,Store And Premises,13
,"Unit 5 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",29636718,1600,Offices And Premises,18
Cellar 28 Ltd,"Ground Floor Office, Cellar 28, William Street, Brighouse            HD6 1HR",29644028,1200,Office,18
Warmco Space Heating Ltd,"Part Ground & First Floors, Wilkin Royd Mills, Mill Lane, Brighouse           HD6 1PN",29648707,1450,Store And Premises,13
Warmco Space Heating Ltd,"Part Ground Floor, Wilkin Royd Mill, Wood Street, Brighouse           HD6 1PW",29648709,960,Store And Premises,13
S H Containers Ltd,"First Floor Unit 3, The Works, Wood Street, Brighouse            HD6 1PW",29648712,2450,Store And Premises,18
Towngate Plc,"Part Ground Floor, Park View House, Woodvale Road, Brighouse            HD6 4AB",29656736,4300,Store And Premises,21
,"Units 1 & 2 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",29656752,58500,Workshop And Premises,12
Everything Everywhere Ltd,"Telecommunication Mast, Site Ref 7040, 1 Shannon Road, Brighouse            HD6 3LF",29668001,2800,Communication Station and Premises,17
C P Group Of Companies Ltd,"British Ceramic Tile, George Street, Brighouse, HD6 1PU",29673707,57500,Workshop And Premises,21
,"Unit 4B, Catherine Street, Elland, HX5 0EZ",56032709,3200,Car Sales Site and Premises,21
,"Unit 1B, 32 Charles Street, Elland, HX5 0NF",56040710,2450,Warehouse And Premises,13
,"Unit 2, 32 Charles Street, Elland, HX5 0NF",56040711,1900,Store And Premises,13
,"3 Coronation Street, Elland, HX5 0DF",56052003,2250,Offices and Premises,18
,"Unit D, Old Fire Station Buildings, Elizabeth Street, Elland              HX5 0LD",56076711,1675,Workshop And Premises,18
,"Elland Lane, Elland, HX5 9DU",56084704,7300,Workshop And Premises,21
Lockside Estates Ltd,"The Wharf, Gas Works Lane, Elland, HX5 9HH",56104704,3400,Mooring And Premises,17
Reactiv Media Limited,"The Warehouse, Elland Wharf, Gas Works Lane, Elland               HX5 9HH",56104710,46000,Offices And Premises,6
,"Gordon Street, Elland, HX5 0AG",56112700,1750,Garage And Premises,13
,"78 Huddersfield Road, Elland, HX5 9AA",56132078,2700,Shop and Premises,21
,"Unit 5, Fordsall House, Huddersfield Road, Elland              HX5 9DW",56132751,3500,Stores And Premises,3
E.T.E Fordsall House Ltd,"Unit 7, Fordsall House, Huddersfield Road, Elland              HX5 9DW",56132752,2250,Offices and Premises,13
Elland Tyre & Exhaust Services Ltd,"Unit 9, Fordsall House, Huddersfield Road, Elland              HX5 9DW",56132754,870,Store And Premises,13
Mmd No.5 Trust,"Town Hall Hotel, 52 Huddersfield Road, Elland, HX5 9AH",56132761,1,Public House and Premises,13
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132763,10250,Workshop And Premises,21
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132764,3150,Workshop And Premises,21
Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA",56132765,1475,Store And Premises,13
Rosemount Stockyard Ltd,"The Old Stockyard, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",56132814,13750,Land Used For Storage and Premises,17
B W Sipp Trustees Limited,"Yard 1 & 2 Rosemount Estate, Huddersfield Road, Elland, HX5 9DW",56132815,9900,Land Used For Storage,17
B W Sipp Trustees Limited,"Central Unit 2, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",56132834,13750,Warehouse And Premises,12
Everything Everywhere Ltd,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",56132836,2800,Communication Station and Premises,17
,"Unit 12 The Ainleys, Huddersfield Road, Elland, HX5 9JP",56132841,2325,Store And Premises,18
Elland Rifle & Pistol Club,"Rear Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",56132864,11000,Warehouse And Premises,21
Exors Of Mr R Naylor,"Hullen Edge Hall, Hullen Edge Lane, Elland, HX5 0QS",56136700,5800,Warehouse And Premises,2
Viewstone Ltd,"Part James Street Mills, James Street, Elland, HX5 0HB",56144728,5000,Store And Premises,21
Viewstone Ltd,"Unit 1A & Unit 1B 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",56144733,4600,Warehouse And Premises,12
Legal & General Assn [Pens Mgmt] Ltd,"Unit A1, Old Power Way, Lowfields Business Park, Elland              HX5 9DE",56174700,49750,Offices and Premises,21
Ability Matters Group Limited,"Unit G7 Navigation Close, Lowfields Business Park, Elland, HX5 9HB",56174743,42750,Workshop And Premises,21
National Trust For Scotland,"Part First Floor, Unit H6 Premier Way, Lowfields Business Park, Elland               HX5 9HF",56174776,30000,Offices and Premises,21
Threadneedle Uk Property Trust,"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",56174780,500000,Warehouse And Premises,21
Royds Properties Ltd,"Ground Floor Unit B8, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",56174802,25250,Offices And Premises,21
B W Sipp Trustees Limited,"Newcombe House, Newcombe Street, Elland, HX5 0EG",56176743,16250,Offices And Premises,21
Joseph Dobson & Sons Ltd,"22/24 Northgate, Elland, HX5 0RU",56180024,7600,Offices and Premises,21
Joseph Dobson & Sons Ltd,"32 Northgate, Elland, HX5 0RU",56180032,6200,Offices and Premises,21
,"Old Coach House, Oak Street, Elland, HX5 0JJ",56184701,3500,Workshop And Premises,21
Benjamin Whiteley & Sons Ltd,"Part Ground Floor Front, Multi Storey Park Road Mills, Park Road, Elland               HX5 9HX",56192735,980,Warehouse,13
Benjamin Whiteley & Sons Ltd,"1ST, 2ND & 2RD Floors, Park Road Mills, Park Road, Elland               HX5 9HX",56192766,10500,Workshop And Premises,21
Benjamin Whiteley & Sons Ltd,"Former Messroom, Park Road Mills, Park Road, Elland               HX5 9HX",56192767,1025,Store,13
Benjamin Whiteley & Sons Ltd,"Adj Mechanics Workshop, Park Road Mills, Park Road, Elland               HX5 9HX",56192769,2300,Warehouse,13
