Property Address,RATEPAYER,RV,LIABILITY_START
"Unit 21a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,1525,01/05/2016
"Atm Site Victoria Mill, Stainland Road, Greetland, Halifax              HX4 8AD",Tesco Personal Finance Ltd,8300,01/09/2016
"Conference Hall (Grnd Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,29500,01/04/2015
"Seminar Rooms (1ST Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,31500,01/04/2015
"Committee Room (1ST Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,2250,01/04/2015
"The Chambers (1ST Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,4500,01/04/2015
"Unit 36 (Workshop 2ND Flr), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Calderdale Mbc Neighbourhood And Community Engagement Team,760,01/04/2015
"Clerk's Office (1ST Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Calderdale Mbc Neighbourhood And Community Engagement Team,1000,01/04/2015
"Council Office (1ST Floor), The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Calderdale Mbc Neighbourhood And Community Engagement Team,2125,01/04/2015
"27a Union Street, Halifax, HX1 1PR",,7800,28/03/2017
"Unit 10, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Brookfoot Printing Ltd,41000,01/04/2017
"Heavenly Harvest, Leeds Road, Hipperholme, Halifax              HX3 8ND",,2400,01/03/2017
"Peacock Wine Bar, 46 Cote Hill, Burnley Road, Halifax              HX2 7LZ",,5000,01/04/2017
"School House, 56 Hopwood Lane, Halifax, HX1 5ER",Harris Peel (Developments) Ltd,44750,07/02/2017
"Room 4 (Ground Floor), 3 Clare Road, Halifax, HX1 2HX",Albanyview Limited,1625,01/04/2015
"Basement, 3 Clare Road, Halifax, HX1 2HX",Albanyview Limited,3050,01/04/2015
"Room 2 (Ground Floor), 3 Clare Road, Halifax, HX1 2HX",Albanyview Limited,2800,01/04/2015
"8 Commercial Street, Halifax, HX1 1TA",Halo & Baines Ltd,11750,01/04/2016
"Unit 6B1, Topland Country Bus. Pk, Cragg Road, Hebden Bridge        HX7 5RU",,1400,01/12/2016
"Office 3 & 4, Britannia Works, Garden Street North, Halifax              HX3 6AE",S L Group Ltd,3500,01/08/2016
"Unit 1, Ripponden Mill, Mill Fold Lane, Ripponden            HX6 4DH",Time Out Childrens Homes Ltd,11250,01/10/2016
"22/24 Carr House Road, Shelf, Halifax, HX3 7QY",,6800,01/03/2017
"Telecommunications Mast, Ref WYK0289 Rear Car Auction, Armytage Road, Brighouse            HD6 1XE",Everything Everywhere Ltd,12250,10/01/2017
"Suite 1 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ",Harley House Ripponden Ltd.,2500,24/12/2016
"First Floor, 41A Crown Street, Halifax, HX1 1JB",Mayfair House Associates Ltd,9100,20/03/2017
"Unit 12 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",C2 (General Partner Two) Lp,15750,01/12/2016
"Suite 1 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Discovering Life Ltd,2750,01/02/2017
"Suite 10 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",All My Systems Ltd,2400,13/02/2017
"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Desire Wealth Management Ltd,2400,01/01/2017
"Unit 9A Craggs Country B/Prk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Craggs Country Business Park Llp,3350,01/01/2017
"38 Gooder Lane, Brighouse, HD6 1HT",,2600,01/03/2017
"Unit 1A Turkey Lodge, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Little Valley Brewery Ltd,7800,01/04/2017
"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8SW",Clay Developments Ltd,1650,01/05/2017
"Unit 7, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 7BZ",,8100,01/05/2017
"""Unofficial"" Front Office, 3A Wards End, Halifax, HX1 1DD",,3250,01/04/2017
"(Unofficial Address), The Market Tavern, Ship Street, Brighouse            HD6 1JX",,24000,24/02/2016
"1 Old Market, Halifax, HX1 1TN",,23500,08/04/2017
"Ground Floor, 58/60 Southgate, Elland, HX5 0DQ",,9000,01/05/2017
"Unit 6B 1ST Floor, Pellon Industrial Estate, Queens Road, Halifax              HX1 4PS",,10500,06/04/2016
"Unit 14 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",John Winter & Co Ltd,5600,01/03/2017
"Garage 2, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",Clay Construction (Huddersfield) Ltd,1975,28/04/2017
"Office 3 First Floor, Linden Works, Linden Road, Hebden Bridge        HX7 7DP",,1225,01/01/2017
"Units 9-10 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",,9100,02/05/2017
"Unit 7, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,2150,01/11/2016
"36 Rochdale Road, Todmorden, OL14 7LD",North West Community Services Ltd,4600,18/03/2017
"Ground Floor Fielden House, 41 Rochdale Road, Todmorden, OL14 6LD",Robinwood Activity Centre Ltd,7500,17/03/2017
"Car Park, Adj Leggetts, Union Street South, Halifax              HX1 2LF",,8000,01/04/2017
"Unit 2, 25 Square Road, Halifax, HX1 1QG",Babyballet Halifax Ltd,13500,01/04/2017
"Second Floor, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",Butterworth Properties Ltd,1725,01/01/2017
"Car Parking Space No 2, John Street, Halifax, HX1 1YA",The Trustees Of B E Holmes Settlement Trust,600,04/08/2016
"Cab Part 1ST Floor, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",Calderdale Mbc Leisure Services,4400,01/05/2017
"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",,1875,02/05/2015
"Market Stall 59-60, Market Hall, Borough Market, Halifax             HX1 1DZ",Calderdale Mbc Markets Manager,4650,02/03/2017
"Office Second Floor & Store, The Old Woolcombers Mill, 12/14 Union Street South, Halifax              HX1 2LE",,7800,01/01/2017
"Unit A1A/A1B, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",Total Biomass Solutions Ltd,4000,07/01/2017
"Half Way House Inn, 39 Moor End Road, Halifax, HX2 0HF",,11000,27/03/2017
"26 Southgate, Halifax, HX1 1DL",All In 22 Ltd,17500,06/03/2017
"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",,13750,10/03/2017
"Part Units 4/5, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",Stercap Ltd,5300,31/03/2017
"Unit 1 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",,3400,15/04/2017
"1 Barum Top, Halifax, HX1 1NL",,7900,21/04/2017
"A T M, Calderdale Royal Hospital, Dryclough Lane, Halifax              HX3 0PE",Cardtronics Uk Ltd,8300,21/02/2017
"23 Ovenden Road, Halifax, HX3 5PN",,2750,27/04/2017
"10 Blackwall, Halifax, HX1 2BE",,11500,08/04/2017
"The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX",Polyfinity Limited,9400,01/03/2017
"Unit 2a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,445,01/05/2016
"Unit 4 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HG",,1050,14/06/2016
"62 Southgate, Elland, HX5 0PS",,3550,01/04/2017
"Unit 2 White Lee Garage, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5QL",,3600,01/04/2017
"Garage, Vale Street, Todmorden, OL14 5HG",Ideal Boats Company Ltd,4100,01/04/2017
"Frostholme Mill, Burnley Road, Todmorden, OL14 7EE",Glebe Furniture Trading Ltd,99500,21/03/2017
"S/0 752 Burnley Road, Todmorden, OL14 8LF",Glebe Furniture Trading Ltd,5500,21/03/2017
"Office H M 2.11, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,7400,01/04/2017
"1 King Street, Halifax, HX1 1SR",Ferndale Farm Ventures Ltd,16000,26/08/2016
"18 Crown Street, Halifax, HX1 1TT",Asoz Ltd,9100,21/02/2017
"17 Bull Green, Halifax, HX1 2RZ",,7000,16/01/2017
"Hollins Mill, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",Stoneywood Ltd,51500,01/05/2017
"168 King Cross Road, Halifax, HX1 3LN",Hua Hin Leisure Ltd,3000,13/01/2017
"25 Horton Street, Halifax, HX1 1QE",,8700,01/03/2017
"Spring Street, Brighouse, HD6 1BE",Norwood Interiors (Brighouse) Ltd,43500,17/02/2017
"Friendly Inn, 39 Ovenden Road, Halifax, HX3 5QG",Turnaround R Us Ltd,5500,12/04/2017
"6 Borough Market, Halifax, HX1 1DY",,4300,03/03/2017
"Unit 7 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",Big Tin Shed Ltd,10000,01/04/2017
"163 King Cross Road, Halifax, HX1 3LN",,21750,01/05/2017
"Fallingroyd House, Falling Royd, Mytholmroyd, Hebden Bridge        HX7 8NT",,2400,01/04/2017
"42 Bradford Road, Brighouse, HD6 1RY",Trustees Of Blakeboroughs Social And Sports Club (In Liq),9300,09/03/2017
"Stall 25 Market Hall, Brook Street, Todmorden, OL14 5AJ",Calderdale Mbc Markets Manager,1625,01/07/2016
"Storeroom 12 Market Hall, Brook Street, Todmorden, OL14 5AJ",Calderdale Mbc Markets Manager,151,01/07/2016
"2ND Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",Royd Developments Ltd,8700,30/06/2012
"King Cross Road, Halifax, HX1 3JL",,16750,17/11/2016
"Ground Floor, Britannia Buildings, Briggate, Elland               HX5 9DP",P P D Computing Ltd,5100,01/09/2016
"Bankfield Works, Haley Hill, Halifax, HX3 6ED",John Crossley & Sons Ltd,31500,01/04/2017
"Unit 4B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,2450,01/04/2017
"Adj 23B Bull Close Lane, Halifax, HX1 2EF",Courier House Limited,4000,14/06/2016
"Ground Floor Unit 21, Phoebe Lane Industrial Est, Phoebe Lane, Halifax              HX3 9EX",M & V Conservatory Roof Solutions Limited,2100,03/02/2017
"Office 38 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Igadgets Ltd,1500,04/11/2016
"Office 32 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,3800,01/08/2016
"Office 39 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,1600,01/01/2017
"Office 8 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,4000,01/01/2017
"Office 24 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Interserve Healthcare Ltd,5600,01/04/2016
"Quarry House, Burnley Road, Sowerby Bridge, HX6 2TF",A J Bell Trustees Ltd,10250,21/04/2017
"New Works, Burnley Road, Sowerby Bridge, HX6 2TF",A J Bell Trustees Ltd,43250,21/04/2017
"Oldham Road, Ripponden, Sowerby Bridge, HX6 4EB",,9400,27/03/2017
"Brassierie At The Bull, 5 Bull Green, Halifax, HX1 5AB",The Malthouse At Rishworth Ltd,30750,20/12/2016
"(Unofficial Address), Unit 29 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,930,01/03/2017
"Office 1, 11 Owler Ings Road, Brighouse, HD6 1EJ",,900,02/03/2017
"Office 3, 11 Owler Ings Road, Brighouse, HD6 1EJ",Harrington Family Law Ltd,2250,01/03/2017
"Office 22, 11 Owler Ings Road, Brighouse, HD6 1EJ",,2125,01/03/2017
"Unit 4 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",Elementary Digital Ltd,3850,01/02/2017
"Unit 9E, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Thornber Chicks Ltd,3600,01/04/2017
"Unit 9D, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",,3600,01/02/2017
"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Ulearn Education Ltd,3650,08/05/2017
"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",Camcare Health Ltd,6300,09/01/2017
"Office 37 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,1525,01/01/2017
"3 Park Row, Brighouse, HD6 1AB",,8800,16/02/2016
"Unit 11C, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Sand In Your Eye Ltd,6800,13/02/2017
"1ST & 2ND Flr  Rosemount Hse, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Rosemount Partnership,58500,11/05/2017
"3RD Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",Credit Resource Solutions Ltd,139000,10/04/2017
"Unit 6 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",Craig Middleton Ltd,3850,26/09/2016
"Unit 8 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS",,3150,26/09/2016
"Unit 10, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Trade Tiling Ltd,10750,22/03/2017
"Unit 2C, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",,8800,01/05/2017
"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,7400,14/03/2017
"19 King Cross Street, Halifax, HX1 2SH",Tyler Hoffman Ltd,5700,01/01/2017
"The Works, 12 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",Denali Hospitality Ltd,57000,01/04/2017
"238A Queens Road, Halifax, HX1 3NS",,6600,03/05/2015
"238B Queens Road, Halifax, HX1 3NS",,9000,03/05/2015
"117 Boothtown Road, Halifax, HX3 6PD",,8000,07/04/2017
"145 Queens Road, Halifax, HX1 4LN",Calderdale British Muslim Association,4050,01/04/2015
"Rock Inn, Holywell Green, Halifax, HX4 9BS",,38000,23/05/2017
"Elmfield House, 50/52 Prescott Street, Halifax, HX1 2QW",Actually Marketing Limited,32250,05/05/2017
"Bay 4 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",Dean Smith And Grace Lathes Limited,13250,01/11/2016
"Office Suite E 113, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,4550,13/01/2017
"Units 6-7 Hoo Hole Mill, Cragg Road, Mytholmroyd, Hebden Bridge        HX7 5JT",Hoo Hole Limited,8300,21/12/2016
"Unit 4G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,32000,11/04/2017
"Unit 16I & Unit 16J, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",Bizspace Ltd,6000,11/04/2017
"172 King Cross Road, Halifax, HX1 3LN",Bespoke Credit Hire Ltd,3000,21/03/2016
"Unit 7 Brookfoot Business Pk, Elland Road, Brighouse, HD6 2SD",Forget Me Not Childrens Hospice,8000,20/03/2017
"Rear 296 Queens Road, Halifax, HX1 4NS",,3200,01/04/2017
"2ND Floor, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",Clay Construction (Huddersfield) Ltd,1725,08/04/2017
"Unit J6 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA",One Fortress Ltd,477500,29/04/2017
"5,7 & 9 Water Street, Todmorden, OL14 5AB",,9700,29/03/2017
"Adj 158 Ovenden Road, Halifax, HX3 5QG",Halifax Stones Sales Limited,11250,15/05/2017
"Off 6 2ND Flr W Grove Mill, The E W Innovtion Ctr, Hopwood Lane, Halifax              HX1 5ER",Simply Paving Ltd,1500,01/04/2017
"The Barge, 37 Mill Lane, Brighouse, HD6 1PA",Pint Pot Limited,27750,03/01/2017
"Unit 2 Asquith Bottom Works, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,1900,02/08/2016
"Market Stall 104-107, Market Hall, Borough Market, Halifax             HX1 1DZ",Calderdale Mbc Markets Manager,5300,14/09/2016
"79 Catherine Street, Elland, HX5 0JB",,2950,25/04/2017
"Norwood Green Mill, Station Road, Norwood Green, Halifax             HX3 8QD",,24000,01/11/2016
"Shoulder Of Mutton Inn, New Road, Mytholmroyd, Hebden Bridge       HX7 5DZ",,18750,09/05/2017
"Hillcrest House, Brow Mills Industrial Estate, Brighouse Road, Hipperholme",Quantum Exhibitions Ltd,26500,01/04/2017
"Unit 21b, Hebble End, Hebden Bridge, HX7 6HJ",,1150,01/04/2017
"First Floor, 33 Stainland Road, Greetland, Halifax              HX4 8AD",,260,03/10/2016
"14 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",,2850,20/04/2017
"Unit 12J, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,1850,14/11/2016
"Area Adj Units 12C-12J, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,2650,14/11/2016
"Unit 12F, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,1800,14/11/2016
"Unit 12I, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,1725,14/11/2016
"Unit 12G, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,1625,14/11/2016
"Unit 12H, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,1750,14/11/2016
"Unit 11, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU",Halifax Autocars Ltd,13250,02/01/2017
"Unit 3, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU",Kd Glass Ltd,2750,01/12/2016
"Unit 7 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",The Barkyard Ltd,1125,01/04/2017
"Unit 8 Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",The Barkyard Ltd,7000,01/04/2017
"Chatties, Mytholm Bank, Mytholm, Hebden Bridge        HX7 6DL",,2000,01/12/2016
"5TH Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax, HX3 6UP",Royal & Sun Alliance,141000,01/04/2015
"4TH Floor, Bowllng Dyke Mill, Dean Clough Industrial Park, Halifax, HX3 6UP",Royal & Sun Alliance,139000,01/04/2015
"6TH Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax, HX3 6UP",Royal & Sun Alliance,118000,01/04/2015
"Unit 2, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",,1300,22/04/2017
"1ST Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax, HX3 6UP",Royal & Sun Alliance,134000,01/04/2015
"Meeting Room, Ground Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 6UP",Royal & Sun Alliance,5300,01/04/2015
"2ND Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax, HX3 6UP",Royal & Sun Alliance,137000,01/04/2015
"Interview Room, Ground Floor, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 6UP",Royal & Sun Alliance,4050,01/04/2015
"Unit 7, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",Raised Access Floor Installations Ltd,2800,01/04/2017
"1ST & 2ND Floor, & Roof Terrace, 8 Bull Green, Halifax              HX1 5AB",Ko Ko's Bar Ltd,12750,05/04/2017
"Bar Zaouche, 7A Lord Street, Halifax, HX1 5AE",,8500,01/08/2016
"7B Lord Street, Halifax, HX1 5AE",,9100,01/12/2016
"7C Lord Street, Halifax, HX1 5AE",,6600,01/06/2016
"Lee Holme, Lee Mill Lane, Hebden Bridge, HX7 7AE",Midgehole W.M.C,1650,05/04/2017
"Office F1 Shaw Lodge, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",Konnect Recruitment Ltd,2650,09/01/2017
"Caldervale Mill, Pudsey Road, Todmorden, OL14 8NJ",Calder Wood Joinery Ltd,7500,01/04/2017
"Unit 2D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",Drew Forsyth & Co,560,08/04/2017
"36 Hanson Lane, Halifax, HX1 5NX",,8000,01/01/2017
"Unit G420, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,8700,17/02/2017
"Store Adj Stairs 1ST Flr, 7C Lord Street, Halifax, HX1 5AE",,275,01/06/2016
"Store Adj Toilets 1ST Flr, 7A Lord Street, Halifax, HX1 5AE",,355,01/06/2016
