Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,28/09/2017,Childcare Vouchers - Aug 17,Human Resources,FIDELITI LIMITED,563458,"34,140.82"
Department of Health,The Christie NHS Foundation Trust,21/09/2017,Medical Equipment,18 Capital,GE MEDICAL SYSTEMS LTD,561891,"59,576.40"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,Receiption Development,18 Capital,H JENKINSON&CO LTD,561957,"112,863.23"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,IT Equipment,06 Finance & Business Development,HP INC.UK LIMITED,561547,"33,393.72"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,IT Equipment,18 Capital,INSIGHT DIRECT (UK) LTD,563167,"717,851.39"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Proton Beam Development (PBT),18 Capital,INTERSERVE CONSTRUCTION LTD,563436,"2,235,603.89"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,IPU Development,18 Capital,INTERSERVE CONSTRUCTION LTD,563599,"618,637.08"
Department of Health,The Christie NHS Foundation Trust,06/09/2017,Service Contract,01 Cancer Centre Services,INTUITIVE SURGICAL SARL,560552,"130,000.00"
Department of Health,The Christie NHS Foundation Trust,06/09/2017,Service Contract,01 Cancer Centre Services,INTUITIVE SURGICAL SARL,560553,"130,000.00"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Rates 17/18,08 Estates & Facilities,M/CR CITY COUNCIL (RATES) DD,563236,"71,296.00"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Drugs,011 Drugs,MID CHESHIRE HOSPITALS NHS FT,560255,"86,919.05"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,Drugs,011 Drugs,MID CHESHIRE HOSPITALS NHS FT,561126,"71,115.10"
Department of Health,The Christie NHS Foundation Trust,15/09/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,563237,"178,854.08"
Department of Health,The Christie NHS Foundation Trust,15/09/2017,NHS Litigation (NHSLA),06 Finance & Business Development,NHS LITIGATION AUTHORITY,563238,"73,421.70"
Department of Health,The Christie NHS Foundation Trust,21/09/2017,Stock for all Wards & Departments,All Wards & Departments,NHS SUPPLY CHAIN,562707,"34,953.26"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,Stock for all Wards & Departments,All Wards & Departments,NHS SUPPLY CHAIN,561982,"35,180.87"
Department of Health,The Christie NHS Foundation Trust,21/09/2017,Project Costs,02 Cancer Networked Services,PHILIPS HEALTHCARE,562340,"42,867.94"
Department of Health,The Christie NHS Foundation Trust,07/09/2017,Audit Services,06 Finance & Business Development,ROYAL LIVERPOOL & BROADGREEN NHS TRUST,560214,"25,956.75"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,Cancer Vanguard,21 GM Cancer Vanguard,UNI HOSP OF SOUTH MANCHESTER NHS FT,561804,"27,160.00"
Department of Health,The Christie NHS Foundation Trust,28/09/2017,Proton Beam Development (PBT),18 Capital,VARIAN MEDICAL SYSTEMS UK LTD,562031,"10,161,139.20"
Department of Health,The Christie NHS Foundation Trust,14/09/2017,Water Jun-Jul 17,08 Estates & Facilities,WATER PLUS,558963,"28,072.26"
Department of Health,The Christie NHS Foundation Trust,27/09/2017,Christie @ Wigan - Ground Rent & Rates Charges,14 Christie Medical Physics,WRIGHTINGTON WIGAN AND LEIGH NHS FT,562819,"93,000.00"
