OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SC/I053253,Furniture Items as per e-mail,ADULT SOCIAL CARE,,,06/03/2015,,,,,"6,076.80",,SOLK FURNITURE LTD Brandon Street Armley Road LEEDS LS12 2ED,,c) Small,,Philippa Elliott,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,3888,Account No LCC59 Mixed Municipal,STRATEGIC LANDLORD,106-HRA Responsive Repairs,,13/03/2015,,,,,"5,007.72",,Skelton Skip Hire And Waste Site 46 Knowsthorpe Way Cross Green Industrial Estate LEEDS LS9 0SW,,b) Micro,,Stephen Holmes,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2085,Waste and Trade Sweepings,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,19/03/2015,,,,,"6,990.40",,SJB Recycling Limited Mount View Standard Way NORTHALLERTON DL6 2YD,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1402383,Medical Provision & Fire Inspections - Christmas Market,CITY DEVELOPMENT,277-Bought In Professional Services,,27/03/2015,,,,,"5,280.50",,Site Rescue Jubilee House Church Street Morley LEEDS LS27 9JQ,,Other/Not known,,Craig Shackleton,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,457605,"Rebranded Bodyline water bottle a
carraige & packing",CITY DEVELOPMENT,204-Resaleable Materials,,13/03/2015,,,,,"10,025.00",,SDL Group Ltd Britannia Centre Bentley Wood Way Network 65 Business Park BURNLEY LANCASHIRE BB11 5ST,,d) Medium,,Michael Clayson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,4820,Supply & install 6m slimline cameras,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,27/03/2015,,,,,"6,339.31",,SCD GROUP LIMITED Norton House Peckfield Business Park Phoenix Ave LEEDS LS25 4DY,,d) Medium,,Mark Jefford,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,626515,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,13/03/2015,,,,,"5,989.65",,Rullion IT Plus Limited Po Box 47 Trafalgar House ALTRINCHAM  CHESHIRE WA14 1FG,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,18555,Payment for the Royal Liverpool Philharmonic - Leeds Town Hall,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,27/03/2015,,,,,"25,000.00",,ROYAL LIVERPOOL PHILHARMONIC Philharmonic Hall Hope Street LIVERPOOL L1 9BP,,a) Individual,,Matthew Sims,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5555,Leeds Sports Awards,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,25/03/2015,,,,,"7,969.93",,ROYAL ARMOURIES (INTERNATIONAL) PLC Armouries Drive NULL LEEDS LS10 1LT,,d) Medium,,Ian Waller,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SIMI073614,Foster Care,CHILDRENS SERVICES,507-General External Residential Placements,,06/03/2015,,,,,"11,900.00",,Rosedale Childrens Services Ltd 6th Floor Metropolitan House 3 Darkes Lane POTTERS BAR EN6 1AG,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,COMM. CARE 001270,Residential Care,JCS FOR PEOPLE WITH LEARNING DISABILITIE,580-Residential,,11/03/2015,,,,,"6,649.20",,Robina Care (The Denes) 25 Circus Mews Carriage Court BATH HA1 2PW,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,231806,Firebox Sealent,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,30/03/2015,,,,,"20,156.40",,RITHERDON & CO LIMITED Lorne Street NULL DARWEN LANCASHIRE BB3 1QW,,c) Small,,Mandy Grace,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,14849,Metal Fencing and Gates,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,20/03/2015,,,,,"5,366.66",,RDF BUILDING SERVICES LTD 7 Wortley Moor Road NULL LEEDS LS12 4JF,,c) Small,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,6117703,Shelving,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,13/03/2015,,,,,"11,125.00",,RACKLINE LTD Oaktree Lane Talke NEWCASTLE-UNDER-LYME    STAFFS ST7 1RX,,d) Medium,,Jacqueline Keane,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,INV4514,Annual renewal of Care & Health,ADULT SOCIAL CARE,214-Computer Software & Equipment,,04/03/2015,,,,,"55,000.00",,Purchasing Index (UK) Ltd 150 Buckingham Palace Road NULL LONDON SW1W 9TR,,b) Micro,,Lisa Cook,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,LCC-1502-01,Citizen Driven Health Project - Smart Cities,CENTRAL & CORPORATE,214-Computer Software & Equipment,,18/03/2015,,,,,"60,000.00",,Pumpco Ltd Langley Gate Swindon Road KINGTON LANGLEY SN15 5SE,,Other/Not known,,Ian Jones,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,APC25022015,Decorating at Moor Haven Court,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,27/03/2015,,,,,"5,345.00",,PROCTORS DECORATORS GLENGARRY  LOW MOOR SIDE New Farnley LEEDS LS12 5EA,,b) Micro,,Graham Ollerenshaw,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,14-017,Support with development,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,30/03/2015,,,,,"5,230.74",,Podium Projects UK Ltd Glenavon  Worksop Road Aston SHEFFIELD S26 2EB,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,81308,Legal Fees,CENTRAL & CORPORATE,241-Clothing & Uniforms,,31/03/2015,,,,,"12,000.00",,PHOENIX UNIFORM COMPANY 64a Roseville Road Leeds WEST YORKSHIRE LS8 5DR,,Other/Not known,,Dylan Owen,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,51/2014,Production of the 2014/15 pantomime at the Carriageworks,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,13/03/2015,,,,,"81,856.97",,Paul Holman Associates Morrit House 58 Station Approach South Ruislip MIDDLESEX HA4 6SA,,b) Micro,,Edwige Moutault,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,3637,Carry out RAWS works as specified,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,10/03/2015,,,,,"9,519.39",,Parkers Landscapes & Construction Ltd 20 Burley Road Menston ILKLEY  WEST YORKSHI LS29 6PG,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,55547,Quant 1 Single Black Bow Top Gate,ENVIRONMENT & HOUSING,205-Operational Materials,,04/03/2015,,,,,"5,251.20",,PARAMOUNT STEEL FENCE Florida Close Hot Lane Industrial Estate BURSLEM  STOKE ON TRENT ST6 2DJ,,d) Medium,,Edwige Moultault,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1156773,Maintenance at Little London Children's Centre,CHILDRENS SERVICES,203-Operational Furniture And Equipment,,06/03/2015,,,,,"5,767.28",,OTIS LIMITED Treasury Dept 5 Corporation Road NULL LEICESTER LE4 5PW,,e) Large,,Paul Jackson,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5721,Payment for the Orchestra - Viennese Concert,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,12/03/2015,,,,,"7,000.00",,Opera North Ltd Grand Theatre & Opera House 46 New Briggate LEEDS LS1 6NU,,d) Medium,,Alison Stockwell,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1265,Bar Refurbishment,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,16/03/2015,,,,,"13,062.34",,NU Construction Ltd Unit A5 Old Power Way Lowfields Business Park ELLAND HX5 9DE,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,90012040,New GAS  supply to various properties,ENVIRONMENT & HOUSING,,,27/03/2015,,,,,"19,670.19",,NORTHERN GAS NETWORKS LTD Finance-Transactions Team (2nd Floor) 1100 Century Way Thorpe Pk Bus Pk COLTON LEEDS LS15 8TU,,e) Large,,Adam Crampton,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,7015600314,LIIP Project,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,25/03/2015,,,,,"5,591.00",,NHS LEEDS SOUTH AND EAST CCG 03g Receivables L539 Shared Busi Service Phoenix House Topcliffe Lane WAKEFIELD WF3 1WE,,Other/Not known,,Phil Slavin,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5691,Conversion of bike store,LINEHAM FARM,101-Maintenance Of Buildings,,05/03/2015,,,,,"6,360.00",,NCO Installations 2 Horbury Basin Bridge Road WAKEFIELD WF4 5PT,,Other/Not known,,Penny Lowe,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SI1008502,CD Package for Leisure Centre,CITY DEVELOPMENT,266-Licences,,06/03/2015,,,,,"22,520.00",,MUSIC FACTORY ENT GROUP LTD Hawthorne House Fitzwilliam Street PARKGATE ROTHERHAM S62 6EP,,d) Medium,,Richard Jones,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,COMM. CARE 001270,Residential Care,ADULT SOCIAL CARE,580-Residential,,11/03/2015,,,,,"6,482.36",,Moorville Residential 24 Ryegate Road NULL SHEFFIELD S10 5FA,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,11268141ITE,ICT Agency Fees,CENTRAL & CORPORATE,8-Agency Staff,,30/03/2015,,,,,"9,000.00",,MODIS INTERNATIONAL LTD Unit 3010 The Pavillions The Crescent  Solihull Park Way BIRMINGHAM B37 7YE,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,PATHFINDER -OCT 14,Fee for professional contributions.,CHILDRENS SERVICES,277-Bought In Professional Services,,04/03/2015,,,,,"6,000.00",,Mel Ainscow 31 Appleby Lodge Wilmslow Road MANCHESTER M14 6HQ,,b) Micro,,Grace Knight,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,N1566700/44863/LBR,Insurance Policy,CITY DEV ADMINISTERED ACCOUNTS (NON LCC),218-Miscellaneous Insurances,,12/03/2015,,,,,"7,950.00",,Lockton Companies LLP 4th Floor Higham House New Bridge Street West NEWCASTLE UPON TYNE NE1 8AN,,b) Micro,,Michelle Anderson,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,COMM. CARE 001270,Residential Care,ADULT SOCIAL CARE,583-Residential - Drugs & Alcohol,,11/03/2015,,,,,"5,778.71",,LITTLEDALE HALL Littledale NULL LANCASTER LANCASHIRE LA2 9EY,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2185,Adoption Link - 12 Month Full License,CHILDRENS SERVICES,214-Computer Software & Equipment,,27/03/2015,,,,,"10,200.00",,Link Maker System 15-20 The Oval NULL LONDON E2 9DX,,b) Micro,,Sarah Johal,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,6352,East/North East Seconded Social Worker,ADULT SOCIAL CARE,561-Payments To Voluntary Organisations,,03/03/2015,,,,,"6,875.00",,Leeds Jewish Welfare Board 311 Stonegate Road NULL LEEDS LS17 6AZ,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,979652,Nurse Band,ADULT SOCIAL CARE,522-Services Provided By Other NHS Bodies,,27/03/2015,,,,,"5,868.03",,"Leeds & York Partnership Nhs Foundation Rgd Payables 4425 Phoenix House,Topcliffe Lane WAKEFIELD WF3 1WE",,Other/Not known,,Sarah Jane Armitage,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SINV1954326,"MST UK License Fees, support & training",CHILDRENS SERVICES,266-Licences,,20/03/2015,,,,,"51,500.00",,KING'S COLLEGE LONDON James Clerk Maxwell Building 57 Waterloo Road LONDON SE1 8WA,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,KEYRING LIVING SUPPO,Living Support,ENVIRONMENT & HOUSING,514-Supporting Ppl - Block Gross Chargeable,,20/03/2015,,,,,"5,547.98",,KEYRING LIVING SUPPORT NETWORK Suite 41 Sugar Mill Oakhurst Avenue LEEDS LS11 7HL,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,156757,Legal Fees,CHILDRENS SERVICES,411-Legal Disbursements,,27/03/2015,,,,,"5,193.75",,Kerry Barker Broadway House 9 Bank Street BRADFORD BD1 1TW,,a) Individual,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,16077,Design & Print Services,CENTRAL & CORPORATE,253-Conference Meetings,,25/03/2015,,,,,"6,089.00",,KALL KWIK PRINTING Bibby Factors Yorkshire Ltd Woodland House  Woodland Park BRADFORD ROAD   BRADFORD BD19 6BW,,c) Small,,Dahlia Richards,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,NE1686,New Partitions,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,27/03/2015,,,,,"43,900.00",,K D Systems North East Ltd 3370 Century Way Thorpe Park LEEDS LS23 6ER,,b) Micro,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,I0290290,Supply of Farm and Forestry Materials,ENVIRONMENT & HOUSING,205-Operational Materials,,24/03/2015,,,,,"7,908.25",,JOB EARNSHAW & BROS LIMITED Stocksmoor Road Midgley WAKEFIELD    WEST YORKSHIRE WF4 4JG,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,67182,Monitoring and Maintenance - Gamblethorpe,ENVIRONMENT & HOUSING,114-Other,,20/03/2015,,,,,"6,229.99",,Initial Projects Ltd Enterprise Drive Four Ashes WOLVERHAMPTON WV10 7DE,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,40213881,Delivery and Managing Leeds City Adults Peer Challenge,ADULT SOCIAL CARE,265-Other Hired And Contracted Services,,05/03/2015,,,,,"15,675.20",,Improvement & Development Agency Local Government House Smith Square LONDON SW1P 3HZ,,e) Large,,Jayne Ogier,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,EV013065,Payment for the St Petersburg Symphony Orchestra,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,06/03/2015,,,,,"27,000.00",,IMG ARTISTS (UK) LTD The Light Box 111 Power Road NULL LONDON W4 5PY,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2020,Full Subscription,STRATEGIC LANDLORD,226-Memberships,,13/03/2015,,,,,"14,930.87",,HOUSEMARK LTD 8 Riley Court   Milburn Hill Road University Of Warwick Science Park COVENTRY CV4 7HP,,c) Small,,John Statham,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,S108402,Carry out remedial works to lightning conductor,CENTRAL & CORPORATE,,,05/03/2015,,,,,"20,693.00",,Horizon Specialist Contracting Ltd Criftin Enterprise Centre  Oxton Road Epperstone NOTTINGHAM NG14 6AT,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5365,Hire of 7.5 tonne RCV for 6 months,CENTRAL & CORPORATE,304-External Hire -Occasional,,03/03/2015,,,,,"5,000.00",,HOPKINSONS FAIRDEALS LTD 2 Boothferry Road Howden GOOLE DN14 7EF,,b) Micro,,Edward Hallmann,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,L/HE2710/20150225,Building Maintenance,CENTRAL & CORPORATE,101-Maintenance Of Buildings,,04/03/2015,,,,,"5,872.00",,Herbert T Forrest Limited The Yard Dood Lane Westhoughton BOLTON BL5 3NT,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,EJH119,Support and assistance,CENTRAL & CORP FUNC ADMINIST (NON LCC),265-Other Hired And Contracted Services,,04/03/2015,,,,,"7,220.00",,Hancock Energy and Renewable Services 1 Prospect View Pateley Bridge HARROGATE HG3 5HH,,Other/Not known,,Lynn Cooper,Waiver/DDN
