Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
06/12/2013,BGG PROJECT MANAGEMENT LIMITED,Facilities & Management Services,CORPORATE SERVICES,GOVERNANCE & COMMITTEE SERVICES,"£3,150.00"
16/12/2013,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CORPORATE SERVICES,REG ELECTORS GENERAL,"£1,988.98"
17/12/2013,BLUE & RED LTD,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,£909.70
17/12/2013,BOARSHURST LOFTS & DORMERS,Building Construction Materials,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,"£7,643.70"
10/12/2013,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
13/12/2013,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
06/12/2013,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"£21,887.30"
19/12/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,£587.18
23/12/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,£608.93
23/12/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,SANDBROOK PRIMARY SCHOOL,£523.29
06/12/2013,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£506.87
23/12/2013,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£511.40
06/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,519.28"
13/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,852.00"
20/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£10,042.21"
20/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£10,042.21"
17/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£575.52
17/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£599.04
17/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£599.04
17/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£599.04
17/12/2013,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£599.04
10/12/2013,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING CAP,"£4,132.73"
10/12/2013,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING DFT,"£3,261.33"
10/12/2013,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£14,304.77"
10/12/2013,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING DFT,"£14,427.50"
18/12/2013,BRIDES OF ROCHDALE,Facilities & Management Services,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"£2,605.00"
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,£661.89
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,£765.68
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,INDUSTRIAL ESTATE,"£1,270.82"
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,"£1,048.41"
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,"£1,469.48"
16/12/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PROPERTY MANAGEMENT,"£4,508.42"
16/12/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£1,422.96"
16/12/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,TOWNHEAD,£684.21
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,ASYLUM SEEKERS NEW 2011,£863.62
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,"£1,351.06"
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£2,302.75"
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£630.05
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,£939.38
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,£738.85
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,£636.04
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"£1,802.86"
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,£550.38
16/12/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,WHITWORTH ROAD,£556.61
16/12/2013,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,BRIDGEFOLD LODGE,£566.49
16/12/2013,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£653.67
16/12/2013,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,"£1,018.40"
16/12/2013,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£684.06
16/12/2013,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,DAY SERVICES MANAGEMENT/ADMIN,£545.06
16/12/2013,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,£625.98
17/12/2013,BRITISH TELECOMMUNICATIONS PLC,Information Communication Technology,ECONOMY AND ENVIRONMENT,RIVER ST WIDENING,"£3,051.42"
17/12/2013,BROADWAY BUILDING CONTRACTORS(OLDHAM)LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£10,800.00"
20/12/2013,BROADWAY BUILDING CONTRACTORS(OLDHAM)LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,129.84"
02/12/2013,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,SCHOOLS SLA 12/13,"£3,120.00"
02/12/2013,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,104.00"
03/12/2013,BRYN MELYN CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£14,259.51"
20/12/2013,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£2,500.00"
20/12/2013,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,GRADUATE LEADER FUND,"£1,000.00"
03/12/2013,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,452.50"
09/12/2013,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,2 YR OLD DSG,"£1,856.25"
03/12/2013,C H W LODGINGS LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£3,857.14"
23/12/2013,C H W LODGINGS LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£3,495.00"
06/12/2013,CABLE & WIRELESS,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£1,176.74"
17/12/2013,CAPITAL SAFETY TRAINING AND SERVICES,Human Resources,ECONOMY AND ENVIRONMENT,ARBORICULTURE,£500.00
06/12/2013,CAR 2000 (HEYWOOD) LLP,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,216.00"
06/12/2013,CAR 2000 (HEYWOOD) LLP,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,240.00"
06/12/2013,CAR 2000 (HEYWOOD) LLP,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£720.00
06/12/2013,CAR 2000 (HEYWOOD) LLP,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£560.00
06/12/2013,CAR 2000 (HEYWOOD) LLP,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,315.25"
11/12/2013,CARE & HEALTH LAW,Human Resources,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,"£1,810.20"
06/12/2013,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,905.79"
13/12/2013,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,590.33"
20/12/2013,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,744.20"
20/12/2013,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£9,744.20"
06/12/2013,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£7,303.74"
13/12/2013,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£6,790.96"
20/12/2013,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£6,750.77"
20/12/2013,CAREWEST (NORTHERN) LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£6,750.77"
06/12/2013,CARITAS CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£31,667.00"
06/12/2013,CARLTON MINIBUSES,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£4,012.00"
03/12/2013,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,SPONSORED DAY CARE,£513.00
06/12/2013,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£3,974.94"
13/12/2013,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£3,892.12"
20/12/2013,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£4,070.56"
20/12/2013,CASTLEROCK CARE SERVICES LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£4,070.56"
09/12/2013,CASTLETON COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,2 YR OLD DSG,£623.70
06/12/2013,CATHOLIC CHILDRENS RESCUE SOCIETY,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,"£1,200.00"
06/12/2013,CATHOLIC CHILDRENS RESCUE SOCIETY,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,£520.00
03/12/2013,CHANCES,Unclassifiable,EARLY HELP AND SCHOOLS,LOOKED AFTER CHILDREN PUPIL PREMIUM,"£1,845.50"
06/12/2013,CHAUFFEUR TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,565.00"
03/12/2013,CHESHIRE& WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Medical,CORPORATE SERVICES,ORGANISATIONAL DEVELOPMENT,£730.00
03/12/2013,CHESHIRE& WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Medical,CORPORATE SERVICES,ORGANISATIONAL DEVELOPMENT,£795.00
24/12/2013,CHEVRON LIMITED,Vehicles,EARLY HELP AND SCHOOLS,BRIDGEFOLD LODGE,"£1,954.80"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,312.90"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,471.30"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,514.20"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,162.90"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,124.20"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,081.30"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,081.30"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£5,168.70"
18/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,261.30"
20/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£2,811.90"
23/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,162.90"
24/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,£520.70
24/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,£570.70
24/12/2013,CHILD ACTION NORTHWEST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,£520.70
10/12/2013,CHILDSCAPE,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,£800.00
09/12/2013,CHRYSTAL CONSULTING,Consultancy,ECONOMY AND ENVIRONMENT,BLUE WASTE PAPER BINS,"£4,700.00"
04/12/2013,CIVICA UK LIMITED,Information Communication Technology,CORPORATE SERVICES,THIRD PARTY CONTRACTS,£928.57
03/12/2013,CLOVER SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£10,881.00"
06/12/2013,COACH OPTIONS LIMITED,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,760.00"
16/12/2013,COLAS LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP ROCHDALE MICRO ASPHALT,"£9,770.27"
16/12/2013,COLAS LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP ROCHDALE MICRO ASPHALT,"£15,157.69"
16/12/2013,COLAS LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HIP ROCHDALE MICRO ASPHALT,"£300,526.50"
06/12/2013,COMFORT CALL,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£12,763.02"
13/12/2013,COMFORT CALL,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£12,651.77"
20/12/2013,COMFORT CALL,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£12,789.20"
20/12/2013,COMFORT CALL,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLE,"£12,789.20"
06/12/2013,COMFORT CALL,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,MH COMMISSIONED SERVICES,£624.00
17/12/2013,COMFORT CALL,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,MH COMMISSIONED SERVICES,£918.00
17/12/2013,COMFORT CALL,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,MH COMMISSIONED SERVICES,£960.00
09/12/2013,COMMERCIAL BLINDS & GLAZING LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,NEW COUNCIL OFFICES,"£3,631.00"
