Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
Ref: 10061894749805,,,02.02.2010                                               ,                                ,                                ,30 ALBION ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4HQ,1675,CS   ,SHOP                                                        ,     ,                                                         , ,0,0,Y
Ref: 10106300011036,,,19.05.2014                                               ,                                ,                                ,1ST FLOOR SHER HOUSE               ,ALLEN STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 5JR,4450,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
Ref: 10106319005604,,,11.07.2017                                               ,                                ,                                ,1ST FLR SABA HOUSE                 ,ALLEN STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 5RP,2125,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10106390010081,,,01.08.2017                                               ,M N A TRADING                   ,                                ,ALLEN STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JR,3900,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10109500080092,,,12.12.2005                                               ,UNIT 8                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,7500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10109590034010,NUCLEUS MARKETING SERVICES      ,LTD                             ,01.05.2010                                               ,                                ,                                ,"UNIT 3, 4 & PT 5 ALMA INDUSTRIAL   ",ESTATE                             ,ROCHDALE                        ,                                ,OL12 0HQ,27750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10109590036021,,,01.05.2010                                               ,                                ,                                ,PT UNIT 5 ALMA INDUSTRIAL ESTATE   ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,5000,CW   ,WAREHOUSE                                                   ,     ,                                                         , ,0,0,Y
Ref: 10109591029834,ONLINEMEDICAL LTD               ,                                ,02.02.2017                                               ,                                ,                                ,UNIT 2 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,40750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10109594389201,PURE FILTERS (INTERNATIONAL)    ,LTD                             ,01.01.2013                                               ,                                ,                                ,UNIT 1 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,32750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10109595527680,PURE FILTERS (INTERNATIONAL) LTD,                                ,01.04.2017                                               ,UNIT 7                          ,                                ,ALMA INDUSTRIAL ESTATES            ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,16750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10109597754519,NEXUS DRINKS SYSTEMS LTD        ,                                ,01.05.2007                                               ,UNIT 6                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,16750,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10109599183828,TRI-CAST COMPOSITE TUBES LTD    ,                                ,16.06.2010                                               ,UNIT 9                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,7700,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10115000010086,ASPDEN & MIDDLETON PROPERTIES   ,LTD                             ,01.04.2007                                               ,BOUNDARY WORKS                  ,                                ,BOUNDARY STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1QX,1675,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2007                                               , ,0,0, 
Ref: 10115000020213,,,01.04.2005                                               ,UNIT 3                          ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,2175,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
Ref: 10115000050153,BEEWEB LTD                      ,                                ,01.04.2005                                               ,LANCASHIRE WORKS BEE WEBB       ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,5600,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10115091263335,,,01.04.2014                                               ,UNITS 1-2 & 5                   ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1QX,5600,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10115095149093,,,29.03.2016                                               ,N R CAR WASH                    ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,4650,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10115900040033,,,04.10.2015                                               ,                                ,                                ,UNITS 8 & 9                        ,AMBROSE STREET                     ,ROCHDALE                        ,                                ,OL11 1QX,5700,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10115900050044,,,04.10.2015                                               ,                                ,                                ,UNIT 10                            ,AMBROSE STREET                     ,ROCHDALE                        ,                                ,OL11 1QX,7500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10115900060055,,,30.08.2017                                               ,                                ,                                ,UNIT 11                            ,AMBROSE STREET                     ,ROCHDALE                        ,                                ,OL11 1QX,3550,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,30.08.2017                                               , ,0,0, 
Ref: 10124800010086,THE CATHOLIC CLUB               ,                                ,01.04.2005                                               ,CATHOLIC CLUB                   ,                                ,ANN STREET                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QQ,6500,CL2  ,CLUB AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10124893772934,A & A PLUMBING LTD              ,T/A DALE PLUMBING MERCHANTS     ,01.03.2017                                               ,                                ,                                ,UNIT 3 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,5000,CO   ,OFFICE & PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10124893772935,,,01.05.2017                                               ,                                ,                                ,UNIT 4 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,7200,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10124897153418,,,01.05.2017                                               ,                                ,                                ,5-9 ANN STREET                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1QQ,10750,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10124898731641,CHUNKY DISTRIBUTION LTD         ,                                ,29.09.2015                                               ,                                ,                                ,UNITS 1 & 2 ANN STREET             ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,6200,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10124898731651,,,01.05.2016                                               ,                                ,                                ,UNIT 5 ANN STREET GARAGE           ,HENRY STREET                       ,                                ,                                ,OL11 1EN,3850,CW3  ,STORE AND PREMISES                                          ,     ,                                                         , ,0,0,Y
Ref: 10127200010084,,,01.04.2005                                               ,                                ,                                ,5 ANSDELL ROAD                     ,ROCHDALE                           ,                                ,                                ,OL16 4TT,5200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10193800000305,NW RESERVE FORCES & CADETS      ,ASSOC                           ,01.04.2005                                               ,ATC HUT                         ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QH,3400,LC3  ,HALL AND PREMISES                                           ,     ,                                                         ,Y,100,0, 
Ref: 10193800860002,,,06.03.2006                                               ,                                ,                                ,281 ASHFIELD ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QP,8000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10193810909748,,,01.02.2014                                               ,UNIT 1 THE OLD BAKERY           ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PX,3550,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10193817919696,,,01.09.2015                                               ,UNIT 4 THE OLD BAKERY           ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PX,2900,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
Ref: 10193871395951,,,01.08.2016                                               ,UNIT 7 THE OLD BAKERY           ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PX,1025,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10193884628881,,,01.08.2016                                               ,UNIT 8 THE OLD BAKERY           ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PX,1700,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10193898279012,,,16.06.2013                                               ,UNITS 5-6 & 9                   ,                                ,THE OLD BAKERY ASHFIELD STREET     ,ROCHDALE                           ,                                ,                                ,OL11 1PX,3050,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10196200100056,,,16.06.2015                                               ,                                ,                                ,88 ASHFIELD ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1PY,5100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10196200640077,,,01.04.2005                                               ,                                ,                                ,228 ASHFIELD ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QH,900,CO   ,OFFICES AND PREMISES                                        ,Y    ,01.04.2005                                               , ,0,0, 
Ref: 10196293407906,,,09.06.2017                                               ,GRD FLOOR 232                   ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QW,4600,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10196296316703,,,02.11.2010                                               ,GND FLR FRONT                   ,                                ,256 ASHFIELD ROAD                  ,ROCHDALE                           ,                                ,                                ,OL11 1QW,1200,CO   ,OFFICES AND PREMISES                                        ,Y    ,02.11.2010                                               , ,0,0, 
Ref: 10204799194855,,,01.04.2005                                               ,GND FLR                         ,                                ,32 GEORGE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DF,770,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10205200080095,CASTLETON BOWLING CLUB          ,                                ,01.04.2005                                               ,CASTLETON BOWLING CLUB          ,                                ,ASHTON STREET                      ,ROCHDALE                           ,                                ,                                ,OL11 3RT,4600,LX   ,BOWLING GREEN AND PREMISES                                  ,     ,                                                         , ,0,0,Y
Ref: 10210591846883,,,01.01.2015                                               ,UNITS 2-3 ASHWOOD HOUSE         ,                                ,HAMER LANE                         ,ROCHDALE                           ,                                ,                                ,OL16 2UL,16000,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
Ref: 10210594431736,TELEFONICA O2 LIMITED           ,                                ,03.02.2011                                               ,T-MOBILE SITE REF 52068         ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,5900,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 10210599185061,,,01.07.2013                                               ,UNIT 1 ASHWOOD HOUSE            ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,20250,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         ,Y,20,80, 
Ref: 10274200050077,ROCHDALE MBC                    ,                                ,20.05.2013                                               ,                                ,                                ,17A BAILLIE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,13000,CO   ,OFFICES AND PREMISES                                        ,Y    ,20.05.2013                                               , ,0,0, 
Ref: 10274200060045,,,26.01.2015                                               ,                                ,                                ,19 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,7900,CS7  ,SHOWROOM AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10274200080091,ROCHDALE MBC                    ,                                ,15.07.2015                                               ,                                ,                                ,21 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,5900,CO   ,OFFICES AND PREMISES                                        ,Y    ,03.06.2016                                               , ,0,0, 
Ref: 10274291514865,A2 PROPERTY LIMITED             ,                                ,03.04.2016                                               ,SHOP AT 1A-3A                   ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,9000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10274293713630,,,02.02.2016                                               ,                                ,                                ,5 BAILLIE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1JJ,3000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10274293713631,,,31.07.2015                                               ,                                ,                                ,5A BAILLIE STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1JJ,3650,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10274294022839,ROCHDALE MBC                    ,                                ,11.03.2014                                               ,                                ,                                ,1ST FLR 19                         ,BAILLIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JJ,5800,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,Y    ,11.03.2014                                               , ,0,0, 
Ref: 10274294738072,,,12.06.2017                                               ,                                ,                                ,OFFICES 1 & 2 1ST FLR              ,5 BAILLIE STREET                   ,ROCHDALE                        ,                                ,OL16 1JJ,3450,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10274296230200,CASHIER LTD                     ,                                ,01.09.2008                                               ,SHOP 1 AT 1A-3A                 ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,12750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10274296251624,ASHWORTH VIEW LIMITED           ,                                ,16.09.2013                                               ,                                ,                                ,ASHWORTH VIEW NURSERY              ,EDENFIELD ROAD                     ,ROCHDALE                        ,                                ,OL12 7TY,17250,EN1  ,DAY NURSERY AND PREMISES                                    ,     ,                                                         , ,0,0, 
Ref: 10274296548731,,,23.02.2017                                               ,                                ,                                ,7 BAILLIE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1JJ,9500,CS   ,Shop and Premises                                           ,     ,                                                         , ,0,0,Y
Ref: 10274296741324,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,1ST FLR OFFICES AT 1A-3A           ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JJ,5700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10274297832415,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,A2 SOLICITORS SHOP                 ,AT 1A-3A BAILLIE STREET            ,ROCHDALE                        ,                                ,OL16 1JJ,8700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10274298015215,,,01.10.2010                                               ,2nd flr stores                  ,                                ,5 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JJ,2150,CW3  ,STORES                                                      ,Y    ,01.10.2010                                               , ,0,0, 
Ref: 10274298877573,FRENCH IMPORTS LTD              ,RETIREMENT BENEFITS SCHEME      ,14.02.2014                                               ,                                ,                                ,2ND & 3RD FLR OFFICES 2-4          ,1A-3A BAILLIE STREET               ,ROCHDALE                        ,                                ,OL16 1JJ,6800,CO   ,OFFICES AND PREMISES                                        ,Y    ,14.02.2014                                               , ,0,0, 
Ref: 10274298881862,,,18.01.2016                                               ,OFFICE NO 3 1ST FLR             ,                                ,5 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JJ,2375,CO   ,OFFICE                                                      ,Y    ,18.01.2016                                               , ,0,0, 
Ref: 10277700010082,RUMMA CONSULTING LTD            ,                                ,30.11.2010                                               ,                                ,                                ,2 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,30000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10277700010167,OLD HILL MARKET (HALESOWEN) LTD ,                                ,26.03.2014                                               ,A2 ACCIDENT SOLICITORS          ,                                ,6 BULL BROW CHAMBERS               ,BAILIIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JG,0,CO   ,PROPERTY BEING CONVERTED                                    ,Y    ,26.03.2014                                               , ,0,0, 
Ref: 10277700050075,,,19.09.2014                                               ,                                ,                                ,8 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,7500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10277700070011,,,01.04.2005                                               ,                                ,                                ,12 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,4900,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10277700100058,,,01.05.2017                                               ,                                ,                                ,16 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,6200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10277729225478,OLD HILL MARKET (HALES OWEN) LTD,                                ,20.07.2010                                               ,BST                             ,6A                              ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,0,CS   ,PROPERTY BEYOND ECONOMIC REPAIR                             ,Y    ,20.07.2010                                               , ,0,0, 
Ref: 10277792295064,SOCIAL NETWORK LIMITED          ,                                ,27.03.2014                                               ,                                ,08-Oct,1ST FLR BAILLIE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,7000,CO   ,OFFICES AND PREMISES                                        ,Y    ,27.03.2014                                               , ,0,0, 
Ref: 10277792431940,OLDHILL MARKET(HALESOWEN) LTD   ,                                ,30.11.2014                                               ,VACANT 2ND FLR                  ,BULL BROW CHAMBERS              ,6 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,0,CO   ,PROPERTY BEING CONVERTED                                    ,Y    ,30.11.2014                                               , ,0,0, 
