year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2007,LOCAL,Wetherby Ward,CASSELL,JOLENE,The Labour Party Candidate,1265,20,,15418
2007,LOCAL,Wetherby Ward,MATTHEWS,JAMES,Liberal Democrats,678,20,,15418
2007,LOCAL,Wetherby Ward,CRAVEN,DAVID,British National Party,370,20,,15418
2007,LOCAL,Wetherby Ward,ROBSON,ANTHONY BRUCE BURNETT,UK Independence Party,332,20,,15418
2007,LOCAL,Garforth and Swillington Ward,DOBSON,MARK DAVID,The Labour Party Candidate,4196,19,ELECTED,15776
2007,LOCAL,Garforth and Swillington Ward,PHILLIPS,MARK RUSSELL,The Conservative Party Candidate,2482,19,,15776
2007,LOCAL,Garforth and Swillington Ward,LEE,PETER GEOFFREY,British National Party,574,19,,15776
2007,LOCAL,Garforth and Swillington Ward,JACQUES,ROBERT HUGH,Liberal Democrats,479,19,,15776
2007,LOCAL,Burmantofts and Richmond Hill Ward,BRETT,RICHARD JEFFREY,Liberal Democrats,2331,8,ELECTED,15130
2007,LOCAL,Burmantofts and Richmond Hill Ward,GRAHAME,RONALD,The Labour Party Candidate,1450,8,,15130
2007,LOCAL,Burmantofts and Richmond Hill Ward,COLLETT,MARK ADRIAN,British National Party,898,8,,15130
2007,LOCAL,Burmantofts and Richmond Hill Ward,BURTON,ELLIOTT,The Conservative Party Candidate,164,8,,15130
2007,LOCAL,Adel and Wharfedale Ward,CARTER,JOHN LESLIE,The Conservative Party Candidate,3897,12,ELECTED,15845
2007,LOCAL,Adel and Wharfedale Ward,SHAW,CHRISTINA,Liberal Democrats,2265,12,,15845
2007,LOCAL,Adel and Wharfedale Ward,PICKARD,ROSEMARY,The Labour Party Candidate,909,12,,15845
2007,LOCAL,Pudsey Ward,LEWIS,RICHARD ALWYN,The Labour Party Candidate,2917,9,ELECTED,16973
2007,LOCAL,Pudsey Ward,MARJORAM,JOSEPH WILLIAM,The Conservative Party Candidate,2257,9,,16973
2007,LOCAL,Pudsey Ward,HIRST,JOHN DANIEL,British National Party,816,9,,16973
2007,LOCAL,Pudsey Ward,SKINNER,JOHN ANTHONY,Liberal Democrats,471,9,,16973
2007,LOCAL,Pudsey Ward,BANKS,ROBERT PHILLIP,UK Independence Party,261,9,,16973
2007,LOCAL,Pudsey Ward,DRACUP,IRENE GLYNIS,Green Party,250,9,,16973
2007,LOCAL,Adel and Wharfedale Ward,HARLAND,JASON NEIL,British National Party,272,12,,15845
2007,LOCAL,Adel and Wharfedale Ward,ELLIOTT,STEPHEN EDWARD,English Democrats Party - Putting England First,197,12,,15845
2007,LOCAL,Farnley and Wortley Ward,BLACKBURN,ANN,Green Party,2284,11,ELECTED,17202
2007,LOCAL,Farnley and Wortley Ward,TOWLER,STEPHEN JOHN,The Labour Party Candidate,1607,11,,17202
2007,LOCAL,Farnley and Wortley Ward,SMITH,SHEREE ADELE,British National Party,760,11,,17202
2007,LOCAL,Headingley Ward,MITCHELL,KATHERINE,The Labour Party Candidate,577,17,,14272
2007,LOCAL,Headingley Ward,JEFFRIES,LESLEY EVELYN,Green Party,378,17,,14272
2007,LOCAL,Headingley Ward,WALES,CHRISTOPHER ROAN,The Conservative Party Candidate,238,17,,14272
2007,LOCAL,Headingley Ward,DE SOUZA VIGNESWAREN,SEQUOYAH NICOLAI DOMINIK,The Alliance for Green Socialism,79,17,,14272
2007,LOCAL,Headingley Ward,HANSARD,LAWRENCE,British National Party,44,17,,14272
2007,LOCAL,Kippax and Methley Ward,LEWIS,JAMES,The Labour Party Candidate,3403,12,ELECTED,15738
2007,LOCAL,Kippax and Methley Ward,PHILLIPS,TINA LOUISE,The Conservative Party Candidate,1422,12,,15738
2007,LOCAL,Kippax and Methley Ward,POWELL,MARK,British National Party,754,12,,15738
2007,LOCAL,Kippax and Methley Ward,WARRINGTON,GEOFFREY,Liberal Democrats,516,12,,15738
2007,LOCAL,Kirkstall Ward,ILLINGWORTH,JOHN ANTHONY,The Labour Party Candidate,2236,13,ELECTED,16028
2007,LOCAL,Kirkstall Ward,COLEMAN,CHRISTINE RUTH,Liberal Democrats,1743,13,,16028
2007,LOCAL,Kirkstall Ward,COCKAYNE,SANDRA MARIE,British National Party,380,13,,16028
2007,LOCAL,Kirkstall Ward,REED,MARTIN LESLIE,Green Party,378,13,,16028
2007,LOCAL,Kirkstall Ward,KAPP,JEREMY MARK,The Conservative Party Candidate,374,13,,16028
2007,LOCAL,Chapel Allerton Ward,RAFIQUE,MOHAMMED,The Labour Party Candidate,2967,17,ELECTED,17043
2007,LOCAL,Chapel Allerton Ward,CHOUDHRY,AQILA,Liberal Democrats,833,17,,17043
2007,LOCAL,Chapel Allerton Ward,BAKER,SIMON PHILIP,The Conservative Party Candidate,774,17,,17043
2007,LOCAL,Chapel Allerton Ward,SAMUELS,BEVERLEY MONICA,The Alliance for Green Socialism,535,17,,17043
2007,LOCAL,Chapel Allerton Ward,ELLIOT,MARK JAMES,Green Party,432,17,,17043
2007,LOCAL,Chapel Allerton Ward,WHITAKER,DAVID GRAHAM,British National Party,183,17,,17043
2007,LOCAL,Beeston and Holbeck Ward,OGILVIE,ADAM PATRICK,The Labour Party Candidate,2079,13,ELECTED,15430
2007,LOCAL,Beeston and Holbeck Ward,WINFIELD,ROBERT JAMES WILLIAM,The Conservative Party Candidate,889,13,,15430
2007,LOCAL,Beeston and Holbeck Ward,TAYLOR,DEAN MARK,British National Party,703,13,,15430
2007,LOCAL,Beeston and Holbeck Ward,FULLER,JAMES,Liberal Democrats,591,13,,15430
2007,LOCAL,Beeston and Holbeck Ward,BINNS,ANDREA KAY,Green Party,269,13,,15430
2007,LOCAL,Beeston and Holbeck Ward,ODDY,DARREN PAUL,UK Independence Party,181,13,,15430
2007,LOCAL,Hyde Park and Woodhouse Ward,HUSSAIN,KABEER,Liberal Democrats,1390,30,ELECTED,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,MAQSOOD,KAMILA,The Labour Party Candidate,1037,30,,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,SUNDERLAND,TIM JOHN,Green Party,333,30,,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,PITKIN,SYPRIAN ANTHONY,The Conservative Party Candidate,200,30,,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,ALLEN,BERNARD ADRIAN,British National Party,101,30,,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,ASLAM,HATAM,The Alliance for Green Socialism,58,30,,14959
2007,LOCAL,Hyde Park and Woodhouse Ward,SHAH,SAIRAB,Independent,51,30,,14959
2007,LOCAL,Rothwell Ward,SMITH,STEVE,Liberal Democrats,2453,11,ELECTED,15416
2007,LOCAL,Rothwell Ward,BRUCE,KAREN,The Labour Party Candidate,2166,11,,15416
2007,LOCAL,Rothwell Ward,ANDREWS,TRACY ANN,British National Party,664,11,,15416
2007,LOCAL,Rothwell Ward,ROBINSON,MATTHEW JAMES,The Conservative Party Candidate,639,11,,15416
2007,LOCAL,City and Hunslet Ward,DAVEY,PATRICK GERARD,The Labour Party Candidate,1647,10,ELECTED,16895
2007,LOCAL,City and Hunslet Ward,SWAIN,PAUL,Liberal Democrats,552,10,,16895
2007,LOCAL,City and Hunslet Ward,SUJAWAL,MUSERAT,Respect,520,10,,16895
2007,LOCAL,City and Hunslet Ward,ATKINSON,JOHN,British National Party,440,10,,16895
2007,LOCAL,City and Hunslet Ward,HASSAN-SHAH,SYED KHALID,The Conservative Party Candidate,361,10,,16895
2007,LOCAL,City and Hunslet Ward,NORTHFIELD,MICHAEL IAN,Green Party,215,10,,16895
2007,LOCAL,City and Hunslet Ward,HOUSE,ALLAN OLIVER,The Alliance for Green Socialism,42,10,,16895
2007,LOCAL,Alwoodley Ward,FELDMAN,RUTH,The Conservative Party Candidate,3873,13,ELECTED,17390
2007,LOCAL,Alwoodley Ward,MASTERTON,RICHARD DOUGLAS,The Labour Party Candidate,1599,13,,17390
2007,LOCAL,Alwoodley Ward,CLAY,JOHN FRANK,Liberal Democrats,1148,13,,17390
2007,LOCAL,Alwoodley Ward,HENDON,WARREN JAMES,UK Independence Party,326,13,,17390
2007,LOCAL,Alwoodley Ward,WHITAKER,CHRISTINE,British National Party,261,13,,17390
2007,LOCAL,Alwoodley Ward,JACKSON,BRIAN,The Alliance for Green Socialism,204,13,,17390
2007,LOCAL,Roundhay Ward,KENDALL,VALERIE,The Conservative Party Candidate,2976,21,ELECTED,16979
2007,LOCAL,Roundhay Ward,SOBEL,ALEX DAVID,The Labour Party Candidate,2409,21,,16979
2007,LOCAL,Roundhay Ward,HUSSEIN,ALTAF,Liberal Democrats,931,21,,16979
2007,LOCAL,Roundhay Ward,ELLIS,PAUL CHARLES,Green Party,601,21,,16979
2007,LOCAL,Killingbeck and Seacroft Ward,MORGAN,VERONICA,The Labour Party Candidate,2789,16,ELECTED,16135
