Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N),
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282601,144.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2017,AAS0282741,15.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282601,144.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2017,AAS0282741,15.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282601,144.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282742,223.88,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282742,224.87,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 31/08/2017,AAS0282741,15.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/08/2017,AAS0282601,144.48,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,ATM CONSTRUCTION LTD,A0066308, 17/08/2017,HMR0282215,16107.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,AURORA ACCOUNTING SERVICES,A0089134, 31/08/2017,AAS0282524,1710.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Consultants Fees,4401,AXIS,A0091231, 24/08/2017,REG0282461,600.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Protective Clothing,4201,REDACTED - PERSONAL DATA,A0012255, 31/08/2017,HMR0282509,49.99,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 24/08/2017,PCO0282367,32.55,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 10/08/2017,PCO0282036,60.69,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 10/08/2017,PCO0282036,102.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 10/08/2017,PCO0282036,102.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 24/08/2017,PCO0282387,9.79,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 24/08/2017,PCO0282387,9.79,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 03/08/2017,PCO0281947,96.62,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 03/08/2017,PCO0281944,102.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 10/08/2017,PCO0282037,149.85,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 24/08/2017,PCO0282380,11.04,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 10/08/2017,PCO0282035,23.77,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 10/08/2017,PCO0282035,60.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 24/08/2017,OPS0282428,35.52,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 24/08/2017,OPS0282429,3.92,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,pj01,BARNES JB LIMITED,A0000202, 17/08/2017,OPS0282268,6.91,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 31/08/2017,EST0282547,35.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 17/08/2017,EST0282245,49.12,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 17/08/2017,EST0282243,65.40,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK SERV LT,A0000458, 17/08/2017,EST0282242,35.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,CD14,BEES BOUTIQUE,A0084969, 24/08/2017,REG0282449,544.87,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BETTS GEO ENVIRONMENTAL LIMITED,A0090455, 24/08/2017,PCO0282360,450.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BETTS GEO ENVIRONMENTAL LIMITED,A0090455, 24/08/2017,PCO0282360,2100.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 10/08/2017,PCO0282053,11.15,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BOLTON BY BOWLAND VILLAGE HALL,A0090978, 10/08/2017,HED0282054,60.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BRENT STEVENSON MEMORIALS,A0002426, 24/08/2017,PCO0282388,79.17,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BRIERFIELD ACTION IN THE COMMUNITY,A0040743, 03/08/2017,HED0281927,620.00,Y,1112377,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BRIERFIELD ACTION IN THE COMMUNITY,A0040743, 03/08/2017,HED0281928,750.00,Y,1112377,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0002,BRIGGS & DUXBURY LTD,A0000459, 24/08/2017,PCO0282384,17.43,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 24/08/2017,PCO0282384,37.16,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,BRITISH GAS BUSINESS,A0057202, 10/08/2017,AAS0282153,25.94,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 10/08/2017,AAS0282152,34.46,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 17/08/2017,EST0282229,8.70,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 24/08/2017,EST0282475,114.64,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 17/08/2017,EST0282233,16.49,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,BRITISH GAS BUSINESS,A0057202, 03/08/2017,EST0281991,115.12,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 25/08/2017,AAS0282606,9.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 25/08/2017,AAS4005664,-90.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 25/08/2017,AAS0282737,20.37,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 25/08/2017,AAS0282738,119.87,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 25/08/2017,AAS0282739,49.57,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Gas,2202,BRITISH GAS TRADING LIMITED,A0053746, 31/08/2017,EST0282546,111.44,N,N/A,N,N/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,BRITISH GEOLOGICAL SURVEY (NERC),A0091238, 24/08/2017,ENV0282451,338.28,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,4502,BRITISH TELECOMMUNICATIONS PLC,A0040001, 17/08/2017,EST0282237,53.97,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 24/08/2017,PCO0282399,135.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROXAP LIMITED,A0000236, 17/08/2017,PCO0282203,61.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROXAP LIMITED,A0000236, 17/08/2017,PCO0282203,395.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BT GROUP PLC,A0081546, 17/08/2017,PCO0282207,212.29,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Subscriptions & Donations,4706,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 10/08/2017,HED0282057,641.66,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Subscriptions & Donations,4706,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 10/08/2017,HED0282058,641.66,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Subscriptions & Donations,4706,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 24/08/2017,HED0282462,641.66,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,BURNLEY ALARM SYSTEMS LTD,A0056318, 10/08/2017,OPS0282103,595.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,BURNLEY ALARM SYSTEMS LTD,A0056318, 10/08/2017,OPS0282103,3712.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Transport Related Expense,Tprt : Repairs : General,3105,C & A 4 X 4,A0000614, 17/08/2017,REG0282086,60.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Transport Related Expense,Tyres,3204,C & A 4 X 4,A0000614, 17/08/2017,REG0282085,385.80,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,C & R WALNE ENGRAVERS,A0042734, 03/08/2017,PCO0281941,32.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,C B PRICE & SONS BUILDERS,A0052117, 24/08/2017,PCO0282372,500.00,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282541,44.13,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282541,55.16,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282541,77.22,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282541,22.06,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282541,22.06,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,39.59,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,176.91,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,167.74,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,9.87,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,16.94,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,DAL0282511,34.80,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282440,46.52,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282440,73.53,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HMR0282433,53.68,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282441,74.57,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 31/08/2017,HMR0282505,89.24,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282439,111.21,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,REG0282447,126.04,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282442,254.67,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 24/08/2017,HED0282441,80.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,CANON (UK) LIMITED,A0040400, 31/08/2017,HED0282515,53.48,N,N/A,N,N/A,
Pendle Borough Council,Directorate,Supplies and Services,Printing & Stationery,4301,CANON (UK) LIMITED,A0040400, 24/08/2017,MAN0282486,107.60,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD,A0000396, 03/08/2017,HED0281958,36878.30,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,CHIPSIDE LTD,A0068587, 03/08/2017,HED0281956,17.86,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,CHIPSIDE LTD,A0068587, 10/08/2017,HED0282102,20.87,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CHUBB FIRE & SECURITY LTD,A0057603, 03/08/2017,OPS0281964,113.25,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,COLNE IN BLOOM,A0091202, 03/08/2017,HED0281926,250.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 17/08/2017,OPS0282269,340.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 17/08/2017,OPS0282269,510.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 31/08/2017,OPS0282477,765.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Diesel Oil,3202,COOKE FUELS,A0019019, 24/08/2017,OPS0282396,1357.50,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,COOKE FUELS,A0019019, 10/08/2017,PCO0282042,1838.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CPC PROP & GARDENING SERV LTD,A0011770, 03/08/2017,HED0281968,230.00,N,N/A,N,N/A,
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,CPC PROP & GARDENING SERV LTD,A0011770, 17/08/2017,ENV0282253,160.00,N,N/A,N,N/A,
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,CPC PROP & GARDENING SERV LTD,A0011770, 17/08/2017,ENV0282254,130.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CPC PROP & GARDENING SERV LTD,A0011770, 24/08/2017,HED0282446,900.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CPC PROP & GARDENING SERV LTD,A0011770, 03/08/2017,HED0281970,420.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,CPL MEDIA LTD,A0091271, 24/08/2017,EST0282488,65.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Supplies and Services,Publicity & advertisement,4704,CPL MEDIA LTD,A0091271, 24/08/2017,EST0282488,65.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 24/08/2017,HMR0282435,2500.00,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,,General Fund (Non Housing),B471,CROFTONS SOLICITORS LLP,A0091262, 10/08/2017,DAL0282142,500.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,D Y BUILDING SERVICES,A0091159, 17/08/2017,HMR0282214,4013.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,DAN SLEE C2 LIMITED,A0091217, 10/08/2017,AAS0282146,195.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,DAN SLEE C2 LIMITED,A0091217, 10/08/2017,AAS0282146,195.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,1221,DBS,A0072958, 18/08/2017,AAS0282599,836.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,DBS,A0072958, 18/08/2017,AAS0282599,1408.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 17/08/2017,REG0282187,43.19,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 03/08/2017,OPS0281961,310.78,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 24/08/2017,PCO0282390,56.95,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Lubricants,3203,DICK LEIGH,A0001675, 24/08/2017,PCO0282390,56.00,N,N/A,N,N/A,
Pendle Borough Council,Planning & Building Control,Supplies and Services,Miscellaneous : Other,4707,DLP PLANNING LTD,A0061134, 10/08/2017,PBC0282138,2155.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,DONALD LOMAX & PARTNERS LTD,A0069764, 03/08/2017,REG0281913,950.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,4004,DR L R PARKER,A0090282, 17/08/2017,REG0282235,23.99,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DVLA SWANSEA,A0016348, 03/08/2017,PCO0281985,32.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282479,5.81,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282463,32.01,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282464,62.18,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282484,189.94,N,N/A,N,N/A,
