Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,PLACE-REF,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,Liable Person,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV�
,1440,V,0,,7262073019,0,39,0,,0,,0,0,CS,3000,A & J INVESTMENTS LTD,A & J INVESTMENTS LTD,ROSE COTTAGE,THE DHOR,RAMSEY,ISLE OF MAN,IM7 4ED,20/12/2013,73 SHAW HEATH,STOCKPORT,,,,SK2 6QP,SHOP AND PREMISES
,1800,V,0,,30062009,0,48.75,0,,0,,0,0,CS,3750,A & J INVESTMENTS LTD,3 HARDMAN CLOSE,MANCHESTER,,,,M3 3HF,21/11/2014,62 ADSWOOD ROAD,ADSWOOD,STOCKPORT,,,SK3 8HZ,SHOP AND PREMISES
RETAIL,2832,O,0,,5098220029,0,0,0,,0,,0,0,CS,5900,A & J ROBERTSON (GRANITE) LTD T/A  ROBER,J W HULME,220 LONDON ROAD,HAZEL GROVE,STOCKPORT,,SK7 4DA,01/04/2010,220 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4DA,SHOP AND PREMISES
RETAIL,7920,O,0,,3942520029,0,0,0,,0,,0,0,CS,16500,A & P E BAKER LIMITED,520-522 HEMPSHAW LANE,STOCKPORT,,,,SK2 5TL,30/11/1995,520-522 HEMPSHAW LANE,HEMPSHAW LANE,STOCKPORT,,,SK2 5TL,SHOP AND PREMISES
RETAIL,16920,O,0,,3981007009,0,458.25,0,,0,,0,0,CS,35250,A A H RETAIL PHARMACY LTD,FTAO SERVICE LEDGER DEPARTMENT,PHOENIX HOUSE,MANOR ROAD,MANCETTER,ATHERSTONE,CV9 1QY,08/05/1991,7-9 HIGH STREET,CHEADLE,,,,SK8 1AX,SHOP AND PREMISES
,3504,V,0,,3981009009,0,94.9,0,,0,,0,0,CO,7300,A A H RETAIL PHARMACY LTD,FTAO SERVICE LEDGER DEPARTMENT,PHOENIX HOUSE,MANOR ROAD,MANCETTER,ATHERSTONE,CV9 1QY,03/03/2000,1ST & 2ND FLOORS,9 HIGH STREET,CHEADLE,,,SK8 1AX,OFFICES AND PREMISES
,326400,O,0,,6255099009,0,8840,0,,0,,0,0,COC,680000,A A INSURANCE SERVICES LTD,FANUM HOUSE,BASING VIEW,BASINGSTOKE,HAMPSHIRE,,RG21 4EA,01/04/1990,LAMBERT HOUSE,OLD ROAD,CHEADLE,,,SK8 2DY,"OFFICES, CAR SPACES (264) AND PREMISES"
,2352,O,0,,8358103009,-1,0,2352,,0,,0,0,CO,4900,A BUCKLEY LTD T/A INDEPENDENT CARE,103 WELLINGTON ROAD NORTH,STOCKPORT,,,,SK4  2LP,18/08/2006,103 WELLINGTON ROAD NORTH,STOCKPORT,,,,SK4 2LP,OFFICES AND PREMISES
,3984,O,0,,5594022019,-1,0,2456.98,,0,,0,0,CG1,8300,A C BODY REPAIRS LTD,,,,,,,01/01/2012,UNITS 22A & 22E,PORTWOOD INDUSTRIAL  ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2LB,VEHICLE REPAIR WORKSHOP AND PREMISES
,2928,O,0,,7479238019,-1,0,2879.2,,0,,0,0,CS,6100,A C ELECTRICAL COMMUNICATIONS LTD,240 STOCKPORT ROAD,BREDBURY,STOCKPORT,,,SK6 2AN,01/07/2014,238 - 240 STOCKPORT ROAD WEST,BREDBURY,STOCKPORT,,,SK6 2AN,SHOP AND PREMISES
,4080,O,0,,7394117029,-1,0,2380,,0,,0,0,CO,8500,A C M FINANCIAL SERVICES LTD,GROUND FLOOR,117 STOCKPORT ROAD,MARPLE,STOCKPORT,,SK6 6AG,20/09/2013,GROUND FLOOR,117 STOCKPORT ROAD,MARPLE,STOCKPORT,,SK6 6AG,OFFICES AND PREMISES
,2784,O,0,,7930002009,-1,0,2784,,0,,0,0,CO,5800,A C S (CHESHIRE) LTD,,,,,,,01/03/2010,ENTERPRISE HOUSE,TOLLBAR STREET,MIDDLE HILLGATE,STOCKPORT,,SK1 3EW,OFFICES AND PREMISES
,6600,O,0,,3817033499,-1,0,0,,0,,0,0,CW,13750,A E HANCOCK LTD,,,,,,,01/07/2010,UNIT G1,HALLAM STREET WORKS,HALLAM STREET,HEAVILEY,STOCKPORT,SK2 6PT,WAREHOUSE AND PREMISES
,196800,O,0,,3469400009,0,5330,0,,0,,0,0,CWO,410000,A G PARFETT & SONS LTD,GREEN LANE,HEATON MOOR,STOCKPORT,,,SK4 2JR,01/04/1990,WAREHOUSE AND PREMISES,GREEN LANE,HEATON MOOR,STOCKPORT,,SK4 2JR,"WAREHOUSE, OFFICES AND PREMISES"
,7200,O,0,,854002009,0,0,0,,0,,0,0,CW,15000,A G PARFETT & SONS LTD,GREEN LANE,HEATON MOOR,STOCKPORT,,,SK4 2JR,15/01/2010,UNIT 1,BRENT ROAD,HEATON NORRIS,STOCKPORT,,SK4 2LD,WAREHOUSE AND PREMISES
,2640,O,0,,873036039,-1,0,2640,,0,,0,0,CS,5500,A GENTLEMEN'S RELISH LTD,,,,,,,16/10/2013,36 BRIDGE STREET,PORTWOOD,STOCKPORT,,,SK1 1XY,SHOP AND PREMISES
RETAIL,8280,O,0,,3981025009,0,0,0,,0,,0,0,CS,17250,A H MERTONS LTD,1ST FLOOR,88 MARKET ST,HYDE,,,SK14 1ES,21/12/2012,21 HIGH STREET,CHEADLE,,,,SK8 1AX,SHOP AND PREMISES
RETAIL,5280,O,0,,7192046009,0,0,0,,0,,0,0,CS,11000,A H MERTONS LTD T/A AARONS OF STOCKPORT,,,,,,,02/04/1991,46 ST PETERSGATE,STOCKPORT,,,,SK1 1HL,SHOP AND PREMISES
RETAIL,5520,O,0,,7884021039,0,0,0,,0,,0,0,CS,11500,A H MERTONS LTD T/A BARRADELLS,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,01/04/1990,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,SHOP AND PREMISES
,672,O,0,,7376000649,0,0,0,,0,,0,0,CP1,1400,A H MERTONS LTD T/A BARRADELLS,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,01/04/2013,CAR SPACES 50 - 53,SINCLAIR HOUSE,STATION ROAD,CHEADLE HULME,CHEADLE,SK8 5AF,CAR PARKING SPACES
,4704,O,0,,9827005009,-1,0,1724.9,,0,,0,0,IF3,9800,A II D SOLUTIONS LTD,UNIT B,WYVERN AVENUE,REDDISH,STOCKPORT,,SK5 7DD,10/03/2007,UNIT B,WYVERN AVENUE,REDDISH,STOCKPORT,,SK5 7DD,WORKSHOP AND PREMISES
,182.4,O,0,,1640074079,-1,0,182.4,,0,,0,0,CW1,380,A J C BUILDERS LTD,13 HIGHFIELD ROAD,BRAMHALL,STOCKPORT,,,SK7 3BE,01/03/2008,COMPOUND 5,CHADKIRK BUSINESS PARK,CHADKIRK,ROMILEY,STOCKPORT,SK6 3NE,LAND USED FOR STORAGE AND PREMISES
,8160,O,0,,9952010009,0,0,0,,0,,0,0,IF3,17000,A J HAULAGE LTD,195 DIALSTONE LANE,OFFERTON,STOCKPORT,,,SK2 7LF,25/09/2014,UNIT 10,PENNINE WAY,BREDBURY PARK INDUSTRIAL ESTATE,BREDBURY,STOCKPORT,SK6 2TF,WORKSHOP AND PREMISES
,2400,O,0,,7377126219,-1,0,2400,,0,,0,0,CW3,5000,A KEMP LTD,,,,,,,13/11/2008,UNIT M1,AQUEDUCT BUSINESS PARK,STATION ROAD,MARPLE,STOCKPORT,SK6 5LD,STORE AND PREMISES
,16200,O,0,,7268089009,0,438.75,0,,0,,0,0,CW,33750,A L TYRES LTD,,,,,,,01/04/1990,WAREHOUSE CORNER OF,SHEFFIELD STREET,HEATON NORRIS,STOCKPORT,,SK4 1RU,WAREHOUSE AND PREMISES
,3072,V,0,,1009068009,0,83.2,0,,0,,0,0,CS,6400,A M ELECTRICAL LTD,,,,,,,24/06/2011,68 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,SHOP AND PREMISES
,588,V,603.93,MINRV,627007029,0,15.93,0,,0,,0,0,CG2,1225,A P H COMPUTERS LTD,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,25/06/2009,R/O BLADE HOUSE,BATTERSEA ROAD,HEATON MERSEY,STOCKPORT,,SK4 3EA,GARAGE AND PREMISES
,16800,O,0,,8154001229,0,455,0,,0,,0,0,CO,35000,A P H COMPUTERS LTD,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,28/09/2012,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,OFFICES AND PREMISES
RETAIL,7680,O,0,,1009070009,0,0,0,,0,,0,0,CS,16000,A R HURST (LITHAPRINT) LTD,,,,,,,01/04/1990,70-72 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,SHOP AND PREMISES
,64320,O,0,,5209001009,0,1742,0,,0,,0,0,IFO,134000,A R STOCKTON & CO LTD,140 GREAT ANCOATS STREET,MANCHESTER,,,,M4 6DU,21/11/2012,1 HORSFIELD WAY,BREDBURY IND. ESTATE,BREDBURY,STOCKPORT,,SK6 2SU,"FACTORY, OFFICE AND PREMISES"
,7200,V,0,,5595070049,0,195,0,,0,,0,0,CW3,15000,"A,G RETAIL CARDS LIMITED",THE CRYSTAL BUILDING,LANGSTON ROAD,LOUGHTON,ESSEX,,IG10 3TH,01/07/2014,PART 1ST FLOOR,70 MERSEYWAY,STOCKPORT,,,SK1 1PL,STORE AND PREMISES
,71520,O,0,,5595096039,0,1937,0,,0,,0,0,CS,149000,A. LEVY & SON LTD,UNIT 13 UPLANDS BUSINESS PARK,BLACKHORSE LANE,WALTHAMSTOW,LONDON,,E17  5QN,24/08/2011,96 MERSEYWAY,STOCKPORT,,,,SK1 1QN,SHOP AND PREMISES
,2040,O,0,,3990023249,0,0,0,,0,,0,0,COO,4250,A24 GROUP LTD,GROUP HOUSE,92-96 LIND ROAD,SUTTON,SURRY,,SM1 4PL,06/11/2013,ROOMS 5-5A,RAYNOR HOUSE,23 HIGHER HILLGATE,STOCKPORT,,SK1 3ER,"OFFICES, OFFICE AND PREMISES"
RETAIL,2208,O,0,,5494002009,0,0,0,,0,,0,0,CL,4600,A2B PUBLIC HOUSES LTD,WATERGATE BUILDINGS,CRANE WHARF,NEW CRANE STREET,CHESTER,,CH1 4JE,12/08/2013,THE COCKED HAT,2 MARKET PLACE,STOCKPORT,,,SK1 1EW,PUBLIC HOUSE AND PREMISES
,2832,O,0,,3816174029,-1,0,2832,,0,,0,0,CR1,5900,A2Z (GB) LTD,369 VICTORIA AVENUE,MANCHESTER,,,,M9 8WQ,19/03/2012,174 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,CAFE AND PREMISES
,13800,O,0,,3143268019,0,373.75,0,,0,,0,0,CO,28750,A4 HEALTH GROUP LTD,,,,,,,07/06/2014,268 FINNEY LANE,HEALD GREEN,CHEADLE,,,SK8 3QD,OFFICES AND PREMISES
RETAIL,12360,O,0,,5098324009,0,334.75,0,,0,,0,0,CL,25750,A6 DEVELOPMENTS LTD,,,,,,,23/03/2012,RISING SUN,LONDON ROAD,HAZEL GROVE,STOCKPORT,,SK7 6AD,PUBLIC HOUSE AND PREMISES
,6120,O,0,,1007174029,-1,0,0,,0,,0,0,IF3S,12750,A6 TILE SOLUTIONS LTD,,,,,,,01/03/2006,UNIT 4,SIMPSONS BUSINESS CENTRE,BUXTON ROAD,HAZEL GROVE,,SK7 6LZ,"WORKSHOP, STORE AND PREMISES"
,591.93,O,0,,908301799,-1,0,591.93,,0,,0,0,CO,1275,AAI GLOBAL LIMITED,C/O SERVICES TO PLACE - SBIC,OXFORD INNOVATION LTD,3RD FLOOR,BROADSTONE MILL,STOCKPORT,SK5 7DL,13/04/2015,SUITE 315  3RD FLOOR,BROADSTONE HOUSE,BROADSTONE ROAD,STOCKPORT,,SK5 7DL,OFFICES AND PREMISES
,10920,O,0,,3370002029,0,295.75,0,,0,,0,0,CR,22750,AAMCHI MUMBAI LIMITED,,,,,,,10/06/2014,GROUND FLOOR FRONT,2A GATLEY ROAD,CHEADLE,,,SK8 1PY,RESTAURANT & PREMISES
RETAIL,9360,O,0,,883021019,0,253.5,0,,0,,0,0,CW,19500,AARDVARK CAR SUPERMARKET LIMITED,,,,,,,06/02/2012,UNIT 3 DEMETER BUILDINGS,BRIGHTON ROAD,HEATON NORRIS,STOCKPORT,,SK4 2BE,WAREHOUSE AND PREMISES
,3408,O,0,,6438099069,-1,0,2783.14,,0,,0,0,CO,7100,AARON ACCESS LTD,BRAMHALL BUSINESS CENTRE,PEPPER HOUSE,PEPPER ROAD,HAZEL GROVEC,STOCKPORT,SK7 5DP,01/08/2014,HUB 3,PEPPER HOUSE,1 PEPPER ROAD,HAZEL GROVE,STOCKPORT,SK7 5DP,OFFICES AND PREMISES
,27120,O,0,,8154001169,0,734.5,0,,0,,0,0,CO,56500,ABA QUALITY MONITORING LTD,,,,,,,01/04/2003,UNIT A6,THE EMBANKMENT,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3GN,OFFICES AND PREMISES
,9120,O,0,,3360090049,0,247,0,MAN,7493.6,,0,0,EN1,19000,ABACUS CHILDRENS COMM EDU SUP (ACC) LTD,,,,,,,01/04/2010,BRIGHT BEGINNINGS COMMUNITY NURSERY,120 GARNERS LANE,DAVENPORT,STOCKPORT,,SK3 8QW,DAY NURSERY AND PREMISES
,4032,O,0,,3851013019,-1,0,2419.2,,0,,0,0,CG1,8400,ABACUS PLANT & MATERIALS HANDLINGS LTD,VEHICLE REPAIR WORKSHOP,HARRISON STREET,HIGHER HILLGATE,STOCKPORT,,SK1 3QZ,20/11/2014,VEHICLE REPAIR WORKSHOP,HARRISON STREET,HIGHER HILLGATE,STOCKPORT,,SK1 3QZ,VEHICLE REPAIR WORKSHOP AND PREMISES
,1848,V,1898.05,PROHIB,6243001059,0,50.05,0,,0,,0,0,IF3,3850,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/04/2006,7C PORTWOOD INDUSTRIAL ESTATE,OFFERTON STREET,NEWBRIDGE LANE,STOCKPORT,,SK1 2LA,WORKSHOP AND PREMISES
,2376,V,2440.35,PROHIB,6243001049,0,64.35,0,,0,,0,0,CW,4950,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/04/2006,UNITS 7D & 8C,PORTWOOD INDUSTRIAL ESTATE,OFFERTON STREET,NEWBRIDGE LANE,STOCKPORT,SK1 2LA,STORE &  PREMISES
,0,V,0,MINRV,97001049,0,0,0,,0,,0,0,CX,0,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/09/2008,COMPSTALL MILL,ANDREW STREET,COMPSTALL,STOCKPORT,,SK6 5HN,BUILDING IN SEVERE REPAIR
,3936,O,0,,5098320009,-1,0,2492.66,,0,,0,0,CS,8200,ABBOTT & BRAMWELL LTD,,,,,,,13/11/2009,320 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4RF,SHOP AND PREMISES
,9720,V,9983.25,AO,5674201009,0,263.25,0,,0,,0,0,CS,20250,ABC INTERIORS (NORTH WEST) LTD,IN ADMINISTRATION,C/O REFRESH RECOVERY,WEST LANCASHIRE INVESTMENT CENTRE,"MAPLE VIEW, WHITE MOSS BUSINESS PARK",SKELMERSDALE,WN8 9TG,12/05/2014,201 MOSS LANE,BRAMHALL,STOCKPORT,,,SK7 1BA,SHOP AND PREMISES
,3600,O,0,,3116006039,-1,0,2700,,0,,0,0,IF3,7500,ABDEC (MCR) LTD,,,,,,,01/12/2014,UNIT 6A,FAR CROMWELL ROAD,BREDBURY,STOCKPORT,,SK6 2RF,WORKSHOP AND PREMISES
,1272,O,0,,72000009,0,0,0,,0,,0,0,CO,2650,ABERDEEN PROPERTY TRUST,C/O JONES LANG LASALLE,ONE PICCADILLY GARDENS,MANCHESTER,,,M1 1RG,01/04/2015,SECURITY LODGE,LAWNHURST TRADING ESTATE,ASHURST DRIVE,CHEADLE HEATH,STOCKPORT,SK3 0SD,OFFICES AND PREMISES
,10056.39,V,0,,72002049,0,272.36,0,,0,,0,0,CW,27000,ABERDEEN PROPERTY TRUST,C/O JONES LANG LASALLE,ONE PICCADILLY GARDENS,MANCHESTER,,,M1 1RG,30/03/2015,2 LAWNHUSRT TRADING ESTATE,ASHURST DRIVE,CHEADLE HEATH,STOCKPORT,,SK3 0SD,WAREHOUSE AND PREMISES
,10590.16,V,10876.98,IN,72008019,0,286.82,0,,0,,0,0,CWO,23750,ABERDEEN PROPERTY TRUST,C/O JONES LANG LASALLE,ONE PICCADILLY GARDENS,MANCHESTER,,,M1 1RG,27/04/2015,UNIT 8,ASHURST DRIVE,LAWNHURST TRADING ESTATE,CHEADLE HEATH,STOCKPORT,SK3 0SD,"WAREHOUSE, OFFICE AND PREMISES"
