Local Authority Name ,Local Authority reference number ,DFE Code,School Name,Executive headteacher,Headteacher,Address 1,Address 2,Address 3,Post Code,Website,Telephone,Fax,NOR,Status,Type
Calderdale Metropolitan Borough Council ,E08000033,2087,Cross Lane Primary and Nursery School,,Viv Watson,Cross Lane,,ELLAND,HX5 0LP,http://www.crosslaneprimary.co.uk,01422 372614,01422 373847,320,C,P
Calderdale Metropolitan Borough Council ,E08000033,2007,Dean Field Community Primary School,,Leigh Brown,Cousin Lane,Ovenden,HALIFAX,HX2 8DQ,http://www.deanfieldschool.co.uk,01422 258258,01422 258258,227,C,P
Calderdale Metropolitan Borough Council ,E08000033,3318,"Elland CE (VA) J, I & N School",,Mrs Wendy Holdsworth,Westgate,,ELLAND,HX5 0BB,http://www.elland.calderdale.sch.uk,01422 373159,01422 311568,215,VA,P
Calderdale Metropolitan Borough Council ,E08000033,2003,Ferney Lee Primary School,,Jonathan Moss (interim),Ferney Lee Road,,TODMORDEN,OL14 5NR,http://www.ferneylee.calderdale.sch.uk/,01706 812412,01706 839998,213,C,P
Calderdale Metropolitan Borough Council ,E08000033,2000,Field Lane Primary (Brighter Futures Academy Trust),Ms Lynda Johnson,Mrs Vanessa Dear,Burnsall Road,Rastrick,BRIGHOUSE,HD6 3JT,http://http://www.fieldlaneprimary.org.uk/,01484 713792,01484 401915,154,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,3319,Hebden Royd CE (VA) Primary School,,Miss Gretl Young,Church Lane,,HEBDEN BRIDGE,HX7 6DS,http://www.hebdenroydprimary.org.uk,01422 842821,01422 845905,150,VA,P
Calderdale Metropolitan Borough Council ,E08000033,2058,"Heptonstall J, I & N School",,Mr David Perrin,Smithwell Lane,Heptonstall,HEBDEN BRIDGE,HX7 7NX,http://www.heptonstallschool.org.uk,01422 842533,01422 842533,111,C,P
Calderdale Metropolitan Borough Council ,E08000033,7010,Highbury School,,Debbie Sweet,Lower Edge Road,Rastrick,BRIGHOUSE,HD6 3LD,http://www.highburyschool.co.uk,01484 716319,01484 721893,71,CS,P (Sp)
Calderdale Metropolitan Borough Council ,E08000033,3331,"Holy Trinity Primary School, a Church of England Academy",,Mrs Liz Whetham,Savile Park Road,,HALIFAX,HX1 2ES,http://www.holytrinitycofecalderdale.org.uk/,01422 367161,01422 250113,407,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2050,Holywell Green Primary School,,Mr Paul McVeigh,Stainland Road,Holywell Green,HALIFAX,HX4 9AE,http://www.holywellgreenschool.co.uk,01422 374369,01422 310556,241,C,P
Calderdale Metropolitan Borough Council ,E08000033,2010,Lee Mount Primary School,,Ms Laura Newcombe,Lee Mount Road,,HALIFAX,HX3 5EB,http://www.leemount.calderdale.sch.uk,01422 352856,,374,C,P
Calderdale Metropolitan Borough Council ,E08000033,5404,Lightcliffe Academy,Mrs Carol Kitson,Mr Thomas Rothwell,Stoney Lane,Lightcliffe,HALIFAX,HX3 8TL,http://www.lightcliffeacademy.co.uk/,01422 201028,01422 204615,1415,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,5204,Lightcliffe Acadeny,,Mr Charles Woodbridge,Wakefield Road,Lightcliffe,HALIFAX,HX3 8SH,http://www.lightcliffe.org,01422 202235,01422 200146,421,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2033,"Ling Bob J, I & N School",,Mr Philip Simpson,Albert Road,Pellon,HALIFAX,HX2 0QD,http://http://www.lingbob.calderdale.sch.uk/,01422 434000,01422 434001,378,C,P
Calderdale Metropolitan Borough Council ,E08000033,5207,Longroyde Primary School,,Mr Robert Fox,Longroyde Road,Rastrick,BRIGHOUSE,HD6 3AS,http://www.longroyde.weebly.com,01484 715300,01484 401810,415,F,P
Calderdale Metropolitan Borough Council ,E08000033,3014,Luddenden CE School,,Miss Lisa Hoyle,Dene View,Luddendenfoot,HALIFAX,HX2 6PB,http://www.luddenden-ce.calderdale.sch.uk,01422 886353,01422 886354,205,VC,P
Calderdale Metropolitan Borough Council ,E08000033,2064,Luddendenfoot Academy,Ms Lynda Johnson,Ms Rebecca Denham,Burnley Road,Luddendenfoot,HALIFAX,HX2 6AU,http://www.luddendenfoot.org.uk,01422 882298,01422 882298,148,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2065,Midgley School,,Miss Joanne Mansfield ,Lane Ends,Midgley,HALIFAX,HX2 6TX,http://www.midgleyschool.org.uk,01422 882356,01422 881192,102,C,P
Calderdale Metropolitan Borough Council ,E08000033,3332,Moorside Community Academy Primary School,,Dani Worthington,Keighley Road,Ovenden,HALIFAX,HX2 8AP,http://www.moorside-primary.org.uk,01422 365236,01422 366610,261,C,P
Calderdale Metropolitan Borough Council ,E08000033,2002,Mount Pellon Primary Academy,Chris Walton,Ruth Collyer,Battinson Road,,HALIFAX,HX1 4RG,http://www.mountpellonacademy.org,01422 349618,01422 342569,540,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2066,New Road Primary School,Mrs Nan Oldfield,Sharon Harwood,Sowerby New Road,,SOWERBY BRIDGE,HX6 1DY,http://www.newroadprimarycalderdale.org.uk,01422 831351,01422 831862,144,C,P
Calderdale Metropolitan Borough Council ,E08000033,3010,Norland CE School,,Mrs Janet Clayton,Berry Moor Road,Norland,SOWERBY BRIDGE,HX6 3RN,http://www.norland.calderdale.sch.uk,01422 831602,01422 831602,97,VC,P
Calderdale Metropolitan Borough Council ,E08000033,2015,Northowram Primary School,,Mr Daniel Lomas,Baxter Lane,Northowram,HALIFAX,HX3 7EF,http://northowram.calderdale.sch.uk/,01422 202704,01422 201728,475,C,P
Calderdale Metropolitan Borough Council ,E08000033,2083,Old Earth School,,Mr Paul Reynolds,Lower Edge Road,,ELLAND,HX5 9PL,http://www.oldearth.co.uk,01422 375316,01422 370584,464,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2075,Old Town Primary School,,Joanne Buckley,Billy Lane,Wadsworth,HEBDEN BRIDGE,HX7 8RY,http://www.oldtown.calderdale.sch.uk,01422 842859,01422 842859,102,C,P
Calderdale Metropolitan Borough Council ,E08000033,4001,Park Lane Learning Trust,,Lisa Corrigan,Park Lane,Exley,HALIFAX,HX3 9LG,http://www.parklanelearningtrust.org/,01422 362215,01422 301050,445,F,S
Calderdale Metropolitan Borough Council ,E08000033,2017,Parkinson Lane Community Primary School,,Mr Gulfaraz Ahmed,Parkinson Lane,,HALIFAX,HX1 3XL,http://www.parkinsonlane.com,01422 362227,01422 250104,572,C,P
Calderdale Metropolitan Borough Council ,E08000033,5402,Rastrick High School,,Mr Steve Evans,Field Top Road,Rastrick,BRIGHOUSE,HD6 3XB,http://www.rastrick.calderdale.sch.uk,01484 710235,01484 720043,1476,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,7009,Ravenscliffe High School and Sports College,,Mr Martin Moorman,Skircoat Green,,HALIFAX,HX3 0RZ,http://www.ravenscliffe.calderdale.sch.uk,01422 358621,01422 329621,163,CS,S (Sp)
Calderdale Metropolitan Borough Council ,E08000033,2061,Ripponden J & I School,,Mrs L Bamforth,Halifax Road,Ripponden,SOWERBY BRIDGE,HX6 4AH,http://www.ripponden.calderdale.sch.uk,01422 823362,01422 825154,222,C,P
Calderdale Metropolitan Borough Council ,E08000033,2082,Riverside Junior School,Cathy Greenaway,Rachel Burton,Holme Street,,HEBDEN BRIDGE,HX7 8EE,http://www.riversidejunior.co.uk,01422 842154,01422 842154,153,C,J
Calderdale Metropolitan Borough Council ,E08000033,5408,Ryburn Valley High School,,Mr David Lord,St Peter's Avenue,,SOWERBY BRIDGE,HX6 1DF,http://www.rvhs.co.uk,01422 832070,01422 833386,1420,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,3328,Sacred Heart Catholic Primary School (Sowerby Bridge),,Mrs Sue McManamin,St Peter's Avenue,,SOWERBY BRIDGE,HX6 1BL,http://www.sacredheart.calderdale.sch.uk,01422 831360,01422 839734,190,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2021,Salterhebble J & I School,,Mrs Belinda Kerfoot-Roberts,Stafford Square,,HALIFAX,HX3 0AU,http://www.salterhebble.calderdale.sch.uk,01422 252004,01422 254150,205,C,P
Calderdale Metropolitan Borough Council ,E08000033,5200,Salterlee Academy Trust,,Mr Mark Scott,Kell Lane,Shibden,HALIFAX,HX3 7AY,http://www.salterlee.calderdale.sch.uk,01422 365464,01422 365464,99,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2009,Savile Park Primary School,,Mrs Jayne Boylan,Moorfield Street,,HALIFAX,HX1 3ER,http://savileparkprimary.org.uk,01422 352844,01422 893506,280,C,P
Calderdale Metropolitan Borough Council ,E08000033,2056,Scout Road Academy,,Mrs Anne Stamp,Scout Road,Mytholmroyd,HEBDEN BRIDGE,HX7 5JR,http://www.scoutroadacademy.org.uk,01422 883327,01422 883327,99,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2073,Shade Primary School,,Helen Clarkson,Knowlwood Road,Shade,TODMORDEN,OL14 7PD,http://www.shade.calderdale.sch.uk/,01706 812913,,232,C,P
Calderdale Metropolitan Borough Council ,E08000033,2060,Shelf J & I School,,Mrs Sian Fenton,Shelf Hall Lane,Shelf,HALIFAX,HX3 7LT,http://www.shelfjandi.com,01274 676782,01274 676782,312,C,P
Calderdale Metropolitan Borough Council ,E08000033,2094,Siddal Primary (Brighter Futures Academy Trust),Ms Lynda Johnson,Caroline Howarth,Backhold Lane,Siddal,HALIFAX,HX3 7LT,http://www.siddalprimary.org.uk,01422 354976,01422 356454,255,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2095,Sowerby Village CE (VC) Primary School,,Mrs Lynsey Mitchell,St Peter's Avenue,Sowerby,SOWERBY BRIDGE,HX6 1HB,http://www.sowerbyvillage.org.uk,01422 831971,N/A,169,VC,P
Calderdale Metropolitan Borough Council ,E08000033,3315,St Andrew's CE (VA) Infant School (Brighouse),Mrs Naomi Wood,Mrs Jo Swallow,Lightcliffe Road,,BRIGHOUSE,HD6 2HH,http://www.st-andrews-inf.calderdale.sch.uk,01484 714964,01484 723631,165,VA,I
Calderdale Metropolitan Borough Council ,E08000033,3314,St Andrew's CE (VA) Junior School (Brighouse),,Karen Smith,Waterloo Road,,BRIGHOUSE,HD6 2AN,http://www.standrews.calderdale.sch.uk,01484 712895,01484 381069,240,VA,J
Calderdale Metropolitan Borough Council ,E08000033,3303,St Augustine's CE (VA) J & I School (Halifax),,Ms Leona Binner,Hanson Lane,,HALIFAX,HX1 5PG,http://www.st-augustines.calderdale.sch.uk,01422 360615,01422 356323,185,VA,P
Calderdale Metropolitan Borough Council ,E08000033,5206,St Chad's CE (VA) Primary School,,Mr Graeme Genty,Upper Green Lane,Hove Edge,BRIGHOUSE,HD6 2PA,http://www.st-chads.calderdale.sch.uk,01484 712361,01484 711638,210,VA,P
Calderdale Metropolitan Borough Council ,E08000033,5203,"St John's (CE) Primary Academy, Clifton",,Mrs Helen Lever,Towngate,Clifton,BRIGHOUSE,HD6 4HP,http://www.stjohnsacademyclifton.co.uk,01484 713036,01484 722201,207,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,3322,St John's CE Primary School (Rishworth),,Ms Joanna Wasyliw,Godly Lane,Rishworth,SOWERBY BRIDGE,HX6 4QR,http://www.stjohnsrishworth.org.uk,01422 822596,N/A,140,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,3329,St Joseph's Catholic Primary School (Brighouse),,Mrs Mary Hodges,Finkil Street,,BRIGHOUSE,HD6 2NT,http://www.stjosephsbrighouse.org.uk,01484 713037,01484 400496,228,VA,P
Calderdale Metropolitan Borough Council ,E08000033,3305,St Joseph's Catholic Primary School (Halifax),,Helena Angstmann ,Portland Road,,HALIFAX,HX3 6LA,http://www.st-josephs.calderdale.sch.uk,01422 360646,01422 342858,192,VA,P
Calderdale Metropolitan Borough Council ,E08000033,3330,St Joseph's RC Primary School (Todmorden),,Liz Lloyd,Wellington Road,,TODMORDEN,OL14 5HP,http://www.st-josephs-tod.org.uk,01706 812948,01706 811870,139,VA,P
Calderdale Metropolitan Borough Council ,E08000033,3306,St Malachy's Catholic Primary School,,Mrs Annie McNally,Furness Place,Illingworth,HALIFAX,HX2 8JY,http://www.stmalachysprimary.org.uk,01422 244628,01422 242088,202,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,3308,St Mary's Catholic Primary School (Halifax),,Mr Mark Brennan,Swires Road,,HALIFAX,HX1 2ER,http://www.stmaryshalifax.co.uk,01422 362365,01422 255116,289,VA,P
Calderdale Metropolitan Borough Council ,E08000033,3011,St Mary's CE (VC) J & I School (Sowerby Bridge),,Mr Matthew Hopkins,Lumb Lane,Mill Bank,SOWERBY BRIDGE,HX6 3EJ,http://www.st-marys.calderdale.sch.uk,01422 823353,01422 823353,104,VC,P
Calderdale Metropolitan Borough Council ,E08000033,5202,St Michael & All Angels CE Primary School,,Mrs Claire Berry,"Meadow Close, Greenacres,",Shelf,HALIFAX,HX3 7QU,http://www.st-michaelangels.calderdale.sch.uk,01274 676246,01274 691097,202,F,P
Calderdale Metropolitan Borough Council ,E08000033,3327,St Patrick's Catholic Primary School (Elland),,Mrs Linda Brown,Hullen Edge Road,,ELLAND,HX5 0QY,http://www.stpatselland.org.uk,01422 373104,01422 373651,133,VA,P
Calderdale Metropolitan Borough Council ,E08000033,2057,Stubbings Infant School,Jennifer Melling,,School Street,,HEBDEN BRIDGE,HX7 8BP,http://www.stubbingsinfantschool.co.uk,01422 842728,N/A,90,C,I
Calderdale Metropolitan Borough Council ,E08000033,5405,The Brooksbank School Sports College,,Mr Kevin McCallion,Victoria Road,,ELLAND,HX5 0QG,http://www.bbs.calderdale.sch.uk,01422 374791,01422 310945,1687,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,5401,The Crossley Heath School,,Lynette Cassidy,Savile Park,,HALIFAX,HX3 0HG,http://www.crossleyheath.org.uk,01422 360272,01422 349099,1138,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,2049,The Greetland Academy ,Mrs Amanda Bennett,Mr Paul Dixon,"(Main School), School Street",Greetland,HALIFAX,HX4 8JB,http://www.greetlandacademy.org.uk,01422 372893,01422 377125,420,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,4035,The Halifax Academy (primary phase),,Mrs Lesley Bowyer,Gibbet Street,,HALIFAX,HX2 0BA,http://http://www.thehalifaxacademy.org/,01422 301080,01422 301081,119,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,4035,The Halifax Academy (secondary phase),,Mick Kay,Gibbet Street,,HALIFAX,HX2 0BA,http://http://www.thehalifaxacademy.org/,01422 301080,01422 301081,937,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,5400,The North Halifax Grammar School,,Mr Andrew Fisher,Moor Bottom Road,Illingworth,HALIFAX,HX2 9SU,http://www.nhgs.co.uk,01422 244625,01422 245237,1106,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,3326,"Todmorden CE (VA) J, I & N School",,Mrs Alice Leadbitter,Burnley Road,,TODMORDEN,OL14 7BS,http://www.todmordenprimary.org.uk,01706 812019,01706 818967,242,VA,P
Calderdale Metropolitan Borough Council ,E08000033,4026,"Todmorden High School, Specialist Visual Arts College",Chris Taylor,Gill Shirt,Ewood Lane,,TODMORDEN,OL14 7DG,http://www.todhigh.co.uk,01706 813558,01706 814821,722,C,S
Calderdale Metropolitan Borough Council ,E08000033,3013,Triangle CE (VC) Primary School,,Mr Gavin Davies,Butterworth Lane,Triangle,SOWERBY BRIDGE,HX6 3NJ,http://www.triangleprimary.org.uk,01422 831558,01422 836254,189,VC,P
Calderdale Metropolitan Borough Council ,E08000033,6905,Trinity Academy Halifax,Mr Michael Gosling ,Mr James Franklin-Smith,Shay Lane,Holmfield,HALIFAX,HX2 9TZ,http://www.trinityacademyhalifax.org,01422 244890,01422 240033,1730,ACAD,S
Calderdale Metropolitan Borough Council ,E08000033,4024,Trinity Academy Sowerby Bridge,James Franklin Smith,Charlie Johnson,Albert Road,,SOWERBY BRIDGE,HX6 2NW,http://www.sbhs.co.uk,01422 831011,01422 835962,780,C,S
Calderdale Metropolitan Borough Council ,E08000033,2067,Tuel Lane Infant School,,Ms Judy Shaw,Clay Street,,SOWERBY BRIDGE,HX6 2ND,http://www.tuellaneinfantschool.org.uk,01422 831221,N/A,154,C,I
Calderdale Metropolitan Borough Council ,E08000033,2027,Wainstalls School,Mr Roy Hepplestone,Ms Linda Waugh,,Wainstalls,HALIFAX,HX2 7TE,http://www.wainstalls.org.uk,01422 244804,01422 244804,177,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,5208,Walsden St Peter's CE (VC) Primary School,,Mrs E Logue / Mrs E Crowther,Rochdale Road,Walsden,TODMORDEN,OL14 6RN,http://www.walsden.calderdale.sch.uk,01706 812947,01706 819285,174,VC,P
Calderdale Metropolitan Borough Council ,E08000033,2028,Warley Road Primary School,,Mrs Gill Horner,Warley Road,,HALIFAX,HX1 3TG,http://www.warleyroad.calderdale.dbprimary.com,01422 353724,01422 353724,656,C,P
Calderdale Metropolitan Borough Council ,E08000033,2030,Warley Town School,,Anne Stead,Dark Lane,Warley,HALIFAX,HX2 7QD,http://www.warleytown.org.uk,01422 831592,01422 831594,139,C,P
Calderdale Metropolitan Borough Council ,E08000033,5205,West Vale Primary School,Chris Wightman,,Stainland Road,Greetland,HALIFAX,HX4 8LS,http://www.westvale.calderdale.sch.uk,01422 372804,01422 311330,173,F,P
Calderdale Metropolitan Borough Council ,E08000033,2031,Whitehill Community Academy 3-11,,Mr Roy Hepplestone,Occupation Lane,Illingworth,HALIFAX,HX2 9RL,http://www.whitehillacademy.org/,01422 244471,01422 249389,667,ACAD,P
Calderdale Metropolitan Borough Council ,E08000033,2046,Withinfields Primary School,,Mrs Helen York,Law Lane,Southowram,HALIFAX,HX3 9QJ,http://www.withinfields.calderdale.sch.uk,01422 363581,01422 344496,389,C,P
Calderdale Metropolitan Borough Council ,E08000033,7008,Wood Bank School,,Mr Richard Pawson,Dene View,Luddendenfoot,HALIFAX,HX2 6PB,http://www.woodbank.calderdale.sch.uk,01422 884170,01422 884671,70,CS,P (Sp)
Calderdale Metropolitan Borough Council ,E08000033,2081,Woodhouse Primary School,,Mrs Lynn Daveney,Daisy Road,,BRIGHOUSE,HD6 3SX,http://www.woodhouse.calderdale.sch.uk,01484 714750,01484 720347,417,C,P
