UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
229,Stockport Council,SOCIAL CARE SERVICES : Adult,Family Care Support,Quote,Contract,01/04/2012,36,60,31/03/2015,Yes,31/03/2017,31/03/2017," £61,200.00 "," £306,000.00 ",Stroke Association,Large,61274,NG2 7QW,Stockport- Services to People
236,Stockport Council,SOCIAL CARE SERVICES : Adult,Provision of Framework for Residential & Nursing Care for Older People,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017," £173,908.00 "," £695,632.00 ",United Response,VCSE,1133776,SW19 1NE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017," £441,000.00 "," £1,764,000.00 ",Various - See Supplier Tab,Various- See below,Various- See below,Various- See below,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £638,092.00 "," £2,552,368.00 ",Abacus Homecare,SME,915434629,SK5 7BB,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £38,538.00 "," £154,152.00 ",A-Best Nursing & Care,SME,06314762,SK1 3RU,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £703,040.00 "," £2,812,160.00 ",Castlerock,Large,6357982,BB1 2QY,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £1,137,207.00 "," £4,548,828.00 ",Assured Care (Stockport) Ltd,SME,07288112,SK1 3LG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £528,523.00 "," £2,114,092.00 ",Bridge Care Services Ltd,SME,03911926,SK6 7AD,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £513,645.00 "," £2,054,580.00 ",Care Needs Ltd,SME,04125024,SK4 1AS,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £1,132,222.00 "," £4,528,888.00 ",Absolute Care at Home LTd,SME,05583427,WA14 2PL,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £782,295.00 "," £3,129,180.00 ",Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £202,252.00 "," £809,008.00 ",Elite HomeCare,SME,7156929,SK7 5DP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £182,329.00 "," £729,316.00 ",Equality Homecare Service Ltd,SME,06144289,M22 4US,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £704,562.00 "," £2,818,248.00 ",HG Care Services Ltd,SME,04626258,SK4 3GN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £82,000.00 "," £328,000.00 ",Herbex Nursing & Care,SME,03112191,M41 9JN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £265,674.00 "," £1,062,696.00 ",Homecare4u,SME,07455354,SK2 6NG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £256,445.00 "," £1,025,780.00 ",The Human Support Group Ltd,Large,03513906,M20 3JG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £207,688.00 "," £830,752.00 ",The Independent Care Agency,SME,4746104,SK4 2LP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £106,571.00 "," £426,284.00 ",Independent Options (Stockport) Ltd ,SME,02560910,SK7 5PE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £500,292.00 "," £2,001,168.00 ",Laurel Bank Support at Home,SME,2423368,SK14 5HZ,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £84,409.00 "," £337,636.00 ",Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,, nil , nil ,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £341,350.00 "," £1,365,400.00 ",Quality Care of Cheadle,SME,n/a,SK82EE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £23,631.00 "," £94,524.00 ",Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £163,389.00 "," £653,556.00 ",Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £385,194.00 "," £1,540,776.00 ",MRL Healthcare,SME,SC441634,SK1 3NA,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £208,465.00 "," £833,860.00 ",True Homecare Ltd,SME,7912253,SK8 1DW,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £28,872.00 "," £115,488.00 ",Angel Care Services,SME,7925464,M22 8LP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,,,01/04/2014,48,48,31/03/2018,No,31/03/2018,," £298,832.00 "," £1,195,328.00 ",Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
244,Stockport Council,SOCIAL CARE SERVICES : Adult,Residential care  ,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017," £4,023,911.00 "," £16,095,644.00 ",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),OJEU,Contract,01/10/2011,24,60,30/09/2014,Yes,30/09/2016,01/08/2016," £99,900.00 "," £499,500.00 ",MIND,VCSE,5879337,SK1 3NP,Stockport- Services to People
252,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Provision of an Independent Mental Capacity Advocate,OJEU,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,01/08/2016," £30,000.00 "," £90,000.00 ",Advocacy Experience,SME,4406655,WN7 2RJ,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.1,Mini Competition (Internal),Contract,14/01/2014,36,48,13/01/2017,Yes,13/01/2018,01/08/2016," £1,579,232.00 "," £6,316,928.00 ",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.2,Mini Competition (Internal),Contract,17/03/2014,36,48,16/03/2017,Yes,16/03/2018,01/08/2016," £68,888.00 "," £275,552.00 ",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.3 (Phase 1),Mini Competition (Internal),Contract,01/07/2014,36,48,30/06/2017,No,30/06/2018,30/06/2016," £215,703.00 "," £862,812.00 ",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
279,Stockport Council,191600-Facilities & Management Services : Printing : ,"Ballot Papers, Postal Voting Packs and poll cards for Election",Quote,Contract,02/09/2013,36,36,01/09/2016,No,01/09/2016,01/08/2016," £137,511.00 "," £412,533.00 ",Electoral Reform Services Ltd ,SME,02263092,N8 0NW,Stockport- Corporate & Support Services
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services ,Call Off (External),Contract,01/04/2014,60,72,31/03/2018,No,31/03/2018,31/03/2018," £400,000.00 "," £2,400,000.00 ",Barclays Bank PLC,Large,01026167,E14 5HP,Stockport- Corporate & Support Services
306,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection,Call Off (External),Contract,01/11/2012,24,60,31/07/2017,Yes,31/07/2017,01/08/2016," £50,000.00 "," £250,000.00 ",G4S,Large,4992207,RH19 9UN,Stockport- Corporate & Support Services
326,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Client Caseload Information System ,OJEU,Contract,01/04/2013,36,48,31/03/2016,Yes,31/03/2017,01/08/2016," £54,228.00 "," £216,912.00 ",Careervision,SME,04569557,RM6 45N,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017," £2,816,633.89 "," £28,166,338.86 ",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance , Retaining Walls ",OJEU,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017," £1,650,651.80 "," £16,506,517.97 ",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy",OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £92,523.36 "," £1,017,757.01 ","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,391413-  ,Carriageway Surfacing ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £1,048,598.13 "," £11,534,579.44 ",Tarmac Limited,Large,7533961,B37 7BQ,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016," £4,200,000.00 "," £16,800,000.00 ",Various - See below,Various - See below,Various - See below,Various - See below,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,24,12,30/11/2016,Yes,30/11/2017,," £5,500.00 "," £5,500.00 ",Aggregate Industries Ltd,Large,245717,RH1 3ES,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,24,12,30/11/2016,Yes,30/11/2017,," £5,500.00 "," £5,500.00 ",J Hopkins Contractors Ltd,Large,1112562,M17 1LP,Stockport- Services to Place
374,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,OJEU,Contract,21/12/2012,48,48,20/12/2016,Yes,20/12/2016,01/08/2016," £66,666.67 "," £266,666.67 ",Broxap Ltd / Wybone Ltd ,SME,"broxap - 02583752
Wybone - 00952455","Broxap- ST5 6BD
Wybone - S74 9TF",Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,Tender (OJEU),Contract,01/10/2014,36,36,30/09/2017,No,30/09/2017,30/09/2016," £7,030.00 "," £21,090.00 ",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £366,666.67 "," £4,033,333.33 ",J Cooney Limited,Large,2057769,OL11 4HQ,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £916,666.67 "," £10,083,333.33 ",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £246,728.97 "," £2,714,018.69 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,05/08/2015,24,12,04/08/2017,No,04/08/2018,04/04/2017," £64,918.50 "," £64,918.50 ",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining,OJEU,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018," £123,364.49 "," £1,357,009.35 ",Galliford Try Infrastructure Limited.,Large,SC055775,EH12 1LB,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018," £122,222.22 "," £1,344,444.44 ",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2016,Yes,28/02/2020,01/08/2019," £19,466.50 "," £155,732.00 ",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU,Contract,01/04/2008,72,72,31/03/2019,No,31/03/2022,01/08/2016," £427,777.78 "," £2,566,666.67 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
420,Stockport Council,241212-Horticultural : Weed Control : ,Weed Control,OJEU,Contract,01/04/2013,24,48,31/03/2017,Yes,31/03/2017,01/10/2016," £120,000.00 "," £480,000.00 ",Assist Managed Services ,SME,4501131,L8 5RN,Stockport- Services to Place
433,Stockport Council,271100-Information Communication Technology : Consumables : ,Computer Consumables ,Tender,Contract,01/05/2013,54,54,27/11/2017,No,27/11/2017,28/11/2016," £80,463.63 "," £362,086.33 ",Supplies Team ,Large,05510758,S9 1XU,Stockport- Corporate & Support Services
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,Tender (OJEU),Framework Agreement,01/12/2014,36,48,30/11/2017,No,30/11/2018,19/01/2017," £1,300,000.00 "," £5,200,000.00 ",H Jenkinson,Large,00169844,L34 9JR/BL6 4SB,Stockport- Services to Place
441,Stockport Council,181300-Environmental Services : Land Protection : ,Ground Care Equipment ,Tender,Contract,01/04/2015,60,120,31/03/2020,No,31/03/2020,31/03/2019," £20,000.00 "," £200,000.00 ",Balmers GM Ltd,SME,809951,BB11 5PF,Solutions SK
502,Stockport Council,SOCIAL CARE SERVICES : Adult,Pennine NHS Trust Community Drug Team and Community Alcohol Team. Community based Substance misuse services,OJEU,Contract,01/10/2015,84,84,30/09/2022,No,30/09/2022,01/08/2016," £233,285.71 "," £1,633,000.00 ",Pennine and Lifeline,NHS,NHS - National Health Service,M1 1JF,Stockport- Services to People
503,Stockport Council,SOCIAL CARE SERVICES : Adult,Public Health  enhanced services – GP Health Check,Local Services,Contract,01/10/2013,42,42,31/03/2017,No,31/03/2017,01/02/2017," £132,000.00 "," £462,000.00 ",available to all GP's and pharmacies within the borough of Stockport,available to all GP's and pharmacies within the borough of Stockport,available to all GP's and pharmacies within the borough of Stockport,available to all GP's and pharmacies within the borough of Stockport,Stockport- Services to People
507,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – Intrauterine Contraceptive Device fitting,Local Services,Contract,01/04/2013,36,12,31/03/2016,Yes,31/03/2017,01/08/2016," £250,000.00 "," £250,000.00 ",Various - See below,Various - See below,Various - See below,Various - See below,Stockport- Services to People
507,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – Intrauterine Contraceptive Device fitting,,,01/04/2013,36,12,31/03/2017,Yes,30/03/2017,," £250,000.00 "," £250,000.00 ",Sunrise Medical,NHS,NHS - National Health Service,Various,Stockport- Services to People
508,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – pharmacy Emergency Hormonal Contraception ,Local Services,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,01/08/2016," £21,216.00 "," £63,648.00 ",Various - See below,Various - See below,Various - See below,Various - See below,Stockport- Services to People
508,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – pharmacy Emergency Hormonal Contraception ,,,01/04/2014,36,36,31/03/2017,No,31/03/2017,," £21,216.00 "," £63,648.00 ",Benchmark Building Supplies Ltd,NHS,NHS - National Health Service,Various,Stockport- Services to People
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,12,12,31/03/2017,Yes,31/03/2018,23/09/2016," £226,750.00 "," £226,750.00 ",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
522,Stockport Council,320000-  ,Stockport  School Nursing,OJEU,Contract,01/04/2012,36,60,31/03/2015,Yes,31/03/2017,01/08/2016," £108,446.00 "," £542,230.00 ",Stockport FT ,NHS,NHS - National Health Service,SK2 7JE,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home Support Service,OJEU,Contract,01/04/2013,36,60,31/03/2016,Yes,31/03/2018,01/08/2016," £216,666.67 "," £1,083,333.33 ",Richmond Fellowship,Large,662712,N7 8JG,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,Quote,Contract,19/12/2014,36,36,18/12/2017,No,18/12/2017,01/01/2017," £150,000.00 "," £450,000.00 ",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Quote,Contract,12/09/2013,36,72,30/09/2019,Yes,30/09/2019,01/04/2019," £13,487.00 "," £80,922.00 ",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,01/11/2013,36,48,31/10/2016,Yes,31/10/2017,01/08/2016, N/A- framework , N/A- framework ,Various - See below,Various - See below,Various - See below,Various - See below,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,02/11/2013,36,48,01/11/2016,No,31/10/2017,, nil , nil ,"Alternative Futures Group Ltd,",Large,1008587,L34 1BN,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,03/11/2013,36,48,02/11/2016,No,31/10/2017,, nil , nil ,"Autism Care UK,",Large,03997337,SE1 0AS,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,04/11/2013,36,48,03/11/2016,No,31/10/2017,, nil , nil ,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,05/11/2013,36,48,04/11/2016,No,31/10/2017,, nil , nil ,"Future Directions CIC,",Large,08041420,BB7 9PE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,06/11/2013,36,48,05/11/2016,No,31/10/2017,, nil , nil ,"CHOICE SUPPORT,",Large,298149,SE1 7XA,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,07/11/2013,36,48,06/11/2016,No,31/10/2017,," £1,579,232.00 "," £6,316,928.00 ","Community Integrated Care,",VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,08/11/2013,36,48,07/11/2016,No,31/10/2017,," £68,888.00 "," £275,552.00 ","Craegmoor Supporting You,",Large, 07480152,W14 8UD,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,09/11/2013,36,48,08/11/2016,No,31/10/2017,, nil , nil ,"Creative Support Ltd,",VCSE,27440R,M1 2HF,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,10/11/2013,36,48,09/11/2016,No,31/10/2017,," £339,744.76 "," £1,358,979.04 ",FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,11/11/2013,36,48,10/11/2016,No,31/10/2017,," £320,924.25 "," £1,283,697.00 ",HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069", BS16 7FL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,12/11/2013,36,48,11/11/2016,No,31/10/2017,," £215,703.00 "," £862,812.00 ","Cherrytree Vale Ltd (t/a Home Focus), ",Large,03079096,M30 0DL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,13/11/2013,36,48,12/11/2016,No,31/10/2017,, nil , nil ,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,Stockport- Services to People
