ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,-1244,RESIDENTIAL LONG TERM,V001064739
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,-933,RESIDENTIAL LONG TERM,V001064740
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,-1244,RESIDENTIAL LONG TERM,V001064741
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,868.4,SELF - FUNDING DEFERRED PAYMENTS,V001064742
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,935.2,SELF - FUNDING DEFERRED PAYMENTS,V001064743
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,701.4,SELF - FUNDING DEFERRED PAYMENTS,V001064744
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,23/12/2016,935.2,SELF - FUNDING DEFERRED PAYMENTS,V001064745
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/12/2016,3946.12,AGILISYS CONTRACT,V001065075
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/12/2016,3946.13,AGILISYS CONTRACT,V001065075
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/12/2016,76459.43,AGILISYS CONTRACT,V001065076
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/12/2016,93851.74,AGILISYS CONTRACT,V001065078
ROCHDALE BOROUGH COUNCIL,09/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,09/12/2016,4292.58,IMPROVEMENTS-MODERNISATION,V001065569
ROCHDALE BOROUGH COUNCIL,09/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,09/12/2016,4292.58,IMPROVEMENTS-MODERNISATION,V001065570
ROCHDALE BOROUGH COUNCIL,09/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,09/12/2016,4292.58,IMPROVEMENTS-MODERNISATION,V001065571
ROCHDALE BOROUGH COUNCIL,09/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,09/12/2016,2995,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001065572
ROCHDALE BOROUGH COUNCIL,09/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,09/12/2016,3523.33,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001065574
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,NEIL GRIFFITHS CONSULTANCY LTD,02/12/2016,644,TRAINING-QUALIFICATION,V001065638
ROCHDALE BOROUGH COUNCIL,13/12/2016,ECONOMY DIRECTORATE,FIRST GROUP PLC,13/12/2016,798,STUDENT TRAVEL,V001065717
ROCHDALE BOROUGH COUNCIL,07/12/2016,ECONOMY DIRECTORATE,FIRST GROUP PLC,07/12/2016,665,PUBLIC TRANSPORT,V001065724
ROCHDALE BOROUGH COUNCIL,14/12/2016,EARLY HELP AND SCHOOLS,EDGE HILL UNIVERSITY,14/12/2016,3000,TRAINING-QUALIFICATION,V001065818
ROCHDALE BOROUGH COUNCIL,21/12/2016,PROPERTY AND HIGHWAYS,COMPASS MINERALS UK LIMITED,21/12/2016,1053.99,MAINTENANCE,V001065872
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,01/12/2016,3560,ACTIVITIES,V001065883
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,01/12/2016,698.7,EQUIPMENT - GENERAL,V001065887
ROCHDALE BOROUGH COUNCIL,13/12/2016,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,13/12/2016,-593.5,OCCUPATIONAL HEALTH,V001065900
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,19/12/2016,947.15,VEHICLE MAINTENANCE,V001066002
ROCHDALE BOROUGH COUNCIL,09/12/2016,FINANCE SERVICES,ROSSENDALES,09/12/2016,659.42,INPUT VAT -  ADJUSTMENTS,V001066019
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,VERDANT SOLUTIONS LTD,15/12/2016,3985,ENVIRONMENTAL IMPROVEMENT SCHEMES - ENV,V001066050
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,16/12/2016,4348.08,HEALTH AUTH - SERVICE LEVEL AGREEMENT,V001066059
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,16/12/2016,678,TEACHERS - BASIC,V001066060
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,16/12/2016,2932,TEACHERS - BASIC,V001066061
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,1026.34,ENERGY COSTS,V001066083
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,16/12/2016,4268,RENTS,V001066183
ROCHDALE BOROUGH COUNCIL,20/12/2016,EARLY HELP AND SCHOOLS,NORTH CHADDERTON SCHOOL,20/12/2016,1200,OTHER LOCAL AUTHORITIES,V001066243
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,02/12/2016,980,COMMUNICATION AND COMPUTING - GENERAL,V001066309
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,19/12/2016,-1273.38,PURCHASE OF OTHER EQUIPMENT,V001066310
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,02/12/2016,940,COMMUNICATION AND COMPUTING - GENERAL,V001066311
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,02/12/2016,2385,COMMUNICATION AND COMPUTING - GENERAL,V001066313
ROCHDALE BOROUGH COUNCIL,01/12/2016,PROPERTY AND HIGHWAYS,TMS CONSULTANCY,01/12/2016,1750,TRAINING,V001066363
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,NORTHWEST ASBESTOS REMOVALS LTD,01/12/2016,530,EQUIPMENT - GENERAL,V001066399
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MASSEY & HARRIS (ENGINEERING) LTD,02/12/2016,1250,EQUIPMENT - GENERAL,V001066446
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ISUBSCRIBE LTD,01/12/2016,712.7,BOOKS/NEWSPAPERS/PERIODICALS,V001066548
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,910.6,GAS,V001066566
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/12/2016,34583.33,CITIZENS ADVICE BUREAU,V001066598
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/12/2016,1702.75,ACTIVITIES,V001066599
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,TURNING POINT SERVICES LIMITED,01/12/2016,15166.67,CONTRACTED SERVICES,V001066601
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/12/2016,9351.91,ACTIVITIES,V001066602
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/12/2016,12250,LINK 4 LIFE CONTRACT,V001066603
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/12/2016,234681,LINK 4 LIFE CONTRACT,V001066603
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,LINK4LIFE (TRADING),01/12/2016,6225,LINK 4 LIFE CONTRACT,V001066604
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,PENNINE CARE NHS,01/12/2016,143727,CONTRACTED SERVICES,V001066605
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/12/2016,750,SUPPLIES AND SERVICES PROVISION,V001066609
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/12/2016,50651.67,CONTRACTS,V001066611
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,BARNARDOS,01/12/2016,10335.17,ACTIVITIES,V001066612
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/12/2016,2695.91,ACTIVITIES,V001066613
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/12/2016,1250,ACTIVITIES,V001066614
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/12/2016,3320.83,ACTIVITIES,V001066615
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,CAUDWELL CHILDREN,01/12/2016,1224.5,ACTIVITIES,V001066616
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/12/2016,1088.31,ACTIVITIES,V001066617
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/12/2016,2831.96,ACTIVITIES,V001066618
ROCHDALE BOROUGH COUNCIL,01/12/2016,ECONOMY DIRECTORATE,BGS LTD,01/12/2016,3280.26,STREET LIGHTING,V001066669
ROCHDALE BOROUGH COUNCIL,08/12/2016,ECONOMY DIRECTORATE,NOMICAL LTD,08/12/2016,3440,COMMUNICATION AND COMPUTING - GENERAL,V001066691
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,19/12/2016,1273.38,PURCHASE OF OTHER EQUIPMENT,V001066719
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,11197.33,OTHER LA`S - SEN PROVISION,V001068430
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10871.16,OTHER LA`S - SEN PROVISION,V001068431
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,11197.33,OTHER LA`S - SEN PROVISION,V001068432
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10658,OTHER LA`S - SEN PROVISION,V001068433
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10104.33,OTHER LA`S - SEN PROVISION,V001068434
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10977.67,OTHER LA`S - SEN PROVISION,V001068435
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10977.67,OTHER LA`S - SEN PROVISION,V001068436
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10977.67,OTHER LA`S - SEN PROVISION,V001068437
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,797.2,LCVAP SCHEMES,V001068463
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,2458,GAS,V001068466
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,2896.8,GAS,V001068468
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,16/12/2016,687.29,GAS,V001068472
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,16/12/2016,519.39,VEHICLE MAINTENANCE,V001068473
ROCHDALE BOROUGH COUNCIL,22/12/2016,EARLY HELP AND SCHOOLS,DSG RETAIL LIMITED,22/12/2016,748.32,EQUIPMENT - GENERAL,V001068483
ROCHDALE BOROUGH COUNCIL,16/12/2016,FINANCE SERVICES,TUSKERDIRECT LIMITED,16/12/2016,-10575.83,TRANSACTIONS-EXPENDITURE,V001068485
ROCHDALE BOROUGH COUNCIL,16/12/2016,FINANCE SERVICES,TUSKERDIRECT LIMITED,16/12/2016,-2265.43,TRANSACTIONS-EXPENDITURE,V001068485
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,JOSEPH NOBLETT,15/12/2016,4804.75,"TREES, SHRUBS, PLANTS",V001069116
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,16/12/2016,1908.67,MISC CHARGES,V001069140
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,16/12/2016,1908.67,MISC CHARGES,V001069141
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,16/12/2016,24318.76,MEALS,V001069142
ROCHDALE BOROUGH COUNCIL,22/12/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,22/12/2016,2793.12,GAS,V001069143
ROCHDALE BOROUGH COUNCIL,22/12/2016,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,22/12/2016,511.72,WATER CHARGES,V001069144
ROCHDALE BOROUGH COUNCIL,13/12/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,13/12/2016,4293.75,ACTIVITIES,V001069180
ROCHDALE BOROUGH COUNCIL,23/12/2016,EARLY HELP AND SCHOOLS,POSITIVE STEPS,23/12/2016,44100,EXTERNALLY MANAGED FUNDS,V001069189
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARIBOU GREEN WARMTH LLP,07/12/2016,6251.95,GRANTS TO THE NON VOLUNTARY SECTOR,V001069196
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARIBOU GREEN WARMTH LLP,07/12/2016,6388.87,GRANTS TO THE NON VOLUNTARY SECTOR,V001069196
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CP DAVIDSON & SONS LTD,01/12/2016,1676.59,CONTRACTS,V001069203
ROCHDALE BOROUGH COUNCIL,05/12/2016,PROPERTY AND HIGHWAYS,BEMROSE BOOTH,05/12/2016,2097,PRINTING & STATIONERY,V001069204
ROCHDALE BOROUGH COUNCIL,02/12/2016,PROPERTY AND HIGHWAYS,BEMROSE BOOTH,02/12/2016,1350,PRINTING & STATIONERY,V001069205
ROCHDALE BOROUGH COUNCIL,13/12/2016,PROPERTY AND HIGHWAYS,CLONSHALL LTD,13/12/2016,986.81,TRANSACTIONS-EXPENDITURE,V001069206
ROCHDALE BOROUGH COUNCIL,01/12/2016,ECONOMY DIRECTORATE,EAST LANCASHIRE SERVICES LIMITED,01/12/2016,861.1,SUPPLIES AND SERVICES PROVISION,V001069207
ROCHDALE BOROUGH COUNCIL,02/12/2016,PROPERTY AND HIGHWAYS,GROUNDWORK LANDSCAPES LIMITED,02/12/2016,29853.62,MINOR BUILDING WORKS,V001069213
ROCHDALE BOROUGH COUNCIL,09/12/2016,PROPERTY AND HIGHWAYS,HOWDENS JOINERY CO LIMITED,09/12/2016,527,TRANSACTIONS-EXPENDITURE,V001069217
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,PRECISE NETWORKING SOLUTIONS LTD,02/12/2016,5129.87,MINOR BUILDING WORKS,V001069222
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,JAMES HART (CHORLEY) LTD,01/12/2016,1000,VEHICLE MAINTENANCE,V001069236
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,JAMES HART (CHORLEY) LTD,01/12/2016,2250,VEHICLE MAINTENANCE,V001069236
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,OSBORNE RICHARDSON,01/12/2016,935,ACTIVITIES,V001069253
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,OSBORNE RICHARDSON,01/12/2016,701.25,ACTIVITIES,V001069255
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,OSBORNE RICHARDSON,01/12/2016,897,ACTIVITIES,V001069256
ROCHDALE BOROUGH COUNCIL,19/12/2016,EARLY HELP AND SCHOOLS,PONTVILLE SCHOOL,19/12/2016,32470,OTHER EST - SEN PROVISION,V001069262
ROCHDALE BOROUGH COUNCIL,23/12/2016,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,23/12/2016,8039.64,OTHER LA`S - SEN PROVISION,V001069264
ROCHDALE BOROUGH COUNCIL,20/12/2016,EARLY HELP AND SCHOOLS,ROSSENDALE SCHOOL PRIORY,20/12/2016,13059,OTHER LA`S - SEN PROVISION,V001069273
ROCHDALE BOROUGH COUNCIL,20/12/2016,EARLY HELP AND SCHOOLS,ROSSENDALE SCHOOL PRIORY,20/12/2016,13059,OTHER LA`S - SEN PROVISION,V001069274
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,06/12/2016,11197.29,OTHER LA`S - SEN PROVISION,V001069275
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,06/12/2016,6000,OTHER LA`S - SEN PROVISION,V001069277
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,06/12/2016,11197.29,OTHER LA`S - SEN PROVISION,V001069278
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,06/12/2016,4488.19,OTHER LA`S - SEN PROVISION,V001069280
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,06/12/2016,8375.93,OTHER LA`S - SEN PROVISION,V001069282
ROCHDALE BOROUGH COUNCIL,13/12/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,13/12/2016,975,ACTIVITIES,V001069284
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,11197.33,OTHER LA`S - SEN PROVISION,V001069285
ROCHDALE BOROUGH COUNCIL,06/12/2016,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,06/12/2016,10977.67,OTHER LA`S - SEN PROVISION,V001069287
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,TOMAX BUILDING SERVICES LTD,02/12/2016,3263.08,MINOR BUILDING WORKS,V001069320
