Billing Year,Liability Start,Liability End,Company Name,Billing Year Balance,Liable Unit Balance,Property Address,Billing Address
2008,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-375.92,-4364.05,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
2008,01-Dec-06,28-Oct-08,D T S Yorkshire Ltd,-53.41,-53.41,"Unit HM14 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN","27 Illingworth Close, Halifax, HX2 9JQ"
2008,06-Feb-08,23-Jul-09,Equable Properties Ltd,-116.50,-116.50,"Dog & Partridge Restaurant, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH"
2008,06-Feb-08,23-Jul-09,Equable Properties Ltd,-312.50,-312.50,"Dog & Partridge, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH"
2008,28-Apr-03,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-9.64,-9.64,"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
2008,31-Aug-07,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-3.61,-3.61,"Suite 3, 1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
2008,01-Apr-08,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-86.08,-86.08,"19-23 Old Gate, Hebden Bridge, HX7 6EN","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
2008,01-Mar-06,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-11.69,-11.69,"Suite 1, 1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
2008,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-231.00,-299.25,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
2008,01-Nov-07,09-Jan-09,Kino & Co,-230.68,-230.68,"Office 3.1, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN"
2008,01-Apr-08,13-Sep-08,Lets Talk Phones Ltd,-149.53,-149.53,"270 Queens Road, Halifax, HX1 4NJ","270 Queens Road, Halifax, HX1 4NJ"
2008,01-Apr-08,31-Dec-08,Newbuild Masonry (Yorkshire) Ltd,-96.83,-96.83,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Mr G Varley, 308 Skircoat Green Road, Halifax, HX3 0LJ"
2008,01-Apr-04,30-Sep-08,Rastrick Racing,-49.50,-49.50,"9 Church Street, Brighouse, HD6 3NF","Fao Ben Stephens, 9 Church Street, Rastrick, Brighouse, HD6 3NF"
2008,01-Jun-06,30-Oct-08,Security Professionals Ltd,-20.39,-20.39,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP"
2008,25-Apr-07,30-Jul-08,T Mobile Uk Ltd,-640.85,-6436.36,"T Mobile  (53337), Toothill Lane, Brighouse, HD6 3SF","Rating Validation, Gva Grimley Pma 321, P O Box 16097, 3 Brindley Place, Birmingham, B2 2JB"
2008,09-Feb-02,12-Dec-08,Titan Fluid Power Ltd [In Administration],-2422.69,-2422.69,"Central Ironworks, Claremount Road, Halifax, HX3 6NT","C/O P.K.F, Sovereign House, Queen Street, Manchester, M5 5HR"
2008,03-May-06,05-May-08,V E S (Halifax) Ltd,-20.96,-20.96,"Listers Road, Halifax, HX3 6AG","The Old Tannery, 224 Spen Lane, Gomersal, Cleckheaton, BD19 4PJ"
2009,27-Feb-10,20-Apr-10,Administrators Of G F Interiors Ltd,-711.64,-711.64,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP"
2009,02-Apr-04,22-Jan-10,Alpha Catering Ltd,-1942.66,-1942.66,"Bus Station, Wade Street, Halifax, HX1 1SN","Wade Street, Halifax, HX1 1UU"
2009,01-Jan-04,31-Mar-08,Bar Refreshments [Uk] Ltd,-921.50,-1799.30,"Martins Mill, Pellon Lane, Halifax, HX1 5QJ",No Forwarding Address
2009,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-306.94,-899.10,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
2009,01-Nov-01,30-Apr-09,Central Holdings Ltd,-11.64,-11.64,"1/3 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF","37 Spring Lane, Pannal, Harrogate, HG3 1NP"
2009,23-Apr-08,03-Aug-08,Design & Display Ltd,-1330.43,-1330.43,"Unit K1 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA","C/O Vcep Investments Llp, Jubilee Way, Grange Moor, Wakefield, WF4 4TD"
2009,01-Sep-06,30-Apr-09,Dootson Contracting Ltd,-6.57,-6.57,"2ND Floor, 4 Garden Street, Hebden Bridge, HX7 8AQ","Salt Pie Farm, Colden, Hebden Bridge, HX7 7TH"
2009,01-Oct-06,29-Mar-10,Fat Cat Trading Co Ltd,-2.44,-2.44,"17 The Colonnade, Piece Hall, Halifax, HX1 1RE","89 Stainland Road, Greetland, Halifax, HX4 8BD"
2009,01-Apr-09,02-Apr-10,Greenwoods Menswear Ltd,-156.50,-156.50,"The Moquette Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","2nd Floor, Bradford Business Park, 5 Kingsgate, Bradford, BD1 4SJ"
2009,31-Jan-92,15-Jan-10,Halifax Estate Agencies Ltd,-2441.61,-2441.61,"15/17/19 Commercial Street, Halifax, HX1 1HJ","C/O B N P Paribas Real Estate, Rating Support Unit, 9 Colmore Row, Birmingham, B3 2BT"
2009,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-38.53,-299.25,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
2009,16-Mar-09,13-Aug-09,Intrepid Leisure Ltd,-58.46,-58.46,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ","Po Box 496, Kingston Upon Hull, HU9 9GN"
2009,01-Nov-05,28-Feb-10,J D T Ltd,-57.20,-57.20,"The Beaver Lodge, West Street, Sowerby Bridge, HX6 3BT","F.A.O John Hardy, The Beaver Lodge, West Street, Sowerby Bridge, HX6 3AN"
2009,01-Sep-06,30-Apr-09,Masterclean (Uk) Ltd,-57.42,-57.42,"Unit 5 Emstead Works, Old Lane, Halifax, HX3 5QN","Stansfield House, Shay Lane, Halifax, HX3 5QN"
2009,04-Jan-05,,Mixenden Sure Start,-0.01,-0.01,"Sure Start Childrens Centre, Mobile Building 2, Clough Lane, Mixenden             HX2 8SH","Fao Mrs C Guest, Mobile Building 2, Ash Green Primary School, Mixenden Road, Mixenden, Halifax, HX2 8QD"
2009,01-Sep-08,31-Dec-09,Oakenclough Buildings Ltd,-574.03,-574.03,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Attn Glenn Brady, Oakenclough Mill, Garstang, Preston, PR3 1TB"
2009,01-Apr-97,31-May-09,Plastic Drum Reconditioning Ltd,-515.23,-515.23,"Units 25/26 Robin Hood Works, Grove Street, Brighouse, HD6 1PL","Clifton Bridge Works, Wood Street, Brighouse, HD6 1PW"
2009,26-Apr-02,31-Mar-09,Premier Accident Management Uk (Yorkshire)Ltd,-523.00,-523.00,"327a Queens Road, Halifax, HX1 4PY",No Forwarding Address
2009,03-Jan-08,15-Sep-09,R & A Parcels (Hx) Ltd [Dissolved],-91.28,-91.28,"Unit G6, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF","Ceased To Trade , No Assets., Dissolved"
2009,01-Aug-07,31-Jul-09,Spot On Concrete [Hx] Ltd,-77.08,-77.08,"Empire Works, Watkinson Road, Halifax, HX2 9AB","Fao Steven Walker, 90 Pye Nest Road, Pye Nest, Halifax, HX2 7HS"
2009,01-Apr-05,31-Jul-09,Spot On Concrete [Hx] Ltd,-211.08,-211.08,"Unit 39 Empire Works, Watkinson Road, Halifax, HX3 6SD","Fao Steven Walker, 90 Pye Nest Road, Pye Nest, Halifax, HX2 7HS"
2009,25-Apr-07,30-Jul-08,T Mobile Uk Ltd,-1006.38,-6436.36,"T Mobile  (53337), Toothill Lane, Brighouse, HD6 3SF","Rating Validation, Gva Grimley Pma 321, P O Box 16097, 3 Brindley Place, Birmingham, B2 2JB"
2009,01-Apr-01,02-Nov-09,Terberg Dts [Uk] Ltd,-288.34,-288.34,"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD","Lowfields Business Park, Elland, HX5 9DA"
