Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Net Amount (J),Transaction Number (I),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/07/2017,2.92,PCO0281636,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/07/2017,22.72,PCO0281636,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/07/2017,22.72,PCO0281636,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/07/2017,33.29,PCO0281636,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Emp : Training : General,1217,BEN SHAW TRAINING LIMITED,A0055722, 27/07/2017,200,OPS0281793,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Transfer Payments,Accommodation ,6103,BLACKBURN & RIBBLE GLASS,A0091240, 13/07/2017,185,REG0281569,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/07/2017,1507.36,COR0281900,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 20/07/2017,1557.19,COR0281580,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/07/2017,602.95,COR0281900,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 20/07/2017,623.47,COR0281580,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 20/07/2017,784.11,COR0281580,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/07/2017,784.11,COR0281900,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 20/07/2017,365.89,COR0281580,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/07/2017,365.89,COR0281900,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,270,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,500,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,500,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,500,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,750,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,750,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,1000,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,1000,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 06/07/2017,42907.5,HED0281337,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 13/07/2017,11.15,PCO0281512,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,,General Fund (Non Housing),B471,BOND ADAMS LLP SOLICITORS,A0091252, 27/07/2017,190.54,DAL0281887,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 20/07/2017,620,PCO0281628,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,CD14,BRADLEY LAUNDERETTE,A0091254, 27/07/2017,1750,REG0281892,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,BRC CONSULTING SERVICES LIMITED,A0091138, 13/07/2017,600,AAS0281549,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,BRIDGE STREET STONE LTD,A0051623, 13/07/2017,34.05,REG0281328,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 27/07/2017,60,PCO0281832,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 20/07/2017,231,PCO0281627,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,BRITISH GAS BUSINESS,A0057202, 06/07/2017,62.32,AAS0281463,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 06/07/2017,16.68,AAS0281464,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 20/07/2017,114.71,EST0281640,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 20/07/2017,48.33,EST0281641,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0057202, 20/07/2017,14.17,EST0281639,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,20.2,AAS0281758,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,69.99,AAS0281759,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,7.92,AAS0281771,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,504.17,AAS0281751,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,49.64,AAS0281773,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,10.89,AAS0281755,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,18.19,AAS0281754,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,33.49,AAS0281753,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,13.77,AAS0281770,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,203.2,AAS0281785,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,7.66,AAS0281779,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,82.73,AAS0281749,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,176.93,AAS0281764,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,19.14,AAS0281761,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,20.27,AAS0281762,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,21.11,AAS0281748,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,87.84,AAS0281757,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,31.91,AAS0281747,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,28.27,AAS0281772,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,50.24,AAS0281782,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,53.14,AAS0281776,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,74.08,AAS0281775,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,155.63,AAS0281750,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,51,AAS0281763,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,6.05,AAS0281778,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,48.64,AAS0281760,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,12.1,AAS0281765,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,262.68,AAS0281767,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,44.18,AAS0281766,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,9.66,AAS0281768,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,44.83,AAS0281752,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,7.76,AAS0281781,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,13.6,AAS0281777,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,29.27,AAS0281774,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,264.66,AAS0281784,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 27/07/2017,220.44,AAS0281783,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,BRITISH GAS BUSINESS,A0069538, 27/07/2017,8.62,AAS0281769,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,BRITISH GAS BUSINESS,A0069538, 27/07/2017,36.91,AAS0281756,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 06/07/2017,160,PCO0281380,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 06/07/2017,180,PCO0281380,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 06/07/2017,36,PCO0281380,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 13/07/2017,976.75,COR0281520,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 13/07/2017,4223.76,COR0281520,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,C & R WALNE ENGRAVERS,A0042734, 06/07/2017,42,PCO0281370,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM Materials,4004,CALICO HOMES,A0091059, 27/07/2017,9059.77,HMR0281878,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,CALICO HOMES,A0091059, 27/07/2017,5298.8,HMR0281877,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Other Expenses,4705,CALICO HOMES,A0091059, 27/07/2017,3106.43,HMR0281878,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Miscellaneous : Other,4707,CALICO HOMES,A0091059, 27/07/2017,549.24,HMR0281876,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Miscellaneous : Other,4707,CALICO HOMES,A0091059, 27/07/2017,1708.49,HMR0281878,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Miscellaneous : Other,4707,CALICO HOMES,A0091059, 27/07/2017,4576.23,HMR0281876,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,CATCHPOINT (UK) LTD,A0089500, 20/07/2017,400,EST0281629,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Paid in the Year,PD03,CB EXCAVATORS LTD,A0000396, 20/07/2017,14365.54,HED0281613,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,1221,REDACTED - PERSONAL DATA,A0091236, 13/07/2017,9.16,PER0281523,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,1221,REDACTED - PERSONAL DATA,A0091236, 13/07/2017,54.36,PER0281523,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,1221,CHARTERED INST OF ENV HEALTH,A0020604, 13/07/2017,850,PER0281527,N,N/A,N,N/A
