"ID","Uniqueid","Movement","date","Time","EuroStatusNum","Make and Model Desc","Propulsion Type Desc","Wheel Plan Desc","Body Type Desc 1","BodyTypeDesc2","Vehicle Type_PostCode","Reg_Month","manufacture","TYPE"
46,8,11,19/4/2016 00:00:00,"09:20:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
47,8,11,21/4/2016 00:00:00,"12:40:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
48,8,5,19/4/2016 00:00:00,"09:30:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
49,8,5,23/4/2016 00:00:00,"08:40:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
50,8,9,23/4/2016 00:00:00,"07:10:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
51,8,9,19/4/2016 00:00:00,"08:30:00","70/220; R83.05","FORD TRANSIT 85 T280M FWD","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","LS279","2011-09","2011",
52,9,1,18/4/2016 00:00:00,"13:00:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
53,9,11,22/4/2016 00:00:00,"10:20:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
54,9,11,20/4/2016 00:00:00,"09:20:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
55,9,11,23/4/2016 00:00:00,"12:00:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
56,9,11,23/4/2016 00:00:00,"19:40:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
57,9,11,24/4/2016 00:00:00,"13:50:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
58,9,11,24/4/2016 00:00:00,"16:40:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
59,9,5,23/4/2016 00:00:00,"19:40:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
60,9,9,23/4/2016 00:00:00,"13:40:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
61,9,9,24/4/2016 00:00:00,"17:50:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
62,9,9,24/4/2016 00:00:00,"15:00:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
63,9,9,20/4/2016 00:00:00,"12:00:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
64,9,9,22/4/2016 00:00:00,"13:50:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
65,9,9,18/4/2016 00:00:00,"15:00:00","630/2012J/CE","PEUGEOT 208 ACTIVE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","PE019","2014-09","2014",
66,10,5,24/4/2016 00:00:00,"15:20:00","715/2007*630/2012M/CE","RENAULT MASTER LM35 DCI 125","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van","GU119","2014-04","2014",
67,11,1,20/4/2016 00:00:00,"09:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
68,11,1,20/4/2016 00:00:00,"10:30:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
69,11,1,20/4/2016 00:00:00,"12:10:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
70,11,1,20/4/2016 00:00:00,"16:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
71,11,1,20/4/2016 00:00:00,"17:30:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
72,11,1,20/4/2016 00:00:00,"19:00:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
73,11,1,23/4/2016 00:00:00,"07:00:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
74,11,1,22/4/2016 00:00:00,"09:10:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
75,11,1,22/4/2016 00:00:00,"09:50:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
76,11,1,22/4/2016 00:00:00,"15:10:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
77,11,1,18/4/2016 00:00:00,"09:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
78,11,1,18/4/2016 00:00:00,"12:50:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
79,11,1,19/4/2016 00:00:00,"11:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
80,11,1,19/4/2016 00:00:00,"14:30:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
81,11,1,19/4/2016 00:00:00,"16:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
82,11,1,19/4/2016 00:00:00,"20:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
83,11,1,19/4/2016 00:00:00,"12:00:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
84,11,1,21/4/2016 00:00:00,"12:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
85,11,1,21/4/2016 00:00:00,"20:00:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
86,11,1,21/4/2016 00:00:00,"14:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
87,11,1,24/4/2016 00:00:00,"09:30:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
88,11,1,24/4/2016 00:00:00,"11:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
89,11,1,24/4/2016 00:00:00,"14:10:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
90,11,11,24/4/2016 00:00:00,"14:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
91,11,11,24/4/2016 00:00:00,"09:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
92,11,11,19/4/2016 00:00:00,"20:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
93,11,11,22/4/2016 00:00:00,"15:30:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
94,11,11,23/4/2016 00:00:00,"07:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
95,11,11,20/4/2016 00:00:00,"12:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
96,11,5,18/4/2016 00:00:00,"13:00:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
97,11,5,18/4/2016 00:00:00,"09:50:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
98,11,5,19/4/2016 00:00:00,"20:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
99,11,5,19/4/2016 00:00:00,"12:20:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
100,11,5,19/4/2016 00:00:00,"11:40:00","70/220/EEC*2003/76B/EC","SKODA OCTAVIA S TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback","LS123","2009-05","2009","Private Hire"
