PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_XMPT_PKG.GET_RELIEFS_AS
29032729,Workshop And Premises,"Garage, Atlas Mill Road, Brighouse, HD6 1ES",,6200,01/04/2005,SBR
29032731,Workshop And Premises,"Unit 5 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",,5500,01/06/2012,SBR
29032734,Workshop And Premises,"Unit J, Atlas Mill Road, Brighouse, HD6 1ES",,2250,01/08/2014,SBR
29032736,Factory and Premises,"Broad Holme Mill, Atlas Mill Road, Brighouse, HD6 1ES",Rolla Ltd,46500,11/04/2008,SBR
29032739,Workshop And Premises,"Unit 1, Atlas Mill Road, Brighouse, HD6 1ES",Food 4 Thought Catering Ltd,6400,01/02/2011,SBR
29032740,Workshop And Premises,"Unit 1A, Atlas Mill Road, Brighouse, HD6 1ES",,5800,05/04/2011,SBR
29032741,Workshop And Premises,"MH7 Precision Eng Ltd, Atlas Mill Road, Brighouse, HD6 1ES",MH7 Precision Engineering Ltd,12500,19/10/2015,SBR
29032742,Workshop And Premises,"Thompson & Hudson, Atlas Mill Road, Brighouse, HD6 1ES",Thompson & Hudson Wire Machinery,8900,19/10/2015,SBR
29036700,Workshop And Premises,"Adj 8 Austin Avenue, Brighouse, HD6 2EY",,2350,01/04/1990,SBR
29044700,Car Park and Premises,"Bank Street, Brighouse, HD6 1BD",Calderdale Mbc,11750,01/04/1990,SBR
29044701,Factory and Premises,"Bank Street Mill, Bank Street, Brighouse, HD6 1BD",Aflex Hose Ltd,28000,15/03/1994,SBR
29044703,Workshop And Premises,"Dental Laboratory, 2 Bank Street, Brighouse, HD6 1BD",Heat Works Ltd,34250,01/04/2017,SBR
29044704,Warehouse And Premises,"Waterside Mill, Bank Street, Brighouse, HD6 1BD",M P Smith & Co Ltd,74000,01/04/2002,
29048001,Shop and Premises,"1 Bethel Street, Brighouse, HD6 1JN",Ladbrokes Betting & Gaming Ltd,28500,18/10/2006,SBR
29048002,Office and Premises,"2 Bethel Street, Brighouse, HD6 1JN",,21000,01/04/1990,SBR
29048004,Shop and Premises,"4 Bethel Street, Brighouse, HD6 1JN",,17000,01/04/2008,SBR
29048005,Restaurant and Premises,"5 Bethel Street, Brighouse, HD6 1JR",,21250,27/07/2005,SBR
29048007,Shop and Premises,"7 Bethel Street, Brighouse, HD6 1JR",,10750,01/04/1990,SBR
29048009,Shop and Premises,"9 Bethel Street, Brighouse, HD6 1JR",,9300,05/11/2016,SBR
29048011,Shop and Premises,"11 Bethel Street, Brighouse, HD6 1JR",Simply Sweets (Brighouse) Ltd,7800,21/11/2014,SBR
29048013,Dry Cleaners & Premises,"13 Bethel Street, Brighouse, HD6 1JR",Parnham Ltd,14500,28/02/2011,SBR
29048014,Shop and Premises,"14 Bethel Street, Brighouse, HD6 1JN",,6400,01/03/2017,SBR
29048016,Shop and Premises,"18 Bethel Street, Brighouse, HD6 1JN",,7800,01/05/2014,SBR
29048017,Shop and Premises,"17 Bethel Street, Brighouse, HD6 1JR",,14250,01/09/2006,SBR
29048020,Shop and Premises,"Part Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",,8300,15/05/2009,SBR
29048021,Shop and Premises,"21 Bethel Street, Brighouse, HD6 1JR",,8300,27/03/2009,SBR
29048024,Shop and Premises,"24 Bethel Street, Brighouse, HD6 1JN",,13750,27/12/2016,SBR
29048026,Shop and Premises,"26 Bethel Street, Brighouse, HD6 1JP",Halifax Plc,20250,11/10/1993,SBR
29048027,Shop and Premises,"27 Bethel Street, Brighouse, HD6 1JR",Done Brothers [Cash Betting] Ltd,18750,30/11/2012,SBR
29048033,Shop and Premises,"33 Bethel Street, Brighouse, HD6 1JR",Ryecorn Wholefoods Ltd,8900,19/08/2011,SBR
29048039,Shop and Premises,"39 Bethel Street, Brighouse, HD6 1JR",,4550,08/08/2009,SBR
29048041,Shop and Premises,"41 Bethel Street, Brighouse, HD6 1JR",,4500,02/12/1995,SBR
29048043,Shop and Premises,"43 Bethel Street, Brighouse, HD6 1JR",,9400,27/08/2011,SBR
29048045,Shop and Premises,"45 Bethel Street, Brighouse, HD6 1JR",Overgate Hospice,8300,01/09/1995,DCR MCR
29048049,Shop and Premises,"49 Bethel Street, Brighouse, HD6 1JR",Overgate Hospice,7800,01/03/2011,DCR MCR
29048051,Shop and Premises,"51 Bethel Street, Brighouse, HD6 1JR",,5700,24/04/2001,SBR
29048053,Shop and Premises,"53 Bethel Street, Brighouse, HD6 1JR",,9300,31/10/2016,SBR
29048057,Shop and Premises,"57 Bethel Street, Brighouse, HD6 1JR",,7200,01/05/2015,SBR
29048702,Betting Shop And Premises,"10 Bethel Street, Brighouse, HD6 1JN",,10500,27/06/2012,SBR
29048704,Shop and Premises,"31 Bethel Street, Brighouse, HD6 1JR",,6600,02/08/2012,SBR
29048705,Public House and Premises,"The Old Ship Inn, 34 Bethel Street, Brighouse, HD6 1JN",Y & N Enterprises Ltd,14750,01/03/2014,SBR
29048710,Hairdressing Salon and Premises,"Rooms 1 & 2, 47 Bethel Street, Brighouse, HD6 1JR",,3400,30/07/2000,SBR
29048711,Tattoo Parlour,"Rooms 6 & 6A, 47 Bethel Street, Brighouse, HD6 1JR",,2950,02/05/2014,SBR
29048712,Store And Premises,"R/O 25 Bethel Street, Brighouse, HD6 1JR",,990,13/06/2016,EX
29048715,Cafe and Premises,"Adj 27 Bethel Street, Brighouse, HD6 1JR",,4500,02/11/2002,SBR
29048723,Cafe and Premises,"16 Bethel Street, Brighouse, HD6 1JN",,6700,16/12/2015,SBR
29048724,Store And Premises,"Room 3/3A 1ST Floor, 47 Bethel Street, Brighouse, HD6 1JR",,860,31/01/2008,EX
29048727,Hairdressing Salon and Premises,"12 Bethel Street, Brighouse, HD6 1JN",Ed Taylor Limited,9700,07/03/2012,SBR
29048728,Offices and Premises,"Fairway House, 20 Bethel Street, Brighouse, HD6 1JN",,10250,19/06/2010,SBR
29048730,Workroom And Premises,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR",,2600,01/09/2007,EX
29048732,Store And Premises,"Room 4, 47 Bethel Street, Brighouse, HD6 1JR",Overgate Hospice,930,25/06/2007,DCR MCR
29048735,Offices and Premises,"Room 2 At, 37 Bethel Street, Brighouse, HD6 1JR",Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,1375,27/07/2013,EX
29048736,Offices and Premises,"Room 1 At, 37 Bethel Street, Brighouse, HD6 1JR",Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,2100,27/07/2013,EX
29048737,Offices and Premises,"Rooms 3 & 4, 37 Bethel Street, Brighouse, HD6 1JR",,2400,01/04/2012,SBR
29048738,Offices and Premises,"22 West Park Street, Brighouse, HD6 1DU",,25500,01/08/2015,EX
29052007,Garage And Premises,"7 Birds Royd Lane, Brighouse, HD6 1LQ",,4050,01/04/1990,SBR
29052029,Workshop And Premises,"29 Birds Royd Lane, Brighouse, HD6 1LQ",Bsmw Products Ltd,2125,01/03/1993,SBR
29052045,Shop and Premises,"45 Birds Royd Lane, Brighouse, HD6 1NG",,4600,28/02/2016,SBR
29052095,Offices and Premises,"95 Birds Royd Lane, Brighouse, HD6 1NG",,3550,01/04/1990,SBR
29052700,Factory and Premises,"Birds Royd Lane, Brighouse, HD6 1LQ",Anthony Piccioni,28000,28/07/2016,SBR
29052701,Workshop And Premises,"48 Birds Royd Lane, Brighouse, HD6 1NG",,23000,03/04/2007,SBR
29052702,Factory and Premises,"Birds Royd Lane, Brighouse, HD6 1NG",H W Architectural Ltd,131000,01/04/1990,
29052703,Factory and Premises,"Mission Works, Birds Royd Lane, Brighouse, HD6 1LQ",Venturian Funding & Investment Group Ltd,65000,01/02/2017,EX
29052704,Workshop And Premises,"Birds Royd Lane, Brighouse, HD6 1LQ",Bsmw Products Ltd,9900,01/04/1990,SBR
29052705,Factory and Premises,"Birds Royd Lane, Brighouse, HD6 1LQ",,15750,12/09/2011,SBR
29052710,Workshop And Premises,"Unit 1 Birds Royd Mill, Birds Royd Lane, Brighouse, HD6 1LQ",Control Valve Services Ltd,25750,02/05/2012,SBR
29052711,Warehouse And Premises,"Part Princess Works, Birds Royd Lane, Brighouse, HD6 1LQ",Avocet Dye & Chemical Co Ltd,39250,01/01/1992,SBR
29052713,Workshop And Premises,"1a Birds Royd Lane, Brighouse, HD6 1LQ",R H & G Travis & Sons Ltd,4900,01/04/1990,SBR
29052715,Advertising Right and Premises,"Huddersfield Road, Adj 1A Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Uk Ltd,1225,01/04/1996,SBR
29052716,Advertising Right and Premises,"Adj 3/5 Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Uk Ltd,590,01/04/1998,SBR
29052717,Store And Premises,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,2250,01/04/2012,EX
29052719,Offices and Premises,"Part Ground & Lower Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,11250,01/04/2012,ER
29052720,Warehouse And Premises,"Johnstone House, Birds Royd Lane, Brighouse, HD6 1LQ",G A Valves Sales Ltd,41250,15/09/1993,SBR
29052721,Factory and Premises,"Johnstone House, Birds Royd Lane, Brighouse, HD6 1LQ",Golden Anderson Uk Ltd,10500,11/02/2014,SBR
29052722,Offices and Premises,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",,2225,01/03/2013,EX
29052725,Offices and Premises,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,5000,01/04/2012,ER
29052730,Workshop And Premises,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",,3100,01/01/2004,SBR
29052731,Workshop And Premises,"Unit 2 Birds Royd Mill, Birds Royd Lane, Brighouse, HD6 1NG",Engineering & Pipework Services Ltd,17250,11/07/2011,SBR
29052733,Workshop And Premises,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",Traffic Management Technologies Limited,5600,20/03/2016,SBR
29052734,Warehouse And Premises,"Unit 1, The Sidings Industrial Park, Birds Royd Lane, Brighouse            HD6 1LQ",Howdens Joinery Properties Ltd.,45000,08/12/2003,SBR
29052735,Offices,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",Hepworth International Ltd,3200,07/03/2016,SBR
29052736,Offices and Premises,"Office 2 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",,3150,01/01/2004,SBR
29052739,Workshop And Premises,"Unit 2, The Sidings Industrial Park, Birds Royd Lane, Brighouse            HD6 1LQ",Alco Valves Group Ltd,46500,07/07/2013,SBR
29052743,Warehouse And Premises,"3C Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",Trinity Property Maintenance Ltd,7400,02/11/2009,SBR
29052744,Warehouse And Premises,"3B Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",Little Yorkshire Pie Company Ltd,8700,05/06/2015,SBR
29052745,Warehouse And Premises,"3E Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",Ethan Blake Amenities Ltd,4700,07/03/2014,SBR
29052747,Offices,"Office 3 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",Birds Royd Property Co Ltd,1700,22/04/2015,EX
29052748,Office,"Office 1 Ground Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",,920,01/05/2011,SBR
29052751,Warehouse And Premises,"Unit 6, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",Younger Homes ( Northern ) Ltd,11750,02/06/2016,ER
29052752,Warehouse And Premises,"Unit 2, Heywood Industrial Estate, Birds Royd Lane, Brighouse            HD6 1NA",Amaryllis Ltd,47000,22/08/2007,SBR
29052753,Offices and Premises,"1ST Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",,14500,01/01/2015,ER
29052754,Offices and Premises,"2ND Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",,8700,01/04/2012,SBR
29052755,Offices and Premises,"Unit 3A, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",Impetus Technologies Ltd,11000,01/04/2011,SBR
29052756,Warehouse And Premises,"Unit 3D, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",,4650,05/01/2016,SBR
29052760,Showroom And Premises,"Unit 5, Prince Of Wales Mill, Birds Royd Lane, Brighouse            HD6 1LQ",Parking Ventilation Equipment Ltd,11750,16/05/2014,SBR
29052761,Factory and Premises,"Unit 1, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",Severn Unival Ltd,252500,11/04/2013,
29052764,Workshop And Premises,"Unit 2, 99/101 Birds Royd Lane, Brighouse, HD6 1NG",Ramsdens Legal Services Ltd,23750,02/09/2016,ER
29052765,Offices and Premises,"Unit 3, 99/101 Birds Royd Lane, Brighouse, HD6 1NG",Ramsdens Legal Services Ltd,13500,02/09/2016,ER
29052766,Workshop And Premises,"Unit 1 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",Manzana Contracts (Uk) Ltd,37750,01/11/2015,SBR
29052767,Workshop And Premises,"Unit 3 Sidings Business Park, Birds Royd Lane, Brighouse, HD6 1LQ",G R Booth Ltd,57000,01/07/2015,
29052769,Offices And Premises,"Part Ground Floor, Hastings House, Birds Royd Lane, Brighouse            HD6 1LQ",Hastings O'Loughlin Financial Servuces Ltd,14750,01/01/2016,SBR
29052770,Offices And Premises,"Pt Grd Flr & 1ST Flr, Hastings House, Birds Royd Lane, Brighouse            HD6 1LQ",Manrochem Ltd,28750,01/01/2016,SBR
29056701,Communication Station and Premises,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4JJ",Tefonica O2 (Uk) Ltd,13500,01/04/1995,SBR
29056709,Communication Station and Premises,"Vodafone Mast Site No. 35466, Birkby House, Birkby Lane, Brighouse            HD6 4JJ",Vodafone Ltd,12250,01/05/2003,SBR
29056713,Store,"Unit 31 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,2000,01/10/2006,EX
29056720,Store And Premises,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,1350,18/09/2012,EX
29056726,Offices and Premises,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,1975,03/10/2007,EX
29056727,Offices and Premises,"Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Brosnans Ltd,20000,22/05/2006,SBR
29056728,Bowling Club And Premises,"Bailiff Bridge Bowling Club, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",Bailiff Bridge Bowling Club,660,01/04/2009,SBR
29056733,Day Nursery and Premises,"Bailiff Bridge Activity Cntr, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",,25250,17/08/2013,ER
29056734,Offices and Premises,"Unit 25 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,1550,01/09/2008,EX
29056736,Offices and Premises,"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",Blackshaw Holdings Ltd,1950,01/07/2016,EX
29056741,Offices and Premises,"Unit 28 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1975,01/03/2014,EX
29056742,Offices and Premises,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1975,01/03/2014,EX
29056749,Offices and Premises,"Unit 26 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1975,15/01/2014,EX
29056750,Offices and Premises,"Unit 27 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1975,15/01/2014,EX
29056751,Offices and Premises,"Unit 22 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,2000,24/09/2014,EX
29056752,Offices and Premises,"Unit 23 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,4200,24/09/2014,ER
29056753,Offices and Premises,"Unit 21 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1800,24/09/2014,EX
29056754,Offices and Premises,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,1600,24/09/2014,EX
29064025,Office and Premises,"25 Bonegate Road, Brighouse, HD6 1TQ",B D Smith & Co,2900,01/04/2005,SBR
29064701,Day Nursery and Premises,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP",,7000,01/06/2013,ER
29064702,Shop and Premises,"3b Bonegate Road, Brighouse, HD6 1TQ",Nature Cameras Ltd,5000,19/11/2005,SBR
29064704,Shop and Premises,"3A Bonegate Road, Brighouse, HD6 1TQ",,2700,08/03/2005,SBR
29064705,Communication Station and Premises,"Telecommunications Mast, Site Ref  3661, Brighouse, HD6 1SP",Vodafone Ltd,5800,01/01/1998,SBR
29072700,Store And Premises,"S/0 14 Bottomley Street, Brighouse, HD6 4AR",,1850,01/04/1990,EX
29078002,Workshop And Premises,"2 Bracken Road, Brighouse, HD6 2HW",,470,01/04/2014,SBR
29080003,Shop and Premises,"3 Bradford Road, Brighouse, HD6 1RW",,7900,01/08/2012,SBR
29080005,Shop and Premises,"5 Bradford Road, Brighouse, HD6 1RW",W B H Lord & Sons Ltd,16750,01/04/1990,SBR
29080006,Restaurant and Premises,"6 Bradford Road, Brighouse, HD6 1RW",,22000,01/04/1990,SBR
29080009,Civic Hall And Premises,"Brighouse Civic Hall, 9 Bradford Road, Brighouse, HD6 1RW",Director Of Safer & Stronger Communities,42250,01/04/1990,SBR
29080010,Offices and Premises,"10 Bradford Road, Brighouse, HD6 1RW",Enduring Enterprises Ltd,12250,13/12/2006,EX
29080011,Office and Premises,"11 Bradford Road, Brighouse, HD6 1RW",,11250,01/11/2001,SBR
29080012,Bank And Premises,"12 Bradford Road, Brighouse, HD6 1RW",Natwest Bank Plc,19500,01/04/1990,SBR
29080013,Shop and Premises,"15 Bradford Road, Brighouse, HD6 1RW",,10250,30/07/2013,SBR
29080016,Bank And Premises,"16 Bradford Road, Brighouse, HD6 1RW",Clydesdale Bank Plc,30000,01/04/1990,SBR
