LIABILITY_TYPE,RATEPAYER,Property Address,Billing Address,PROPREF,2010 Rating list value,Rates Payable,LIABILITY_START
I,Dean Clough Foundation,"Unit S1-S8 & B R 1, Dean Clough, Halifax, HX3 5AX"," Office Suite D182, Dean Clough, Halifax, HX3 5AX",64788801,11500,5416.5,01/04/1994
C,Yorkshire Youth & Music Ltd,"Office Suite E 125, Dean Clough Mills, Halifax, HX3 5AX","Company Administrator, Yorkshire Youth And Music, Dean Clough, Halifax, HX3 5AX",64788813,5000,2355,23/10/2000
C,Northern Orchestral Enterprises Ltd,"Office Suite E 128/130, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E128/130, Dean Clough Mills, Halifax, HX3 5AX",64788818,3850,1813.35,31/05/2001
I,Dean Clough Foundation,"Unit GY/8, G Mill Yard, Dean Clough Office Park, Halifax              HX3 5AX"," Office Suite D182, Dean Clough, Halifax, HX3 5AX",64788822,790,372.09,01/08/2000
C,Granuplas Reclamation,"Dog Lane Mills, Stainland, Halifax, HX4 9PZ","Dog Lane Mills, Stainland, Halifax, HX4 9PZ",64836703,1725,812.48,01/04/1990
I,All Saints Ce (Va) J & I School,"80 Dudwell Lane, Halifax, HX3 0SF","Dudwell Lane, Halifax, HX3 0SD",64844080,3050,1577.85,01/04/1994
C,Home Group Ltd,"12 Park Road, Halifax, HX1 2TS","2 Gosforth Park Way, Gosforth Business Park, Newcastle Upon Tyne, NE12 8ET",68208012,9700,4568.7,01/04/1990
C,Lloyd Loaders [ M.H ] Ltd,"Shibden Hall Road, Halifax, HX3 8PJ","Mytholm Works, Off Halifax Old Road, Hipperholme, Halifax, HX3 9XA",68556700,4100,1931.1,08/12/2001
C,Avco Trust Ltd,"First Floor, 18 Silver Street, Halifax, HX1 1HS","Citibank Na, C/O Cbre Fao Ap Rates Team, Cornwall Court 4th Floor, 19 Cornwall Street, Birmingham, B3 2DT",68580712,9500,4474.5,01/04/1990
I,Overgate Hospice,"26 Keighley Road, Halifax, HX2 8AL","30 Hullen Edge Road, Elland, HX5 0QY",65484026,2500,1177.5,22/12/1997
I,Illingworth Sports & Social Club,"Keighley Road, Halifax, HX2 8AR"," Treasurer, 30 Lee Green, Mirfield, WF14 0AB",65484700,7800,3673.8,01/04/1990
C,Everything Everywhere Ltd,"Telecomms Mast, Site Ref WYK192, Francis Street, Halifax              HX1 5JU","Orange Pcs Ltd, C/O Gva (Business Rates (Tm), Po Box 16097, 3 Brindley Place, Birmingham, B2 2UY",65104704,8400,3905.04,01/03/1998
I,Yorkshire Cancer Research,"180 King Cross Road, Halifax, HX1 3LN","39 East Parade, Harrogate, HG1 5LQ",65516180,4400,2072.4,01/11/1995
I,,"224 Pellon Lane, Halifax, HX1 5RU","15 Whitworth Terrace, Emily Way, Savile Park, Halifax, HX1 2PQ",68236224,3750,1766.25,01/04/1990
I,Halifax Amateur Operatic Society,"14 South Parade, Halifax, HX1 2LY","329 Skircoat Green Road, Halifax, HX3 0LX",68632710,5800,2731.8,01/10/1994
C,Lifeline Project Ltd,"9 Ferguson Street, Halifax, HX1 2EE","101-103 Oldham Street, Manchester, M4 1LW",65076009,6000,2826,09/07/2001
I,Halifax Thespians Ltd,"The Playhouse, King Cross Street, Halifax, HX1 2SH"," Hon Treasurer, 144 Skircoat Moor Road, Savile Park, Halifax, HX3 0HU",65520703,8300,3909.3,01/04/1990
I,,"Adj 8 King Cross Street, Halifax, HX1 2SH","5 Craven Edge, Halifax, HX1 5EG",65520710,10000,4710,01/07/1997
C,Calderdale Deaf Association,"4 St James Road, Halifax, HX1 1YS","6 Victoria Avenue, Sowerby Bridge, HX6 2PE",68728004,2900,1365.9,01/04/2000
,Hipperholme Grammar School Foundation,"Langlea Terrace, Hipperholme, Halifax, HX3 8LG","Fao The Bursar, Bramley Lane, Hipperholme, Halifax, HX3 8JE",65584700,2475,1165.73,02/04/1991
C,Frontcatch Ltd,"1/3 Law Lane, Southowram, Halifax, HX3 9QU",,65592001,7000,3297,01/04/1990
I,Southowram Community Association,"Southowram Community Centre, Law Lane, Southowram, Halifax             HX3 9QL","8 Kings View, Southowram, Halifax, HX3 9RU",65592701,3850,1813.35,01/04/1990
I,Halifax & District Bridge Association,"44 Prescott Street, Halifax, HX1 2QW","Inglemoor, Greenroyd Avenue, Halifax, HX3 0JW",68280044,11250,5298.75,16/12/1991
I,Hanover Housing Association,"2 Hanover House, Halifax, HX2 7HE","Gateway House, Cornish Park, Bumpers Way, Chippenham, SN14 6RA",68300700,1925,906.68,01/12/2000
C,Cengar Universal Tool Co Ltd,"Lister Lane, Halifax, HX1 5DN","Springfield Works, Saddleworth Road, Greetland, Halifax, HX4 8LZ",65652700,7000,3249.36,01/04/1990
I,Maurice Jagger Cntr For The Disabled & Elderly Of Calderdale,"The Maurice Jagger Centre, Lister Street, Halifax, HX1 1UZ",,65656701,8700,4097.7,01/04/1990
I,,"The Old Brandy Wine, Station Road, Luddendenfoot, Halifax             HX2 6AD",,68824703,8250,3885.75,06/01/1997
I,Boothtown Terriers A.R.L.F.C,"Ellen Royd Playing Fields, Range Bank, Halifax, HX3 6JR","2 Woodlands View, Boothtown, Halifax, HX3 6HL",68328700,1550,730.05,01/08/1998
I,Hove Edge Scout Group,"Broad Oak, Halifax Road, Hipperholme, Halifax              HX3 8BW","3 Mill Grove, Hove Edge, Brighouse, HD6 2FA",65232712,3700,1742.7,01/04/1990
C,Pennine Housing 2000 Ltd,"45 Stanningley Road, Mixenden, Halifax, HX2 8RJ","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",68804045,860,405.06,01/01/2003
I,Hebden Bridge Alternative Technology Centre,"Units 1a & 1b, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ","Units 1A & 1B, Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256703,5800,2731.8,14/07/1999
I,Hebden Bridge Woodcraft Folk,"Height Gate Farm, Dyke Lane, Eastwood, Todmorden           OL14 6EL","7 Redburn Drive, Shipley, BD18 3AR",78144700,3500,1648.5,01/04/2000
I,The Fielden Centre Association,"Fielden Centre, Ewood Lane, Todmorden, OL14 7DD","Fao The Treasurer, Fielden Centre, Ewood Lane, Todmorden, OL14 7DG",78152709,3150,1483.65,01/06/2001
C,The Woodcut Educational Trust Ltd,"Unit 21, Mill House Works, Mill House Lane, Triangle            HX6 3LN","Wood Cottage, Beestonley Lane, Stainland, Halifax, HX4 9PS",77352713,2450,1153.95,01/04/1991
C,Merrie Men Inns Preston Ltd,"22 Halifax Road, Todmorden, OL14 5QG","20/24 Leicester Road, Preston, Lancs, PR1 1PP",78192022,2850,1342.35,01/04/1991
I,Todmorden Amateur Operatic & Dramatic Society,"83 Halifax Road, Todmorden, OL14 5BB","44 Mons Road, Todmorden, OL14 8EF",78192083,2650,1248.15,17/05/1999
I,,"Old Cawsey, Sowerby Bridge, HX6 2AJ","Unit 2, S D H Industrial Estate, Sowerby Bridge, HX6 3BS",77404701,4600,2159.57,01/06/1995
I,Todmorden Amateur Operatic & Dramatic Society,"The Hippodrome, Halifax Road, Todmorden, OL14 5BB","44 Mons Road, Todmorden, OL14 8EF",78192733,4500,2119.5,01/04/1990
C,Finestreet Ltd,"21B Back Halifax Road, Todmorden, OL14 5AG","21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",78192770,2275,1058.46,01/06/1999
C,Hebden Royd C E (Va) Primary School,"King Street, Mytholm, Hebden Bridge, HX7 6DS","Church Lane, Hebden Bridge, HX7 6DS",76320700,300,141.3,01/04/2002
I,Colden Pre School Playgroup,"Colden Childrens Club, Lower Smithy, Colden, Hebden Bridge       HX7 7HP","Colden Childrens Club, Lower Smithy, Colden, Hebden Bridge, HX7 7HP",76346700,1875,1047.98,23/09/1996
I,The Anthroposophical Society,"Part Ground Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU","Hebden Bridge Branch, Pt Grd Floor , Machpelah Works, Machpelah, Hebden Bridge, HX7 8AU",76356704,2225,1047.98,01/12/1995
I,Oxfam,"21 Market Street, Hebden Bridge, HX7 6EU","Finance Office, 3rd Floor, Cale Cross House, 156 Pilgrim Street, Newcastle-Upon-Tyne, NE1 6SU",76360021,8600,4050.6,01/04/1990
,Rishworth School Trustees,"Rishworth New Road, Rishworth, Sowerby Bridge, HX6 4QA","Rishworth School, Oldham Road, Rishworth, Sowerby Bridge, HX6 4QA",77452700,4300,3862.2,01/04/1990
I,,"35 Rochdale Road, Ripponden, Sowerby Bridge, HX6 4DS","Beechroyd, Beech Road, Sowerby Bridge, HX6 2LE",77460035,1175,553.43,01/07/1993
I,,"Lacy Mill, Lacy Avenue, Todmorden, OL14 6RP","Unit 2 Lacy Mill, Lacy Avenue, Todmorden, OL14 6RP",78276700,2600,1220.25,14/06/1995
,Rishworth School Trustees,"Rishworth School Chapel, Shaw Lane, Rishworth, Sowerby Bridge       HX6 4QA","Rishworth School, Oldham Road, Rishworth, Sowerby Bridge, HX6 4QA",77496700,3600,1695.6,01/04/1990
C,Y.H.A [England & Wales] Ltd,"Mankinholes Youth Hostel, Mankinholes, Todmorden, OL14 6HR","Po Box 30, Dimple Road Business Centre, Matlock, DE4 3JX",78308700,4150,1954.65,01/04/1990
I,,"105A Oak Avenue, Todmorden, OL14 5PE",,78340700,3650,1719.15,12/11/1993
I,Independent Order Of Oddfellows,"New Oddfellows Hall, Oxford Street, Todmorden, OL14 5PU","8 Beaumont Street, Todmorden, OL14 5JZ",78348704,1875,883.13,01/04/1990
I,,"643 Rochdale Road, Todmorden, OL14 7SN",,78400643,1575,741.83,08/03/2002
I,Walsden Cricket And Bowling Club,"Walsden Cricket/Bowling Club, Rochdale Road, Todmorden, OL14 7SX"," 804 Rochdale Road, Todmorden, OL14 7UA",78400735,10250,4827.75,01/04/1990
I,Trustees Of Slack Top Centre,"Slack Top, Heptonstall, Hebden Bridge, HX7 7HA","Mount Zion Baptist Chapel, Slack Top, Heptonstall, Hebden Bridge, HX7 7HA",76480700,3900,1836.9,01/04/1990
I,Sowerby Bridge Cricket Club,"Sowerby Bridge Cricket Club, Walton Street, Sowerby Bridge, HX6 1AN","1 Excelsior Close, Ripponden, Halifax, HX6 4DD",77636703,4050,1907.55,01/04/1990
I,,"Woodpecker Inn, 224 Rochdale Road, Todmorden, OL14 7NU",,78400750,2950,1389.45,12/09/2001
I,Illingworth St.Marys Cricket Club,"Whitehill Road, Illingworth, Halifax, HX2 9EU","7 Lane Ends, Shibden, Halifax, HX3 7UW",69448701,5600,2637.6,01/04/1990
I,,"Stocks Avenue, Mytholmroyd, Hebden Bridge, HX7 5AY","Stocks Estate, Mytholmroyd, Hebden Bridge, HX7 5AZ",76516700,2650,1248.15,01/04/1990
I,Calder Valley Search & Rescue Team,"The Rescue Post, Thrush Hill Road, Mytholmroyd, Hebden Bridge       HX7 5AQ","C/O The Rescue Post, Thrush Hill Road, Mytholmroyd, Hebden Bridge, HX7 5AQ",76535705,7800,3673.8,31/01/1996
I,,"29 Towngate, Heptonstall, Hebden Bridge, HX7 7NB","29 Towngate, Heptonstall, Hebden Bridge, HX7 7NB",76540029,1650,777.15,01/04/2000
I,Todmorden Lawn Tennis Club,"Stansfield Hall, Stansfield Hall Road, Todmorden, OL14 5LR","7 Oak Villas, Oakville Road, Hebden Bridge, HX7 6NP",78440700,1375,647.63,01/04/1991
I,Noah's Ark Community Cafe,"10 Wheatley Lane, Lee Mount, Halifax, HX3 5EU","C/O 322 Ovenden Road, Halifax, HX3 5TJ",69420010,2800,1318.8,13/03/2000
I,,"20 Water Street, Todmorden, OL14 5AB",,78508020,2100,981.64,01/04/1996
I,Heptonstall Social And Bowling Club,"Acres Lane, Heptonstall, Hebden Bridge, HX7 7LT","The Treasurer, Acres Lane, Heptonstall, Hebden Bridge, HX7 7LT",76004700,6800,3202.8,01/04/1990
I,The National Trust,"Widdop Gate Barn, Widdop, Hebden Bridge, HX7 7AT","Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",76592702,1600,753.6,09/05/2002
I,,"Alma Works, Alma Street, Todmorden, OL14 6QJ","554 Rochdale Road, Todmorden, OL14 7SL",78008702,6200,1118.63,02/07/1999
I,University Of Bradford Eng.Dept.,"Oxenhope Moor, Keighley, HX7 8AD","Finance Office, University Of Bradford, Richmond Road, Bradford, BD7 1DP",79036700,1150,541.65,01/04/1990
I,Calderdale Citizens Advice Bureau,"Unit 2, New Oxford House, Albert Street, Hebden Bridge       HX7 8AH","37 Harrison Road, Halifax, HX1 2AF",76012720,6700,3155.7,01/04/1997
I,Wadsworth Community Association,"Old Town, Wadsworth, Hebden Bridge, HX7 8RY","Fao The Treasurer, Old Town, Wadsworth, Hebden Bridge, HX7 8RY",76036701,5300,2496.3,01/04/1990
I,,"Wadsworth Post Office, Wadsworth, Hebden Bridge, HX7 8RY",,76036703,2300,1083.3,01/04/1990
I,Age Uk,"12 Bridge Gate, Hebden Bridge, HX7 8EX","Property Department, Tavis House, 1-6 Tavistock Square, London, WC1H 9NA",76060012,11250,5298.75,01/04/1990
C,Shelter National Campaign For Homeless People Ltd,"32 Bridge Gate, Hebden Bridge, HX7 8EX","88 Old Street, London, EC1V 9HU",76060032,9500,4945.5,01/04/1990
I,Sowerby District Tennis And Bowling Club,"Sowerby Bowling/Tennis Club, Back Lane, Sowerby, Sowerby Bridge      HX6 1DF","23 Westborough Drive, Halifax, HX2 7QN",77028700,2025,953.78,01/04/1990
I,Sue Ryder Care,"5 Brook Street, Todmorden, OL14 5AJ","Capita Symonds, 25 Sackville Street, London, W1S 3HQ",78068005,11250,5298.75,23/06/1994
I,Norland Fun Club,"R/O Norland School, Berry Moor Road, Norland, Sowerby Bridge      HX6 3RN","Berry Moor Road, Norland, Sowerby Bridge, HX6 3RN",77060701,1475,694.73,01/04/1990
I,,"Sunny Bank House, Burnley Road, Todmorden, OL14 8LF",,78076732,1000,471,29/05/1990
I,12TH Halifax Sea Scout Group,"Sheds 14 & 15, Canal Wharf, Sowerby Bridge, HX6 2AG","C/O Tubend, Stanley Street, Sowerby Bridge, HX6 1EF",77128707,9400,4427.4,17/06/1990
I,,"714 Burnley Road, Todmorden, OL14 8LF",,78076760,2750,1274.64,01/04/1990
I,,"Waggon & Horses Inn, 752 Burnley Road, Todmorden, OL14 8LF",,78076767,8100,3815.1,01/04/1998
I,,"13 Town Hall Street, Sowerby Bridge, HX6 2EA","13a Town Hall Street, Sowerby Bridge, HX6 2EA",77600013,3800,1789.8,20/05/2002
I,The Calder Valley Club,"21 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LN",,76104700,4150,1954.65,09/12/1994
I,Age Uk Todmorden,"11 Burnley Road, Todmorden, OL14 7BH","11 Burnley Road, Todmorden, OL14 7BU",78076829,3450,1624.95,29/10/2001
I,,"Highgate Farm Shop, Heptonstall, Hebden Bridge, HX7 7PF",,76192700,870,409.77,01/04/1990
,Director Of Safer & Stronger Communities,"Sowerby Bridge Baths, Hollins Mill Lane, Sowerby Bridge, HX6 2QG","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",77276715,25000,942,01/04/1990
C,Dean Clough Ltd,"Office Suite G B, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64784894,8100,3815.1,31/12/2004
I,,"35 Tillotson Avenue, Sowerby, Sowerby Bridge, HX6 1BX","35 Tillotson Avenue, Sowerby, Sowerby Bridge, HX6 1BX",77592035,1825,859.58,04/02/2001
I,,"Dog Lane Mills, Dog Lane, Stainland, Halifax              HX4 9PZ","Granuplas Excavation, Dog Lane Mills, Stainland, Halifax, HX4 9PZ",64836702,3850,1813.35,01/04/2001
C,The Clifton & Lightcliffe Subscription Band Association,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4EW","Birkby Lane, Baliff Bridge, Brighouse, HD6 4EW",29084704,2225,1047.98,01/01/2005
C,Calderdale Citizens Advice Bureau,"65/67 Southgate, Elland, HX5 0DQ","37 Harrison Road, Halifax, HX1 2AF",56224722,6000,2826,07/10/2003
C,Purfleet Ltd,"Malt Shovel Inn, 10 Church Lane, Southowram, Halifax             HX3 9TD","67 Duckworth Lane, Bradford, BD9 5EU",64568700,1500,706.5,01/09/2003
C,Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG","19 Crossley Street, Halifax, HX1 1UG",64748705,2475,1165.73,01/04/2001
C,Dean Clough Ltd,"Unit L3, L Block, Dean Clough Office Park, Halifax              HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64784867,800,376.8,01/04/2004
C,Hawkhead Bray & Son Ltd,"Unit 32a, Phoebe Lane Ind Est, Phoebe Lane, Halifax             HX3 9EX","Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",68248727,260,122.46,01/04/2001
I,,"Unit 12b, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","First Floor, 4 West Street, Todmorden, OL14 5HY",65164733,880,414.48,24/02/2005
I,,"First Floor, 8 Wards End, Halifax, HX1 1BX","32 Park View, Halifax, HX1 4DZ",69264723,4350,2048.85,10/05/2005
I,,"29 Mile Cross Road, Halifax, HX1 4HN","29 Mile Cross Road, Halifax, HX1 4HN",65800029,1550,730.05,17/09/2005
I,,"1st Floor, 32 Bell Hall Terrace, Halifax, HX1 3EE",,64228700,930,438.03,01/04/2005
I,,"First Floor, Unit 9, Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF","3 Leicester Terrace, Halifax, HX3 0DZ",77340725,1125,529.88,01/04/2003
I,,"Lord Nelson Inn, 15 High Street, Luddenden, Halifax             HX2 6PX",,65328704,8800,4144.8,27/11/2003
I,,"R/O 109 Wakefield Road, Lightcliffe, Halifax, HX3 8SH","13 Rue Mal Foch, Maisos Lafitte, France, 78600",69248706,1100,518.1,01/04/2004
I,,"Adj 97 Hyde Park Road, Halifax, HX1 3LH","Adj 97 Hyde Park Road, Halifax, HX1 3LH",65420701,790,372.09,01/04/2001
C,Halifax Opportunities Trust,"Unit 13, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",65264735,1475,694.73,12/08/2002
C,Halifax Opportunities Trust,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG","The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",65264737,3700,1742.7,31/03/2002
C,Luddenden Conservation Society,"Luddenden Lane, Luddendenfoot, Halifax, HX2 6NH","Wesley Villa, New Road , Luddenden, Halifax, HX2 6QZ",65716702,1800,847.8,01/04/2003
C,Setbray Properties Ltd,"Adj 29 Crown Street, Hebden Bridge, HX7 8EH","Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",76176715,205,96.56,01/04/2002
