Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43584C,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,22/05/2014,18/05/2018,,18/05/2018,8548,,,NATIONWIDE CRASH REPAIR CENTRES LIMITED,650582,,95336,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43584D,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,NCCT40537 - Vehicle Bodywork & Mechanical Repair Framework,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,22/05/2014,18/05/2018,,18/05/2018,4724,,,R H BODYWORKS,,,86050,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON43826,,"Commercial Removals Services, terms of NCCT40574 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Commercial Removals Services, terms of NCCT40574 apply",FM-REMOVALS/STORAGE & RECORDS MANAGEMENT,,,,,07/07/2014,19/05/2018,,19/05/2018,,,,JOHNSONS MOVING SERVICES LTD /JOHNSONS BUSINESS MOVES,,,1301813,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49159,,"Domestic removals, terms of NCCT40577 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Domestic removals, terms of NCCT40577 apply",FM-REMOVALS/STORAGE & RECORDS MANAGEMENT,,,,,26/05/2016,20/05/2018,,20/05/2018,4558,,,OLLANDS LIMITED,3441520,,72748,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49159A,,"Domestic removals, terms of NCCT40577 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Domestic removals, terms of NCCT40577 apply",FM-REMOVALS/STORAGE & RECORDS MANAGEMENT,,,,,26/05/2016,20/05/2018,,20/05/2018,,,,BRITANNIA NEVES OF EAST ANGLIA - RICHARD NEAVE LTD T/A,,,1292842,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49159B,,"Domestic removals, terms of NCCT40577 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Domestic removals, terms of NCCT40577 apply",FM-REMOVALS/STORAGE & RECORDS MANAGEMENT,,,,,26/05/2016,20/05/2018,,20/05/2018,,,,SHEPPARDS REMOVALS & STORAGE LTD,,,86674,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,ATN43825,,"Domestic removal services, terms of NCCT40577 apply",SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,"Domestic removal services, terms of NCCT40577 apply",,,,,,07/07/2014,20/05/2018,,20/05/2018,75255,,,CLINTS REMOVALS,,,245242,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN51301,,Microsite Hosting,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Microsite Hosting,,,,,,01/06/2017,30/05/2018,,30/05/2018,2253,,,AFFINITY LTD,,,2172066,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GQN44565,,Finger posts and footpath signs,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Finger posts and footpath signs,HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,14/11/2014,31/05/2018,,13/05/2018,96102,,,Harrier Country Signs,,,1048772,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36110A,,Vehicle accident repairs,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs,VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,627,,,EAST BILNEY COACHWORKS (EAST BILNEY),,,82519,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36110C,,Vehicle accident repairs,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs,VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,15285,,,EAST BILNEY COACHWORKS (NORWICH-SOUTH),,,195139,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36110D,,Vehicle accident repairs,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs,VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,81962,,,HAMMONDS ACCIDENT REPAIR CENTRE,,,141389,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36110E,,Vehicle accident repairs,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs,VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,27561,,,NATIONWIDE CRASH REPAIR CENTRES LIMITED,650582,,95336,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36111A,,Vehicle accident repairs (vehicles over 3.5 tonnes),SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs (vehicles over 3.5 tonnes),VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,,,,FULL CIRCLE ENTERPRISES LIMITED,gb/04051362,,182391,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36111B,,Vehicle accident repairs (vehicles over 3.5 tonnes),SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs (vehicles over 3.5 tonnes),VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,,,,GLADWINS BODY REPAIR CENTRES INACTIVE,,,576468,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN36111C,,Vehicle accident repairs (vehicles over 3.5 tonnes),SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Vehicle accident repairs (vehicles over 3.5 tonnes),VEHICLE & PLANT BODYWORK REPAIRS,,,,,09/05/2014,31/05/2018,,31/05/2018,5498,,,R H BODYWORKS,,,86050,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN50840,,Floorcoverings - Terms of ESPO contract 16 apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Floorcoverings - Terms of ESPO contract 16 apply,FM-FURNITURE & EQUIPMENT,,,,,03/06/2014,31/05/2018,,31/05/2018,27059,,,CUSTOM GROUP LIMITED,2124001,,67855,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50602,,Call Handling & Dispatch Service,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Call Handling & Dispatch Service,,,,,,01/04/2017,31/05/2018,,31/05/2018,26484,,,EAST OF ENGLAND AMBULANCE NHS TRUST,,,135926,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GPN44764,,Leachate Management Systems,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Leachate Management Systems,,,,,,01/04/2011,31/05/2018,,31/05/2018,,,,C.P.S. ENVIRONMENTAL SERVICES LIMITED,5406664,,147605,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GUN44764,,Leachate Management Systems,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Leachate Management Systems,ICT-HARDWARE,,,,,01/04/2011,31/05/2018,,31/05/2018,,,,C.P.S. ENVIRONMENTAL SERVICES LIMITED,5406664,,147605,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43955,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,,Estimated,,HOME GROUP LIMITED,IP22981R,,146370,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43957,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,,Estimated,,YMCA NORFOLK,2067523,801606,354985,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43954,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,3019804,ESTIMATED,,SIXTEEN PLUS (MIDLANDS) LIMITED,,,1198766,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43950,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,,Estimated,,KEYS 16 PLUS INDEPENDENT LIVING SERVICES LIMITED,5456120,,152804,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN44507,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/10/2018,,Estimated,,STEP AHEAD SERVICES LTD,,,1362761,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN45455,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,15/12/2014,31/05/2018,,31/05/2018,633532,ESTIMATED,,G CULLUM T/A HEATH LODGE,,,1173761,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN47179,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,13/05/2015,31/05/2018,,31/05/2018,,Estimated,,BREAK,1699685,286650,79512,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN4179A,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,11301,Estimated,,EVOLVE EAST ANGLIA C.I.C.,9156146,,1383796,,Y,Community Interest Company ,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43953,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Select List for Supported Accommodation for 16yrs + Young People In Care and Leaving Care in Norfolk,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,16/06/2014,31/05/2018,,31/05/2018,1428,Estimated,,THE BENJAMIN FOUNDATION,3825425,1124936,80162,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AQN47614,,Commercial Property Agents for Scottow Enterprise Park,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Commercial Property Agents for Scottow Enterprise Park,ADVERTISING,,,,,08/06/2015,04/06/2018,,07/06/2019,47490,,,CARTER JONAS LLP,OC304417,,187618,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AQN47480,,"Scottow Enterprise Park, Commercial Property Agent fees",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Scottow Enterprise Park, Commercial Property Agent fees",FM-MANAGEMENT OF LAND & PROPERTY,,,,,08/06/2015,07/06/2018,,07/06/2018,,,,ARNOLDS KEYS LLP PROPERTY MANAGEMENT,,,1073793,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50945,,Statutory SEN support,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Statutory SEN support,CHILDREN'S SERVICES-ASSESSMENT,,,,,14/06/2017,13/06/2018,,13/06/2018,14776,ESTIMATED,,Robin Farman,,,1623770,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN51039,,Stand Space at Global Offshore Wind Conference 368-17,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Stand Space at Global Offshore Wind Conference 368-17,,,,,,08/08/2017,20/06/2018,,20/06/2018,9636,,,RENEWABLE UK,,,1921879,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN51054,,Support to implement 3 Conversations programme implementation,SINGLE AWARD CONTRACT,COMMUNITIES,,,Support to implement 3 Conversations programme implementation,,,,,,22/06/2017,21/06/2018,,21/06/2018,78808,,,OLM SYSTEMS LIMITED,2615716,,98470,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49982,,Interim project support,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Interim project support,HR-INTERIM & TEMPORARY STAFF,,,,,28/06/2016,27/06/2018,,27/06/2018,61166,,,NUMBER 10 INTERIM LTD,7050612,,1247835,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AEN43042,,"Non-domestic waste collection, recycling and disposal services",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Non-domestic waste collection, recycling and disposal services",,,,,,03/04/2014,30/06/2018,,30/06/2018,370640,,,NORSE WASTE SOLUTIONS,,,174953,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,399,,,TREVOR MARSHAM T/A AM GROUND MAINTENANCE,,,2155956,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440A,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,198626,,,AMITOLA LIMITED,6457475,,147137,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440B,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,22684,,,COUNTRY GROUNDS MAINTENANCE LIMITED,3529670,,67742,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440D,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,DAVID GILLETT TREE SERVICES,,,1058796,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440E,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,3395,,,EASTON COUNTRYSIDE SERVICES,,,142789,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440F,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,FARMLAND FORESTRY,,,71467,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440G,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,ED BENTON T/A GOLDEN TREE SURGEONS LTD,,,153638,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440H,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,69744,,,REDACTED - PERSONAL DATA,,,145874,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440I,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,20692,,,M J TREE-SERVICES,,,71523,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440J,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,M P DENNIS AND SONS,,,71563,,,,Procurement systems team,procm@norfolk.gov.uk,
