Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
,-52.41,-52.41,2004,"20 Market Street, Hebden Bridge, HX7 6AA",,09/16/00,09/20/04
J B Hemming Co Ltd (In Liquidation),-507.94,-507.94,2002,"Unit 11, Westfield Mill, Mytholmroyd, Hebden Bridge       HX7 8SH","C/O Messrs Poppleton &, Appleby, 32 High Street, Mancheste, RM4 1QD",04/01/90,01/21/93
,-60,570,2016,"Unit 1, Asquith Bottom Works, Sowerby Bridge, HX6 3BT",,05/01/96,
,-0.54,-0.54,2017,"Florists, Beech Road, Sowerby Bridge, HX6 2LR",,04/01/90,
,-0.7,-0.7,2017,"Unit 4 Hill Crest Garage, Burnley Road, Sowerby Bridge, HX6 2TL",,04/01/90,
,-188.63,-188.63,2002,"The Brothers Grimm, 17 Causeway Head, Sowerby Bridge, HX6 2TG",,01/01/92,11/05/00
,-65.79,-65.79,2002,"Manchester House, 107 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",,06/03/91,02/28/97
Reconstruct & Design Ltd,-85.07,-85.07,2002,"Old Oxford House, Albert Street, Hebden Bridge, HX7 8AH",,04/01/90,02/29/92
Dalebank Home Furnishing Ltd(In Liquidation),-324.68,-324.68,2002,"Unit 9, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ","C/O Grant Thornton, Eldon Lodge, Eldon Place, Bradford, BD1 3AP",04/01/90,08/18/92
,-91.07,-91.07,2004,"5 Wharf Street, Sowerby Bridge, HX6 2EG",,03/31/02,06/12/04
,-1887.24,-1887.24,2016,"The Ash Tree, 75 Wharf Street, Sowerby Bridge, HX6 2AF",,08/15/98,02/17/17
,-81.94,-81.94,2017,"Garage 2, Raglan Street, Todmorden, OL14 5HF",,04/01/90,
,-91.13,-91.13,2005,"Square Garage, Rochdale Road, Todmorden, OL14 6SX",,04/01/02,05/16/05
Eddingbrook Ltd,-535,-535,2017,"Valley Works, Bacup Road, Todmorden, OL14 7PJ","Valley Works, Bacup Road, Todmorden, OL14 7PJ",04/01/90,
S Horsfall (Plumbers) Ltd,-36,-36,2012,"2 Dale Street, Todmorden, OL14 5PX","Liddington, Peel Cottage Road, Todmorden, OL14 7QJ",04/01/90,04/30/14
,-23.97,-23.97,2002,"3 Margate Street, Sowerby Bridge, HX6 1DZ",,04/01/90,03/24/91
,-70.41,-70.41,2009,"Unit 11, Penair Works, Mill Fold, Ripponden           HX6 4DJ",,06/01/91,05/13/09
,-21.6,-21.6,2017,"Unit 6, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,04/01/90,
,-21.69,-21.69,2002,"16 Water Street, Todmorden, OL14 5AB",,08/01/96,02/03/01
,-136.02,-136.02,2006,"4 West Street, Todmorden, OL14 5HY",,04/01/98,09/30/06
,-0.02,-0.02,2017,"Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",,01/07/03,
,-732,-732,2015,"Nichols Yard, R/O 36 Town Hall Street, Sowerby Bridge, HX6 2EE",,02/20/03,03/31/15
,-21.87,-21.87,2006,"220 King Cross Road, Halifax, HX1 3JP",,05/01/03,09/22/06
,-281.79,-826.69,2011,"The Mill, Gardeners Square, Hipperholme, Halifax              HX3 8LL",,05/03/03,07/31/11
Central Holdings Ltd,-11.64,-11.64,2009,"1/3 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF","37 Spring Lane, Pannal, Harrogate, HG3 1NP",11/01/01,04/30/09
,-20,-20,2003,"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",,06/17/03,08/07/03
Colour (Yorkshire) Ltd,-253,-253,2017,"16 Albert Street, Hebden Bridge, HX7 8AH","F.A.O. Kate Bauld, 16 Albert Street, Hebden Bridge, Halifax, HX7 8AH",08/01/04,
,-0.09,-0.09,2017,"9 Stanley Street North, Ovenden, Halifax, HX2 9AH",,07/18/04,
,-3.41,-453.41,2005,"2 Langdale Street, Elland, HX5 0JL",,04/01/03,03/31/03
Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,2006,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG",01/01/04,09/29/06
,-25.82,-25.82,2006,"10 Bridge End, Brighouse, HD6 3DH",,11/01/03,03/01/07
Chief Environmental Health Officer,-363.3,-994.84,2002,"Stainland Road, Barkisland, Halifax","Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",04/01/90,03/31/00
,-831.45,-2667.52,2006,"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",,08/10/04,08/10/06
,-7.48,-7.48,2005,"Union Cross Hotel, 12 Old Market, Halifax, HX1 1TN",,09/06/05,01/03/06
C.D.R Supply Co Ltd,-0.59,-0.59,2017,"Unit 1A, Canteen Mill Ind. Units, Burnley Road, Todmorden           OL14 7DR",,10/01/05,
,-496.83,-1208.55,2011,"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",,06/09/05,06/12/11
Ace Recycle Ltd,-0.48,6523.52,2016,"Quarry & Premises, Wood Top Quarry, Swales Moor Road, Halifax              HX3 6UL",,04/01/05,
,-0.34,-0.34,2017,"38 Boothtown Road, Halifax, HX3 6NE",,07/30/05,
Hebden Bridge Brass Band,-0.18,-0.16,2017,"Unit 1A, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","Fao Mr Steve Gardiner, Unit 1A, Topland Country Bus Park, Cragg Road, Mytholmroyd, HX7 5RU",08/01/04,
,-43.85,-43.85,2010,"7 West Street, Sowerby Bridge, HX6 3AP",,08/27/05,08/26/10
,-210.07,-210.07,2008,"Unit 2B, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,05/01/05,12/22/08
,-263.79,-1534.14,2010,"Old Pond Inn, 15 Spout House Lane, Brighouse, HD6 2PL",,10/18/04,10/27/10
D & S Baths Ltd [In Administration],-1998,-4364.05,2007,"Aquarius Building, 190 Hanson Lane, Halifax, HX1 4SD","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU",03/24/06,10/29/08
,-76.66,-76.66,2006,"68 West Street, Sowerby Bridge, HX6 3AP",,04/01/05,02/04/07
R S Motorcycles Ltd,-2066.27,-7968.48,2013,"Unit 3 Crow Carr Ings Mill, Vale Street, Todmorden, OL14 5HG","9 Badger Wood, Kilnhurst Road, Todmorden, Lancashire, OL14 6BB",03/01/06,09/30/13
Weir Scaffolding Ltd,-75.45,-75.45,2017,"Unit 12A & 12C, Holme End Works, Holme End, Hebden Bridge        HX7 8NX","C/O David Jones, 10 Calder Terrace, Mytholmroyd, Hebden Bridge, HX7 5AA",04/01/05,
,-0.01,-0.01,2014,"32 Crown Street, Halifax, HX1 1TT",,11/21/05,
,-71.15,-71.15,2012,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",,04/01/90,12/31/11
Timber Building Installations Ltd,-3.92,-3.92,2006,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Unit 1, Calder Valley Motors, Burnley Rd, Mytholmroyd, Hebden Bridge, HX7 5AD",09/01/06,04/01/07
,-25.9,-25.9,2006,"Unit 13/14, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,08/03/06,01/30/07
,-360.5,-73106.88,2010,"Stainland Rd Medical Centre, 70 Stainland Road, Greetland, Halifax              HX4 8BD",,01/24/06,
,-25389.5,-73106.88,2015,"Stainland Rd Medical Centre, 70 Stainland Road, Greetland, Halifax              HX4 8BD",,01/24/06,
,-12.2,-12.2,2014,"Clarence Brass Works, Aked's Road, Halifax, HX1 2TR",,04/26/06,09/11/14
,-81.18,-81.18,2007,"3 Clare Road, Halifax, HX1 2HX",,04/01/07,03/31/07
,-9.55,-9.55,2010,"297 Gibbet Street, Halifax, HX1 4JX",,10/01/06,04/30/10
,-1.18,-1.18,2017,"Unit 4, L R P Business Park, Halifax Road, Hipperholme, Halifax              HX3 8ER",,01/01/07,
Amazonails Ltd,-44.37,-44.37,2011,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HJ","Unit 1, Hope Mill, Crescent Street, Todmorden, OL14 5HJ",03/01/07,07/07/11
Wiley Accessories Ltd,-205.64,-205.64,2015,"Junction Bradford Road/, Thornhills Beck Lane, Brighouse, HD6 4AH","Fao Michelle Bacon, Wiley Accessories Ltd, St Peg Mills, Bradford Road, Brighouse, HD6 4AU",04/01/07,02/04/16
Security Professionals Ltd,-20.39,-20.39,2008,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP",06/01/06,10/30/08
The Dean Clough Foundation,-88.57,-88.57,2016,"Office Suite D108, Dean Clough Office Park, Halifax, HX3 5AX","Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",04/01/07,12/31/16
,-602.76,-766.35,2008,"11/13 Lilly Street, Sowerby Bridge, HX6 3DG",,07/01/07,01/04/08
Hebden Bridge Group Practice,-2544.59,-77444.65,2011,"Grange Dene Medical Centre, Grange Dene, Burnley Road, Mytholmroyd          HX7 5LF","Valley Medical Centre, Valley Road, Hebden Bridge, HX7 7BZ",04/01/05,
,-141.6,-966.7,2015,"Balcony Store 30, Borough Market, Halifax, HX1 1DZ",,04/01/07,03/31/10
Alfiman Ltd,-3193.51,-4117.44,2013,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP","181 Bramley Lane, Halifax, HX3 8JJ",10/01/07,05/31/13
Alfiman Ltd,-923.93,-4117.44,2014,"Sovereign House, 8 Bonegate Road, Brighouse, HD6 1SP","181 Bramley Lane, Halifax, HX3 8JJ",10/01/07,05/31/13
,-177.57,-177.57,2017,"S/0 1 Jumples, Mixenden, Halifax, HX2 8NS",,04/01/07,
Romida Sports Ltd (In Administration),-214.73,-214.73,2012,"Unit 3 West Vale Buildings, Wakefield Road, Brighouse, HD6 1QD","Bdo Llp, 3 Hardman Street, Manchester, M3 3AT",04/01/07,10/04/12
Cheque Centres Properties Ltd (In Liquidation),-1994.61,-1994.61,2014,"68 Commercial Street, Brighouse, HD6 1AQ","Kpmg, Saltire Court, 20 Castle Terrace, Edinburgh, EH1 2EG",04/20/07,07/02/14
,-77.83,-77.83,2007,"16 Union Street, Halifax, HX1 1PR",,05/01/07,03/08/08
,-276.9,-276.9,2017,"6a Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,12/17/07,
Equable Properties Ltd,-312.5,-312.5,2008,"Dog & Partridge, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH",02/06/08,07/23/09
,-1.41,-1.41,2017,"607 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,04/06/08,
Newbuild Masonry (Yorkshire) Ltd,-96.83,-96.83,2008,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Mr G Varley, 308 Skircoat Green Road, Halifax, HX3 0LJ",04/01/08,12/31/08
,-28.5,-28.5,2008,"75 Burnley Road, Todmorden, OL14 7BS",,02/13/08,03/08/09
,-2.76,-2.76,2009,"Unit 3D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,12/01/07,03/12/10
,-243.14,-243.14,2009,"Unit 4D, Top Land Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,07/01/08,12/31/09
,-0.22,-0.22,2017,"17 Halifax Road, Todmorden, OL14 5AG",,12/14/07,
Pg Control Systems Ltd,-0.22,-0.22,2017,"Unit 9C, Top Land Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU","Unit 9c, Top Land Country Business Park, Cragg Road , Mytholmroyd, Hebden Bridge, HX7 5RW",08/01/08,
,-156.61,-156.61,2017,"Unit 5 Windsor Business Park, Ryburn Terrace, Halifax, HX1 4SE",,03/25/08,
Oakenclough Buildings Ltd,-574.03,-574.03,2009,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Attn Glenn Brady, Oakenclough Mill, Garstang, Preston, PR3 1TB",09/01/08,12/31/09
The Brass Monkey Brewery Co Ltd,-995.97,-995.97,2012,"Units 24-26, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS","Units 24/26, Asquith Bottom Mills, Ridge Street, Sowerby Bridge, HX6 3BS",10/01/08,05/31/12
,-85.77,-85.77,2011,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,04/01/08,03/26/12
,-106.55,-106.55,2009,"Ground Floor, 24/26 Silver Street, Halifax, HX1 1HS",,11/17/08,03/17/10
,-176,-176,2010,"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,10/26/08,01/31/10
Intrepid Leisure Ltd,-58.46,-58.46,2009,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ","Po Box 496, Kingston Upon Hull, HU9 9GN",03/16/09,08/13/09
Bizspace Ltd,-603.91,-603.91,2013,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",07/01/13,12/31/13
Pennine Magpie Ltd,-662,-662,2017,"Unit 15C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8DB",11/01/13,
,-5.34,-5.34,2017,"Old Cragg Hall Barn, Cragg Vale, Hebden Bridge, HX7 5TB",,05/29/09,
,-0.55,-0.55,2017,"Unit 8A Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,09/01/08,
,-10.8,-10.8,2012,"Room 2, Town Hall, Thornton Square, Brighouse           HD6 1ED",,02/18/09,03/31/12
,-0.03,-0.03,2017,"305 Huddersfield Road, Halifax, HX3 0PG",,01/16/10,
Bowers Mill Cafe Ltd,-94.8,-94.8,2017,"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,01/01/10,
,-575.52,-575.52,2010,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,02/01/10,01/31/11
,-0.45,-0.45,2017,"First Floor, Mount Pleasant Mill, Mytholmroyd, Hebden Bridge        HX7 5LR",,10/01/07,
The Dean Clough Foundation,-408.32,-408.32,2016,"Office Suite D106, Dean Clough Office Park, Halifax, HX3 5AX","Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",03/08/10,12/31/16
Administrators Of G F Interiors Ltd,-711.64,-711.64,2009,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP",02/27/10,04/20/10
,-2562.59,-5812.39,2012,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
,-493.41,-5812.39,2013,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
Anchor Trust,-24.13,-24.13,2011,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW",04/01/10,10/01/11
Triplesix Ltd,-166.67,-166.67,2013,"Unit 6C & 6D, Topland Country Business Pk, Cragg Road, Mytholmroyd","Unit 2 B Orchard Business Pk, Scout Road, Mytholmroyd, Hebden Bridge, HX7 5HZ",05/01/10,03/03/14
,-19.4,-69.42,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,11/22/10,03/31/13
,-29.62,-29.62,2013,"(Unofficial Address), Unit 12 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,11/18/12,03/18/14
Manningstead Ltd,-879.53,-879.53,2013,"12 Central Hall, Coronation Street, Elland, HX5 0DF","C/O Brent Turner, The Hayloft, Hullen Edge Farm, Goose Nest Lane, Norland, Halifax, HX6 3QW",12/06/11,07/15/13
,-75.68,-75.68,2017,"214 Queens Road, Halifax, HX1 4NE",,03/15/12,
,-5.16,-5.16,2012,"Unit 6 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,09/05/12,11/30/12
,-11.5,-11.5,2014,"39 Burnley Road, Todmorden, OL14 7BU",,07/01/09,03/20/12
,-320.59,-320.59,2010,"2 Swine Market, Halifax, HX1 5DT",,09/01/10,01/23/14
Castelite Ltd,-135,-135,2010,"Casa Del Lago, Elland Road, Brighouse, HD6 2AB","281 Elland Road, Brookfoot, Brighouse, HD6 2RG",06/17/09,04/30/10
,-310.38,-310.38,2011,"193 Queens Road, Halifax, HX1 4NE",,09/06/09,03/20/11
P.H.S Ltd,-1884,-1884,2011,"Armytage Road, Brighouse, HD6 1QF","Attn Andrew Knight, 7 Lancaster Way, Ermine Business Park, Huntingdon, Cambs, PE26 6XU",02/03/10,06/22/11
Atmosphere Bars & Clubs Ltd (In Administration),-1744.37,-1744.37,2013,"Abc Cinema, Commercial Street, Halifax, HX1 1BX","Fao Adrian Peter Berry, C/O Deloitte Llp, 1 City Square, Leeds, LS1 2AL",02/26/10,05/14/13
,-472.48,-472.48,2011,"Cross Roads Inn, Wainstalls, Halifax, HX2 7TB",,04/23/10,01/08/12
,-0.01,-0.01,2015,"11B Bridge Gate, Hebden Bridge, HX7 8EX",,05/07/11,
,-219.86,-219.86,2012,"1 Ovenden Road, Halifax, HX3 5PN",,04/01/11,11/30/12
,-621.69,-621.69,2011,"4 Cheapside, Halifax, HX1 1TQ",,08/02/10,11/01/11
,-36,-304.6,2012,"23A Ovenden Road, Halifax, HX3 5PN",,08/23/10,09/30/13
,-85.7,-304.6,2013,"23A Ovenden Road, Halifax, HX3 5PN",,08/23/10,09/30/13
,-21.29,-16.02,2011,"Storeroom 3 Market Hall, Brook Street, Todmorden, OL14 5AJ",,01/26/11,05/31/11
,-21,-63,2016,"Unit 12B Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,11/07/11,
C N Trading Ltd,-747.49,-747.49,2013,"UNIT1 Perseverance Mill, Halifax Road, Todmorden, OL14 6EG","Calderside Nurseries, Oakville Road, Hebden Bridge, HX7 6NG",05/05/11,10/27/13
Communitas Eu Ltd,-116,-116,2012,"Office Suite D 109, Dean Clough Office Park, Halifax, HX3 5AX","Office Suites D107/D109, Dean Clough Mills, Halifax, HX3 5AX",06/01/11,05/31/11
Philip Fearnley Photography Ltd,-5100,-11089,2015,"47 Bolton Brow, Sowerby Bridge, HX6 2AL","47 Bolton Brow, Sowerby Bridge, HX7 2AL",05/06/05,03/31/15
Simply Sweets (Brighouse) Ltd,-41.04,0,2015,"20 West Park Street, Brighouse, HD6 1DU","11 Bethel Street, Brighouse, HD6 1JR",11/29/12,04/29/15
Night Realisations Plc In Administration,-5.2,-5.2,2012,"1 Shroggs Road, Halifax, HX1 5HZ","F.A.O. Catrin Drabble, C/O Ernst & YoungLlp, 1 More London Place, London, SE1 2AF",03/06/13,04/21/16
Calderdale Mbc Neighbourhood And Community Engagement Team,-1234.2,-2458.2,2016,"Hebden Royd Town Council, 1ST & 2ND Flr The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Fao Andrew Pitts, Westgate House, Westgate, Halifax, HX1 1PS",08/20/12,03/31/15
Sainsbury's Bank Plc,-141.5,1606,2016,"Atm Site, 21/23 Park Drive, Halifax, HX2 7NP","C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Brimingham, B2 5LS",04/01/10,
,-3.07,-36.28,2015,"35 Broad Street, Halifax, HX1 1YA",,03/01/14,07/05/16
,-16.27,-16.27,2015,"Unit 14A Woodman Works, South Lane, Elland, HX5 0PA",,08/01/13,11/30/15
Treble Clef Ltd,-91.12,-91.12,2014,"5 Canal Street, Brighouse, HD6 1NR","5 Canal Street, Brighouse, HD6 1NR",03/31/14,03/30/14
,-139.22,-139.22,2017,"First Floor, 5 Carlton Place, Halifax, HX1 2SB",,03/10/15,
