ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,06/07/2016,CHILDREN’S SOCIAL CARE,FOOTSTEPS A PATH TO CHANGE,06/07/2016,3500,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001018563
ROCHDALE BOROUGH COUNCIL,04/07/2016,FINANCE SERVICES,LINK4LIFE (CHARITY),04/07/2016,1680,ROOM HIRE,V001018586
ROCHDALE BOROUGH COUNCIL,15/07/2016,PUBLIC HEALTH,PENNINE CARE NHS,15/07/2016,90750,PH PENNINE CARE CONTRACT,V001018602
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,3582,ADOPTION PAYMENTS,V001018614
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,750,ADOPTION PAYMENTS,V001018615
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,750,ADOPTION PAYMENTS,V001018616
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,750,ADOPTION PAYMENTS,V001018617
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,1950.89,GAS,V001018714
ROCHDALE BOROUGH COUNCIL,14/07/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,1816.17,GAS,V001018715
ROCHDALE BOROUGH COUNCIL,15/07/2016,PHYSICAL DIS & OLDER PEOPLE,STOCKPORT METROPOLITAN BOROUGH COUNCIL,15/07/2016,2250,SUBSCRIPTIONS,V001019103
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,STOCKPORT METROPOLITAN BOROUGH COUNCIL,15/07/2016,2250,SUBSCRIPTIONS,V001019103
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,05/07/2016,4549.2,ACTIVITIES,V001019149
ROCHDALE BOROUGH COUNCIL,07/07/2016,EARLY HELP AND SCHOOLS,TIDDLYWINKS DAY NURSERY,07/07/2016,1613.7,INTERNALLY COMMISSIONED SERVICES (EXP),V001019180
ROCHDALE BOROUGH COUNCIL,13/07/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,13/07/2016,700,SOFTWARE,V001019260
ROCHDALE BOROUGH COUNCIL,08/07/2016,ECONOMY DIRECTORATE,TALKTALK BUSINESS,08/07/2016,642.48,TELEPHONE EXPENDITURE,V001019301
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,15/07/2016,950,ROADWORKS,V001019315
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,15/07/2016,4292.58,IMPROVEMENTS-MODERNISATION,V001019347
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,691.18,GAS,V001019393
ROCHDALE BOROUGH COUNCIL,05/07/2016,PHYSICAL DIS & OLDER PEOPLE,LINKABILITY,05/07/2016,531.36,PERSONAL BUDGETS - MANAGED,V001019553
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,963.1,GAS,V001019568
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,15/07/2016,4361.25,ACTIVITIES,V001019595
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,15/07/2016,900,ACTIVITIES,V001019596
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/07/2016,93851.74,AGILISYS CONTRACT,V001019609
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/07/2016,76459.43,AGILISYS CONTRACT,V001019611
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/07/2016,3946.12,AGILISYS CONTRACT,V001019612
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/07/2016,3946.13,AGILISYS CONTRACT,V001019612
ROCHDALE BOROUGH COUNCIL,07/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BLACKPOOL  COUNCIL,07/07/2016,72900,SOFTWARE,V001019625
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,15/07/2016,589.55,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V001019640
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,4399.79,GAS,V001019698
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/07/2016,-10611,AGILISYS CONTRACT,V001019700
ROCHDALE BOROUGH COUNCIL,15/07/2016,FINANCE SERVICES,ROYAL NATIONAL INSTITUTE OF THE BLIND,15/07/2016,538.5,PRINTING & STATIONERY,V001019756
ROCHDALE BOROUGH COUNCIL,07/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,07/07/2016,872.38,VEHICLE MAINTENANCE,V001019768
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,15/07/2016,13572.62,CONSULTANT FEES,V001019794
ROCHDALE BOROUGH COUNCIL,01/07/2016,PROPERTY AND HIGHWAYS,BEXAN LTD,01/07/2016,590.5,PROPERTY - WORKS ELEMENT,V001019862
ROCHDALE BOROUGH COUNCIL,01/07/2016,PROPERTY AND HIGHWAYS,BEXAN LTD,01/07/2016,867.8,PROPERTY - WORKS ELEMENT,V001019862
ROCHDALE BOROUGH COUNCIL,01/07/2016,EARLY HELP AND SCHOOLS,H BELL & SONS ROCHDALE LTD,01/07/2016,45541.83,IMPROVEMENTS-MODERNISATION,V001019865
ROCHDALE BOROUGH COUNCIL,11/07/2016,ECONOMY DIRECTORATE,GMCA,11/07/2016,9635.71,IMPROVEMENTS-MODERNISATION,V001020033
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020500
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020501
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020502
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020503
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020504
ROCHDALE BOROUGH COUNCIL,14/07/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,14/07/2016,6266.25,CONSULTANT FEES,V001020506
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020507
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/07/2016,500,OTHER MEDICAL EXPENSES,V001020508
ROCHDALE BOROUGH COUNCIL,01/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HINT MEDIA LTD,01/07/2016,2187,MARKETING EXPENDITURE,V001020872
ROCHDALE BOROUGH COUNCIL,01/07/2016,ECONOMY AND ENVIRONMENT,GBS ACCIDENT REPAIR SPECIALISTS,01/07/2016,708,TRANSACTIONS-EXPENDITURE,V001020877
ROCHDALE BOROUGH COUNCIL,05/07/2016,PUBLIC HEALTH,LLOYDS PHARMACY LTD,05/07/2016,504.3,PH LCS PAYMENTS,V001020886
ROCHDALE BOROUGH COUNCIL,01/07/2016,ECONOMY AND ENVIRONMENT,EMO OIL LIMITED,01/07/2016,26505,TRANSACTIONS-EXPENDITURE,V001020887
ROCHDALE BOROUGH COUNCIL,01/07/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,01/07/2016,285835.72,IMPROVEMENTS-MODERNISATION,V001020895
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,15/07/2016,5689,IMPROVEMENTS-MODERNISATION,V001020897
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/07/2016,2211.75,ENERGY COSTS,V001020898
ROCHDALE BOROUGH COUNCIL,01/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,01/07/2016,630,CONTRACTS,V001020945
ROCHDALE BOROUGH COUNCIL,01/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,01/07/2016,808.4,CONTRACTS,V001020946
ROCHDALE BOROUGH COUNCIL,12/07/2016,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,12/07/2016,3000,CONSULTANTS FEES,V001020950
ROCHDALE BOROUGH COUNCIL,04/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DDH FABRICATIONS LTD,04/07/2016,1120,EQUIPMENT - GENERAL,V001020959
ROCHDALE BOROUGH COUNCIL,01/07/2016,EARLY HELP AND SCHOOLS,EMMA GORDON TUTORING,01/07/2016,1050,OTHER EST - SEN PROVISION,V001020975
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,15/07/2016,4481.75,OTHER LA`S - SEN PROVISION,V001020986
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,15/07/2016,2279.55,OTHER LA`S - SEN PROVISION,V001020987
ROCHDALE BOROUGH COUNCIL,05/07/2016,EARLY HELP AND SCHOOLS,CUMBERLAND SCHOOL,05/07/2016,1530,TRAVELLING GENERAL EXPENSES,V001020990
ROCHDALE BOROUGH COUNCIL,05/07/2016,ECONOMY AND ENVIRONMENT,ENTERPRISE FLEX-E-RENT,05/07/2016,989.08,TRANSACTIONS-EXPENDITURE,V001021002
ROCHDALE BOROUGH COUNCIL,05/07/2016,ECONOMY AND ENVIRONMENT,ENTERPRISE FLEX-E-RENT,05/07/2016,989.08,TRANSACTIONS-EXPENDITURE,V001021003
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,06/07/2016,14266,PURCHASE OF FURNITURE AND EQUIPMENT,V001021010
ROCHDALE BOROUGH COUNCIL,06/07/2016,FINANCE SERVICES,MERITEC LIMITED,06/07/2016,19240,AGENCY STAFF,V001021013
ROCHDALE BOROUGH COUNCIL,12/07/2016,EARLY HELP AND SCHOOLS,ENTERPRISE FLEX-E-RENT,12/07/2016,783.77,EXTERNAL HIRE,V001021043
ROCHDALE BOROUGH COUNCIL,06/07/2016,ECONOMY DIRECTORATE,JGM AGENCY,06/07/2016,675,PRINTING & STATIONERY,V001021078
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,05/07/2016,2000,CAPITAL SALARIES,V001021131
ROCHDALE BOROUGH COUNCIL,07/07/2016,EARLY HELP AND SCHOOLS,ROCHDALE RUGBY UNION FC,07/07/2016,2805,HOSPITALITY,V001021136
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,05/07/2016,2600,CAPITAL SALARIES,V001021142
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,05/07/2016,2340,CAPITAL SALARIES,V001021143
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,05/07/2016,3500,CAPITAL SALARIES,V001021144
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,05/07/2016,3500,CAPITAL SALARIES,V001021153
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,05/07/2016,2280,CAPITAL SALARIES,V001021155
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,05/07/2016,2000,CAPITAL SALARIES,V001021157
ROCHDALE BOROUGH COUNCIL,06/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,NATUREED C I C,06/07/2016,702.75,ACTIVITIES,V001021167
ROCHDALE BOROUGH COUNCIL,14/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,TERBERG MATEC UK LIMITED,14/07/2016,545,SUMMON COSTS,V001021177
ROCHDALE BOROUGH COUNCIL,04/07/2016,ECONOMY DIRECTORATE,VBA JOINT VENTURE LTD,04/07/2016,145143.24,NEW CONSTRUCTION,V001021186
ROCHDALE BOROUGH COUNCIL,05/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ABLE LORRY LOADERS LTD,05/07/2016,2879.25,VEHICLE MAINTENANCE,V001021187
ROCHDALE BOROUGH COUNCIL,01/07/2016,CHILDREN’S SOCIAL CARE,CHRISTINE FOSTER LIMITED,01/07/2016,1775,AGENCY STAFF,V001021189
ROCHDALE BOROUGH COUNCIL,07/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ATI CREMATORS,07/07/2016,29491.48,IMPROVEMENTS-MODERNISATION,V001021190
ROCHDALE BOROUGH COUNCIL,05/07/2016,PUBLIC HEALTH,STOCKPORT NHS FOUNDATION TRUST,05/07/2016,1057.28,PH OTHER CONTRACTS,V001021197
ROCHDALE BOROUGH COUNCIL,20/07/2016,PUBLIC HEALTH,ASSOCIATION OF DIRECTORS OF PUBLIC HEALTH,20/07/2016,2500,PH BIG LIFE CONTRACT,V001021200
ROCHDALE BOROUGH COUNCIL,29/07/2016,ECONOMY DIRECTORATE,BRAHM FUNDCO 1 LTD,29/07/2016,22983.44,PFI SCHEMES RPI,V001021233
ROCHDALE BOROUGH COUNCIL,07/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,07/07/2016,614.88,PRINTING,V001021248
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,08/07/2016,1759.74,"TREES, SHRUBS, PLANTS",V001021275
ROCHDALE BOROUGH COUNCIL,12/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,12/07/2016,-502.62,WATER CHARGES,V001021283
ROCHDALE BOROUGH COUNCIL,12/07/2016,ECONOMY DIRECTORATE,UNITED UTILITIES WATER LIMITED,12/07/2016,565,WATER CHARGES,V001021283
ROCHDALE BOROUGH COUNCIL,12/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,12/07/2016,2248.16,WATER CHARGES,V001021283
ROCHDALE BOROUGH COUNCIL,01/07/2016,PUBLIC HEALTH,CASTLETON HEALTH CENTRE,01/07/2016,1310.36,PH LCS PAYMENTS,V001021288
ROCHDALE BOROUGH COUNCIL,01/07/2016,PUBLIC HEALTH,BOOTS THE CHEMIST,01/07/2016,517.82,PH LCS PAYMENTS,V001021307
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,JGM AGENCY,08/07/2016,630,PRINTING,V001021442
ROCHDALE BOROUGH COUNCIL,01/07/2016,EARLY HELP AND SCHOOLS,BROWNS BOOK FOR STUDENTS,01/07/2016,2310,ACTIVITIES,V001021444
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,05/07/2016,874.02,FOSTER PARENTS BASIC ALLOWANCE,V001021447
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,05/07/2016,721.98,FOSTER PARENTS BASIC ALLOWANCE,V001021450
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,05/07/2016,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001021455
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,05/07/2016,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001021458
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,05/07/2016,730.03,FOSTER PARENTS BASIC ALLOWANCE,V001021461
ROCHDALE BOROUGH COUNCIL,07/07/2016,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,07/07/2016,850,FOSTER PARENTS BASIC ALLOWANCE,V001021468
ROCHDALE BOROUGH COUNCIL,05/07/2016,CHILDREN’S SOCIAL CARE,HEXAGON CARE SERVICES LTD,05/07/2016,2550,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001021471
ROCHDALE BOROUGH COUNCIL,26/07/2016,ECONOMY DIRECTORATE,FIRST GROUP PLC,26/07/2016,798,STUDENT TRAVEL,V001021477
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HF TRUST LTD,01/07/2016,1977.36,INDIVIDUAL SERVICE FUND,V001021491
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,01/07/2016,6957.44,INDIVIDUAL SERVICE FUND,V001021492
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1074.52,PERSONAL BUDGETS - MANAGED,V001021493
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1074.52,PERSONAL BUDGETS - MANAGED,V001021494
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1074.52,PERSONAL BUDGETS - MANAGED,V001021496
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,-1074.52,SUPPORTED LIVING,V001021497
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,-1074.52,SUPPORTED LIVING,V001021498
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1925.24,INDIVIDUAL SERVICE FUND,V001021499
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CAMPHILL M K COMMUNITIES,01/07/2016,1997.52,INDIVIDUAL SERVICE FUND,V001021500
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,01/07/2016,3550.24,INDIVIDUAL SERVICE FUND,V001021501
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,01/07/2016,6488.72,SUPPORTED LIVING,V001021502
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,01/07/2016,3955,INDIVIDUAL SERVICE FUND,V001021503
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,4048.16,INDIVIDUAL SERVICE FUND,V001021504
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,01/07/2016,4797.52,INDIVIDUAL SERVICE FUND,V001021506
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,6889,PERSONAL BUDGETS - MANAGED,V001021507
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,6889,PERSONAL BUDGETS - MANAGED,V001021508
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,6889,PERSONAL BUDGETS - MANAGED,V001021510
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-6889,SUPPORTED LIVING,V001021511
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-6889,SUPPORTED LIVING,V001021512
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,660,INDIVIDUAL SERVICE FUND,V001021513
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,01/07/2016,4398.48,INDIVIDUAL SERVICE FUND,V001021514
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,651.08,INDIVIDUAL SERVICE FUND,V001021517
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,01/07/2016,3341.6,INDIVIDUAL SERVICE FUND,V001021519
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ASPIRATIONS CARE LTD,01/07/2016,4959.36,INDIVIDUAL SERVICE FUND,V001021520
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,-3772.86,INDIVIDUAL SERVICE FUND,V001021521
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,-5560,INDIVIDUAL SERVICE FUND,V001021522
