Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 06/04/2017,COR0279285,750,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/04/2017,COR0279573,799.64,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 06/04/2017,COR0279285,400,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 27/04/2017,COR0279573,400.36,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,303,BLACKO PARISH COUNCIL,A0084321, 27/04/2017,AAS0279758,9000,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,BLUE FOX TECHNOLOGY LIMITED,A0079078, 06/04/2017,DAL0279108,2500,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,BLUE FOX TECHNOLOGY LIMITED,A0079078, 06/04/2017,DAL0279108,500,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,5301,BOB`S BUSINESS LTD,A0090247, 06/04/2017,AAS0279180,2000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 12/04/2017,PCO0279347,11.15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 06/04/2017,PCO0279110,380,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,BRC CONSULTING SERVICES LIMITED,A0091138, 06/04/2017,AAS0279165,1364.21,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,4610,BRIERFIELD TOWN COUNCIL,A0000469, 27/04/2017,DAL0279582,540,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,303,BRIERFIELD TOWN COUNCIL - PRECEPTS ONLY,A0091165, 27/04/2017,AAS0279759,119000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 03/04/2017,AAS0279596,48.58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 12/04/2017,PCO0279348,88,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 12/04/2017,PCO0279348,425,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 12/04/2017,PCO0279348,36,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 27/04/2017,COR0279583,727.65,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 27/04/2017,COR0279663,12072.7,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 27/04/2017,COR0279663,585.77,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BUCHANAN COMPUTING LIMITED,A0065956, 06/04/2017,HED0279126,428,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 27/04/2017,HED0279690,427.77,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 06/04/2017,HED0279127,641.66,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BURNLEY & PENDLE TRAVEL LIMITED,A0091075, 27/04/2017,HED0279690,213.89,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,BURNLEY AND PENDLE ENERGY ASSESSORS LTD,A0077075, 06/04/2017,EST0279273,120,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,BURNLEY BOROUGH COUNCIL,A0044855, 20/04/2017,OPS0279413,3000,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,BURNLEY BOROUGH COUNCIL,A0044855, 27/04/2017,REG0279575,536.67,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BURNLEY BOROUGH COUNCIL,A0044855, 06/04/2017,COR0279143,4572,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,District Audit Fees,7202,CABINET OFFICE,A0091137, 06/04/2017,AAS0279255,2300,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,CALICO HOMES,A0091059, 12/04/2017,HMR0279375,5571.2,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED,A0040400, 06/04/2017,HMR0278889,187.77,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CANON (UK) LIMITED,A0040400, 06/04/2017,ITS0278964,1683,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,CARRADICE OF NELSON LIMITED,A0041549, 12/04/2017,REG0279359,650,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 27/04/2017,HED0279692,379,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 27/04/2017,HED0279692,500,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CB EXCAVATORS LTD,A0000396, 27/04/2017,HED0279691,630,N,N/A,N,N/A
Pendle Borough Council,Information Services,Supplies and Services,Other Expenses,4705,CHESS ICT BURNLEY LIMITED,A0091033, 06/04/2017,ITS0279124,339.56,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 06/04/2017,ITS0279125,34.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,CHIPSIDE LTD,A0068587, 20/04/2017,HED0279465,19.39,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CHRIST CHURCH C OF E PRIMARY SCHOOL,A0063863, 27/04/2017,HED0279688,250,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,CHRISTINE MURRAY,A0090974, 12/04/2017,REG0279435,177.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Support Services,Admin Buildings Expenses,7001,CHUBB FIRE & SECURITY LTD,A0057603, 06/04/2017,OPS0279152,657.53,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Support Services,Admin Buildings Expenses,7001,CHUBB FIRE & SECURITY LTD,A0057603, 06/04/2017,OPS0279153,770,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA,A0000563, 06/04/2017,AAS0279171,3493,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,CIPFA BUSINESS LIMITED,A0001556, 06/04/2017,AAS0279175,570,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,CIPFA BUSINESS LIMITED,A0001556, 06/04/2017,AAS0279177,3510,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,CIPFA BUSINESS LIMITED,A0001556, 06/04/2017,AAS0279178,4785,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,4706,CIPFA BUSINESS LIMITED,A0001556, 06/04/2017,AAS0279176,5275,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,COLNE AMATEUR SWIMMING CLUB,A0090149, 20/04/2017,HED0279507,2250,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,COLNE GALA,A0047272, 20/04/2017,HED0279505,700,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Grant Funding,4737,COLNE OPEN DOOR CENTRE,A0009836, 06/04/2017,HMR0279296,5000,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,COMPTON GROUP,A0007576, 12/04/2017,HMR0279332,1.3,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,5.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,50,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,160,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,320,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,350,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,400,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 06/04/2017,OPS0279249,640,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,cd14,CPC PROP & GARDENING SERV LTD,A0011770, 27/04/2017,HED0279672,160,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,CRAVEN DIGITAL LIMITED,A0091157, 27/04/2017,REG0279670,837,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,CREATIVE TALENT MANAGEMENT LIMITED,A0091161, 27/04/2017,REG0279732,3265,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,CREATIVE TALENT MANAGEMENT LIMITED,A0091161, 27/04/2017,REG0279732,2000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 12/04/2017,AAS4005577,-1200,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 12/04/2017,HMR0279026,1200,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 12/04/2017,HMR0279333,2227.2,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 12/04/2017,HMR0279334,2492.4,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,EFM : Other Equipment,4003,CYCLESCHEME LTD,A0072578, 27/04/2017,EST0279706,375,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,D Y BUILDING SERVICES,A0091159, 27/04/2017,HMR0279712,2290,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,D Y BUILDING SERVICES,A0091159, 27/04/2017,HMR0279713,3830,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,4201,REDACTED - PERSONAL DATA,A0013921, 06/04/2017,ENV0279212,29.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Other Income : Non-VATable,9303,REDACTED - PERSONAL DATA,A0091164, 27/04/2017,AAS0279777,75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,1221,DBS,A0072958, 19/04/2017,AAS0279602,352,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,DBS,A0072958, 19/04/2017,AAS0279602,792,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DEWHURST DECORATING SUPPLIES,A0000879, 12/04/2017,PCO0279337,18.31,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DEWHURST DECORATING SUPPLIES,A0000879, 12/04/2017,PCO0279337,18.31,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Staff Refreshments,1261,DIANES CATERING,A0045900, 27/04/2017,OPS0279674,41.67,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,DIANES CATERING,A0045900, 27/04/2017,OPS0279674,87.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DICK LEIGH,A0001675, 06/04/2017,PCO0279243,1.29,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DICK LEIGH,A0001675, 06/04/2017,PCO0279243,25.14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DICK LEIGH,A0001675, 06/04/2017,PCO0279243,61.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DICK LEIGH,A0001675, 06/04/2017,PCO0279135,93.48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DICK LEIGH,A0001675, 06/04/2017,PCO0279243,146.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,4003,DICK LEIGH,A0001675, 20/04/2017,PCO0279563,581,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,4003,DICK LEIGH,A0001675, 20/04/2017,PCO0279563,1036,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 12/04/2017,AAS4005597,-128.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 12/04/2017,AAS4005597,2.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 12/04/2017,AAS0279427,7.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 12/04/2017,AAS0279428,128.76,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 27/04/2017,EST0279701,54.19,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 27/04/2017,EST0279700,0.19,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON UK PLC,A0044040, 20/04/2017,EST0279527,292.95,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,E.ON UK PLC,A0044040, 27/04/2017,COR0279664,465.6,N,N/A,N,N/A
