Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose Of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,43,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,73.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,116.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,82.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,43.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,51.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,49.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,57.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,51.69,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,67.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,54.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,69.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,07/01/2015,AAS0258371,44.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2702,Service Charge,BARNFIELD INVESTMENT PROPERTIES LTD,A0026595,08/01/2015,AAS0258082,709.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258083,34.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258083,605.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258083,651.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258084,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258084,669,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258086,4.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258086,9.19,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258086,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258087,3.52,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258087,6.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372,08/01/2015,AAS0258087,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2202,Gas,BES COMMERCIAL GAS,A0089852,08/01/2015,AAS0258089,26.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BES COMMERCIAL ELECTRICITY LTD,A0089105,08/01/2015,AAS0258090,24.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2202,Gas,BRITISH GAS BUSINESS,A0057202,08/01/2015,AAS0258091,41.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,19.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,43.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,13.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,11.02,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,11.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9.94,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,20.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,10.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,8204,Lease costs:Computer (Orchard),O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,8204,Lease costs:Computer (Orchard),O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,8204,Lease costs:Computer (Orchard),O2 (UK) LIMITED,A0053660,08/01/2015,AAS0258121,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4706,Subscriptions & Donations,ALARM,A0000081,08/01/2015,AAS0258164,160,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,2203,Electricity,BES COMMERCIAL ELECTRICITY LTD,A0089105,08/01/2015,AAS0258166,27.6,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,ZEN INTERNET,A0056321,08/01/2015,COR0258096,29.78,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,ZEN INTERNET,A0056321,08/01/2015,COR0258097,15.31,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,ZEN INTERNET,A0056321,08/01/2015,COR0258100,15.31,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,ZEN INTERNET,A0056321,08/01/2015,COR0258102,15.31,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211,08/01/2015,COR0258103,123.38,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512,08/01/2015,COR0258105,13.55,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512,08/01/2015,COR0258105,13.55,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,D L JOINERY,A0090152,08/01/2015,COR0258160,197.5,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,THORNE ACCESS AND SECURITY,A0070220,08/01/2015,COR0258161,55,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4305,Newspapers & Periodicals,RUKHSAR KHALIQ - CARR ROAD NEWS,A0000067,08/01/2015,DAL0257970,174.6,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4305,Newspapers & Periodicals,RUKHSAR KHALIQ - CARR ROAD NEWS,A0000067,08/01/2015,DAL0257970,44.1,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,2.02,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,19.68,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,43.87,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,9.31,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,2.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,3.03,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,58.95,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,61.38,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,1.7,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,438.26,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,94.12,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,1.7,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,205.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,17.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,3.79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4601,Seminars etc All Costs,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,27.2,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4704,Publicity & advertisement,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,25.66,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4705,Other Expenses,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,11.27,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4705,Other Expenses,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0257971,14,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,260.38,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,0.7,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,5.33,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,81.04,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,1.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,44.19,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,18.65,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,11.12,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4704,Publicity & advertisement,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0257972,3.01,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4403,Court Fees,Redacted - Personal Data,A0088476,08/01/2015,DAL0257973,280,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4304,Reference Books Acts,HAMMICKS LEGAL INFORMATION SERVICES,A0045271,08/01/2015,DAL0257985,261,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4301,Printing & Stationery,THOMSON REUTERS,A0077400,08/01/2015,DAL0258115,79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4301,Printing & Stationery,THOMSON REUTERS,A0077400,08/01/2015,DAL0258115,79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,82.06,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,6.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,36.52,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,0.33,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,84.12,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,13.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,4.71,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4704,Publicity & advertisement,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258117,4.63,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0258119,-1.85,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0258119,418.2,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0258120,0.24,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,08/01/2015,DAL0258120,0.24,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,13.38,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,11.85,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,10.23,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,0.01,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,25.11,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,3.64,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258122,0.68,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,1261,Staff Refreshments,P T ALLISON,A0064694,08/01/2015,DAL0258123,17.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,1261,Staff Refreshments,P T ALLISON,A0064694,08/01/2015,DAL0258123,9.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4611,Hospitality,P T ALLISON,A0064694,08/01/2015,DAL0258123,17.85,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4705,Other Expenses,P T ALLISON,A0064694,08/01/2015,DAL0258123,5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258125,1.01,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258125,0.34,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258125,2.66,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,08/01/2015,DAL0258125,2.66,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4301,Printing & Stationery,CITRUS OFFICE SOLUTIONS,A0002441,08/01/2015,ENV0258076,4.99,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,2002,Bldgs : R & M : Abnormal,CPC PROP & GARDENING SERV LTD,A0011770,08/01/2015,ENV0258077,115,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,2002,Bldgs : R & M : Abnormal,RODNEY CAPSTICK BUILDING MAINTENANCE,A0085112,08/01/2015,ENV0258081,72,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4409,Tests & Inspection Fees,UNITED UTILITIES WATER PLC,A0072400,08/01/2015,ENV0258085,883.9,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,GEORGE BOOCOCK DECORATORS LTD,A0000427,08/01/2015,EST0258049,436.8,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627,08/01/2015,EST0258050,160,N,N/A,N,N/A
