Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 04/08/2016,PCO0273165,64.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273477,36.23,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273488,3.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273488,7.06,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273486,37.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 18/08/2016,PCO0273486,48.58,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273137,9.33,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273137,11.14,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 11/08/2016,OPS0273240,17.89,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273137,19.14,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273135,21.05,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 18/08/2016,OPS4005089,-66.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS4005086,-49.6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS4005086,-25.98,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 18/08/2016,OPS0273493,13.86,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273136,25.98,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 04/08/2016,OPS0273136,49.6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 18/08/2016,OPS0273493,66.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,40,BARNES JB LIMITED,A0000202, 18/08/2016,OPS0273494,139,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,BARNOLDSWICK CRICKET CLUB,A0045528, 25/08/2016,HED0273560,1000,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,BARNOLDSWICK TOWN FOOTBALL CLUB,A0043870, 18/08/2016,HED0273454,1000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/08/2016,PCO0273200,2.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/08/2016,PCO0273200,3.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/08/2016,PCO0273200,130.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/08/2016,PCO0273200,41.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/08/2016,PCO0273200,2.92,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,BARROWFORD SAFE & LOCK SERV LT,A0000458, 18/08/2016,EST0273511,2.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 11/08/2016,OPS0273346,100.17,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 11/08/2016,OPS0273346,239.21,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BLACKBURN DIOCESAN BOARD OF FINANCE LTD,A0049427, 25/08/2016,COR0273552,100,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,BLACKOAK SURFACING,A0090895, 11/08/2016,REG0273291,2000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOC GASES LTD,A0000386, 18/08/2016,PCO4005091,-18.91,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOC GASES LTD,A0000386, 18/08/2016,PCO0273537,10.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOC GASES LTD,A0000386, 18/08/2016,PCO0273537,62.86,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 04/08/2016,PCO0273140,380,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Daywork,21,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 11/08/2016,PCO0273223,1300,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOWCOM,A0045454, 11/08/2016,PCO0273227,3,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BOWCOM,A0045454, 11/08/2016,PCO0273227,40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BOWLAND ANIMAL EXPERIENCE LTD,A0090878, 11/08/2016,PCO0273100,583.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BROWNS ENGINEERING SERVICES,A0012980, 04/08/2016,PCO0273156,28,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BROWNS ENGINEERING SERVICES,A0012980, 04/08/2016,PCO0273156,120,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BROXAP LIMITED,A0000236, 18/08/2016,PCO0273538,1000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BROXAP LIMITED,A0000236, 18/08/2016,PCO0273538,600,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROXAP LIMITED,A0000236, 18/08/2016,PCO0273538,560,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROXAP LIMITED,A0000236, 18/08/2016,PCO0273538,2561,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BUILDING BRIDGES PENDLE,A0005524, 04/08/2016,COR0273151,5000,Y,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BURNLEY BOROUGH COUNCIL,A0044855, 11/08/2016,COR0273260,12732,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BURNLEY BOROUGH COUNCIL,A0044855, 11/08/2016,COR0273260,5093,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BURNLEY BOROUGH COUNCIL,A0044855, 11/08/2016,COR0273260,5093,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BURNLEY BOROUGH COUNCIL,A0044855, 11/08/2016,COR0273260,12732,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BURNLEY BOROUGH COUNCIL,A0044855, 11/08/2016,COR0273260,2548,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 11/08/2016,PCO0273217,42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 25/08/2016,PCO0273584,250,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 25/08/2016,PCO0273582,380,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 25/08/2016,PCO0273585,480,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 25/08/2016,PCO0273583,250,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,CAMPEY TURF CARE SYSTEMS,A0050717, 04/08/2016,PCO0273149,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,CAMPEY TURF CARE SYSTEMS,A0050717, 04/08/2016,PCO0273149,180,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,CAMPEY TURF CARE SYSTEMS,A0050717, 04/08/2016,PCO0273149,180,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,DAL0273643,45.84,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,DAL0273643,57.3,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,DAL0273643,80.21,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,DAL0273643,22.92,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,DAL0273643,22.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273623,15.88,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273628,53.17,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273623,45.44,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273628,113.42,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273624,71.76,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273627,125.23,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273629,127.69,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273630,246.31,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 25/08/2016,HED0273629,40,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,CATCHPOINT (UK) LTD,A0089500, 18/08/2016,EST0273499,2000,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,CATCHPOINT (UK) LTD,A0089500, 18/08/2016,EST0273501,2490,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,CAVALIER TAXIS,A0000638, 04/08/2016,HED0273184,85,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,CB EXCAVATORS LTD,A0000396, 25/08/2016,HED0273562,3241,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,CB EXCAVATORS LTD,A0000396, 04/08/2016,HMR0273109,1648,N,N/A,N,274.67
