year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2008,LOCAL,Farnley and Wortley Ward,BROADBENT,GLENN,The Conservative Party Candidate,859,5,,17661
2008,LOCAL,Farnley and Wortley Ward,FOSTER,HELEN,British National Party,793,5,,17661
2008,LOCAL,Farnley and Wortley Ward,TAYLOR,MICHAEL FRANCIS,Liberal Democrats,233,5,,17661
2008,LOCAL,Farnley and Wortley Ward,NORMASCHILD,DECLAN,The Alliance for Green Socialism,28,5,,17661
2008,LOCAL,Middleton Park Ward,DRIVER,GEOFF,The Labour and Co-Operative Party Candidate,1960,4,ELECTED,17414
2008,LOCAL,Middleton Park Ward,MEESON,KEVIN,British National Party,1911,4,,17414
2008,LOCAL,Middleton Park Ward,GUNN,ALASTAIR HUNTER,The Conservative Party Candidate,724,4,,17414
2008,LOCAL,Middleton Park Ward,GOLTON,CHRISTINE,Liberal Democrats,517,4,,17414
2008,LOCAL,Pudsey Ward,JAROSZ,JOSIE,The Labour Party Candidate,2530,7,ELECTED,17172
2008,LOCAL,Pudsey Ward,ALDISS,JASON,The Conservative Party Candidate,2220,7,,17172
2008,LOCAL,Pudsey Ward,HIRST,JOHN DARRELL,British National Party,857,7,,17172
2008,LOCAL,Pudsey Ward,HALL,GREGORY JOHN,Liberal Democrats,580,7,,17172
2008,LOCAL,Pudsey Ward,DRACUP,IRENE GLYNIS,Green Party,303,7,,17172
2008,LOCAL,Burmantofts and Richmond Hill Ward,PRYKE,RALPH,Liberal Democrats,1852,26,ELECTED,15163
2008,LOCAL,Burmantofts and Richmond Hill Ward,ADILYPOUR,DANIAL,The Labour Party Candidate,1330,26,,15163
2008,LOCAL,Burmantofts and Richmond Hill Ward,COLLETT,MARK ADRIAN,British National Party,919,26,,15163
2008,LOCAL,Burmantofts and Richmond Hill Ward,ANDERSON,CAROLINE HELEN,The Conservative Party Candidate,241,26,,15163
2008,LOCAL,Burmantofts and Richmond Hill Ward,HOUSE,ALLAN OLIVER,The Alliance for Green Socialism,93,26,,15163
2008,LOCAL,Horsforth Ward,TOWNSLEY,CHRIS,Liberal Democrats,3321,12,ELECTED,17288
2008,LOCAL,Horsforth Ward,HARDCASTLE,RICHARD,The Conservative Party Candidate,2746,12,,17288
2008,LOCAL,Horsforth Ward,GILL,NIGEL,The Labour Party Candidate,563,12,,17288
2008,LOCAL,Horsforth Ward,ASQUITH,IAN,British National Party,339,12,,17288
2008,LOCAL,Horsforth Ward,BINNS,ANDREA KAY,Green Party,272,12,,17288
2008,LOCAL,Weetwood Ward,CHASTNEY,BEN,Liberal Democrats,2436,15,ELECTED,16948
2008,LOCAL,Weetwood Ward,JENNINGS,BRIAN DAVID TIMOTHY,The Conservative Party Candidate,1713,15,,16948
2008,LOCAL,Weetwood Ward,PICKARD,ROSIE,The Labour Party Candidate,952,15,,16948
2008,LOCAL,Weetwood Ward,HEMINGWAY,MARTIN FRANCIS,Green Party,306,15,,16948
2008,LOCAL,Weetwood Ward,KNIGHT,SHARON ANNIE,British National Party,302,15,,16948
2008,LOCAL,Weetwood Ward,BAVAGE,TREVOR ANTHONY JOHN,The Alliance for Green Socialism,109,15,,16948
2008,LOCAL,Weetwood Ward,PROCTER,ALAN LESLIE,Independent,67,15,,16948
2008,LOCAL,Weetwood Ward,HAYIRLIOGLU,ERCAN,Independent,18,15,,16948
2008,LOCAL,Chapel Allerton Ward,TAYLOR,EILEEN,The Labour Party Candidate,2415,22,ELECTED,17367
2008,LOCAL,Chapel Allerton Ward,HUSSEIN,ALTAF,Liberal Democrats,1222,22,,17367
2008,LOCAL,Chapel Allerton Ward,BAKER,SIMON,The Conservative Party Candidate,794,22,,17367
2008,LOCAL,Chapel Allerton Ward,SAMUELS,BEVERLEY MONICA,The Alliance for Green Socialism,496,22,,17367
2008,LOCAL,Chapel Allerton Ward,ELLIOT,MARK JAMES,Green Party,359,22,,17367
2008,LOCAL,Chapel Allerton Ward,WHITAKER,DAVID GRAHAM,British National Party,177,22,,17367
2008,LOCAL,Alwoodley Ward,FELDMAN,RONNIE,The Conservative Party Candidate,4059,22,ELECTED,17611
2008,LOCAL,Alwoodley Ward,MASTERTON,DOUG,The Labour Party Candidate,1390,22,,17611
2008,LOCAL,Alwoodley Ward,CLAY,JOHN,Liberal Democrats,1041,22,,17611
2008,LOCAL,Alwoodley Ward,HENDON,WARREN,UK Independence Party,250,22,,17611
2008,LOCAL,Alwoodley Ward,WHITAKER,CHRISTINE,British National Party,228,22,,17611
2008,LOCAL,Alwoodley Ward,JACKSON,BRIAN,The Alliance for Green Socialism,174,22,,17611
2008,LOCAL,Moortown Ward,HARRIS,MARK DANIEL,Liberal Democrats,2813,23,ELECTED,17260
2008,LOCAL,Moortown Ward,CULLEN,LINDA MICHELE,The Labour Party Candidate,1756,23,,17260
2008,LOCAL,Moortown Ward,SMITH,AMY,The Conservative Party Candidate,1597,23,,17260
2008,LOCAL,Moortown Ward,BROWN,ANTHONY,British National Party,267,23,,17260
2008,LOCAL,Moortown Ward,DAVIES,MICHAEL FRANCIS,The Alliance for Green Socialism,242,23,,17260
2008,LOCAL,Moortown Ward,MILES,JEFF,UK Independence Party,131,23,,17260
2008,LOCAL,Ardsley and Robin Hood Ward,RENSHAW,KAREN,The Labour Party Candidate,1696,14,ELECTED,16071
2008,LOCAL,Ardsley and Robin Hood Ward,BEVERLEY,JOANNA,British National Party,1685,14,,16071
2008,LOCAL,Ardsley and Robin Hood Ward,FLYNN,BILLY,The Conservative Party Candidate,1298,14,,16071
2008,LOCAL,Ardsley and Robin Hood Ward,MCARDLE,STEWART,Independent,420,14,,16071
2008,LOCAL,Ardsley and Robin Hood Ward,MOORE,PHILIP HARRISON,Liberal Democrats,396,14,,16071
2008,LOCAL,Ardsley and Robin Hood Ward,DANIEL,DAVID,UK Independence Party,201,14,,16071
2008,LOCAL,Temple Newsam Ward,HYDE,WILLIAM SCHOFIELD,The Conservative Party Candidate,2386,30,ELECTED,16046
2008,LOCAL,Temple Newsam Ward,COUPAR,JEFF,The Labour Party Candidate,2083,30,,16046
2008,LOCAL,Temple Newsam Ward,HOLLINGS,PETER,British National Party,1560,30,,16046
2008,LOCAL,Temple Newsam Ward,NORMAN,KEITH CECIL,Liberal Democrats,521,30,,16046
2008,LOCAL,Temple Newsam Ward,GALE,DAVID ARTHUR,Independent,487,30,,16046
2008,LOCAL,Rothwell Ward,BRUCE,KAREN,The Labour Party Candidate,1954,10,,15508
2008,LOCAL,Rothwell Ward,ROBINSON,MATHEW JAMES,The Conservative Party Candidate,706,10,,15508
2008,LOCAL,Rothwell Ward,PEEL,ROBERT ANDREW,British National Party,625,10,,15508
2008,LOCAL,Wetherby Ward,WILKINSON,GERALD,The Conservative Party Candidate,4208,12,ELECTED,15450
2008,LOCAL,Wetherby Ward,CASSELL,JOLENE,The Labour Party Candidate,1070,12,,15450
2008,LOCAL,Wetherby Ward,GAGEN,KATE,Liberal Democrats,631,12,,15450
2008,LOCAL,Wetherby Ward,CRAVEN,DAVID GORDON JAMES,British National Party,315,12,,15450
2008,LOCAL,Wetherby Ward,ROBSON,TONY,UK Independence Party,289,12,,15450
2008,LOCAL,Harewood Ward,CASTLE,ANN,The Conservative Party Candidate,4940,20,ELECTED,14722
2008,LOCAL,Harewood Ward,NAGLE,DAVID PATRICK,The Labour Party Candidate,734,20,,14722
2008,LOCAL,Harewood Ward,CHAPMAN,BENJAMIN,Liberal Democrats,426,20,,14722
2008,LOCAL,Harewood Ward,GIBSON,MARTIN DARREN,British National Party,376,20,,14722
2008,LOCAL,Harewood Ward,CAPSTICK,PATRICIA,Green Party,210,20,,14722
2008,LOCAL,Harewood Ward,CHRISTIE,FIONA JEAN,The Alliance for Green Socialism,53,20,,14722
2008,LOCAL,Guiseley and Rawdon Ward,LATTY,GRAHAM,The Conservative Party Candidate,3456,19,ELECTED,16901
