UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Company/ Charity Number,Postcode,Council Directorate
236,Stockport Council,321018-  ,Provision of Framework for Residential & Nursing Care for Older People,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"£25,000,000.00","£100,000,000.00",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"£441,000.00","£1,764,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,72,48,31/03/2018,No,31/03/2018,31/03/2017,,,Star Domiciliary Care ltd,,,SK5 7BB,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,02/04/2014,72,48,01/04/2018,No,31/03/2018,31/03/2017,,,1 care4u T/A My Care Direct,,,,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,03/04/2014,72,48,02/04/2018,No,31/03/2018,31/03/2017,,,Barrie Bookkeeping and Payroll Solutions,,,M19 1NR,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,04/04/2014,72,48,03/04/2018,No,31/03/2018,31/03/2017,,,Enable Ltd,,,SK1 3LG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,05/04/2014,72,48,04/04/2018,No,31/03/2018,31/03/2017,,,Kaleidoscope Brokerage Ltd,,,SK6 7AD,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,06/04/2014,72,48,05/04/2018,No,31/03/2018,31/03/2017,,,KDC (Commercial) Ltd,,,SK4 1AS,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,07/04/2014,72,48,06/04/2018,No,31/03/2018,31/03/2017,,,Michael Russell,,,WA14 2PL,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,08/04/2014,72,48,07/04/2018,No,31/03/2018,31/03/2017,,,Moore Stephens,,,,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,09/04/2014,72,48,08/04/2018,No,31/03/2018,31/03/2017,,,Paypacket,,,Stockport,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,10/04/2014,72,48,09/04/2018,No,31/03/2018,31/03/2017,,,Percy Westhead,,,M22 4US,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,11/04/2014,72,48,10/04/2018,No,31/03/2018,31/03/2017,,,The Rowan Organisation,,,SK6 6AF,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,12/04/2014,72,48,11/04/2018,No,31/03/2018,31/03/2017,,,Abacus Homecare,,,SK4 3GN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,13/04/2014,72,48,12/04/2018,No,31/03/2018,31/03/2017,,,A-Best Nursing & Care,,,M41 9JN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,14/04/2014,72,48,13/04/2018,No,31/03/2018,31/03/2017,,,Apex  Health & Social Care Ltd,,,SK2 6NG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,15/04/2014,72,48,14/04/2018,No,31/03/2018,31/03/2017,,,Assured Care (Stockport) Ltd,,,M20 3JG,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,16/04/2014,72,48,15/04/2018,No,31/03/2018,31/03/2017,,,Bridge Care Services Ltd,,,SK4 2LP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,17/04/2014,72,48,16/04/2018,No,31/03/2018,31/03/2017,,,Care Needs Ltd,,,SK7 5PE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,18/04/2014,72,48,17/04/2018,No,31/03/2018,31/03/2017,,,Absolute Homecare,,,SK14 5HZ,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,19/04/2014,72,48,18/04/2018,No,31/03/2018,31/03/2017,,,Bluebird Homecare,,,M30 9PN,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,20/04/2014,72,48,19/04/2018,No,31/03/2018,31/03/2017,,,Elite HomeCare,,,M16 9HU,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,21/04/2014,72,48,20/04/2018,No,31/03/2018,31/03/2017,,,Equality Homecare Service Ltd,,,SK15 3AJ,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,22/04/2014,72,48,21/04/2018,No,31/03/2018,31/03/2017,,,Forget Me Not,,n/a,SK82EE,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,23/04/2014,72,48,22/04/2018,No,31/03/2018,31/03/2017,,,HG Care Services Ltd,,,SK5 6DA,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,24/04/2014,72,48,23/04/2018,No,31/03/2018,31/03/2017,,,Herbex Nursing & Care,,,SK5 6PP,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,25/04/2014,72,48,24/04/2018,No,31/03/2018,31/03/2017,,,Homecare4u,,,SK1 3NA,Stockport- Services to People
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,26/04/2014,72,48,25/04/2018,No,31/03/2018,31/03/2017,,,The Human Support Group Ltd,,,SK8 1DW,Stockport- Services to People
244,Stockport Council,SOCIAL CARE SERVICES : Adult,Residential care  ,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"£4,023,911.00","£16,095,644.00",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
246,Stockport Council,SOCIAL CARE SERVICES : Adult,Mental Health / Carer Support Coordinator,RFQ,Contract,01/07/2011,36,60,30/06/2014,Yes,30/06/2016,01/07/2015,"£67,000.00","£335,000.00",Rethink,Other,666217915,RG21 7PG,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),OJEU,Contract,01/10/2011,24,60,30/09/2014,Yes,30/09/2016,01/10/2015,"£99,900.00","£499,500.00",MIND,VCSE,5879337,SK1 3NP,Stockport- Services to People
252,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Provision of an Independent Mental Capacity Advocate,OJEU,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,31/03/2016,"£30,000.00","£90,000.00",Advocacy Experience,SME,4406655,WN7 2RJ,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.1,Mini Competition,Contract,14/01/2014,36,48,13/01/2017,No,13/01/2018,14/01/2016,"£1,579,232.00","£6,316,928.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.2,Mini Competition,Contract,17/03/2014,36,48,16/03/2017,No,16/03/2018,16/03/2016,"£68,888.00","£275,552.00",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.3 (Phase 1),Mini Competition,Contract,01/07/2014,36,48,30/06/2017,No,30/06/2018,30/06/2016,"£215,703.00","£862,812.00",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
279,Stockport Council,191600-Facilities & Management Services : Printing : ,"Ballot Papers, Postal Voting Packs and poll cards for Election",RFQ,Contract,02/09/2013,36,36,01/09/2016,No,01/09/2016,02/09/2015,"£137,511.00","£412,533.00",Electoral Reform Services Ltd ,SME,02263092,N8 0NW,Stockport- Corporate & Support Services
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services ,Call Off,Contract,01/04/2014,60,72,31/03/2018,No,31/03/2018,31/03/2018,"£400,000.00","£2,400,000.00",Barclays Bank PLC,Other,01026167,E14 5HP,Stockport- Corporate & Support Services
306,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection,Call Off,Contract,01/11/2012,24,60,31/07/2015,Yes,31/07/2017,01/11/2015,"£50,000.00","£250,000.00",G4S,Other,4992207,RH19 9UN,Stockport- Corporate & Support Services
326,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Client Caseload Information System ,OJEU,Contract,01/04/2013,36,48,31/03/2016,No,31/03/2016,19/01/2015,"£54,228.00","£216,912.00",Careervision,SME,04569557,RM6 45N,Stockport- Corporate & Support Services
345,Stockport Council,"391410-Works - Construction, Repair & Maintenance : Roads : Construction","Major Road Structure, Retaining Walls",OJEU,Contract,01/04/2008,108,120,31/03/2017,No,31/03/2018,31/03/2016,"£471,233.65","£2,356,168.27",DCT Civil engineering,SME,1519634,M2 3EY,Stockport- Services to Place
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU,Contract,01/04/2008,108,120,31/03/2017,No,31/03/2018,31/03/2016,"£2,816,633.89","£28,166,338.86",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance , Retaining Walls ",OJEU,Contract,01/04/2008,108,120,31/03/2017,No,31/03/2018,31/03/2016,"£1,650,651.80","£16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
354,Stockport Council,381500-Vehicle Management : Parts : ,Vehicle Batteries ,RFQ,Contract,01/12/2013,24,24,30/11/2015,No,30/11/2015,02/02/2015,£560.00,"£1,120.00",Griffin Battery Centres ,SME,NONE,BL8 2AB,Stockport- Services to Place
356,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),140L Black Bins,Mini Competition,Framework Agreement,01/02/2014,24,48,31/03/2014,No,31/03/2014,31/01/2015,"£78,760.00","£315,040.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
357,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),180L Blue Bins ,OJEU,Framework Agreement,01/02/2014,24,24,31/03/2014,No,31/03/2014,31/01/2015,"£14,242.50","£28,485.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
358,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),180L Brown Bins ,OJEU,Framework Agreement,01/02/2014,24,24,31/03/2014,No,31/03/2014,31/01/2015,"£23,737.50","£47,475.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
359,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),240L Green Bins,OJEU,Framework Agreement,01/02/2014,24,24,31/03/2014,No,31/03/2014,31/01/2015,"£26,662.50","£53,325.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy",OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£92,523.36","£1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,391413-  ,Carriageway Surfacing ,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£1,048,598.13","£11,534,579.44",Tarmac Limited,Other,7533961,B37 7BQ,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,01/12/2013,24,48,30/11/2015,Yes,30/11/2017,02/02/2015,"£4,200,000.00","£16,800,000.00",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,02/12/2013,24,48,01/12/2015,Yes,30/11/2017,02/02/2015,,, Millbrook,Other,INACTIVE,INACTIVE,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,03/12/2013,24,48,02/12/2015,Yes,30/11/2017,02/02/2015,,,Mountway,Other,1112562, M33 4PZ,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,04/12/2013,24,48,03/12/2015,Yes,30/11/2017,02/02/2015,,,Nottingham Rehab,Other,658390,TW20 8TD,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,05/12/2013,24,48,04/12/2015,Yes,30/11/2017,02/02/2015,,,NYMAS,Other,INACTIVE,INACTIVE,Stockport- Services to Place
374,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,OJEU,Contract,21/12/2012,36,48,20/12/2015,Yes,20/12/2016,02/02/2015,"£66,666.67","£266,666.67",Broxap Ltd / Wybone Ltd ,SME,"broxap - 02583752
Wybone - 00952455","Broxap- ST5 6BD
Wybone - S74 9TF",Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU,Contract,01/10/2014,36,36,30/09/2017,No,30/09/2017,30/09/2016,"£7,030.00","£21,090.00",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£366,666.67","£4,033,333.33",J Cooney Limited,Other,2057769,OL11 4HQ,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£916,666.67","£10,083,333.33",Colas Limited,Other,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations ,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£246,728.97","£2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,01/06/2015,24,24,31/05/2017,No,31/05/2018,19/09/2016,"£64,918.50","£129,837.00",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£123,364.49","£1,357,009.35",Galliford Try Infrastructure Limited.,Other,SC055775,EH12 1LB,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU,Contract,01/04/2008,108,132,31/03/2017,No,31/03/2019,31/03/2018,"£122,222.22","£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2016,No,28/02/2016,30/06/2019,"£19,466.50","£155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU,Contract,01/04/2008,72,72,31/03/2017,No,31/03/2022,31/03/2016,"£427,777.78","£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
420,Stockport Council,241212-Horticultural : Weed Control : ,Weed Control,OJEU,Contract,01/04/2013,24,48,31/03/2017,Yes,31/03/2017,01/10/2016,"£120,000.00","£480,000.00",Assist Managed Services ,SME,4501131,L8 5RN,Stockport- Services to Place
433,Stockport Council,271100-Information Communication Technology : Consumables : ,Computer Consumables ,Tender,Contract,01/05/2013,48,48,27/11/2017,No,27/11/2017,28/11/2016,"£80,463.63","£321,854.51",Supplies Team ,Other,05510758,S9 1XU,Stockport- Corporate & Support Services
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,RFQ,Contract,01/12/2014,36,60,30/11/2017,No,30/11/2017,19/01/2017,"£1,300,000.00","£6,500,000.00",H Jenkinson,Other,00169844,L34 9JR/BL6 4SB,Stockport- Services to Place
441,Stockport Council,181300-Environmental Services : Land Protection : ,Ground Care Equipment ,Tender,Contract,01/04/2015,60,120,31/03/2020,No,31/03/2020,31/03/2019,"£20,000.00","£200,000.00",Balmers GM Ltd,SME,809951,BB11 5PF,Solutions SK
448,Stockport Council,CEMETERY & CREMATORIUM,Coroner Pathology Service ,OJEU,Contract,01/01/2012,24,48,31/12/2014,Yes,31/10/2016,31/12/2013,"£800,000.00","£3,200,000.00",Stockport NHS Foundation Trust ,NHS,n/a,SK2 5HR,Stockport- Corporate & Support Services
452,Stockport Council,271200-Information Communication Technology : Hardware : ,Council Chamber Sound System ,OJEU,Contract,11/03/2013,36,36,25/04/2016,No,25/04/2016,26/01/2015,"£87,037.00","£261,111.00",Nuway Audio Visual,SME,02172616,HU8 8OA,Stockport- Corporate & Support Services
454,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Counselling Services,Tender,Contract,03/11/2014,12,20,31/07/2016,Yes,31/07/2016,01/06/2016,"£65,000.00","£108,333.33",Relate,VCSE,1559314,M16 9EZ,Stockport- Corporate & Support Services
457,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Children's and Young Persons Case Management System (CYP CMS),RFQ,Contract,15/02/2012,60,60,14/02/2017,No,14/02/2017,14/02/2016,"£35,714.00","£178,570.00",Tribal Education Ltd,Other,04163300,BS2 OHQ,Stockport- Corporate & Support Services
477,Stockport Council,SOCIAL CARE SERVICES : Adult,Chapman Barker Inpatient detox substance misuse service,Exemption,Contract,01/04/2014,12,12,31/03/2015,Yes,31/03/2016,01/03/2015,,£0.00,Greater Manchester West Mental Health NHS Foundation Trust,NHS,NHS - National Health Service,M25 3BL,Stockport- Services to People
489,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Food and Healthy Living project. Stockport Refugee Support Group ,RFQ,Contract,01/04/2012,36,48,31/03/2015,Yes,31/03/2016,26/01/2015,"£1,500.00","£6,000.00",Stockport Refugee Support Group ,VCSE,,,Stockport- Services to People
490,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Stockport Contract,OJEU,Contract,01/04/2013,36,36,31/03/2016,Yes,30/09/2016,01/04/2015,"£1,004,667.00","£3,014,001.00",Stockport NHS Foundation Trust ,NHS,n/a,SK2 5HR,Stockport- Services to People
490,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Stockport Contract,OJEU,Contract,02/04/2013,36,36,01/04/2016,Yes,30/09/2016,01/04/2015,,,Pebble Enterprises Ltd,SME,06506546,SK1 3AQ,
494,Stockport Council,SOCIAL CARE SERVICES : Adult,Lesbian and Gay Foundation,RFQ,Contract,01/04/2013,24,24,31/03/2015,,31/10/2015,26/01/2015,"£24,500.00","£49,000.00",Lesbian and Gay Foundation,VCSE,03476576,M1 3HF,Stockport- Services to People
495,Stockport Council,SOCIAL CARE SERVICES : Adult,Life Leisure. Physical Activity Referral in Stockport (PARiS) scheme,Local Services,Contract,01/10/2014,12,24,30/09/2015,No,30/09/2016,30/09/2014,"£144,422.00","£288,844.00",Life Leisure,VCSE,1094247,SK8 7BS,Stockport- Services to People
502,Stockport Council,SOCIAL CARE SERVICES : Adult,Pennine NHS Trust Community Drug Team and Community Alcohol Team. Community based Substance misuse services,OJEU,Contract,01/10/2015,84,84,30/09/2022,No,30/09/2022,26/01/2015,"£233,285.71","£1,633,000.00",Pennine and Lifeline,NHS,NHS - National Health Service,M1 1JF,Stockport- Services to People
503,Stockport Council,SOCIAL CARE SERVICES : Adult,PH enhanced services – GP Health Check,Local Services,Contract,01/10/2013,6,6,31/03/2015,No,31/03/2016,26/01/2015,"£132,000.00","£66,000.00",Various,Various,Various,Various,Stockport- Services to People
507,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – IUCD fitting,Local Services,Contract,01/04/2013,36,12,31/03/2016,Yes,31/03/2017,26/01/2015,"£93,894.00","£93,894.00",Sunrise Medical,NHS,NHS - National Health Service,Various,Stockport- Services to People
508,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – pharmacy EHC,Local Services,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,31/03/2016,"£21,216.00","£63,648.00",Various,Various,Various,Various,Stockport- Services to People
510,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – pharmacy supervised methadone consumption,Local Services,Contract,01/04/2013,12,12,31/03/2014,,31/03/2016,31/03/2013,"£3,000.00","£3,000.00",Various,Various,Various,Various,Stockport- Services to People
511,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) – subdermal implants,Local Services,Contract,01/04/2013,,,31/03/2015,,31/03/2016,26/01/2015,"£37,550.00",£0.00,Various,Various,Various,Various,Stockport- Services to People
522,Stockport Council,320000-  ,Stockport FT School Nursing,OJEU,Contract,01/04/2012,36,60,31/03/2015,Yes,31/03/2017,20/11/2015,"£108,446.00","£542,230.00",Stockport FT ,NHS,NHS - National Health Service,SK2 7JE,Stockport- Services to People
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,30/04/2012,36,36,31/10/2015,No,31/10/2015,02/02/2015,"£480,703.00","£1,442,109.00",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Stockport- Corporate & Support Services
