Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
700272,SWIFT Balmyre Centre,Adults and Communities,Residential & Nursing Care,Scottish Autism,"£94,335.45",01/04/2009,31/03/2017,ITT,N/A
700377,SWIFT Barnet Outreach,Adults and Communities,Housing related support,Notting Hill Housing,"£3,984,190.20",01/05/2010,31/03/2017,ITT,N/A
700102,SWIFT10 Barnet Refugee Service,Adults and Communities,Voluntary sector service for refugees,Barnet Refugee Service,"£66,946.00",01/04/2013,31/03/2017,ITT,N/A
700323,SWIFT Baxendale (Woodside Home),Adults and Communities,Residential & Nursing Care,The Trustees - Woodside Home,"£207,005.35",01/04/2009,31/03/2017,ITT,N/A
700314,SWIFT Baytree Lodge,Adults and Communities,Residential & Nursing Care,Baytree Community Care,"£170,172.98",01/04/2009,31/03/2017,ITT,N/A
700562,SWIFT Beckman Centre,Adults and Communities,Voluntary sector preventative services,Jewish Care,"£61,400.00",01/04/2009,31/03/2017,ITT,N/A
700363,SWIFT Bevetone Road,Adults and Communities,Housing related support,One Housing Group,"£589,079.06",01/11/2010,31/10/2016,ITT,N/A
700270,SWIFT Binnegar Hall,Adults and Communities,Residential & Nursing Care,Purbeck Care Ltd,"£93,173.14",01/04/2009,31/03/2017,ITT,N/A
700280,SWIFT Boxgrove House (Choice Group),Adults and Communities,Residential & Nursing Care,Choice Care Group,"£103,149.78",01/04/2009,31/03/2017,ITT,N/A
700353,SWIFT Bradbury Court,Adults and Communities,Residential & Nursing Care,Livability,"£466,035.12",01/04/2009,31/03/2017,ITT,N/A
700334,SWIFT Brookdale Healthcare Ltd,Adults and Communities,Residential & Nursing Care,Brookdale Healthcare Ltd,"£262,748.79",01/04/2009,31/03/2017,ITT,N/A
700368,SWIFT Bupa Care Homes,Adults and Communities,Residential & Nursing Care,BUPA Care Homes,"£1,478,925.88",01/04/2009,31/03/2017,ITT,N/A
700139,SWIFT Calway house,Adults and Communities,Residential & Nursing Care,Somerset Care Ltd,"£27,030.00",19/10/2012,18/10/2016,ITT,N/A
700076,SWIFT26 Campus Reprovision,Adults and Communities,Supported living framework,Lifeways Community Care Ltd,"£869,000.00",01/04/2013,31/03/2017,ITT,N/A
5000003586,5000003586 Care Homes Lease  (AD),Adults and Communities,,Catalyst Housing Ltd,"£375,000.00",28/03/2013,29/03/2034,ITT,N/A
700405,SWIFT 30 Carers Emergency Plan Service,Adults and Communities,Carers Emergency Plan Service,Barnet homes Ltd Assist,"£25,000.00",23/07/2013,23/06/2016,ITT,N/A
700369,SWIFT Carers Support,Adults and Communities,Voluntary sector preventative services,Barnet Carers Centre,"£1,539,760.00",01/07/2012,31/03/2017,ITT,N/A
700372,SWIFT Caretech ,Adults and Communities,Residential & Nursing Care,Caretech Community Services,"£2,062,128.34",01/04/2009,31/03/2017,ITT,N/A
700367,SWIFT Carlton Court/ Candle Court ,Adults and Communities,Residential & Nursing Care,TLC Group,"£853,708.05",01/04/2009,31/03/2017,ITT,N/A
700159,SWIFT Carmen Lodge,Adults and Communities,Residential & Nursing Care,Carmen Lodge Residential Home,"£32,343.42",01/04/2009,31/03/2017,ITT,N/A
700379,SWIFT Catalyst Residential/Nursing And Day Care,Adults and Communities,Residential & Nursing Care,Catalyst,"£8,563,191.85",01/04/2001,31/03/2026,ITT,N/A
700286,SWIFT Catherine Lodge,Adults and Communities,Residential & Nursing Care,Catherine Lodge Ltd,"£118,535.90",01/04/2009,31/03/2017,ITT,N/A
700180,SWIFT Cedar House Company Ltd,Adults and Communities,Residential & Nursing Care,Cedar House Company Ltd,"£39,214.29",01/04/2009,31/03/2017,ITT,N/A
700289,SWIFT Chatsworth Care (Hollyfield Ho,Adults and Communities,Residential & Nursing Care,Chatsworth Care,"£125,224.29",01/04/2009,31/03/2017,ITT,N/A
700115,SWIFT02 Cherry Lodge Cancer Care,Adults and Communities,Voluntary sector cancer care for ethinic minorities,Cherry Lodge Cancer Care,"£14,086.00",01/04/2013,31/03/2017,ITT,N/A
700183,SWIFT Cheshire Home,Adults and Communities,Residential & Nursing Care,Leonard Cheshire Disability,"£40,608.75",01/04/2009,31/03/2017,ITT,N/A
700269,SWIFT City Of Westminster,Adults and Communities,Residential & Nursing Care,City Of Westminster,"£92,911.71",01/04/2009,31/03/2017,ITT,N/A
700575,SWIFT Clore Manor (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£426,747.07",01/04/2009,31/03/2017,ITT,N/A
700336,SWIFT Clovelly House,Adults and Communities,Residential & Nursing Care,Clovelly House Res. Home Ltd,"£282,730.82",01/04/2009,31/03/2017,ITT,N/A
700105,SWIFT07 CMHA Floating Support,Adults and Communities,voluntary sector,Chinese Mental Health,"£49,361.79",01/04/2013,31/03/2017,ITT,N/A
700321,SWIFT Complete Care Services,Adults and Communities,Residential & Nursing Care,Complete Care Services Ltd,"£196,227.24",01/04/2009,31/03/2017,ITT,N/A
700277,SWIFT Conifer Lodge,Adults and Communities,Residential & Nursing Care,Four Seasons Healthcare,"£101,034.30",01/04/2009,31/03/2017,ITT,N/A
700306,SWIFT Conifers Care Ltd,Adults and Communities,Residential & Nursing Care,Connifers Care Ltd,"£153,114.53",01/04/2009,31/03/2017,ITT,N/A
700303,SWIFT Copper Beech (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£148,633.12",01/04/2009,31/03/2017,ITT,N/A
700267,SWIFT Cotswold,Adults and Communities,Residential & Nursing Care,The Disabilities Trust,"£91,596.73",01/04/2009,31/03/2017,ITT,N/A
700263,SWIFT Courtlands Care Home,Adults and Communities,Residential & Nursing Care,The Gannon Family Partnership,"£89,319.69",01/04/2009,31/03/2017,ITT,N/A
700338,SWIFT Craegmoor ,Adults and Communities,Residential & Nursing Care,Priory Group,"£291,361.93",01/04/2009,31/03/2017,ITT,N/A
700362,"SWIFT Creswick House, Shulas, Lilas House, Mandela House, Treehaven",Adults and Communities,Residential & Nursing Care,Jeesal Residential Care Ltd,"£585,359.00",01/04/2009,31/03/2017,ITT,N/A
5000006170,5000006170 Crime Prevention Products,Adults and Communities,,Solon Security Ltd,"£20,000.00",01/04/2013,31/03/2017,ITT,N/A
700350,SWIFT Dana Care Ltd,Adults and Communities,Residential & Nursing Care,Dana Care Ltd,"£391,161.98",01/04/2009,31/03/2017,ITT,N/A
700123,SWIFT Day Care,Adults and Communities,Day Care,St Marks Day Service,"£26,218.67",09/03/2012,31/03/2017,ITT,N/A
700144,SWIFT Day Care,Adults and Communities,Day Care,Norwood Ravenswood Ltd,"£28,550.61",01/11/2011,31/03/2017,ITT,N/A
700155,SWIFT Day Care,Adults and Communities,Day Care,Oakmere Day Centre (Caretech),"£30,450.68",01/11/2011,31/03/2017,ITT,N/A
700206,SWIFT Day Care,Adults and Communities,Day Care,Sense Day Centre,"£50,539.37",01/11/2011,31/03/2017,ITT,N/A
700219,SWIFT Day Care,Adults and Communities,Day Care,St Josephs Pastoral Centre,"£55,914.30",01/11/2011,31/03/2017,ITT,N/A
700221,SWIFT Day Care,Adults and Communities,Day Care,Delrow House (Camphill),"£56,452.89",09/03/2012,31/03/2017,ITT,N/A
700244,SWIFT Day Care,Adults and Communities,Day Care,The Shaw Trust,"£72,268.68",09/03/2012,31/03/2017,ITT,N/A
700249,SWIFT Day Care,Adults and Communities,Day Care,The Stables,"£76,860.00",01/11/2011,31/03/2017,ITT,N/A
700265,SWIFT Day Care,Adults and Communities,Day Care,Skills Development Centre,"£91,342.10",11/11/2011,31/03/2017,ITT,N/A
700571,SWIFT Day Care,Adults and Communities,Day Care,Kisharon,"£295,026.19",01/11/2011,31/03/2017,ITT,N/A
700376,SWIFT Dimensions Ltd,Adults and Communities,Residential & Nursing Care,Dimensions Ltd,"£3,378,808.38",01/04/2009,31/03/2017,ITT,N/A
700331,SWIFT Disabilities Trust,Adults and Communities,Residential & Nursing Care,The Disabilities Trust,"£234,786.39",01/04/2009,31/03/2017,ITT,N/A
700317,SWIFT Dr French Memorial Home,Adults and Communities,Residential & Nursing Care,Dr French Memorial Home Ltd,"£179,368.27",01/04/2009,31/03/2017,ITT,N/A
700248,SWIFT Drummonds (Scope),Adults and Communities,Residential & Nursing Care,Scope,"£75,192.09",01/04/2009,31/03/2017,ITT,N/A
700140,SWIFT Eastergate Lane Home (Care),Adults and Communities,Residential & Nursing Care,Self Unlimited,"£27,050.54",01/04/2009,31/03/2017,ITT,N/A
700177,SWIFT Edenbridge - Ide Hill (Care),Adults and Communities,Residential & Nursing Care,Self Unlimited,"£38,983.18",01/04/2009,31/03/2017,ITT,N/A
5000005276,5000005276 Elec Leaving Care Team Woodhouse Rd(AD),Adults and Communities,Electricity supply for a resident,EDF Energy,"£13,000.00",13/06/2013,31/03/2017,ITT,N/A
700358,SWIFT Elenor Palmer Trust,Adults and Communities,Residential & Nursing Care,Eleanor Palmer Trust,"£509,945.96",01/04/2009,31/03/2017,ITT,N/A
700163,SWIFT Elizabeth House,Adults and Communities,Residential & Nursing Care,Elizabeth House,"£34,508.57",01/04/2009,31/03/2017,ITT,N/A
700365,SWIFT Elm Park Lodge(M L Homes Ltd),Adults and Communities,Residential & Nursing Care,ML Homes Ltd,"£630,944.79",01/04/2009,31/03/2017,ITT,N/A
700375,SWIFT Enablement,Adults and Communities,Enablement,Housing 21,"£3,369,600.00",04/09/2010,03/09/2016,ITT,N/A
700354,SWIFT Extended Hours Scheme/Housing Support Service,Adults and Communities,Housing related support,One Housing Group,"£473,867.61",01/04/2011,30/04/2016,ITT,N/A
700190,SWIFT Fairburn House,Adults and Communities,Residential & Nursing Care,Fairburn House Ltd,"£45,026.89",01/04/2009,31/03/2017,ITT,N/A
700352,SWIFT Fernbank ,Adults and Communities,Residential & Nursing Care,Fernbank Nursing Home.,"£449,670.50",01/04/2009,31/03/2017,ITT,N/A
700092,SWIFT21 Floating Support Scheme/Supported Housing (Barnet Mencap),Adults and Communities,Supported living framework,Barnet Mencap,"£239,310.68",01/04/2013,31/03/2017,ITT,N/A
700366,SWIFT Forest Healthcare,Adults and Communities,Residential & Nursing Care,Forest Healthcare,"£763,849.66",01/04/2009,31/03/2017,ITT,N/A
700308,SWIFT Glebelands,Adults and Communities,Residential & Nursing Care,Liaise Loddon Limited,"£156,000.00",16/05/2012,31/03/2017,ITT,N/A
700201,SWIFT Gloucestershire Group Home,Adults and Communities,Residential & Nursing Care,Gloucestershire Group Homes,"£49,459.15",01/04/2009,31/03/2017,ITT,N/A
700288,SWIFT Goodwin Court,Adults and Communities,Housing related support,Sanctuary Housing Association,"£124,047.86",01/04/2011,31/03/2017,ITT,N/A
700355,SWIFT Goodwin Court,Adults and Communities,Extra Care,Sanctuary Housing Association,"£481,365.16",01/06/2008,31/05/2018,ITT,N/A
700162,SWIFT Goodwins Hall Home (Hallmark),Adults and Communities,Residential & Nursing Care,Hallmark Healthcare Limited,"£34,124.27",01/04/2009,31/03/2017,ITT,N/A
700032,700032I GPS Tags,Adults and Communities,,Care Where Ltd,"£49,992.00",14/04/2014,15/04/2016,SLA,N/A
700150,SWIFT Hampton House (Scope),Adults and Communities,Residential & Nursing Care,Scope,"£29,437.90",01/04/2009,31/03/2017,ITT,N/A
700227,SWIFT Hapstead Village-Camphill,Adults and Communities,Residential & Nursing Care,Camphill Trust,"£58,926.00",01/04/2009,31/03/2017,ITT,N/A
700282,SWIFT Havard & Henderson(Scope),Adults and Communities,Residential & Nursing Care,Scope,"£110,329.13",01/04/2009,31/03/2017,ITT,N/A
700171,SWIFT HC-One Ltd,Adults and Communities,Residential & Nursing Care,HC-One Ltd,"£38,000.00",01/04/2009,31/03/2017,ITT,N/A
5000005663,5000005663 Healthwatch Barnet,Adults and Communities,,Community Barnet,"£592,083.00",01/04/2013,31/03/2017,ITT,N/A
700339,SWIFT Henry Nihill House,Adults and Communities,Residential & Nursing Care,The Convent Of St Marys,"£311,479.59",01/04/2009,31/03/2017,ITT,N/A
700564,SWIFT HFT,Adults and Communities,Residential & Nursing Care,HFT,"£139,761.81",01/04/2009,31/03/2017,ITT,N/A
700167,SWIFT High Gable House,Adults and Communities,Residential & Nursing Care,High Gable House,"£36,600.00",01/04/2009,31/03/2017,ITT,N/A
700316,SWIFT Hill Green Care,Adults and Communities,Residential & Nursing Care,Hill Green Care,"£179,151.77",01/04/2009,31/03/2017,ITT,N/A
700182,SWIFT Hillside Avenue,Adults and Communities,Supported Living,Consensa Care Ltd,"£40,508.00",30/08/2012,29/08/2016,ITT,N/A
700215,SWIFT Hillview Court Care Home,Adults and Communities,Residential & Nursing Care,Caring Homes Group,"£54,900.00",01/04/2009,31/03/2017,ITT,N/A
700229,SWIFT Hilton Care Home,Adults and Communities,Residential & Nursing Care,HCS (Enfield) Formerly Hilton Care Service,"£62,242.48",01/04/2009,31/03/2017,ITT,N/A
700318,SWIFT Hilton Lodge,Adults and Communities,Residential & Nursing Care,Hilton Lodge Ltd,"£190,367.70",01/04/2009,31/03/2017,ITT,N/A
700380,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,Personnel & Care Bank,"£12,000,001.00",07/11/2011,06/11/2016,ITT,N/A
700381,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,London Care,"£12,000,002.00",07/11/2011,06/11/2016,ITT,N/A
700382,SWIFT Home And Community Support,Adults and Communities,Home and Community Support,Enara,"£12,000,003.00",07/11/2010,06/11/2016,ITT,N/A
700304,SWIFT Home care,Adults and Communities,Home care,Individualised care,"£152,276.00",18/09/2012,31/03/2017,ITT,N/A
700117,SWIFT Homecare,Adults and Communities,Homecare,Plan Care Ltd,"£10,250.24",03/07/2012,06/11/2016,ITT,N/A
700118,SWIFT Homecare,Adults and Communities,Homecare,Marego Ltd,"£11,046.00",12/12/2011,06/11/2016,ITT,N/A
700138,SWIFT Homecare,Adults and Communities,Homecare,Gentle Hands Care Agency,"£26,883.63",01/11/2011,31/03/2017,ITT,N/A
700151,SWIFT Homecare,Adults and Communities,Homecare,Somali Carers Project,"£29,464.57",07/11/2011,31/03/2017,ITT,N/A
700160,SWIFT Homecare,Adults and Communities,Homecare,Hartwig Care Ltd,"£32,850.59",01/11/2011,07/11/2016,ITT,N/A
700241,SWIFT Homecare,Adults and Communities,Homecare,Barnet Mencap,"£70,958.51",01/11/2011,31/03/2017,ITT,N/A
700253,SWIFT Homecare,Adults and Communities,Homecare,The Extra Mile Care Company,"£78,798.79",09/03/2012,06/11/2016,ITT,N/A
700284,SWIFT Homecare,Adults and Communities,Homecare,Dimensions Ltd,"£114,806.00",01/11/2011,31/03/2017,ITT,N/A
700216,SWIFT House Martins,Adults and Communities,Residential & Nursing Care,House Martins Care Ltd,"£54,929.28",01/04/2009,31/03/2017,ITT,N/A
700332,SWIFT Hugh Middleton House,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£238,766.90",01/04/2009,31/03/2017,ITT,N/A
700250,SWIFT Insight,Adults and Communities,Residential & Nursing Care,Insight,"£77,697.62",01/04/2009,31/03/2017,ITT,N/A
700189,SWIFT Ivers,Adults and Communities,Residential & Nursing Care,ACH London Ltd,"£44,842.84",01/04/2009,31/03/2017,ITT,N/A
700165,SWIFT Jemini Response Ltd,Adults and Communities,Residential & Nursing Care,Jemini Response Ltd,"£35,096.79",01/04/2009,31/03/2017,ITT,N/A
700240,SWIFT Kingsdowne Residential Home,Adults and Communities,Residential & Nursing Care,The Kingsdowne Society,"£70,529.77",01/04/2009,31/03/2017,ITT,N/A
5000006137,5000006137 Koru Medical,Adults and Communities,,Koru Medical Ltd,"£24,500.00",13/11/2013,12/11/2017,ITT,N/A
700578,SWIFT Lady Sarah Cohen (Jewish Care),Adults and Communities,Residential & Nursing Care,Jewish Care,"£570,952.27",01/04/2009,31/03/2017,ITT,N/A
700233,SWIFT Lancaster Court,Adults and Communities,Residential & Nursing Care,Runwood Homes Plc,"£63,287.67",01/04/2009,31/03/2017,ITT,N/A
700238,SWIFT Laura House,Adults and Communities,Residential & Nursing Care,Robert Owen Communities,"£69,801.43",01/04/2009,31/03/2017,ITT,N/A
700246,SWIFT Laurel House,Adults and Communities,Residential & Nursing Care,North London Care Services Ltd,"£73,918.41",01/04/2009,31/03/2017,ITT,N/A
700371,SWIFT Learning Disability Campus relocation,Adults and Communities,Section 75,Barnet Primary Care Trust,"£1,709,087.00",01/04/2010,31/03/2017,ITT,N/A
5000000040,5000000040 Leisure Partnership,Adults and Communities,Provision of leisure services in the borough - Service Contract,Greenwich Leisure Limited (GLL),"£15,000,000.00",01/01/2003,31/12/2017,ITT,N/A
700166,SWIFT Lennox,Adults and Communities,Residential & Nursing Care,Care Uk Community Partnership Ltd,"£36,400.00",04/02/2013,31/03/2017,ITT,N/A
700561,SWIFT Leonard Sainer Day Centre,Adults and Communities,Day Care,Jewish Care,"£53,904.48",07/11/2011,31/03/2017,ITT,N/A
5000006135,5000006135 LMS (Bolton) Ltd,Adults and Communities,,LMS (Bolton) Ltd,"£24,500.00",13/11/2013,12/11/2017,ITT,N/A
700204,SWIFT Long Furrows,Adults and Communities,Residential & Nursing Care,Long Furrows Care Group,"£50,083.96",01/04/2009,31/03/2017,ITT,N/A
700325,SWIFT Macintyre,Adults and Communities,Residential & Nursing Care,Macintyre Care,"£219,742.74",01/04/2009,31/03/2017,ITT,N/A
700320,SWIFT Magnolia Court,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£193,647.21",01/04/2009,31/03/2017,ITT,N/A
700344,SWIFT Manor House (Sense),Adults and Communities,Residential & Nursing Care,Sense Day Centre,"£332,695.04",01/04/2009,31/03/2017,ITT,N/A
700168,SWIFT MCCH,Adults and Communities,Residential & Nursing Care,Mcch Society Ltd,"£36,739.08",01/04/2009,31/03/2017,ITT,N/A
700169,SWIFT Meadowbank Trust,Adults and Communities,Residential & Nursing Care,Novalist Trust Ltd,"£37,774.86",01/04/2009,31/03/2017,ITT,N/A
700359,SWIFT Meals At Home,Adults and Communities,Meals services,Sodexo,"£548,435.01",01/04/2011,31/03/2017,ITT,N/A
700347,SWIFT Meera House,Adults and Communities,Residential & Nursing Care,Meera Nursing Home Ltd,"£344,344.50",01/04/2009,31/03/2017,ITT,N/A
5000005337,5000005337 Mental Health Assessments,Adults and Communities,,Ashpri Ltd,"£15,000.00",11/06/2013,31/03/2017,ITT,N/A
5000002454,5000002454 Mental Health Assessments,Adults and Communities,,Dt Patrick Purcell,"£15,000.00",01/04/2012,31/03/2017,ITT,N/A
700373,SWIFT Mental health day opportunities,Adults and Communities,Voluntary sector preventative services,Richmond Fellowship,"£2,650,000.00",14/01/2013,13/01/2018,ITT,N/A
700247,SWIFT Middlefield Manor (Nas),Adults and Communities,Residential & Nursing Care,National Autistic Society,"£74,541.13",01/04/2009,31/03/2017,ITT,N/A
700364,"SWIFT Milbury Care, The Lodge & The Cedars",Adults and Communities,Residential & Nursing Care,Voyage 1 Ltd,"£591,938.08",01/04/2009,31/03/2017,ITT,N/A
5000006165,5000006165 MOPAC Safer Homes,Adults and Communities,,Capital Locksmiths,"£120,000.00",01/04/2013,30/06/2017,ITT,N/A
700307,SWIFT Mowbray House,Adults and Communities,Residential & Nursing Care,Young Foundations,"£154,242.86",01/04/2009,31/03/2017,ITT,N/A
5000005704,5000005704 National Pen Promption Prod,Adults and Communities,,National Pen Ltd,"£15,000.00",20/06/2013,31/03/2017,ITT,N/A
700322,SWIFT National Society For Epilepsy,Adults and Communities,Residential & Nursing Care,Epilepsy Society,"£204,332.57",01/04/2009,31/03/2017,ITT,N/A
700074,SWIFT28 Neighbourhood services,Adults and Communities,umbrella agreement for neighbourhood services,Age UK Barnet,"£1,650,000.00",01/04/2013,31/03/2017,ITT,N/A
700326,SWIFT New Century Care,Adults and Communities,Residential & Nursing Care,New Century Care Ltd,"£223,754.97",01/04/2009,31/03/2017,ITT,N/A
5000006152,5000006152 Next business to business,Adults and Communities,,Next Business to Business,"£10,000.00",02/10/2013,02/10/2016,ITT,N/A
700210,SWIFT Nightingale House,Adults and Communities,Residential & Nursing Care,Nightingale House (Care Home) Ltd,"£52,831.67",01/04/2009,31/03/2017,ITT,N/A
700335,SWIFT Norwood 1 Woodcock Dell Avenue,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£268,727.66",01/04/2009,31/03/2017,ITT,N/A
700208,SWIFT Norwood,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£51,940.11",01/04/2009,31/03/2017,ITT,N/A
700260,SWIFT Norwood,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£85,721.91",01/04/2009,31/03/2017,ITT,N/A
700333,SWIFT Norwood,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£260,172.67",01/04/2009,31/03/2017,ITT,N/A
700276,SWIFT Norwood ,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£99,199.59",01/04/2009,31/03/2017,ITT,N/A
700361,SWIFT Norwood Pamela Barnett Centre,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£582,759.84",01/04/2009,31/03/2017,ITT,N/A
700232,SWIFT Norwood Stanmore Cottages,Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£63,102.06",01/04/2009,31/03/2017,ITT,N/A
700173,SWIFT Oakfield,Adults and Communities,Residential & Nursing Care,Oakfield (Easton Maudit) Ltd,"£38,574.31",01/04/2009,31/03/2017,ITT,N/A
700252,SWIFT Oakhouse Residential,Adults and Communities,Residential & Nursing Care,Oakhouse Residential Care Service Ltd,"£78,749.61",01/04/2009,31/03/2017,ITT,N/A
700315,SWIFT Old Church Lane (Ravenswood),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£174,400.05",01/04/2009,31/03/2017,ITT,N/A
700296,SWIFT Orchard (Ravenswood Village),Adults and Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£136,384.67",01/04/2009,31/03/2017,ITT,N/A
700328,SWIFT Orchard Manor Transition Serv,Adults and Communities,Residential & Nursing Care,Scope,"£229,757.55",01/04/2009,31/03/2017,ITT,N/A
700097,SWIFT15 Outreach housing support service,Adults and Communities,Supported living framework,One Housing Group,"£138,169.00",01/04/2013,30/04/2016,ITT,N/A
700222,SWIFT Oxenden House Care Home,Adults and Communities,Residential & Nursing Care,Oxenden House Care Home Ltd,"£56,770.78",01/04/2009,31/03/2017,ITT,N/A
700186,SWIFT Paradise House (Housing Assoc),Adults and Communities,Residential & Nursing Care,Novalist Trust Ltd,"£41,494.99",01/04/2009,31/03/2017,ITT,N/A
700146,SWIFT Park View,Adults and Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£28,751.91",01/04/2009,31/03/2017,ITT,N/A
700357,SWIFT Peer Support Brokerage Service,Adults and Communities,Voluntary sector preventative services,Barnet Centre For Independent Living,"£505,546.00",01/03/2011,31/03/2017,ITT,N/A
