ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"£5,599.94",RESIDENTIAL LONG TERM,V001190327
ROCHDALE BOROUGH COUNCIL,08/12/2017,LEARNING DIS & MENTAL HEALTH,ST MARKS CARE CENTRE,08/12/2017,"£2,376.00",NURSING LONG TERM,V001190490
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,142.86",RESIDENTIAL LONG TERM,V001190588
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190589
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190590
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190591
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190592
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190593
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190594
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190595
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190596
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190597
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190598
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190599
ROCHDALE BOROUGH COUNCIL,22/12/2017,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,22/12/2017,"-£1,600.00",RESIDENTIAL LONG TERM,V001190600
ROCHDALE BOROUGH COUNCIL,08/12/2017,PHYSICAL DIS & OLDER PEOPLE,ST MARKS CARE CENTRE,08/12/2017,"-£2,114.60",NURSING LONG TERM,V001190626
ROCHDALE BOROUGH COUNCIL,08/12/2017,LEARNING DIS & MENTAL HEALTH,ST MARKS CARE CENTRE,08/12/2017,"-£2,414.29",RESIDENTIAL LONG TERM,V001190788
ROCHDALE BOROUGH COUNCIL,05/12/2017,CHILDREN’S SOCIAL CARE,DEPAUL UK,05/12/2017,"£25,508.57",YOUNG PEOPLES RENTS,V001191021
ROCHDALE BOROUGH COUNCIL,06/12/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,06/12/2017,"£14,187.61",CONSULTANT FEES,V001191053
ROCHDALE BOROUGH COUNCIL,06/12/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,06/12/2017,"£16,979.40",CONSULTANT FEES,V001191054
ROCHDALE BOROUGH COUNCIL,06/12/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,06/12/2017,"£33,319.84",ROADWORKS,V001191055
ROCHDALE BOROUGH COUNCIL,19/12/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,19/12/2017,"£1,082.02",TELEPHONE EXPENDITURE,V001191087
ROCHDALE BOROUGH COUNCIL,14/12/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,14/12/2017,"£1,835.95",TELEPHONE EXPENDITURE,V001191089
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROYAL MAIL GROUP PLC,01/12/2017,£787.00,PRINTING & STATIONERY,V001191276
ROCHDALE BOROUGH COUNCIL,08/12/2017,RESOURCES,MANCHESTER CITY COUNCIL,08/12/2017,"£187,116.26",PROFESSIONAL FEES,V001191317
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,GO PLANT LIMITED,12/12/2017,"£2,310.00",TRANSACTIONS-EXPENDITURE,V001191321
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,NPOWER LIMITED,01/12/2017,"£110,748.95",ENERGY COSTS,V001191334
ROCHDALE BOROUGH COUNCIL,07/12/2017,PUBLIC HEALTH,BOLTON NHS FOUNDATION TRUST,07/12/2017,"£1,266.00",PH OTHER CONTRACTS,V001191338
ROCHDALE BOROUGH COUNCIL,06/12/2017,CHILDREN’S SOCIAL CARE,CCS ADOPTION,06/12/2017,"£3,583.00",ADOPTION PAYMENTS,V001191358
ROCHDALE BOROUGH COUNCIL,14/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,14/12/2017,"£2,084.25","TREES, SHRUBS, PLANTS",V001191554
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,345.12",OTHER LA`S - SEN PROVISION,V001191596
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,122.42",OTHER LA`S - SEN PROVISION,V001191598
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,01/12/2017,"£4,753.66",OTHER LA`S - SEN PROVISION,V001191606
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,08/12/2017,"£11,014.66",OTHER LA`S - SEN PROVISION,V001191607
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,197.33",OTHER LA`S - SEN PROVISION,V001191608
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£10,977.67",OTHER LA`S - SEN PROVISION,V001191609
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,533.33",OTHER LA`S - SEN PROVISION,V001191610
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,197.33",OTHER LA`S - SEN PROVISION,V001191611
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£10,237.66",OTHER LA`S - SEN PROVISION,V001191687
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,345.12",OTHER LA`S - SEN PROVISION,V001191688
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,122.42",OTHER LA`S - SEN PROVISION,V001191691
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,01/12/2017,"£11,122.42",OTHER LA`S - SEN PROVISION,V001191693
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,NORTH RIDGE HIGH SCHOOL,01/12/2017,"£5,660.66",OTHER EST - SEN PROVISION,V001191750
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MWUK LTD,05/12/2017,£623.40,EQUIPMENT - GENERAL,V001191791
ROCHDALE BOROUGH COUNCIL,08/12/2017,PUBLIC HEALTH,LINK4LIFE CHARITY,08/12/2017,"£1,956.00",EXPENSES - GENERAL,V001191917
ROCHDALE BOROUGH COUNCIL,08/12/2017,PUBLIC HEALTH,LINK4LIFE CHARITY,08/12/2017,"£15,000.00",PH OTHER CONTRACTS,V001191918
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,£768.80,CENTRAL HEATING,V001192064
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,£649.20,CENTRAL HEATING,V001192065
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE AND DISTRICT CITIZENS ADVICE BUREAU,01/12/2017,"£28,333.33",CITIZENS ADVICE BUREAU,V001192481
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,THE PENNINE ACUTE HOSPITALS NHS TRUST,01/12/2017,"£10,288.91",PH PENNINE ACUTE CONTRACT,V001192482
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,SAFEGARD SECURITY SOLUTIONS,01/12/2017,"£14,250.00",SECURITY,V001192483
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,LINK4LIFE CHARITY,01/12/2017,"£225,708.00",LINK 4 LIFE CONTRACT,V001192485
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,PENNINE CARE NHS,01/12/2017,"£150,000.00",CONTRACTED SERVICES,V001192486
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,PENNINE CARE NHS,01/12/2017,"£89,842.00",PH PENNINE CARE CONTRACT,V001192487
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/12/2017,£750.00,SUPPLIES AND SERVICES PROVISION,V001192488
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/12/2017,"£50,651.67",CONTRACTS,V001192489
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/12/2017,"£1,250.00",ACTIVITIES,V001192491
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/12/2017,"£3,320.83",ACTIVITIES,V001192492
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,LINK4LIFE TRADING,01/12/2017,"£6,383.00",LINK 4 LIFE CONTRACT,V001192495
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,VIRGIN CARE SERVICES LIMITED,01/12/2017,"£262,878.00",VIRGIN CARE,V001192496
ROCHDALE BOROUGH COUNCIL,01/12/2017,PUBLIC HEALTH,BIG LIFE CENTRES,01/12/2017,"£120,990.00",PH BIG LIFE CONTRACT,V001192497
ROCHDALE BOROUGH COUNCIL,07/12/2017,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,07/12/2017,"£43,000.00",ADOPTION PAYMENTS,V001193757
ROCHDALE BOROUGH COUNCIL,07/12/2017,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,07/12/2017,£750.00,ADOPTION PAYMENTS,V001193758
ROCHDALE BOROUGH COUNCIL,14/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,14/12/2017,"£14,196.75",COMMUNICATION AND COMPUTING - GENERAL,V001193771
ROCHDALE BOROUGH COUNCIL,14/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,14/12/2017,"£3,570.00",COMMUNICATION AND COMPUTING - GENERAL,V001193775
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,"£2,630.00",CENTRAL HEATING,V001193780
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,£770.00,CENTRAL HEATING,V001193780
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,"£1,300.00",CENTRAL HEATING,V001193781
ROCHDALE BOROUGH COUNCIL,01/12/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,01/12/2017,£840.00,CENTRAL HEATING,V001193781
ROCHDALE BOROUGH COUNCIL,08/12/2017,PUBLIC HEALTH,LINK4LIFE CHARITY,08/12/2017,"£15,000.00",PH OTHER CONTRACTS,V001193800
ROCHDALE BOROUGH COUNCIL,08/12/2017,RESOURCES,ROYAL MAIL GROUP PLC,08/12/2017,"£1,373.32",POSTAGE,V001194296
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,08/12/2017,"£4,376.75",HEALTH AUTH - SERVICE LEVEL AGREEMENT,V001194313
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,08/12/2017,£720.75,TEACHERS - BASIC,V001194314
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,08/12/2017,"£2,978.00",TEACHERS - BASIC,V001194315
ROCHDALE BOROUGH COUNCIL,13/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,13/12/2017,£565.95,EQUIPMENT - GENERAL,V001194317
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,08/12/2017,£907.50,ACTIVITIES,V001194389
ROCHDALE BOROUGH COUNCIL,08/12/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,08/12/2017,"£5,868.75",ACTIVITIES,V001194390
ROCHDALE BOROUGH COUNCIL,07/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,07/12/2017,£644.15,PURCHASE OF ICT HARDWARE,V001194402
ROCHDALE BOROUGH COUNCIL,13/12/2017,ECONOMY DIRECTORATE,H2O FLOWTECH LTD,13/12/2017,£697.74,REPAIRS & ALTS OF BUILDINGS,V001194403
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,STEPHEN BURKE,01/12/2017,"£1,750.00",EQUIPMENT - GENERAL,V001194432
ROCHDALE BOROUGH COUNCIL,07/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,07/12/2017,"£21,255.00",PURCHASE OF ICT HARDWARE,V001194561
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,REXEL UK LIMITED,12/12/2017,£528.90,"CLOTHES, UNIFORM AND LAUNDRY",V001194643
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,£590.00,ROAD SAFETY,V001194666
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,£610.00,ROAD SAFETY,V001194667
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,£670.00,ROAD SAFETY,V001194668
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,£610.00,ROAD SAFETY,V001194669
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,£730.00,ROAD SAFETY,V001194670
ROCHDALE BOROUGH COUNCIL,01/12/2017,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,01/12/2017,"£1,030.00",ROAD SAFETY,V001194673
ROCHDALE BOROUGH COUNCIL,15/12/2017,RESOURCES,ROSSENDALES,15/12/2017,£539.08,INPUT VAT -  ADJUSTMENTS,V001194735
ROCHDALE BOROUGH COUNCIL,05/12/2017,EARLY HELP AND SCHOOLS,JACKSON JACKSON AND SONS LTD,05/12/2017,"£53,153.55",MINOR BUILDING WORKS,V001194769
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,BACK CARE SOLUTIONS LIMITED,12/12/2017,£784.00,CONTACT CENTRE/SWITCHBOARD,V001194803
ROCHDALE BOROUGH COUNCIL,01/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,STYLE MAGAZINE,01/12/2017,£500.00,ADVERTISING,V001194830
ROCHDALE BOROUGH COUNCIL,04/12/2017,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,04/12/2017,£962.49,ACTIVITIES,V001194839
ROCHDALE BOROUGH COUNCIL,04/12/2017,EARLY HELP AND SCHOOLS,LINK4LIFE CHARITY,04/12/2017,"£6,124.56",ACTIVITIES,V001194841
ROCHDALE BOROUGH COUNCIL,04/12/2017,EARLY HELP AND SCHOOLS,BARNARDOS,04/12/2017,"£10,513.74",ACTIVITIES,V001194843
ROCHDALE BOROUGH COUNCIL,04/12/2017,EARLY HELP AND SCHOOLS,RAINBOW SCENT,04/12/2017,"£1,512.39",ACTIVITIES,V001194844
ROCHDALE BOROUGH COUNCIL,22/12/2017,EARLY HELP AND SCHOOLS,S T HEATINGS SERVICES LTD,22/12/2017,"£2,929.20",CENTRAL HEATING,V001194847
ROCHDALE BOROUGH COUNCIL,22/12/2017,EARLY HELP AND SCHOOLS,S T HEATINGS SERVICES LTD,22/12/2017,£840.00,CENTRAL HEATING,V001194847
ROCHDALE BOROUGH COUNCIL,07/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,07/12/2017,"£1,800.00",AGENCY STAFF,V001194895
ROCHDALE BOROUGH COUNCIL,04/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,04/12/2017,"£2,651.28",SOFTWARE,V001194896
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,05/12/2017,"£14,309.65",SOFTWARE,V001194897
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,05/12/2017,"£1,901.28",SOFTWARE,V001194897
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,05/12/2017,"£1,103.86",SOFTWARE,V001194897
ROCHDALE BOROUGH COUNCIL,12/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,12/12/2017,"£2,783.06",SOFTWARE,V001194898
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,IMOSPHERE LIMITED,01/12/2017,"£25,075.00",ACTIVITIES,V001194928
ROCHDALE BOROUGH COUNCIL,08/12/2017,LEARNING DIS & MENTAL HEALTH,ST MARKS CARE CENTRE,08/12/2017,"£2,376.00",NURSING LONG TERM,V001195982
ROCHDALE BOROUGH COUNCIL,14/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,BELLYFLOP TV LTD,14/12/2017,"£1,460.00",PUBLICITY,V001196652
ROCHDALE BOROUGH COUNCIL,05/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,TFG STAGE TECHNOLOGY LTD,05/12/2017,"£2,000.00",EVENTS,V001197525
ROCHDALE BOROUGH COUNCIL,07/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,07/12/2017,"£1,875.00",AGENCY STAFF,V001197527
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,"£1,243.50",TRANSACTIONS-EXPENDITURE,V001197529
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,"£6,025.93",TRANSACTIONS-EXPENDITURE,V001197530
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,£524.81,TRANSACTIONS-EXPENDITURE,V001197531
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,£772.34,TRANSACTIONS-EXPENDITURE,V001197532
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,"£2,999.57",TRANSACTIONS-EXPENDITURE,V001197533
ROCHDALE BOROUGH COUNCIL,15/12/2017,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2017,"£1,466.92",TRANSACTIONS-INCOME,V001197533
ROCHDALE BOROUGH COUNCIL,01/12/2017,EARLY HELP AND SCHOOLS,H BELL AND SONS ROCHDALE LTD,01/12/2017,"£5,086.37",MINOR BUILDING WORKS,V001197534
ROCHDALE BOROUGH COUNCIL,05/12/2017,PROPERTY AND HIGHWAYS,ATKINS LIMITED,05/12/2017,"£4,683.00",ROADWORKS,V001197545
