UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,36,05/01/2018,Yes,05/01/2018,, Nil , Nil ,Action on hearing loss (formally RNID),VCSE,207720,M4 6JW,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,36,31/03/2018,Yes,31/03/2018,," œ106,306.00 "," œ318,918.00 ",Allied Healthcare Group,Large,1963820,ST15 0TL,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,36,31/03/2018,Yes,31/03/2018,," œ67,515.00 "," œ337,575.00 ",Alternative Futures Group,Large,1008587,L34 1BN,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ138,778.00 "," œ693,890.00 ",Comfort Call,Large,5763279,HA9 0NP,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ64,118.00 "," œ320,590.00 ",The Human Support Group Ltd (Mr Daniel Masters),Large,3513906,M20 3JG,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ36,677.00 "," œ183,385.00 ",Crossroads Care in Greater Manchester,Medium,3219229,BL2 2LW,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2018,Yes,31/03/2018,," œ20,855.00 "," œ104,275.00 ",DHP t/as Prestige Nursing and Care,SME,980410728,M24 6DP,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ6,594.00 "," œ32,970.00 ",mears,Large,4320403,AL7 3UQ,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ158,204.00 "," œ791,020.00 ",Mencap,VCSE,550457,EC1Y 0RT,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/01/2018,Yes,31/03/2018,," œ23,209.00 "," œ116,045.00 ",Possabilities CIC ,SME,08837981,OL104SY,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2017,Yes,31/03/2018,," œ51,506.00 "," œ257,530.00 ",Future Directions,Large,8041420,OL9 9XA,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2017,Yes,31/03/2018,," œ310,998.00 "," œ1,594,990.00 ",Leyton Healthcare (The Mews),Large,7549202,CT12 6PB,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2017,Yes,31/03/2018,," œ184,736.00 "," œ923,680.00 ",Springfield Park Care Home ,Large,7305177,OL11 4RE,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2018,Yes,31/03/2018,," œ168,311.00 "," œ841,555.00 ",Seva Support,SME,7842105,WV9 5HD,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),,,01/09/2013,36,55,31/03/2018,Yes,31/03/2018,," œ101,433.00 "," œ507,165.00 ",Voyage Care,Large,2215899,WS14 0QP,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.1),Mini Competition (Internal),Contract,14/01/2014,36,48,13/01/2018,Yes,13/01/2018,01/09/2017," œ1,579,232.00 "," œ6,316,928.00 ",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.2),Mini Competition (Internal),Contract,17/03/2014,36,48,16/03/2018,Yes,16/03/2018,01/09/2017," œ68,888.00 "," œ275,552.00 ",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.3 - Phase 1),Mini Competition (Internal),Contract,01/07/2014,36,48,30/06/2018,Yes,30/06/2018,30/09/2017," œ215,703.00 "," œ862,812.00 ",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services and Purchasing Card,Call Off (External),Contract,01/04/2014,60,72,31/03/2018,No,31/03/2018,31/03/2018," œ400,000.00 "," œ2,400,000.00 ",Barclays Bank PLC,Large,01026167,E14 4BB,Stockport- Corporate & Support Services
326,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Client Caseload Information System ,OJEU Tender,Contract,01/04/2013,36,48,31/03/2016,Yes,31/03/2017,01/08/2016," œ54,228.00 "," œ216,912.00 ",Careervision,SME,04569557,CW9 7TN,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01/04/2008,60,120,31/03/2018,Yes,31/03/2018,01/08/2017," œ2,816,633.89 "," œ28,166,338.86 ",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance, Retaining Walls ",OJEU Tender,Contract,01/04/2008,60,120,31/03/2018,Yes,31/03/2018,01/08/2017," œ1,650,651.80 "," œ16,506,517.97 ",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy",OJEU Tender,Contract,01/04/2008,60,120,31/03/2019,Yes,31/03/2018,01/08/2017," œ92,523.36 "," œ1,017,757.01 ","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Carriageway Surfacing ,OJEU Tender,Contract,01/04/2008,60,120,31/03/2019,Yes,31/03/2018,01/08/2017," œ1,048,598.13 "," œ11,534,579.44 ",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU Tender,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016," œ4,200,000.00 "," œ16,800,000.00 ",Various - See Below,Various,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,60,60,30/11/2016,Yes,30/11/2017,," œ5,500.00 "," œ5,500.00 ",Aggregate Industries Ltd,Large,245717,RH1 3ES,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,60,60,30/11/2016,Yes,30/11/2017,," œ5,500.00 "," œ5,500.00 ",J Hopkins Contractors Ltd,Large,1112562,M17 1LP,Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU Tender,Contract,01/10/2014,36,48,30/09/2018,Yes,30/09/2018,01/07/2018," œ7,030.00 "," œ21,090.00 ",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,OJEU Tender,Contract,30/09/2015,24,24,29/09/2017,No,29/09/2019,21/07/2017," œ1,000,000.00 "," œ4,000,000.00 ",Various - See Below,Large,2057769,OL11 4HQ,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,,,30/09/2015,24,48,30/09/2017,No,29/09/2019,," œ1,000,000.00 "," œ4,000,000.00 ",BramHall  Engineering,SME,9175877,SK8 7QU,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,,,30/09/2015,24,48,30/09/2017,No,29/09/2019,," œ1,000,000.00 "," œ4,000,000.00 ",Dowhigh,SME,1210665,L30 6UH,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,,,30/09/2015,24,48,30/09/2017,No,29/09/2019,," œ1,000,000.00 "," œ4,000,000.00 ",Eric Wright Civil Engineering Ltd,SME,2565379,PR5 6AW,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,,,30/09/2015,24,48,30/09/2017,No,29/09/2019,," œ1,000,000.00 "," œ4,000,000.00 ",J Hopkins Contractors Ltd,SME,3437258,M41 7BZ,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,,,30/09/2015,24,48,30/09/2017,No,29/09/2019,," œ1,000,000.00 "," œ4,000,000.00 ",JPCS,SME,2776886,SY14 8LU,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01/04/2008,60,120,31/03/2019,Yes,31/03/2019,31/03/2018," œ916,666.67 "," œ10,083,333.33 ",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations ,OJEU Tender,Contract,01/04/2008,60,120,31/03/2019,Yes,31/03/2019,31/03/2018," œ246,728.97 "," œ2,714,018.69 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,05/08/2015,24,12,04/08/2017,No,04/08/2018,04/04/2017," œ64,918.50 "," œ64,918.50 ",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,31/03/2018," œ123,364.49 "," œ1,357,009.35 ",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,No,31/03/2019,31/03/2018," œ122,222.22 "," œ1,344,444.44 ",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2016,Yes,28/02/2020,01/08/2019," œ19,466.50 "," œ155,732.00 ",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01/04/2008,60,60,31/03/2019,No,31/03/2019,01/08/2016," œ427,777.78 "," œ2,566,666.67 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
433,Stockport Council,271100-Information Communication Technology : Consumables : ,Computer Consumables ,OJEU Tender,Contract,01/05/2013,54,54,27/11/2017,No,27/11/2017,28/11/2016," œ80,463.63 "," œ362,086.33 ",Supplies Team ,Large,05510758,WF6 2TZ,Stockport- Corporate & Support Services
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,OJEU Tender,Framework Agreement,01/12/2014,36,48,30/11/2017,No,30/11/2018,19/01/2017," œ1,300,000.00 "," œ5,200,000.00 ",H Jenkinson & Co Ltd,Large,00169844,L34 9JR,Stockport- Services to Place
502,Stockport Council,151514-Healthcare : Public Health : Specialist Services,Pennine NHS Trust Community Drug Team and Community Alcohol Team. Community based Substance misuse services,OJEU Tender,Contract,01/10/2015,84,84,30/09/2022,No,30/09/2022,01/08/2021," œ233,285.71 "," œ1,633,000.00 ",Pennine and Lifeline,NHS,NHS - National Health Service,M1 1JF,Stockport- Services to People
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,12,12,31/03/2018,Yes,31/03/2018,01/12/2017," œ226,750.00 "," œ226,750.00 ",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,OJEU Tender,Contract,01/04/2013,36,60,31/03/2018,Yes,31/03/2018,01/09/2017," œ9,408,946.00 "," œ47,044,700.00 ",Various - See Below,Various,Various - See Supplier Tab,Various - See Supplier Tab,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," œ82,000.00 "," œ410,000.00 ",Herbex Nursing & Care,SME,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," œ84,409.00 "," œ422,015.00 ",Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,, nil , nil ,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," œ23,631.00 "," œ118,155.00 ",Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," œ163,389.00 "," œ816,945.00 ",Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," œ298,832.00 "," œ1,494,160.00 ",Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ638,092.00 "," œ3,190,460.00 ",Abacus Homecare,Large,8766697,SK5 7BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ38,538.00 "," œ192,690.00 ",A-Best Nursing and Care Limited,Medium,6314762,SK1 3RU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ1,137,207.00 "," œ5,686,035.00 ",Assured Care (Stockport) Ltd,Medium,7288112,SK1 3LG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ528,523.00 "," œ2,642,615.00 ",Bridge Care Services Ltd,Medium,3911926,SK6 7AD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Care 24 (UK) LTD,Medium,8700852,M19 1WA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ513,645.00 "," œ2,568,225.00 ",Care Need LTD Stockport,Medium,4125024,SK4 1AS,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Cynosure Health Care,Medium,9279415,M5 3EB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Harbex Nursing & Care,Medium,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ704,562.00 "," œ3,522,810.00 ",HG Care Services Ltd,Medium,4626258,SK4 3GN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ256,445.00 "," œ1,282,225.00 ",Human Support (Homecare Support),Large,3513906,M203JG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ207,688.00 "," œ1,038,440.00 ",Independent Care,Medium,4746104,SK42LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ500,292.00 "," œ2,501,460.00 ",Laurel Bank Support at Home,SME,2423368,Sk14 5HZ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ208,465.00 "," œ1,042,325.00 ",True Homecare Ltd,SME,7912253,SK1 2HP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Absolute care & support,Medium,8326687,SK6 1NB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ1,132,222.00 "," œ5,661,110.00 ",Absolute care at home,Medium,5583427,WA14 2PL,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ28,872.00 "," œ144,360.00 ",Angel Home Care,SME,9972858,M22 8LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ782,295.00 "," œ3,911,475.00 ",Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Care Mark Cheshire,SME,1088367,SK9 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Carers Trust (Crossroads),SME,7697170,M33 3HP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Choice Care,SME,10543928,BB1 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ703,040.00 "," œ3,515,200.00 ",CRG - Castlerock Recruitment Group,SME,6357982,WA9 1UA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Creative support - Extra care housing,SME,IP27440R,L34 1BH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ202,252.00 "," œ1,011,260.00 ",Elite Homecare,SME,5732794,M35 9BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Enterprise Care Group,SME,4547846,M14 6ZT,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ182,329.00 "," œ911,645.00 ",Equality Homecare Service Ltd,SME,06144289,M22 4US,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Homecare Northwest,SME,8253010,SK10 2BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ265,674.00 "," œ1,328,370.00 ",Homecare4u,SME,7455354,SK2 6NG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,I-Care Solutions Manchester,SME,10628642,M21 0XN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Medacs Healthcare Old Trafford,SME,3120991,M17 1HH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ385,194.00 "," œ1,925,970.00 ",MRL Healthcare Limited Stockport,SME,SC441634 ,Sk6 6BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Prime Support Service LTD,SME,8590998,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Pro Life Healthcare Services,SME,10068822,WA14 5PA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," œ341,350.00 "," œ1,706,750.00 ",Quality Care of Cheadle,SME,N/A,Sk2 6QS,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,OJEU Tender,Contract,19/12/2014,36,36,18/12/2017,No,18/12/2017,01/01/2017," œ150,000.00 "," œ450,000.00 ",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,12/09/2013,36,72,30/09/2019,Yes,30/09/2019,01/04/2019," œ13,487.00 "," œ80,922.00 ",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,01/11/2013,36,72,31/10/2019,Yes,31/10/2019,01/08/2017, N/A- framework , N/A- framework ,Various - See Below,Various,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to People
