RATEPAYER,RV,Property Address,LIABILITY_START,
,3650,"Unit 2 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",08-03-2014,
,4600,"Unit 1 The Old Bakery, Cain Lane, Southowram, Halifax              HX3 9SA",21-01-2014,
,2150,"3 Crimsworth Terrace, Midgehole, Hebden Bridge, HX7 7AJ",02-08-2013,
The Farm Ripponden Ltd,2100,"Holiday Lets Units 1-6, Butchers Arms, Rochdale Road, Ripponden            HX6 4JU",01-09-2012,
,2275,"Unit 8, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 3BS",01-05-2014,
J R Hall Ltd,14000,"Dean Royd Works, Deanroyd Road, Todmorden, OL14 6TT",01-04-2014,
Down2Earth Centre Ltd,6800,"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",17-07-2014,
Growth Into Awareness (2014) Ltd,5900,"Suite 5, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",17-07-2014,
M D Marble Ltd,12250,"Unit 2/4a, Bull Fold Garage, Owler Ings Road, Brighouse           HD6 1EJ",01-06-2014,
Geekology Ltd,4900,"Unit 22, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",21-06-2014,
Focus It Limited,17000,"Waterside Gymnasium, Valley Road, Hebden Bridge, HX7 7BZ",18-07-2014,
,2200,"Unit 24 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",01-05-2014,
Draincraft Ltd,20250,"53 Commercial Street, Brighouse, HD6 1AF",04-03-2014,
Eight Sixteen Coffee Company Ltd,4150,"F Mill Ground East A, Dean Clough Mills, Halifax, HX3 5AX",01-04-2014,
Kerry Berry Ltd,4400,"75 Southgate, Elland, HX5 0DQ",21-07-2014,
H & J Hitchens Electronics Ltd,2425,"9 North Street, Greetland, Halifax, HX4 8DQ",01-02-2014,
Express Office Solutions Ltd,890,"North Street, Greetland, Halifax, HX4 8DQ",01-02-2014,
Infoobjects Ltd,2400,"Office B20 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",21-07-2014,
,27750,"Unit 1, Caldervale Business Park, River Street, Brighouse            HD6 1LU",05-04-2014,
Ovenden Road Ltd,11250,"White Horse Inn, Spring Gardens, Burnley Road, Sowerby Bridge      HX6 2TW",21-07-2014,
Units To Let [Northern] Ltd,1375,"Unit 13A Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",01-04-2014,
Edgar Dickinson Properties Ltd,6800,"Unit 14 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",01-08-2014,
Sporting Memorabilia (Yorkshire) Ltd,5600,"Part 1ST Floor, 5 Clare Road, Halifax, HX1 2HX",01-01-2013,
,3000,"Knowle Garage, Leeds Road, Lightcliffe, Halifax             HX3 8SX",01-08-2014,
Klassiker 911 Ltd,6500,"Unit 11 Heaton Estate, Bradford Road, Brighouse, HD6 4BW",01-04-2014,
,1500,"9 Midgley Road, Mytholmroyd, Hebden Bridge, HX7 5LW",17-04-2014,
,6600,"32 Bradford Road, Brighouse, HD6 1RW",06-12-2013,
,8000,"34 Bradford Road, Brighouse, HD6 1RW",12-11-2013,
Kip McGrath (Brighouse) Lp,3600,"Office Nos T01-T03, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",01-06-2014,
Smiths Haulage & Contracting Ltd,4900,"Unit 5, Sedburgh Road, Halifax, HX3 9HB",01-04-2014,
,4000,"Unit 4, Sedburgh Road, Halifax, HX6 9HB",01-04-2014,
Retech Recycling Ltd,25500,"The Old Foundry (Retech), Mill Lane, Boothtown, Halifax              HX3 6TR",01-06-2014,
Reflecting Roadstuds Ltd,7700,"The Old Foundry (Empty), Mill Lane, Boothtown, Halifax              HX3 6TR",01-06-2014,
Ripon Property Restoration  Ltd,5700,"Part 1ST Floor, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
Westgrove Services Ltd,2175,"Part 1ST Floor, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
,5200,"388 Burnley Road, Todmorden, OL14 8EX",01-07-2014,
Carillion Utility Services Group Ltd,3150,"Carillion, Black Brook Way, Stainland Road, Greetland            HX4 8BQ",01-11-2013,
A P A Concrete Repairs Ltd,12500,"Portakabin Office, Stainland Road, Greetland, Halifax              HX4 8BQ",01-11-2013,
Ace Gas Ltd,6000,"Storage Land, Black Brook Way, Stainland Road, Greetland            HX4 8BQ",01-11-2013,
M N D Floors Ltd,2850,"UNIT1C/D Lwr Gf South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",01-04-2014,
,3700,"260 Halifax Road, Brighouse, HD6 2QG",01-08-2014,
Sf Beauty Ltd,9300,"48 Park Street, Brighouse, HD6 1JL",12-07-2014,
,1900,"Unit 15 Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",05-12-2013,
,2950,"6 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",26-02-2013,
,2950,"8 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",20-02-2014,
,2500,"Unit 10, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",02-04-2013,
Bizspace Ltd,1750,"Unit 16B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-04-2014,
Wattlid Ltd,24500,"Units 18C, 18D & 18E, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",01-07-2014,
T's Transport Ltd,1100,"First Floor Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",01-07-2014,
Warmco Space Heating Ltd,260,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",08-06-2012,
,4150,"Pack Horse Inn, Cain Lane, Southowram, Halifax             HX3 9SA",16-01-2014,
Kino & Co,1050,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-04-2014,
Cvs (Uk) Ltd,27500,"Heath House Surgery, Free School Lane, Halifax, HX1 2PS",28-04-2014,
,1650,"2 Warley Grove, Halifax, HX2 0AE",31-05-2012,
,10000,"Unit 15B Moderna Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",01-08-2014,
,3250,"Unit 18 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",01-08-2014,
Exors Of Mr R Naylor,5800,"Hullen Edge Hall, Hullen Edge Lane, Elland, HX5 0QS",24-04-2014,
W W Leese [Hx] Ltd,910,"Unit 1 Lower Brea, Leeds Road, Halifax, HX3 7AQ",01-04-2014,
George Pubs (Brighouse) Ltd,16500,"George Hotel, 2 Commercial Street, Brighouse, HD6 1AQ",08-04-2014,
,5900,"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",01-04-2014,
,21750,"2 Crossley Street, Halifax, HX1 1UG",01-04-2010,
,2500,"Unit 7, Dancroft Industrial Estate, Gauxholme Fold, Todmorden           OL14 7PW",15-09-2012,
,1975,"Friendly Fisheries, Burnley Road, Sowerby Bridge, HX6 2UG",31-03-2014,
Firth Joinery Services Ltd,5200,"Unit 5 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",01-07-2014,
,2950,"Ian Firth Garage, George Street, Elland, HX5 0NE",01-07-2014,
Calderdale Mbc Markets Manager,1325,"Stall 25 Market Hall, Brook Street, Todmorden, OL14 5AJ",26-04-2011,
Cafe Revive,5200,"66b Carr House Road, Shelf, Halifax, HX3 7RJ",05-11-2012,
A R Commercial Repairs,5800,"Unit 15 Woodman Works, South Lane, Elland, HX5 0HQ",01-10-2013,
,4450,"48-50 Market Street, Hebden Bridge, HX7 6AA",01-10-2012,
,3050,"561A Gibbet Street, Halifax, HX2 0AL",30-06-2014,
,1450,"Unit 8 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",20-02-2014,
Robertson Refridgeration Services,1675,"Halifax Road, Hipperholme, Halifax, HX3 8ER",01-03-2014,
,3550,"66 Huddersfield Road, Elland, HX5 9AA",01-03-2014,
,1675,"35 Burnley Road, Todmorden, OL14 7BU",18-06-2014,
Woodland Tiles Ltd,5600,"11 Edwards Road, Halifax, HX2 7DG",14-10-2013,
,4550,"5 Victoria Street, West Vale, Halifax, HX4 8DF",01-06-2014,
Kino & Co,1475,"Unit 13 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",01-08-2014,
,1950,"Unit 2, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",01-02-2014,
,5400,"Star Garage, Wakefield Road, Copley, Halifax             HX3 0TP",01-05-2012,
Units To Let [Northern] Ltd,1575,"Unit 16a, Mill House Works, Mill House Lane, Triangle            HX6 3LN",01-04-2013,
Unique Pub Properties Ltd,50000,"Bar Eleven, 11 Harrison Road, Halifax, HX1 2AF",30-05-2014,
Benjamin Whiteley & Sons Ltd,16750,"Unit 4, Park Road Mills, Park Road, Elland               HX5 9HX",29-07-2014,
Birds Nest Halifax Ltd,6500,"227/227a King Cross Road, Halifax, HX1 3JL",27-07-2014,
,5900,"Market Stall 27-28, Market Hall, Borough Market, Halifax             HX1 1DZ",18-05-2014,
,3150,"442 Gibbet Street, Halifax, HX2 0AX",08-05-2014,
Stephenson Animal Feeds Ltd,1025,"Unit 3 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",01-04-2014,
,5200,"19 King Cross Street, Halifax, HX1 2SH",30-06-2014,
Northern Corrugated Cases Ltd,35500,"Shay Lane, Halifax, HX3 6QU",10-04-2014,
Ash Pubs & Taverns Ltd,5300,"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",30-06-2014,
,2750,"Unit 3, Phoenix Street Works, Wakefield Road, Brighouse            HD6 1PD",01-10-2013,
Ebony Print Ltd,2175,"The Nook, West Street, Sowerby Bridge, HX6 3AJ",30-11-2012,
,3050,"Unit 20 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",26-09-2013,
Sharlketh Ltd,530,"Unit 8 Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",01-11-2011,
Calderdale Mbc Land & Property Services,2275,"54 Illingworth Road, Illingworth, Halifax, HX2 9EN",25-05-2014,
,1275,"101A Hopwood Lane, Halifax, HX1 4HB",01-11-2013,
,1600,"101B Hopwood Lane, Halifax, HX1 4HB",01-11-2013,
,4100,"2 Victoria Buildings, Elland, HX5 0AB",01-02-2014,
Overgate Hospice,30250,"5A Park Street, Brighouse, HD6 1AD",24-05-2012,
Yorkshire Forward Ltd,2250,"8 King Cross Street, Halifax, HX1 2SH",01-03-2013,
Green Sky Distribution Ltd,6900,"Unit HM3 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01-08-2014,
Festival Glass Ltd,9100,"Unit 4D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",04-08-2014,
,3500,"Unit W3, Tenterfield Business Pk, Burnley Road, Luddendenfoot        HX2 6EQ",01-02-2014,
Vine Property Management Ltd,7600,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",04-08-2014,
Dean Clough Ltd,10250,"Office Suite E 207, Dean Clough Mills, Halifax, HX3 5AX",14-06-2014,
,8600,"Unit 6 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",27-01-2014,
,6700,"The Tannery, Halifax Road, Hipperholme, Halifax              HX3 8HQ",06-06-2014,
Your Electrical Supplies Service And Solutions (B) Ltd,39500,"Unit 1A Alumex Works, Water Lane, Halifax, HX3 9HG",13-01-2014,
,3400,"32 Town Hall Street, Sowerby Bridge, HX6 2EA",01-08-2014,
,5100,"Maude Street, Greetland, Halifax, HX4 8AJ",28-07-2014,
,1525,"5 Coronation Street, Elland, HX5 0DF",01-03-2012,
,3200,"Wilderness Farm, Gosport Lane, Outlane, Huddersfield         HD3 3FN",01-08-2013,
Warmco Space Heating Ltd,3600,"Unit 2, River Street Business Park, River Street, Brighouse            HD6 1LU",01-10-2013,
,3700,"14 Victoria Road, Elland, HX5 0PU",30-07-2014,
Warmco Space Heating Ltd,1000,"Unit 307 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",01-01-2013,
Units To Let (Northern) Ltd,1625,"Unit 8, Mill House Works, Mill House Lane, Triangle            HX6 3LN",01-08-2014,
,2425,"Basement Rear, 33 Rochdale Road, Todmorden, OL14 7LA",02-05-2014,
,1850,"Unit 5, Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",01-02-2014,
St. Michael & All Angels Ce (Foundation) Primary School,25250,"St Michaels J & I School, Meadow Close, Shelf, Halifax              HX3 7QU",01-04-2010,
Chaos Clothing Ltd,14500,"16-18 Union Street, Halifax, HX1 1PR",27-07-2014,
The Angels Out Of School Club,5000,"St Michaels Pre School, Meadow Close, Shelf, Halifax              HX3 7QU",01-04-2010,
Raysaf57 Ltd,54000,"10 Woolshops, Halifax, HX1 1RU",21-06-2014,
,2750,"Bijou Cafe, Sod House Green, Halifax, HX3 6QR",22-07-2014,
Integrated Mechanical Ltd,28000,"Integrated House, 1 Wistons Lane, Elland, HX5 9DT",08-08-2014,
,24500,"14 Rawson Street, Halifax, HX1 1NH",31-03-2014,
Bizspace Ltd,4500,"Unit 14F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-04-2014,
,9600,"The Nook, West Street, Sowerby Bridge, HX6 3AJ",01-04-2014,
,1825,"Unit 6 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",09-08-2014,
,3400,"623 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",12-04-2014,
,5100,"Unit 8, Mill Lane, Boothtown, Halifax              HX3 6TR",01-04-2014,
,8100,"Units 1&2(Ground Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",26-06-2014,
Thornber Chicks Ltd,41500,"Units  2A - 2C, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-07-2014,
Garden Street Publishing Ltd,1250,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE",01-04-2014,
Bpr Property Management Ltd,3750,"Part Ground Floor, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
Bradford Property Restoration Ltd,5300,"Part First Floor, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
Pbb Properties Ltd,4350,"Part Ground Floor, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
Albanyview Limited,5800,"Part Ground Floor & Basement, 3 Clare Road, Halifax, HX1 2HX",01-01-2013,
Mosonic Ltd,1025,"Unit 6 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",05-12-2012,
Calderdale Mbc,3250,"19 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",01-07-2014,
Halifax Opportunities Trust,1875,"Office 33 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-03-2014,
,1775,"Unit 17, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",09-05-2014,
Bizspace Ltd,6300,"Unit 5A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-07-2014,
,1375,"Unit 1 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-08-2014,
Westfield Properties,2350,"Unit 1, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",01-08-2014,
Dacres Commercial,24750,"32/34 Commercial Street, Brighouse, HD6 1AQ",11-08-2014,
,10750,"Hillside Garage, Bramston Street, Brighouse, HD6 3AA",14-08-2014,
Innside Leisure Ltd,27000,"The Last Drop, 22/26 Bull Green, Halifax, HX1 5AB",14-07-2014,
Mobile Broadband Network Ltd,2800,"T Mobile  (53337), Toothill Lane, Brighouse, HD6 3SF",31-07-2008,
Grafters Fencing Ltd,4800,"Concrete Pumping, Unit 2 Stansfield House, Shay Lane, Halifax              HX2 9AD",01-08-2014,
Warmco Space Heating Ltd,3050,"Unit 3C Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",01-01-2014,
Energy Controls Ltd,17750,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",02-08-2014,
,113000,"Salvation, Barum Top, Halifax, HX1 1NL",08-08-2014,
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,2275,"Rooms 3 & 4, 37 Bethel Street, Brighouse, HD6 1JR",27-07-2013,
,1975,"Unit 3, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",01-08-2013,
Millcraft Associates,1050,"Unit 4 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HG",01-07-2014,
Halifax Opportunities Trust,1425,"Office 41 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",01-06-2014,
