Election year,Area Code,Constituency,Candidate name,Party,Description,Candidate Votes,Candidate rank,Percentage of vote,Total constituency votes,Winning party,Majority,Electorate,%Turnout
2010,A26,Bethnal Green and Bow,Hasib Hikmat,Voice,United Voice,209,9,0.4,,,,,
2010,A26,Bethnal Green and Bow,Haji Choudhury,Ind,Independent,100,10,0.2,,,,,
2010,A26,Bethnal Green and Bow,Ahmed Malik,Ind,Independent,71,11,0.1,,,,,
2010,A29,Bexleyheath and Crayford,David Evennett,Cons,Conservative,21794,1,50.5,43182,Cons,10344,65033,66.4
2010,A29,Bexleyheath and Crayford,Howard Dawber,Lab,Labour,11450,2,26.5,,,,,
2010,A29,Bexleyheath and Crayford,Karelia Scott,LibDem,Liberal Democrat,5502,3,12.7,,,,,
2010,A29,Bexleyheath and Crayford,Stephen James,BNP,British National Party,2042,4,4.7,,,,,
2010,A29,Bexleyheath and Crayford,John Dunford,UKIP,UK Independence Party,1557,5,3.6,,,,,
2010,A29,Bexleyheath and Crayford,John Griffiths,ED,English Democrats,466,6,1.1,,,,,
2010,A29,Bexleyheath and Crayford,Adrian Ross,Green,Green,371,7,0.9,,,,,
2010,A62,Brent Central,Sarah Teather,LibDem,Liberal Democrat,20026,1,44.2,45324,LibDem,1345,74059,61.2
2010,A62,Brent Central,Dawn Butler,Lab,Labour,18681,2,41.2,,,,,
2010,A62,Brent Central,Sachin Rajput,Cons,Conservative,5068,3,11.2,,,,,
2010,A62,Brent Central,Shahar Ali,Green,Green,668,4,1.5,,,,,
2010,A62,Brent Central,Errol Williams,Ch P,Christian Party,488,5,1.1,,,,,
2010,A62,Brent Central,Abdi Duale,Respect,Respect the Unity Coalition,230,6,0.5,,,,,
2010,A62,Brent Central,Dean McCastree,Ind,Independent,163,7,0.4,,,,,
2010,A63,Brent North,Barry Gardiner,Lab,Labour,24514,1,46.9,52298,Lab,8028,83945,62.3
2010,A63,Brent North,Harshadbhai Patel,Cons,Conservative,16486,2,31.5,,,,,
2010,A63,Brent North,James Allie,LibDem,Liberal Democrat,8879,3,17.0,,,,,
2010,A63,Brent North,Atiq Malik,Ind,Independent,734,4,1.4,,,,,
2010,A63,Brent North,Martin Francis,Green,Green,725,5,1.4,,,,,
2010,A63,Brent North,Sunita Webb,UKIP,UK Independence Party,380,6,0.7,,,,,
2010,A63,Brent North,Jannen Vamadeva,Ind,Independent,333,7,0.6,,,,,
2010,A63,Brent North,Arvind Tailor,ED,English Democrats,247,8,0.5,,,,,
2010,A64,Brentford and Isleworth,Mary MacLeod,Cons,Conservative,20022,1,37.2,53765,Cons,1958,83486,64.4
2010,A64,Brentford and Isleworth,Ann Keen,Lab,Labour,18064,2,33.6,,,,,
2010,A64,Brentford and Isleworth,Andrew Dakers,LibDem,Liberal Democrat,12718,3,23.7,,,,,
2010,A64,Brentford and Isleworth,Jason Hargreaves,UKIP,UK Independence Party,863,4,1.6,,,,,
2010,A64,Brentford and Isleworth,John Hunt,Green,Green,787,5,1.5,,,,,
2010,A64,Brentford and Isleworth,Paul Winnet,BNP,British National Party,704,6,1.3,,,,,
2010,A64,Brentford and Isleworth,David Cunningham,ED,English Democrats,230,7,0.4,,,,,
2010,A64,Brentford and Isleworth,Aamir Bhatti,Ch P,Christian Party,210,8,0.4,,,,,
2010,A64,Brentford and Isleworth,Evangeline Pillai,CPA,Christian Peoples Alliance,99,9,0.2,,,,,
2010,A64,Brentford and Isleworth,Teresa Vanneck-Surplice,Ind,Independent,68,10,0.1,,,,,
2010,A75,Bromley and Chislehurst,Bob Neill,Cons,Conservative,23569,1,53.5,44037,Cons,13900,65434,67.3
2010,A75,Bromley and Chislehurst,Sam Webber,LibDem,Liberal Democrat,9669,2,22.0,,,,,
2010,A75,Bromley and Chislehurst,Chris Kirby,Lab,Labour,7295,3,16.6,,,,,
2010,A75,Bromley and Chislehurst,Emmett Jenner,UKIP,UK Independence Party,1451,4,3.3,,,,,
2010,A75,Bromley and Chislehurst,Rowena Savage,BNP,British National Party,1070,5,2.4,,,,,
2010,A75,Bromley and Chislehurst,Roisin Robertson,Green,Green,607,6,1.4,,,,,
2010,A75,Bromley and Chislehurst,Jon Cheeseman,ED,English Democrats,376,7,0.9,,,,,
2010,A86,Camberwell and Peckham,Harriet Harman,Lab,Labour,27619,1,59.2,46659,Lab,17187,78683,59.3
2010,A86,Camberwell and Peckham,Columba Blango,LibDem,Liberal Democrat,10432,2,22.4,,,,,
2010,A86,Camberwell and Peckham,Andy Stranack,Cons,Conservative,6080,3,13.0,,,,,
2010,A86,Camberwell and Peckham,Jenny Jones,Green,Green,1361,4,2.9,,,,,
2010,A86,Camberwell and Peckham,Yohara Robby Munilla,ED,English Democrats,435,5,0.9,,,,,
2010,A86,Camberwell and Peckham,Joshua Ogunleye,WRP,Workers' Revolutionary Party,211,6,0.5,,,,,
2010,A86,Camberwell and Peckham,Margaret Sharkey,Soc Lab,Socialist Labour Party,184,7,0.4,,,,,
2010,A86,Camberwell and Peckham,Decima Francis,Ind,Independent,93,8,0.2,,,,,
2010,A86,Camberwell and Peckham,Steven Robbins,Ind,Independent,87,9,0.2,,,,,
2010,A86,Camberwell and Peckham,Patricia Knox,ND,No description,82,10,0.2,,,,,
2010,A86,Camberwell and Peckham,Jill Mountford,Workers Lib,Alliance for Workers Liberty,75,11,0.2,,,,,
2010,A92,Carshalton and Wallington,Tom Brake,LibDem,Liberal Democrat,22180,1,48.3,45918,LibDem,5260,66548,69.0
2010,A92,Carshalton and Wallington,Ken Andrew,Cons,Conservative,16920,2,36.8,,,,,
2010,A92,Carshalton and Wallington,Shafi Khan,Lab,Labour,4015,3,8.7,,,,,
2010,A92,Carshalton and Wallington,Frank Day,UKIP,UK Independence Party,1348,4,2.9,,,,,
2010,A92,Carshalton and Wallington,Charlotte Lewis,BNP,British National Party,1100,5,2.4,,,,,
2010,A92,Carshalton and Wallington,George Dow,Green,Green,355,6,0.8,,,,,
2010,B01,Chelsea and Fulham,Greg Hands,Cons,Conservative,24093,1,60.5,39856,Cons,16722,66316,60.1
2010,B01,Chelsea and Fulham,Alexander Hilton,Lab,Labour,7371,2,18.5,,,,,
2010,B01,Chelsea and Fulham,Dirk Hazell,LibDem,Liberal Democrat,6473,3,16.2,,,,,
2010,B01,Chelsea and Fulham,Julia Stephenson,Green,Green,671,4,1.7,,,,,
2010,B01,Chelsea and Fulham,Timothy Gittos,UKIP,UK Independence Party,478,5,1.2,,,,,
2010,B01,Chelsea and Fulham,Brian McDonald,BNP,British National Party,388,6,1.0,,,,,
2010,B01,Chelsea and Fulham,Roland Courtenay,Ind CCF,New Independent Conservative Chelsea and Fulham,196,7,0.5,,,,,
2010,B01,Chelsea and Fulham,George Roseman,ED,English Democrats,169,8,0.4,,,,,
2010,B01,Chelsea and Fulham,Godfrey Spickernell,Blue,Blue Environment Party,17,9,0.0,,,,,
2010,B06,Chingford and Woodford Green,Iain Duncan Smith,Cons,Conservative,22743,1,52.8,43106,Cons,12963,64821,66.5
2010,B06,Chingford and Woodford Green,Cath Arakelian,Lab,Labour,9780,2,22.7,,,,,
2010,B06,Chingford and Woodford Green,Geoffrey Seeff,LibDem,Liberal Democrat,7242,3,16.8,,,,,
2010,B06,Chingford and Woodford Green,Julian Leppert,BNP,British National Party,1288,4,3.0,,,,,
2010,B06,Chingford and Woodford Green,Nick Jones,UKIP,UK Independence Party,1133,5,2.6,,,,,
2010,B06,Chingford and Woodford Green,Lucy Craig,Green,Green,650,6,1.5,,,,,
2010,B06,Chingford and Woodford Green,None of The Above,Ind,Independent,202,7,0.5,,,,,
2010,B06,Chingford and Woodford Green,Barry White,Ind,Independent,68,8,0.2,,,,,
2010,B08,Chipping Barnet,Theresa Villiers,Cons,Conservative,24700,1,48.8,50608,Cons,11927,77739,65.1
2010,B08,Chipping Barnet,Damien Welfare,Lab,Labour,12773,2,25.2,,,,,
2010,B08,Chipping Barnet,Stephen Barber,LibDem,Liberal Democrat,10202,3,20.2,,,,,
2010,B08,Chipping Barnet,James Fluss,UKIP,UK Independence Party,1442,4,2.8,,,,,
2010,B08,Chipping Barnet,Kate Tansley,Green,Green,1021,5,2.0,,,,,
2010,B08,Chipping Barnet,Philip Clayton,Ind,Independent,470,6,0.9,,,,,
2010,B11,Cities of London and Westminster,Mark Field,Cons,Conservative,19264,1,52.2,36931,Cons,11076,66542,55.5
2010,B11,Cities of London and Westminster,David Rowntree,Lab,Labour,8188,2,22.2,,,,,
2010,B11,Cities of London and Westminster,Naomi Smith,LibDem,Liberal Democrat,7574,3,20.5,,,,,
2010,B11,Cities of London and Westminster,Derek Chase,Green,Green,778,4,2.1,,,,,
2010,B11,Cities of London and Westminster,Paul Weston,UKIP,UK Independence Party,664,5,1.8,,,,,
2010,B11,Cities of London and Westminster,Frank Roseman,ED,English Democrats,191,6,0.5,,,,,
2010,B11,Cities of London and Westminster,Dennis Delderfield,Ind,Independent,98,7,0.3,,,,,
2010,B11,Cities of London and Westminster,Jack Nunn,Pirate,Pirate Party UK,90,8,0.2,,,,,
2010,B11,Cities of London and Westminster,Mad Cap'n Tom,Ind,Independent,84,9,0.2,,,,,
2010,B26,Croydon Central,Gavin Barwell,Cons,Conservative,19657,1,39.5,49757,Cons,2969,78854,63.1
2010,B26,Croydon Central,Gerry Ryan,Lab Co-op,Labour and Co-operative,16688,2,33.5,,,,,
2010,B26,Croydon Central,Peter Lambell,LibDem,Liberal Democrat,6553,3,13.2,,,,,
2010,B26,Croydon Central,Andrew Pelling,Ind,Independent,3239,4,6.5,,,,,
2010,B26,Croydon Central,Cliff Le May,BNP,British National Party,1448,5,2.9,,,,,
2010,B26,Croydon Central,Ralph Atkinson,UKIP,UK Independence Party,997,6,2.0,,,,,
2010,B26,Croydon Central,Bernice Golberg,Green,Green,581,7,1.2,,,,,
2010,B26,Croydon Central,James Gitau,Ch P,Christian Party,264,8,0.5,,,,,
2010,B26,Croydon Central,John Cartwright,MRL,Monster Raving Loony Party,192,9,0.4,,,,,
2010,B26,Croydon Central,Michael Castle,Ind,Independent,138,10,0.3,,,,,
2010,B27,Croydon North,Malcolm Wicks,Lab,Labour,28949,1,56.0,51678,Lab,16483,85277,60.6
2010,B27,Croydon North,Jason Hadden,Cons,Conservative,12466,2,24.1,,,,,
2010,B27,Croydon North,Gerry Jerome,LibDem,Liberal Democrat,7226,3,14.0,,,,,
2010,B27,Croydon North,Shasha Khan,Green,Green,1017,4,2.0,,,,,
2010,B27,Croydon North,Jonathan Serter,UKIP,UK Independence Party,891,5,1.7,,,,,
2010,B27,Croydon North,Novlette Williams,Ch P,Christian Party,586,6,1.1,,,,,
2010,B27,Croydon North,Mohommad Shaikh,Respect,Respect the Unity Coalition,272,7,0.5,,,,,
2010,B27,Croydon North,Ben Stevenson,Comm,Communist Party,160,8,0.3,,,,,
2010,B27,Croydon North,Mohamed Seyed,Ind,Independent,111,9,0.2,,,,,
2010,B28,Croydon South,Richard Ottaway,Cons,Conservative,28684,1,50.9,56322,Cons,15818,81273,69.3
2010,B28,Croydon South,Simon Rix,LibDem,Liberal Democrat,12866,2,22.8,,,,,
2010,B28,Croydon South,Jane Avis,Lab,Labour,11287,3,20.0,,,,,
2010,B28,Croydon South,Jeffrey Bolter,UKIP,UK Independence Party,2504,4,4.4,,,,,
2010,B28,Croydon South,Gordon Ross,Green,Green,981,5,1.7,,,,,
2010,B29,Dagenham and Rainham,Jon Cruddas,Lab,Labour,17813,1,40.3,44232,Lab,2630,69767,63.4
2010,B29,Dagenham and Rainham,Simon Jones,Cons,Conservative,15183,2,34.3,,,,,
2010,B29,Dagenham and Rainham,Michael Barnbrook,BNP,British National Party,4952,3,11.2,,,,,
2010,B29,Dagenham and Rainham,Joseph Bourke,LibDem,Liberal Democrat,3806,4,8.6,,,,,
2010,B29,Dagenham and Rainham,Craig Litwin,UKIP,UK Independence Party,1569,5,3.5,,,,,
2010,B29,Dagenham and Rainham,Gordon Kennedy,Ind,Independent,308,6,0.7,,,,,
2010,B29,Dagenham and Rainham,Paula Watson,Ch P,Christian Party,305,7,0.7,,,,,
2010,B29,Dagenham and Rainham,Debbie Rosaman,Green,Green,296,8,0.7,,,,,
2010,B45,Dulwich and West Norwood,Tessa Jowell,Lab,Labour,22461,1,46.6,48214,Lab,9365,72831,66.2
2010,B45,Dulwich and West Norwood,Jonathan Mitchell,LibDem,Liberal Democrat,13096,2,27.2,,,,,
2010,B45,Dulwich and West Norwood,Kemi Adegoke,Cons,Conservative,10684,3,22.2,,,,,
2010,B45,Dulwich and West Norwood,Shane Collins,Green,Green,1266,4,2.6,,,,,
2010,B45,Dulwich and West Norwood,Elizabeth Jones,UKIP,UK Independence Party,707,5,1.5,,,,,
2010,B46,Ealing Central and Acton,Angie Bray,Cons,Conservative,17944,1,38.0,47200,Cons,3716,63526,74.3
2010,B46,Ealing Central and Acton,Bassam Mahfouz,Lab,Labour,14228,2,30.1,,,,,
2010,B46,Ealing Central and Acton,Jon Ball,LibDem,Liberal Democrat,13041,3,27.6,,,,,
2010,B46,Ealing Central and Acton,Julie Carter,UKIP,UK Independence Party,765,4,1.6,,,,,
2010,B46,Ealing Central and Acton,Sarah Edwards,Green,Green,737,5,1.6,,,,,
2010,B46,Ealing Central and Acton,Suzanne Fernandes,Ch P,Christian Party,295,6,0.6,,,,,
2010,B46,Ealing Central and Acton,Sam Akaki,Ind EACPS,Independent Ealing Action Communities Public Services,190,7,0.4,,,,,
2010,B47,Ealing North,Stephen Pound,Lab,Labour,24023,1,50.4,47678,Lab,9301,67917,70.2
2010,B47,Ealing North,Ian Gibb,Cons,Conservative,14722,2,30.9,,,,,
2010,B47,Ealing North,Chris Lucas,LibDem,Liberal Democrat,6283,3,13.2,,,,,
2010,B47,Ealing North,Dave Furness,BNP,British National Party,1045,4,2.2,,,,,
2010,B47,Ealing North,Ian De Wulverton,UKIP,UK Independence Party,685,5,1.4,,,,,
2010,B47,Ealing North,Christopher Warleigh-Lack,Green,Green,505,6,1.1,,,,,
2010,B47,Ealing North,Petar Ljubisic,Ch P,Christian Party,415,7,0.9,,,,,
2010,B48,"Ealing, Southall",Virendra Sharma,Lab,Labour,22024,1,51.5,42756,Lab,9291,60390,70.8
2010,B48,"Ealing, Southall",Gurcharan Singh,Cons,Conservative,12733,2,29.8,,,,,
2010,B48,"Ealing, Southall",Nigel Bakhai,LibDem,Liberal Democrat,6383,3,14.9,,,,,
2010,B48,"Ealing, Southall",Suneil Basu,Green,Green,705,4,1.6,,,,,
2010,B48,"Ealing, Southall",Mehboob Anil,Ch P,Christian Party,503,5,1.2,,,,,
2010,B48,"Ealing, Southall",Sati Chaggar,ED,English Democrats,408,6,1.0,,,,,
2010,B51,East Ham,Stephen Timms,Lab,Labour,35471,1,70.4,50373,Lab,27826,90599,55.6
2010,B51,East Ham,Paul Shea,Cons,Conservative,7645,2,15.2,,,,,
2010,B51,East Ham,Chris Brice,LibDem,Liberal Democrat,5849,3,11.6,,,,,
2010,B51,East Ham,Barry O'Connor,ED,English Democrats,822,4,1.6,,,,,
2010,B51,East Ham,Judy Maciejowska,Green,Green,586,5,1.2,,,,,
2010,B59,Edmonton,Andy Love,Lab Co-op,Labour and Co-operative,21665,1,53.7,40377,Lab/Co-op,9613,63888,63.2
2010,B59,Edmonton,Andrew Charalambous,Cons,Conservative,12052,2,29.8,,,,,
2010,B59,Edmonton,Iarla Kilbane-Dawe,LibDem,Liberal Democrat,4252,3,10.5,,,,,
2010,B59,Edmonton,Roy Freshwater,UKIP,UK Independence Party,1036,4,2.6,,,,,
2010,B59,Edmonton,Jack Johnson,Green,Green,516,5,1.3,,,,,
2010,B59,Edmonton,Erol Basarik,Reform,Reform 2000,379,6,0.9,,,,,
2010,B59,Edmonton,Clive Morrison,Ch P,Christian Party,350,7,0.9,,,,,
2010,B59,Edmonton,David McLean,Ind,Independent,127,8,0.3,,,,,
2010,B62,Eltham,Clive Efford,Lab,Labour,17416,1,41.5,41964,Lab,1663,62633,67.0
2010,B62,Eltham,David Gold,Cons,Conservative,15753,2,37.5,,,,,
2010,B62,Eltham,Steven Toole,LibDem,Liberal Democrat,5299,3,12.6,,,,,
2010,B62,Eltham,Roberta Woods,BNP,British National Party,1745,4,4.2,,,,,
2010,B62,Eltham,Ray Adams,UKIP,UK Independence Party,1011,5,2.4,,,,,
2010,B62,Eltham,Arthur Hayles,Green,Green,419,6,1.0,,,,,
2010,B62,Eltham,Mike Tibby,ED,English Democrats,217,7,0.5,,,,,
2010,B62,Eltham,Andrew Graham,Ind,Independent,104,8,0.2,,,,,
2010,B63,Enfield North,Nick de Bois,Cons,Conservative,18804,1,42.3,44453,Cons,1692,66249,67.1
2010,B63,Enfield North,Joan Ryan,Lab,Labour,17112,2,38.5,,,,,
2010,B63,Enfield North,Paul Smith,LibDem,Liberal Democrat,5403,3,12.2,,,,,
2010,B63,Enfield North,Tony Avery,BNP,British National Party,1228,4,2.8,,,,,
2010,B63,Enfield North,Madge Jones,UKIP,UK Independence Party,938,5,2.1,,,,,
2010,B63,Enfield North,Bill Linton,Green,Green,489,6,1.1,,,,,
2010,B63,Enfield North,Anthony Williams,Ch P,Christian Party,161,7,0.4,,,,,
2010,B63,Enfield North,Raquel Weald,ED,English Democrats,131,8,0.3,,,,,
2010,B63,Enfield North,Anna Athow,WRP,Workers' Revolutionary Party,96,9,0.2,,,,,
2010,B63,Enfield North,Gonul Daniels,Ind,Independent,91,10,0.2,,,,,
2010,B64,"Enfield, Southgate",David Burrowes,Cons,Conservative,21928,1,49.4,44352,Cons,7626,64092,69.2
2010,B64,"Enfield, Southgate",Bambos Charalambous,Lab,Labour,14302,2,32.2,,,,,
2010,B64,"Enfield, Southgate",Johar Khan,LibDem,Liberal Democrat,6124,3,13.8,,,,,
2010,B64,"Enfield, Southgate",Peter Krakowiak,Green,Green,632,4,1.4,,,,,
2010,B64,"Enfield, Southgate",Bob Brock,UKIP,UK Independence Party,505,5,1.1,,,,,
2010,B64,"Enfield, Southgate",Dr Asit Mukhopadhyay,Ind,Independent,391,6,0.9,,,,,
2010,B64,"Enfield, Southgate",Samad Billoo,Respect,Respect the Unity Coalition,174,7,0.4,,,,,
2010,B64,"Enfield, Southgate",Ben Weald,ED,English Democrats,173,8,0.4,,,,,
2010,B64,"Enfield, Southgate",Mal Malakounides,ND,No description,88,9,0.2,,,,,
2010,B64,"Enfield, Southgate",Jeremy Sturgess,BB,A Better Britain for All,35,10,0.1,,,,,
2010,B68,Erith and Thamesmead,Teresa Pearce,Lab,Labour,19068,1,44.9,42476,Lab,5703,69862,60.8
2010,B68,Erith and Thamesmead,Colin Bloom,Cons,Conservative,13365,2,31.5,,,,,
2010,B68,Erith and Thamesmead,Alexander Cunliffe,LibDem,Liberal Democrat,5116,3,12.0,,,,,
2010,B68,Erith and Thamesmead,Kevin Saunders,BNP,British National Party,2184,4,5.1,,,,,
2010,B68,Erith and Thamesmead,Pamela Perrin,UKIP,UK Independence Party,1139,5,2.7,,,,,
2010,B68,Erith and Thamesmead,Laurence Williams,ED,English Democrats,465,6,1.1,,,,,
2010,B68,Erith and Thamesmead,Abbey Akinoshun,ND,No description,438,7,1.0,,,,,
2010,B68,Erith and Thamesmead,Sid Cordle,CPA,Christian Peoples Alliance,379,8,0.9,,,,,
2010,B68,Erith and Thamesmead,Marek Powley,Green,Green,322,9,0.8,,,,,
2010,B73,Feltham and Heston,Alan Keen,Lab Co-op,Labour and Co-operative,21174,1,43.6,48526,Lab/Co-op,4658,81012,59.9
2010,B73,Feltham and Heston,Mark Bowen,Cons,Conservative,16516,2,34.0,,,,,
2010,B73,Feltham and Heston,Munira Wilson,LibDem,Liberal Democrat,6669,3,13.7,,,,,
2010,B73,Feltham and Heston,John Donnelly,BNP,British National Party,1714,4,3.5,,,,,
2010,B73,Feltham and Heston,Jerry Shadbolt,UKIP,UK Independence Party,992,5,2.0,,,,,
2010,B73,Feltham and Heston,Elizabeth Anstis,Green,Green,530,6,1.1,,,,,
2010,B73,Feltham and Heston,Dharmendra Tripathi,Ind,Independent,505,7,1.0,,,,,
2010,B73,Feltham and Heston,Asa Khaira,Ind,Independent,180,8,0.4,,,,,
2010,B73,Feltham and Heston,Roger Williams,Ind,Independent,168,9,0.3,,,,,
2010,B73,Feltham and Heston,Matthew Linley,WRP,Workers' Revolutionary Party,78,10,0.2,,,,,
2010,B75,Finchley and Golders Green,Mike Freer,Cons,Conservative,21688,1,46.0,47157,Cons,5809,77180,61.1
2010,B75,Finchley and Golders Green,Alison Moore,Lab,Labour,15879,2,33.7,,,,,
2010,B75,Finchley and Golders Green,Laura Edge,LibDem,Liberal Democrat,8036,3,17.0,,,,,
2010,B75,Finchley and Golders Green,Susan Cummins,UKIP,UK Independence Party,817,4,1.7,,,,,
2010,B75,Finchley and Golders Green,Donald Lyven,Green,Green,737,5,1.6,,,,,
2010,B90,Greenwich and Woolwich,Nick Raynsford,Lab,Labour,20262,1,49.2,41188,Lab,10153,65482,62.9
2010,B90,Greenwich and Woolwich,Spencer Drury,Cons,Conservative,10109,2,24.5,,,,,
2010,B90,Greenwich and Woolwich,Joseph Lee,LibDem,Liberal Democrat,7498,3,18.2,,,,,
2010,B90,Greenwich and Woolwich,Lawrence Rustem,BNP,British National Party,1151,4,2.8,,,,,
2010,B90,Greenwich and Woolwich,Andy Hewett,Green,Green,1054,5,2.6,,,,,
2010,B90,Greenwich and Woolwich,Edward Adeleye,Ch P,Christian Party,443,6,1.1,,,,,
2010,B90,Greenwich and Woolwich,Topo Wresniwiro,ED,English Democrats,339,7,0.8,,,,,
2010,B90,Greenwich and Woolwich,Onay Kasab,TUSC,Trade Unionist and Socialist Coalition,267,8,0.6,,,,,
2010,B90,Greenwich and Woolwich,Tammy Alingham,Ind,Independent,65,9,0.2,,,,,
2010,B92,Hackney North and Stoke Newington,Diane Abbott,Lab,Labour,25553,1,55.0,46459,Lab,14461,73862,62.9
2010,B92,Hackney North and Stoke Newington,Keith Angus,LibDem,Liberal Democrat,11092,2,23.9,,,,,
2010,B92,Hackney North and Stoke Newington,Darren Caplan,Cons,Conservative,6759,3,14.5,,,,,
2010,B92,Hackney North and Stoke Newington,Matt Sellwood,Green,Green,2133,4,4.6,,,,,
2010,B92,Hackney North and Stoke Newington,Maxine Hargreaves,Ch P,Christian Party,299,5,0.6,,,,,
2010,B92,Hackney North and Stoke Newington,Suzanne Moore,ND,No description,258,6,0.6,,,,,
2010,B92,Hackney North and Stoke Newington,Knigel Knapp,MRL,Monster Raving Loony Party,182,7,0.4,,,,,
2010,B92,Hackney North and Stoke Newington,Paul Shaer,Ind,Independent,96,8,0.2,,,,,
2010,B92,Hackney North and Stoke Newington,Alessandra Williams,Ind,Independent,61,9,0.1,,,,,
2010,B92,Hackney North and Stoke Newington,Dr Jack Pope-De-Locksley,Magna Carta,Magna Carta Party,26,10,0.1,,,,,
2010,B93,Hackney South and Shoreditch,Meg Hillier,Lab,Labour,23888,1,55.7,42858,Lab,14288,72764,58.9
2010,B93,Hackney South and Shoreditch,Dave Raval,LibDem,Liberal Democrat,9600,2,22.4,,,,,
2010,B93,Hackney South and Shoreditch,Simon Nayyar,Cons,Conservative,5800,3,13.5,,,,,
2010,B93,Hackney South and Shoreditch,Polly Lane,Green,Green,1493,4,3.5,,,,,
2010,B93,Hackney South and Shoreditch,Michael King,UKIP,UK Independence Party,651,5,1.5,,,,,
2010,B93,Hackney South and Shoreditch,Ben Rae,Lib,Liberal,539,6,1.3,,,,,
2010,B93,Hackney South and Shoreditch,John Williams,Ch P,Christian Party,434,7,1.0,,,,,
2010,B93,Hackney South and Shoreditch,Nusret Sen,DDP,Direct Democracy Party,202,8,0.5,,,,,
2010,B93,Hackney South and Shoreditch,Paul Davies,Comm Lge,Communist League,110,9,0.3,,,,,
2010,B93,Hackney South and Shoreditch,Denny de la Haye,Ind,Independent,95,10,0.2,,,,,
