Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,25/02/2014,ALLIANCE DISPOSABLES LIMITED,Catering,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,£555.94
Rochdale BC,11/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,067.35"
Rochdale BC,27/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,092.60"
Rochdale BC,11/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,809.00"
Rochdale BC,24/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,809.00"
Rochdale BC,27/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,"£1,658.25"
Rochdale BC,07/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,172.51"
Rochdale BC,14/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£11,361.71"
Rochdale BC,27/02/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£12,459.13"
Rochdale BC,11/02/2014,ALMIN TRAVEL,Human Resources,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,920.00"
Rochdale BC,17/02/2014,AMHPA,Healthcare,PHYSICAL DIS & OLDER PEOPLE,TRAINING COMMISSIONING,£800.00
Rochdale BC,25/02/2014,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,£996.76
Rochdale BC,06/02/2014,ANDREW PETTERSON,Unclassifiable,ECONOMY AND ENVIRONMENT,TRADING STANDARDS GENERAL,"£1,062.00"
Rochdale BC,24/02/2014,ANDREW PETTERSON,Unclassifiable,ECONOMY AND ENVIRONMENT,TRADING STANDARDS GENERAL,"£2,220.00"
Rochdale BC,05/02/2014,ANDY HARROP,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£2,880.00"
Rochdale BC,21/02/2014,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£587.75
Rochdale BC,12/02/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,"£1,273.60"
Rochdale BC,12/02/2014,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£676.60
Rochdale BC,07/02/2014,ANTHONY COLLINS SOLICITORS LLP,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,£573.50
Rochdale BC,21/02/2014,ARC4,Human Resources,ECONOMY AND ENVIRONMENT,CORE DEVT STRATEGY DPD,"£2,273.75"
Rochdale BC,28/02/2014,ARCHITECTURAL HISTORY PRACTICE,Financial Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£6,875.00"
Rochdale BC,01/02/2014,ARCO GROUP LIMITED,Clothing,ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,£561.82
Rochdale BC,24/02/2014,ARCO GROUP LIMITED,Clothing,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£1,417.42"
Rochdale BC,25/02/2014,ARCO GROUP LIMITED,Clothing,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£931.65
Rochdale BC,27/02/2014,ARROW BUSINESS COMMUNICATIONS LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,EMERGENCY PLANNING,£504.00
Rochdale BC,27/02/2014,ASHWORTH STREET SURGERY,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"£2,908.94"
Rochdale BC,05/02/2014,ASIAN LEADER,Facilities & Management Services,ECONOMY AND ENVIRONMENT,RETROFIT,£900.00
Rochdale BC,13/02/2014,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,Financial Services,ECONOMY AND ENVIRONMENT,WIND ENERGY PROJECT - PILOT PHASE,£685.76
Rochdale BC,27/02/2014,ASTRA ALARMS,Facilities & Management Services,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,£716.00
Rochdale BC,10/02/2014,ASTRA ALARMS,Facilities & Management Services,ECONOMY AND ENVIRONMENT,NEW CEMETERY (ROCHDALE),"£1,300.00"
Rochdale BC,27/02/2014,ASTRA ALARMS,Facilities & Management Services,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,"£1,310.00"
Rochdale BC,07/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale BC,11/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£3,500.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£3,000.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,040.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£624.00
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,664.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,040.00"
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£624.00
Rochdale BC,17/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£1,664.00"
Rochdale BC,27/02/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale BC,27/02/2014,AVK SEG UK LTD,Consultancy,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£1,315.00"
Rochdale BC,28/02/2014,AVK SEG UK LTD,Consultancy,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£2,568.00"
Rochdale BC,11/02/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£2,217.56"
Rochdale BC,11/02/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£663,275.33"
Rochdale BC,11/02/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"£23,250.00"
Rochdale BC,17/02/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"£29,516.02"
Rochdale BC,17/02/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,£580.14
Rochdale BC,27/02/2014,BACK CARE SOLUTIONS LIMITED,Financial Services,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£521.00
Rochdale BC,01/02/2014,BALMER`S GARDEN MACHINERY CENTRE,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"£21,750.00"
Rochdale BC,11/02/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£605.00
Rochdale BC,11/02/2014,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,BANGLADESH COMMUNITY PROJ,"£8,375.00"
Rochdale BC,01/02/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£5,783.75"
Rochdale BC,01/02/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£2,786.25"
Rochdale BC,01/02/2014,BARNARDOS NORTH WEST,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"£1,738.67"
Rochdale BC,11/02/2014,BELMONT SCHOOL LIMITED,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£8,262.02"
Rochdale BC,19/02/2014,BELMONT SCHOOL LIMITED,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£10,347.68"
Rochdale BC,19/02/2014,BELMONT SCHOOL LIMITED,Financial Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"£9,810.12"
Rochdale BC,11/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£954.46
Rochdale BC,11/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£877.06
Rochdale BC,11/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,067.95"
Rochdale BC,11/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,395.00"
Rochdale BC,11/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£650.35
Rochdale BC,18/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£654.96
Rochdale BC,18/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£841.05
Rochdale BC,24/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£607.58
Rochdale BC,24/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£668.26
Rochdale BC,24/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£905.21
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,271.57"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£660.27
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,316.42"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£856.12
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,482.94"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£791.38
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,309.22"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£739.29
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£750.33
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,526.84"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£577.43
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,437.87"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£854.59
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,144.71"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,357.59"
Rochdale BC,28/02/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"£1,013.14"
Rochdale BC,05/02/2014,BETHELL CONSTRUCTION LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ALKRINGTON POND - REMEDIAL WORKS 350,"£18,782.02"
Rochdale BC,10/02/2014,BETTER CHOICES LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,14-19 TEAM 11/12,"£3,655.00"
Rochdale BC,25/02/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£2,984.40"
Rochdale BC,10/02/2014,BGS LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,CLIENT SIDE PROPERTIES,"£2,098.00"
Rochdale BC,24/02/2014,BLACKBURN WITH DARWEN BC,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£9,100.00"
Rochdale BC,14/02/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£909.70
Rochdale BC,28/02/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,£501.62
Rochdale BC,01/02/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"£1,572.00"
Rochdale BC,26/02/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale BC,26/02/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale BC,13/02/2014,BOLTON M B C,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SCHOOLS BUSINESS UNIT,"£7,688.00"
Rochdale BC,11/02/2014,BOLTON M B C,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOT MANAGEMENT,"£2,500.00"
Rochdale BC,27/02/2014,BOOTS OPTICIANS,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£567.22
Rochdale BC,05/02/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,£834.33
Rochdale BC,18/02/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£538.98
Rochdale BC,05/02/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£503.33
Rochdale BC,27/02/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,£599.04
Rochdale BC,07/02/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,391.59"
Rochdale BC,14/02/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,627.88"
Rochdale BC,27/02/2014,BRAMBLETON LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£9,832.91"
Rochdale BC,19/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HEYWOOD STRUCTURAL PATCHING DFT,"£21,265.15"
Rochdale BC,19/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,HEYWOOD STRUCTURAL PATCHING DFT,"£25,630.93"
Rochdale BC,05/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,MIDDLETON STRUCTURAL PATCHING CAP,"£7,123.45"
Rochdale BC,05/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING DFT,"£6,168.41"
Rochdale BC,26/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING DFT,"£1,998.22"
Rochdale BC,19/02/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£108,736.16"
Rochdale BC,11/02/2014,BRENTWOOD,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,MIDDLETON DAY CENTRE,"£23,850.00"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,ASYLUM SEEKERS NEW 2011,£786.33
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,"£1,638.33"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,BRIDGEFOLD LODGE,£514.23
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,£923.04
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£708.03
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£1,467.04"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,DARNHILL ADVERNTURE PLAYGROUND,£855.50
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£2,427.23"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£661.28
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,£920.36
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,£930.34
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,£674.66
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,£707.82
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,"£1,149.94"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£660.56
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,£583.86
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"£1,729.37"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,"£1,488.69"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,£809.66
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,"£1,012.70"
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,£601.40
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,TOWNHEAD,£720.15
Rochdale BC,19/02/2014,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,£683.66
Rochdale BC,06/02/2014,BRITISH GAS TRADING LIMITED,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£536.17
Rochdale BC,24/02/2014,BROOKDALE GAS LTD,Utilities,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,£621.40
Rochdale BC,13/02/2014,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,DISPOSAL COSTS,"£1,261.00"
Rochdale BC,13/02/2014,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,HARE HILL HOUSE,£995.00
Rochdale BC,13/02/2014,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,NEWBOLD CHILDRENS CENTRE,£866.00
Rochdale BC,13/02/2014,BROOKE EDGLEY SPECIALIST TECH SERV LTD,Health & Safety ,PROPERTY AND HIGHWAYS,PARKS ROCHDALE,£880.00
Rochdale BC,25/02/2014,BURY COLLEGE,Human Resources,CHILDREN’S SOCIAL CARE,CSC TRAINING EXPENSES,"£1,350.00"
