organisation id,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction ID
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,01/07/2015,8438.69,HOME CARE - ADULT SERVICES,V000915913
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,CASTLEMERE COMMUNITY CENTRE,01/07/2015,3275,GRANTS TO THE VOLUNTARY SECTOR,V000914863
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,01/07/2015,1110.67,HOME CARE - ADULT SERVICES,V000915914
ROCHDALE BOROUGH COUNCIL,01/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,01/07/2015,840,FOSTER PARENTS BASIC ALLOWANCE,V000916023
ROCHDALE BOROUGH COUNCIL,01/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,01/07/2015,3155.49,VOLUNTARY ASSOCIATIONS,V000915965
ROCHDALE BOROUGH COUNCIL,01/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,01/07/2015,3208.85,VOLUNTARY ASSOCIATIONS,V000915964
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,CIVICA UK LIMITED,01/07/2015,1000,SOFTWARE,V000905737
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,01/07/2015,12374.86,HOME CARE - ADULT SERVICES,V000915916
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY CARE LINE SERVICES,01/07/2015,4305.96,HOME CARE - ADULT SERVICES,V000915915
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,COTTAGE HOMECARE SERVICES,01/07/2015,2370.82,HOME CARE - ADULT SERVICES,V000915919
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,CRIMBLE CROFT COMMUNITY CENTRE,01/07/2015,8125,GRANTS TO THE VOLUNTARY SECTOR,V000914814
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,CROMWELL POLYTHENE LIMITED,01/07/2015,2948.43,TRANSACTIONS-EXPENDITURE,V000914253
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,CROSSROADS CARE IN GREATER MANCHESTER,01/07/2015,1257.77,HOME CARE - ADULT SERVICES,V000915920
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/07/2015,4668.9,ACTIVITIES,V000914849
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,DEEPLISH COMMUNITY CENTRE,01/07/2015,10800,GRANTS TO THE VOLUNTARY SECTOR,V000914830
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,DEMESNE COMMUNITY ASSOCIATION,01/07/2015,10100,GRANTS TO THE VOLUNTARY SECTOR,V000914818
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,DIRECT HEALTH UK LTD,01/07/2015,4910.33,HOME CARE - ADULT SERVICES,V000915921
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,EARLY BREAK,01/07/2015,99850,CONTRACTED SERVICES,V000914833
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/07/2015,3090.33,ACTIVITIES,V000914850
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,ES GROUP LIMITED,01/07/2015,2646.33,RENTS,V000914859
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,ES GROUP LIMITED,01/07/2015,11515,RENTS,V000914858
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,FORENSICS LTD,01/07/2015,905,TOXICOLOGY PAYMENTS,V000915732
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,GREAT CARE UK,01/07/2015,3089.45,HOME CARE - ADULT SERVICES,V000915922
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,HERITAGE HOMECARE SERVICES LTD,01/07/2015,1858.03,HOME CARE - ADULT SERVICES,V000915932
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,HEYWOOD SVP FOOD BANK,01/07/2015,500,SUPPLIES AND SERVICES PROVISION,V000914843
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,HG CARE SERVICES LIMITED,01/07/2015,5193.72,HOME CARE - ADULT SERVICES,V000915924
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,HIGH LEVEL (NORTHERN) TRUST,01/07/2015,98900,CONTRACTED SERVICES,V000914834
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,HOMECARE SERVICES,01/07/2015,554.26,HOME CARE - ADULT SERVICES,V000915933
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,HOMECARE SUPPORT,01/07/2015,3452.11,HOME CARE - ADULT SERVICES,V000915923
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,JGM AGENCY,01/07/2015,850,PURCHASE OF OTHER EQUIPMENT,V000914499
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,KASHMIR YOUTH PROJECT,01/07/2015,4200,GRANTS TO THE VOLUNTARY SECTOR,V000914829
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,KERNOCK PARK PLANTS LTD,01/07/2015,1120,EQUIPMENT - GENERAL,V000915994
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,KERNOCK PARK PLANTS LTD,01/07/2015,8250,EQUIPMENT - GENERAL,V000915917
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,LAMBERT SMITH HAMPTON,01/07/2015,10689.11,OTHER LOCAL AUTHORITIES,V000914840
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/07/2015,4797.5,ACTIVITIES,V000914826
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/07/2015,4807.5,ACTIVITIES,V000914852
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,LINK4LIFE (CHARITY),01/07/2015,193202,LINK 4 LIFE CONTRACT,V000914861
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,LINK4LIFE (TRADING),01/07/2015,8175,LINK 4 LIFE CONTRACT,V000914860
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,MARK ROBERTS,01/07/2015,1680,PROFESSIONAL FEES,V000915988
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,MEADOWFIELD COMMUNITY CENTRE,01/07/2015,9575,GRANTS TO THE VOLUNTARY SECTOR,V000914817
ROCHDALE BOROUGH COUNCIL,01/07/2015,CHILDREN’S SOCIAL CARE,NEXT STEP CARE MANAGEMENT LTD,01/07/2015,1882.14,YOUNG PEOPLES RENTS,V000916028
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,NORTH AREA PARTNERSHIP,01/07/2015,4125,GRANTS TO THE VOLUNTARY SECTOR,V000914827
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,PENNINE CARE NHS,01/07/2015,133222.5,CONTRACTED SERVICES,V000916661
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,POSSABILITIES CIC TRADING,01/07/2015,1911.79,ACTIVITIES,V000914854
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,PREMIER CARE,01/07/2015,6260.54,HOME CARE - ADULT SERVICES,V000915926
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,PULSE HEALTHCARE LTD,01/07/2015,770.71,AGENCY STAFF,V000915112
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/07/2015,2250,ACTIVITIES,V000914846
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/07/2015,1299.33,ACTIVITIES,V000914857
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,509.67,RENT ALLOWS-PRIVATE TENANTS ST,V000916728
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,526.14,RENT ALLOWS-PRIVATE TENANTS ST,V000916689
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,637.3,RENT ALLOWS-PRIVATE TENANTS ST,V000916725
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,640,RENT ALLOWS-PRIVATE TENANTS ST,V000916682
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,664.65,RENT ALLOWS-PRIVATE TENANTS ST,V000916693
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,670.8,RENT ALLOWS-PRIVATE TENANTS ST,V000916665
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,671.28,RENT ALLOWS-PRIVATE TENANTS ST,V000916708
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,684.67,RENT ALLOWS-PRIVATE TENANTS ST,V000916676
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,REDACTED-PERSONAL DATA,01/07/2015,695.27,DIRECT PAYMENTS,V000914844
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,911.36,RENT ALLOWS-PRIVATE TENANTS ST,V000916727
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,923.13,RENT ALLOWS-PRIVATE TENANTS ST,V000916678
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1017.72,RENT ALLOWS-PRIVATE TENANTS ST,V000916730
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1077.65,RENT ALLOWS-PRIVATE TENANTS ST,V000916709
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1142.35,RENT ALLOWS-PRIVATE TENANTS ST,V000916731
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1198.24,RENT ALLOWS-PRIVATE TENANTS ST,V000916695
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1374.24,RENT ALLOWS-PRIVATE TENANTS ST,V000916710
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1534.63,RENT ALLOWS-PRIVATE TENANTS ST,V000916732
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,REDACTED-PERSONAL DATA,01/07/2015,1747.72,RENT ALLOWS-PRIVATE TENANTS ST,V000916722
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/07/2015,38333.33,CITIZENS ADVICE BUREAU,V000914813
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/07/2015,50580.83,CONTRACTS,V000914841
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,ROCHDALE COMMUNITY SUPPORT TRUST,01/07/2015,3276.14,HOME CARE - ADULT SERVICES,V000915927
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,ROCHDALE DEVELOPMENT AGENCY,01/07/2015,162849.99,GRANTS TO THE NON VOLUNTARY SECTOR,V000914825
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,ROCHDALE FOODBANK,01/07/2015,750,SUPPLIES AND SERVICES PROVISION,V000914842
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2015,2451.75,ACTIVITIES,V000914853
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE WOMENS WELFARE ASSOCIATION,01/07/2015,4550,GRANTS TO THE VOLUNTARY SECTOR,V000914864
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,ROUTES HEALTHCARE (NORTH),01/07/2015,544,HOME CARE - CHILDRENS SERVICES,V000915071
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,SAM SKINNER,01/07/2015,1140,PROFESSIONAL FEES,V000915985
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,SEVACARE,01/07/2015,12744.86,HOME CARE - ADULT SERVICES,V000915929
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,SHINING STARS SWIMMING SCHEME,01/07/2015,1875,ACTIVITIES,V000914847
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/07/2015,1143.17,ACTIVITIES,V000914816
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,SPARTH COMMUNITY CENTRE,01/07/2015,11425,GRANTS TO THE VOLUNTARY SECTOR,V000914822
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,SPORT WORKS,01/07/2015,7352.67,ACTIVITIES,V000914848
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,SPOTLAND COMMUNITY CENTRE,01/07/2015,7475,GRANTS TO THE VOLUNTARY SECTOR,V000914820
ROCHDALE BOROUGH COUNCIL,01/07/2015,PUBLIC HEALTH,STOCKPORT NHS FOUNDATION TRUST,01/07/2015,1036.14,PH OTHER CONTRACTS,V000914087
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,SUDDEN & BRIMROD COMMUNITY CENTRE,01/07/2015,2325,GRANTS TO THE VOLUNTARY SECTOR,V000914828
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,SUNSHINE CARE CO-OP,01/07/2015,3120.77,HOME CARE - ADULT SERVICES,V000915930
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,THE INNOVATION UNIT LTD,01/07/2015,25000,FEES / COMMISSION,V000914211
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,THE MEARS GROUP,01/07/2015,1515.89,HOME CARE - ADULT SERVICES,V000915925
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,THE NATIONAL AUTISTIC SOCIETY,01/07/2015,1666.17,ACTIVITIES,V000914851
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,01/07/2015,2848.96,ACTIVITIES,V000914812
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,TRUE SERENITY LTD,01/07/2015,752,ACTIVITIES,V000914855
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,01/07/2015,750,EQUIPMENT - GENERAL,V000915352
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,TURF HILL INITIATIVE CENTRE,01/07/2015,2800,GRANTS TO THE VOLUNTARY SECTOR,V000914831
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,WARDLEWORTH COMMUNITY CENTRE ASSOCIATION,01/07/2015,11675,GRANTS TO THE VOLUNTARY SECTOR,V000914821
ROCHDALE BOROUGH COUNCIL,01/07/2015,FINANCE SERVICES,ZURICH MUNICIPAL,01/07/2015,50000,TRANSACTIONS-EXPENDITURE,V000915959
ROCHDALE BOROUGH COUNCIL,02/07/2015,ECONOMY AND ENVIRONMENT,ARCHITECTURAL HISTORY PRACTICE,02/07/2015,1400,ARCHITECTS FEES,V000915124
ROCHDALE BOROUGH COUNCIL,02/07/2015,PROPERTY AND HIGHWAYS,ARROW BUSINESS COMMUNICATIONS LTD,02/07/2015,577.8,SUPPLIES AND SERVICES PROVISION,V000916085
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,BAUER RADIO LTD,02/07/2015,1500,ADVERTISING,V000917113
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,BLOXX LIMITED,02/07/2015,1000,IT MAINTENANCE,V000916044
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,CF CORPORATE FINANCE LTD,02/07/2015,823.8,HIRE OF EQUIPMENT,V000916033
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,DAISY COMMUNICATIONS LTD,02/07/2015,1527.58,IT MAINTENANCE,V000916031
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,DELL CORPORATION LIMITED,02/07/2015,750,ADVICE/SUPPORT,V000916040
ROCHDALE BOROUGH COUNCIL,02/07/2015,EARLY HELP AND SCHOOLS,DOMAIN CARE NORTH WEST LTD,02/07/2015,1298.53,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V000916748
ROCHDALE BOROUGH COUNCIL,02/07/2015,CHILDREN’S SOCIAL CARE,EC SAFEGUARDING CONSULTANCY LTD,02/07/2015,2700,AGENCY STAFF,V000917109
ROCHDALE BOROUGH COUNCIL,02/07/2015,FINANCE SERVICES,ES GROUP LIMITED,02/07/2015,4537.51,RENTS (VARIABLE),V000916761
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,EVERYTHING EVERYWHERE LIMITED,02/07/2015,1313,TRANSACTIONS-EXPENDITURE,V000916056
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,EVERYTHING EVERYWHERE LIMITED,02/07/2015,4383.18,TRANSACTIONS-EXPENDITURE,V000916057
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,EVERYTHING EVERYWHERE LIMITED,02/07/2015,6851.97,TRANSACTIONS-EXPENDITURE,V000916059
ROCHDALE BOROUGH COUNCIL,02/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,510.91,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,512.08,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,523.92,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,543.16,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,598.84,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,652.19,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,654.9,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,659.71,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,660.48,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,678.2,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,678.65,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,679.32,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,679.32,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,707.41,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,708.54,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,739.59,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,740.73,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,777,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,780.57,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,805.8,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,811.8,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,820.85,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,828.9,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,832.35,AGENCY STAFF,V000918725
ROCHDALE BOROUGH COUNCIL,02/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,02/07/2015,832.58,AGENCY STAFF,V000918725
