Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£7,798.60"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£1,041.69"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN BOARD,"£1,255.91"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£1,525.99"
23/08/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£3,355.12"
23/08/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,"£1,271.11"
23/08/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,£634.13
23/08/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE RBH,£542.52
23/08/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£4,350.05"
23/08/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,LA OCCUPATIONAL THERAPY,"£1,329.98"
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,"£2,064.66"
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,£683.24
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,HIA,£747.24
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ICES,£907.29
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,MERIT NORTH,£540.64
23/08/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,£891.26
23/08/2013,HAYS SOCIAL CARE,Human Resources,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£1,464.99"
31/07/2013,HAYS SOCIAL CARE,Human Resources,FINANCE AND PROCUREMENT,CORPORATE PROCUREMENT,£790.34
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,CSE RESOURCES,"£3,880.16"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,EDRMS TEAM,£638.55
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MANAGEMENT,£850.26
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,£960.56
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MARKETING,"£1,410.19"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,PROPERTY SECTION,£588.98
31/07/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROJECT TEAM,£797.86
31/07/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROPERTY MANAGEMENT,"£1,941.41"
31/07/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,750.09"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADMINISTRATION FOR DUTY AND CP AND CP,"£1,839.31"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£1,745.49"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£2,014.58"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£12,369.16"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,DUTY SOCIAL WORK,"£14,790.72"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£3,907.95"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£2,025.38"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN BOARD,£559.10
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£1,321.61"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SUNRISE TEAM,"£2,507.72"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£17,563.80"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,"£1,435.62"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,£828.89
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,HEYW PIF & TOWNSHIP FUNDING FOR STREETS,"£2,075.18"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,MIDD PIF & TOWNSHIP FUNDING STREET SERV,"£1,737.34"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,PENN PIF & TOWNSHIP FUNDING FOR STREETS,£653.87
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,ROCH PIF & TOWNSHIP FUNDING FOR STREETS,"£2,582.34"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE RBH,"£1,126.14"
31/07/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£2,429.01"
31/07/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,LA OCCUPATIONAL THERAPY,"£2,242.96"
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,£575.80
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,£690.65
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,HIA,£733.29
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,£885.88
31/07/2013,HAYS SOCIAL CARE,Human Resources,FINANCE AND PROCUREMENT,CORPORATE PROCUREMENT,£623.26
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,£563.14
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,CSE RESOURCES,"£4,638.33"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,EDRMS TEAM,£638.55
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MANAGEMENT,£850.26
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"£1,552.91"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LITIGATION SECTION,£709.21
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MARKETING,"£2,016.67"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,PROPERTY SECTION,"£1,865.52"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,REGISTRATIONS GENERAL,£520.23
31/07/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROPERTY MANAGEMENT,"£1,707.67"
31/07/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,645.23"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADMINISTRATION FOR DUTY AND CP AND CP,"£1,835.90"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,£948.29
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC ADMINISTRATION,£639.13
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£2,094.64"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,DUTY SOCIAL WORK,"£17,282.89"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,"£4,008.83"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,"£2,947.09"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£13,485.25"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN BOARD,"£1,118.20"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"£2,148.38"
31/07/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,SUNRISE TEAM,"£1,134.42"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£603.70
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"£3,023.46"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,"£1,732.80"
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,£828.89
31/07/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE RBH,"£2,874.00"
31/07/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£5,019.03"
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,"£1,156.60"
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,£654.63
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,HIA,£653.14
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ICES,£757.33
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,MERIT NORTH,£744.00
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,£876.90
31/07/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ON GOING SUPPORT,£697.90
31/07/2013,HAYS SOCIAL CARE,Human Resources,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£1,312.66"
