Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
11/09/2013,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"�21,887.30"
15/09/2013,GMCA,Financial Services,ECONOMY AND ENVIRONMENT,GMPTE LEVY,"�1,563,100.00"
10/09/2013,KONE PLC                             (S),Facilities & Management Services,ECONOMY AND ENVIRONMENT,MUNICIPAL OFFICES,"�13,881.65"
06/09/2013,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,�863.42
06/09/2013,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�1,791.82"
09/09/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�45,418.91"
09/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�3,418.90"
09/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�4,296.00"
09/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�4,123.71"
09/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�4,188.60"
09/09/2013,UPDATA INFRASTRUCTURE UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�1,031.96"
12/09/2013,PAYNE SECURITY,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,�604.50
17/09/2013,SILVAPOWER LTD,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,�905.20
19/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�3,687.40"
25/09/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"�33,910.65"
11/09/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,�909.09
11/09/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,�796.00
12/09/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,"�1,472.60"
20/09/2013,ROCHDALE CONNECTIONS TRUST (TRADING) LTD,Financial Services,ECONOMY AND ENVIRONMENT,COMMUNITY CHAMPION,�800.00
26/09/2013,HAYS SOCIAL CARE,Human Resources,FINANCE AND PROCUREMENT,CORPORATE PROCUREMENT,"�1,132.19"
26/09/2013,HAYS SOCIAL CARE,Human Resources,FINANCE AND PROCUREMENT,FINANCIAL SUPPORT CROSS SERVICE BUDGETS,�890.07
26/09/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,CSE RESOURCES,"�2,984.38"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MANAGEMENT,"�3,668.84"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"�2,454.79"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MARKETING,"�2,646.64"
26/09/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROPERTY MANAGEMENT,"�1,750.29"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,ADMINISTRATION FOR DUTY AND CP AND CP,"�1,436.38"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,ADOPTION PAYMENTS,"�1,022.29"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,CP SOCIAL WORK,"�3,492.59"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,DUTY SOCIAL WORK,"�14,912.32"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,MANAGEMENT,�657.00
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,"�3,177.42"
26/09/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN�S SOCIAL CARE,SUNRISE TEAM,"�2,474.93"
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,"�3,114.16"
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,�866.84
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,�592.39
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS HEYWOOD RBH,"�2,822.86"
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,"�1,590.54"
26/09/2013,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE RBH,"�3,437.18"
26/09/2013,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,LA OCCUPATIONAL THERAPY,"�2,119.36"
26/09/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,�820.34
26/09/2013,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,NHS DELAYED TRANSFER,�869.30
20/09/2013,A J COCKER ASSOCIATES LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,LEOPOLD COURT,�500.00
09/09/2013,MACE LIMITED,"Works - Construction, Repair & Maintenance",FINANCE AND PROCUREMENT,SOCIAL FUND,"�3,200.00"
09/09/2013,MACE LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HOUSING STRATEGY,�600.00
13/09/2013,DECIPHER IMPACT LIMITED,Human Resources,ECONOMY AND ENVIRONMENT,DECIPHER ASSIST,"�15,000.00"
02/09/2013,RYBRAM LTD,Unclassifiable,ECONOMY AND ENVIRONMENT,DEVELOPMENT CONTROL MGT,�770.00
06/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,DEVELOPMENT CONTROL MGT,�742.50
06/09/2013,URBAN VISION PARTNERSHIP LTD,Environmental Services,ECONOMY AND ENVIRONMENT,DEVELOPMENT CONTROL MGT,"�8,358.00"
23/09/2013,CF CORPORATE FINANCE LTD,Financial Services,ECONOMY AND ENVIRONMENT,DEVELOPMENT CONTROL MGT,�823.80
02/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,ENFORCEMENT,"�1,377.00"
12/09/2013,DISRICT SURVEYORS ASSOCIATION LIMITED,Financial Services,ECONOMY AND ENVIRONMENT,BUILDING CONTROL MANAGEMENT,"�2,357.07"
16/09/2013,HBP STRUCTURAL CONSULTANTS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,DILAPIDATED BUILDINGS YR END,�650.00
03/09/2013,GLOBE  CONSTRUCTION SERVICES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�147,046.00"
03/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�1,298.26"
06/09/2013,ROGER HANNAH AND CO,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�1,638.00"
13/09/2013,KEPPIE MASSIE,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�1,333.33"
17/09/2013,GLOBE  CONSTRUCTION SERVICES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�246,750.00"
18/09/2013,TOWNS NEEDHAM LLP,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"�15,692.44"
24/09/2013,ROGER HANNAH AND CO,Legal Services,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,�750.00
02/09/2013,SANDIFORDS (THE ART SHOP) LTD,Education,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"�1,422.00"
12/09/2013,SUPER SAVEZ,Facilities & Management Services,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"�3,825.00"
19/09/2013,MAKIN DIXON SOLICITORS,Legal Services,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,�540.00
19/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"�11,915.35"
26/09/2013,ROCHDALE TRADE BEDS,Furniture,ECONOMY AND ENVIRONMENT,PIF DRAKE ST. IMPS 200K 10/11,"�2,316.00"
09/09/2013,ROCHDALE HOUSING INITIATIVE,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"�2,000.00"
12/09/2013,SCOPED SOLUTIONS LIMITED,Information Communication Technology,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"�2,000.00"
10/09/2013,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"�3,964.00"
26/09/2013,SSI SCHAEFER LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,BLUE WASTE PAPER BINS,"�6,700.00"
26/09/2013,SSI SCHAEFER LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,WHEEL BINS,"�7,286.40"
02/09/2013,IAN FARMER ASSOCIATES,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,NEW CEMETERY (ROCHDALE),"�1,825.00"
11/09/2013,WESSEX ARCHAEOLGY LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,NEW CEMETERY (ROCHDALE),"�2,735.00"
19/09/2013,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PATHS & WALLS (223),"�23,776.90"
19/09/2013,J COONEY LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MIDDLETON CEMETERY EXTENSION,"�5,809.00"
19/09/2013,TAYLOR & STOTT LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MERCURY ABATEMENT,"�9,936.48"
03/09/2013,MAVERICK INDUSTRIES LTD,Leisure Services,ECONOMY AND ENVIRONMENT,S106 DALE MILL - MILNROW MEMORIAL PARK,"�16,150.00"
12/09/2013,MAVERICK INDUSTRIES LTD,Leisure Services,ECONOMY AND ENVIRONMENT,S106 DALE MILL - MILNROW MEMORIAL PARK,"�43,225.00"
05/09/2013,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,FLOOD RISK MGT INFRASTRUCTURE,"�3,897.37"
24/09/2013,GMCA,Financial Services,ECONOMY AND ENVIRONMENT,TOWNHEAD JUNCTION,"�1,237.23"
13/09/2013,SMW ARCHITECTS,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"�7,450.00"
09/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,GENERAL CLEARANCE,�500.00
09/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,GENERAL CLEARANCE,"�1,370.00"
20/09/2013,D & M DEMOLITIONS LTD                (S),"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,GENERAL CLEARANCE,"�11,000.00"
20/09/2013,D & M DEMOLITIONS LTD                (S),"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,REDACTED PERSONAL DATA,"�6,668.00"
20/09/2013,D & M DEMOLITIONS LTD                (S),"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,REDACTED PERSONAL DATA,"�5,140.00"
20/09/2013,D & M DEMOLITIONS LTD                (S),"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,GENERAL CLEARANCE,"�3,250.00"
20/09/2013,A J COCKER ASSOCIATES LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,�750.00
20/09/2013,D & M DEMOLITIONS LTD                (S),"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,"�4,500.00"
12/09/2013,KYP APNA GHAR ELDERS CENTRE,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,RETROFIT,"�3,000.00"
12/09/2013,KYP APNA GHAR ELDERS CENTRE,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,RETROFIT,"�10,216.15"
09/09/2013,CLOVER SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"�10,491.00"
20/09/2013,POWERCARE,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,DEEPLISH,�655.59
10/09/2013,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,�750.00
19/09/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,BELFIELD COMM,�662.10
19/09/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,"�1,127.07"
19/09/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,�602.01
23/09/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,GREENBANK,�541.50
23/09/2013,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,�620.69
23/09/2013,RALPH LIVESEY,Unclassifiable,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,�543.47
09/09/2013,RALPH LIVESEY,Unclassifiable,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,�590.81
09/09/2013,YOUNG PLANTS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,�538.67
09/09/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"�1,150.15"
12/09/2013,MAHOOD BROTHERS,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,"�1,100.00"
13/09/2013,EARLEY ORNAMENTALS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,�707.27
24/09/2013,ROCHDALE SIGNS LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,�793.00
03/09/2013,NOTTSSPORT,Leisure Services,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�764.25
03/09/2013,NOTTSSPORT,Leisure Services,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,�764.25
09/09/2013,KEN BROGDEN LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,�966.00
10/09/2013,MASSEY & HARRIS (ENGINEERING) LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,"�1,820.00"
16/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,PLAYGROUND SERVICES,�789.26
09/09/2013,DEFENSIVE DRIVER TRAINING,Human Resources,ECONOMY AND ENVIRONMENT,EM TRAINING BUDGETS,"�1,357.50"
18/09/2013,DEFENSIVE DRIVER TRAINING,Human Resources,ECONOMY AND ENVIRONMENT,EM TRAINING BUDGETS,"�1,392.50"
13/09/2013,TRAKM8 LIMITED,Vehicles,ECONOMY AND ENVIRONMENT,EMS TRANSFORMATION PROJECT PHASE 1 REV,"�1,836.00"
24/09/2013,CBS OUTDOOR LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,RUGBY WORLD CUP 2013,�575.00
15/09/2013,M N PROPERTY CONSULTANTS,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"�43,625.00"
24/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"�5,083.60"
24/09/2013,PROFILE SECURITY SERVICES LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"�5,012.00"
02/09/2013,HARROD UK LTD,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,�830.00
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,�770.39
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,"�1,187.73"
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,"�1,197.36"
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,�816.66
26/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,"�1,112.27"
26/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,SPORTS PITCHES & SCHOOLS,�780.00
04/09/2013,ROCHDALE MEMORIAL SERVICE,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"�5,475.00"
06/09/2013,CARTER FENCING LTD                   (S),Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"�2,625.00"
10/09/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,�603.33
19/09/2013,NO GRAFFITI (MANCHESTER) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"�2,000.00"
20/09/2013,CARTER FENCING LTD                   (S),Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"�2,575.00"
03/09/2013,J T SAWYER & CO LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,�780.00
05/09/2013,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,�562.94
17/09/2013,REDACTED PERSONAL DATA,Medical,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"�1,656.00"
05/09/2013,MANCHESTER CABINS LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,"�2,080.00"
09/09/2013,H ROTHWELL & CO LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,"�1,320.00"
19/09/2013,LIMB TO LIMB TREE SERVICES LTD,Horticultural,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�700.00
20/09/2013,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,"�1,026.00"
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�675.00
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�739.17
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�543.16
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,�551.17
06/09/2013,DOBSON UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,"�18,965.90"
20/09/2013,UNITED UTILITIES PLC,Utilities,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,�609.96
20/09/2013,UNITED UTILITIES PLC,Utilities,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,�607.50
20/09/2013,UNITED UTILITIES PLC,Utilities,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,�914.94
09/09/2013,JRB ENTERPRISE LTD,Environmental Services,ECONOMY AND ENVIRONMENT,ENFORCEMENT TEAM,�679.00
16/09/2013,NO GRAFFITI (MANCHESTER) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,GRAFFITI TEAM,"�2,000.00"
13/09/2013,SG EQUIPMENT FINANCE LIMITED,Financial Services,ECONOMY AND ENVIRONMENT,FLEET OP COSTS GROUPED,"�1,450.00"
25/09/2013,POST OFFICE COUNTERS LTD,Mail Services�,ECONOMY AND ENVIRONMENT,FLEET OP COSTS GROUPED,"�2,095.00"
06/09/2013,JADE TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"�1,577.10"
10/09/2013,J & S TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,�549.00
18/09/2013,J & S TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,�915.00
18/09/2013,REDACTED PERSONAL DATA,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,�714.00
19/09/2013,REDACTED PERSONAL DATA,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,�500.00
20/09/2013,JADE TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"�2,730.45"
20/09/2013,J & S TRAVEL,Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,�915.00
