ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT £,PURPOSE,TRANSACTION NO
ROCHDALE BOROUGH COUNCIL,24/03/2017,PUBLIC HEALTH,ANIMAL WARDENS LIMITED,24/03/2017,946.00 ,CONTRACTED SERVICES,V001084701
ROCHDALE BOROUGH COUNCIL,03/03/2017,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,03/03/2017,535.57 ,TRANSACTIONS-EXPENDITURE,V001085216
ROCHDALE BOROUGH COUNCIL,03/03/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,03/03/2017,622.74 ,CENTRAL HEATING,V001085217
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,STORMSAVER,13/03/2017,506.70 ,REPAIRS & ALTS OF BUILDINGS,V001087729
ROCHDALE BOROUGH COUNCIL,06/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,MILLERS OILS LIMITED,06/03/2017,820.00 ,VEHICLE MAINTENANCE,V001089256
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,WICKS AND WILSON LTD,13/03/2017,2850.00 ,EQUIPMENT - GENERAL,V001089436
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,REAL TRUST,01/03/2017,1110.00 ,ACTIVITIES,V001090063
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,SCHNEIDER ELECTRIC LIMITED,13/03/2017,1190.00 ,REPAIRS & ALTS OF BUILDINGS,V001090120
ROCHDALE BOROUGH COUNCIL,20/03/2017,PROPERTY AND HIGHWAYS,CALEDONIAN LIFT SERVICES LTD,20/03/2017,1050.00 ,PROPERTY - WORKS ELEMENT,V001090150
ROCHDALE BOROUGH COUNCIL,29/03/2017,PROPERTY AND HIGHWAYS,GTM ELECTRICAL SERVICES LIMITED,29/03/2017,1470.00 ,TRANSACTIONS-EXPENDITURE,V001090152
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,CRAWFORD DOMESTIC APPLIANCES LIMITED,02/03/2017,730.00 ,EQUIPMENT - GENERAL,V001090200
ROCHDALE BOROUGH COUNCIL,29/03/2017,PROPERTY AND HIGHWAYS,B AND J DECORATORS,29/03/2017,500.00 ,TRANSACTIONS-EXPENDITURE,V001090570
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,PROTEC FIRE DETECTION PLC,02/03/2017,1979.35 ,TRANSACTIONS-EXPENDITURE,V001092164
ROCHDALE BOROUGH COUNCIL,13/03/2017,PROPERTY AND HIGHWAYS,ROTA ROD LIMITED,13/03/2017,1140.00 ,TRANSACTIONS-EXPENDITURE,V001092206
ROCHDALE BOROUGH COUNCIL,24/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,J T SAWYER & CO LIMITED,24/03/2017,2140.00 ,MATERIAL - GENERAL,V001092208
ROCHDALE BOROUGH COUNCIL,21/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,J T SAWYER & CO LIMITED,21/03/2017,1712.00 ,MATERIAL - GENERAL,V001092209
ROCHDALE BOROUGH COUNCIL,16/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ATI ENVIRONMENT UK LTD,16/03/2017,2438.00 ,SPECIFIED MAINTENANCE,V001092211
ROCHDALE BOROUGH COUNCIL,06/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ANGLIA SIGN CASTING COMPANY LIMITED,06/03/2017,502.79 ,MATERIAL - GENERAL,V001092212
ROCHDALE BOROUGH COUNCIL,07/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUDDI LTD,07/03/2017,960.00 ,EQUIPMENT - GENERAL,V001092286
ROCHDALE BOROUGH COUNCIL,20/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,REDFOX COUNTRYSIDE SERVICES,20/03/2017,1350.00 ,EQUIPMENT - GENERAL,V001092413
ROCHDALE BOROUGH COUNCIL,13/03/2017,CHILDREN’S SOCIAL CARE,NORTH OF ENGLAND TRAINING LTD,13/03/2017,1500.00 ,TRAINING,V001092425
ROCHDALE BOROUGH COUNCIL,01/03/2017,PROPERTY AND HIGHWAYS,BOLTON MBC,01/03/2017,5880.76 ,FEES / COMMISSION,V001092498
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,ROCHDALE ELECTRICAL DISTRIBUTORS,02/03/2017,1230.40 ,TRANSACTIONS-EXPENDITURE,V001092525
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,F NEEDHAM,02/03/2017,2875.00 ,EQUIPMENT - GENERAL,V001092552
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,LEYMAC ENGINEERING SERVICES LIMITED,02/03/2017,852.15 ,MAINTENANCE,V001092557
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,LEYMAC ENGINEERING SERVICES LIMITED,02/03/2017,804.24 ,MAINTENANCE,V001092559
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,LEYMAC ENGINEERING SERVICES LIMITED,02/03/2017,858.17 ,MAINTENANCE,V001092561
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,LEYMAC ENGINEERING SERVICES LIMITED,02/03/2017,680.88 ,MAINTENANCE,V001092577
ROCHDALE BOROUGH COUNCIL,27/03/2017,PROPERTY AND HIGHWAYS,VAISALA LIMITED,27/03/2017,16672.50 ,MAINTENANCE,V001092588
ROCHDALE BOROUGH COUNCIL,02/03/2017,EARLY HELP AND SCHOOLS,POSITIVE STEPS,02/03/2017,44100.00 ,EXTERNALLY MANAGED FUNDS,V001092719
ROCHDALE BOROUGH COUNCIL,08/03/2017,BETTER CARE FUND POOLED BUDGET,THE STROKE ASSOCIATION,08/03/2017,2258.08 ,VOLUNTARY ASSOCIATIONS,V001092749
ROCHDALE BOROUGH COUNCIL,06/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,WHEELDON BROTHERS WASTE LIMITED,06/03/2017,967.68 ,EQUIPMENT - GENERAL,V001092827
ROCHDALE BOROUGH COUNCIL,13/03/2017,PROPERTY AND HIGHWAYS,GTM ELECTRICAL SERVICES LIMITED,13/03/2017,748.00 ,MINOR BUILDING WORKS,V001093805
ROCHDALE BOROUGH COUNCIL,08/03/2017,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,08/03/2017,2294.13 ,SOFTWARE,V001093842
ROCHDALE BOROUGH COUNCIL,06/03/2017,FINANCE SERVICES,NEPRO LIMITED,06/03/2017,19513.20 ,AGENCY STAFF,V001094226
ROCHDALE BOROUGH COUNCIL,07/03/2017,FINANCE SERVICES,TRAFFORD MBC,07/03/2017,1680.00 ,PROFESSIONAL FEES,V001094229
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,01/03/2017,-600.00 ,PROJECTS,V001094548
ROCHDALE BOROUGH COUNCIL,02/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,F NEEDHAM,02/03/2017,1990.00 ,EQUIPMENT - GENERAL,V001094568
ROCHDALE BOROUGH COUNCIL,07/03/2017,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,07/03/2017,2875.88 ,CAPITAL SALARIES,V001094653
ROCHDALE BOROUGH COUNCIL,13/03/2017,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,13/03/2017,750.00 ,TRAINING-QUALIFICATION,V001094691
ROCHDALE BOROUGH COUNCIL,10/03/2017,PUBLIC HEALTH,PENNINE CARE NHS,10/03/2017,90750.00 ,PH PENNINE CARE CONTRACT,V001094775
ROCHDALE BOROUGH COUNCIL,02/03/2017,LEARNING DIS & MENTAL HEALTH,PENNINE CARE NHS,02/03/2017,9250.00 ,RENTS,V001094776
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/03/2017,5078.10 ,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001094781
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/03/2017,1908.67 ,MISC CHARGES,V001094809
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/03/2017,1908.67 ,MISC CHARGES,V001094810
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/03/2017,30095.15 ,MEALS,V001094811
ROCHDALE BOROUGH COUNCIL,03/03/2017,PROPERTY AND HIGHWAYS,NPOWER LIMITED,03/03/2017,146679.31 ,ELECTRICITY,V001094822
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,08/03/2017,8231.30 ,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001094840
ROCHDALE BOROUGH COUNCIL,14/03/2017,EARLY HELP AND SCHOOLS,BARNARDOS,14/03/2017,3980.00 ,ACTIVITIES,V001094841
ROCHDALE BOROUGH COUNCIL,07/03/2017,FINANCE SERVICES,DAC BEACHCROFT CLAIMS LTD,07/03/2017,508.60 ,INPUT VAT -  ADJUSTMENTS,V001094878
ROCHDALE BOROUGH COUNCIL,07/03/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,07/03/2017,570.25 ,SUPPLIES AND SERVICES PROVISION,V001094898
ROCHDALE BOROUGH COUNCIL,08/03/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,08/03/2017,1269.16 ,SUPPLIES AND SERVICES PROVISION,V001094899
ROCHDALE BOROUGH COUNCIL,24/03/2017,PROPERTY AND HIGHWAYS,BESPOKE COMPLETE SERVICES LTD,24/03/2017,515.00 ,TRANSACTIONS-EXPENDITURE,V001094900
ROCHDALE BOROUGH COUNCIL,06/03/2017,ECONOMY DIRECTORATE,MANCHESTER CITY COUNCIL,06/03/2017,-761.00 ,MARKETING EXPENDITURE,V001094940
ROCHDALE BOROUGH COUNCIL,08/03/2017,EARLY HELP AND SCHOOLS,SALFORD CITY COUNCIL,08/03/2017,2072.00 ,TRAVELLING GENERAL EXPENSES,V001094946
ROCHDALE BOROUGH COUNCIL,03/03/2017,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,03/03/2017,469167.21 ,CONTRACTS,V001095001
ROCHDALE BOROUGH COUNCIL,03/03/2017,ECONOMY DIRECTORATE,ARROW BUSINESS COMMUNICATIONS LTD,03/03/2017,856.33 ,SUPPLIES AND SERVICES PROVISION,V001095029
ROCHDALE BOROUGH COUNCIL,28/03/2017,PROPERTY AND HIGHWAYS,HOWDENS JOINERY CO LIMITED,28/03/2017,707.39 ,TRANSACTIONS-EXPENDITURE,V001095188
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,NSL LIMITED,02/03/2017,2840.26 ,CAR PARKING CONTRACT,V001095191
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,NSL LIMITED,02/03/2017,34798.22 ,CAR PARKING CONTRACT,V001095192
ROCHDALE BOROUGH COUNCIL,03/03/2017,ECONOMY DIRECTORATE,S T HEATINGS SERVICES LTD,03/03/2017,681.59 ,CENTRAL HEATING,V001095238
ROCHDALE BOROUGH COUNCIL,03/03/2017,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,03/03/2017,540.58 ,TRANSACTIONS-EXPENDITURE,V001095243
ROCHDALE BOROUGH COUNCIL,03/03/2017,PROPERTY AND HIGHWAYS,S T HEATINGS SERVICES LTD,03/03/2017,842.60 ,TRANSACTIONS-EXPENDITURE,V001095246
ROCHDALE BOROUGH COUNCIL,15/03/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,15/03/2017,14208.96 ,CONSULTANT FEES,V001095254
ROCHDALE BOROUGH COUNCIL,16/03/2017,CHILDREN’S SOCIAL CARE,ROC NORTHWEST LTD,16/03/2017,17873.36 ,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001095255
ROCHDALE BOROUGH COUNCIL,03/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,LUTRA CONSULTING,03/03/2017,1995.00 ,CONSULTANT FEES,V001095282
ROCHDALE BOROUGH COUNCIL,09/03/2017,CHILDREN’S SOCIAL CARE,DEPAUL UK,09/03/2017,2125.71 ,YOUNG PEOPLES RENTS,V001095318
ROCHDALE BOROUGH COUNCIL,09/03/2017,CHILDREN’S SOCIAL CARE,DEPAUL UK,09/03/2017,2125.71 ,YOUNG PEOPLES RENTS,V001095319
ROCHDALE BOROUGH COUNCIL,07/03/2017,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,07/03/2017,3541.75 ,YOUNG PEOPLES RENTS,V001095330
ROCHDALE BOROUGH COUNCIL,08/03/2017,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,08/03/2017,12400.00 ,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001095377
ROCHDALE BOROUGH COUNCIL,23/03/2017,PROPERTY AND HIGHWAYS,NCC SERVICES LTD,23/03/2017,680.00 ,REPAIRS & ALTS OF BUILDINGS,V001095384
ROCHDALE BOROUGH COUNCIL,09/03/2017,CHILDREN’S SOCIAL CARE,DEPAUL UK,09/03/2017,2125.71 ,YOUNG PEOPLES RENTS,V001095450
ROCHDALE BOROUGH COUNCIL,17/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,AXA PPP HEALTHCARE,17/03/2017,1680.71 ,INSURANCE-EL/PL/PA,V001095466
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/03/2017,34583.33 ,CITIZENS ADVICE BUREAU,V001095467
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/03/2017,1702.75 ,ACTIVITIES,V001095468
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,TURNING POINT SERVICES LIMITED,01/03/2017,15166.67 ,CONTRACTED SERVICES,V001095472
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/03/2017,9351.91 ,ACTIVITIES,V001095473
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/03/2017,12250.00 ,LINK 4 LIFE CONTRACT,V001095474
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/03/2017,234681.00 ,LINK 4 LIFE CONTRACT,V001095474
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,PENNINE CARE NHS,01/03/2017,143727.00 ,CONTRACTED SERVICES,V001095475
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/03/2017,750.00 ,SUPPLIES AND SERVICES PROVISION,V001095479
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/03/2017,50651.67 ,CONTRACTS,V001095480
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,BARNARDOS,01/03/2017,10335.17 ,ACTIVITIES,V001095482
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/03/2017,2695.91 ,ACTIVITIES,V001095483
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/03/2017,1250.00 ,ACTIVITIES,V001095484
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/03/2017,3320.83 ,ACTIVITIES,V001095485
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,CAUDWELL CHILDREN,01/03/2017,1224.50 ,ACTIVITIES,V001095486
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,LINK4LIFE (TRADING),01/03/2017,6225.00 ,LINK 4 LIFE CONTRACT,V001095487
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/03/2017,1088.31 ,ACTIVITIES,V001095488
ROCHDALE BOROUGH COUNCIL,01/03/2017,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/03/2017,2831.96 ,ACTIVITIES,V001095489
ROCHDALE BOROUGH COUNCIL,03/03/2017,PUBLIC HEALTH,VIRGIN CARE SERVICES LIMITED,03/03/2017,263056.00 ,VIRGIN CARE,V001095490
ROCHDALE BOROUGH COUNCIL,14/03/2017,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,14/03/2017,12000.00 ,SOFTWARE,V001095575
ROCHDALE BOROUGH COUNCIL,14/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,CAPITA BUSINESS SERVICES LIMITED,14/03/2017,138452.86 ,SOFTWARE,V001095575
ROCHDALE BOROUGH COUNCIL,01/03/2017,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,01/03/2017,3667.86 ,PH OTHER CONTRACTS,V001095584
ROCHDALE BOROUGH COUNCIL,02/03/2017,ECONOMY DIRECTORATE,EAST LANCASHIRE SERVICES LIMITED,02/03/2017,861.10 ,SUPPLIES AND SERVICES PROVISION,V001095587
ROCHDALE BOROUGH COUNCIL,15/03/2017,EARLY HELP AND SCHOOLS,DSG RETAIL LIMITED,15/03/2017,947.49 ,EQUIPMENT - GENERAL,V001095591
ROCHDALE BOROUGH COUNCIL,15/03/2017,EARLY HELP AND SCHOOLS,DSG RETAIL LIMITED,15/03/2017,796.64 ,IT EQUIPMENT,V001095591
ROCHDALE BOROUGH COUNCIL,15/03/2017,EARLY HELP AND SCHOOLS,DSG RETAIL LIMITED,15/03/2017,1514.99 ,IT EQUIPMENT,V001095591
ROCHDALE BOROUGH COUNCIL,01/03/2017,ECONOMY DIRECTORATE,SURVEY SYSTEMS LIMITED,01/03/2017,1330.00 ,CONDITION SURVEYS,V001095614
ROCHDALE BOROUGH COUNCIL,10/03/2017,ECONOMY DIRECTORATE,TALKTALK BUSINESS,10/03/2017,510.99 ,TELEPHONE EXPENDITURE,V001095615
ROCHDALE BOROUGH COUNCIL,16/03/2017,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,16/03/2017,12566.25 ,CONSULTANT FEES,V001095616
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,LAMPS AND LIGHTING,02/03/2017,4062.59 ,TRANSACTIONS-EXPENDITURE,V001095628
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,LAMPS AND LIGHTING,02/03/2017,2746.20 ,TRANSACTIONS-EXPENDITURE,V001095629
ROCHDALE BOROUGH COUNCIL,07/03/2017,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,07/03/2017,800.00 ,SUPPLIES,V001095650
ROCHDALE BOROUGH COUNCIL,24/03/2017,EARLY HELP AND SCHOOLS,THE UK ASSOCIATION FOR MUSIC EDUCATION MUSIC MARK,24/03/2017,780.00 ,SUBSCRIPTIONS,V001096822
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,13/03/2017,1792.43 ,CATERING - GENERAL,V001097017
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,WLG LTD,13/03/2017,1501.51 ,CATERING - GENERAL,V001097027
ROCHDALE BOROUGH COUNCIL,07/03/2017,EARLY HELP AND SCHOOLS,FAMILY ACTION,07/03/2017,15319.35 ,OTHER LA`S - SEN PROVISION,V001098001
ROCHDALE BOROUGH COUNCIL,20/03/2017,PUBLIC HEALTH,TESCO STORES LIMITED,20/03/2017,732.69 ,PH LCS PAYMENTS,V001098027
ROCHDALE BOROUGH COUNCIL,09/03/2017,EARLY HELP AND SCHOOLS,THE GM UTC,09/03/2017,1279.29 ,OTHER EST - SEN PROVISION,V001098036
ROCHDALE BOROUGH COUNCIL,17/03/2017,EARLY HELP AND SCHOOLS,NORTH CHADDERTON SCHOOL,17/03/2017,3862.00 ,OTHER EST - SEN PROVISION,V001098037
ROCHDALE BOROUGH COUNCIL,10/03/2017,EARLY HELP AND SCHOOLS,SEASHELL TRUST,10/03/2017,10889.54 ,OTHER LA`S - SEN PROVISION,V001098038
ROCHDALE BOROUGH COUNCIL,09/03/2017,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,09/03/2017,4753.66 ,OTHER LA`S - SEN PROVISION,V001098042
ROCHDALE BOROUGH COUNCIL,14/03/2017,EARLY HELP AND SCHOOLS,FIRWOOD MANOR PREPARATORY SCHOOL,14/03/2017,1402.80 ,OTHER LA`S - SEN PROVISION,V001098047
ROCHDALE BOROUGH COUNCIL,13/03/2017,EARLY HELP AND SCHOOLS,ROCHDALE SIXTH FORM COLLEGE,13/03/2017,7633.94 ,OTHER EST - SEN PROVISION,V001098049
ROCHDALE BOROUGH COUNCIL,17/03/2017,EARLY HELP AND SCHOOLS,DEEPLISH ACADEMY,17/03/2017,3201.24 ,RENTS,V001098100
ROCHDALE BOROUGH COUNCIL,15/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE AND DISTRICT DISABLED ACTION GRP,15/03/2017,1040.00 ,GRANTS TO THE NON VOLUNTARY SECTOR,V001098133
ROCHDALE BOROUGH COUNCIL,14/03/2017,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF SALFORD,14/03/2017,750.00 ,TRAINING,V001098134
ROCHDALE BOROUGH COUNCIL,03/03/2017,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,03/03/2017,1180.00 ,TRANSACTIONS-EXPENDITURE,V001098170
ROCHDALE BOROUGH COUNCIL,24/03/2017,PROPERTY AND HIGHWAYS,FRANK KEY TOOL HIRE LTD,24/03/2017,525.00 ,TRANSACTIONS-EXPENDITURE,V001098172
ROCHDALE BOROUGH COUNCIL,10/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,AMTOLL LIMITED,10/03/2017,980.00 ,REPAIRS & ALTS OF BUILDINGS,V001098183
ROCHDALE BOROUGH COUNCIL,09/03/2017,PROPERTY AND HIGHWAYS,GTM ELECTRICAL SERVICES LIMITED,09/03/2017,7000.00 ,MINOR BUILDING WORKS,V001098218
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,GTM ELECTRICAL SERVICES LIMITED,01/03/2017,865.00 ,REPAIRS & ALTS OF BUILDINGS,V001098219
ROCHDALE BOROUGH COUNCIL,01/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,GTM ELECTRICAL SERVICES LIMITED,01/03/2017,600.00 ,REPAIRS & ALTS OF BUILDINGS,V001098220
ROCHDALE BOROUGH COUNCIL,01/03/2017,PROPERTY AND HIGHWAYS,NSL LIMITED,01/03/2017,5442.23 ,CAR PARKING CONTRACT,V001098234
ROCHDALE BOROUGH COUNCIL,01/03/2017,PROPERTY AND HIGHWAYS,OPS ENVIRONMENTAL SERVICES,01/03/2017,500.00 ,TRANSACTIONS-EXPENDITURE,V001098235
ROCHDALE BOROUGH COUNCIL,01/03/2017,PROPERTY AND HIGHWAYS,OPS ENVIRONMENTAL SERVICES,01/03/2017,3927.00 ,MINOR BUILDING WORKS,V001098236
ROCHDALE BOROUGH COUNCIL,01/03/2017,PROPERTY AND HIGHWAYS,TRIAD FABRICATIONS LIMITED,01/03/2017,3400.00 ,TRANSACTIONS-EXPENDITURE,V001098240
ROCHDALE BOROUGH COUNCIL,02/03/2017,PROPERTY AND HIGHWAYS,TRIAD FABRICATIONS LIMITED,02/03/2017,2190.00 ,MAINTENANCE,V001098241
