"ID","UniqueID","Make and Model Desc","Propulsion Type Desc","Wheel Plan Desc","Body Type Desc 1","BodyTypeDesc2","Camera","PostCode","Reg_Month","manufacture","GVW","EngineCC","CO2","PM","Nox","EuroClass"
70,"50914","VAUXHALL ZAFIRA TOURER TECH LINE CDTI","DIESEL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle",1,"M 160","2015-01","2015","0","1956","134","NULL","0.124","NULL"
71,"50914","VAUXHALL ZAFIRA TOURER TECH LINE CDTI","DIESEL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle",5,"M 160","2015-01","2015","0","1956","134","NULL","0.124","NULL"
72,"415876","VAUXHALL CORSA EXCITE AC CDTI EFLEX S/S","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS270","2015-01","2015","0","1248","99","NULL","0.063","NULL"
73,"8309","VAUXHALL ASTRA GTC SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",1,"LS134","2015-02","2015","0","1956","149","NULL","0.103","NULL"
74,"8309","VAUXHALL ASTRA GTC SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",11,"LS134","2015-02","2015","0","1956","149","NULL","0.103","NULL"
75,"8309","VAUXHALL ASTRA GTC SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"LS134","2015-02","2015","0","1956","149","NULL","0.103","NULL"
76,"238534","VAUXHALL ASTRA ELITE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS096","2015-02","2015","0","1598","147","NULL","0.012","NULL"
77,"238534","VAUXHALL ASTRA ELITE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS096","2015-02","2015","0","1598","147","NULL","0.012","NULL"
78,"238534","VAUXHALL ASTRA ELITE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",9,"LS096","2015-02","2015","0","1598","147","NULL","0.012","NULL"
79,"154528","FORD TRANSIT CUSTOM 290 TREND E-TEC","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",11,"WF084","2015-01","2015","2900","2198","186","NULL","0.195","Euro 5"
80,"195503","FORD FIESTA STYLE","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",11,"LS286","2015-01","2015","1525","1242","120","NULL","0.027","Euro 5"
81,"195503","FORD FIESTA STYLE","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"LS286","2015-01","2015","1525","1242","120","NULL","0.027","Euro 5"
82,"243780","FORD FOCUS ZETEC","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"LS260","2015-02","2015","1900","999","105","0.001","0.03","Euro 6"
83,"7990","SEAT LEON SE TECHNOLOGY TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS083","2015-01","2015","1800","1598","99","NULL","0.137","NULL"
84,"7990","SEAT LEON SE TECHNOLOGY TDI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS083","2015-01","2015","1800","1598","99","NULL","0.137","NULL"
85,"224","BMW 420D XDRIVE M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,1,"PE019","2015-01","2015","0","1995","128","NULL","0.031","Euro 6"
86,"224","BMW 420D XDRIVE M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,9,"PE019","2015-01","2015","0","1995","128","NULL","0.031","Euro 6"
87,"224","BMW 420D XDRIVE M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,11,"PE019","2015-01","2015","0","1995","128","NULL","0.031","Euro 6"
88,"224","BMW 420D XDRIVE M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"PE019","2015-01","2015","0","1995","128","NULL","0.031","Euro 6"
89,"259482","BMW 220D M SPORT","DIESEL","2 AXLE RIGID BODY",,,11,"HX048","2015-01","2015","0","1995","115","NULL","0.023","Euro 6"
90,"259482","BMW 220D M SPORT","DIESEL","2 AXLE RIGID BODY",,,5,"HX048","2015-01","2015","0","1995","115","NULL","0.023","Euro 6"
91,"108336","BMW 335D XDRIVE M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"HX061","2015-01","2015","0","2993","148","NULL","0.049","Euro 6"
92,"55021","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",5,"LS101","2008-05","2008","18500","9360","NULL","NULL","NULL","NULL"
93,"55021","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",1,"LS101","2008-05","2008","18500","9360","NULL","NULL","NULL","NULL"
94,"55021","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",5,"LS101","2008-05","2008","18500","9360","NULL","NULL","NULL","NULL"
95,"55021","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",1,"LS101","2008-05","2008","18500","9360","NULL","NULL","NULL","NULL"
96,"55021","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",5,"LS101","2008-05","2008","18500","9360","NULL","NULL","NULL","NULL"
97,"14742","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",1,"LS101","2008-05","2008","18500","9360","0","NULL","NULL","NULL"
98,"14742","VOLVO Missing","DIESEL","2 AXLE RIGID BODY","BUSES & COACHES","D/D Bus/Coach",5,"LS101","2008-05","2008","18500","9360","0","NULL","NULL","NULL"
99,"10433","IVECO DAILY 35S12 MWB","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",11,,"2008-04","2008","3500","2287","0","0.04","0.329","Euro 4"
100,"10433","IVECO DAILY 35S12 MWB","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,,"2008-04","2008","3500","2287","0","0.04","0.329","Euro 4"
