Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
W W Leese [Hx] Ltd,"Unit 4 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612718,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",2900,Workshop And Premises,Qualifying industrial hereditament
W W Leese [Hx] Ltd,"Unit 5 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612719,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",1775,Store And Premises,Rateable Value below threshold
W W Leese [Hx] Ltd,"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612720,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",3600,Warehouse And Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",6400,Warehouse And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Office Suite D106, Dean Clough Office Park, Halifax, HX3 5AX",64788706,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",8000,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",6000,Offices and Premises,Empty Relief - Post 01/04/2008
Setbray Properties Ltd,"Units 1,3 & 4 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",76560716,"Suites 1&4 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",9900,Workshop And Premises,Qualifying industrial hereditament
,"Quality Works, Rochdale Road, Todmorden, OL14 7NA",78400786,,660,Store And Premises,Rateable Value below threshold
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",2200,Shop and Premises,Rateable Value below threshold
Pennine Housing 2000 Ltd,"91 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116091,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3500,Shop and Premises,Empty Relief - Post 01/04/2008
Commercial First Mortgages Ltd,"5 Union Cross Yard, Halifax, HX1 1PR",69136005,"The Vineries, Broughton Bus Park, Skipton, North Yorkshire, BD23 3AE",17000,Public House and Premises,Empty Relief - Post 01/04/2008
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",810,Land Used For Storage and Premises,Rateable Value below threshold
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,,1075,Workshop And Premises,Empty Property - RV < 15000
Rosehill Polymers Ltd,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",77644721,"Rose Hill Mills, Beech Road, Sowerby Bridge, HX6 2JT",83000,Factory and Premises,Empty Relief - Post 01/04/2008
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
Fiona Cooper Audio Visual Ltd,"60 West Street, Sowerby Bridge, HX6 3AP",77648060,"The Cotton Mill, Saddleworth Road, Elland, HX5 0SA",7900,Shop and Premises,Empty Relief - Post 01/04/2008
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",77476007,,8200,Offices and Premises,Empty Relief - Post 01/04/2008
Adhan Property Consultants Ltd,"Unit 2, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",78408703,"Adhan House, 1st Floor, 52a Preston New Road, Blackburn, BB2 6AH",3400,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,370,Office,Rateable Value below threshold
,"10 Wharf Street, Sowerby Bridge, HX6 2AE",77652010,,4300,Hairdressing Salon and Premises,Awaiting occupation
,"90 Parkinson Lane, Halifax, HX1 3QH",68224090,,2325,Shop and Premises,Rateable Value below threshold
Coal Pension Properties Ltd,"10 Square, Halifax, HX1 1RJ",68700010,"Scan Only Docs-Savills Uk Ltd, P O Box 4843, Slough, SL1 0BG",15750,Shop and Premises,Empty Relief - Post 01/04/2008
,"16 Square, Halifax, HX1 1RJ",68700016,,7300,Shop and Premises,Empty Relief - Post 01/04/2008
,"23 Square Road, Halifax, HX1 1QG",68708023,,8500,Showroom And Premises,Empty Relief - Post 01/04/2008
,"Grange Yard, Mytholmroyd, Hebden Bridge, HX7 5LL",76236701,,1925,Workshop And Premises,Rateable Value below threshold
,"Woodlands View, Bacup Road, Todmorden, OL14 7HW",78024736,,4250,Lecture Hall,Empty Relief - Post 01/04/2008
Industrial Supplies Todmorden Ltd,"St Aidans Arts, Bacup Road, Todmorden, OL14 7PJ",78024757,"Part 1st Floor, St Aidans Works, Bacup Road, Todmorden, OL14 7PJ",3600,Workshop And Premises,Empty Relief - Post 01/04/2008
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ",68332701,"Bull Green House, Bull Green, Halifax, HX1 2EB",7000,Garage And Premises,Empty Relief - Post 01/04/2008
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,11000,Shop and Premises,Empty Relief - Post 01/04/2008
,"2 Bridge End, Brighouse, HD6 3DH",29092002,,2850,Office and Premises,Rateable Value below threshold
Commercial Development Projects Ltd,"3 Bridge Road, Brighouse, HD6 1EP",29096003,"Huddersfield Road, Elland, HX5 9BW",6700,Workshop And Premises,Empty Relief - Post 01/04/2008
,"22 Halifax Road, Todmorden, OL14 5QG",78192022,,2850,Offices and Premises,Empty Property - RV < 15000
Ideal Boats Company Ltd,"Woodbottom Mill, Todmorden, OL14 6PG",78224701,"Woodbottom Mill, Hollins Road, Walsden, Todmorden, OL14 6PG",11500,Factory and Premises,Occupation prohibited by law
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1625,Cricket Club And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unoff Address Units 4DEFGH, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",29124738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",5500,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unofficial Address, Unit 201 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2125,Office and Premises,Rateable Value below threshold
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
Danish Crown Uk Ltd,"Units 8-9, Moderna Business Park, Mytholmroyd, Hebden Bridge        HX7 5QQ",76252816,"57 Stanley Road, Whitefield, Manchester, M45 8GZ",42500,Warehouse And Premises,Empty Relief - Post 01/04/2008
Tosca North East Ltd,"67 Commercial Street, Brighouse, HD6 1AF",29196067,"C/O London & Scottish Inv Ltd, 349 Bath Street, Glasgow, G2 4AA",15500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1750,Workshop,Empty Property - RV < 15000
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236754,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",26250,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
Renson Products Uk Ltd (In Administartion 09/09/16),"Unit 9, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236760,"Leonard Curtis, Tower 12, 18/22 Bridge Street, Spittalfields, Manchster, M3 3BZ",33750,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Cromwell Industries Ltd,"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236810,"Cromwell House, Elland Road, Brighouse, HD6 2RG",1200,Offices and Premises,Empty Property - RV < 15000
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
Courier House Limited,"Ground Floor Store, Below Courier Offices, Bull Close Lane, Halifax              HX1 2SH",64432711,"9 Roberts Road Business Park, Roberts Road, Balby, Doncaster, DN4 0JT",16750,Store And Premises,Empty Relief - Post 01/04/2008
,"Kent House, 16 Bull Close Lane, Halifax, HX1 2EF",64432701,,3950,Surgery And Premises,Empty Relief - Post 01/04/2008
,"13/15 Bull Green, Halifax, HX1 2EB",64436716,,8300,Shop and Premises,Empty Relief - Post 01/04/2008
,"31 Emscote Avenue, Halifax, HX1 3AU",65032031,,5400,Shop and Premises,Awaiting occupation
,"Exley Gardens, Halifax, HX3 9EE",65048700,,1625,Shop and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2400,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212761,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1300,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
Simms Electrical Distributors Ltd (In Liquidation),"Unit 10 Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788720,"C/O Lee & Co, Photon House, Percy Street, Leeds, LS12 1EG",6300,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Shaw Lodge Mills Ltd,"Office F3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526756,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
Shaw Lodge Mills Ltd,"Office G3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526753,"Reedham House, 31 King Street, Manchester, M3 2PJ",2150,Offices and Premises,Listed Building
Shaw Lodge Mills Ltd,"The Design Studios, Shaw Lodge Mill Room F1/G4, Shaw Lane, Halifax              HX3 9ET",68526722,"Reedham House, 31 King Street, Manchester, M3 2PJ",9400,Offices and Premises,Listed Building
Shaw Lodge Mills Ltd,"Office G7 Shaw Lodge House, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526721,"Reedham House, 31 King Street, Manchester, M3 2PJ",990,Office,Listed Building
Heat Works Ltd,"Dental Laboratory, 2 Bank Street, Brighouse, HD6 1BD",29044703,"Mr Craig Ayrton, Oxford Court, Oxford Road, Gomersal, BD19 4HQ",34250,Workshop And Premises,Qualifying industrial hereditament
Shaw Lodge Mills Ltd,"Level 2 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526707,"Reedham House, 31 King Street, Manchester, M3 2PJ",2450,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526737,"Reedham House, 31 King Street, Manchester, M3 2PJ",8400,Warehouse And Premises,Listed Building
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,,860,Workshop And Premises,Listed Building
,"Unit 1/1A, 30 Huddersfield Road, Brighouse, HD6 1HA",29344836,,46250,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"4 Huddersfield Road, Brighouse, HD6 1JZ",29344004,,11250,Shop and Premises,Empty Relief - Post 01/04/2008
,"Part Ground Floor, Royds House, Birds Royd Lane, Brighouse           HD6 1LQ",29052722,,2225,Offices and Premises,Rateable Value below threshold
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4250,Workshop And Premises,Empty Relief - Post 01/04/2008
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",4300,Workshop And Premises,Empty Relief - Post 01/04/2008
Halifax Autocars Ltd,"Unit 11, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU",68536892,"F.A.O. Mr Keith Knott, Shay Lane, Halifax, HX3 6QU",13250,Workshop And Premises,Empty Relief - Post 01/04/2008
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,,2075,Offices and Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,Store And Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056742,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Unit 28 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056741,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"77 Mill Lane, Brighouse, HD6 1PN",29420742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1350,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"77A Mill Lane, Brighouse, HD6 1PN",29420743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,Offices and Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2500,Warehouse And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 102, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420750,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2700,Offices and Premises,Empty Property - RV < 15000
Calderdale Mbc,"48 Arcade, Piece Hall, Halifax, HX1 1RE",68252771,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3000,Shop and Premises,Listed Building
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",4000,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"57 Arcade, Piece Hall, Halifax, HX1 1RE",68252764,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",1100,Store And Premises,Listed Building
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5600,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2850,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
Oakwood Development (Holdings) Ltd In Administration,"Part First Floor, I E S House, Mission Street, Brighouse            HD6 1NQ",29428701,"Moorfields, 88 Wood Street, London, EC2V 7QF",10000,Offices and Premises,Bankrupt / Liquidation / Winding Up Order
Enduring Enterprises Ltd,"10 Bradford Road, Brighouse, HD6 1RW",29080010,"C/O Jones Lang Lasalle, Fao David Griffin Esq, 25 Bank Street, London, E14 5EG",12250,Offices and Premises,Listed Building
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",5800,Shop and Premises,Listed Building
Director Of Safer & Stronger Communities,"Adj 67 Rustic, Piece Hall, Halifax, HX1 1RE",68252724,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",5800,Shop and Premises,Listed Building
Nutclough Mill Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176002,"3 Richmond House, Caldene Business Park, Mytholmroyd, Hebden Bridge, HX7 5QJ",7400,Surgery And Premises,Empty Relief - Post 01/04/2008
Hallmark Developments (North West) Limited,"North Bridge Street, Halifax, HX1 1XJ",68084700,"Fao Mr Graham Healey, York House, 15-17 York Street, Heywood, Lancashire, OL10 4NN",16250,Car Showroom And Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,"Northgate House, Northgate, Halifax, HX1 1UN",8000,Shop and Premises,Listed Building
Pennine Pneumatic Services Ltd,"Bartre Works, Rastrick Common, Brighouse, HD6 3DR",29480700,"5-7 Mount Pellon Works, Pellon New Road, Halifax, HX1 4UB",25500,Workshop And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 2, River Street Business Park, River Street, Brighouse            HD6 1LU",29492734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",3450,Warehouse And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11A River Street B Pk, River Street, Brighouse            HD6 1NL",29492742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2600,Warehouse And Premises,Rateable Value below threshold
Kino & Co,"Office Hm 3.7 - 3.8, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344531,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2350,Offices and Premises,Rateable Value below threshold
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",12250,Communication Station and Premises,Unoccupied Land
Heathleigh Ltd,"Compound Opp Unit 17, Woodman Works, South Lane, Elland               HX5 0PA",56220783,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",2050,Land Used For Storage and Premises,Empty Property - RV < 15000
The Northern Lights Projects,"Unit 3B Ground Floor, Park Works, Arnold Street, Halifax, HX1 5JH",65652738,"Raven Street Centre, Raven Street, Halifax, HX1 4NB",6600,Workshop And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 11B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628872,"Fao Mital Shah, 3rd Floor, Winston House, 2 Dollis Park, Finchley, London, N3 1HG",1375,Offices And Premises,Rateable Value below threshold
Thornber Chicks Ltd,"Unit 9E, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",76156738,"Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",3600,Warehouse And Premises,Qualifying industrial hereditament
Kino & Co,"Area Adj Units 12C-12J, Holdsworth Road, Halifax, HX3 6SW",65344537,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2650,Warehouse And Premises,Rateable Value below threshold
Kino & Co,"Unit 12G, Holdsworth Road, Halifax, HX3 6SW",65344535,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1625,Offices And Premises,Rateable Value below threshold
Clifton Properties [Yorkshire] Ltd,"44A Commercial Street, Brighouse, HD6 1AQ",29196734,"59 Commercial Street, Batley, WF17 5EP",4400,Offices And Premises,Empty Relief - Post 01/04/2008
,"Office 4G Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",77284749,,1350,Offices and Premises,Rateable Value below threshold
Selmar Properties Ltd,"Basement At Nightclub, Wards End, Halifax, HX1 1BX",69264753,"Palatine Court, 84 Palatine Road, Withington, Manchester, M20 3JW",620,Store And Premises,Listed Building
