Organisation Name,Organisation Code,Effective date (ie When published),Contract Reference number,Title of Agreement,Service area,Description of goods and services,Contract start date,Contract End Date,Contract Value - full term,Contract Value - estimated annual spend,Irrecoverable VAT,Supplier,Supplier registered charity number (where applicable),Is the Contractor a Small/Medium sized enterprise?,Is the Contractor a Voluntary/Community Sector organisation?,Pre-contractual process used.  ,Location served label,Location Served URL
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003786,Oracle Licenses,I.T.,Annual renewal of Oracle License,05/04/2015,04/04/2016,5308,5308,N/A,Oracle Corporation UK Limited,N/A,No,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003787,Preparation of Mole Valley DC community infrastructure levy,Planning Policy,Contract between SCC and Peter Brett Associates to provide professional support for Surrey Districts and Boroughs. Cost of contract from 3/15 to completion in 12/15 (£23K) paid in March 2015,01/03/2015,31/12/2015,23500,23500,N/A,Peter Brett Associates,N/A,Yes,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003795,PSS Live,Parks,Annual PSS Live license,01/04/2015,31/03/2016,5800,5800,N/A,Public Sector Software Ltd,N/A,Yes,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003796,Webcast services,Democratic Services,Five year contract for provision of webcast services,16/05/2015,15/05/2019,49900,10000,N/A,Public-I,N/A,No,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003826,"Agency for sale of Pippbrook House, Dorking",Property,Negotiating and explaining options for sale of Pippbrook House (Listed building).,01/04/2015,31/03/2016,21000,21000,N/A,Savills (L&P) Ltd,N/A,No,No,Invitation to Quote,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003836,APAS,I.T.,Annual support (£4919) / maintenance (4 x £3910),01/05/2015,30/04/2016,21000,21000,N/A,SwiftDatapro Software Limited,N/A,Yes,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003849,Grounds maintenance and arboricultural services,Parks,Grounds maintenance and arboricultural services,31/03/2015,31/12/2021,500000,76000,N/A,The Landscape Group Ltd,N/A,No,No,Invitation to Tender,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003851,Highways horticultural agreement,Parks,Maintenance of grass and vegetation alongside MV highways between March and November,01/03/2015,31/12/2021,1080000,160000,N/A,The Landscape Group Ltd,N/A,No,No,Invitation to Tender,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003853,PASS Software license,Communities & Customer Services,Supporting community transport,01/04/2015,31/03/2016,6100,6100,N/A,Trapeze Group UK Ltd,N/A,Yes,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003854,Seasonal events brochures for Dorking Halls,Dorking Halls,Printing of brochures - generally 3 per annum,01/04/2015,31/03/2016,18000,18000,N/A,Treetop Design and Print,N/A,Yes,No,Direct award,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003857,Dorking Christmas Lights,Communities & Customer Services,Annual charge for installing and maintaining Xmas lights in Dorking,01/04/2015,31/03/2016,7800,7800,N/A,Ultralite Ltd,N/A,Yes,No,Direct award,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003862,Oracle support,Other/Joint,Oracle support,01/04/2015,31/03/2016,9000,9000,N/A,Xynomix Ltd,N/A,Yes,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003866,Council Tax billing stationery and mailing,Revenues & Exchequer,Council Tax billing stationery and mailing,01/04/2015,31/03/2016,12000,12000,N/A,"Univel Ltd, trading as Accelerated Mailing & Marketing",N/A,No,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003867,Stray dog out-of-hours collection,Environmental Services,Stray dog out-of-hours collection,01/04/2015,31/03/2016,10000,10000,N/A,Clements Environmental Services Ltd,N/A,Yes,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003872,Popcorn sundries,Dorking Halls,Popcorn sundries,01/04/2015,31/03/2016,12000,3000,N/A,Popcorn By Design,N/A,Yes,No,Direct award,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003875,Supply of ice cream to Dorking Halls,Dorking Halls,Supply of ice cream to Dorking Halls,01/04/2015,31/03/2016,6000,6000,N/A,Loseley bakery,N/A,Yes,No,Invitation to Quote,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003889,Temporary staff recruitment (Specialist),Democratic Services,Temporary staff recruitment (Specialist),01/04/2015,31/03/2016,61000,61000,N/A,Hays Specialist Recruitment Ltd,N/A,Yes,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003890,Internal audit,Financial Services,Annual internal audit plan - Committee and Corporate,01/04/2015,31/03/2016,67000,67000,N/A,Baker Tilly Tax and Accounting Limited,N/A,No,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003892,Annual maintenence / support for Housing Benefit (HBEN/Inges),Benefits,Annual maintenance / support for Housing Benefit (HBEN/Inges),01/04/2015,31/03/2016,16768,16768,N/A,Capita Business Services Ltd,N/A,No,No,Direct Award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003899,Installation and maintenance of Leatherhead Xmas lights,Planning Policy,Installation and maintenance of Leatherhead Xmas lights,01/04/2015,31/03/2016,5800,5800,N/A,Neil A Mason,N/A,Yes,No,Direct award,Mole valley - Leatherhead,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003961,Maintenance Support for Mitel Telephone System,I.T.,Maintenance Support for Mitel Telephone System,01/04/2015,31/03/2016,9795,9795,N/A,Charterhouse Voice and Data PLC,N/A,Yes,No,Invitation to Quote,Mole valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003972,Annual Maintenance for I-Share,I.T.,Annual Maintenance for I-Share,18/05/2015,17/05/2016,12187,12187,N/A,Astun Technology Ltd,N/A,Yes,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003973,Annual maintenance / support for Council Tax (CTax / NDR),Revenues & Exchequer,Annual maintenance / support for Council Tax (CTax / NDR),06/03/2015,05/03/2016,22997,22997,N/A,Capita Business Services Limited,N/A,No,No,Direct Award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003974,"Annual maintenance - service element - for NML, PRL, SLS, RSS & CMS, ref 480",Financial Services,"Annual maintenance - service element - for NML, PRL, SLS, RSS & CMS, ref 480",29/04/2015,08/04/2016,23171,23171,N/A,Capita Secure Information Solutions,N/A,No,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003980,iTrent rental,Human Resources,Annual rental of the iTrent staff portal system,18/06/2015,18/06/2016,6600,6600,N/A,Tandridge District Council,N/A,No,No,Framework Agreement,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003982,"Digital Signage, including installation",Dorking Halls,"Digital Signage, including installation (Quotation QN026672)",01/04/2015,31/07/2015,26947,26947,N/A,Jayex Technology,N/A,Yes,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003983,Asset valuation,Property,Prepare & carry out an asset valuation,01/06/2015,01/07/2015,15000,15000,N/A,Wilks Head & Eve LLP,N/A,No,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003987,Provision of East Surrey Outreach Services,Strategic Housing,"The provision of an assertive outreach service to work with rough sleepers and other single homeless people to assess their needs and ensure they receive appropriate support and advice services leading to them ultimately being housed. The services are to be provided across the four authorities of East Surrey, with Mole Valley as the lead authority.",01/03/2015,30/09/2016,157186,99275,N/A,Home Group Ltd (Stonham: care and support business stream of Home),N/A,Yes,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Disaster Recovery & Business Continuity - Annual,ICT,Annual provision for Disaster Recovery,02/03/2015,01/03/2016,NULL,"£10,815.00",NULL,"Adam continuity, Hampshire International Business Park Lime Tree Way, Basingstoke RG24 8GQ",Not applicable,YES,NO,Direct Quotes (not published),Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Confectionary supplies for Dorking Halls,Dorking Halls,Confectionary supplies for Dorking Halls,01/04/2015,31/03/2016,NULL,c£7.5k p.a.,NULL,"B.G. Benton Ltd
Units 5-8 Yeowart Business Centre
Bellbrook Estate
Bell Lane
Uckfield,   E. Sussex  TN22 1QL",Not applicable,NO,NO,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Concession for sale of Ice Cream in Mole Valley parks,Parks,6 month concession license for ice cream sales,01/04/2015,01/10/2015,NULL,"£11,400",NULL,"First Come First Served Catering, Villers Court, 40 Upper Mulgrave Road, Sutton, SM2 7AJ",Not applicable,YES,NO,Invitation to tender,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Annual license,Housing Advice,Annual license fee (Housing advice),01/04/2015,01/03/2016,NULL,£5.3K p.a.,NULL,"Localpad Ltd
Office Suite 30,
The Old Flying Club
Skillings Lane, Brough, East Yorks   HU15 1EN",Not applicable,NO,NO,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Annual software licence and maintenance,ICT,Annual software licence and maintenance,01/04/2015,01/04/2016,NULL,"£9,998.00",NULL,"Xpress Software Solutions Ltd
303 Sperry Way
Stonehouse Business Park
Stonehouse   GL10 3UT",Not applicable,NO,NO,Proprietary,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Annual software licence and maintenance,ICT,Annual software licence and maintenance,01/04/2015,01/04/2016,NULL,"£9,998.00",NULL,"Xpress Software Solutions Ltd
303 Sperry Way
Stonehouse Business Park
Stonehouse   GL10 3UT",Not applicable,NO,NO,Proprietary,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Cloud readiness assessment,I.T.,Cloud readiness assessment,04/06/2015,30/06/2015,NULL,5870,NULL,"Virtuoso Ltd
Michael's House 
10 -12 Alie Street
London   E1 8DE",NULL,NO,NO,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Atrium EAM Four year License / support,Property,Atrium EAM Four year License / support,23/04/2015,22/04/2019,NULL,9895 (over 4 years),NULL,"Trimble International UK
Baird House
15 - 17 St. Cross Street
London   EC1N 8UW",NULL,NO,NO,Proprietary,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Café furniture,Dorking Halls,Café furniture,11/05/2015,31/05/2015,NULL,11150,NULL,"PDS Design & Build
One Navigation Court
Calder Park
Wakefield
WF2 7BJ",NULL,NO,NO,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,NULL,Annual cost of services of a CIAG Worker,Communities,Services of a CIAG Worker (under delivery agreement with SaDAS),11/05/2015,10/05/2016,NULL,16000,NULL,"Catalyst
14 Jenner Road
Guildford
Surrey    GU1 3PL",1075892,Yes,Yes,Grant,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
