Ratepayer,Liable From,Rateable Value,Mandatory Relief %,Discretionary relief %,Small Business Rate Relief %,Retail Relief,Empty Property,Exempt Empty Rates,Exemption Type,Address,Addr2,Addr3,Addr4,Postcode,Empty From,Description code,Description,Property Reference
YORKSHIRE AMBULANCE SERVICE NHS TRUST,01/10/2009,530,0,0,0,£0.00,N,N,,YORKSHIRE AMBULANCE SERVICE CABIN,ADJ ELECTRICITY SUB STATION,RING ROAD,HORSFORTH LEEDS,LS18 4ER,,CO,AMBULANCE RESTROOM AND PARKING AREA,2335159491734
MOBILE BROADBAND NETWORK LTD,28/09/2009,6200,0,0,0,£0.00,N,N,,TELECOM MAST REF 99946,SEWAGE WORKS,"OFF TOWN STREET, RODLEY",LEEDS,LS13 1EQ,,MT1,COMMUNICATION STATION AND PREMISES,2335053436964
JEPHSON HOUSING ASSOCIATION,01/04/2005,2325,0,0,0,£0.00,N,N,,"FLAT 16, WARWICK COURT",BURLEY LANE,HORSFORTH,LEEDS,LS18 4TB,,CO,OFFICES AND PREMISES,2335033423191
BURROW & CROWE LTD,01/04/2013,34000,0,0,0,£0.00,N,N,,8 & 9 FEAST FIELD,TOWN STREET,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2334971331166
PERMANENT FUTURES LTD,20/03/2009,17000,0,0,0,£0.00,N,N,,4 FEAST FIELD,TOWN STREET,HORSFORTH,LEEDS,LS18 4TJ,,CO,OFFICES AND PREMISES,2334971324739
STONEBRIDGE PROJECTS LTD,31/10/2013,79000,0,0,0,£0.00,Y,N,,ROMERO HOUSE,1 FEATHERBANK COURT,HORSFORTH,LEEDS,LS18 4WA,31/10/2013,CO,OFFICES AND PREMISES,2334946622880
WOODHOUSE GROVE SCHOOL,01/04/2010,427500,80,0,0,£0.00,N,N,,WOODHOUSE GROVE SCHOOL,APPERLEY BRIDGE,BRADFORD,,BD10 0NR,,EP,SCHOOL AND PREMISES,2334451501953
WOODHOUSE GROVE SCHOOL,01/10/2013,17500,80,0,0,£0.00,N,N,,INTERNATIONAL HARVESTERS,APPERLEY BRIDGE,BRADFORD,,BD10 0NU,,LS,SPORTS GROUND AND PREMISES,2334451331923
DEPHO ESTATES LTD,01/05/2013,3700,0,0,0,£0.00,Y,N,,THE ANNEXE,3 STONEY RISE,LEEDS,,LS18 4SF,01/05/2013,CO,OFFICES AND PREMISES,2334151365361
DEPHO ESTATES LTD,29/04/2013,7800,0,0,0,£0.00,Y,N,,CALDER CONFERENCES THE MEWS,3 STONEY RISE,LEEDS,,LS18 4SF,29/04/2013,CO,OFFICES AND PREMISES,2334151307206
WHARFEDALE DECORATIONS LTD,01/04/2000,7400,0,0,77,£0.00,N,N,,WHARFEDALE DECORATORS LTD,STONEY RISE,LEEDS,,LS18 4SF,,CO,OFFICES AND PREMISES,2334151307205
SWINTON GROUP LTD,25/07/2007,70500,0,0,0,£0.00,N,N,,ROCKFORD HOUSE,LOW LANE,HORSFORTH,LEEDS,LS18 5QW,,CO,OFFICES AND PREMISES,2334028323984
LEEDS CITY COUNCIL,23/11/2012,9800,0,0,0,£0.00,Y,N,,HORSFORTH DAY CENTRE,CHURCH LANE,HORSFORTH,LEEDS,LS18 5LA,23/11/2012,LC,COMMUNITY CENTRE AND PREMISES,2333985327707
HORSFORTH RIVERSIDE LLP,01/04/2007,1850,0,0,0,£0.00,Y,Y,Rateable Value,FORMER ENGLAFOOT COSTRUCTION LTD,LOW MILLS,RAWDON,LEEDS,LS18 4EF,01/04/2007,IF3,WORKSHOP AND PREMISES,2333727312073
PARK LANE COLLEGE,01/04/2000,12750,80,0,0,£0.00,N,N,,AIREDALE & WHARFEDALE COLLEGE,FEATHERBANK AVENUE,HORSFORTH,LEEDS,LS18 4QP,,EL1,College and Premises,2333709351001
DUDLEYS CONSULTING ENGINEERS LTD,09/09/2013,9200,0,0,47,£0.00,N,N,,FIRST FLOOR,5 FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700656653
SHOREBIRD LTD,30/11/2012,8100,0,0,65,£0.00,N,N,,GROUND FLOOR,5 FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700656642
JUNGLE IT LIMITED,25/01/2013,17500,0,0,0,£0.00,N,N,,2 FEAST FIELD,HORSFORTH,LEEDS,,LS18 4TJ,,CO,OFFICES AND PREMISES,2333700622121
JIGSAW FINANCIAL SERVICES LTD,28/03/2008,17750,0,0,0,£0.00,N,N,,1 FEAST FIELD,HORSFORTH,LEEDS,,LS18 4TJ,,CO,OFFICES AND PREMISES,2333700622110
COMMERSON ESTATE MANAGEMENT LTD,13/08/2012,9100,0,0,48,£0.00,N,N,,FIRST FLOOR,6 FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700605486
WHITESIDE LTD,25/01/2012,16750,0,0,0,£0.00,N,N,,7 FEAST FIELD,TOWN STREET,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700602241
PERMANENT FUTURES LTD,01/01/2014,12000,0,0,0,£0.00,N,N,,FIRST FLOOR UNIT 3,FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700517639
THE LEAF LABEL LIMITED,02/09/2013,7700,0,0,72,£0.00,N,N,,GROUND FLOOR UNIT 3,FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,Offices and Premises,2333700517628
NORTHERN ESTATE AGENCY LTD,01/04/2006,17250,0,0,0,£0.00,N,N,,11 FEAST FIELD,HORSFORTH,LEEDS,,LS18 4TJ,,CO,OFFICES AND PREMISES,2333700369736
BONE CANCER RESEARCH TRUST,01/12/2012,17000,80,0,0,£0.00,N,N,,10 FEAST FIELD,HORSFORTH,LEEDS,,LS18 4TJ,,CO,OFFICES AND PREMISES,2333700369735
MANNING STAINTON LTD,14/07/2000,17000,0,0,0,£0.00,N,N,,UNIT 12,FEAST FIELD,HORSFORTH,LEEDS,LS18 4TJ,,CO,OFFICES AND PREMISES,2333700330441
FREIGHT TRANSPORT ASSOC LTD,05/09/2009,47500,0,0,0,£0.00,N,N,,HERMES HOUSE,MANOR ROAD,HORSFORTH,LEEDS,LS18 4DX,,CO,OFFICES AND PREMISES,2333264613850
COMBINED SELECTION LTD,30/08/2010,107000,0,0,0,£0.00,N,N,,ACACIA HOUSE,MANOR ROAD,HORSFORTH,LEEDS,LS18 4DX,,CO,OFFICES AND PREMISES,2333264360218
BEAUMONTS (LEEDS) LTD,02/07/2010,66500,0,0,0,£0.00,N,N,,BEECH HOUSE,MANOR ROAD,HORSFORTH,LEEDS,LS18 4DX,,CO,OFFICES AND PREMISES,2333264360217
LEEDS CITY COUNCIL,01/04/2000,27250,0,0,0,£0.00,N,N,,NEWLAITHES JUNIOR SCHOOL,VICTORIA CRESCENT,HORSFORTH,LEEDS,LS18 4PT,,EL,SCHOOL AND PREMISES,2333110324542
CREATIVE SUPPORT LTD,06/01/2014,18500,80,0,0,£0.00,N,N,,96A TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,Shop and Premises,2332285484540
THE COURTYARD CAFE,07/07/2012,24000,80,0,0,"-£1,000.00",N,N,,96 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CR1,Cafe and Premises,2332285484529
PIZZA EXPRESS (RESTAURANTS)LTD,24/10/2011,27000,0,0,0,£0.00,N,N,,4/6 TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CR,RESTAURANT AND PREMISES,2332285329513
PHYSIOFIT LEEDS LTD,01/12/2011,15000,0,0,0,£0.00,N,N,,155A TOWN STREET,HORSFORTH,LEEDS,,LS18 5BL,,CO,Offices and Premises,2332284660085
HARDAKERS (HORSFORTH) LTD,01/04/2005,5500,0,0,0,"-£1,000.00",N,N,,112 AND PART 114,TOWN STREET,HORSFORTH,LEEDS,LS18 4AH,,CS,SHOP AND PREMISES,2332284658305
HORSFORTH BEAUTY LTD T/A HALCYON,01/07/2011,4800,0,0,100,£0.00,N,N,,121A TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS3,Beauty Salon and Premises,2332284657071
AMELIA ELLIOT BRIDAL LTD,01/07/2011,9000,0,0,50,"-£1,000.00",N,N,,121 TOWN STREET,HORSFORTH,LEEDS,,LS18 5BL,,CS,SHOP AND PREMISES,2332284657060
WM MORRISONS SUPERMARKETS LTD,30/06/2008,4050,0,0,0,£0.00,Y,N,,VACANT PART 2ND FLOOR,57/59 TOWN STREET,HORSFORTH,LEEDS,LS18 5BP,30/03/2008,CO,OFFICES AND PREMISES,2332284624897
WM MORRISONS SUPERMARKETS LTD,12/06/2009,41000,0,0,0,£0.00,Y,N,,PT 2ND FLOOR,57/59 TOWN STREET,HORSFORTH,LEEDS,LS18 5BP,14/12/2012,CO,OFFICES AND PREMISES,2332284624886
SHUFFLE CMS LTD,01/04/2014,6400,0,0,93,£0.00,N,N,,1ST FLOOR,R/O 16/18 TOWN STREET,HORSFORTH,LEEDS,LS18 4RJ,,CO,Offices and Premises,2332284624197
HORSFORTH CONSERVATIVE CLUB,09/11/2012,6100,0,0,98,£0.00,N,N,,79 TOWN STREET,HORSFORTH,LEEDS,,LS18 5BP,,CL2,Club and Premises,2332284512799
BAXTER FENSHAM LTD,27/04/2011,21500,0,0,0,£0.00,N,N,,THE GROVE MANSE,TOWN STREET,HOSFORTH,LEEDS,LS18 5RJ,,CO,OFFICES AND PREMISES,2332284503152
WM MORRISON SUPERMARKETS PLC,03/11/2008,845000,0,0,0,£0.00,N,N,,MORRISONS,69 TOWN STREET,HORSFORTH,LEEDS,LS18 5RJ,,CS9,Superstore and Premises,2332284483406
SCHOLEBROOK ESTATE CO LTD,05/09/2011,7400,0,0,0,£0.00,Y,N,,60A TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,05/09/2011,CR1,CAFE AND PREMISES,2332284449823
DONE BROTHERS (CASH BETTING) LTD,20/05/2006,36750,0,0,0,£0.00,N,N,,37 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS2,BETTING SHOP AND PREMISES,2332284445610
FROZEN VALUE LIMITED,31/01/2005,32500,0,0,0,"-£1,000.00",N,N,,30 TOWN STREET,HORSFORTH,LEEDS,,LS18 RJ,,CS,SHOP AND PREMISES,2332284425117
ALTHAMS TRAVEL SERVICES LTD,01/04/2005,22750,0,0,0,"-£1,000.00",N,N,,30 TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS,SHOP AND PREMISES,2332284425106
CARDS ETCETERA (YORKSHIRE) LTD,04/12/2005,12500,0,0,0,"-£1,000.00",N,N,,7 TOWN STREET,HORSFORTH,LEEDS,,LS18 5JD,,CS,SHOP AND PREMISES,2332284407826
MARKET TOWN TAVERNS PLC,01/04/2003,30500,0,0,0,£0.00,N,N,,16/18 TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CL,PUBLIC HOUSE AND PREMISES,2332284369149
RIMEX INVESTMENTS LTD,11/04/2014,15250,0,0,0,£0.00,Y,N,,SUITE 4 2ND FLOOR,TITHE HOUSE,"TOWN STREET, HORSFORTH",LEEDS,LS18 5LJ,11/04/2014,CO,OFFICES AND PREMISES,2332284367746
DRYDEN WILKINSON PARTNERSHIP,07/11/2002,15500,0,0,0,£0.00,N,N,,SUITE 3 2ND FLOOR,TITHE HOUSE,"TOWN STREET, HORSFORTH",LEEDS,LS18 5LJ,,CO,OFFICES AND PREMISES,2332284367745
COMPASS RESOURCING LTD,21/06/2013,20500,0,0,0,£0.00,N,N,,SUITE 2 1ST FLOOR,TITHE HOUSE,"TOWN STREET, HORSFORTH",LEEDS,LS18 5LJ,,CO,OFFICES AND PREMISES,2332284367744
HALIFAX PLC,01/04/2000,30500,0,0,0,£0.00,N,N,,36 TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CS,SHOP AND PREMISES,2332284359925
LLOYDS BANK PLC,01/04/2000,29000,0,0,0,£0.00,N,N,,38 TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CS1,BANK AND PREMISES,2332284358674
CANCER RESEARCH UK,01/04/2000,26500,80,0,0,£0.00,N,N,,14/14A TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS,SHOP AND PREMISES,2332284357996
CATS PROTECTION,22/04/2013,11250,80,0,0,£0.00,N,N,,21 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284355670
RYECROSS LTD T/A CAFE MARINETTI,16/10/2002,22000,0,0,0,"-£1,000.00",N,N,,9-11 TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CR,RESTAURANT AND PREMISES,2332284355514
SCRIVENS LTD,09/02/2014,9700,0,0,0,£0.00,N,N,,119 TOWN STREET,HORSFORTH,LEEDS,,LS18 5BL,,CS,SHOP AND PREMISES,2332284354504
PETER KILMARTIN & PARTNERS LTD,01/04/2000,24500,0,0,0,£0.00,N,N,,1ST FLOOR,12 TOWN STREET,HORSFORTH,LEEDS,LS18 4RJ,,CO,OFFICES AND PREMISES,2332284351644
LEEDS CITY COUNCIL,01/04/2000,81000,0,0,0,£0.00,N,N,,ST MARGARETS C OF E PRIMARY SCHOOL,TOWN STREET,HORSFORTH,LEEDS,LS18 4BL,,EL,SCHOOL AND PREMISES,2332284351560
LONSDALE CONTRACTS LTD,05/04/2011,5700,0,0,100,£0.00,N,N,,1ST FLOOR,94 TOWN STREET,HORSFORTH,LEEDS,LS18 4AP,,CO,OFFICES AND PREMISES,2332284350811
WELLS CONNOR & CO SOLS,01/04/2000,17750,0,0,0,£0.00,N,N,,145/147 TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CO,OFFICES AND PREMISES,2332284345552
CO-OPERATIVE GROUP LIMITED,18/07/2009,16500,0,0,0,£0.00,N,N,,74 TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS,SHOP AND PREMISES,2332284344829
QUEENSBURY JEWELLERS LTD,01/04/2000,6100,0,0,0,"-£1,000.00",N,N,,6A TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS,SHOP AND PREMISES,2332284332106
CLYDESDALE BANK PLC,01/04/2000,29750,0,0,0,£0.00,N,N,,32 TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,,CS1,BANK AND PREMISES,2332284331886
LEEDS CITY COUNCIL,01/04/2000,66500,0,0,0,£0.00,N,N,,THE BROWNLEE STONE CENTRE,TOWN STREET,HORSFORTH,LEEDS,LS18 5BL,,EM,Library and Premises,2332284327886
WIDEBARN LTD,19/06/2000,40000,0,0,0,£0.00,N,N,,THE ORCHARD,TOWN STREET,HORSFORTH,LEEDS,LS18 5BL,,CO,OFFICES AND PREMISES,2332284324375
BARCLAYS BANK PLC,01/04/2000,28750,0,0,0,£0.00,N,N,,68 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AX,,CS1,BANK AND PREMISES,2332284323410
STUARTS WINE BAR LTD,01/04/2002,72500,0,0,0,£0.00,N,N,,BAR 166,TOWN STREET,HORSFORTH,LEEDS,LS18 4AQ,,CL,PUBLIC HOUSE AND PREMISES,2332284320853
SANTANDER UK PLC,01/04/2000,14250,0,0,0,£0.00,N,N,,42 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,SHOP AND PREMISES,2332284320445
ELWOOD LIMITED T/A  TAXASSIST DIRECT,23/06/2003,9300,0,0,45,£0.00,N,N,,89 TOWN STREET,HORSFORTH,LEEDS,,LS18 5BP,,CS,SHOP AND PREMISES,2332284320258
GREENE KING BREWING & RETAILING LTD,17/06/2014,32000,0,0,0,£0.00,Y,N,,BAR SIXTY TWO,TOWN STREET,HORSFORTH,LEEDS,LS18 4AP,17/06/2014,CL,Public House and Premises,2332284316964
AGE UK,24/08/2006,17250,80,0,0,£0.00,N,N,,85A TOWN STREET,HORSFORTH,LEEDS,,LS18 5BP,,CS,SHOP AND PREMISES,2332284313045
WILLIAM HILL ORGANISATION LTD,01/04/2000,21500,0,0,0,£0.00,N,N,,43 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS2,BETTING SHOP AND PREMISES,2332284313038
COOPLAND&SON (SCARBOROUGH) LTD,06/02/2010,16500,0,0,0,£0.00,Y,N,,41 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,01/04/2014,CS,SHOP AND PREMISES,2332284313037
BROOKS NEWS LTD,29/03/2014,16750,0,0,0,"-£1,000.00",N,N,,39 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284313036
GOING PLACES LEISURE TRAVEL LTD,01/04/2000,13750,0,0,0,£0.00,N,N,,70 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,SHOP AND PREMISES,2332284313034
TUI UK LTD,01/04/2000,14750,0,0,0,£0.00,N,N,,92 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,SHOP AND PREMISES,2332284313028
HSBC BANK PLC,01/04/2000,25000,0,0,0,£0.00,N,N,,88 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS1,BANK AND PREMISES,2332284313026
LEEDS BUILDING SOCIETY,01/04/2000,20500,0,0,0,£0.00,N,N,,80 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,SHOP AND PREMISES,2332284313025
KEITH JAMES LTD,16/11/2005,21250,0,0,0,"-£1,000.00",N,N,,124/128 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AQ,,CS,SHOP AND PREMISES,2332284313022
D BULLOCK LTD T/AS SHOE RENEW,01/04/2000,7500,0,0,75,-£883.12,N,N,,122 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AH,,CS,SHOP AND PREMISES,2332284313021
J & S VENTURE LTD T/A COSTA COFFEE,27/12/2010,17500,0,0,0,"-£1,000.00",N,N,,33 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284313010
DANIEL HAYTON LTD,18/01/2013,17000,0,0,0,"-£1,000.00",N,N,,31 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284313009
ST GEMMA'S HOSPICE,28/10/2002,16500,80,0,0,"-£1,000.00",N,N,,29 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284313008
UNITED CO-OPERATIVES LTD,01/04/2000,11750,0,0,0,"-£1,000.00",N,N,,19 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284313004
GREGGS PLC,04/04/2008,17500,0,0,0,£0.00,N,N,,33A TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284312882
MAX SPIELMANN LTD,19/12/2008,17000,0,0,0,"-£1,000.00",N,N,,27 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284312881
HARRIETS (YORKSHIRE) LTD,20/03/2007,9900,0,0,0,"-£1,000.00",N,N,,66 TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CS,SHOP AND PREMISES,2332284312880
SHELTER,01/02/2013,15000,80,0,0,£0.00,N,N,,34 TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CS,SHOP AND PREMISES,2332284312872
AGE UK,01/04/2000,12750,80,0,0,£0.00,N,N,,17 TOWN STREET,HORSFORTH,LEEDS,,LS18 5LJ,,CS,SHOP AND PREMISES,2332284312865
SECRET BLISS,01/04/2014,9900,0,0,0,£0.00,N,N,,3/5 TOWN STREET,HORSFORTH,LEEDS,,LS18 5JD,,CS3,BEAUTY SALON AND PREMISES,2332284312864
R G BUCKLE CONTRACT SERVICES LTD,04/09/2003,720,0,0,0,£0.00,Y,Y,Rateable Value,DAVID C HORTON AND CO LTD R/O,94A TOWN STREET,HORSFORTH,LEEDS,LS18 5RJ,04/09/2003,CW3,STORE AND PREMISES,2332284311115
R G BUCKLE CONTRACT SERVICES LTD,01/04/2011,650,0,0,0,£0.00,Y,Y,Rateable Value,R/O 94A TOWN STREET,HORSFORTH,LEEDS,,LS18 5RJ,01/04/2011,CW3,STORE AND PREMISES,2332284308041
LAWSON & CO,09/04/2008,6100,0,0,98,£0.00,N,N,,1ST FLOOR,90 TOWN STREET,HORSFORTH,LEEDS,LS18 4AP,,CO,OFFICES AND PREMISES,2332284307456
COMPLIANCE NEWS LTD,24/03/2010,2000,0,0,100,£0.00,N,N,,PART 2ND FLOOR,76 TOWN STREET,HORSFORTH,LEEDS,LS18 4AP,,CO,OFFICES AND PREMISES,2332284307242
GORDON ENGLISH (LANDSCAPING) LTD,01/04/2000,1325,0,0,100,£0.00,N,N,,GORDON ENGLISH LANDSCAPING LTD,2ND FLOOR,"76 TOWN STREET, HORSFORTH",LEEDS,LS18 4AP,,CO,OFFICES AND PREMISES,2332284307241
CANCER RESEARCH UK,10/12/2012,6200,80,0,0,£0.00,N,N,,14B TOWN STREET,HORSFORTH,LEEDS,,LS18 4RJ,,CO,OFFICES AND PREMISES,2332284307229
DAYNIGHTTRAVEL LTD T/A ABBEY CARS,17/07/2013,4250,0,0,100,£0.00,N,N,,58A TOWN STREET,HORSFORTH,LEEDS,,LS18 4AP,,CO,OFFICES AND PREMISES,2332284101431
LEEDS CITY COUNCIL,01/04/2007,15000,0,0,0,£0.00,N,N,,3 THE GREEN,HORSFORTH,LEEDS,,LS18 5JB,,ML,OFFICES AND PREMISES,2332283357973
HORSFORTH VILLAGE HISTORICAL SOC,01/04/2000,22250,80,0,0,£0.00,N,N,,HORSFORTH MUSEUM,5 THE GREEN,HORSFORTH,LEEDS,LS18 5JB,,EM1,MUSEUM AND PREMISES,2332283357972
NO 2 THE GREEN LTD,02/12/2013,12750,0,0,0,"-£1,000.00",N,N,,2/3 THE GREEN,HORSFORTH,LEEDS,,LS18 4RH,,CS,SHOP AND PREMISES,2332283353580
CARROLL ELECTRICAL SERVICES,01/01/2004,5000,0,0,100,£0.00,N,N,,THE WORKSHOP,QUARRY TERRACE,HORSFORTH,LEEDS,LS18 4AT,,IF3,WORKSHOP AND PREMISES,2332282311111
BRICK LINK LTD,14/03/2005,9300,0,0,45,£0.00,N,N,,BROADGATE HOUSE,NORTH BROADGATE LANE,HORSFORTH,LEEDS,LS18 4AB,,CO,OFFICES AND PREMISES,2332281325062
BOTTLE GREEN LTD,01/04/2000,59500,0,0,0,£0.00,N,N,,19 NEW STREET,HORSFORTH,LEEDS,,LS18 4BH,,CO,OFFICES AND PREMISES,2332280355747
NOVELLA SATCOMS LTD,27/04/2006,74000,0,0,0,£0.00,N,N,,KERRY HOUSE,KERRY STREET,HORSFORTH,LEEDS,LS18 4AW,,CO,OFFICES AND PREMISES,2332279437459
RODLEY INTERIORS LTD,02/08/2004,5900,0,0,100,£0.00,N,N,,8 KERRY STREET,HORSFORTH,LEEDS,,LS18 4AW,,CO,OFFICES AND PREMISES,2332279419671
SOMERS MCGILL & CO ACCOUNTANTS,01/04/2000,8900,0,0,52,£0.00,N,N,,6 KERRY STREET,HORSFORTH,LEEDS,,LS18 4AW,,CO,OFFICES AND PREMISES,2332279310255
A R FACER LTD,01/04/2000,10500,0,0,25,£0.00,N,N,,4 KERRY STREET,HORSFORTH,LEEDS,,LS18 4AW,,IF,FACTORY AND PREMISES,2332279307974
PROXIMITY RESOURCING LTD,01/01/2010,11750,0,0,0,£0.00,N,N,,6 KERRY HILL,HORSFORTH,LEEDS,,LS18 4AY,,CO,OFFICES AND PREMISES,2332278627177
PROXIMITY RESOURCING LTD,01/01/2010,12250,0,0,0,£0.00,N,N,,4 KERRY HILL,HORSFORTH,LEEDS,,LS18 4AY,,CO,Offices and Premises,2332278627166
THE WRITE RESEARCH COMPANY LTD,14/08/2013,17250,0,0,0,£0.00,N,N,,UNIT 3 GND FLOOR,KERRY HILL,HORSFORTH,LEEDS,LS18 4JR,,CO,Offices and Premises,2332278615089
LANSINOH LABORATORIES INC,28/08/2013,10250,0,0,0,£0.00,N,N,,UNIT 2 GND FLOOR,KERRY HILL,HORSFORTH,LEEDS,LS18 4JR,,CO,Offices and Premises,2332278615078
LANSINOH (UK) LTD T/A LANSINOH LAB,24/06/2010,20750,0,0,0,£0.00,N,N,,UNITS 10/11A JASON HOUSE,KERRY HILL,HORSFORTH,LEEDS,LS18 4JR,,CO,Offices and Premises,2332278496772
THE WHITE SEA & BALTIC CO LTD,24/04/2009,28250,0,0,0,£0.00,N,N,,8 KERRY HILL,HORSFORTH,LEEDS,,LS18 4AL,,CO,OFFICES AND PREMISES,2332278481800
TELEPERFORMANCE LTD,01/11/2013,7700,0,0,0,£0.00,N,N,,PT 1ST FLOOR WEST WING,JASON HOUSE,KERRY HILL HORSFORTH,LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278481096
SLR CONSULTING LTD,29/09/2008,21500,0,0,0,£0.00,N,N,,SUITE 1 JASON HOUSE,KERRY HILL,HORSFORTH,LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278481085
LLOYDS  BANK PLC,20/06/2011,7200,0,0,0,£0.00,Y,N,,1ST FLOOR,2 KERRY HILL,HORSFORTH,LEEDS,LS18 4AY,20/06/2011,CO,OFFICES AND PREMISES,2332278367885
YUNSA UK LTD,30/11/2007,11250,0,0,0,£0.00,N,N,,UNIT 11B,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278359076
TELEPERFORMANCE LTD,01/11/2013,25250,0,0,0,£0.00,N,N,,UNIT 7 1ST FLOOR,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278325643
TELEPERFORMANCE LTD,01/11/2013,18750,0,0,0,£0.00,N,N,,UNIT 9,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278325642
MEDICAL MONEY MANAGEMENT LLP,05/08/2002,12750,0,0,0,£0.00,N,N,,UNIT 8 1ST FLOOR,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278325641
TELEPERFORMANCE LTD,01/11/2013,20750,0,0,0,£0.00,N,N,,SUITE 5 WEST WING,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278325638
EAST STREET ARTS,23/12/2013,12500,80,0,0,£0.00,N,N,,GROUND FLOOR,JASON HOUSE,"KERRY HILL, HORSFORTH",LEEDS,LS18 4JR,,CO,OFFICES AND PREMISES,2332278325043
LEEDS CITY COUNCIL,01/04/2000,11500,0,0,0,£0.00,N,N,,HALL PARK,HALL LANE,HORSFORTH,LEEDS,LS18 5JY,,CW3,STORE AND PREMISES,2332277325059
CLOVERLEAF MORTGAGES LTD,01/05/2004,2750,0,0,100,£0.00,N,N,,132A HALL LANE,HORSFORTH,LEEDS,,LS18 5JQ,,CO,Offices and Premises,2332277320260
HORSFORTH HALL PARK CRICKET CLUB,01/04/2000,5400,0,50,100,£0.00,N,N,,HORSFORTH HALL PARK CRICKET CLUB,HALL LANE,HORSFORTH,LEEDS,LS18 5JE,,LS,SPORTS GROUND AND PREMISES,2332277313775
HORSFORTH VILLAGE HISTORICAL SOC,01/04/2003,2750,80,0,0,£0.00,N,N,,2 CHURCH ROAD,HORSFORTH,LEEDS,,LS18 5LQ,,IF3,EDUCATION AND STUDY CENTRE,2332276307965
SUNNYBANK DAY NURSERIES LTD,01/04/2000,6000,0,0,0,£0.00,N,N,,6 CHURCH LANE,HORSFORTH,LEEDS,,LS18 5LA,,EN1,DAY NURSERY AND PREMISES,2332275354483
