Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
20,N/D,SCS1a,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,543837,1,N/A,N/A,Law,,1
21,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A1 - MoJ Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,2072227,0.7,N/A,N/A,Law,Job Share,1
21,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A1 - MoJ Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,2072227,0.7,N/A,N/A,Law,Job Share,1
22,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A2 - MoJ Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1910343,1,N/A,N/A,Law,Includes 1 seconded In Legal Trainee not paid by GLD,1
23,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A3 - MoD Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1286144,1,N/A,N/A,Law,,1
24,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team B4 - Justice & Security Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1622572,0.79,N/A,N/A,Law,Job Share,1
24,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team B4 - Justice & Security Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1622572,0.86,N/A,N/A,Law,Job Share and paid by the Foreign & Commonwealth Office,1
25,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,"Litigation A - Private Law & Inquiries Team A5 -  General Private Law, Companies, Costs and Inquiries Team",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1675156,1,N/A,N/A,Law,,1
26,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team N1- National Security and Counter Terrorism Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1228415,1,N/A,N/A,Law,,1
143,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation A - Private Law & Inquiries Team A8 - MoD Private Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,20,1061079,1,N/A,N/A,Law,,1
27,N/D,SCS1a,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,18,1169224,1,N/A,N/A,Law,,1
28,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B1 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1715255,1,N/A,N/A,Law,,1
29,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B2 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1828932,1,N/A,N/A,Law,,1
30,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B3 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1647229,1,N/A,N/A,Law,,1
31,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B8 - Immigration,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1671908,1,N/A,N/A,Law,,1
32,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team A4 - General Private Law and The Attorney-General group and The Special Advocates Support Office,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1809080,1,N/A,N/A,Law,,1
33,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B5 - General Public Law & Planning,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,1561840,1,N/A,N/A,Law,,1
34,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for Litigation,Attorney General's Office,Government Legal Department,Litigation B - Public Law Team B6 - General Public Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,27,917892,1,N/A,N/A,Law,,1
135,Cathy Adams,SCS2,Director - Legal,To manage the provision of legal services for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,282804,1,90000,94999,Law,,1
35,Daniel Denman,SCS2,Director - Legal,To manage the provision of legal services for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,N/D,1,90000,94999,Law,Team is too small to detail.  Salary Cost of Reports reported under Post ID 2,1
36,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers - Legislation,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,35,407593,0.89,N/A,N/A,Law,,1
37,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers - EU Business,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,35,344969,1,N/A,N/A,Law,,1
140,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers -  EU Withdrawal,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,135,361270,1,N/A,N/A,Law,,1
141,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DExEU,Attorney General's Office,Government Legal Department,Department for Exiting the European Union Legal Advisers -  Future relationship,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,135,471209,1,N/A,N/A,Law,,1
38,Stephen Amos,SCS2,Director - Legal,To manage the provision of legal services for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,2,353087,1,90000,94999,Law,Includes the combined salary of reporting post 150,1
39,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - General Policy & National Security Legal Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,534824,0.9,N/A,N/A,Law,,1
40,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - Constitutional Law Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,343385,1,N/A,N/A,Law,Includes 1 seconded in G7 not paid by GLD,1
41,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - Corporate & Government Service Legal Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,300249,0.8,N/A,N/A,Law,,1
150,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for CO,Attorney General's Office,Government Legal Department,Cabinet Office Legal - Wales Office Legal Advisers,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,38,N/D,0.75,N/A,N/A,Law,Team is too small to detail.  Salary costs of reports reported under Post ID 38,1
48,Claire Johnston,SCS3,Director General - Legal,"Board Member responsible for Legal Teams -  CLG, DCMS, HSE, DIFID, DH, DFE, GEO, SI HUB, MOD, DWP & DFT",Attorney General's Office,Government Legal Department,Directorate B,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,1,N/D,1,120000,124999,Law,,1
42,Elizabeth Hambley,SCS2,Director - Legal,"To manage the  provision of Legal Services for DCMS, HSE & DFID",Attorney General's Office,Government Legal Department,"Department for Culture, Media and Sport,  Health and Safety Executive and Department for International Development",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,285585,1,90000,94999,Law,,1
43,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DCMS,Attorney General's Office,Government Legal Department,"Department for Culture, Media and Sport - Digital Economy and Telecoms  & DFID",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,42,386600,1,N/A,N/A,Law,,1
44,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DCMS,Attorney General's Office,Government Legal Department,"Department for Culture, Media and Sport - Culture, Sports and Gambling Team",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,42,434875,0.81,N/A,N/A,Law,,1
45,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DCMS,Attorney General's Office,Government Legal Department,"Department for Culture, Media and Sport - Media and Data Protection Legal Team",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,42,442129,0.78,N/A,N/A,Law,,1
46,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for HSE,Attorney General's Office,Government Legal Department,Health & Safety Executive - Team A,N/A,N/A,42,N/D,1,N/A,N/A,Law,Post has been Eliminated . Post has been combined with Post ID 47,1
47,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for HSE,Attorney General's Office,Government Legal Department,Health & Safety Executive,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,42,520088,1,N/A,N/A,Law,,1
49,Wendy Hardaker,SCS2,Director - Legal,To manage the provision of legal Services for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,765434,1,90000,94999,Law,,1
50,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group Team A - Commercial Litigation,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,971922,1,N/A,N/A,Law,,1
51,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,"Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,769065,1,N/A,N/A,Law,,1
52,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group Team C - DH,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,920852,1,N/A,N/A,Law,,1
53,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,"Commercial Law Group Team D - HO, DCLG",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,310298,1,N/A,N/A,Law,,1
54,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,"Commercial Law Group Team E - DEFRA, DFE",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,835092,1,N/A,N/A,Law,,1
55,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group Team F - MOJ,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,963427,1,N/A,N/A,Law,Includes 1 seconded in G6 not paid by GLD,1
56,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group Team G - DWP,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,1984313,0.92,N/A,N/A,Law,Shared Post,1
56,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for the Commercial Law Group,Attorney General's Office,Government Legal Department,Commercial Law Group Team G - DWP,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,49,1984313,1,N/A,N/A,Law,Shared Post,1
57,Mel Nebhrajani,SCS2,Director - Legal,To manage the provision of Legal Services for DH,Attorney General's Office,Government Legal Department,Department of Health,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,542340,1,85000,89999,Law,,1
58,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,"Department of Health - MHRA, Nutrition and EU",N/A,N/A,57,N/D,1,N/A,N/A,Law,Post has been Eliminated,1
59,Eliminated,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health  - NHS (Organisation and Secondary Care),N/A,N/A,57,N/D,0.89,N/A,N/A,Law,Post has been Eliminated,1
59,Eliminated,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health  - NHS (Organisation and Secondary Care),N/A,N/A,57,N/D,0.83,N/A,N/A,Law,Post has been Eliminated,1
60,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,"Department of Health - NHS Pensions, Professional Regulation and Mental Health Capacity",N/A,N/A,57,N/D,1,N/A,N/A,Law,Post has been Eliminated,1
61,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,"Department of Health  - Primary Care, Public Health and Local Government",N/A,N/A,57,N/D,0.83,N/A,N/A,Law,Post has been Eliminated,1
62,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,"Department of Health - Social Care, Care Quality Commission and Ethics",N/A,N/A,57,N/D,1,N/A,N/A,Law,Post has been Eliminated,1
144,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health - Public Health & Ethics,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,426315,0.83,N/A,N/A,Law,,1
145,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health - EU & Programmes,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,337936,0.83,N/A,N/A,Law,,1
146,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health - Standards & Social Care,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,360820,1,N/A,N/A,Law,,1
147,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health - NHS Workforcee & Funding,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,387066,0.94,N/A,N/A,Law,,1
148,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,Department of Health - NHS & Mental Health,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,391388,1,N/A,N/A,Law,,1
149,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DH,Attorney General's Office,Government Legal Department,"Department of Health - MHRA, Medicines & Information",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,57,733025,1,N/A,N/A,Law,,1
63,Anne McGaughrin,SCS2,Director - Legal (Job Share),"To manage the provision of legal services for DFE, GEO & SI Hub",Attorney General's Office,Government Legal Department,"Department for Education, Government Equalities Office & Statutory Instruments Hub",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,751529,0.6,90000,94999,Law,Job Share,1
63,Jane HIll,SCS2,Director - Legal (Job Share),"To manage the provision of legal services for DFE, GEO & SI Hub",Attorney General's Office,Government Legal Department,"Department for Education, Government Equalities Office & Statutory Instruments Hub",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,751529,0.67,90000,94999,Law,Job Share,1
64,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Academies & Free Schools,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,522566,0.6,N/A,N/A,Law,,1
65,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Schools & Pupils,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,365330,1,N/A,N/A,Law,Job Share,1
65,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Schools & Pupils,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,365330,0.8,N/A,N/A,Law,Job Share,1
66,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for GEO,Attorney General's Office,Government Legal Department,Government Equalities Office,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,272835,0.8,N/A,N/A,Law,,1
67,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Children's Law,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,404079,0.89,N/A,N/A,Law,,1
68,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Teaching & Independent Schools,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,353370,1,N/A,N/A,Law,,1
136,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Further Education And Apprenticeships Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,277275,1,N/A,N/A,Law,,1
137,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DFE,Attorney General's Office,Government Legal Department,Department for Education - Higher Education Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,477367,1,N/A,N/A,Law,,1
69,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the SI Hub,Attorney General's Office,Government Legal Department,Statutory Instruments Hub,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,501827,1,N/A,N/A,Law,,1
138,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for the SI Hub,Attorney General's Office,Government Legal Department,Statutory Instruments Hub,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,63,512563,0.6,N/A,N/A,Law,,1
70,Isabel Letwin,SCS2,Director - Legal,To manage the provision of Legal Services for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,518446,1,100000,104999,Law,,1
71,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - Operational and International Humanitarian Law Division,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,329087,1,N/A,N/A,Law,,1
72,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - General Law Division,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,437977,1,N/A,N/A,Law,Reporting staff Includes 1 G6 based in Germany and paid by MOD,1
73,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,"Ministry of Defence - Command, Discipline & Constitutional Division",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,362691,1,N/A,N/A,Law,Job Share,1
73,N/D,SCS1,Deputy Director - Legal (Job Share),To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,"Ministry of Defence - Command, Discipline & Constitutional Division",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,362691,1,N/A,N/A,Law,Job Share,1
74,Eliminated,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - Legal Services in Germany,N/A,thetreasurysolicitor@governmentlegal.gov.uk,70,N/D,1,N/A,N/A,Law,Post has been Eliminated,1
75,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - Legal Advisor's Office in Cyprus,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,N/D,1,N/A,N/A,Law,GLD employee paid by MOD and reports to Post ID 70.  Team is also paid by MOD.,1
76,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - Commercial Law Division,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,1210255,1,N/A,N/A,Law,,1
139,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for MOD,Attorney General's Office,Government Legal Department,Ministry of Defence - Property Team,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,70,194398,1,N/A,N/A,Law,,1
77,Frances Nash,SCS2,Director - Legal,To manage the provision of Legal Services for DWP,Attorney General's Office,Government Legal Department,Department for Work and Pensions Legal Services,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,488240,1,100000,104999,Law,,1
78,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DWP,Attorney General's Office,Government Legal Department,"Department for Work and Pensions - EU, Equalities, Social Justice and Employment Benefits",020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,77,492859,0.8,N/A,N/A,Law,,1
79,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DWP,Attorney General's Office,Government Legal Department,Department for Work and Pensions - Pensions and Child Maintenance,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,77,741603,1,N/A,N/A,Law,,1
80,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DWP,Attorney General's Office,Government Legal Department,Department for Work and Pensions - Working Age Benefits,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,77,812113,1,N/A,N/A,Law,,1
81,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DWP,Attorney General's Office,Government Legal Department,Department for Work and Pensions- Benefit Procedures and Disability Benefits,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,77,527020,0.83,N/A,N/A,Law,,1
82,N/D,SCS1,Deputy Director - Legal,To provide legal services and support for DWP,Attorney General's Office,Government Legal Department,Department for Work and Pensions - Universal Credit and Housing Support,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,77,559088,0.9,N/A,N/A,Law,,1
83,Nick Olley,SCS2,Director - Legal,To manage the provision of legal services for DFT,Attorney General's Office,Government Legal Department,Department for Transport,020 7210 3000,thetreasurysolicitor@governmentlegal.gov.uk,48,635912,1,130000,134999,Law,,1
