Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,NETWORKING COSTS,Capital Projects,CSC COMPUTER SCIENCES LTD,5201478476A,101841
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,BECKMAN COULTER,1388560,48745.91
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,LAB REAGENTS-BUFFERS COMPUND SOLNS,Clinical Support,OXFORD GENE TECHNOLOGY,SIN005313,51216
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,LAB REAGENTS-BUFFERS COMPUND SOLNS,Clinical Support,OXFORD GENE TECHNOLOGY,SIN005313,10243.2
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,SOUTH WEST HIGHWAYS LIMITED,C20172B,59617.06
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,SOUTH WEST HIGHWAYS LIMITED,C20172B,6575.76
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,2175
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,1652
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,3521.78
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,6637
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,10940
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,435
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,330.4
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,704.36
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,1327.4
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Capital Projects,OLYMPUS KEYMED LTD,CD2329696,2188
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MED PROSTH - PACEMAKERS,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500270213,14850
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MEDPROSTH - OTHER,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500270213,71500
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MED PROSTH - PACEMAKERS,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500270213,2970
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MEDPROSTH - OTHER,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500270213,14300
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,4890
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,2499
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,920
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,1260
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,230
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,555
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,4990
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,460
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,355
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,3240
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,2920
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,420
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,978
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,499.8
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,184
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,252
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,46
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,111
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,998
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,92
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,71
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,648
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,584
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Capital Projects,VIDEO SOUTH MEDICAL TELEVISION,4581,84
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MEDICAL EQUIPMENT 5 YEARS,Capital Projects,MEDICAL IMAGING SYSTEMS,72064,34000
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,MEDICAL EQUIPMENT 5 YEARS,Capital Projects,MEDICAL IMAGING SYSTEMS,72064,6800
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,Agency Medical Consultant,Medicine,TOTAL ASSIST RECRUITMENT LTD,20079847,25380.85
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,Agency Medical Consultant,Medicine,TOTAL ASSIST RECRUITMENT LTD,20079847,5076.17
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,POSTAGE & CARRIAGE,Facilities,PITNEY BOWES LTD,BF014482,27156.32
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105137784,6265.3
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105137784,53284.7
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105137784,313.27
Department of Health,Salisbury NHS Foundation Trust,27-Oct-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105137784,10656.94
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7304118,7500.44
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7304118,4689.2
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7304118,17474.7
Department of Health,Salisbury NHS Foundation Trust,13-Oct-17,HEALTHCARE - NHS TRUSTS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7305038,31880.47
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7306712,4616.66
Department of Health,Salisbury NHS Foundation Trust,20-Oct-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7306712,23749.39
Department of Health,Salisbury NHS Foundation Trust,06-Oct-17,ETS UNITARY CHARGE,Corporate,SALISBURY HEALTHCARE FACILITIES LTD,386,309277.51
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DENTAL SURGERY SUNDRIES,Surgery,NHS LOGISTICS,1018142596,8.73
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,HEALTHCARE - WEAR,Facilities,NHS LOGISTICS,1018142596,92.33
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1018142596,97.53
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,86.55
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018142596,21.3
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018142596,15.48
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,47.6
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,50.3
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,67.07
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,26.65
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,29.07
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,M & S EQUIPELECTEQUIPINST - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,20.71
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1018142596,872.67
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018142596,184.03
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,SURGICAL INSTRUMENTS: GENERAL,Musculo-Skeletal,NHS LOGISTICS,1018142596,103.42
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Medicine,NHS LOGISTICS,1018142596,23.08
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,HEALTHCARE - WEAR,Clinical Support,NHS LOGISTICS,1018142596,43.33
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,22.61
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support,NHS LOGISTICS,1018142596,255.58
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Surgery,NHS LOGISTICS,1018142596,7.2
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OPTICAL  -  OTHER,Surgery,NHS LOGISTICS,1018142596,53
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018142596,37.61
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,11.42
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,155.23
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,M & S EQUIPELECTEQUIPINST - OTHER,Clinical Support,NHS LOGISTICS,1018142596,27.85
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Clinical Support,NHS LOGISTICS,1018142596,29.9
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,16.33
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,5.73
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,14.98
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018142596,8.71
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TUBES,Musculo-Skeletal,NHS LOGISTICS,1018142596,6.85
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018142596,3.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018142596,4.39
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018142596,4.39
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,59.78
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,5.89
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,3.91
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018142596,6.82
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018142596,0.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TOILETRIES PERSONAL HYGIENE PRODUCTS,Musculo-Skeletal,NHS LOGISTICS,1018142596,8.25
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DISPOSABLE THEATRE DRAPES WIPES,Musculo-Skeletal,NHS LOGISTICS,1018142596,7.1
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Surgery,NHS LOGISTICS,1018142596,3.72
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018142596,37.37
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Clinical Support,NHS LOGISTICS,1018142596,31.96
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Surgery,NHS LOGISTICS,1018142596,10.22
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support,NHS LOGISTICS,1018142596,319.8
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Clinical Support,NHS LOGISTICS,1018142596,25
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,18.93
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,30.67
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,415.33
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-ANALYSERS,Clinical Support,NHS LOGISTICS,1018142596,38.1
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,12.92
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,748.67
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,11.42
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,32.08
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,62.08
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-ANALYSERS,Clinical Support,NHS LOGISTICS,1018142596,10.19
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,COOKING & KITCHEN UTENSILS,Clinical Support,NHS LOGISTICS,1018142596,3.8
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,6.3
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018142596,85.4
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018142596,318.5
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Medical,NHS LOGISTICS,1018142596,18.4
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LAB EQUIP-LABORATORY APPARATUS,Medical,NHS LOGISTICS,1018142596,29
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Medical,NHS LOGISTICS,1018142596,23.17
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Medical,NHS LOGISTICS,1018142596,8.88
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Medical,NHS LOGISTICS,1018142596,6.82
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,BAGS SACKS - OTHER,Facilities,NHS LOGISTICS,1018142596,87.5
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,BAGS SACKS - OTHER,Facilities,NHS LOGISTICS,1018142596,26.7
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,LIQUID REFRESHMENTS,Facilities,NHS LOGISTICS,1018142596,7.82
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,66.13
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,27.5
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DISPOSABLE THEATRE DRAPES WIPES,Facilities,NHS LOGISTICS,1018142596,283.2
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,25.5
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,4.3
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,14.42
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,85.2
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DISPOSABLE THEATRE DRAPES WIPES,Facilities,NHS LOGISTICS,1018142596,91.2
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018142596,2.48
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018142596,1.88
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,4.39
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018142596,0.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,6.23
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018142596,14.42
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TOILETRIES PERSONAL HYGIENE PRODUCTS,Medicine,NHS LOGISTICS,1018142596,3.08
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018142596,2.48
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Medicine,NHS LOGISTICS,1018142596,5.53
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1018142596,16.33
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018142596,1.88
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,3.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018142596,59.78
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018142596,0.7
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018142596,4.88
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,3.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,3.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,3.35
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018142596,4.39
Department of Health,Salisbury NHS Foundation Trust,31-Oct-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support,NHS LOGISTICS,1018142596,112.05
