Body name,Body,Service label,Service division label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00029,1500.42 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00030,1020.35 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00031,907.48 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00032,477.76 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00033,752.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00034,2998.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00035,468.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00036,545.45 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00037,790.25 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00038,1030.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00039,453.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00040,635.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Materials,205,24/12/2010,1012-00041,592.30 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Materials,205,24/12/2010,1012-00042,468.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00043,551.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00044,1261.19 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00045,628.88 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00046,1728.02 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00047,452.91 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,24/12/2010,1012-00048,920.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00049,1272.90 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00050,702.22 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00051,1153.17 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,29/12/2010,1012-00052,920.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Employees,Temporary Staff-Basic,009,29/12/2010,1012-00053,920.00 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00054,896.64 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00055,1607.48 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00056,1575.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00057,3395.51 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00058,527.63 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00059,575.30 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00060,1451.61 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00061,922.56 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00062,1345.91 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00063,4030.35 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00064,1869.26 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,29/12/2010,1012-00065,1404.91 ,R,A D Simpson Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Voluntary Sector,505,17/12/2010,1012-00066,2609.26 ,R,A E SPEIGHT
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Capital,CONSTRUCTION,3,09/12/2010,1012-00067,15359.95 ,C,A E YATES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Capital,OTHER COSTS,7,09/12/2010,1012-00068,946.69 ,C,A E YATES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Capital,CONSTRUCTION,3,17/12/2010,1012-00069,35626.53 ,C,A E YATES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Supplies and services,Operational Furniture And Equipment,203,09/12/2010,1012-00070,770.73 ,R,A Holdsworth
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Operational Materials,205,10/12/2010,1012-00071,1682.00 ,R,A J H Pump Supply & Repair Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Children Looked After,Third party payments,General External Residential Placements,507,08/12/2010,1012-00072,13000.00 ,R,A Lowrie Care Service Limited
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Customer Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00073,503.45 ,R,A MOHAMMED
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Customer Services,Supplies and services,Other Hired And Contracted Services,265,06/12/2010,1012-00074,1609.00 ,R,A NAMAKI
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Customer Services,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00075,501.50 ,R,A NAMAKI
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Libraries Arts and Heritage,Supplies and services,Publication And Promotion,267,16/12/2010,1012-00076,490.00 ,R,A Y CREATIVE SERVICES
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Housing Needs,Transport,Public Transport Expenses,310,02/12/2010,1012-00077,1895.00 ,R,A ZOOM TAXIS
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Other Hired And Contracted Services,265,01/12/2010,1012-00078,840.18 ,R,AAZTEC ASSOCIATES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Older People - 65 and over,Third party payments,Residential Care Emi,571,22/12/2010,1012-00079,1189.60 ,R,ABBEY LEA RESIDENTIAL CARE HOME
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Adults under 65 Mental/Dis,Third party payments,Residential,580,22/12/2010,1012-00080,1174.20 ,R,Abbeydale Care Home
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Other Organisations,511,16/12/2010,1012-00081,4515.50 ,R,ABC DAYCARE
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Children's Services,Early Years Service,Third party payments,Services Rendered By Other Organisations,511,17/12/2010,1012-00082,1285.51 ,R,ABC NURSERY AT LUFC
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Economic Development,Supplies and services,Other Hired And Contracted Services,265,22/12/2010,1012-00083,3285.23 ,R,ABDN
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Regeneration,Supplies and services,'Well Being' Large Grants Projects,230,01/12/2010,1012-00084,2500.00 ,R,Aberford Parish Plan
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00085,2830.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00086,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00087,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00088,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00089,4970.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00090,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00091,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00092,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00093,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00094,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00095,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00096,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00097,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,03/12/2010,1012-00098,4670.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Adult Social Care,Capital,OTHER COSTS,7,10/12/2010,1012-00099,755.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,10/12/2010,1012-00100,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,20/12/2010,1012-00101,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,20/12/2010,1012-00102,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,20/12/2010,1012-00103,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,20/12/2010,1012-00104,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,20/12/2010,1012-00105,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00106,4980.20 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00107,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00108,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00109,4400.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00110,4885.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Environmental Health,Capital,CONSTRUCTION,3,24/12/2010,1012-00111,4750.00 ,C,ABLE BATHING & BUILDING CONTRACTORS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00112,1610.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,09/12/2010,1012-00113,725.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,10/12/2010,1012-00114,1951.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,15/12/2010,1012-00115,1010.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,16/12/2010,1012-00116,1850.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,16/12/2010,1012-00117,2153.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,16/12/2010,1012-00118,725.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,23/12/2010,1012-00119,1484.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00120,1951.00 ,R,ACADEMIC APPOINTMENTS LTD
Education Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Supplies and services,Other Hired And Contracted Services,265,24/12/2010,1012-00121,725.00 ,R,ACADEMIC APPOINTMENTS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Adults under 65 Learn/Dis,Premises,Rents,141,02/12/2010,1012-00122,604.71 ,R,ACCENT FOUNDATION LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Adults under 65 Learn/Dis,Premises,Rents,141,02/12/2010,1012-00123,546.00 ,R,ACCENT FOUNDATION LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Services For Adults under 65 Learn/Dis,Premises,Rents,141,02/12/2010,1012-00124,546.00 ,R,ACCENT FOUNDATION LTD
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00125,15303.00 ,R,Access Maintenance Solutions Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Supplies and services,Security Services(Non Infrastructure),262,01/12/2010,1012-00126,1062.72 ,R,ACCLAIMED SECURITY SERVICES
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Premises,Premises Security Services,162,10/12/2010,1012-00127,438.24 ,R,ACCLAIMED SECURITY SERVICES
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Supplies and services,Security Services(Non Infrastructure),262,10/12/2010,1012-00128,1212.78 ,R,ACCLAIMED SECURITY SERVICES
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Recreation,Premises,Premises Security Services,162,15/12/2010,1012-00129,438.24 ,R,ACCLAIMED SECURITY SERVICES
