Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
Ferguson Wools Ltd,-2665.7,-2886.77,2002,"Canal Side, Tillotson Holme, Luddendenfoot, Halifax              HX2 6AF","23 Hillcrest, Sowerby Bridge, Halifax, HX6 2TJ",04/01/90,02/28/02
Ryburn Valley Surfacing Products Ltd(In Receivership,-897.54,-897.54,2002,"Unit 11, Station Industrial Park, Station Road, Luddendenfoot","Messrs Wilson Pitts, Devonshire House, 38 York Place, Leeds, LS1 2ED",04/01/90,04/01/92
Speaks Building Systems Ltd,-544.44,-544.44,2005,"Unit 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF","C/O 1 Goosegate Farm, Heathy Lane, Holmefield, HX2 9UN",05/06/99,12/20/05
Avco Trust Ltd,-306.66,-306.66,2014,"First Floor, 18 Silver Street, Halifax, HX1 1HS","Citibank Na, C/O Cbre Fao Ap Rates Team, Cornwall Court 4th Floor, 19 Cornwall Street, Birmingham, B3 2DT",04/01/90,06/24/14
Marstons,-5.46,-1987.21,2001,"Old Cock Hotel, Halifax, HX1 1DS","C/O Goodman Nash Ltd, 8 Prince Maurice Court, Hambleton Avenue, Devizes, Wiltshire, SN10 2RT",05/15/95,04/01/01
,-12232.25,-63823.41,2011,"173c Spring Hall Lane, Halifax, HX1 4JG",,03/01/99,
,-13616.5,-63823.41,2014,"173c Spring Hall Lane, Halifax, HX1 4JG",,03/01/99,
The Imperial Crown Hotel Ltd,-7.8,-7.8,2005,"31 Square Road, Halifax, HX1 1QG","Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ",07/31/92,03/31/05
,-379.8,-490.4,2005,"55 Stainland Road, Greetland, Halifax, HX4 8BD",,04/01/90,03/31/06
,-100,-100,2002,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ",,09/19/00,11/10/01
Capstan Wire Products Ltd [In Liquidation],-15.77,-15.77,2002,"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX","C/O Baker Tilly, Carlton House, Grammar School Street, Bradford, BD1 4NS",07/02/93,08/09/96
,-0.96,-0.96,2012,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,04/01/00,
Inglewood Studios Ltd,-3.58,-3.58,2003,"Unit T5/T10, Canal Wharf Mill, Burnley Road, Mytholmroyd         HX7 8NH","The Courtyard, Town Street, Rawdon, Leeds, LS19 6PU",09/01/97,09/30/03
,-52.41,-52.41,2004,"20 Market Street, Hebden Bridge, HX7 6AA",,09/16/00,09/20/04
,-29854.51,-257312.34,2010,"Valley Medical Centre, Valley Road, Hebden Bridge, HX7 7BE",,05/01/98,
J B Hemming Co Ltd (In Liquidation),-507.94,-507.94,2002,"Unit 11, Westfield Mill, Mytholmroyd, Hebden Bridge       HX7 8SH","C/O Messrs Poppleton &, Appleby, 32 High Street, Mancheste, RM4 1QD",04/01/90,01/21/93
,-188.63,-188.63,2002,"The Brothers Grimm, 17 Causeway Head, Sowerby Bridge, HX6 2TG",,01/01/92,11/05/00
,-65.79,-65.79,2002,"Manchester House, 107 Halifax Road, Ripponden, Sowerby Bridge      HX6 4DA",,06/03/91,02/28/97
Halifax Plc,-30.75,1241.25,2014,"Hollas Lane, Wakefield Road, Halifax, HX2 0TP","Lloyds Banking Group, C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Birmingham, B2 5LS",04/01/95,
Reconstruct & Design Ltd,-85.07,-85.07,2002,"Old Oxford House, Albert Street, Hebden Bridge, HX7 8AH",,04/01/90,02/29/92
Shelter National Campaign For Homeless People Ltd,-91,-91,2014,"32 Bridge Gate, Hebden Bridge, HX7 8EX","88 Old Street, London, EC1V 9HU",04/01/90,
Dalebank Home Furnishing Ltd(In Liquidation),-324.68,-324.68,2002,"Unit 9, Moderna Business Park, Mytholmroyd, Hebden Bridge       HX7 5QQ","C/O Grant Thornton, Eldon Lodge, Eldon Place, Bradford, BD1 3AP",04/01/90,08/18/92
,-255.11,-255.11,2014,"33 Crown Street, Hebden Bridge, HX7 8EH",,04/01/90,
,-32.23,-32.23,2012,"Dale View, Mytholmroyd, Hebden Bridge, HX7 5DU",,04/01/90,
,-91.07,-91.07,2004,"5 Wharf Street, Sowerby Bridge, HX6 2EG",,03/31/02,06/12/04
,-81.94,-81.94,2012,"Garage 2, Raglan Street, Todmorden, OL14 5HF",,04/01/90,
,-91.13,-91.13,2005,"Square Garage, Rochdale Road, Todmorden, OL14 6SX",,04/01/02,05/16/05
,-0.89,-0.89,2012,"Cinderhill Joinery Works, Castle Street, Todmorden, OL14 5SR",,04/01/90,
S Horsfall (Plumbers) Ltd,-36,-36,2012,"2 Dale Street, Todmorden, OL14 5PX","Liddington, Peel Cottage Road, Todmorden, OL14 7QJ",04/01/90,04/30/14
,-23.97,-23.97,2002,"3 Margate Street, Sowerby Bridge, HX6 1DZ",,04/01/90,03/24/91
,-70.41,-70.41,2009,"Unit 11, Penair Works, Mill Fold, Ripponden           HX6 4DJ",,06/01/91,05/13/09
Mill House Furniture Makers Ltd,-0.36,-0.36,2012,"Unit 17, Mill House Works, Mill House Lane, Triangle            HX6 3LN","15 Savile Drive, Savile Park, Halifax, HX1 2EU",11/01/99,
,-0.34,-0.34,2012,"238 Oldham Road, Ripponden, Sowerby Bridge, HX6 4EU",,08/14/00,
,-144,-144,2012,"17 Stansfield Road, Todmorden, OL14 5DN",,04/01/90,
,-21.69,-21.69,2002,"16 Water Street, Todmorden, OL14 5AB",,08/01/96,02/03/01
,-136.02,-136.02,2006,"4 West Street, Todmorden, OL14 5HY",,04/01/98,09/30/06
,-17.94,-17.94,2012,"Garage 1, Raglan Street, Todmorden, OL14 5HF",,04/04/03,
,-21.87,-21.87,2006,"220 King Cross Road, Halifax, HX1 3JP",,05/01/03,09/22/06
,-281.79,-826.69,2011,"The Mill, Gardeners Square, Hipperholme, Halifax              HX3 8LL",,05/03/03,07/31/11
Central Holdings Ltd,-11.64,-11.64,2009,"1/3 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF","37 Spring Lane, Pannal, Harrogate, HG3 1NP",11/01/01,04/30/09
Hollins Park Sports & Social Club,-0.73,-0.73,2014,"Changing Rooms, Hollins Mill Lane, Sowerby Bridge, HX6 2RF",,11/01/02,
,-20,-20,2003,"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",,06/17/03,08/07/03
,-3.41,-453.41,2005,"2 Langdale Street, Elland, HX5 0JL",,04/01/03,03/31/03
Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,2006,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG",01/01/04,09/29/06
Hanson Building Products Ltd,-3065.94,-3065.94,2004,"Dodgson Street, Elland, HX5 0PA","6 Dodgson Street (Garage), Elland, Halifax, HX5 0PB",04/01/91,07/21/04
,-25.82,-25.82,2006,"10 Bridge End, Brighouse, HD6 3DH",,11/01/03,03/01/07
Chief Environmental Health Officer,-363.3,-994.84,2002,"Stainland Road, Barkisland, Halifax","Fao Wendy Backhouse, Northgate House, Northgate, Halifax, HX1 1UN",04/01/90,03/31/00
,-0.66,-0.66,2012,"15 Borough Market, Halifax, HX1 1DY",,01/26/04,
,-115.27,-115.27,2012,"Robin Hood Inn, 26 Keighley Road, Pecket Well, Hebden Bridge       HX7 8QR",,04/13/04,
,-831.45,-2667.52,2006,"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",,08/10/04,08/10/06
,-0.38,-0.38,2012,"40 Towngate, Clifton, Brighouse, HD6 4HS",,04/06/05,
,-7.48,-7.48,2005,"Union Cross Hotel, 12 Old Market, Halifax, HX1 1TN",,09/06/05,01/03/06
,-496.83,-1208.55,2011,"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",,06/09/05,06/12/11
,-43.85,-43.85,2010,"7 West Street, Sowerby Bridge, HX6 3AP",,08/27/05,08/26/10
Primesight Ltd,-0.01,75.99,2014,"Advertising Right, Adj Haley Hill Service Stn, Haley Hill, Halifax              HX3 6ED","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",04/01/05,
,-210.07,-210.07,2008,"Unit 2B, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,05/01/05,12/22/08
,-1.03,-1.03,2012,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,07/19/04,
,-263.79,-1534.14,2010,"Old Pond Inn, 15 Spout House Lane, Brighouse, HD6 2PL",,10/18/04,10/27/10
St Malachys Credit Union Ltd,-0.22,-0.22,2012,"26a Illingworth Road, Illingworth, Halifax, HX2 9EN","F.A.O. Mr Stuart Stott, 26a Illingworth Road, Illingworth, HX2 9EN",04/01/06,
D & S Baths Ltd [In Administration],-1998,-4364.05,2007,"Aquarius Building, 190 Hanson Lane, Halifax, HX1 4SD","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU",03/24/06,10/29/08
,-76.66,-76.66,2006,"68 West Street, Sowerby Bridge, HX6 3AP",,04/01/05,02/04/07
,-3.18,-3.18,2012,"Unit 12 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DR",,03/01/06,
,-0.01,-0.01,2014,"32 Crown Street, Halifax, HX1 1TT",,11/21/05,
,-71.15,-71.15,2012,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",,04/01/90,12/31/11
,-367.42,-367.42,2012,"3 Common Lane, Southowram, Halifax, HX3 9PA",,01/01/06,
Timber Building Installations Ltd,-3.92,-3.92,2006,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Unit 1, Calder Valley Motors, Burnley Rd, Mytholmroyd, Hebden Bridge, HX7 5AD",09/01/06,04/01/07
,-25.9,-25.9,2006,"Unit 13/14, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,08/03/06,01/30/07
,-3756.96,-163184.07,2005,"Stainland Rd Medical Centre, 70 Stainland Road, Greetland, Halifax              HX4 8BD",,01/24/06,
,-23522.5,-163184.07,2009,"Stainland Rd Medical Centre, 70 Stainland Road, Greetland, Halifax              HX4 8BD",,01/24/06,
,-21523.04,-163184.07,2010,"Stainland Rd Medical Centre, 70 Stainland Road, Greetland, Halifax              HX4 8BD",,01/24/06,
,-12.2,-12.2,2014,"Clarence Brass Works, Aked's Road, Halifax, HX1 2TR",,04/26/06,09/11/14
,-81.18,-81.18,2007,"3 Clare Road, Halifax, HX1 2HX",,04/01/07,03/31/07
,-9.55,-9.55,2010,"297 Gibbet Street, Halifax, HX1 4JX",,10/01/06,04/30/10
Boothtown Medical Centre,-6715.65,-24548.64,2006,"Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL","Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",10/30/06,04/30/08
Boothtown Medical Centre,-1404.99,-24548.64,2008,"Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL","Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",10/30/06,04/30/08
,-0.2,-0.2,2012,"5 St Johns Lane, Halifax, HX1 2JD",,12/05/06,
Amazonails Ltd,-44.37,-44.37,2011,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HJ","Unit 1, Hope Mill, Crescent Street, Todmorden, OL14 5HJ",03/01/07,07/07/11
Security Professionals Ltd,-20.39,-20.39,2008,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP",06/01/06,10/30/08
,-602.76,-766.35,2008,"11/13 Lilly Street, Sowerby Bridge, HX6 3DG",,07/01/07,01/04/08
,-58.75,-58.75,2012,"Unit 1 Tower Block, Robinwood Mill, Burnley Road, Todmorden           OL14 8JA",,06/13/07,
Calderdale P.C.T,-19404,-107914.84,2008,"Horne Street Surgery, Horne Street, Halifax, HX1 5UA","4th Floor , S Mill, Dean Clough, Halifax, HX3 5AX",11/20/06,03/31/13
Hebden Bridge Group Practice,-27160,-213967.48,2009,"Grange Dene Medical Centre, Grange Dene, Burnley Road, Mytholmroyd          HX7 5LF","Valley Medical Centre, Valley Road, Hebden Bridge, HX7 7BZ",04/01/05,
Hebden Bridge Group Practice,-22028.16,-213967.48,2011,"Grange Dene Medical Centre, Grange Dene, Burnley Road, Mytholmroyd          HX7 5LF","Valley Medical Centre, Valley Road, Hebden Bridge, HX7 7BZ",04/01/05,
Romida Sports Ltd (In Administration),-214.73,-214.73,2012,"Unit 3 West Vale Buildings, Wakefield Road, Brighouse, HD6 1QD","Bdo Llp, 3 Hardman Street, Manchester, M3 3AT",04/01/07,10/04/12
,-77.83,-77.83,2007,"16 Union Street, Halifax, HX1 1PR",,05/01/07,03/08/08
Equable Properties Ltd,-312.5,-312.5,2008,"Dog & Partridge, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH",02/06/08,07/23/09
Newbuild Masonry (Yorkshire) Ltd,-96.83,-96.83,2008,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Mr G Varley, 308 Skircoat Green Road, Halifax, HX3 0LJ",04/01/08,12/31/08
,-0.58,-0.58,2012,"18 Carr House Road, Shelf, Halifax, HX3 7QY",,04/20/08,
,-0.3,-0.3,2012,"The Delvers, Wainstalls, Halifax, HX2 7UA",,02/01/08,
,-28.5,-28.5,2008,"75 Burnley Road, Todmorden, OL14 7BS",,02/13/08,03/08/09
,-1.26,-1.26,2012,"291 Claremount Road, Halifax, HX3 6AW",,04/26/08,
,-2.76,-2.76,2009,"Unit 3D Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,12/01/07,03/12/10
,-4.65,-4.65,2015,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",,10/01/07,
,-243.14,-243.14,2009,"Unit 4D, Top Land Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,07/01/08,12/31/09
Caritas Health Partnership,-6054,-43236.26,2012,"Mixenden Stones Surgery, Mixenden Stones, Mixenden, Halifax             HX2 8RQ","F A O David Wright, Woodside Surgery, Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",05/01/08,
Caritas Health Partnership,-15689.01,-82609.04,2008,"Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL","F A O David Wright, Woodside Surgery, Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",05/01/08,
Caritas Health Partnership,-13797.21,-82609.04,2011,"Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL","F A O David Wright, Woodside Surgery, Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",05/01/08,
Caritas Health Partnership,-9624.18,-82609.04,2013,"Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL","F A O David Wright, Woodside Surgery, Boothtown Medical Centre, Woodside Road, Halifax, HX3 6EL",05/01/08,
Oakenclough Buildings Ltd,-574.03,-574.03,2009,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Attn Glenn Brady, Oakenclough Mill, Garstang, Preston, PR3 1TB",09/01/08,12/31/09
The Brass Monkey Brewery Co Ltd,-995.97,-995.97,2012,"Units 24-26, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS","Units 24/26, Asquith Bottom Mills, Ridge Street, Sowerby Bridge, HX6 3BS",10/01/08,05/31/12
,-85.77,-85.77,2011,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,04/01/08,03/26/12
K Skips Ltd,-0.45,-0.45,2012,"Haulage Yard, Balkram Edge Farm, Mount Tabor, Halifax              HX2 0UB","Fao Mr M Kemp, Balkram Edge Farm, Mount Tabor, Halifax, HX2 0UB",01/01/09,
,-106.55,-106.55,2009,"Ground Floor, 24/26 Silver Street, Halifax, HX1 1HS",,11/17/08,03/17/10
,-176,-176,2010,"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,10/26/08,01/31/10
Intrepid Leisure Ltd,-58.46,-58.46,2009,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ","Po Box 496, Kingston Upon Hull, HU9 9GN",03/16/09,08/13/09
Bizspace Ltd,-603.91,-603.91,2013,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",07/01/13,12/31/13
Primesight Ltd,-0.04,267.96,2014,"Advertising Right No 4772, 365 Salterhebble Hill, Halifax, HX3 9LU","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",09/01/09,
,-10.8,-10.8,2012,"Room 2, Town Hall, Thornton Square, Brighouse           HD6 1ED",,02/18/09,03/31/12
,-127.8,-127.8,2012,"Unit 23 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,03/01/10,
Calderdale Mbc,-100.98,-100.98,2009,"Todmorden Health Centre, Rose Street, Todmorden, OL14 5AT","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",10/31/09,10/26/10
,-575.52,-575.52,2010,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,02/01/10,01/31/11
The Bradshaw Pub Co Ltd,-1.03,-1.03,2012,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ","Fao Keith A Vear, 29 Whitley Drive, Holmfield, Halifax, HX2 9SJ",01/28/10,
Dr Wyatt And Partners,-16083.39,-115725.32,2009,"Brig Royd Surgery, Hirstwood, Ripponden, Sowerby Bridge       HX6 4BN",,10/05/09,
Dr Wyatt And Partners,-24478.61,-115725.32,2012,"Brig Royd Surgery, Hirstwood, Ripponden, Sowerby Bridge       HX6 4BN",,10/05/09,
Dr Wyatt And Partners,-11425.27,-115725.32,2014,"Brig Royd Surgery, Hirstwood, Ripponden, Sowerby Bridge       HX6 4BN",,10/05/09,
,-2638.58,-8669.56,2011,"High Cross Barn, High Cross Lane, Shelf, Halifax              HX3 7TH",,04/01/09,03/31/10
,-9.58,-9.58,2012,"Unit 2 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,07/01/10,
Administrators Of G F Interiors Ltd,-711.64,-711.64,2009,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP",02/27/10,04/20/10
,-2562.59,-5812.39,2012,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
,-493.41,-5812.39,2013,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,04/01/10,03/31/10
Shaw Trust Ltd,-461.98,-461.98,2011,"Office Suite G 438, Dean Clough Mills, Halifax, HX3 5AX","Epsom Court, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XJ",07/01/10,06/30/11
Anchor Trust,-24.13,-24.13,2011,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Burnbank House, Balliol Business Park, Longbenton, Newcastle Upon Tyne, NE12 8EW",04/01/10,10/01/11
Triplesix Ltd,-166.67,-166.67,2013,"Unit 6C & 6D, Topland Country Business Pk, Cragg Road, Mytholmroyd","Unit 2 B Orchard Business Pk, Scout Road, Mytholmroyd, Hebden Bridge, HX7 5HZ",05/01/10,03/03/14
,-19.4,-69.42,2010,"Market Stall 124/131, Market Hall, Borough Market, Halifax             HX1 1DZ",,11/22/10,03/31/13
Dr D Chin & Partners,-9740,-40609.25,2012,"Northowram Surgery, 53 Northowram Green, Northowram, Halifax              HX3 7JE",,04/01/12,
Manningstead Ltd,-879.53,-879.53,2013,"12 Central Hall, Coronation Street, Elland, HX5 0DF","C/O Brent Turner, The Hayloft, Hullen Edge Farm, Goose Nest Lane, Norland, Halifax, HX6 3QW",12/06/11,07/15/13
,-5.16,-5.16,2012,"Unit 6 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,09/05/12,11/30/12
