ExtractDate,OrganisationURI,OrganisationLabel,ContractReference,TitleOfTheAgreement,ContractType,DirectorateResponsible,ServiceCategory,ServiceCategoryURI,DescriptionOfGoodsAndServices,ProcurementClassification:ProclassLabel,ProcurementClassification:ProclassCode,StartDate,EndDate,ExtensionDate,ReviewDate,ContractValue,FixedorEstimated Costs,IrrecoverableVAT,SupplierName,CompanyNumber,CharityCommissionNumber,SMESupplier,VCSESupplier,VCSESupplierType
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-9DCTTX,Provision of the Handy Person Scheme,Single award contract,People and Places,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1080,"South Lakeland District Council requests quotes for the provision of the Handy Person Scheme, a practical support service for vunerable and elderly households.",Social Community Care Supplies and Services - Adult,321000,27/01/2014,31/03/2017,,06/10/2014,90000,Estimated,0,"Growing Concerns
",5156257,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-9CGEWR,"Replacement of Pay on Exit Paying System WestmorlandMulti Storey Car Park, Kendal",Single award contract,People and Places,Highways and transport services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10183,"South Lakeland District Council invites tenders for the provision of a new pay on exit parking system at Westmorland Multi Storey, Kendal. The parking system will include all machines, software and exit barriers required to operate the system with full training and support system.",Street and Traffic Management|Parking|Equipment| Products or supply and fit includes meters machines and lights etc,351100,03/03/2014,02/03/2018,,,133000,Estimated,0,ACS BPS Ltd,4022569,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8ZRNCP 2012/S 238-392572 of 6.12.2012,Leisure Partnership,Single award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10121,"South Lakeland District Council is seeking to create a potent leisure partnership, effective in delivering the Council's priorities of promoting the wellbeing of the District's communities and intends to enter a contract with an expert partner with the stategic and operational capability to deliver the outcomes the Council seeks.",Arts and Leisure Services,290000,01/04/2014,31/03/2024,31/03/2029|31/03/2034,31/03/2024,10000000,Estimated,0,North Country Leisure,3683103,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9J8B-DWHB5B,South Lakeland District Council Window Cleaning 2014-17,Single award contract,People and Places,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5053,To carry out internal and external window cleaning of 13 South Lakeland District Council properties using the extending pole system. The buildings are spread across the South Lakeland area.,Works-Construction Repair and Maintenance|Buildings|Repair and Maintenance,391111,01/06/2014,31/05/2017,,07/08/2015,18000,Estimated,0,UNDERHILL SERVICES LTD,6442130,,,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9KDE-AKJ2I3,Fire Extinguisher Contract 2014 - 2017,Single award contract,People and Places,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5053,This Contract is to maintain the fire extingushers within the South Lakeland District commercial properties to current British Standards. This is to include for the annual testing and servicing along with 5 or 10 year servicing as required and detailed in the price schedule. The contract is to cover all parts required to service the extingushers althought costs for non-service parts and replacement extinguishers are requested to allow for a full evaluation to take place.,Works-Construction Repair and Maintenance|Buildings|Repair and Maintenance,391111,01/07/2014,30/06/2017,,07/08/2015,4000,Estimated,0,"WALKER FIRE (UK) LTD
",1554539,,,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-9HCFQF,"Framework Agreement RM1599 Lot 2 - Multifunctional Devices and services, Managed Print Services and Print Audit Serivces",Framework agreement,Policy and Resources,Supplies and Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5026,South Lakeland District Council is running a further competition under Framework Agreement RM 1599 - Lot 2 for the Provision and Maintenance of Multi-Functional Devices. ,Facilities and Management Services|Printing,191600,04/07/2014,03/07/2019,,24/03/2015,158109,Estimated,0,Konica Minolta Business Solutions (UK) Ltd,1132885,,,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9JQB-NVYO56,Provision of PR/Marketing support for the Explore South Lakeland and Invest in South Lakeland Programmes,Single award contract,People and Places,Planning Service,http://opendatacommunities.org/def/concept/finance/sercop/objective/10287,South Lakeland District Council seeks quotes for PR/Marketing Support for the Explore South Lakeland and Invest in South Lakeland Programmes.,Arts and Leisure Services|Events,291000,11/07/2014,31/03/2017,,,35000,Estimated,0,SKV Communications,3495502,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9MYE-HYXIPW,Analysis of Private Water supply samples.,Single award contract,People and Places,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1049,South Lakeland District Council seeks quotes for a contract to secure the transportation of water samples which have been collected by officers and the laboratory testing of the samples in line with the requirements of the Private Water Supply Regulations 2009.,Environmental Services|Water Assessment and Treatment,182030,03/11/2014,02/11/2017,02/11/2018,,60000,Estimated,0,United Utilities,2366678,,,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9NFE-3YUYMT,Fabrik Telecoms Framework � Lot 3,Framework agreement,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,South Lakeland District Council and Eden District Council are looking to refresh their Wide Area networks. This is a joint procurement exercise conducted under one lot but the preferred supplier will be expected to enter into a separate contract with each council covering their respective links.,Information Communication Technology|Services,271501,01/12/2014,31/03/2018,31/03/2020,10/08/2015,250000,Estimated,0,MLL Telecom Ltd,2657917,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9QTD-ZUNGHD,Stray Dog Collection and Kennelling Services,Single award contract,People and Places,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10139,South Lakeland District Council is undertaking a procurement exercise for the provision of a collection abd kennelling of stray dog service.,Environmental Services|Animal Services|Kennelling Services|Service,180020,01/04/2015,31/03/2019,,26/10/2015,120000,Estimated,0,Milnthorpe Kennels and Cattery,,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9T9M-RNCIKP,Quality of Life Survey 2015-2019,Single award contract,Policy and Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1012,"South Lakeland District Council invites quotes for carrying out a general household survey that asks local residents about their level of satisfaction with their quality of life, their area and their health and wellbeing. ",Facilities Management|Public Relations and Images,191800,30/03/2015,29/03/2019,,,36000,Estimated,0,Lancashire County Council,,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9TLG-V8RKAV,Framework for the supply of Office Furniture,Multiple award contract,Policy and Resources,Supplies and Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5023,South Lakeland District council is seeking quotes for a place on the Framework for the supply of Office Furniture to all  SLDC offices.,Furniture & Soft Furnishings|Office Furniture,211200,01/04/2015,31/03/2018,,,10000,Estimated,0,Southerns Office Interiors Ltd|MBI Office Ltd|H Jenkinson & Company Ltd,034778080|5992800|169844,,No|Yes|No,No|No|No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT_9VVN-UE9409,"Framework Agreement RM1599 Lot 2 - Multifunctional Devices and services, Managed Print Services and Print Audit Serivces (inc Print Room)",Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5026,"South Lakeland District Council is seeking quotes under Framework Agreement RM1599, Lot 2 - Multifunctional Devices and Services, Managed Print Services (inc Print Room) for Print Room equipment.",Facilities and Management Services|Printing,191600,15/06/2015,14/06/2019,,,158109,Estimated,0,Konica Minolta Business Solutions (UK) Ltd,1132885,,,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAK-CONTRACT-9V7L-CGQAPM,Arboricultural Services,Single award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1038,South Lakeland District Council is inviting tenders for the Arboricultural Services Contract to provide professionsl arboricultural advice and support on all matters relating to trees and woodlands for the Leisure & Community Services and Development Management Departments. ,Works-Construction Repairs and Maintenance|Open Spaces|Repair and Maintenance,391311,29/06/2015,31/03/2017,,,80000,Estimated,0,Capita Property & Instrastructure,2018542,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9ZDH-JAB4AL,Supply of Stationery Requirements,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5026,South  Lakeland District Council is running a further competition under Framework Agreement RM3703 to seek quotes for stationery requirements. ,Stationery,340000,01/10/2015,30/09/2019,,,20000,Estimated,0,Banner Business Services Ltd,3658750,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9TDP-NU21OC,Treasury Management Advice,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5050,South Lakeland District Council is seeking quotes for Treasury Management Advice.,Consultancy|Business,200000,01/05/2015,31/03/2018,,,21000,Estimated,0,Capita Asset Services,2652033,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-9YWE-TPFANF,Banking Services,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5050,South Lakeland District Council is seeking quotes for Banking services as a further competition under Lot 1 of the ESPO Framework agreement 384. We require a service that will enable the council to operate on a day to day basis.,Banking Services,201200,04/01/2016,03/01/2020,,02/08/2016,160000,Estimated,0,Royal Bank of Scotland,SC045551,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-A29C-Z50Q8E,Further competition under CCS framework RM1054 Lot 2 for Microsoft Enterprise Subscription Agreement.,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,South Lakeland District Council is trunning a further competition under CCS Framework Agreement RM1054 Lot 2 Packaged Software for the renewal of Microsoft licences as a subscription agreement.,ICT,270000,01/12/2015,30/11/2018,,09/08/2016,195000,Estimated,0,Phoenix Software,2548628,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-A44JGL,IT Backup and DR Contract,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,Direct award via Framework RM 1054 Tech Products,ICT,270000,01/10/2015,30/09/2018,30/09/2020,01/10/2016,71324,Estimated,0,Insight Public Services,,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN64501,Mini competition under CCS Framework RM1063 -Lot 3 for Annual Billing Services,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5026,"South Lakeland District Council & Eden District Council are seeking quotes under CCS Framework agreeemnt RM1063, Lot 3 - Hybrid Mail Offsite Solution for the supply of certain services for the Council Tax annual billing exercise for 2016/17.",Facilities and Management Services|Printing|Mailing Services|postage,191600|301200,15/01/2016,31/01/2017,,30/06/2016,22330,Estimated,0, CFH Docmail Ltd/Print.UK.Com,1716891,,No,Yes,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN62555,Internal Audit Services,Single award contract,Policy and Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1008,South Lakeland District Council (SLDC) and Eden District Council (EDC) are carrying out a joint procurement for their Internal Audit Services. Currently both Authorities use the same contractor for Internal Audit. Contractors are required to bid for the work of both council's.,Financial Services|Audit,201100,01/04/2016,31/03/2019,01/04/2019,31/03/2018,525000,Estimated,0,TIAA Ltd,4546319,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN112980,Provision of Tyres,Single award contract,People and Places,Transport,http://opendatacommunities.org/def/concept/finance/sercop/objective/503,South Lakeland District council is seeking quotes for the provision of tyres for Council vehicles. ,Vehicle Management|Maintenance,381400,01/04/2016,31/03/2019,,31/03/2018,117000,Estimated,0,HARRY PARK TYRES LTD,8131208,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN212444,Mini-Competition under ESPO Framework Agreement 115 Lot 2 for redesign & build of Rothay Road Park,Single award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10124,"Mini-competition for the redesign and build of the playground on the Rothay Road Park, Ambleside, Cumbria against the ESPO Framework Agreement 115",Sports and Playground Equipment and maintenance|Playground Equipment,330000,21/11/2016,30/04/2017,,31/03/2017,150000,Estimated,0,Proludic Ltd,4455803,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN171406,Vmware support & Maintenance,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,Direct award for Vmware support and maintenacne,ICT,270000,18/06/2016,17/06/2017,,31/03/2017,4500,Estimated,0,Vmware,IE6422208G,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,DN171408,Support & maintenance for IBM SAN,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,Direct award for ,ICT,270000,18/07/2016,16/09/2019,,31/03/2019,15000,Estimated,0,IBM,,,No,No,
