Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ONE TO ONE DEVELOPMENT TRUST,N/A,Not yet available,Not yet available,Not yet available,15/04/2014,22480486,6738,Nil,Advertising,Revenue,Family Services,CAT04,20482,Community Projects,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OPTIMISA RESEARCH,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22485830,10000,Nil,Advertising,Revenue,Business Services,CAT02,2100,Advertising Services,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,REGIONAL PUBLICATIONS LTD,N/A,Not yet available,Not yet available,Not yet available,19/06/2014,22523209,750,Nil,Advertising,Revenue,Business Services,CAT02,62450,Publishers & Publications,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22504788,800,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,23/06/2014,22527014,1340,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,19/05/2014,22502768,1466,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22485904,842.11,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494884,795,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22516479,665,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,28/04/2014,22465488,1950,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22485893,513.45,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,TMP (UK) LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523539,2507.94,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,TOGETHER,N/A,Not yet available,Not yet available,Not yet available,12/05/2014,22497923,11239.91,Nil,Advocacy,Revenue,Family Services,CAT04,25820,Disability & Special Needs - Services,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22519998,750,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22520033,750,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22520078,1194.42,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496609,750,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496617,1194.42,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ADOPTION MATTERS NORTHWEST,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496662,750,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CORAM,N/A,Not yet available,Not yet available,Not yet available,16/05/2014,22502463,9900,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,17020,Charities & Voluntary Organisations,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,DFW ADOPTION,N/A,Not yet available,Not yet available,Not yet available,25/04/2014,22484537,14333,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,FAMILY SOCIETY,N/A,Not yet available,Not yet available,Not yet available,23/06/2014,22527024,14333,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,1880,Adoption & Fostering,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NORTH LINCOLNSHIRE COUNCIL,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22482580,90000,Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,48583,Local Government,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NUGENT CARE,N/A,Not yet available,Not yet available,Not yet available,28/05/2014,22507207,11333,Nil,Agency Placement Adoptions (Other agencies),Revenue,Family Services,CAT04,17020,Charities & Voluntary Organisations,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OLDHAM COUNCIL,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22482659,-9000,Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,48583,Local Government,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,OLDHAM COUNCIL,N/A,Not yet available,Not yet available,Not yet available,30/04/2014,22482282,27000,Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,48583,Local Government,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,WREXHAM COUNTY BOROUGH COUNCIL,N/A,Not yet available,Not yet available,Not yet available,07/05/2014,22496527,27000,Nil,Agency Placement Adoptions (Other agencies),Revenue,n/a,CATNA,48583,Local Government,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,4 THE LOVE OF MATHS,N/A,Not yet available,Not yet available,Not yet available,12/05/2014,22499098,1123.5,Nil,Agency Staff,Revenue,Family Services,CAT04,29380,Educational Training Providers,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,09/06/2014,22519364,975,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22477944,682.5,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22477975,7390.5,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,A & O IT SERVICES,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22478406,3805.35,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,ASSET HEALTH SOLUTIONS,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22473320,2046.6,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,ASSET HEALTH SOLUTIONS,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22498324,1505.2,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,AVENTIS SOLUTIONS LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523626,1500,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BIG FISH LITTLE FISH,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22494730,972.57,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,BIG FISH LITTLE FISH,N/A,Not yet available,Not yet available,Not yet available,17/06/2014,22523949,954.04,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,06/05/2014,22493983,1116.45,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,06/05/2014,22494332,1102.05,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22519636,1139.4,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22474741,1175.4,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22481708,1118.25,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,22/04/2014,22481715,1105.2,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,CARITAS RECRUITMENT LTD,N/A,Not yet available,Not yet available,Not yet available,19/06/2014,22523237,1146.15,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520298,513,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520299,712.25,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22520303,847,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,20/06/2014,22523984,876.38,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22481766,798,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,24/04/2014,22473336,817,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505288,1135.75,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505197,836,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,03/06/2014,22505199,570,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484495,855,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,CHEVIOT RECRUITMENT,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484497,570,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,D & A CARTWRIGHT ASSOCIATES LTD,N/A,Not yet available,Not yet available,Not yet available,16/05/2014,22498209,5600,Nil,Agency Staff,Revenue,Professional Services,CAT08,42230,Health & Safety Consultants,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,29/04/2014,22484926,1100,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,28/05/2014,22507266,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,27/06/2014,22536068,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22504522,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22504523,888,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22504524,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22504502,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,27/06/2014,22535784,900,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,27/06/2014,22535788,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,27/06/2014,22535791,1110,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,09/05/2014,22498248,859.75,Nil,Agency Staff,Revenue,n/a,CATNA,NA,Not Applicable,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,28/04/2014,22484845,900,Nil,Agency Staff,Revenue,n/a,CATNA,NA,Not Applicable,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22504521,934.5,Nil,Agency Staff,Revenue,n/a,CATNA,NA,Not Applicable,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,17/06/2014,22521838,520.5,Nil,Agency Staff,Revenue,n/a,CATNA,NA,Not Applicable,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,DETAILS REDACTED,N/A,Not yet available,Not yet available,Not yet available,17/06/2014,22521840,794.75,Nil,Agency Staff,Revenue,n/a,CATNA,NA,Not Applicable,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,GATENBYSANDERSON LIMITED,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22519109,14634,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,GATENBYSANDERSON LIMITED,N/A,Not yet available,Not yet available,Not yet available,22/05/2014,22499486,8130,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,GATENBYSANDERSON LIMITED,N/A,Not yet available,Not yet available,Not yet available,22/05/2014,22502675,16260,Nil,Agency Staff,Revenue,Business Services,CAT02,31230,Employment & Recruitment Agencies,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,HEWITT OCCUPATIONAL SERVICES LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22518827,2295,Nil,Agency Staff,Revenue,Professional Services,CAT08,26710,Doctors,Not yet available
Wakefield MDC,E08000036,30/06/2014,BUSINESS,Not yet available,Not yet available,HEWITT OCCUPATIONAL SERVICES LTD,N/A,Not yet available,Not yet available,Not yet available,13/05/2014,22498323,765,Nil,Agency Staff,Revenue,Professional Services,CAT08,26710,Doctors,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HORWICH LTD,N/A,Not yet available,Not yet available,Not yet available,10/06/2014,22519500,1218.7,Nil,Agency Staff,Revenue,Highways,CAT07,65200,Road Construction Contractors,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HORWICH LTD,N/A,Not yet available,Not yet available,Not yet available,14/04/2014,22477777,1550.35,Nil,Agency Staff,Revenue,Highways,CAT07,65200,Road Construction Contractors,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HORWICH LTD,N/A,Not yet available,Not yet available,Not yet available,28/04/2014,22483824,1386,Nil,Agency Staff,Revenue,Highways,CAT07,65200,Road Construction Contractors,Not yet available
Wakefield MDC,E08000036,30/06/2014,REGENCULT,Not yet available,Not yet available,HORWICH LTD,N/A,Not yet available,Not yet available,Not yet available,06/05/2014,22494940,1555.3,Nil,Agency Staff,Revenue,Highways,CAT07,65200,Road Construction Contractors,Not yet available
