"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","7","47472","60830","Domain Co-ordinator","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002497","OR5-6","30013","36929","Project support officer","15.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OF2","37916","45090","Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111789","C1","35648","44268","Business Manager","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","C2","29258","36333","Administrator","9.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF3","47760","57200","Project Manager","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Security Advice","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Security Management","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","7","47472","60830","Team Leader","6.50","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002497","OR7-8","33223","43252","Project support officer","16.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OF3","47760","57200","Military","2.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","D","23427","29092","Administrator","3.81","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","B2","47942","59535","Senior policy adviser","5.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF3","47760","57200","Programme manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","System Engineering","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Service HR Expert","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","7","47472","60830","Scientist/Analyst/Engineer","199.71","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002497","OR9","38600","46753","Project support officer","11.00","Military"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OF4","67032","77617","Military","3.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E1","18370","22124","Administrative Support","12.32","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","C1","35648","44268","Policy Adviser","11.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF3","47760","57200","Not in post","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Technical [Trades]","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Service HR Partner","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Chief","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002497","Skill Zone 2","16482","18010","Storekeeper","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OF5","81310","89408","Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","E2","15623","18815","Administrative Support","3.81","Policy"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","C2","29258","36333","Policy Adviser","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF2","37916","45090","Office Manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","D","23427","29092","Transaction Processing","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Service HR Service Provider","6.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Department Manager","7.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OR6","30013","36929","Military","16.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","JNC Lvl 2 (Youth Worker) 2-10","21525","28461","NHS/Retained Grade","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","D","23427","29092","Policy Adviser","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF2","37916","45090","Business Manager","6.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Administrative Support","17.10","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","B1","56436","72185","Project support officer","5.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Site Estate","2.89","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Head of Function","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OR7","33223","43252","Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2","37916","45090","Communication and Media","13.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","E1","18370","22124","Executive Assistant","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF2","37916","45090","Programme support officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Knowledge Info Management","2.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","B2","47942","59535","Project support officer","9.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Soft Facilities Management","1.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Principal","5.45","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","OR9","38600","46753","Military","1.00","Military"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF2 (RFA)","37916","45090","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","OF5","81310","89408","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF2","37916","45090","Project support officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Project Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","C1","35648","44268","Project support officer","15.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Specialist Instruction Splnstn","5.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Programme Leader","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","Aviation Offr 1","37819","44268","Training Support","10.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF3","47760","57200","Communication and Media","5.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","OF3","47760","57200","Policy Adviser","4.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF2","37916","45090","Analyst","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Secretarial","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","C2","29258","36333","Project support officer","10.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Storekeeping/WarehouseOps","18.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Team Leader","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","B2 MSF","47942","59535","Business Management and Improvement","3.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","OF2","37916","45090","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR9","38600","46753","Business Manager","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Technical [Trades]","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","D","23427","29092","Project support officer","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Supply Chain Management","1.81","Planning"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","8","56529","70663","Fellow/Senior Fellow/Senior Principal","35.18","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C1","35648","44268","Safety,Health,Environment&Fire","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OF5","81310","89408","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","OR5-6","30013","36929","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR7-8","33223","43252","Executive Assistant","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","E1","18370","22124","Transaction Processing","4.00","Finance"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","OF2","37916","45090","Project support officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","System Engineering","2.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","9","67806","118634","Department Manager","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C1 MSF","35648","44268","Business Management and Improvement","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3","17515","28940","Communication and Media","8.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111791","Supt MDP","59183","68956","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR7-8","33223","43252","Not in post","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","Skill Zone 2","16482","18010","Technical [Trades]","5.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","OF3","47760","57200","Project support officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Teaching","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","9","67806","118634","Principal","4.03","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111800","B2","47942","59535","Senior policy adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C2","29258","36333","Decision Support","2.00","Finance"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR1-3 (RFA)","17265","28940","Recruitment","1.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR5-6","30013","36929","Executive Assistant","5.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","Skill Zone 3","18010","22150","Engineering Civ Apprentices","4.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","OF4","67032","77617","Project support officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Technical [Trades]","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","9","67806","118634","Fellow/Senior Fellow/Senior Principal","6.01","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111800","C1","35648","44268","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C2","29258","36333","Administrative Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR4","26405","33182","Communication and Media","6.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR5-6","30013","36929","Not in post","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","Skill Zone 3","18010","22150","Technical [Trades]","7.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002691","OF5","81310","89408","Project support officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Training Support","9.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00111800","C2","29258","36333","Policy Adviser","3.00","Policy"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1032872","C2","29258","36333","Business Management and Improvement","15.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1129143","OR5-6","30013","36929","Recruitment","12.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OR4","26405","33182","Project support officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","Skill Zone 4","22150","24930","Estate Advice","3.00","Property and asset management"
