OrganisationLabel,OrganisationURI,EffectiveDate,Contract Title,Council,Description,Start Date,End Date,Review Date,Option To Extend,Available Extension,Estimated Total Contract Value,Irrecoverable VAT,Contact Details,Organisational Unit,Contract Reference,Category,Supplier Name,Company Registration/ Charity Commission No - Information not currently collected,Supplier Classification,Process Type
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Works at Tarnfield Park and Supply and Installation of Sculpture,Leeds City Council,205-Operational Materials,11/11/2016,,,,,"£37,015.30",,Cluny Macpherson,CITY DEVELOPMENT,GR372742685SI/0000000136,,"GROUNDWORK LEEDS, Environmental & Business Services, Merlyn-Rees Avenue, MORLEY  LEEDS, LS27 9SL",,d) Medium,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Ecomomic Viability Study 2016,Leeds City Council,265-Other Hired And Contracted Services,16/11/2016,,,,,"£7,000.00",,Martin Elliot,CITY DEVELOPMENT,GV0035426905022284,,"GVA GRIMLEY LTD, 3 Brindley Place, NULL, BIRMINGHAM, B1 2JB",,e) Large,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,A History of Kirkgate - Printing ,Leeds City Council,265-Other Hired And Contracted Services,07/11/2016,,,,,"£6,013.00",,Philippa Elliott,CIVIC ENTERPRISE LEEDS,WO015642681INV042104,,"HART & CLOUGH LIMITED, Ezra House West  26 Business Park, NULL, CLECKHEATON, BD19 4TQ",,Other/Not known,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,411-Legal Disbursements,11/11/2016,,,,,"£14,000.00",,Kate Kearns,ENVIRONMENT & HOUSING,GA008042685198040,,"HIGH COURT ENFORCEMENT GROUP LIMITED, Marine House  2 Marine Road, NULL, COLWYN BAY, LL29 8PH",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,N/A,04/11/2016,,,,,"£23,740.00",,Chris Coulson,CITY DEVELOPMENT,HL00244267886460,,"HLW KEEBLE HAWSON LLP, Commercial House, 14 Comercial Street, SHEFFIELD, S1 2AT",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Office Referbishment,Leeds City Council,265-Other Hired And Contracted Services,14/11/2016,,,,,"£6,000.00",,Phil Rigby,ENVIRONMENT & HOUSING,OU1758426882016010CC,,"IN OUT SOLUTIONS, 47a Highfield Avenue, NULL, LEEDS, LS12 4BZ",,Other/Not known,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Roofing Works at Aberfield Estate,Leeds City Council,N/A,22/11/2016,,,,,"£10,000.00",,Phil Rigby,ENVIRONMENT & HOUSING,JE5265426961002445/9/24860,,"JENNINGS ROOFING LTD, Unit 4 Emmanuel Trading Estate, Springwell Road, LEEDS, LS12 1AT",,d) Medium,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,411-Legal Disbursements,18/11/2016,,,,,"£11,250.00",,Kate Kearns,CENTRAL & CORPORATE,KE123542692169247,,"KERRY BRETHERON, Tanfield Chambers  2-5 Warwick Court, NULL, LONDON, WC1 5DJ",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Mural at Kirkgate Market,Leeds City Council,267-Publication And Promotion,03/11/2016,,,,,"£5,000.00",,Susan Burgess,CITY DEVELOPMENT,LA0950426770021303,,"LAWS OF ATTRACTION (UK) LTD, Exchange At Somerset House, West Water Gate Victoria Embankment, LONDON, WC2R 1LA",,Other/Not known,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,University Tuition Fees,Leeds City Council,70-,18/11/2016,,,,,"£39,250.02",,Wynne Floyd,CITY DEVELOPMENT,LE696942692F01103617 33033061,,"LEEDS BECKETT UNIVERSITY, Cashiers Office  Room 202, Queen Square House  Woodhouse Lane, LEEDS, LS2 8NU",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,"Employers Apprentice Fee Contribution, Pharmacy Technician Training, MST-CAN and Gateway Team Manager Post",Leeds City Council,70-,04/11/2016,,,,,"£5,970.00",,Julie Clough,ENVIRONMENT & HOUSING,LE883342678SI46372,,"LEEDS COLLEGE OF BUILDING, North Street, NULL, LEEDS, LS2 7QT",,e) Large,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Pharmacy Technician Training,Leeds City Council,561-Payments To Voluntary Organisations,04/11/2016,,,,,"£61,115.45",,Michelle Atkinson,ADULT SOCIAL CARE,LE08304267824878054,,"LEEDS COMMUNITY HEALTHCARE NHS TRUST, Ry6 Receivables C639 Shared Bus Services, Phoenix House Topcliffe Lane, WAKEFIELD, WF3 1WE",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Security Services at Compton Centre,Leeds City Council,201-Office Furniture & Equipment,25/11/2016,,,,,"£19,232.49",,Philippa Elliott,STRATEGIC ACCOUNTS,LE6651426991410051801,,"LEEDS TEACHING HOSPITALS NHS TRUST, Credit Income, St James'S University Hospital, BECKETT STREET    LEEDS, LS9 7TF",,e) Large,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Leeds Diversity Campaign Film Camp,Leeds City Council,267-Publication And Promotion,25/11/2016,,,,,"£5,472.00",,Shaid Mahmood,CITIZENS AND COMMUNITIES,MO117742699LCCD2,,"MOJO FILMS, 1 Mckenzie House, Clarence Dock, LEEDS, LS10 IPJ",,Other/Not known,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Leaving Care Rents,Leeds City Council,552-Rents (non supported),15/11/2016,,,,,"£5,400.00",,Iain Dunn,CHILDRENS SERVICES,HO135442689SD01/14UPTON STREET,,"MY-HOMELETTINGS LTD, Central Point Business Centre, 202-206 Linthorpe Road, MIDDLESBROUGH, TS1 3QW",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Home Care,Leeds City Council,568-Home Care,10/11/2016,,,,,"£5,062.50",,Tony Bailey,ADULT SOCIAL CARE,NE05884268422397,,"NEXT STEP CARE MANAGEMENT LTD, Building 6 North London Business Park, Oakleigh Road South, LONDON, N11 1GN",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Copyright Licence,Leeds City Council,206-Books & Audio-Visual Materials,30/11/2016,,,,,"£9,227.00",,Dee Reid,CENTRAL & CORPORATE,NE989742704Q382904,,"NLA MEDIA ACCESS LIMITED, Mount Pleasant House Lonsdale Gardens, NULL, TUNBRIDGE WELLS, TN1 1HJ",,d) Medium,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Door Controller,Leeds City Council,205-Operational Materials,28/11/2016,,,,,"£5,631.75",,Derek Prest,ENVIRONMENT & HOUSING,NO03084270212482023,,"NORBAIN SD LTD, Credit Office  Votec House, Hambridge Lane, NEWBURY, RG14 5TN",,e) Large,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Waste Disposal,Leeds City Council,234-Recycling & Reuse Charges,24/11/2016,,,,,£590.50,,Edwige Moutault,ENVIRONMENT & HOUSING,NO052342698179350,,"NORTH YORKSHIRE COUNTY COUNCIL, C/O Yorwaste Ltd   Mount View, Standard Way Business Park, NORTHALLERTON, DL6 2YD",,Other/Not known,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Training,Leeds City Council,70-,18/11/2016,,,,,"£6,877.00",,Katrina Pickering,CITIZENS AND COMMUNITIES,NO464X426925100783,,"NORTHERN COLLEGE, Wentworth Castle, Stainborough, BARNSLEY, S75 3ET",,d) Medium,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Inter-Agency Adoption Fees,Leeds City Council,559-Interagency Adoptions,16/11/2016,,,,,"£28,667.00",,Iain Dunn,CHILDRENS SERVICES,NO85444269091915730,,"NOTTINGHAMSHIRE COUNTY COUNCIL, Income. Business Support Centre, County Hall  West Bridgford, NOTTINGHAM, NG9 7QP",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Building Community Resilience Project,Leeds City Council,290-Grant Related Expenditure,18/11/2016,,,,,"£17,554.00",,Shaid Mahmood,CITIZENS AND COMMUNITIES,ON188942692BCR02/1617,,"ONE FORMATION, 13 Hilton Road, NULL, LEEDS, LS8 4HB",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Plastering Repairs,Leeds City Council,N/A,02/11/2016,,,,,"£7,950.00",,Andrew McCulloch,CIVIC ENTERPRISE LEEDS,OR42184267624819,,"ORNATE INTERIORS, Acorn Works 534 Broad Lane, Stanningley Pudsey, LEEDS, LS28 6PA",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Solar PV Monitoring,Leeds City Council,181-Energy Consultancy,11/11/2016,,,,,"£5,730.00",,Michael Field,STRATEGIC LANDLORD,PA2496426856778,,"PASSIVSYSTEMS LIMITED, Benyon House  Newbury Business Park, NULL, NEWBURY, RG14 2PZ",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Bird Proofing Works,Leeds City Council,277-Bought In Professional Services,02/11/2016,,,,,"£5,760.00",,Stacey Rockcliffe,ENVIRONMENT & HOUSING,PE1086426767512,,"PC PEST CONTROL LTD, Unit 2 Eagle Point, Telford Way, WAKEFIELD, WF2 0XW",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Sports Hall Refurbishment,Leeds City Council,N/A,18/11/2016,,,,,"£6,070.00",,Andrew McCulloch,CIVIC ENTERPRISE LEEDS,PE954742692I6870,,"PETER DORRELL & COMPANY, Bibby Factors Slough Limited, 7 Bath Road, SLOUGH, SL1 3UA",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Portacabins at Guisley Infants and Wigton Moor Schools,Leeds City Council,N/A,08/11/2016,,,,,"£17,672.77",,Nigel Wilson,CHILDRENS SERVICES,PO472X42682900753481,,"PORTAKABIN LTD, New Lane, Huntington, YORK, YO32 9PT",,e) Large,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Light Night 2016 Civic Projection and  Queens Hotel,Leeds City Council,265-Other Hired And Contracted Services,11/11/2016,,,,,"£23,150.00",,Matthew Sims,CITY DEVELOPMENT,QE01884268558170,,"QED PRODUCTIONS LIMITED, Unit 11 Summit Road, Cranborne Industrial Estate, POTTERS BAR, EN6 3QW",,c) Small,Quotes 
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,"Changing Leeds Online Discussion
Changing Leeds online discussion spa
Changing Leeds online discussion spa
Changing Leeds online discussion spa",Leeds City Council,277-Bought In Professional Services,11/11/2016,,,,,"£6,500.00",,Simon Foy,CENTRAL & CORPORATE,RE117442685265,,"RESEARCHBODS ONLINE LTD, Whitehall Waterfront, 2 Riverside Way, LEEDS, LS1 4EH",,Other/Not known,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Nursing Care,Leeds City Council,574-Nursing Care Dementia,22/11/2016,,,,,"£8,349.58",,Tony Bailey,ADULT SOCIAL CARE,ZZ82814269614NOV-11DEC,,"RIVERSIDE COURT, The Croft, NULL, KNOTTINGLEY, WF11 9BL",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,National Pool Lifeguard Qualification Packs,Leeds City Council,204-Resaleable Materials,18/11/2016,,,,,"£7,006.00",,David Bennett,CITY DEVELOPMENT,LI038542692SI365354-1,,"RLSS DIRECT, Trinity House, Lisburn, CO ANTRIM, BT28 2YY",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Claim from the RSPB at St Aidans,Leeds City Council,1-,15/11/2016,,,,,"£17,139.00",,Chris Gomersall,STRATEGIC ACCOUNTS,RO955642689SLINV/00029958,,"ROYAL SOCIETY FOR THE PROTECTION OF, The Lodge, Sandy, BEDFORDSHIRE, SG19 2DL",,d) Medium,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Parking Improvements Meadowhurst,Leeds City Council,265-Other Hired And Contracted Services,18/11/2016,,,,,"£16,064.64",,Guy Smithson,ENVIRONMENT & HOUSING,SC026142692C535/911,,"SCIENTIFIC ROADS, 2 Nook Green, Tingley, WAKEFIELD, WF3 1ER",,b) Micro,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Autumn Term School Placement Fee 2016,Leeds City Council,507-General External Residential Placements,10/11/2016,,,,,"£90,557.33",,Philip Mulhearn,CHILDRENS SERVICES,SE0612426840000007708,,"SENAD, 1 St George'S House  Vernon Gate, NULL, DERBY, DE11UQ",,Other/Not known,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Resettlement Consortium Secondment Fees,Leeds City Council,265-Other Hired And Contracted Services,16/11/2016,,,,,"£17,164.46",,Andy Peaden,CHILDRENS SERVICES,SH120442690238310,,"SHEFFIELD CITY COUNCIL (RESOURCES), Resources, Town Hall, SHEFFIELD, S1 2HH",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Civic Hall Doors - Specialist Works,Leeds City Council,265-Other Hired And Contracted Services,18/11/2016,,,,,"£43,782.50",,Phil Rigby,ENVIRONMENT & HOUSING,SM0652426921224,,"SMART DOOR CONTROLS LTD, Unit 3 City Works, Melbourne Street, Morley, LEEDS, LS27 8BG",,Other/Not known,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Residential placements,Leeds City Council,507-General External Residential Placements,04/11/2016,,,,,"£32,340.00",,Iain Dunn,CHILDRENS SERVICES,CU0295426781171044,,"ST CUTHBERTS CARE, St Cuthberts House, West Road, NEWCASTLE UPON TYNE, NE15 7PY",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,PCES Payment for April,Leeds City Council,526-Public Health Commissioned Services,11/11/2016,,,,,"£15,665.00",,Lynne Hellewell,PUBLIC HEALTH,MA151742685LEEDS2016-17/053,,"ST MARTINS HEALTHCARE SERVICES LTD, Mill 2 Mabgate Mills, NULL, LEEDS, LS9 7DZ",,e) Large,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Stage Lighting,Leeds City Council,203-Operational Furniture And Equipment,11/11/2016,,,,,"£5,388.00",,Matthew Sims,CITY DEVELOPMENT,ST00574268500318085,,"STAGE ELECTRICS PARTNERSHIP LIMITED, Encore House  Unit 3 Britannia Road, Pattchway Trading Est, Patchway, BRISTOL, BS34 5TA",,d) Medium,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,"Stop Hate  Line Service",Leeds City Council,265-Other Hired And Contracted Services,18/11/2016,,,,,"£17,500.00",,Harvinder Saimbhi,ENVIRONMENT & HOUSING,ST38824269216/046,,"STOP HATE UK, Suite D6 Josephs Well, Westgate, LEEDS, LS3 1AB",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Consultancy,Leeds City Council,N/A,25/11/2016,,,,,"£213,647.98",,Chris Coulson,CITY DEVELOPMENT,SU509342699170486,,"SUSTRANS LTD, 2 Cathedral Square, College Green, BRISTOL, BS1 5DD",,e) Large,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,411-Legal Disbursements,23/11/2016,,,,,"£6,980.00",,Kate Kearns,STRATEGIC LANDLORD,SW01804269756107,,"SWINBURNE MADDISON LLP, Venture House, Aykley Heads Business Centre, DURHAM, DH1 5TS",,Other/Not known,Non-influenceable
